Vika Jigulina,ヴィカ・ジグリーナ
Constantin Cantacuzino (aviator),コンスタンティン・カンタクジノ
Gabriela Potorac,ガブリエラ・ポトラック
Ionel Dănciulescu,イオネル・ダンチウレスク
Valentin Calafeteanu,バレンティン・カラフェテアヌ
Paul Papp,パウル・パップ
Cornel Gheorghe,コルネル・ゲオルゲ
Cătălin Hîldan,カタリン・ヒルダン
Serge Moscovici,セルジュ・モスコヴィッシ
Ionel Ganea,ヨアン・ガネア
Doina Rotaru,ドイナ・ロタル
Marius Lăcătuș,マリウス・ラカトゥシュ
Serge Klarsfeld,セルジュ・クラルスフェルト
Lascăr Catargiu,ラスカル・カタルジュ
László Tőkés,トゥーケーシュ・ラースロー
Anghel Iordănescu,アンゲル・ヨルダネスク
George Țucudean,ジョルジェ・ツクデアン
Dan Petrescu,ダン・ペトレスク
Rudolf Wagner-Régeny,ルドルフ・ヴァーグナー＝レゲニー
Marian Oprea,マリアン・オプレア
Daniel Isăilă,ダニエル・イザイラ
Nicholas Medforth-Mills,ニコラス・メドフォース＝ミルズ
Barbu Catargiu,バルブ・カタルジュ
Costin Lazăr,コスティン・ラザル
Lucian Sânmărtean,ルチアン・スンマルテアン
Alexandru Maxim,アレクサンドル・マキシム
Vlad Chiricheș,ヴラド・キリケシュ
Gheorghe Tătărescu,ゲオルゲ・タタレスク
Gabriel Enache,ガブリエル・エナケ
Emil Klein,エミール・クライン
Victor Brauner,ヴィクトル・ブローネル
Alexandru Mățel,アレクサンドル・マツェル
"Ana, Principesă de Bourbon-Parma",アンヌ・アントワネット・ド・ブルボン＝パルム
Otmar Szafnauer,オトマー・サフナウアー
Dan Nistor,ダン・ニストル
Valentin Ceaușescu,ヴァレンティン・チャウシェスク
Ioan Petru Culianu,ヨアン・ペテル・クリアーノ
Alexander Bălănescu,アレクサンダー・バラネスク
Ovidiu Hațegan,オヴィディウ・ハツェガン
Simona Richter,シモナ・リクテル
Marcel Iureș,マーセル・ユーレス
Kehinde Fatai,ケヒンデ・ファタイ
Ovidiu Burcă,オビデュ・ブルカ
Constantin Ion Parhon,コンスタンティン・イオン・パルホン
Ciprian Tătărușanu,チプリアン・タタルシャヌ
Horațiu Rădulescu,ホラチウ・ラドゥレスク
Dorel Stoica,ドレル・ストイカ
Bogdan Stancu,ボグダン・スタンク
Ludovic Orban,ルドビク・オルバン
Béla Károlyi,カーロイ・ベーラ
Călin Peter Netzer,カリン・ピーター・ネッツァー
Sergiu Comissiona,セルジュ・コミッショーナ
Roman Vlad,ロマン・ヴラド
Dragoș Firțulescu,ドラゴシュ・フィルツレスク
Ștefan Ruha,シュテファン・ルハ
Mihai Pintilii,ミハイ・ピンティリイ
Radu Aldulescu (muzician),ラドゥ・アルドゥレスク
Mihail Lascăr,ミハイル・ラスカル
Dănuț Coman,ダヌツ・コマン
Corneliu Teodorini,コルネリウ・テオドリニ
Diana Dondoe,ディアナ・ドンドー
Sabin Țambrea,ザビン・タンブレア
"Margareta, Principesă a României",マルガレータ・ア・ロムニエイ
Fritz Klein,フリッツ・クライン・(親衛隊員)
Eusebie Mandicevschi,オイゼビウス・マンディチェフスキ
Eugen Ciceu,オイゲン・キケロ
Marius Șumudică,マリウス・シュムディカ
George Ogăraru,ゲオルゲ・オガラル
Preda Mihăilescu,プレダ・ミハイレスク
Constantin Gâlcă,コンスタンティン・ガルカ
Klaus Iohannis,クラウス・ヨハニス
Isidore Isou,イジドール・イズー
Gheorghe Craioveanu,ゲオルゲ・クライオヴェアヌ
Paul Constantinescu,パウル・コンスタンティネスク
Ovidiu Hoban,オヴィディウ・ホバン
Theodor Aman,テオドール・アマン
Florin Niță,フローリン・ニツァ
Ioan Andone,ヨアン・アンドネ
Andreea Chițu,アンドレア・キトゥ
Albert-László Barabási,バラバーシ・アルベルト・ラースロー
Mihai Leu,ミハエル・ロエベ
Lucian Bute,ルシアン・ブーテ
Andreea Bălan,アンドレア・バラン
Ion Voicu,イオン・ヴォイク
Corina Căprioriu,コリーナ・カプリオリウ
Mihaela Buzărnescu,ミハエラ・ブザルネスク
Grigoraș Dinicu,グリゴラシュ・ディニク
George Becali,ジジ・ベカリ
Romario Benzar,ロマーリオ・ベンザル
Cristian Tănase,クリスティアン・タナセ
Francis Chagrin,フランシス・シャグラン
Ioan Lupescu,イオン・ルペスク
Constantin Christescu,コンスタンチン・クリステスク
Sebastian Ciobanu,セバスチャン・チオバヌ
Alexandru Șerbănescu,アレクサンドル・シェルバネスク
Vladimir Orlov,ヴラディーミル・オルロフ
Iosif Conta,イオシフ・コンタ
Nicolae Titulescu,ニコラエ・ティトゥレスク
Nneka Onyejekwe,ネーカ・オンイェジェクウェ
Aurel Vlaicu,アウレル・ヴライク
Cristian Melinte,クリスティアン・メリンテ
Ilie Șteflea,イリエ・シュテフレア
Ioan Mihail Racoviță,ミハイ・ラコヴィッツァ
Gheorghe Manoliu,ゲオルゲ・マノリウ
Laurențiu Brănescu,ラウレンティウ・ブラネスク
Edward Luttwak,エドワード・ルトワック
Zoltán Kelemen,ケレメン・ゾルターン
Nicolae Cambrea,ニコラエ・カンブレア
Charles Bruck,シャルル・ブリュック
Ionuț Iftimoaie,イオヌット・イフティモアイエ
Adrian Bejan,エイドリアン・ベジャン
Ada Milea,アダ・ミリャ
Cătălin Moroșanu,カタリン・モロサヌ
Geo Bogza,ジェオ・ボグザ
Rona Hartner,ローナ・ハートナー
Constantin Pantazi,コンスタンチン・パンタツ
Constantin Prezan,コンスタンチン・プレザン
Steliano Filip,ステリアーノ・フィリプ
Benjamin Fondane,バンジャマン・フォンダーヌ
Cătălin Țăranu,タラヌ・カタリン
Mihail Moruzov,ミハイル・モルゾフ
Constantin Nica,コンスタンティン・ニカ
Ștefan Gușă,ステファン・グシェ
Marian Cristescu,マリアン・クリステスク
Mihai Cioc,ミハイ・シオク
Mircea Frățică,ミルチャ・フラティカ
Cezar Ouatu,フロリン・チェザル・オワトゥ
István Kovács,イシュトヴァーン・コヴァーチ・(サッカー審判員)
William De Amorim,ウィリアム・ドウグラス・デ・アモリム
Mihai Macovei,ミハイ・マコベイ
Viorica Dăncilă,ヴィオリカ・ダンチラ
Camil Marinescu,カミル・マリネスク
Andreea Antonescu,アンドレア・アントネスク
Aura Urziceanu,アウラ・ウルジチェアヌ
Ion Coman,イオン・コーマン
Donca Steriade,ドンカ・ステリアーデ
Gheorghe Cucu,ゲオルゲ・クク
Mircea Basarab,ミルチャ・バサラブ
Raluca Turcan,ラルカ・トゥルカン
Florin Andone,フロリン・アンドネ
Yusuf Isa Halim,ユスフ・イサ・ハリム
Emil Simon,エミル・シモン
Mihail Aslan,ミハイ・アスラーン
Cristian Manea,クリスティアン・マネア
Dorin Recean,ドリン・レチャン
Ianis Hagi,ヤニス・ハジ
Ionuț Nedelcearu,ヨヌツ・ネデルチャル
Maia Sandu,マイア・サンドゥ
Răzvan Marin,ラズヴァン・マリン
Otar Turașvili,オタル・トゥラシビリ
Julia Sauter,ユリア・ザウター
Erwin Stoff,アーウィン・ストフ
Doina Bumbea,ドイナ・ブンベア
Andrei Ivan,アンドレイ・イヴァン
Ioan Niculae,ヨアン・ニクラエ
Dragoș Nedelcu,ドラゴシュ・ネデルク
Johannes van Heerden,ヨハネス・ファンヒアデン
Daniel Natea,ダニエル・ナテア
Beatrice Huștiu,ベアトリス・フスティウ
Florin Surugiu,フロリン・スルジュ
Marcel Ciolacu,マルチェル・チョラク
Dennis Man,デニス・マン
Cosmin Bîrnoi,コスミン・ブルノイ
Cristian Albu,アレクサンドル・アルブ
Ionuț Radu,ヨヌーツ・ラドゥ
Ovidiu Horșia,オヴィディウ・ホルシア
Florin Cîțu,フロリン・クツ
Florian Munteanu,フロリアン・ムンテアヌ
Bianca Andreescu,ビアンカ・アンドレースク
Tudor Băluță,トゥドゥール・バルツァ
Alexandru Cicâldău,アレクサンドル・チクルダウ
Răzvan Oaidă,ラズヴァン・オアイダ
Răzvan Trif,ラズヴァン・トリフ
Denis Drăguș,デニス・ドラグシュ
Dumitru Enescu,ドゥミトル・エネスク
Bernadette Szőcs,ベルナデッテ・スッチ
Alexandru Mitriță,アレクサンドル・ミトリツァ
Florinel Coman,フロリネル・コマン
Claudiu Petrila,クラウディウ・ペトリラ
Ianis Stoica,ヤニス・ストイカ
Alex Pașcanu,アレックス・パシュカヌ
Ștefan Târnovanu,シュテファン・タルノヴァヌ
George Pușcaș,ゲオルゲ・プスカシュ
Alex Dobre,アレックス・ドブレ
Robert Ion,ロベルト・イオン
Olimpiu Moruțan,オリンピウ・モルタン
Alec Secăreanu,アレック・セカレアヌ
Andrei Rațiu,アンドレイ・ラティウ
Radu Boboc,ラドゥ・ボボク
Dumitru Comănescu,ドミトル・コマネスク
Adina Pintilie,アディナ・ピンティリエ
Karim Adeyemi,カリム・アデイェミ
Cătălin Itu,カタリン・イトゥ
Romeo Adrian Niță,ロメオ・ニツァ
Maria Fotino,マリア・フォティノ
Florin Borța,フロリン・ボルツァ
Valentin Mihăilă,ヴァレンティン・ミハイラ
Horațiu Moldovan,ホラツィウ・モルドヴァン
Nicolae Ciucă,ニコラエ・チウカ
Radu Drăgușin,ラドゥ・ドラグシン
David Miculescu,ダヴィド・ミクレスク
Alexandru Pantea,アレクサンドル・パンテア
David Popovici,ダビド・ポポビッチ
Octavian-George Popescu,オクタヴィアン・ポペスク・(2002年生のサッカー選手)
Natalia Gavrilița,ナタリア・ガブリリツァ
Enes Sali,エネス・サリ
Ionuț Mitran,ヨヌツ・ミトラン
Andrei Istrate,アンドレイ・イストラテ
Mihai Popa,ミハイ・ポパ
