이한영,李韓永
조경철 (군인),趙慶喆
조영철 (정치인),趙永哲
한동근 (정치인),韓東根
장정남,張正男
차승수,車承洙
박정근 (조선민주주의인민공화국의 정치인),朴正根
정상학 (정치인),鄭尚学
김일철 (정치인),金日哲
조소앙,趙素昻
황윤호 (1913년),黄潤鎬
정준택,鄭準澤
장춘실,張春実
오경석 (정치인),呉京錫
한상준 (정치인),韓相俊
조정호 (1959년),趙正浩
주영길,朱英吉
정경일,鄭京日
임훈 (정치인),任勲
리혜정,李恵貞
리길춘,李吉春
강영철 (정치인),姜英哲
최영호 (군인),崔英浩
조용원 (정치인),趙甬元
전일춘,全日春
송춘섭,宋春燮
장길룡,張吉龍・(政治家)
김명길 (1959년),金明吉
김용선 (정치인),金勇善
장준상,張俊尚
김재성 (정치인),金才成
김형준 (1949년),金衡俊
기광호,奇光浩
김천균,金千均
김일국,金日国
김정식 (정치인),金正植
전일호,全日好
정영국,鄭英国
김명철 (군인),金明哲
최두용,崔頭用
리춘삼,李春三
김광철 (정치인),金光哲
김창엽,金昌葉
김봉영,金鳳英
최일룡,崔日龍
강영수 (정치인),姜英洙
고길선,高吉先
강수린,康寿麟
김영환 (조선민주주의인민공화국의 정치인),金栄歓
조남진 (군인),趙南進
김경남 (정치인),金京男
최승호 (정치인),崔勝浩
김성남 (1953년),金成男
김창광,金昌光
김정순,金正順
홍영칠,弘永七
왕창욱,王昌旭
한룡국,韓龍国
강윤석,姜潤石
김영철 (정치인),金栄哲
리두성,李斗星
설정식,薛貞植
임화,林和
송호성,宋虎聲
현상주,玄相主
한흥표,韓興杓
홍광순,洪光淳
표무원,表武源
황학원,黄鶴元
김주애,金主愛
김성혜 (1965년),金聖恵
리선권,李善権
량원호,梁元浩
강봉훈,姜峯訓
강필훈,姜必勲
리히용,李煕用
김만성,金万成
김용수 (조선민주주의인민공화국의 정치인),金勇帥
리득남,李得男
최동명,崔東明
강순남,強純男
유성철,兪成哲
리영래,李英来
리영식,李英植
박영호 (조선민주주의인민공화국의 정치인),朴永虎
신룡만,申竜満
고인호,高人虎
박광호,朴光浩
김두일 (정치인),金頭日
량정훈,梁正訓
김성일 (조선민주주의인민공화국의 정치인),金成日
권성호 (정치인),権成虎
여정 (군인),呂政
정경택,鄭京擇
박춘남,朴春男
박철민 (정치인),朴鉄民
리주오,李周午
위성일,魏成日
박훈 (정치인),朴勲
김경준 (1964년),金京準
윤영식,尹英植
방두섭,方斗燮
박정남,朴正男
리충길,李忠吉
김금철,金琴鉄
김상룡,金相竜
손철주 (군인),孫哲珠
김영복 (군인),金英福
김명남 (정치인),金明南
장혁 (1966년),張革
김광혁 (군인),金光赫
김정관 (군인),金正官
장창하,張昌河
박수일 (군인),朴秀逸
김재룡 (정치인),金才龍
렴철성,廉哲成
리성국,李成国・(軍人)
전광호,全光虎
장길성,張吉成
리상관,李相官
리형철,李衡哲
김용광 (정치인),金勇光・(政治家)
박태성 (정치인),朴泰成
김주식,キム・ジュシク
리상원,李象元
김승두,金承斗
김만수 (1956년),金萬寿
리영호 (한국 전쟁),李永鎬
리학철,李学哲
차희림,車熙林
최춘국,崔春国
리종국,李宗国
리일환,李日煥
김중협,金重浹
류경수,柳京洙
김창선 (정치인),金昌善
리철만,李哲万
리종무,李従茂・(政治家)
마원춘,馬園春
리태철,李泰哲
박현명 (야구 선수),朴賢明
박연미,パク・ヨンミ
강명철 (정치인),康明哲
김광영 (1956년),金光栄
한광상,韓光相
지성호,池成浩
최인 (1911년),崔仁・(軍人)
김춘섭,金春燮
박영식 (군인),朴永植
명차현,明車鉉
