Lionel Messi,利昂内尔·梅西
Mario Lusiani,马里奥·卢夏尼
Guglielmo Segato,古列尔莫·塞加托
Giuseppe Olmo,朱塞佩·奥尔莫
Lucas Piazon,卢卡斯·皮亚松
Raffaele Farina,辣法厄尔·法里纳
Tiziano Terzani,帝奇亞諾·坦尚尼
Giovanni Trapattoni,吉奥瓦尼·特拉帕托尼
Federico Fellini,费德里柯·费里尼
Paolo Di Canio,保罗·迪卡尼奥
Angelo Sodano,安傑洛·索達諾
Giovanni Battista Re,若翰·雷
Matteo Darmian,馬特奧·達米安
Ermanno Wolf-Ferrari,艾曼诺·沃尔夫-费拉里
Rocco Siffredi,洛可·希佛帝
Eddy Ottoz,埃迪·奥托兹
Marco Benassi (calciatore),马尔科·贝纳西
Gae Aulenti,盖·奥伦蒂
Parmigianino,帕尔米贾尼诺
Massimo D'Alema,马西莫·达莱马
Beppe Grillo,毕普·格里罗
Mario Monti,马里奥·蒙蒂
Umberto Bossi,翁貝托·博西
Giulietta Masina,朱列塔·玛西纳
Silvana Mangano,西尔瓦娜·曼加诺
Raffaele Marciello,拉菲爾·馬賽羅
Gabriele Allegra,雷永明
Marco Cimatti,马尔科·奇马蒂
Alberto Ghilardi,阿尔贝托·吉拉尔迪
Paolo Pedretti,保罗·佩德雷蒂
Nino Borsari,尼诺·博尔萨里
Alberto Paloschi,阿爾拔圖·柏路斯基
José Altafini,若泽·阿尔塔菲尼
Amauri,阿馬利
Giorgio Pantano,乔吉奥·潘塔诺
Christian Abbiati,克里斯蒂安·阿比亚蒂
Pietro Anastasi,彼得罗·阿纳斯塔西
Roberto Anzolin,罗伯托·安佐林
Edmond Fischer,埃德蒙·费希尔
Umberto Maglioli,翁贝托·马廖利
Enrico Fermi,恩里科·费米
Livio Berruti,利维奥·贝鲁蒂
Fabio Quagliarella,法比奧·哥利亞列拿
Leo Franco,莱昂纳多·弗朗戈
Riccardo Divora,里卡尔多·迪沃拉
Matteo Renzi,马泰奥·伦齐
Pier Luigi Bersani,皮埃尔·路易吉·贝尔萨尼
Danilo Gallinari,达尼洛·加利纳里
Lola Pagnani,洛拉·帕尼亞尼
Andrea Barzagli,安德烈亚·巴尔扎利
Claudio Pizarro,克劳迪奥·皮萨罗
Maria Montessori,瑪麗亞·蒙特梭利
Francesca Piccinini,弗兰切斯卡·皮奇尼尼
Renato Dulbecco,罗纳托·杜尔贝科
Piero Gros,皮耶罗·格罗斯
Gianfranco Zola,吉安弗蘭科·佐拉
Marco Cassetti,馬爾科·卡塞蒂
Assunta Legnante,阿孙塔·莱尼安特
Andrea Riccardi,安德肋·里卡爾迪
Gabriel Heinze,加夫列尔·海因策
Giovanna Mezzogiorno,焦万娜·梅佐焦尔诺
Giuseppe Domenichelli,朱塞佩·多梅尼凯利
Anna Tatangelo,安娜·泰坦潔蘿
Roberto Mancini,羅拔圖·文仙尼
Gundi Busch,贡迪·布施
Roberto Baggio,罗伯特·巴乔
Daniel Bovet,达尼埃尔·博韦
Mauro Icardi,毛罗·伊卡尔迪
Riccardo Scamarcio,里卡多·史卡馬西奧
Fabrizio Miccoli,法布里奇奥·米科利
Marco Di Vaio,馬爾科·迪瓦約
Umberto Eco,翁贝托·埃科
Silvio Berlusconi,西尔维奥·贝卢斯科尼
Ilona Staller,伊蘿娜·史特拉
Antonio Cabrini,安东尼奥·卡布里尼
Vittorio Emanuele III di Savoia,维托里奥·埃马努埃莱三世
Alfred Duncan,阿尔弗雷德·邓肯
Andrea Agnelli,安德雷亚·阿涅利
Roberto Bettega,罗伯托·贝泰加
Giampiero Boniperti,詹皮耶罗·博尼佩尔蒂
Gianluigi Buffon,詹路易吉·布冯
Stephan El Shaarawy,斯蒂凡·艾尔·沙拉维
Luchino Visconti,盧奇諾·維斯孔蒂
Arturo Toscanini,阿图罗·托斯卡尼尼
Roberto Rossellini,羅伯托·羅塞里尼
Frank Capra,法蘭克·卡普拉
Vittorio De Sica,維多里奧·狄西嘉
Giulio Andreotti,朱利奥·安德烈奥蒂
Emma Bonino,愛瑪·博尼諾
Alberto Sordi,阿尔贝托·索尔迪
Zita di Borbone-Parma,波旁-帕尔马的齐塔
Carlo Scarpa,卡羅·斯卡帕
Luigi Bertolini,路易吉·贝尔托利尼
Giancarlo Bercellino,贾恩卡洛·贝尔切利诺
Romeo Benetti,罗密欧·贝内蒂
Felice Borel,费利切·博雷尔
Riccardo Montolivo,列卡度·蒙度利禾
Poggio Bracciolini,波吉歐·布拉喬利尼
Stefano Fiore,斯特法诺·菲奥雷
Ildebrando D'Arcangelo,伊爾代布蘭多·達爾堪傑羅
Walter Plaikner,瓦尔特·普莱克纳
Gualtiero Bassetti,瓜爾蒂耶羅·巴塞蒂
Andrea Stramaccioni,安德烈·斯特拉马乔尼
Potito Starace,波蒂托·斯塔拉切
Giuseppe Sinopoli,朱塞佩·西諾波利
Stefano Mauri (calciatore),斯特法諾·毛里
Masolino da Panicale,马索利诺
Vittorio Pozzo,维托里奥·波佐
Leonardo Sciascia,列昂纳多·夏夏
Enzo Maresca,恩佐·馬雷斯卡
Vittorio Hösle,维托里奥·赫斯勒
Claudio Abbado,克劳迪奥·阿巴多
Arturo Benedetti Michelangeli,阿图罗·贝内德蒂·米凯兰杰利
Roberto Benigni,羅貝托·貝尼尼
Alex Schwazer,亚历克斯·施瓦泽
Mario Monicelli,馬里奧·莫尼切利
Annibale Bergonzoli,安尼巴萊·貝爾貢佐利
Dario Argento,達利歐·阿基多
Alcide De Gasperi,阿爾契德·加斯貝利
Cristian Zaccardo,克里斯蒂安·扎卡尔多
Giuliano Razzoli,朱利亚诺·拉佐利
Herbert Plank,赫伯特·普兰克
Marco Bellocchio,马可·贝罗奇奥
Bernardo Bertolucci,貝納多·貝托魯奇
Eros Ramazzotti,艾羅斯·拉瑪佐第
Pablo Piatti,柏保路·皮亞堤
Walter Veltroni,瓦尔特·韦尔特罗尼
Andreas Seppi,安德烈亞斯·塞皮
Tommaso Rocchi,湯馬素·洛基
Luca Castellazzi,卢卡·卡斯特拉齐
"Arthur Wellesley, VIII duca di Wellington",第八代威靈頓公爵瓦勒良·韋爾斯利
Renzo Sambo,伦佐·桑博
Ettore Sottsass,埃托雷·索特萨斯
Duccio di Buoninsegna,杜喬·迪·博尼塞尼亞
Papa Paolo VI,保祿六世
Primo Levi,普里莫·莱维
Oriana Fallaci,奥里亚娜·法拉奇
Michael Bublé,麥可·布雷
Gian Francesco Malipiero,吉安·弗朗切斯科·马利皮耶罗
Enzo Mari,恩佐·馬里
Rodolfo Graziani,魯道夫·格拉齊亞尼
Mauro Maur,毛罗·莫尔
Gianluca Pessotto,詹卢卡·佩索托
Roberto Saviano,羅貝托·薩維亞諾
Diana Bianchedi,黛安娜·比安凯迪
Ercole Baldini,埃尔科莱·巴尔迪尼
Colin Firth,哥連·費夫
Domenico Morfeo,多梅尼科·莫尔费奥
Jonas Gonçalves Oliveira,莊拿斯·干卡維斯·奧利華拉
Maurizio Damilano,毛里齐奥·达米拉诺
Italo Gariboldi,伊塔洛·加里波第
Anna Unterberger,安娜·翁特貝格爾
Sandra Ceccarelli,桑德拉·切卡莱利
Gianfranco Ravasi,若望-方济各·拉瓦西
Franco Battiato,弗朗科·巴蒂亞托
Francesco Acerbi,弗兰切斯科·阿切尔比
Aldo Nadi,阿尔多·纳迪
Paolo Maffei,保羅·馬菲
Gina Cigna,吉娜·西格娜
Alberto Moravia,阿尔贝托·莫拉维亚
Giampiero Pinzi,詹皮耶罗·平齐
Pippa Bacca,皮帕·巴卡
Cecilia Bartoli,切奇莉亚·巴托莉
Luigi Dallapiccola,路易吉·达拉皮科拉
Francesco Totti,弗朗切斯科·托蒂
Giuseppe Pella,朱塞佩·佩拉
Italo Calvino,伊塔罗·卡尔维诺
Giovanna Trillini,焦万娜·特里利尼
Gino Bartali,吉諾·巴塔利
Aldo Rossi,阿尔多·罗西
Giuseppe Giannini (calciatore),朱塞佩·詹尼尼
Giovanni Antonini,喬瓦尼·安東尼尼
Ennio Morricone,恩尼奥·莫里科内
Giorgio de Chirico,乔治·德·基里科
Papa Giovanni XXIII,若望二十三世
Giorgio Armani,乔治·阿玛尼
Hernán Crespo,埃尔南·克雷斯波
Dario Dainelli,達里奧·達伊內利
Maurizio Pollini,毛里齊奧·波利尼
Aldo Maldera,阿尔多·马尔代拉
Matteo Manassero,馬特奧·曼納塞羅
Nanni Moretti,南尼·莫莱蒂
Gaetano Monachello,加埃塔諾·莫納凱洛
Fabrizio De André,法布里齐奥·德·安德烈
Luigi Nono (compositore),路易吉·诺诺
Pier Paolo Pasolini,皮埃尔·保罗·帕索里尼
Javier Mascherano,哈维尔·马斯切拉诺
Guido Bernardi (ciclista),圭多·贝尔纳迪
Frank Horvat,弗兰克·霍瓦特
Rino Pucci,里诺·普奇
Anselmo Citterio,安塞尔莫·奇泰里奥
Gian Lorenzo Bernini,吉安·洛伦佐·贝尼尼
Paolo Soleri,保罗·索莱里
Antonio Benarrivo,安东尼奥·贝纳里沃
Remo Giazotto,雷莫·賈佐托
Giuseppe Furino,朱塞佩·富里诺
Elisa Uga,埃莉萨·乌加
Tonhi Terenzi,通尼·泰伦齐
Laura Chiesa,劳拉·基耶萨
Alessandro Puccini,亚历山德罗·普奇尼
Raffaello Caserta,拉法埃洛·卡塞尔塔
Margherita Zalaffi,玛格丽塔·扎拉菲
Pietro Martire d'Anghiera,皮特·马特·德安吉拉
Sonia Gandhi,索尼娅·甘地
Sandro Cuomo,山德罗·科莫
Francesca Bortolozzi,弗兰切斯卡·博尔托洛齐
Christof Innerhofer,克里斯托弗·伊諾霍佛
Giorgio Perlasca,喬治·佩拉斯卡
Sandro Salvadore,山德罗·萨尔瓦多雷
Franco Zuculini,佛朗哥·祖库利尼
Antonio Conte,安東尼奧·孔蒂
Roberto Boninsegna,罗伯托·博宁塞尼亚
Mario Toso,馬里奧·圖素
Enrico Berlinguer,恩里科·贝林格
Kaká,卡卡
Simone Del Nero,西莫内·德尔内罗
Vincenzo Cimatti,文生·慈馬迪
Giuseppe Gibilisco,朱塞佩·吉比利斯科
Sergio Leone,塞吉歐·李昂尼
Gerda Weissensteiner,格尔达·魏森施泰纳
Erika Lechner,埃丽卡·莱希纳
Frank Scalice,法蘭克·斯卡利斯
Dino Baggio,迪诺·巴乔
Gian Giorgio Trissino (cavaliere),吉安·乔治·特里西诺
Giuliano Giuliani,朱利亚诺·朱利亚尼
Laura Morante,蘿拉·莫藍特
Aleandro Rosi,阿萊安德羅·羅西
Bruno Visintin,布鲁诺·维辛廷
Franco Nenci,佛朗哥·南奇
Laura Vernizzi,劳拉·韦尔尼齐
Fabio Biondi,法碧歐·畢翁迪
Luigi Carnera,路易吉·卡内拉
Piero Cappuccilli,皮耶罗·卡普契里
Carlo Cercignani,卡罗·切尔奇纳尼
Ornella Muti,奥内拉·穆蒂
Paulo Dybala,保羅·戴巴拿
Paola Pigni,保拉·皮尼
Franco Selvaggi,佛朗哥·塞尔瓦吉
Giuseppina Leone,朱塞平娜·莱昂内
Frank Costello,法蘭克·卡斯特羅
Franco Valle,佛朗哥·瓦莱
Bepi Ros,朱塞佩·罗斯
Silvano Bertini,西尔瓦诺·贝尔蒂尼
Leo Nucci,里歐·努奇
Massimo Donati,馬西莫·當拿迪
Umberto Saba,翁贝托·萨巴
Roberto Rosato,罗伯托·罗萨托
Angelino Alfano,安傑利諾·阿爾法諾
Antonio Di Natale,安東尼奧·迪拿達利
Lucio Dalla,盧喬·達拉
Dino Bruni,迪诺·布鲁尼
Vincenzo Zucconelli,温琴佐·祖科内利
Éder (calciatore 1986),埃德爾·奇塔丁·馬丁斯
Francesco Coco (calciatore),弗朗切斯科·科科
Norberto Bobbio,諾貝托·波比歐
Ettore Reynaudi,埃托雷·雷瑙迪
Ugo Locatelli,乌戈·洛卡泰利
Angelo Amato,安日洛·阿马托
Carlo Gambino,卡羅·甘比諾
Lorenzo Buffon,洛伦佐·布冯
Amedeo di Savoia-Aosta (1943),阿梅迪奥·茨沃尼米尔·(奥斯塔公爵)
Luca Cordero di Montezemolo,卢卡·克劳德洛·迪·蒙特泽莫罗
Elio Sgreccia,埃里奥·斯格雷恰
Edinson Cavani,埃丁森·卡瓦尼
Paolo Pulici,保罗·普利奇
Giovanni Spadolini,乔瓦尼·斯帕多利尼
Luigi Delneri,路易吉·德尔内里
Amadeo Bordiga,阿马迪奥·博尔迪加
Enrico Bombieri,恩里科·邦別里
Pietro da Cortona,皮埃特羅·達·科爾托納
Eraldo Monzeglio,埃拉尔多·蒙泽利奥
Giorgia Meloni,喬治亞·梅洛尼
Julius Evola,尤利烏斯·埃佛拉
Angelo Damiano,安杰洛·达米亚诺
Giuseppe Bertello,若瑟·貝爾泰羅
Diego Confalonieri,迭戈·孔法洛涅里
Sebastiano Serlio,塞巴斯蒂亚诺·塞利奥
Romano Bonagura,罗马诺·博纳古拉
Angelo Moreschi,安杰洛·莫雷斯基
Angelo Domenghini,安杰洛·多门吉尼
Angelo Musone,安杰洛·穆索内
Giovanni Canestri,若望·卡內斯特里
Karin Oberhofer,卡琳·奥伯霍费尔
Ignazio Silone,伊尼亚齐奥·西洛内
Christian Panucci,克里斯蒂安·帕努奇
Chiara Lubich,卢嘉勒
Carlo Carrà,卡洛·卡拉
Daniele De Rossi,达尼埃莱·德罗西
Andrea Camilleri,安德烈亚·卡米莱里
Giuseppe Signori,朱塞佩·西尼奥里
Angelo Scola,安杰洛·斯科拉
Saverio Costanzo,萨维里奥·康斯坦佐
Mara Zini,玛拉·齐尼
Novella Calligaris,诺韦拉·卡利加里斯
Bruno Pontecorvo,布鲁诺·庞泰科尔沃
Angelo Zorzi,安杰洛·佐尔齐
Klaus Dibiasi,克劳斯·迪比亚西
Michelangelo Rampulla,米开朗基罗·兰普拉
Vito Genovese,維多·吉諾維斯
Lorenzo Bernardi,洛伦佐·贝尔纳迪
Giuseppe Versaldi,若瑟·威尔萨蒂
Aimone di Savoia-Aosta (1900-1948),托米斯拉夫二世
Valentino Rossi,瓦伦蒂诺·罗西
Laura Pausini,蘿拉·普西妮
Alfredo Casella,阿尔弗雷多·卡塞拉
Katia Zini,卡蒂娅·齐尼
Marco Verratti,馬高·華拉堤
Marco Motta,馬高·莫達
Tonino Domenicali,安东尼奥·多梅尼卡利
Edera Cordiale,埃德拉·科尔迪亚莱
Dorina Vaccaroni,多丽娜·瓦卡罗尼
Wenling Tan Monfardini,谭文玲
Marino Vigna,马里诺·维尼亚
Ilaria Bianco,伊拉里娅·比安科
Giancarlo Baghetti,贾恩卡洛·巴盖蒂
Marco Marchionni,馬爾科·馬爾基奧尼
Vitantonio Liuzzi,维塔托尼奥·柳齐
Gigi Villoresi,路易吉·维洛雷西
Arturo Merzario,阿尔图罗·梅尔扎里奥
Luigi Musso,路易吉·穆索
Jarno Trulli,雅诺·特鲁利
Mario Andretti,马里奥·安德烈蒂
Vittorio Brambilla,維托里奧·布蘭比拉
Achille Varzi,阿基莱·瓦尔齐
Alessio Cerci,阿莱西奥·切尔奇
Martina Valcepina,马丁娜·瓦尔切皮纳
Imelda Chiappa,伊梅尔达·基亚帕
Davide Astori,戴維德·阿斯托里
Gabriel Paletta,加布里埃爾·帕萊塔
Stefano Okaka,斯特法诺·奥卡卡
Giovanni Guidetti,乔瓦尼·吉德提
Andy Selva,安迪·塞爾瓦
Max Tonetto,馬克斯·托內托
Ulrico Girardi,乌尔里科·吉拉尔迪
Pietro Nenni,彼得罗·南尼
Riccardo Morandi,里卡尔多·莫兰迪
Luca Mezzano,卢卡·梅扎诺
Filippo Volandri,菲利波·沃蘭德里
Bruno Cirillo,布鲁诺·奇里洛
Maria Teresa de Filippis,玛丽亚·特里萨·德·菲利皮斯
Ludovico Scarfiotti,卢多维科·斯卡尔菲奥蒂
Lella Lombardi,玛利亚·格拉齐亚·劳拉·隆巴蒂
Enrico Chiesa,恩里科·基耶萨
Aldo Moro,阿尔多·莫罗
Piero Taruffi,皮耶罗·塔鲁菲
Federico Zuccari,费德里科·祖卡里
Nicola Romanovič Romanov,尼古拉·羅曼諾維奇
Giacinto Scelsi,贾钦托·谢尔西
Salvatore Bagni,萨尔瓦托雷·巴尼
Dalida,黛莉達
Ivan Zaytsev,伊萬·扎伊采夫
Nicola Sansone,尼古拉·桑索內
Antonella Ragno-Lonzi,安东内拉·拉尼奥-隆齐
Eugenio Castellotti,欧金尼奥·卡斯泰洛蒂
Riccardo Patrese,里卡多·帕特雷斯
Adelmo Bulgarelli,阿德尔莫·布尔加雷利
Alessandro Altobelli,亚历山德罗·阿尔托贝利
Gianpiero Combi,詹皮耶罗·孔比
Giovanni Carminucci,乔瓦尼·卡尔米努奇
Ciro Immobile,奇罗·因莫比莱
Ivano Brugnetti,伊瓦诺·布鲁涅蒂
Enrico Albertosi,恩里科·阿尔贝托西
Matteo Ferrari,马泰奥·费拉里
Gianluca Curci,詹盧卡·庫爾奇
Bruno Parovel,布鲁诺·帕罗韦尔
Enrico Silvestri,恩里科·西尔韦斯特里
Aristide Guarneri,阿里斯蒂德·瓜尔内里
Tullio Serafin,圖利奧·塞拉芬
Gracco De Nardo,格拉科·德纳尔多
Federico Faggin,佛德里克·法金
Dorino Serafini,多里诺·塞拉菲尼
Aldo Costa,阿尔多·科斯塔
Armin Zöggeler,阿明·策格勒
Giorgio Gorla,乔治·戈拉
Mauro Nespoli,毛罗·内斯波利
Francesco Loi,弗朗切斯科·洛伊
Licia Ronzulli,莉西亞·羅祖利
Domenico Berardi,多梅尼科·贝拉尔迪
Massimo Taibi,马西莫·泰比
Guido Fantoni,圭多·凡托尼
Giancarlo Fisichella,詹卡洛·费斯切拉
Marco Galiazzo,马尔科·加利亚佐
Ottavio Bugatti,奥塔维奥·布加蒂
Alberico Evani,阿尔贝里科·埃瓦尼
Francesca Dallapé,弗兰切斯卡·达拉佩
Filippo Magnini,菲利波·马尼尼
Davide Faraoni,大卫·法拉奥尼
Gregor Fučka,格雷戈尔·富奇卡
Dorothea Wierer,多罗特娅·维雷尔
Damiano Tommasi,达米亚诺·托马西
Nicola Cabibbo,尼古拉·卡比博
Luca Badoer,卢卡·巴多尔
Franco Testa,佛朗哥·泰斯塔
Magdi Allam,馬格迪·阿蘭
Lorenzo Ariaudo,洛倫佐·阿里奥多
Cristiano Doni,克里斯蒂亚诺·多尼
Simone Padoin,西蒙尼·帕多因
Valentino Mazzola,瓦伦蒂诺·马佐拉
Gianmarco Zigoni,詹馬爾科·齊格尼
Bruno Maderna,布鲁诺·马代尔纳
Luigi Ganna,路易吉·甘納
Franco Pacini,弗蘭科·帕西尼
Lucio Ceccarini,卢乔·切卡里尼
Carlo Ratti,卡尔洛·拉蒂
Sebastiano Mannironi,塞巴斯蒂亚诺·曼尼罗尼
Domenico Bartolucci,道明·巴尔托卢奇
Lorenzo Minotti,洛伦佐·米诺蒂
Roberto Mussi,罗伯托·穆西
Gabriele Tarquini,加布里埃勒·泰基尼
Nicola Berti,尼古拉·贝尔蒂
Giulio Angioni,朱利奥·安焦尼
Enrico Letta,恩里科·莱塔
Giulio Polerio,朱利歐·徹撒雷·波列李奧
Pierfrancesco Favino,皮耶法蘭西斯柯·法維諾
Nicola Larini,尼古拉·拉里尼
Michele Alboreto,米歇爾·阿爾博瑞托
Lorenzo Bandini,洛伦佐·班迪尼
Elio De Angelis,埃里奧·德·安吉尼斯
Alcides Ghiggia,阿尔西德斯·吉贾
Edoardo Mangiarotti,爱德华多·曼贾罗蒂
Mark Iuliano,马克·尤利亚诺
Daniele Massaro,達尼埃萊·馬薩羅
Dino Grandi,迪诺·格兰迪
Tonino Guerra,托尼诺·圭拉
Nikoleta Stefanova,尼科莱塔·斯特凡诺娃
Amedeo Amadei,阿梅代奥·阿马代伊
Amedeo Biavati,阿梅代奥·比亚瓦蒂
Andrea Costa (calciatore),安德烈·科斯塔
Nino Vaccarella,尼诺·瓦卡雷拉
Luca Turilli,卢卡·图里利
Tazio Nuvolari,塔齐奥·努沃拉里
Stefano Domenicali,斯特法诺·多梅尼卡利
Flavio Briatore,弗拉维奥·布里亚托利
Andrea De Cesaris,安德烈·德·塞薩里斯
Alessandro Lambruschini,亚历山德罗·兰布鲁斯基尼
Carlo Ancelotti,卡洛·安切洛蒂
Gianluca Rocchi,詹盧卡·羅基
Massimiliano Allegri,马西米利亚诺·阿莱格里
Amedeo Carboni,阿梅代奥·卡尔博尼
Clara Marangoni,克拉拉·馬蘭戈尼
Claudia Giordani,克劳迪娅·焦尔达尼
Ira von Fürstenberg,伊拉·馮·菲斯滕貝格
Orazio Mariani,奥拉齐奥·马里亚尼
Franco Causio,佛朗哥·考西奥
Matteo Brighi,馬特奧·布里吉
Gianni Agnelli,賈尼·阿涅利
Gianmaria Bruni,詹马里亚·布鲁尼
Alex Zanardi,亞歷士·辛尼迪
Francesco Graziani,弗朗切斯科·格拉齐亚尼
Bruno Conti,布鲁诺·孔蒂
Aldo Serena,阿尔多·塞雷纳
Isa Miranda,伊萨·米兰达
Ederson Honorato Campos,埃德森·奥诺拉托·坎波斯
Gabriele Oriali,加布里埃莱·奥里亚利
Elisa Longo Borghini,埃莉萨·隆戈·博尔吉尼
Ivan Pelizzoli,伊万·佩利佐利
Nereo Rocco,内里奥·罗科
Paoletta Magoni,保莱塔·马戈尼
Max Biaggi,馬克思·比亞吉
Aurelio Milani,奥雷利奥·米拉尼
Nicolás Pareja,尼古拉斯·柏利夏
Danny Huston,丹尼·休斯頓
Carlo Sforza,卡洛·斯福尔扎
Giuliano Gemma,裘林諾·傑馬
Attilio Ferraris,阿蒂利奥·费拉里斯
Ugo Ferrante,乌戈·费兰特
Vittorio Gregotti,維多利歐·葛雷高第
Paolo Rossi (calciatore 1956),保罗·罗西
Giuseppe Baresi,朱塞佩·巴雷西
Giovanni Sartori,乔万尼·萨托利
Paolo Orlandoni,保罗·奥兰多尼
Jádson,謝臣·洛迪古斯·達施華
Gianluca Basile,詹卢卡·巴西莱
Pasquale Foggia,柏斯基利·霍治亞
Fernando De Napoli,费尔南多·德纳波利
Davide Sanguinetti,達維德·桑圭內蒂
Gianfranco Martin,詹弗兰科·马丁
Alessandro Pittin,亚历山德罗·皮廷
Bruno Zumino,布鲁诺·朱米诺
Miriam Leone,米麗婭姆·萊昂內
Armando Castellazzi,阿尔曼多·卡斯泰拉齐
Armando Cossutta,阿曼多·科苏塔
Victor de Sabata,维克多·德·萨巴塔
Daniele Bracciali,達尼埃萊·布拉奇亞利
Bruno Bianchi (velista),布鲁诺·比安基
Massimiliano Rosolino,马西米利亚诺·罗索利诺
Dino Meneghin,迪诺·梅内金
Fernando Filoni,威田南·斐洛尼
Antonio Cassano,安東尼奧·卡斯辛奴
Manuel Pasqual,曼努埃爾·帕斯夸爾
Dino Zoff,迪诺·佐夫
Enzo Ferrari,恩佐·法拉利
Gian Matteo Ranzi,吉安·马泰奥·兰齐
Carlo Molfetta,卡洛·莫尔费塔
Alfonso Bialetti,阿方索·拜爾拉提
Saverio di Borbone-Parma,薩維里奧王子·(波旁-帕爾馬)
