Paris,파리
Noisy-le-Sec,누아지르세크
Nevers,느베르
Narbonne,나르본
Fréjus,프레쥐스
Fos-sur-Mer,포쉬르메르
Fontenay-sous-Bois,퐁트네수부아
Fontenay-aux-Roses,퐁트네오로즈
Fontainebleau,퐁텐블로
Fleury-les-Aubrais,플뢰리레오브레
Fécamp,페캉
Évreux,에브뢰
Bois-Colombes,부아콜롱브
Bobigny,보비니
Blagnac,블라냐크
Biarritz,비아리츠
Bezons,브종
Béziers,베지에
Béthune,베튄
Belfort,벨포르
Bègles,베글
Beauvais,보베
Beaune,본
Mont-Saint-Aignan,몽생테냥
Montrouge,몽루주
Montluçon,몽뤼송
Montigny-lès-Metz,몽티니레메스
Montélimar,몽텔리마르
Mont-de-Marsan,몽드마르상
Montbéliard,몽벨리아르
Montauban,몽토방
Miramas,미라마
Meyzieu,메이지외
Meudon,뫼동
Lunel,뤼넬
Lourdes,루르드
Lorient,로리앙
Lons-le-Saunier,롱르소니에
Longwy,롱위
Longjumeau,롱쥐모
Lisieux,리지외
Liévin,리에뱅
Libourne,리부른
Creil,크레유
Corbeil-Essonnes,코르베유에손
Conflans-Sainte-Honorine,콩플랑생토노린
Compiègne,콩피에뉴
Combs-la-Ville,콩라빌
Pontault-Combault,퐁토콩보
Colomiers,콜로미에
Colmar,콜마르
Brunoy,브뤼누아
Bron,브롱
Brive-la-Gaillarde,브리브라가야르드
Brétigny-sur-Orge,브레티니쉬르오르주
Bourges,부르주
Bourg-en-Bresse,부르캉브레스
Boulogne-sur-Mer,불로뉴쉬르메르
Bondy,봉디
Melun,믈룅
Meaux,모
Maubeuge,모뵈주
Martigues,마르티그
Marignane,마리냔
Marcq-en-Barœul,마르크앙바뢸
Mantes-la-Jolie,망트라졸리
Manosque,마노스크
Maisons-Laffitte,메종라피트
Maisons-Alfort,메종알포르
Mâcon,마콩
Chamonix-Mont-Blanc,샤모니
Chambéry,샹베리
Chalon-sur-Saône,샬롱쉬르손
Châlons-en-Champagne,샬롱앙샹파뉴
Cenon,스농
Cavaillon,카바용
Castres,카스트르
Carpentras,카르팡트라
Carcassonne,카르카손
Cambrai,캉브레
Caluire-et-Cuire,칼리르에키르
Calais,칼레
Cahors,카오르
Cagnes-sur-Mer,카뉴쉬르메르
Cachan,카샹
Ermont,에르몽
Épinal,에피날
Élancourt,엘랑쿠르
Échirolles,에시롤
Eaubonne,오본
Dunkerque,됭케르크
Dreux,드뢰
Draveil,드라베이
Drancy,드랑시
Draguignan,드라기냥
Douai,두에
Digne-les-Bains,디뉴레뱅
Dieppe,디에프
Bayonne,바욘
Bastia,바스티아
Bar-le-Duc,바르르뒤크
Bagnolet,바뇰레
Auxerre,오세르
Aurillac,오리야크
Auray,오레
Auch,오슈
Aubervilliers,오베르빌리에
Aubagne,오바뉴
Athis-Mons,아티스몽스
Asnières-sur-Seine,아니에르쉬르센
Nouvelle-Aquitaine,누벨아키텐
Saint-Martin,생마르탱
Saint Barthelemy,생바르텔레미
Villefranche-sur-Mer,빌프랑슈쉬르메르
Mont Blanc,몽블랑 산
Les Pennes-Mirabeau,레펜미라보
Le Bouscat,르부스카
Aquitaine,아키텐
La Chapelle-Saint-Luc,샤펠생뤼크
La Celle-Saint-Cloud,라셀생클루
La Teste-de-Buch,라테스트드뷔크
Languedoc-Roussillon,랑그도크루시용
Château-Thierry,샤토티에리
Châteaudun,샤토덩
Châteaubriant,샤토브리앙
Guingamp,갱강
Guéret,게레
Gardanne,가르단
Gagny,가니
Honfleur,옹플뢰르
Saint-Quentin-Fallavier,생캉탱팔라비에
Romainville,로맹빌
Riom,리옹
Rhône-Alpes,론알프
Pierrefitte-sur-Seine,피에르피트쉬르센
Pays de la Loire,페이드라루아르
Sochaux,소쇼
Sevran,세브랑
Vesoul,브줄
Vertou,베르투
Provins,프로뱅
Provence-Alpes-Côte d'Azur,프로방스알프코트다쥐르
Privas,프리바
Poitou-Charentes,푸아투샤랑트
Tremblay-en-France,트랑블레앙프랑스
Fougères,푸제르
Foix,푸아
Évian-les-Bains,에비앙레뱅
Belley,벨레
Millau,미요
Midi-Pyrénées,미디피레네
Lunéville,뤼네빌
Lorraine,로렌
Livry-Gargan,리브리가르강
Le Vésinet,르베지네
Coudekerque-Branche,쿠드케르크브랑슈
Bruay-la-Buissière,브뤼에라비시에르
Bretagne,브르타뉴
Bourgogne,부르고뉴
Champagne-Ardenne,샹파뉴아르덴
Cergy,세르지
Centre-Val de Loire,상트르
Denain,드냉
Décines-Charpieu,데신샤르피외
Avallon,아발롱
Auvergne,오베르뉴
Sophia Antipolis,소피아앙티폴리스
Bourgoin-Jallieu,부르고앙잘리외
Paris Charles de Gaulle Airport,파리 샤를 드 골 공항
Bourgogne-Franche-Comté,부르고뉴프랑슈콩테
Normandie,노르망디
Grand Est,그랑테스트
Occitanie,옥시타니
Hauts-de-France,오드프랑스
Auvergne-Rhône-Alpes,오베르뉴론알프
Villiers-le-Bel,빌리에르벨
Villemomble,빌몽블
Vigneux-sur-Seine,비뇌쉬르센
Les Lilas,레릴라
Alsace,알자스
Clichy-sous-Bois,클리시수부아
Grande-Synthe,그랑드생트
Île-de-France,일드프랑스
Haute-Normandie,오트노르망디
Saint-Michel-sur-Orge,생미셸쉬르오르주
Sainte-Foy-lès-Lyon,생트푸아레리옹
Roissy-en-Brie,루아시앙브리
Picardie,피카르디
Pontoise,퐁투아즈
Tournefeuille,투른푀유
Stains,스탱
Nord-Pas-de-Calais,노르파드칼레
Franche-Comté,프랑슈콩테
Montigny-le-Bretonneux,몽티니르브르토뇌
Montfermeil,몽페르메유
Limousin,리무쟁
Corse,코르시카
Mandelieu-la-Napoule,망들리외라나풀
Deuil-la-Barre,되이라바르
Basse-Normandie,바스노르망디
Les Ulis,레윌리스
Marseille Provence Airport,마르세유 프로방스 공항
Nice Côte d'Azur International Airport,니스 코트다쥐르 공항
Mayotte,마요트
Mont Saint-Michel,몽생미셸 섬
Guadeloupe,과들루프
Guyane,프랑스령 기아나
Volvic,볼빅
Clipperton,클리퍼턴 섬
Europe,유럽
Les Pavillons-sous-Bois,레파비용수부아
Le Mée-sur-Seine,르메쉬르센
Artemare,아르트마르
Ars-sur-Formans,아르쉬르포르망
Arbent,아르방
Aranc,아랑
Ambronay,앙브로네
Saint-Maximin-la-Sainte-Baume,생 막시망 라 생트 보메
Oradour-sur-Glane,오라두르 쉬르 글란
Pont-Aven,퐁타벤
Nantua,낭튀아
Morsang-sur-Orge,모르상쉬르오르주
Montsoreau,몽소로
Montgeron,몽주롱
Cormeilles-en-Parisis,코르메유장파리지
Champs-sur-Marne,샹쉬르마른
Azay-le-Rideau,아제르리도
Courchevel Airport,쿠르쉬벨 공항
Le Mont-Saint-Michel,몽생미셸섬
Château de Chambord,샹보르 성
Viaduc de Millau,미요 교
Yvelines,이블린주
Yonne,욘주
Vosges,보주주
Tour Eiffel,에펠 탑
Ardennes,아르덴주
Ardèche,아르데슈주
Andert-et-Condon,앙드르트콩통
Ambutrix,앙뷔트릭스
Ambléon,앙블레옹
Alpes-Maritimes,알프마리팀주
Alpes-de-Haute-Provence,알프드오트프로방스주
Allier,알리에주
Aisne,엔주
Ain,앵주
Île de la Cité,시테 섬
Chevreuse,슈브르즈
Cher,셰르주
Jura,쥐라주
Isère,이제르주
Indre-et-Loire,앵드르에루아르주
Indre,앵드르주
Ille-et-Vilaine,일에빌렌주
Hauts-de-Seine,오드센주
Haut-Rhin,오랭주
Haute-Savoie,오트사부아주
Haute-Saône,오트손주
Hautes-Alpes,오트잘프주
Haute-Marne,오트마른주
Haute-Loire,오트루아르주
Upper Corsica,오트코르스주
Île Saint-Louis,생루이 섬
Ry,RY
Rhône,론주
Pas-de-Calais,파드칼레주
Orne,오른주
Seyne-les-Alpes,센
Seine-Saint-Denis,센생드니주
Seine-Maritime,센마리팀주
Seine-et-Marne,센에마른
Savoie,사부아주
Sarthe,사르트주
Saône-et-Loire,손에루아르주
Mont Ventoux,방투 산
Vendée,방데주
Vaucluse,보클뤼즈주
Var,바르주
Valmy,발미
Val d'Oise,발두아즈주
Val-de-Marne,발드마른주
Puy-de-Dôme,퓌드돔주
