Massachusetts,マサチューセッツ州
"Burlington County, New Jersey",バーリントン郡・(ニュージャージー州)
Philadelphia 76ers,フィラデルフィア・セブンティシクサーズ
"Hanover, Indiana",ハノーバー・(インディアナ州)
Playboy,プレイボーイ・(雑誌)
Distributed.net,Distributed.net
Emmy Awards,エミー賞
Columbia Pictures,コロンビア・ピクチャーズ
"Springfield, Missouri",スプリングフィールド・(ミズーリ州)
"Berrien County, Michigan",バーリン郡・(ミシガン州)
HTC–Highroad,チーム・HTC・-・ハイロード
Joe Louis Arena,ジョー・ルイス・アリーナ
"Passaic, New Jersey",パサイク
"Essex County, New York",エセックス郡・(ニューヨーク州)
"Kendall County, Texas",ケンドール郡・(テキサス州)
"Oneida County, New York",オナイダ郡・(ニューヨーク州)
"Camden, New Jersey",カムデン・(ニュージャージー州)
"Zanesville, Ohio",ゼインズビル・(オハイオ州)
12 Hours of Sebring,セブリング12時間レース
Cisco,シスコシステムズ
"Eagle County, Colorado",イーグル郡・(コロラド州)
GRAIL,GRAIL
"Calhoun County, Illinois",カルフーン郡・(イリノイ州)
"Garza County, Texas",ガルザ郡・(テキサス州)
"Butler County, Nebraska",バトラー郡・(ネブラスカ州)
"Decatur County, Iowa",ディケーター郡・(アイオワ州)
"Churchill County, Nevada",チャーチル郡・(ネバダ州)
"Dickinson County, Iowa",ディキンソン郡・(アイオワ州)
Academy Award for Best Original Song,アカデミー歌曲賞
"Clinton County, Iowa",クリントン郡・(アイオワ州)
Denver Nuggets,デンバー・ナゲッツ
Nationwide Arena,ネイションワイド・アリーナ
"Chippewa County, Wisconsin",チッペワ郡・(ウィスコンシン州)
"Delaware County, Iowa",デラウェア郡・(アイオワ州)
"Denton, Texas",デントン・(テキサス州)
"Jack County, Texas",ジャック郡・(テキサス州)
"Otsego County, New York",オチゴ郡・(ニューヨーク州)
IPad (3rd generation),IPad・(第3世代)
"Graham, North Carolina",グラハム・(ノースカロライナ州)
Iridium Communications,イリジウムコミュニケーションズ
Chaparral Cars,シャパラル・カーズ
Dow Jones Industrial Average,ダウ平均株価
Syracuse Hancock International Airport,シラキュース・ハンコック国際空港
Grand Canyon,グランド・キャニオン
"Allegheny County, Pennsylvania",アレゲニー郡・(ペンシルベニア州)
"Columbia County, Washington",コロンビア郡・(ワシントン州)
"Knoxville, Tennessee",ノックスビル・(テネシー州)
New York City Opera,ニューヨーク・シティ・オペラ
Tony Award for Best Actress in a Play,トニー賞・演劇主演女優賞
Fort Pitt (Pennsylvania),ピット砦
Haymarket affair,ヘイマーケット事件
Los Angeles Police Department,ロサンゼルス市警察
"Bellevue, Washington",ベルビュー・(ワシントン州)
"Walla Walla, Washington",ワラワラ・(ワシントン州)
Grant Park (Chicago),グラント・パーク・(シカゴ)
"Santa Barbara, California",サンタバーバラ
Id Software,Id・Software
American International Group,アメリカン・インターナショナル・グループ
Twenty-sixth Amendment to the United States Constitution,アメリカ合衆国憲法修正第26条
"Spokane, Washington",スポケーン
Zend (company),ゼンド・テクノロジーズ
1993 PPG Indy Car World Series,1993年のインディカー・シーズン
Aladdin Records,アラディン・レコード
Association for Computing Machinery,Association・for・Computing・Machinery
"Kiowa County, Colorado",カイオワ郡・(コロラド州)
Democratic Socialists of America,アメリカ民主社会主義者
"Imperial County, California",インペリアル郡・(カリフォルニア州)
"Abilene, Texas",アビリーン・(テキサス州)
All American Racers,オール・アメリカン・レーサーズ
Battle of Yellow Tavern,イェロータバンの戦い
Eleventh Amendment to the United States Constitution,アメリカ合衆国憲法修正第11条
Thirteenth Amendment to the United States Constitution,アメリカ合衆国憲法修正第13条
2007 Major League Baseball season,2007年のメジャーリーグベースボール
Eleventh Avenue (Manhattan),11番街・(マンハッタン)
Federal Communications Commission,連邦通信委員会
TLC (TV network),ザ・ラーニング・チャンネル
Goldman Sachs,ゴールドマン・サックス
SpaceX,スペースX
3rd Marine Division,第3海兵師団・(アメリカ軍)
55 Water Street,55・ウォーター・ストリート
Four Seasons Hotel New York Downtown,30・パーク・プレイス
Nickel (United States coin),5セント硬貨・(アメリカ合衆国)
Berklee College of Music,バークリー音楽大学
"Gary, Indiana",ゲーリー・(インディアナ州)
Great Salt Lake,グレートソルト湖
Subway Series,サブウェイ・シリーズ
History of the United States,アメリカ合衆国の歴史
Willamette River,ウィラメット川
Camping World Stadium,キャンピング・ワールド・スタジアム
Oahu,オアフ島
West Coast Conference,ウェスト・コースト・カンファレンス
Wilshire/Normandie station,ウィルシャー/ノルマンダイ駅
Green Bay Packers,グリーンベイ・パッカーズ
Greenwich Village,グリニッジ・ヴィレッジ
Nashville Predators,ナッシュビル・プレデターズ
"Thousand Oaks, California",サウザンドオークス
Vietnamese people,キン族
1906 Atlantic City train wreck,1906年アトランティックシティ鉄道事故
Unified combatant command,統合軍・(アメリカ軍)
Journal of Natural Products,Journal・of・Natural・Products
American Broadcasting Company,アメリカン・ブロードキャスティング・カンパニー
"Sunnyvale, California",サニーベール
Abkhazians,アブハズ人
SanDisk,サンディスク
Boston Bruins,ボストン・ブルーインズ
"Little Italy, Manhattan",リトル・イタリー・(マンハッタン)
The Four Horsemen (professional wrestling),フォー・ホースメン
Lethal injection,薬殺刑
2nd Infantry Division (United States),第2歩兵師団・(アメリカ軍)
First Battle of Bull Run,第一次ブルランの戦い
North American Plate,北アメリカプレート
Kansas City Chiefs,カンザスシティ・チーフス
Zuccotti Park,ズコッティ公園
Zuffa,ズッファ
Hotel Chelsea,チェルシーホテル
Internet Assigned Numbers Authority,Internet・Assigned・Numbers・Authority
"Park County, Colorado",パーク郡・(コロラド州)
Province Island,プロビンス島
Liberty Island,リバティ島
Alexandria Union Station,ユニオン駅・(アレクサンドリア)
"Eugene, Oregon",ユージーン・(オレゴン州)
Memphis Open (tennis),メンフィス・オープン
1972 United States Grand Prix,1972年アメリカグランプリ
1980 United States Grand Prix,1980年アメリカグランプリ
Bobsleigh at the 2002 Winter Olympics,2002年ソルトレークシティオリンピックのボブスレー競技
Rehabilitation Act of 1973,1973年リハビリテーション法
Super Bowl V,第5回スーパーボウル
Billboard 200,Billboard・200
Ashmont–Mattapan High-Speed Line,マタパン線
Mojave Desert,モハーヴェ砂漠
Port Imperial Street Circuit,ポート・インペリアル市街地コース
Madison Square Garden,マディソン・スクエア・ガーデン
Monument Valley,モニュメント・バレー
Engadget,Engadget
Yugoslavs,ユーゴスラビア人
"Boulder, Colorado",ボルダー・(コロラド州)
Philadelphia Flyers,フィラデルフィア・フライヤーズ
Molokai,モロカイ島
Shawnee,ショーニー族
Subway (restaurant),サブウェイ
Project Gemini,ジェミニ計画
The Seattle Times,シアトル・タイムズ
"Adair County, Kentucky",アデア郡・(ケンタッキー州)
Microsoft Bing,Microsoft・Bing
"Morgan County, Alabama",モーガン郡・(アラバマ州)
Rusyns,ルシン人
Apollo 10,アポロ10号
Time in the United States,アメリカ時間
United States Army North,アメリカ北方陸軍
"Benton County, Washington",ベントン郡・(ワシントン州)
Red River of the North,レッド川・(ネルソン川水系)
Nineteenth Amendment to the United States Constitution,アメリカ合衆国憲法修正第19条
1st Armored Division (United States),第1機甲師団・(アメリカ軍)
Little Joe 5,リトル・ジョー5号
Metropolitan Museum of Art,メトロポリタン美術館
"Lenawee County, Michigan",レンアウェイ郡・(ミシガン州)
Funimation,ファニメーション
"Henry County, Iowa",ヘンリー郡・(アイオワ州)
Bay of Fundy,ファンディ湾
DreamWorks Pictures,ドリームワークス
Hollywood/Western station,ハリウッド/ウエスタン駅
"Vallejo, California",ヴァレーホ・(カリフォルニア州)
Central Michigan University,中央ミシガン大学
Twelve Tribes communities,十二支族教団
World Golf Hall of Fame,世界ゴルフ殿堂
Guam national football team,サッカーグアム代表
World's Columbian Exposition,シカゴ万国博覧会・(1893年)
"Joplin, Missouri",ジョプリン・(ミズーリ州)
"Simi Valley, California",シミバレー
"Scott County, Kansas",スコット郡・(カンザス州)
"Stafford County, Kansas",スタッフォード郡・(カンザス州)
"Stanton County, Kansas",スタントン郡・(カンザス州)
"Jackson County, Kansas",ジャクソン郡・(カンザス州)
"James City County, Virginia",ジェームズシティ郡・(バージニア州)
"Medina County, Ohio",メダイナ郡・(オハイオ州)
"Sheridan County, Kansas",シェリダン郡・(カンザス州)
Tutuila,トゥトゥイラ島
"Calaveras County, California",カラベラス郡・(カリフォルニア州)
Carlsbad Caverns National Park,カールズバッド洞窟群国立公園
Iran–Contra affair,イラン・コントラ事件
American Football Conference,アメリカン・フットボール・カンファレンス
GlassBridge Enterprises,イメーション
Granite Railway,グラニット鉄道
Communist Party USA,アメリカ共産党
Crater Lake,クレーター湖
"Van Buren County, Iowa",ヴァンビューレン郡・(アイオワ州)
Van Dorn Street station,ヴァン・ドーン・ストリート駅
Washington Wizards,ワシントン・ウィザーズ
28th Independent Spirit Awards,第28回インディペンデント・スピリット賞
Internet Engineering Task Force,Internet・Engineering・Task・Force
Alliant Techsystems,アライアント・テックシステムズ
Atlanta Thrashers,アトランタ・スラッシャーズ
Arthur M. Sackler Gallery,アーサー・M・サックラー・ギャラリー
United States presidential inauguration,アメリカ合衆国大統領就任式
Waco siege,ウェーコ包囲
"Lincoln County, Oregon",リンカーン郡・(オレゴン州)
"Lincoln Township, Emmet County, Iowa",リンカーン郡区・(アイオワ州エメット郡)
"Washington County, Indiana",ワシントン郡・(インディアナ州)
Petrified Forest National Park,化石の森国立公園
Adams National Historical Park,アダムズ国立歴史公園
Adams political family,アダムズ家
Adaptec,アダプテック
Adirondack Mountains,アディロンダック山地
17th Screen Actors Guild Awards,第17回全米映画俳優組合賞
1935 NFL season,1935年のNFL
7th Cavalry Regiment,第7騎兵連隊・(アメリカ軍)
Boxing at the 1984 Summer Olympics,1984年ロサンゼルスオリンピックのボクシング競技
Jewish Defense League,ユダヤ防衛同盟
Aerojet,エアロジェット
New Hollywood,アメリカン・ニューシネマ
Shays' Rebellion,シェイズの反乱
"Allen County, Kansas",アレン郡・(カンザス州)
Atlanta Motor Speedway,アトランタ・モーター・スピードウェイ
Escape Artists,エスケイプ・アーティスツ
Treasurer of the United States,アメリカ合衆国財務官
"Orange Township, Clinton County, Iowa",オレンジ郡区・(アイオワ州クリントン郡)
First Comics,ファースト・コミック
"Poquoson, Virginia",ポコソン・(バージニア州)
"Goldsboro, North Carolina",ゴールズボロ・(ノースカロライナ州)
"Kingman County, Kansas",キングマン郡・(カンザス州)
"Clark County, Kansas",クラーク郡・(カンザス州)
Cole Prize,コール賞
"Edwards County, Kansas",エドワーズ郡・(カンザス州)
"McKenzie County, North Dakota",マッケンジー郡・(ノースダコタ州)
"Mountrail County, North Dakota",マウントレイル郡・(ノースダコタ州)
"Wright County, Missouri",ライト郡・(ミズーリ州)
"Fort Benton, Montana",フォートベントン・(モンタナ州)
Chicago Fire FC,シカゴ・ファイアーFC
"Delta County, Colorado",デルタ郡・(コロラド州)
Northrop Grumman,ノースロップ・グラマン
"Trumbull County, Ohio",トランブル郡・(オハイオ州)
"Portsmouth, Virginia",ポーツマス・(バージニア州)
29th Golden Raspberry Awards,第29回ゴールデンラズベリー賞
AFC East,AFC東地区
Acuff-Rose Music,エイカフ＝ローズ・ミュージック
"Caroline County, Virginia",キャロライン郡・(バージニア州)
UFC 97,UFC・97
UFC Brazil,UFC・Brazil
Erie Lackawanna Railway,エリー・ラッカワナ鉄道
Ogallala Aquifer,オガララ帯水層
1989 US Open (tennis),1989年全米オープン・(テニス)
Treyarch,Treyarch
Billboard Music Awards,ビルボード・ミュージック・アワード
AFI's 100 Years...100 Movie Quotes,アメリカ映画の名セリフベスト100
Agua Fria River,アグア・フリア川
Air University (United States Air Force),アメリカ空軍大学
"Ajo, Arizona",アホ・(アリゾナ州)
Alaska Day,アラスカの日
"Agency, Iowa",エージェンシー・(アイオワ州)
1986 World Amateur Boxing Championships,1986年世界ボクシング選手権大会
Canoeing at the 1984 Summer Olympics,1984年ロサンゼルスオリンピックのカヌー競技
"Montezuma County, Colorado",モンテズマ郡・(コロラド州)
Morbid Angel,モービッド・エンジェル
"Morgan County, Colorado",モーガン郡・(コロラド州)
78th Academy Awards,第78回アカデミー賞
Imgur,Imgur
"Isle of Wight County, Virginia",アイルオブワイト郡・(バージニア州)
"Bienville Parish, Louisiana",ビエンビル郡・(ルイジアナ州)
Palm Springs Aerial Tramway,パームスプリングス・エリアル・トラムウェイ
Boeing Rotorcraft Systems,ボーイング・ロータークラフト・システムズ
"Butler County, Kansas",バトラー郡・(カンザス州)
List of Major League Baseball players (Z),メジャーリーグベースボールの選手一覧・Z
"Pawnee County, Kansas",ポーニー郡・(カンザス州)
2011 US Open (tennis),2011年全米オープン・(テニス)
Douglas A-4 Skyhawk,A-4・(航空機)
Academy of Country Music,アカデミー・オブ・カントリーミュージック
"Doniphan County, Kansas",ドニファン郡・(カンザス州)
"Republic County, Kansas",リパブリック郡・(カンザス州)
"Marion County, Illinois",マリオン郡・(イリノイ州)
"Pickaway County, Ohio",ピッカウェイ郡・(オハイオ州)
Nevada statistical areas,ネバダ州の都市圏の一覧
"White County, Georgia",ホワイト郡・(ジョージア州)
"Atchison County, Missouri",アッチソン郡・(ミズーリ州)
"Idaho Falls, Idaho",アイダホフォールズ・(アイダホ州)
1969–70 ABA season,1969-70・ABAシーズン
1970–71 ABA season,1970-71・ABAシーズン
1972–73 ABA season,1972-73・ABAシーズン
2012 American League Division Series,2012年のアメリカンリーグディビジョンシリーズ
American Forces Network,AFN
Very Large Array,超大型干渉電波望遠鏡群
Super Bowl XXII,第22回スーパーボウル
"Iron County, Michigan",アイアン郡・(ミシガン州)
14th Academy Awards,第14回アカデミー賞
DIC Entertainment,DICエンターテイメント
AT%26T Mobility,AT%26Tモビリティ
AirTran Airways,エアトラン航空
Majesco Entertainment,マジェスコ・エンターテインメント
"Wayne County, Ohio",ウェイン郡・(オハイオ州)
"Shelby County, Indiana",シェルビー郡・(インディアナ州)
The Hartford,ハートフォード金融サービスグループ
Chippendales,チッペンデールズ
"Columbiana County, Ohio",コロンビアナ郡・(オハイオ州)
"Dunklin County, Missouri",ダンクリン郡・(ミズーリ州)
New York Shipbuilding Corporation,ニューヨーク造船所
Air Mobility Command,航空機動軍団
U.S. Route 82,国道82号線・(アメリカ合衆国)
Black Chamber,ブラック・チェンバー
"Lafayette County, Wisconsin",ラファイエット郡・(ウィスコンシン州)
Miami Open (tennis),マイアミ・オープン
American Association of State Highway and Transportation Officials,米国全州道路交通運輸行政官協会
American Society of Cinematographers,全米撮影監督協会
Peace Corps,平和部隊
Rockwell Collins,ロックウェル・コリンズ
United Airlines Flight 585,ユナイテッド航空585便墜落事故
"Laurel County, Kentucky",ローレル郡・(ケンタッキー州)
"Lewis County, Tennessee",ルイス郡・(テネシー州)
Los Angeles Film Critics Association Award for Best Actress,ロサンゼルス映画批評家協会賞・主演女優賞
National Defense Research Committee,国防研究委員会
"Louisa County, Virginia",ルイーザ郡・(バージニア州)
"Ouachita Parish, Louisiana",ワシタ郡・(ルイジアナ州)
"Rock County, Wisconsin",ロック郡・(ウィスコンシン州)
"Waushara County, Wisconsin",ワウシャラ郡・(ウィスコンシン州)
American Society of Civil Engineers,米国土木学会
United States Forces Korea,在韓米軍
Census-designated place,国勢調査指定地域
"Waupaca County, Wisconsin",ワウパカ郡・(ウィスコンシン州)
American Airlines Center,アメリカン・エアラインズ・センター
American Association (1882–1891),アメリカン・アソシエーション・(19世紀)
American exceptionalism,アメリカ例外主義
Columbus Crew,コロンバス・クルー
Interstate 70 in West Virginia,ウェストバージニア州における州間高速道路70号線
American Federation of Labor,アメリカ労働総同盟
American Football League,アメリカン・フットボール・リーグ
American Jewish Committee,アメリカユダヤ人委員会
American Nazi Party,アメリカ・ナチ党
57th Academy Awards,第57回アカデミー賞
Altair Engineering,アルテアエンジニアリング
Altamont Corridor Express,アルタモント通勤急行
AltaVista,AltaVista
Altoona Curve,アルトゥーナ・カーブ
United States v. The Amistad,アミスタッド号事件
Amlia,アムリア島
"Cedar County, Missouri",シーダー郡・(ミズーリ州)
"Douglas County, Nevada",ダグラス郡・(ネバダ州)
"Glendale, California",グレンデール・(カリフォルニア州)
"Ottawa County, Ohio",オタワ郡・(オハイオ州)
American Psychological Association,アメリカ心理学会
Kent State shootings,ケント州立大学銃撃事件
"Texas County, Missouri",テキサス郡・(ミズーリ州)
"Hancock County, Iowa",ハンコック郡・(アイオワ州)
"Houston County, Georgia",ハウストン郡・(ジョージア州)
"Scioto County, Ohio",サイオト郡・(オハイオ州)
"Scott County, Mississippi",スコット郡・(ミシシッピ州)
"Story County, Iowa",ストーリー郡・(アイオワ州)
"Clermont County, Ohio",クラーモント郡・(オハイオ州)
"Winneshiek County, Iowa",ウィネシーク郡・(アイオワ州)
"Gainesville, Florida",ゲインズビル・(フロリダ州)
"Salinas, California",サリナス・(カリフォルニア州)
"Escambia County, Alabama",エスカンビア郡・(アラバマ州)
"Gulf County, Florida",ガルフ郡・(フロリダ州)
Crips,クリップス
"Grant County, Oklahoma",グラント郡・(オクラホマ州)
"Oswego County, New York",オスウェゴ郡・(ニューヨーク州)
"Saratoga County, New York",サラトガ郡・(ニューヨーク州)
"Steele County, Minnesota",スティール郡・(ミネソタ州)
"Appomattox County, Virginia",アポマトックス郡・(バージニア州)
"Oconto County, Wisconsin",オコント郡・(ウィスコンシン州)
"Clark County, Kentucky",クラーク郡・(ケンタッキー州)
"Ochiltree County, Texas",オチルツリー郡・(テキサス州)
"Chattahoochee County, Georgia",チャタフーチ郡・(ジョージア州)
"Jasper County, Illinois",ジャスパー郡・(イリノイ州)
"Anderson County, Kentucky",アンダーソン郡・(ケンタッキー州)
"Guthrie County, Iowa",ガスリー郡・(アイオワ州)
"Hawaii County, Hawaii",ハワイ郡・(ハワイ州)
"Jo Daviess County, Illinois",ジョーデイビース郡・(イリノイ州)
"Cedar County, Nebraska",シーダー郡・(ネブラスカ州)
"Nobles County, Minnesota",ノーブルズ郡・(ミネソタ州)
