衛德明,ヘルムート・ウィルヘルム
曹燕华,曹燕華
单涛,単涛
夏煊泽,夏煊澤
许其亮,許其亮
孙福明,孫福明
何清涟,何清漣
李菊,李菊
利智,ニナ・リー
杨伊琳,楊伊琳
郑海霞,鄭海霞
郑集,鄭集
張徹,チャン・チェ
吴官正,呉官正
阿来,阿来
罗荣桓,羅栄桓
李小平,李小平
童非,童非
许志强,許志強
白杨,白楊
王勇,王勇 (国務委員)
林毅夫,林毅夫
張致恆,スティーブン・チョン
周華健,周華健
王文教,王文教
李楠 (乒乓球运动员),李楠
马燕红,馬燕紅
刘志军,劉志軍
高文謙,高文謙
黄永胜,黄永勝
古广明,古広明
张之江,張之江
王淦昌,王淦昌
邵華,邵華
陳儀,陳儀
王海,王海
张毅 (足球运动员),張毅 (サッカー選手)
龙云,竜雲
叶圣陶,葉紹鈞
江钰源,江鈺源
乔红,喬紅
蘇永康,ウィリアム・ソー
王小帥,王小帥
谈家桢,談傢楨
高岗,高崗
杜维明,杜維明
白恩培,白恩培
陈锡联,陳錫聯
吳京,呉京
陈星汉,陳星漢
张国华,張国華
杜德伟,アレックス・トー
張敬軒,張敬軒
曹刚川,曹剛川
陈祖德,陳祖徳
本杰明,本杰明
董枝明,董枝明
盧漢,盧漢
馮正虎,馮正虎
劉勃麟,リウ・ボーリン
张娴 (排球运动员),張嫺
肖艷玲,蕭艶玲
陳敏之,陳敏之
王磊,王磊
赵琳,趙琳
赵达裕,趙 達裕
周挺,周挺
隋新梅,隋新梅
王永珀,王永珀
葉正,葉正
张呈栋,張呈棟
王君,王君
杜青林,杜青林
李维汉,李維漢
高志森,高志森
林嶺東,リンゴ・ラム
于洋,於洋
朱波,朱波
諸葛珪,諸葛珪
諸葛攀,諸葛攀
周立波,周立波
杜鹏宇,杜鵬宇
孙庆梅,孫慶梅
阿英,阿英
王文采,王文采
姜异康,姜異康
李景林,李景林
王永志,王永志
劉思惠,マギー・ラウ
毛舜筠,テレサ・モウ
孫維世,孫維世
郑洁,鄭潔
郑幸娟,鄭幸娟
鄭義,鄭義
唐豪,唐豪
楊月花,楊月花
江绵恒,江綿恒
江绵康,江綿康
李娟,李娟
游乃海,ヤウ・ナイホイ
陈梦家,陳夢家
于洋,于洋
王安順,王安順
王兆国,王兆国
杜锋,杜锋
刀郎,刀郎
楚原,チュー・ユアン
李贵鲜,李貴鮮
罗志军,羅志軍
杨林,楊林 (サッカー選手)
刘健,劉健
習遠平,習遠平
邓榕,鄧榕
魏纪中,魏記中
安志杰,安志杰
王家瑞,王家瑞
张娜,張娜
田佳,田佳
冯喆,馮喆
李梅素,李梅素
郭焱,郭焱
吳冠中,呉冠中
尹志強,尹志強
李铁映,李鉄映
张业遂,張業遂
高峰,高峰
楊逸,楊逸
张杨杨,張楊楊
刘虹,刘虹
于静,于静
刘建超,劉建超
洪卓立,ケン・ホン
劉松仁,ダミアン・ラウ
吴承瑛,呉承瑛
韓東方,韓東方
李宏利,李宏利
马晋,馬晋
孙杨,孫楊
周星馳,周星馳
林立衡,林立衡
羅仲謙,ヒム・ロー
陈嘉上,ゴードン・チャン
黄力平,黄力平
张思鹏,張思鵬
李山,李山
吳耀漢,リチャード・ウン
张国立,張国立
陈希愈,陳希愈
徐静蕾,徐静蕾
热比娅·卡德尔,ラビア・カーディル
林启升,林啓升
吉雅泰,ザヤータイ
張國榮,レスリー・チャン
金博洋,金博洋
陈光诚,陳光誠
洪金寶,サモ・ハン・キンポー
杨旭,楊旭
秦少波,秦少波
白光,白光
賈曉晨,賈曉晨
张涵予,張涵予
萬梓良,万梓良
李先念,李先念
甄子丹,ドニー・イェン
孙大文,孫大文
王皓,王皓
胡佳,胡佳
谭盾,譚盾
王励勤,王励勤
汪鑫,汪鑫
吴皓,呉皓
傅满洲,フー・マンチュー
阿城,阿城
李寧,李寧
李作鹏,李作鵬
鄭則仕,ケント・チェン
陈奎元,陳奎元
区楚良,区楚良
習仲勳,習仲勲
阿兰·达瓦卓玛,alan
王奉春,王奉春
陈志钊,陳志釗
任正非,任正非
谢伏瞻,謝伏瞻
谢丽华,謝麗華
谢超杰,謝超傑
喬宏,ロイ・チャオ
許冠文,マイケル・ホイ
李葆华,李葆華
胡立教,胡立教
曹菊如,曹菊如
南漢宸,南漢宸
陳妍,陳妍
亨利·O,ヘンリー・オー
孟建柱,孟建柱
徐才厚,徐才厚
向巴平措,チャンパ・プンツォー
宋楠,宋楠
郭伯雄,郭伯雄
吕培俭,呂培倹
劉愷威,ハウィック・ラウ
黃炳耀,バリー・ウォン
李子雄,レイ・チーホン
董芳卓,董方卓
老舍,老舎
何平平,何平平
段永平,段永平
董明珠,董明珠
董慧博,董慧博
任法融,任法融
苏步青,蘇歩青
楊斯,ヤン・スエ
曾國祥,デレク・ツァン
乔石,喬石
劉亞男,劉亜男 (バレーボール)
陈秋琦,陳秋琦
葉璇,ミシェル・イェ
鄭希怡,ユミコ・チェン
江津,江津
阎涵,閻涵
郭政新,郭政新
赵旭日,趙旭日
郭金龙,郭金龍
袁詠儀,アニタ・ユン
郭跃华,郭躍華
馬英林,馬英林
张卫健,ディッキー・チョン
张含韵,張含韻
王立军,王立軍
魏京生,魏京生
林彪,林彪
陳曉東,陳暁東
畢飛宇,畢飛宇
陈省身,陳省身
徐克,ツイ・ハーク
马琳,馬琳
杨朔,楊朔
彭清华,彭清華
江嘉良,江嘉良
劉銳,劉鋭
吴健秋,荒木健秋
王正,王正
呂方,デイビッド・ロイ
魏建華,魏建華
梁朝偉,梁朝偉
丁俊晖,丁俊暉
元彪,ユン・ピョウ
释印顺,印順
刘白羽,劉白羽
贾平凹,賈平凹
韩馨蕴,韓馨蘊
黃昆,黄昆
李淑芳,李淑芳
李帅,李帥 (サッカー選手)
陳穎妍,アニタ・チャン
楊凌,楊凌 (射撃選手)
张佳祺,張佳祺
赵正永,趙正永
吳紅波,呉紅波
黃永玉,黄永玉
伍法岳,伍法岳
鐘漢良,鐘漢良
仵一鸣,仵一鳴
张志军,張志軍
吴法宪,呉法憲
吳永刚,呉永剛
李昂,李昂
易建聯,易建聯
马林 (足球运动员),馬林
尤权,尤権
郭声琨,郭声琨
班瑪噶波,ペマ・ギャルポ
陳松伶,陳松伶
邓卓翔,鄧卓翔
王澍,王澍
荣毅仁,栄毅仁
谢赛克,謝賽克
张耀坤,張耀坤
葉子楣,エイミー・イップ
李麗珍,ロレッタ・リー
林丹,林丹
陈寅恪,陳寅恪
馬鴻逵,馬鴻逵
马鸿宾,馬鴻賓
陈良宇,陳良宇
黎鴻昇,黎鴻昇
许海峰,許海峰
切阳什姐,切陽什姐
劉建文,マイケル・ラウ
潘岳,潘岳
楊凡,ヨン・ファン
周英华,マイケル・チャウ
叶小纲,葉小鋼
頋城,顧城
謝仕光,謝士光
唐納,唐納
刘鹏,劉鵬
刘泽荣,劉紹周
林希翎,林西陵
梁國雄,梁国雄
譚耀文,パトリック・タム
馬思聪,馬思聡
钱学森,銭学森
范长龙,范長龍
閻連科,閻連科
程步高,程歩高
徐悲鸿,徐悲鴻
關之琳,關之琳
季羡林,季羨林
劉偉強,アンドリュー・ラウ
張鐵泉,ジャン・ティエカン
胡风,胡風
任弼时,任弼時
楼继伟,桜継偉
聂卫平,聶衛平
俞斌,兪斌
马晓春,馬暁春
徐林胤,徐林胤
宋茜,ビクトリア
费俊龙,費俊龍
刘雯,リウ・ウェン
戴震,戴震
刘烨,劉燁
庄晓岩,荘暁岩
杨绛,楊絳
萨镇冰,薩鎮氷
陈景润,陳景潤
邵美琪,マギー・シュウ
周信芳,周信芳
王天林,ウォン・ティンラム
顾长卫,顧長衛
郑万钧,鄭萬鈞
谷超豪,谷超豪
陈玘,陳玘
郭沫若,郭沫若
吳玉章,呉玉章
鹿心社,鹿心社
杜润臣,シメオン杜潤臣
劉華,明恵皇后
许斌姝,許斌姝
張可欣,張可欣
张 悦,張悦
周保中,周保中
陈一冰,陳一氷
李小鹏,李小鵬
第十七世噶瑪巴·赤列塔耶多吉,ティンレー・タイェ・ドルジェ
陈龙灿,陳龍燦
黄宾虹,黄賓虹
张春贤,張春賢
王乐泉,王楽泉
宁浩,寧浩
严培明,严培明
仇雲波,ロビン・ショウ
曹禺,曹禺
释永信,釈永信
萧三,蕭三
袁熙坤,袁煕坤
杨福愉,楊福愉
譚詠麟,アラン・タム
張培萌,張培萌
高畅,高暢
吴阶平,呉階平
胡绩伟,胡績偉
陳可辛,陳可辛
姜文,姜文
范可新,ファンケシン
王三运,王三運
陆春龙,陸春龍
谌龙,諶龍
石俊,石俊
黄金荣,黄金栄
贺敬之,賀敬之
何振梁,何振梁
武磊,武磊
吴家亮,呉家亮
董荷斌,ホーピン・タン
陈敏尔,陳敏爾
娄勤俭,婁勤倹
曾景牧,曾景牧
谢希德,謝希徳
李強,李強
謝暉,謝暉
龙清泉,龍清泉
茅盾,茅盾
杨威,楊威
黎棟國,黎棟国
楊尚昆,楊尚昆
耿惠昌,耿恵昌
贺卫方,賀衛方
吴邦国,呉邦国
张志新,張志新
陈楠,陳楠
冰心,謝冰心
更登確吉尼玛,ゲンドゥン・チューキ・ニマ
范志毅,范志毅
麥嘉,カール・マッカ
黄文仪,黄文儀
吳浩康,ディープ・ン
德穆楚克栋鲁普,デムチュクドンロブ
李小璐,リー・シャオルー
唐尧东,唐堯東
谭斯,譚斯
陶峙岳,陶峙岳
巴音朝鲁,バヤンチョル
李兆基,李兆基
侯外庐,侯外廬
刘霞,劉霞
卫立煌,衛立煌
张磊,張磊
莫文蔚,カレン・モク
王傳福,王伝福
乌兰夫,ウランフ
李玉刚,李玉剛
吳思遠,呉思遠
包尔汉,ブルハン・シャヒディ
司马义·艾买提,イスマイル・アマット
傅成玉,傅成玉
阿鸽,阿鴿
杨程,楊程
杨勇,楊勇
曾偉雄,曽偉雄
柯慶施,柯慶施
倫永亮,倫永亮（アンソニー・ロン）
庄小威,荘小威
耿飚,耿飈
贾春旺,賈春旺
张钰哲,張鈺哲
赵苍璧,趙蒼璧
梁玮,ダイアン・ウェイ・リャン
李亚娟,李亞娟
孙继海,孫継海
吴新雄,呉新雄
韩长赋,韓長賦
張越紅,張越紅
柳超,柳超
葉童,イップ・トン
艾青,艾青
黄华,黄華
倪柝声,ウォッチマン・ニー
陳冠希,陳冠希
李洪志,李洪志
齐白石,斉白石
陈德铭,陳徳銘
曾联松,曾聯松
陈政高,陳政高
蒋雯丽,蒋雯麗
賈英華,賈英華
涂阿玉,涂阿玉
雷鋒,雷鋒
郝海东,郝海東
胡德平,胡徳平
秦光荣,秦光栄
姚文元,姚文元
謝霆鋒,ニコラス・ツェー
冯小刚,馮小剛
吴贻弓,呉貽弓
宋祖英,宋祖英
陈永栽,陳永栽
张爱萍,張愛萍
胡乔木,胡喬木
周培源,周培源
周铁农,周鉄農
郑凤荣,鄭鳳栄
刘爱玲,劉愛玲
貝嶺,貝嶺
韩少功,韓少功
释一诚,釈一誠
张圣容,スン＝ユン・アリス・チャン
齊橋橋,齊橋橋
李亚鹏,李亜鵬
陈道明,陳道明
張桃芳,張桃芳
王冶坪,王冶坪
贾庆林,賈慶林
傅家俊,マルコ・フー
徐步高,徐歩高
李嘉欣,ミッシェル・リー
鄭伊健,イーキン・チェン
麥兆輝,アラン・マック
彭浩翔,パン・ホーチョン
洛桑江村,ロサン・ギェンツェン
辛祖,サンドロ
方中信,アレックス・フォン
黎海榮,黎海栄
張堅庭,アルフレッド・チョン
郑斌,鄭斌
陳健星,陳健星
郑铮,鄭錚
范冰冰,范冰冰
段莹莹,段瑩瑩
袁复礼,袁復礼
黃耀明,黄耀明
鈴木惠美,鈴木えみ
张楠,張楠
余華,余華
許家印,許家印
吴彬,呉彬
陈锦标,陳錦標
陳潔麗,リリー・チェン
黎智英,黎智英
孫達志,アンドレアス・シュッツ
肖钦,肖欽
何冲,何衝
劉濤,劉涛
Joe Junior,ジョー・ジュニア
黃秋生,アンソニー・ウォン
易纲,易綱
江平,江平
骆晓娟,駱暁娟
夏加・次仁,ツェリン・シャキャ
吴启迪,呉啓迪
司徒劍僑,司徒剣僑
蔡楚生,蔡楚生
吴胜利,呉勝利
吴优,呉優
李继耐,李継耐
黄克诚,黄克誠
張舉能,張挙能
梁君彥,梁君彦
桑国卫,桑国衛
刘诗颖,劉詩穎
韓庚,韓庚
李岚清,李嵐清
马占山,馬占山
絕對零度,サブ・ゼロ (モータルコンバット)
张岩,張岩
宗磊,宗磊
梁志健,サミー・リョン
傅作义,傅作義
楊采妮,チャーリー・ヤン
秦凱,秦凱
彭德怀,彭徳懐
乔冠华,喬冠華
罗保铭,羅保銘
许小年,許小年
陳秀雯,エイミー・チャン
曾诚,曾誠
沈祥福,沈祥福
栗戰書,栗戦書
史忠貴,史忠貴
沙利士,アルナルド・デ・オリベイラ・セールス
王薔,王蔷
余胤良,リーランド・イー
吐尔贡·阿力玛斯,トルグン・アルマス
林光毅,アグス・ハリヤント
蒋勤勤,蒋勤勤
沈靖韬,アリスト・シャム
姜建清,姜建清
马文革,馬文革
吴龑,呉龑
郑渊洁,鄭淵潔
杜建时,杜建時
林正英,ラム・チェンイン
陈朝霞,陳朝霞
贝时璋,貝時璋
王敏德,マイケル・ウォン
莫科,莫科
奚爱华,奚愛華
黃宏發,黄宏発
安妮宝贝,アニー・ベイビー
張炳良,張炳良
梁文道,梁文道
徐小鳳,ポーラ・チョイ
苗立杰,苗立杰
林子祥,ジョージ・ラム
李書福,李書福
劉小慧,ウィニー・ラウ
胡振中,胡振中
飞龙,フェイロン
孙周,孫周
金龙,ジン・ロン
王东明,王東明
張義威,張義威
季铭义,季銘義
巴燕,巴燕
白发全,白発全
白春礼,白春礼
許繼丹,許継丹
谢旭人,謝旭人
万延海,万延海
陳達燊,陳達燊
巴力·买买提依力,巴力
林瑞麟,林瑞麟
沙祖康,沙祖康
何鴻燊,スタンレー・ホー
马青骅,マー・チンホワ
王宪魁,王憲魁
杨晶,楊晶
葛优,葛優
罗杰·袁,ロジャー・ユアン
原子俠,アトム
周凱華,周凱華
梁小龍,ブルース・リャン
王偉,王偉
吴数德,呉数徳
李小双,李小双
杨新海,ヤン・シンハイ
白雪仙,パク・スッシン
鲍观澄,鮑観澄
李明,李明
孟关良,孟関良
徐一璠,徐一璠
周慧敏,ヴィヴィアン・チョウ
陈翔,陳翔
彭丽媛,彭麗媛
鲍春来,鮑春来
徐寅生,徐寅生
豐子愷,豊子愷
方力申,アレックス・フォン
班禅额尔德尼·确吉杰布,ギェンツェン・ノルブ
黃蘊瑤,黄蘊瑤
许岩,許岩
韩峰,ハン・フェン
孫志峰,孫志峰
吳君如,サンドラ・ン
黃玉郎,黄玉郎
孙道临,孫道臨
时佩璞,時佩璞
汪洋,汪洋
陳其鋼,陳其鋼
白冰,白冰
李娜,李娜
马明宇,馬明宇
第十四世夏瑪巴·米龐確吉羅佐,ミパム・チューキ・ロドゥ
吕乐,呂楽
章硕,章碩
黄海强,黄海強
谭宗亮,譚宗亮
撒贝宁,撒貝寧
杨炼,楊煉
徐晨,徐晨
陳鍵鋒,陳鍵鋒
娄烨,婁燁
秦茜,秦茜
金晶,金晶
贺国强,賀国強
杨元庆,楊元慶
鮑喜順,鮑喜順
汤沐海,湯沐海
乐茂盛,楽茂盛
任瑞萍,任瑞萍
秦志戬,秦志戬
白洁,白潔
白克明,白克明
唐宾,唐賓
宿茂臻,宿茂臻
那望給秋,ナワン・ケチョ
李银河,李银河
徐晓明,徐曉明
张晓刚,ジャン・シャオガン
周济,周済
张国光,張国光
高红,高紅
胡楓,ボウィエ・ウュ
滕麗名,ジョイス・タン
王露露,ルル・ワン
方育平,アレン・フォン
孫晉,孫晋
刘伟,劉偉
田汉,田漢
周比利,ビリー・チョウ
米雪,ミシェル・イム
毕津浩,畢津浩
孙丹,孫丹
隋剑爽,隋剣爽
虹影,虹影
侴陶,ケイ陶
汪顺,汪順
庹震,庹震
毛剑卿,毛剣卿
曾金蓮,曾金蓮
阿嘉·洛桑图旦·久美嘉措,アジャ・リンポチェ
王冰玉,王氷玉
王春麗,王春麗
杨白冰,楊白冰
段君毅,段君毅
尚小云,尚小雲
戴相龙,戴相竜
黃碧瑤,黄碧瑤
阿炳,阿炳
徐琰,シュー・イェン
薄瓜瓜,薄瓜瓜
蔡维燕,蔡維燕
蔡畅,蔡暢
曹硕,曹碩
陈雁浩,陳雁浩
程文,チャン・ウェン
潘庆林,潘慶林
谌容,諶容
舒婷,舒婷
胡紅玉,アンナ・ウュ
鍾鎮濤,ケニー・ビー
许智宏,許智宏
吴敬琏,呉敬璉
何洁,何潔
何享健,何享健
徐錦江,チョイ・ガムコン
严家其,厳家祺
张伯达,張伯達
多杰才旦,ドルジェ・ツェプテン
徐星,徐星
都爾,ブレット・ドイル
杨智,楊智
吕远洋,呂遠洋
苏童,蘇童
伍精华,伍精華
水庆霞,水庆霞
陳偉豪,陳偉豪
张经武,張経武
常昊,常昊
刘东,劉東
辜家明,辜家明
管平湖,管平湖
蒋超良,蒋超良
隋寶庫,隋宝庫
张晓明,張曉明
楚金玲,楚金玲
譚志源,譚志源
丁光训,丁光訓
邵仁枚,邵仁枚
徐根宝,徐根宝
梁保华,梁保華
马健,馬健
佟大为,佟大為
聂远,聶遠
邓婕,鄧婕
上海人,上海人
朱启,朱啓
符廷贵,符延貴
關心妍,ジェイド・クァン
卢展工,盧展工
靖志远,靖志遠
蔡名照,蔡名照
蔡希陶,蔡希陶
蔡泽林,蔡沢林
颜骏凌,顔駿凌
金韞穎,愛新覚羅韞穎
韋海英,魏海英
曹谁,曹誰
胡荣华,胡栄華
羅家英,ロー・カーイン
孔慶東,孔慶東
姜靜,姜靜
徐海东,徐海東
陈海健,陳海健
端木正和,端木正和
兰丽新,蘭麗新
王小宁,王小寧
許世友,許世友
谢飞,謝飛
阳焕宜,陽煥宜
王超,王超
黄容根,黄容根
释虚云,虚雲
许银川,許銀川
纪敏佳,ジャ・ジャ
周鶴洋,周鶴洋
粟裕,粟裕
彭羚,キャス・パン
刁亦男,ディアオ・イーナン
姜翠華,姜翠華
陸斌,陸斌
邱淑貞,チンミー・ヤウ
盧海鵬,ロー・ホイパン
周采芹,ツァイ・チン
曹宪明,曹憲明
杨成武,楊成武
许安琪,許安琪
陈耀烨,陳耀燁
崔凯 (跳高运动员),崔凱
陳丹蕾,陳丹蕾
陳易希,陳易希 (en)
崔岫闻,崔岫聞
程月磊,程月磊
池莉,池莉
唐琳,唐琳
赵利红,趙利紅
李辉,李輝
蔡诚,蔡誠
成淑,成淑
顾娟,顧娟
吴德,呉徳
八零後,80後
愛新覺羅·烏拉熙春,愛新覚羅烏拉熙春
王千源事件,王千源事件
