Polska,폴란드
Powiat kluczborski,클루치보르크군
Powiat krapkowicki,크랍코비체군
Powiat ostrołęcki,오스트로웽카군
Powiat nyski,니사군
Będzin,벵진
Polski Autokefaliczny Kościół Prawosławny,폴란드 정교회
Powiat strzelecki,스트셸체군
Polska na Zimowych Igrzyskach Olimpijskich 2010,2010년 동계 올림픽 폴란드 선수단
Polonia Warszawa (piłka nożna),폴로니아 바르샤바
Czechowice-Dziedzice,체호비체지에지체
Zagłębie Lubin (piłka nożna),자그웽비에 루빈
Polska na Letnich Igrzyskach Olimpijskich 2012,2012년 하계 올림픽 폴란드 선수단
Linia kolejowa Szczecin – Berlin,베를린-슈체친선
Augustów,아우구스투프
Lotnisko Chopina w Warszawie,바르샤바 쇼팽 공항
Polska na Zimowych Igrzyskach Olimpijskich 1924,1924년 동계 올림픽 폴란드 선수단
Płońsk,프원스크
Polska na Zimowych Igrzyskach Olimpijskich 1928,1928년 동계 올림픽 폴란드 선수단
Uniwersytet Warszawski,바르샤바 대학교
Wieliczka,비엘리치카
Zakopane,자코파네
Knurów,크누루프
Bataliony Chłopskie,농민대대
TVN,TVN (폴란드의 텔레비전 채널)
Tczew,트체프
Powiat policki,폴리체군
Powiat szczecinecki,슈체치네크군
Powiat gryficki,그리피체군
Powiat myśliborski,미실리부시군
Raba (dopływ Wisły),라바강
Zamość,자모시치
Malbork,말보르크
Powiat wałbrzyski,바우브지흐군
Kaszubi,카슈브인
Polsat,폴자츠
Powiat oleśnicki,올레시니차군
Ruś Czerwona,적러시아
Powiat moniecki,몬키군
Zgorzelec,즈고젤레츠
Siły Zbrojne Rzeczypospolitej Polskiej,폴란드군
Hymn Polski,폴란드의 국가
Jelenia Góra,옐레니아구라
Nizina Środkowoeuropejska,북유럽 평원
Katastrofa kolejowa pod Szczekocinami,슈체코치니 열차 충돌 사고
Wolin (wyspa),볼린섬
Międzyzdroje,미엥지즈드로예
Zawiercie,자비에르치에
Lubsko,룹스코
Krosno Odrzańskie,크로스노오잔스키에
Lębork,렝보르크
Kłodzko,크워츠코
Śnieżka,스네슈카산
Bazylika katedralna św. Michała Archanioła i św. Floriana Męczennika w Warszawie,성 플로리아노 대성당
Województwo,폴란드의 주
Obóz zagłady w Treblince,트레블링카 강제 수용소
Armia Krajowa,폴란드 국내군
Sudety,수데티산맥
Raków Częstochowa,라쿠프 쳉스토호바
Wodzisław Śląski,보지스와프실롱스키
Andrzejki,성 안드레아 축일
Muzeum Narodowe w Warszawie,바르샤바 국립미술관
Zgromadzenie Narodowe (Polska),국민의회 (폴란드)
Starogard Gdański,스타로가르트그단스키
SS-Hütte Porombka,졸라휘테
Ruch Chorzów,루흐 호주프
Dziwna,지브나 해협
Bitwa pod Tannenbergiem,타넨베르크 전투 (1914년)
Strzelce Opolskie,스트셸체오폴스키에
Powiat koszaliński,코샬린군
Powiat chojnicki,호이니체군
Bug,부크강
Pradawne i pierwotne lasy bukowe Karpat i innych regionów Europy,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
Park Mużakowski,무스카우 공원
Powiat niżański,니스코군
Puck,푸츠크
Bolesławiec,볼레스와비에츠
Korytarz polski,폴란드 회랑
Kostrzyn nad Odrą,코스트신나트오드롱
Platforma Obywatelska,시민 연단
Prawo i Sprawiedliwość,법과 정의
Wilczy Szaniec,늑대소굴
Szczekociny,슈체코치니
Powiat łęczycki,웽치차군
Powiat kutnowski,쿠트노군
Westerplatte,베스테르플라테
Opawa (dopływ Odry),오파바강
Bełchatów,베우하투프
Jaworzno,야보주노
Piotrków Trybunalski,피오트르쿠프트리부날스키
Żagań,자간 (폴란드)
Polski Związek Piłki Nożnej,폴란드 축구 협회
Siemianowice Śląskie,시에미아노비체실롱스키에
Piekary Śląskie,피에카리실롱스키에
Radomsko,라돔스코
Powiat żniński,주닌군
Góry Świętokrzyskie,시비엥토크시스키에산맥
Powiat głogowski,그워구프군
E28 (trasa europejska),유럽 고속도로 28호선
Sztab Generalny Wojska Polskiego,폴란드군 총참모부
Powiat gorzowski,고주프군
Powiat krośnieński (województwo lubuskie),크로스노군 (루부시주)
Powiat międzyrzecki,미엥지제치군
Uniwersytet Wrocławski,브로츠와프 대학교
Obrona Westerplatte,베스테르플라테 전투
Powiat żarski,자리군 (폴란드)
Kętrzyn,켕트신
Siedlce,시에들체
Powiat żagański,자간군
E30 (trasa europejska),유럽 고속도로 30호선
Powiat sulęciński,술렝친군
Powiat nowosolski,노바술군
Powiat strzelecko-drezdenecki,스트셸체드레즈덴코군
Powiat wschowski,프스호바군
Powiat świebodziński,시비에보진군
Powiat zielonogórski,지엘로나구라군
Polska Zjednoczona Partia Robotnicza,폴란드 통일노동자당
Powiat słubicki,스우비체군
Order Odrodzenia Polski,폴란드 재건국 훈장
Mysłowice,미스워비체
Granica na Odrze i Nysie Łużyckiej,오데르-나이세선
Ustka,우스트카
Metro w Warszawie,바르샤바 지하철
Kamień Pomorski,카미엔포모르스키
Port lotniczy Kraków-Balice,요한 바오로 2세 크라쿠프 국제공항
Cieszyn,치에신
Powiat karkonoski,카르코노셰군
Powiat jaworski,야보르군
Dzień Kolejarza,철도의 날
Powiat dzierżoniowski,지에르조니우프군
Powiat bolesławiecki,볼레스와비에츠군
Powiat górowski,구라군
Chełmno,헤움노
Powiat kamiennogórski,카미엔나구라군
Powiat kłodzki,크워츠코군
Limanowa,리마노바
Kłobuck,크워부츠크
Morskie Oko,모르스키에오코호
Powiat bieszczadzki,비에슈차디군
1 Dywizja Pancerna (PSZ),제1기갑사단 (폴란드)
E75 (trasa europejska),유럽 고속도로 75호선
Pomorze Nadwiślańskie,포메렐리아
Powiat nakielski,나크워군
Brzeziny,브셰지니
Zatoka Pomorska,포메라니아만
Bazylika archikatedralna św. Stanisława i św. Wacława w Krakowie,바벨 대성당
Łęczyca,웽치차
Rusyfikacja,러시아화
Słupca,스우프차
Śląsk Wrocław (piłka nożna),실롱스크 브로츠와프
Tarnowskie Góry,타르노프스키에구리
Powiat brodnicki,브로드니차군
Reprezentacja Polski w piłce nożnej mężczyzn,폴란드 축구 국가대표팀
Kwidzyn,크비진
Kępno,켕프노
E40 (trasa europejska),유럽 고속도로 40호선
Powiat gryfiński,그리피노군
V3,V-3 캐넌
Powiat wieruszowski,비에루슈프군
Pałac Kultury i Nauki,문화과학궁전
Polska na Zimowych Igrzyskach Olimpijskich 1932,1932년 동계 올림픽 폴란드 선수단
Powiat jarosławski,야로스와프군
Mazowsze,마조프셰
Zawisza Bydgoszcz (piłka nożna),자비샤 비드고슈치
ŁKS Łódź (piłka nożna),ŁKS 우치
Powiat rybnicki,리브니크군
Powiat legnicki,레그니차군
Łańcut,완추트
Wybory prezydenckie w Polsce w 2010 roku,2010년 폴란드 대통령 선거
Godło Polski,폴란드의 국장
Pomnik Adama Mickiewicza w Krakowie,아담 미츠키에비치 기념비 (크라쿠프)
Uniwersytet im. Adama Mickiewicza w Poznaniu,포즈난 대학교
Mińsk Mazowiecki,민스크마조비에츠키
Bazylika archikatedralna św. Jana Chrzciciela w Warszawie,성 요한 대성당 (바르샤바)
Stadion Narodowy im. Kazimierza Górskiego w Warszawie,바르샤바 국립경기장
Powiat toruński,토룬군
Stadion w Gdańsku,스타디온 에네르가 그단스크
Powiat strzeliński,스트셸린군
Polsko-niemiecki traktat graniczny,독일-폴란드 국경 조약
Litwini,리투아니아인
Szklarska Poręba,슈클라르스카 포렝바
Stadion Poznań,포즈난 시립경기장
Lechia Gdańsk (piłka nożna),레히아 그단스크
Powiat raciborski,라치부시군
Polska Akademia Nauk,폴란드 과학 아카데미
Uniwersytet Jagielloński,야기에우워 대학교
Dzień Nauczyciela,교사의 날
Stadion Miejski we Wrocławiu,브로츠와프 시립경기장
Dyskobolia Grodzisk Wielkopolski,디스코볼라 그로지스크비엘코폴스키
Jagiellonia Białystok,야기엘로니아 비아위스토크
Żywiec,지비에츠
Stare Miasto w Krakowie,스타레미아스토 (크라쿠프)
Puszcza Białowieska,비아워비에자 숲
Wisła Kraków (piłka nożna),비스와 크라쿠프
Sandomierz,산도미에시
Tatry,타트리산맥
Legia Warszawa (piłka nożna),레기아 바르샤바
Chojnice,호이니체
Powiat janowski,야누프군
Powiat średzki (województwo dolnośląskie),시로다군 (돌니실롱스크주)
Powiat zwoleński,즈볼렌군
Muzeum Narodowe w Krakowie,크라쿠프 국립미술관
Powiat ostrowiecki,오스트로비에츠군
GIEKSA Arena,GKS 경기장
Powiat kolbuszowski,콜부쇼바군
Inowrocław,이노브로츠와프
Polityka zagraniczna Polski,폴란드의 대외 관계
Gryfici,그리프가
Łobez,워베스
Powiat otwocki,오트보츠크군
Autostrady i drogi ekspresowe w Polsce,아우토스트라다 (폴란드)
GKS Katowice (piłka nożna),GKS 카토비체
Powiat makowski,마쿠프군
Powiat warszawski zachodni,서바르샤바군
Okrągły Stół (Polska),폴란드 원탁회의
Powiat bełchatowski,베우하투프군
Mielec,미엘레츠
Ciechanów,치에하누프
Sieradz,시에라츠
Mrągowo,므롱고보
Filharmonia Bałtycka,폴란드 발트 필하모닉
Wołomin,보워민
Powiat bielski (województwo podlaskie),비엘스크군
Bonifratrzy,천주의 성 요한 수도회
Mława,므와바
Alwernia,알베르니아
Powiat aleksandrowski,알렉산드루프군
Powiat bydgoski,비드고슈치군
Bochnia,보흐니아
Oblężenie Wrocławia (1945),브레슬라우 전투 (1945년)
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Gdańsku,성모 승천 대성당
Premierzy Polski,폴란드의 총리 목록
Nysa,니사 (폴란드)
Transport kolejowy w Polsce,폴란드의 철도
Bitwa Warszawska,바르샤바 전투 (1920년)
Powiat szydłowiecki,시드워비에츠군
Powiat sierpecki,시에르프츠군
Poprad (rzeka),포프라트강
Krosno,크로스노
Sejny,세이니
Powiat wołomiński,보워민군
Powiat radomski,라돔군
Powiat płoński,프원스크군
Powiat przysuski,프시수하군
Powiat sokołowski,소코우프군
Arka Gdynia (piłka nożna),아르카 그디니아
Reprezentacja Polski w piłce ręcznej mężczyzn,폴란드 핸드볼 국가대표팀
GKS Bełchatów,GKS 베우하투프
Obrona Chojnic,호이니체 전투 (1939년)
Zamek Królewski w Warszawie,바르샤바 왕궁
Kuchnia polska,폴란드 요리
Wałcz,바우치 (폴란드)
Powiat pruszkowski,프루슈쿠프군
Powiat pułtuski,푸우투스크군
Powiat żyrardowski,지라르두프군
Piast Gliwice,피아스트 글리비체
Polska na letnich igrzyskach olimpijskich,올림픽 폴란드 선수단
Reprezentacja Polski w koszykówce mężczyzn,폴란드 농구 국가대표팀
Powiat węgrowski,벵그루프군
Lubliniec,루블리니에츠
Podbeskidzie Bielsko-Biała,포드베스키지에 비엘스코비아와
Pogoń Szczecin,포곤 슈체친
Powiat kartuski,카르투지군
Stronnictwo Narodowe (1928–1947),국민당 (폴란드)
Łańcuch alpejsko-himalajski,알프스-히말라야 조산대
Order Virtuti Militari,비르투티 밀리타이 훈장
Rysy,리시산
Solaris Bus %26 Coach,솔라리스 버스 %26 코치
Dunajec,두나예츠강
Giżycko,기지츠코
Powiat sokólski,소쿠카군
Jasło,야스워
Hel (miasto),헬 (폴란드)
Szczecinek,슈체치네크
Alstom Traxx,봄바디어 TRAXX
Rogoźno,로고지노
Rynek Główny w Krakowie,리네크 글루프니
Bezpartyjny Blok Wspierania Reform,개혁지지 무당파 의원단
Drewniane kościoły południowej Małopolski,남부 리틀폴란드의 목조 교회
Podział administracyjny Polski,폴란드의 행정 구역
Powiat mławski,므와바군
Powiat płocki,프워츠크군
Powiat gostyniński,고스티닌군
Powiat łosicki,워시체군
Powiat kozienicki,코지에니체군
Powiat miński,민스크군
Powiat grójecki,그루예츠군
Gorlice,고를리체
Powiat włodawski,브워다바군
Padniewko,파드니에브코
Powiat nowotarski,노비타르크군
Powiat przemyski,프셰미실군
Biblioteka Narodowa (Warszawa),폴란드 국립도서관
Powiat nowodworski (województwo pomorskie),노비드부르군 (포모제주)
Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,쇼팽 국제 피아노 콩쿠르
Powiat krasnostawski,크라스니스타프군
Polonia Bytom (piłka nożna),폴로니아 비톰
Pojezierze Mazurskie,마주리안 호수 지구
Biskupin (stanowisko archeologiczne),비스쿠핀 유적
Powiat chełmiński,헤움노군
Powiat golubsko-dobrzyński,골루프도브진군
Sojusz Lewicy Demokratycznej,민주좌파연합
Powiat inowrocławski,이노브로츠와프군
Powiat grudziądzki,그루지옹츠군
Powiat lipnowski,리프노군
Opoczno,오포치노 (폴란드)
Powiat radziejowski,라지에유프군
Polska Partia Robotnicza,폴란드 노동자당
Powiat lubański,루반군
Powiat lubiński,루빈군
Powiat lwówecki,르부베크군
Powiat wodzisławski,보지스와프군
Kazimierz Dolny,카지미에시 돌니
Powiat rypiński,리핀군
Chojna,호이나
Powiat strzyżowski,스트시주프군
Tatry Wysokie,고타트리산맥
Powiat włocławski,브워츠와베크군
Powiat świecki,시비에치에군
Powiat wąbrzeski,봉브제지노군
Literatura polska,폴란드 문학
Osinów Dolny,오시누프돌니
Powiat stalowowolski,스탈로바볼라군
Dzierżoniów,지에르조니우프
Kolumna Zygmunta III Wazy,지그문트 3세 바사 기둥
Port Lotniczy Gdańsk im. Lecha Wałęsy,그단스크 레흐 바웬사 공항
Krzywy Domek,크시비 도메크
Szczawnica,슈차브니차
Ustroń,우스트론
Powiat myślenicki,미실레니체군
Powiat gołdapski,고우다프군
Kościół św. Wojciecha w Krakowie (Rynek Główny),성 보치에하 교회
Operacja Tannenberg,타넨베르크 작전
Instytut Pamięci Narodowej,국립추모연구소
Pogrom w Jedwabnem,예드바브네 학살
Powiat lipski,립스코군
Powiat zgorzelecki,즈고젤레츠군
Powiat złotoryjski,즈워토리야군
Powiat ząbkowicki,종프코비체군
Powiat oławski,오와바군
Powiat polkowicki,폴코비체군
Powiat milicki,밀리치군
Powiat wołowski,보우프군
Powiat wrocławski,브로츠와프군
Powiat trzebnicki,트셰브니차군
Stadion Dyskobolii Grodzisk Wielkopolski,디스코볼라 경기장
Ratusz we Wrocławiu,브로츠와프 시청사
Trzebnica,트셰브니차
Powiat biłgorajski,비우고라이군
Powiat bialski,비아와군
Powiat świdnicki (województwo dolnośląskie),시비드니차군
Rabka-Zdrój,라브카즈드루이
E65 (trasa europejska),유럽 고속도로 65호선
Powiat chełmski,헤움군
Gospodarka Polski,폴란드의 경제
Prezydent Rzeczypospolitej Polskiej,폴란드의 대통령
Powiat rycki,리키군
Powiat tomaszowski (województwo lubelskie),토마슈프군 (루블린주)
Powiat radzyński,라진군 (폴란드)
Jarosław (województwo podkarpackie),야로스와프 (도시)
Karaimi,카라임족
Zakon Braci Mniejszych,작은형제회
Powiat zamojski,자모시치군
Pruszków,프루슈쿠프
Powiat lubelski,루블린군
Powiat lubartowski,루바르투프군
Powiat opolski (województwo lubelskie),오폴레군 (루블린주)
Powiat parczewski,파르체프군
Narodowe Odrodzenie Polski,국민부활을 위한 폴란드
Sukiennice w Krakowie,수키엔니체
Powiat puławski,푸와비군
Powiat węgorzewski,벵고제보군
Polskie Radio,폴스키에 라디오
Tatry Zachodnie,서타트리산맥
Powiat białobrzeski,비아워브제기군
Powiat łukowski,우쿠프군
Powiat łęczyński,웽치나군
Powiat świdnicki (województwo lubelskie),시비드니크군
Reprezentacja Polski w piłce nożnej kobiet,폴란드 여자 축구 국가대표팀
Motor Lublin (piłka nożna),모토르 루블린
Powiat gorlicki,고를리체군
Prusy (kraina historyczna),프로이센 (지역)
Korona Kielce,코로나 키엘체
Oberek,오페레크
Port lotniczy Wrocław-Strachowice,브로츠와프-코페르니쿠스 공항
Powiat będziński,벵진군
Polska na Zimowych Igrzyskach Olimpijskich 1964,1964년 동계 올림픽 폴란드 선수단
Polska na Zimowych Igrzyskach Olimpijskich 1968,1968년 동계 올림픽 폴란드 선수단
Polska na Zimowych Igrzyskach Olimpijskich 1980,1980년 동계 올림픽 폴란드 선수단
Powiat brzeski (województwo małopolskie),브제스코군
Plac Zamkowy w Warszawie,잠코비 광장
Ostrowiec Świętokrzyski,오스트로비에츠시비엥토크시스키
Powiat leżajski,레자이스크군
Powiat augustowski,아우구스투프군
Powiat łomżyński,웜자군
Powiat sochaczewski,소하체프군
Powiat sieradzki,시에라츠군
Powiat zambrowski,잠브루프군
Powiat ciechanowski,치에하누프군
Powiat garwoliński,가르볼린군
Powiat piaseczyński,피아세치노군
Redzikowo (wieś),레드지코보
Powiat zgierski,즈기에시군
Powiat wysokomazowiecki,비소키에마조비에츠키에군
Powiat pajęczański,파옝치노군
Powiat grodziski (województwo mazowieckie),그로지스크군 (마조프셰주)
Powiat grajewski,그라예보군
Powiat siemiatycki,시에미아티체군
Powiat hajnowski,하이누프카군
Powiat białostocki,비아위스토크군
Powiat łódzki wschodni,동우치군
Olza (rzeka),올자강
Powiat konecki,콘스키에군
Powiat włoszczowski,브워슈초바군
Warszawski Międzynarodowy Festiwal Filmowy,바르샤바 국제 영화제
Powiat ropczycko-sędziszowski,로프치체셍지슈프군
Koalicja Obywatelska,시민연합
Powiat człuchowski,치우후프군
Powiat mrągowski,므롱고보군
Powiat bartoszycki,바르토시체군
Powiat przeworski,프셰보르스크군
Powiat kraśnicki,크라시니크군
Powiat leski,레스코군
Powiat kielecki,키엘체군
Powiat rzeszowski,제슈프군
Powiat buski,부스코군
Powiat kazimierski,카지미에자군
Suwerenna Polska,통합 폴란드
Powiat jędrzejowski,옝제유프군
Powiat żywiecki,지비에츠군
Powiat olecki,올레츠코군
Powiat suwalski,수바우키군
Powiat ełcki,에우크군
Powiat sejneński,세이니군
Powiat poddębicki,포뎅비체군
Powiat kętrzyński,켕트신군
Powiat świdwiński,시비드빈군
Uniwersytet Muzyczny Fryderyka Chopina,바르샤바 음악원
Powiat sanocki,사노크군
Powiat limanowski,리마노바군
Powiat kołobrzeski,코워브제크군
Powiat wadowicki,바도비체군
Powiat bielski (województwo śląskie),비엘스코군
Powiat jasielski,야스워군
Powiat łańcucki,완추트군
Powiat zawierciański,자비에르치에군
Powiat dąbrowski,동브로바군
Powiat działdowski,지아우도보군
Powiat stargardzki,스타르가르트군
Powiat olkuski,올쿠시군
Powiat myszkowski,미슈쿠프군
Powiat nowodworski (województwo mazowieckie),노비드부르군 (마조프셰주)
Powiat iławski,이와바군
Powiat ostrowski (województwo mazowieckie),오스트루프군 (마조프셰주)
Powiat nidzicki,니지차군
Powiat tczewski,트체프군
Powiat tarnowski,타르누프군
Powiat bytowski,비투프군
Powiat radomszczański,라돔스코군
Powiat sztumski,슈툼군
Powiat starogardzki,스타로가르트군
Powiat kwidzyński,크비진군
Powiat wejherowski,베이헤로보군
Powiat słupski,스웁스크군
Powiat cieszyński,치에신군
Powiat chrzanowski,흐샤누프군
Powiat elbląski,엘블롱크군
Powiat białogardzki,비아워가르트군
Narodowe Święto Niepodległości,독립기념일 (폴란드)
