"Мигунова, Елена Сергеевна",옐레나 미구노바
Алан Елизбарович Дзагоев,알란 자고예프
Zedd,제드
"Гуляева, Елена Викторовна",옐레나 굴랴예바
"Моргунов, Александр Андреевич",알렉산드르 모르구노프
Геннадий Андреевич Зюганов,겐나디 주가노프
Виктор Степанович Черномырдин,빅토르 체르노미르딘
Николай Владимирович Давыденко,니콜라이 다비덴코
"Петров, Кирилл Андреевич",키릴 페트로프
Виктор Алексеевич Зубков,빅토르 줍코프
Людмила Стефановна Петрушевская,류드밀라 페트루솁스카야
"Смехов, Вениамин Борисович",베니아민 스메콥
"Петров, Олег Викторович",올레크 페트로프
Иван Андреевич Мясников,이반 먀스니코프
"Леонова, Алёна Игоревна",알료나 레오노바
Анатолий Алексеевич Белоглазов,아나톨리 벨로글라조프
Владимир Николаевич Воронин,블라디미르 보로닌
Михаил Михайлович Касьянов,미하일 카시야노프
Михаил Ефимович Фрадков,미하일 프랏코프
Павел Дуров,파벨 두로프
Юрий Михайлович Лужков,유리 루시코프
Алексий II,모스크바 총대주교 알렉세이 2세
Колосс,콜로서스
Арсен Жораевич Галстян,아르센 갈스탼
Юрий Нестеренко,조지 유리 라이트
Валентина Ивановна Матвиенко,발렌티나 마트비옌코
"Пантаева, Ирина Владленовна",이리나 판타예바
Людмила Гурченко,류드밀라 구르첸코
Борис Дмитриевич Парыгин,보리스 파리긴
Роман Сергеевич Зобнин,로만 조브닌
Ксения Чумичева,크세니아 추미체바
Евгений Васильевич Шевчук,예브게니 솁추크
Александр Геннадьевич Анюков,알렉산드르 아뉴코프
Захар Нухимович Брон,자하르 브론
Борис Вячеславович Грызлов,보리스 그리즐로프
Юрий Абрамович Башмет,유리 바시메트
Владимир Игоревич Арнольд,블라디미르 아르놀트
Мстислав Леопольдович Ростропович,므스티슬라프 로스트로포비치
Герман Степанович Титов,게르만 티토프
Алексей Алексеевич Абрикосов,알렉세이 알렉세예비치 아브리코소프
Светлана Евгеньевна Савицкая,스베틀라나 사비츠카야
"Горлукович, Сергей Вадимович",세르게이 고를루코비치
"Селихова, Лидия Матвеевна",리디야 셀리호바
Жорес Иванович Алфёров,조레스 알표로프
Александр Александрович Карелин,알렉산드르 카렐린
Николай Басков,니콜라이 바스코프
Юрий Валентинович Жирков,유리 지르코프
"Ойстрах, Игорь Давидович",이고리 오이스트라흐
Алексей Анатольевич Навальный,알렉세이 나발니
Владимир Давидович Ашкенази,블라디미르 아슈케나지
Альфред Гарриевич Шнитке,알프레트 시닛케
"Сёмин, Александр Валерьевич",알렉산드르 쇼민
Андрей Витальевич Коротаев,안드레이 코로타예프
Галина Сергеевна Уланова,갈리나 울라노바
Гарри Каспаров,게리 카스파로프
Евгения Максимовна Тарасова,예브게니야 타라소바
Сергей Кужугетович Шойгу,세르게이 쇼이구
Андрей Маратович Бабицкий,안드레이 바비츠키
Игорь Владимирович Денисов,이고르 데니소프
Константин Георгиевич Зырянов,콘스탄틴 지랴노프
"Фёдорова, Лина Алексеевна",리나 표도로바
"Мирошкин, Максим Романович",막심 미로시킨
Динияр Ринатович Билялетдинов,디니야르 빌랼레트디노프
"Привалова, Ирина Анатольевна",이리나 프리발로바
Михаил Сергеевич Горбачёв,미하일 고르바초프
Марис Арвидович Янсонс,마리스 얀손스
"Жуков, Михаил Сергеевич",미하일 주코프
Светлана Александровна Кузнецова,스베틀라나 쿠즈네초바
Светлана Ходченкова,스베틀라나 홋첸코바
Александр Степанович Попов,알렉산드르 포포프
Олег Кимович Васильев,올레크 바실리예프
Давид Фёдорович Тухманов,다비트 투흐마노프
Игорь Витальевич Жижикин,이고리 지지킨
"Скрипочка, Олег Иванович",올레크 스크리포치카
Роман Андреевич Власов,로만 블라소프
Юрий Иванович Манин,유리 마닌
Сергей Александрович Белов,세르게이 벨로프
"Малышева, Екатерина Александровна",예카테리나 말리셰바
Мария Витальевна Баликоева,마리야 베르체노바
Мария Владимировна Романова,마리아 블라디미로브나 로마노프
"Поветкин, Александр Владимирович",알렉산데르 포벳킨
"Петров, Алексей Александрович",알렉세이 페트로프
Екатерина Владимировна Галкина,예카테리나 갈키나
"Жаркова, Ольга Николаевна",올가 자르코바
Ирина Викторовна Лобачёва,이리나 로바초바
Ирина Муцуовна Хакамада,이리나 하카마다
Михаил Шуфутинский,미하일 슈프틴스키
Владимир Исайчев,블라디미르 이사이체프
"Опалев, Максим Александрович",막심 오팔레프
Борис Гребенщиков,보리스 그레벤슈치코프
Илья Авербух,일리야 아베르부흐
Мария Григорьевна Исакова,마리야 이사코바
Алексей Рыбников,알렉세이 리브니코프
Александр Александрович Волков,알렉산드르 볼코프
Сергей Владимирович Быков,세르게이 비코프
"Майоров, Евгений Александрович",예브게니 마요로프
Вячеслав Михайлович Анисин,뱌체슬라프 아니신
Шериг-оол Дизижикович Ооржак,셰리크-올 오르자크
Леонид Игоревич Маркелов,레오니트 마르켈로프
Александр Александрович Волков,알렉산드르 볼코프
Илья Валерьевич Ковальчук,일리야 코발추크
"Поднебеснова, Нина Николаевна",니나 포드네베스노바
Валентин Сергеевич Павлов,발렌틴 파블로프
Ингеборга Дапкунайте,잉게보르가 다프쿠나이트
Юрий Яковлевич Арбачаков,유리 아르바차코프
"Королёв, Игорь Борисович",이고리 코롤료프
Татьяна Борисовна Аверина,타티야나 아베리나
Владимир Вольфович Жириновский,블라디미르 지리놉스키
Иван Фёдорович Добронравов,이반 도브론라보프
Игорь Владимирович Акинфеев,이고리 아킨페예프
Павел Семёнович Лунгин,파벨 룽겐
"Новиков, Игорь Дмитриевич",이고리 드미트리예비치 노비코프
Сергей Станишев,세르게이 스타니셰프
"Юмин, Владимир Сергеевич",블라디미르 유민
"Мотылёв, Александр Анатольевич",알렉산드르 모틸료프
"Санчес, Майкл Робертович",미카엘 산체스
"Мунзук, Максим Монгужукович",막심 문주크
Василий Серафимович Синайский,바실리 시나이스키
"Владимиров, Василий Сергеевич",바실리 블라디미로프
"Пивцакин, Никита Васильевич",니키타 핍차킨
Константин Григорьевич Вырупаев,콘스탄틴 비루파예프
"Егоров, Георгий Михайлович",게오르기 예고로프
Джамал Султанович Отарсултанов,자말 오타르술타노프
"Хорошев, Игорь Петрович",이고르 호로셰프
"Анисимова, Татьяна Михайловна",타티야나 아니시모바
Людмила Евгеньевна Белоусова,류드밀라 벨로우소바
Сергей Викторович Залётин,세르게이 잘료틴
Юрий Валентинович Лончаков,유리 론차코프
Наталья Утевлевна Аринбасарова,나탈리야 아린바사로바
Михаил Сергеевич Боярский,미하일 보야르스키
Валентина Илларионовна Талызина,발렌티나 탈리지나
Екатерина Лагно,카테리나 라흐노
Сергей Юрьевич Глазьев,세르게이 글라지예프
"Крылов, Владимир Валентинович",블라디미르 크릴로프
"Королёв, Евгений Александрович",예브게니 코롤료프
"Горпишин, Вячеслав Николаевич",뱌체슬라프 고르피신
Станислав Васильевич Тарасенко,스타니슬라프 타라센코
Анатолий Борисович Чубайс,아나톨리 추바이스
Майя Валентиновна Усова,마이야 우소바
"Захаревич, Юрий Иванович",유리 자카레비치
Анастасия Ильинична Близнюк,아나스타시야 블리즈뉴크
Роман Николаевич Широков,로만 시로코프
Вячеслав Александрович Малафеев,뱌체슬라프 말라페예프
Илья Владимирович Цымбаларь,일리아 침발라르
"Климов, Фёдор Александрович",표도르 클리모프
Тимур Анатольевич Дибиров,티무르 디비로프
Дмитрий Сергеевич Кириченко,드미트리 키리첸코
Александр Данилович Александров,알렉산드르 다닐로비치 알렉산드로프
"Гамкрелидзе, Реваз Валерианович",레바즈 감크렐리제
Сергей Сергеевич Митрохин,세르게이 미트로힌
Александр Анатольевич Кержаков,알렉산드르 케르자코프
Сергей Борисович Иванов,세르게이 이바노프
"Гребешков, Денис Сергеевич",데니스 그레베시코프
"Гранкин, Сергей Юрьевич",세르게이 그란킨
"Комаров, Леонид Александрович",레오 코마로브
"Погребняк, Павел Викторович",파벨 포그레브냐크
Фёдор Владимирович Емельяненко,표도르 예멜리아넨코
Григорий Алексеевич Явлинский,그리고리 야블린스키
Кристина Игоревна Асмус,크리스티나 아스무스
"Протопопов, Олег Алексеевич",올레크 프로토포포프
Нина Жук,니나 주크
Наталья Погонина,나탈리야 포고니나
"Смирнова, Людмила Станиславовна",류드밀라 스미르노바
Александр Николаевич Спесивцев,알렉산드르 스페십체프
"Таймазов, Тимур Борисович",티무르 타이마조프
Валерий Скворцов,발레리 스크보르초프
Владимир Анатольевич Воробьёв,블라디미르 보로비요프
Александр Гельевич Дугин,알렉산드르 두긴
"Дреев, Алексей Сергеевич",알렉세이 드레예프
Дарья Владимировна Домрачева,다르야 돔라체바
Евгений Александрович Кафельников,예브게니 카펠니코프
Сергей Владимирович Михалков,세르게이 미할코프
Геннадий Николаевич Рождественский,겐나디 로즈데스트벤스키
"Столбова, Ксения Андреевна",크세니야 스톨보바
"Букина, Екатерина Борисовна",예카테리나 부키나
Станислав Алексеевич Поздняков,스타니슬라프 포즈냐코프
Хаджимурад Сайгидмагомедович Магомедов,하지무라트 마고메도프
"Третьяков, Александр Владимирович",알렉산드르 트레티야코프
Валерий Владимирович Буре,발레리 부레
Аниш Гири,아니쉬 기리
"Константинов, Виталий Викторович",비탈리 콘스탄티노프
Олег Леонидович Лундстрем,올레크 룬츠트렘
"Магомедов, Сейфулла Сеферович",세이풀라 마고메도프
Николай Михайлович Языков,니콜라이 야지코프
Дмитрий Викторович Харин,드미트리 하린
Рамзан Кадыров,람잔 카디로프
Анатолий Алексеевич Логунов,아나톨리 로구노프
Алексей Владимирович Березуцкий,알렉세이 베레주츠키
"Хабибулин, Николай Иванович",니콜라이 하비불린
Вячеслав Александрович Фетисов,뱌체슬라프 페티소프
Светлана Андреевна Светикова,스베틀라나 스베티코바
"Дадонов, Евгений Анатольевич",예브게니 다도노프
Сергей Карякин,세르게이 카랴킨
"Юровский, Владимир Михайлович",블라디미르 유롭스키
Сослан Петрович Андиев,소슬란 안디예프
"Скворцов, Александр Александрович",알렉산드르 스크보르초프
Геннадий Владимирович Гудков,겐나디 굿코프
"Табакова, Юлия Геннадьевна",율리야 타바코바
Махарбек Хазбиевич Хадарцев,마하르베크 하다르체프
"Горшков, Александр Георгиевич",알렉산드르 고르시코프
Алиса Клейбанова,알리사 클레이바노바
Людмила Постнова,류드밀라 포스트노바
Александр Степанович Викторенко,알렉산드르 빅토렌코
Александр Сергеевич Васюнов,알렉산드르 바슈노프
Michael Caloz,마이클 캘로즈
"Лобинцев, Никита Константинович",니키타 로빈체프
"Изотов, Данила Сергеевич",다닐라 이조토프
Реналь Рамилевич Ганеев,레날 가네예프
"Сухов, Павел Владиславович",파벨 수호프
"Ахматхузин, Артур Камилевич",아르투르 아크마트쿠진
Евгений Валерьевич Алдонин,예브게니 알도닌
"Альбиев, Ислам-Бека Саид-Цилимович",이슬람베카 알비예프
Юлия Олеговна Волкова,율리야 볼코바
"Хайбулаев, Тагир Камалудинович",타기르 하이불라예프
Павел Владимирович Буре,파벨 부레
"Скворцова, Вероника Игоревна",베로니카 스크보르초바
"Саутин, Дмитрий Иванович",드미트리 사우틴
Рахим Русланович Чакхиев,라힘 차흐키예프
Евгений Евгеньевич Коротышкин,예브게니 코로티시킨
Виталий Иванович Чуркин,비탈리 추르킨
Сергей Николаевич Игнашевич,세르게이 이그나셰비치
"Толубеев, Андрей Юрьевич",안드레이 톨루베예프
"Карпенко, Виктор Александрович",빅토르 카르펜코
Никита Белых,니키타 벨리흐
Игорь Иванович Шувалов,이고리 슈발로프
Роман Станиславович Адамов,로만 아다모프
"Фок, Владимир Александрович",블라디미르 포크
Сергей Викторович Гончар,세르게이 곤차르
"Непряев, Иван Николаевич",이반 네프랴예프
Николай Ефимович Андрианов,니콜라이 안드리아노프
Сергей Чернецкий,세르게이 체르네츠키
Ксения Леонидовна Хаирова,크세니야 하이로바
"Худорошкина, Ирина Александровна",이리나 후도로시키나
Рустэм Закиевич Хамитов,루스템 하미토프
Алла Ефремовна Гербер,알라 게르베르
"Москвина, Тамара Николаевна",타마라 모스크비나
"Клюгин, Сергей Петрович",세르게이 클류긴
Алексей Анатольевич Шульгин,알렉세이 슐긴
Светлана Иосифовна Аллилуева,스베틀라나 알릴루예바
Виталий Иванович Воротников,비탈리 보롯니코프
"Дмитриев, Роман Михайлович",로만 드미트리예프
Магомедсалам Магомедалиевич Магомедов,마고메드살람 마고메도프
Муху Гимбатович Алиев,무후 알리예프
Талгат Амангельдиевич Мусабаев,탈가트 무사바예프
"Подклетнов, Евгений Евгеньевич",예브게니 폿클레트노프
"Левенштейн, Владимир Иосифович",블라디미르 레벤시테인
"Спиридонов, Максим Владимирович",막심 스피리도노프
"Шелестов, Сергей Владимирович",세르게이 셸레스토프
Владимир Владимирович Вдовиченков,블라디미르 브도비첸코프
"Торгованов, Дмитрий Николаевич",드미트리 토르고바노프
Арсен Липаритович Аветисян,아르센 아베티샨
Василий Иванович Алексеев,바실리 알렉세예프
Елена Сергеевна Катина,레나 카티나
Татьяна Васильевна Казанкина,타티야나 카잔키나
"Душевина, Вера Евгеньевна",베라 두셰비나
Глеб Павловский,글레프 파블롭스키
"Лаврова, Наталья Александровна",나탈리야 라브로바
Светлана Евгеньевна Феофанова,스베틀라나 페오파노바
Ирина Эдуардовна Слуцкая,이리나 슬루츠카야
Михаил Распутин,미하일 라스푸틴
Алла Николаевна Баянова,알라 바이야노바
Александр Александрович Волков,알렉산드르 볼코프
Егор Ильич Титов,예고르 티토프
Николай Антонович Доллежаль,니콜라이 돌레잘
Татьяна Романовна Лебедева,타티야나 레베데바
Михаил Вячеславович Анисин,미하일 아니신
Евгений Фёдоров,예브게니 표도로프
"Зубов, Илья Игоревич",일리야 주보프
Николай Платонович Патрушев,니콜라이 파트루셰프
Константин Юрьевич Хабенский,콘스탄틴 하벤스키
Ольга Сергеевна Кузенкова,올가 쿠젠코바
Татьяна Жук,타티야나 주크
Наталия Орейро,나탈리아 오레이로
Иван Андреевич Ургант,이반 우르간트
Олег Евгеньевич Меньшиков,올레크 멘시코프
"Файзулин, Виктор Игоревич",빅토르 파이줄린
Наиль Раилович Якупов,나일 야쿠포프
Анна Васильевна Чапман,애나 채프먼
Симеон Полоцкий,폴로츠크의 시메온
Наталья Михайловна Водянова,나탈리야 보댜노바
Евгений Крылатов,예브게니 크릴라토프
Екатерина Валерьевна Макарова,예카테리나 마카로바
Игорь Шалимов,이고리 샬리모프
Муслим Магометович Магомаев,무슬림 마고마예프
Ксения Первак,크세니야 페르바크
Мария Васильевна Абакумова,마리야 아바쿠모바
Рой Джонс,로이 존스 주니어
"Шариков, Сергей Александрович",세르게이 샤리코프
Владимир Андреевич Успенский,블라디미르 우스펜스키
"Синай, Яков Григорьевич",야코프 시나이
"Мусульбес, Давид Владимирович",다비드 무술베스
Юрий Николаевич Балуевский,유리 발루옙스키
Эдуард Эргартович Россель,예두아르트 로셀
"Корнеев, Олег Анатольевич",올레크 코르네예프
Юрий Николаевич Шишкин,유리 쉬쉬킨
Елена Георгиевна Боннэр,옐레나 본네르
Дарья Игоревна Клишина,다리야 클리시나
Елена Александровна Лиховцева,옐레나 리홉체바
"Слесаренко, Елена Владимировна",옐레나 슬레사렌코
"Пресс, Тамара Натановна",타마라 프레스
Людмила Александровна Очеретная,류드밀라 푸티나
Елена Олеговна Бовина,옐레나 보비나
Инна Чурикова,인나 추리코바
Игорь Михайлович Дьяконов,이고리 디야코노프
Анатолий Яковлевич Соловьёв,아나톨리 솔로비요프
Юлия Обертас,율리야 오베르타스
"Елесина, Елена Борисовна",옐레나 옐레시나
"Дылдин, Максим Сергеевич",막심 딜딘
Мавлет Алавдинович Батиров,마블레트 바티로프
"Зязиков, Мурат Магометович",무라트 쟈지코프
Галина Валентиновна Чистякова,갈리나 치스탸코바
Анна Цуканова-Котт,안나 츠카 노바
Алексей Владимирович Волков,알렉세이 볼코프
Юрий Павлович Гидзенко,유리 기젠코
Борис Валентинович Волынов,보리스 볼리노프
"Маркова, Ольга Дмитриевна",올가 마르코바
Вик Уайлд,빅 와일드
"Черемисинов, Алексей Борисович",알렉세이 체레미시노프
"Шутова, Любовь Андреевна",류보비 슈토바
Светлана Владимировна Медведева,스베틀라나 메드베데바
Аркадий Владимирович Дворкович,아르카디 드보르코비치
Ирина Шейк,이리나 샤크
"Галанов, Максим Николаевич",막심 갈라노프
Нелли Владимировна Ким,넬리 킴
"Кузнецов, Евгений Борисович",예브게니 쿠즈네초프
Майкл Лукас,마이클 루커스
"Мурадов, Ширвани Гаджикурбанович",시르바니 무라도프
Александр Рязанцев,알렉산드르 랴잔체프
Виктор Павлович Павлов,빅토르 파블로프
Носорог,라이노
Дмитрий Андреевич Василенко,드미트리 바실렌코
Виктория Евгеньевна Волчкова,빅토리야 볼치코바
Наталья Эдуардовна Андрейченко,나탈리야 안드레이첸코
Светлана Александровна Мастеркова,스베틀라나 마스테르코바
Олеся Юрьевна Рулин,올레샤 루린
Михаил Дмитриевич Прохоров,미하일 프로호로프
Лариса Турчинская,라리사 투르친스카야
"Шенделев, Сергей Викторович",세르게이 셴델레프
"Ельцова, Марина Алексеевна",마리나 옐초바
"Быкова, Тамара Владимировна",타마라 비코바
"Скобликова, Лидия Павловна",리디야 스코블리코바
Лариса Лазутина,라리사 라주티나
Диана Гурцкая,디아나 구르츠카야
Чулпан Наилевна Хаматова,출판 하마토바
"Горбунов, Владимир Владимирович",블라디미르 고르부노프
"Лемтюгов, Николай Александрович",니콜라이 렘튜고프
Шолбан Валерьевич Кара-оол,숄반 카라올
Сергей Владимирович Харьков,세르게이 하리코프
Оксана Акиньшина,옥사나 아킨시나
"Колобова, Виолетта Витальевна",비올레타 콜로보바
Ирина Константиновна Роднина,이리나 로드니나
Светлана Васильевна Хоркина,스베틀라나 호르키나
Михаил Викторович Кокляев,미하일 코클랴예프
Олег Викторович Новицкий,올레크 노비츠키
"Трегубов, Виктор Николаевич",빅토르 트레구보프
Максим Михайлович Михайлов,막심 미하일로프
Марина Алексеевна Ладынина,마리나 레디니나
Елена Александровна Валова,옐레나 발로바
Виктория Самойловна Токарева,빅토리야 토카레바
"Решетников, Вениамин Сергеевич",베니아민 레셰트니코프
"Якименко, Алексей Андреевич",알렉세이 야키멘코
Юлия Анатольевна Чепалова,율리야 체팔로바
"Гущина, Юлия Александровна",율리야 구시치나
"Кривелёва, Светлана Владимировна",스베틀라나 크리벨료바
Ольга Петровна Бондаренко,올가 본다렌코
"Небольсина, Вера Валерьевна",베라 네볼시나
"Иткина, Мария Леонтьевна",마리야 잇키나
"Полякова, Евгения Андреевна",예브게니야 폴랴코바
Булат Окуджава,불라트 오쿠자바
Наталья Витальевна Воробьёва,나탈리야 보로비요바
Ирина Игоревна Антоненко,이리나 안토넨코
"Назарова, Наталья Викторовна",나탈리야 나자로바
Виктор Фёдорович Янукович,빅토르 야누코비치
Леонид Михайлович Щербаков,레오니트 셰르바코프
Татьяна Котова,타티야나 코토바
"Форшева, Олеся Александровна",올레샤 포르셰바
"Федорива, Александра Андреевна",알렉산드라 페도리바
"Сапожников, Андрей Викторович",안드레이 사포즈니코프
"Макаров, Николай Егорович",니콜라이 예고로비치 마카로프
Евгения Евгеньевна Володина,예브게니야 볼로디나
Катарина Александровна Гербольдт,카타리나 게르볼트
"Мартынова, Арина Валерьевна",아리나 마르티노바
Вагит Юсуфович Алекперов,바기트 알렉페로프
"Романова, Елена Николаевна",옐레나 로마노바
Андрей Вознесенский,안드레이 보즈네센스키
Сергей Васильевич Авдеев,세르게이 아브데예프
Александр Михайлович Бутурлин,알렉산드르 부투를린
Валентина Степановна Гризодубова,발렌티나 그리조두보바
"Лапшин, Тимофей Алексеевич",티모페이 랍신
"Тотров, Рустам Станиславович",루스탐 토트로프
