Paris,パリ
Sarre-Union,サール＝ユニオン
Communauté urbaine de Lyon,リヨン都市共同体
Allier (rivière),アリエ川
Gare de Lyon-Part-Dieu,リヨン・パールデュー駅
Château de Versailles,ヴェルサイユ宮殿
Invasion de la Martinique (1762),マルティニーク島侵攻・(1762年)
Groupe d'intervention de la Gendarmerie nationale,国家憲兵隊治安介入部隊
Abbaye d'Hautecombe,オートコンブ修道院
Bataille de Saint-Omer (1340),サン・トメールの戦い
Séisme et tsunami de 2004 dans l'océan Indien,スマトラ島沖地震・(2004年)
Arc de triomphe de l'Étoile,エトワール凱旋門
Le Couronnement d'épines (Titien),荊冠のキリスト・(ティツィアーノ、ルーヴル美術館)
Villon (Yonne),ヴィヨン・(ヨンヌ県)
Aisne (département),エーヌ県
Ain (département),アン県
Vosges (département),ヴォージュ県
Alpes-Maritimes,アルプ＝マリティーム県
Ardèche (département),アルデシュ県
Alpes-de-Haute-Provence,アルプ＝ド＝オート＝プロヴァンス県
Walbourg,ヴァルブール
Allier (département),アリエ県
Jura (département),ジュラ県
Hautes-Alpes,オート＝アルプ県
Bataille de Verdun,ヴェルダンの戦い
Ardennes (département),アルデンヌ県
Air France,エールフランス
Colmar,コルマール
Aveyron (département),アヴェロン県
Dinard,ディナール・(フランス)
Charente (département),シャラント県
Cantal (département),カンタル県
Bouches-du-Rhône,ブーシュ＝デュ＝ローヌ県
Calvados (département),カルヴァドス県
Aude (département),オード県
19e étape du Tour de France 2007,ツール・ド・フランス2007各ステージ結果
Drucat,ドゥルカ
Bourges,ブールジュ
Ariège (département),アリエージュ県
Aube (département),オーブ県
Arras,アラス
Alémanique,アレマン語
Cher (département),シェール県
Calvados (eau-de-vie),カルヴァドス
Charente-Maritime,シャラント＝マリティーム県
Bataille de la Somme,ソンムの戦い
Camembert (fromage),カマンベールチーズ
Siège d'Alésia,アレシアの戦い
Coupe du monde de football 1938,1938・FIFAワールドカップ
Corrèze (département),コレーズ県
Monarchie constitutionnelle française (1791-1792),フランス立憲王国
.yt,.yt
Corse-du-Sud,コルス＝デュ＝シュド県
Côte-d'Or,コート＝ドール県
Régime de Vichy,ヴィシー政権
Mamoudzou,マムズ
Biarritz,ビアリッツ
Albi,アルビ
Lourdes,ルルド
Haute-Corse,オート＝コルス県
Pau,ポー
Quatrième République (France),フランス第四共和政
Olympique de Marseille,オリンピック・マルセイユ
Côtes-d'Armor,コート＝ダルモール県
Creuse (département),クルーズ県
Dordogne (département),ドルドーニュ県
Doubs (département),ドゥー県
Groix,グロワ島
.pm,.pm
Bourg-en-Bresse,ブール＝カン＝ブレス
Commune de Paris,パリ・コミューン
Station spatiale internationale,国際宇宙ステーション
Drôme (département),ドローム県
Saint-Barthélemy (Antilles françaises),サン・バルテルミー島
Essonne (département),エソンヌ県
Eure-et-Loir,ウール＝エ＝ロワール県
Eure (département),ウール県
Saint-Martin (île),セント・マーチン島
Finistère,フィニステール県
Issoire,イソワール
Knutange,クニュタンジュ
Malestroit,マレストロワ
Guémené-sur-Scorff,ゲムネ＝シュル＝スコルフ
Vienne (Isère),ヴィエンヌ・(イゼール県)
La Wantzenau,ラ・ヴァンツェノー
Angoulême,アングレーム
Guyane,フランス領ギアナ
Blain,ブラン・(シャトーブリアン郡)
Roanne,ロアンヌ
Béhuard,ベユアール
Étel,エテル
Chanteloup-les-Bois,シャンテルー＝レ＝ボワ
L'Hôpital-Saint-Blaise,ロピタル＝サン＝ブレーズ
Organisation internationale de la francophonie,フランコフォニー国際機関
Université Jean-Moulin-Lyon-III,ジャン・ムーラン・リヨン第3大学
Université Lumière-Lyon-II,リュミエール・リヨン第2大学
Château de Blois,ブロワ城
Fougères,フージェール
Troisième République (France),フランス第三共和政
Opéra national de Lyon,リヨン国立オペラ
Orchestre national de Lyon,リヨン国立管弦楽団
Bataille de Valmy,ヴァルミーの戦い
Alpine (automobile),アルピーヌ
Lyon olympique universitaire rugby,リヨンOU
ASVEL Lyon-Villeurbanne,アスヴェル・バスケット
Sites palafittiques préhistoriques autour des Alpes,アルプス山脈周辺の先史時代の杭上住居群
Pacte civil de solidarité,民事連帯契約
Brasier (entreprise),ブラジエール
Automobiles Ettore Bugatti,ブガッティ
Championnat d'Europe masculin de basket-ball 1983,1983年バスケットボール男子欧州選手権
Carnac,カルナック・(フランス)
Jour du Souvenir,リメンブランス・デー
Euro,ユーロ
Premier Empire,フランス第一帝政
Vosne-Romanée,ヴォーヌ＝ロマネ
Mer Méditerranée,地中海
Bayonne,バイヨンヌ
Second Empire,フランス第二帝政
Bastia,バスティア
Vougeot,ヴージョ
Gourin,グラン・(モルビアン県)
Bataille de Crécy,クレシーの戦い
Hennebont,エンヌボン
Josselin (Morbihan),ジョスラン
Garonne,ガロンヌ川
Basilique du Sacré-Cœur de Montmartre,サクレ・クール寺院
Catacombes de Paris,カタコンブ・ド・パリ
Lanester,ラネステール
Abbeville,アブヴィル
Relations entre la France et le Royaume-Uni,英仏関係
Champagne (AOC),シャンパン
Le Kremlin-Bicêtre,ル・クレムラン＝ビセートル
Issy-les-Moulineaux,イシー＝レ＝ムリノー
Île-aux-Moines,イル＝オー＝モワンヌ
Troyes,トロワ
ESCP Business School,ESCP経営大学院
Hispano-Suiza,イスパノ・スイザ
Saint-Brieuc,サン＝ブリユー
Pâte feuilletée,パフペストリー
Canal de l'Est,東運河
Championnat de France de rugby à XV,フランス選手権トップ14
Championnat de France de rugby à XV de 2e division,ラグビー・プロD2
Brive-la-Gaillarde,ブリーヴ＝ラ＝ガイヤルド
Locmariaquer,ロクマリアケール
Sarlat-la-Canéda,サルラ＝ラ＝カネダ
Gâvres,ガヴル
Avignon,アヴィニョン
La Liberté guidant le peuple,民衆を導く自由の女神
Ambassade du Canada en France,在フランスカナダ大使館
Lorient,ロリアン
Conciergerie de Paris,コンシェルジュリー
Locmaria,ロクマリア
Léman,レマン湖
Vitry-sur-Seine,ヴィトリー＝シュル＝セーヌ
Frères des écoles chrétiennes,ラ・サール会
Maubeuge,モブージュ
Montpellier,モンペリエ
Aiguille Verte,エギーユ・ヴェルト
Grandes Jorasses,グランド・ジョラス
Pic du Midi d'Ossau,ピック・デュ・ミディ・ドソー
Département français,フランスの地方行政区画
Arrondissement de Torcy,トルシー郡
France aux Jeux olympiques d'été de 2012,2012年ロンドンオリンピックのフランス選手団
Calais,カレー・(フランス)
Révolution française,フランス革命
Paris Photo,パリ・フォト
La Défense (métro de Paris),ラ・デファンス＝グランダルシュ駅
Paris-Tours 2012,パリ〜ツール2012
Îles du Vent (Polynésie),ウィンドワード諸島・(ソシエテ諸島)
Montdidier (Somme),モンディディエ
Alpes occidentales,西アルプス山脈
France aux Jeux olympiques d'hiver de 2006,2006年トリノオリンピックのフランス選手団
France aux Jeux olympiques d'hiver de 1924,1924年シャモニー・モンブランオリンピックのフランス選手団
Nexans,ネクサンス
Palais de justice de Paris,パレ・ド・ジュスティス・(パリ)
Ministère des Armées,軍事省・(フランス)
Musée des Beaux-Arts d'Arras,アラス美術館
Montagne Pelée,プレー山
Narbonne,ナルボンヌ
Orléans,オルレアン
Prise de la Bastille,バスティーユ襲撃
Libourne,リブルヌ
France aux Jeux olympiques d'hiver de 1972,1972年札幌オリンピックのフランス選手団
Carcassonne,カルカソンヌ
Strasbourg,ストラスブール
Vannes,ヴァンヌ
Forvia,フォルシア
Zazas,ザザ人
JCDecaux,ジェーシードゥコー
Périgueux,ペリグー
Le Parisien,ル・パリジャン
France aux Jeux olympiques d'hiver de 1948,1948年サンモリッツオリンピックのフランス選手団
France aux Jeux olympiques d'hiver de 1928,1928年サンモリッツオリンピックのフランス選手団
France aux Jeux olympiques d'hiver de 1976,1976年インスブルックオリンピックのフランス選手団
Dreux,ドルー
Poitiers,ポワチエ
Palais des papes d'Avignon,アヴィニョン教皇庁
France aux Jeux olympiques d'hiver de 1936,1936年ガルミッシュ・パルテンキルヘンオリンピックのフランス選手団
Agen,アジャン
Renault,ルノー
Veolia Transport,ヴェオリア・トランスポール
Perpignan,ペルピニャン
Mata Utu,マタウトゥ
Mer Celtique,ケルト海
Céret,セレ
Pic du Canigou,カニグー山
Cuisine française,フランス料理
Histoire de la mode en France,フランスのファッション
Cerbère (Pyrénées-Orientales),セルベール
Le Perthus,ル・ペルテュ
Polynésie française,フランス領ポリネシア
Rouen,ルーアン
Île de Sable (Nouvelle-Calédonie),サンディ島・(幻島)
Mulhouse,ミュルーズ
Banyuls-sur-Mer,バニュルス＝シュル＝メール
Union astronomique internationale,国際天文学連合
Peugeot,プジョー
Dabo,ダボ・(モゼル県)
Simple dames des Internationaux de France 1999,1999年全仏オープン女子シングルス
Friville-Escarbotin,フリヴィル＝エスカルボタン
Citroën,シトロエン
Mai 68,五月危機
Salon du chocolat,サロン・デュ・ショコラ
Allociné,アロシネ
Tchétchènes,チェチェン人
Vasière,干潟
Fort-de-France,フォール＝ド＝フランス
Hérault (fleuve),エロー川
Royan,ロワイヤン
Fressenneville,フレサンヌヴィル
Sainte-Barbe (Moselle),サント＝バルブ・(モゼル県)
Vaux (Moselle),ヴォー・(モゼル県)
Catalan,カタルーニャ語
Dijon,ディジョン
TEE Cisalpin,シザルパン
Challans,シャラン・(ヴァンデ県)
L'Île-d'Yeu,リル＝デュー
Amélie-les-Bains-Palalda,アメリー＝レ＝バン＝パラルダ
La Rochelle,ラ・ロシェル
Corse (langue),コルシカ語
Langue des signes française,フランス手話
Boulogne-sur-Mer,ブローニュ＝シュル＝メール
Estrées-Deniécourt,エストレ＝ドニエクール
Nouvelle-Calédonie,ニューカレドニア
Mer de Corail,珊瑚海
Royaumes francs,フランク王国
Fouencamps,フアンカン
Musée des Beaux-Arts de Marseille,マルセイユ美術館
Néerlandais,オランダ語
Tour de France,ツール・ド・フランス
Chamonix-Mont-Blanc,シャモニー＝モン＝ブラン
Nice,ニース
France aux Jeux olympiques d'été de 2008,2008年北京オリンピックのフランス選手団
France aux Jeux olympiques de 1896,1896年アテネオリンピックのフランス選手団
France aux Jeux olympiques d'été de 1928,1928年アムステルダムオリンピックのフランス選手団
École normale supérieure (Paris),高等師範学校・(パリ)
Roubaix,ルーベ
Paris-Roubaix,パリ〜ルーベ
Toulouse,トゥールーズ
Niderviller,ニーデルヴィレー
Arte,アルテ・(テレビ局)
Jeux olympiques de 1900,1900年パリオリンピック
Jeux olympiques d'été de 1924,1924年パリオリンピック
Wallon,ワロン語
Grand Trianon,大トリアノン宮殿
Grand Prix automobile de France,フランスグランプリ
Petit Trianon,小トリアノン宮殿
Hameau de la Reine,ル・アモー・ドゥ・ラ・レーヌ
Économie de la France,フランスの経済
Contrat de vente en France,善意有償取得者
France aux Jeux olympiques d'été de 1996,1996年アトランタオリンピックのフランス選手団
Fort-Mahon-Plage,フォール＝マオン＝プラージュ
Fouilloy (Somme),フイヨワ・(ソンム県)
Méridien de Paris,パリ子午線
Mahorais,マオレ・コモロ語
Picard,ピカルディ語
Tahitien,タヒチ語
Gustavia (Saint-Barthélemy),グスタビア
Huningue,ユナング
Manche (mer),イギリス海峡
Le Capitole (train),ル・キャピトール・(列車)
Bateau-mouche,バトー・ムーシュ
Vieux Lyon,リヨン歴史地区
Oullins,ウラン・(メトロポール・ド・リヨン)
Saint-Dié-des-Vosges,サン＝ディエ＝デ＝ヴォージュ
Saint-Pierre-et-Miquelon,サンピエール島・ミクロン島
Viroflay,ヴィロフレー
Parc Olympique lyonnais,パルク・オリンピック・リヨン
Tournoi de tennis de Montpellier,南フランス・オープン
Tournoi de tennis de Lyon,リヨン・オープン
Auvergnat,オーヴェルニュ語
Futunien,フツナ語
Kaysersberg,ケゼルスベール
Ribeauvillé,リボヴィレ
Yiddish,イディッシュ語
Guerre de Vendée,ヴァンデの反乱
Collège-lycée Ampère,コレージュ＝リセ・アンペール
Bichelamar,ビスラマ語
Ligier,リジェ
Gascon,ガスコーニュ語
CALIPSO,CALIPSO
Wallis-et-Futuna,ウォリス・フツナ
Polynésie,ポリネシア
"Matra (entreprise, 1941-2003)",マトラ
La Sortie de l'usine Lumière à Lyon,工場の出口
Traité de Versailles,ヴェルサイユ条約
Mangarévien,マンガレバ語
Ligure,リグリア語
Rapa (langue),ラパ語
Turcs (peuple),トルコ人
Basque,バスク語
Sarphatique,ツァルファティート
Paumotu,トゥアモトゥ語
Chemin de fer de la Rhune,ラ・リューヌ登山鉄道
Flandre française,フランドル・フランセーズ
Région française,フランスの地域圏
Saint-Malo-en-Donziois,サン＝マロ＝アン＝ドンジオワ
OpenSkies,オープンスカイズ
Arménien,アルメニア語
Valence (Drôme),ヴァランス・(ドローム県)
Gallo,ガロ語・(ロマンス語)
Petites Antilles,小アンティル諸島
Appalaches,アパラチア山脈
.fr,.fr
Conseil de l'Europe,欧州評議会
Montesquieu-des-Albères,モンテスキュー＝デ＝ザルベール
Vichy,ヴィシー
Luxembourgeois,ルクセンブルク語
X 3800,フランス国鉄X3800形気動車
Riquewihr,リクヴィール
Rouffach,ルファック
Lagny-sur-Marne,ラニー＝シュル＝マルヌ
Betschdorf,ベッチドルフ
Langue d'oïl,オイル語
Munster (Haut-Rhin),マンステール
Somme (fleuve),ソンム川
Moulin-Rouge,ムーラン・ルージュ
Jeux olympiques d'hiver de 1968,1968年グルノーブルオリンピック
Jeux olympiques d'hiver de 1924,1924年シャモニー・モンブランオリンピック
Mutzig,ムツィグ
Osmose Productions,オスモス・プロダクション
Mélanésie,メラネシア
Escaut,スヘルデ川
Neuf-Brisach,ヌフ＝ブリザック
Zealandia,ジーランディア
France aux Jeux olympiques d'hiver de 2010,2010年バンクーバーオリンピックのフランス選手団
France aux Jeux olympiques d'été de 1936,1936年ベルリンオリンピックのフランス選手団
Nouméa,ヌメア
Païta,パイタ
Province du Dauphiné,ドーフィネ
Angers,アンジェ
Conservatoire national supérieur de musique et de danse de Lyon,リヨン国立高等音楽・舞踊学校
École normale supérieure de Lyon,リヨン高等師範学校
Université de Lyon,リヨン大学
Freyming-Merlebach,フレマン＝メルルバック
Bischwiller,ビシュヴィレール
Sud-Aviation SA365 Dauphin,AS・365・(航空機)
Aérospatiale AS565 Panther,AS・565・(航空機)
Stade du Moustoir,スタッド・ドゥ・ムストワ
Ottrott,オットロット
Lauterbourg,ロテルブール
Aérospatiale AS350 Écureuil,ユーロコプター・エキュレイユ
Reporters sans frontières,国境なき記者団
Sarre (rivière),ザール川
Centrale nucléaire du Tricastin,トリカスタン原子力発電所
TotalEnergies,トタルエナジーズ
Bélep,ベレップ
Jeux olympiques d'hiver de 1992,1992年アルベールビルオリンピック
Besançon,ブザンソン
Gaule,ガリア
Braque d'Auvergne,オーヴェルニュー・ポインター
Ardenne,アルデンヌ
Vénus de Milo,ミロのヴィーナス
Aéroport de Saint-Barthélemy-Rémy-de-Haenen,グスタフ3世飛行場
Michelin,ミシュラン
Voh,ヴォー村
Bataille de Soissons (486),ソワソンの戦い
Saint-Nazaire,サン＝ナゼール・(ロワール＝アトランティック県)
Classic Loire-Atlantique,クラシック・ロワール＝アトランティック
Front de l'Ouest (Première Guerre mondiale),西部戦線・(第一次世界大戦)
Maison royale de Saint-Louis,聖ルイ王立学校
Basse-Terre (île en Guadeloupe),バス・テール島
Le Mans Sarthe Basket,ル・マン・サルト・バスケット
Ajaccio,アジャクシオ
Funiculaire de Thonon-les-Bains,フニクレール・ド・トノン＝レ＝バン
Provence,プロヴァンス
Flamand occidental,西フラマン語
Verdun,ヴェルダン
Cointreau,コアントロー
Voie romaine d'Agrippa,アグリッパ街道
Entzheim,エンツハイム
Mittelbergheim,ミッテルベルカイム
Soufflenheim,スフレンアイム
Cannes,カンヌ
Eurocopter EC145,ユーロコプター・EC・145
Aérospatiale AS550/555 Fennec,ユーロコプター・フェニック
Pays basque français,フランス領バスク
Funiculaire du Havre,フニクレール・デュ・アーヴル
Viaduc de Millau,ミヨー橋
Bobigny,ボビニー
Toul,トゥール・(ムルト＝エ＝モゼル県)
Montbéliard,モンベリアル
Tunnel sous la Manche,英仏海峡トンネル
Agence France-Presse,フランス通信社
Coupe du monde de football 1998,1998・FIFAワールドカップ
Séfarades,セファルディム
Hazebrouck,アーズブルック
Base aérienne 942 Lyon-Mont Verdun,リヨン＝モン・ヴェルダン空軍基地
Ingwiller,イングヴィレール
Les cent livres du siècle,ル・モンド20世紀の100冊
Musée maritime fluvial et portuaire de Rouen,ルーアン海洋博物館
Occitanie (région culturelle),オクシタニア
L'Oréal,ロレアル
Institut national de la statistique et des études économiques,INSEE
Pot-au-feu,ポトフ
Festival Lumière,リュミエール映画祭
Brasserie Georges,ブラッスリー・ジョルジュ
Pêche au carrelet,敷き網
Eurostar,ユーロスター
Forêts primaires de hêtres des Carpates et d'autres régions d'Europe,カルパティア山脈とヨーロッパ各地の古代及び原生ブナ林
Forcalquier,フォルカルキエ
Grand collisionneur de hadrons,大型ハドロン衝突型加速器
Institut supérieur de l'aéronautique et de l'espace,ISAE・SUPAERO
Sainte-Agnès (Alpes-Maritimes),サンタニェス・(アルプ＝マリティーム県)
Airbus Helicopters,エアバス・ヘリコプターズ
Erstein,エルスタン
Nancy,ナンシー
Boulay-Moselle,ブレ＝モゼル
Sarrebourg,サールブール
Route européenne,欧州自動車道路
Code Insee,INSEEコード
Charte européenne des langues régionales ou minoritaires,地方言語または少数言語のための欧州憲章
Bataille de Sedan,セダンの戦い
Marmoutier (Bas-Rhin),マルムーティエ
Sarreguemines,サルグミーヌ
Schiltigheim,シルティカイム
Thionville,ティオンヴィル
Brumath,ブリュマト
Wissembourg,ヴィサンブール
Vic-le-Comte,ヴィック＝ル＝コント
Courtonne-la-Meurdrac,クルトンヌ＝ラ＝ムルドラック
Neustrie,ネウストリア
Cathédrale Notre-Dame d'Amiens,ノートルダム大聖堂・(アミアン)
Anjou,アンジュー
Illkirch-Graffenstaden,イルキルシュ＝グラフェンスタデン
Melun,ムラン
Breton,ブルトン語
La Marseillaise,ラ・マルセイエーズ
Caen,カーン
Aéroport international de Bâle-Mulhouse,ユーロエアポート・バーゼル＝ミュールーズ空港
Paix d'Amiens,アミアンの和約
Ipsen,イプセン・(製薬会社)
Communauté de Taizé,テゼ共同体
Sarcelles,サルセル
Bretagne (région administrative),ブルターニュ地域圏
Ploudalmézeau,プルダルメゾー
Pays de Léon,レオン・(ブルターニュ)
Nantes,ナント
Metz,メス・(フランス)
Molsheim,モルスアイム
Bataille de Denain,ドゥナの戦い
Gamaches,ガマシュ
Droit numérique,デジタル権
Ligne de Thionville à Apach,ティオンヴィル・-・アパク線
Haguenau,アグノー
Obernai,オベルネ
Sélestat,セレスタ
SOLEIL,ソレイユ・(シンクロトロン)
Maison Bonaparte,ボナパルト朝
La Joconde,モナ・リザ
Torcy (Seine-et-Marne),トルシー・(セーヌ＝エ＝マルヌ県)
Pyrénées,ピレネー山脈
Saverne,サヴェルヌ
Château-Salins,シャトー＝サラン
Bouxwiller (Bas-Rhin),ブクスヴィレール・(バ＝ラン県)
Le Monde,ル・モンド
Montigny-lès-Metz,モンティニー＝レ＝メス
Fitou,フィトゥー
Championnats du monde de patinage artistique 1952,1952年世界フィギュアスケート選手権
Commandement des actions spéciales terre,特殊作戦旅団・(フランス軍)
Brest,ブレスト・(フランス)
Sarrasin de Tartarie,ダッタンソバ
Kig ha farz,キッカ・ファルス
Château d'Azay-le-Rideau,アゼ＝ル＝リドー城
Phénix (réacteur),フェニックス・(原子炉)
Saint-Cyr-l'École,サン＝シール＝レコール
Amiens,アミアン
Forbach,フォルバック
Organisation de coopération et de développement économiques,経済協力開発機構
Golfe de Gascogne,ビスケー湾
Biscuit à la cuillère,ビスコッティ・サヴォイアルディ
Macaron,マカロン
Wœrth,ヴルト
Barr (Bas-Rhin),バール・(バ＝ラン県)
Beauce (France),ボース・(フランス)
Rapa (île),ラパ島
Natation aux Jeux olympiques de 1900,1900年パリオリンピックの競泳競技
Université de Strasbourg,ストラスブール大学
Gard,ガール県
Gers (département),ジェール県
Gironde (département),ジロンド県
Tulle,チュール
Haute-Garonne,オート＝ガロンヌ県
Benfeld,ベンフェルド
Hauts-de-Seine,オー＝ド＝セーヌ県
Drusenheim,ドリュゼナイム
Turckheim,テュルクアイム
Championnat de France de football 1974-1975,ディヴィジオン・アン1974-1975
Sanofi,サノフィ
Hérault (département),エロー県
Ille-et-Vilaine,イル＝エ＝ヴィレーヌ県
Reims,ランス・(マルヌ県)
Aisne (affluent de l'Oise),エーヌ川
Bourguignon-lès-Conflans,ブルギニョン＝レ＝コンフラン
Trophée de France 2012,2012年エリック・ボンパール杯
Albertville,アルベールヴィル
Famille Rothschild,ロスチャイルド家
Indre-et-Loire,アンドル＝エ＝ロワール県
Meuse (fleuve),マース川
Marne (rivière),マルヌ川・(フランス)
Indre (département),アンドル県
Tahiti,タヒチ島
Cherbourg-Octeville,シェルブール＝オクトヴィル
Pas de Calais,ドーバー海峡
Axa,アクサ
Artois (province),アルトワ
Isère (département),イゼール県
Landes (département),ランド県
.mf,.mf
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,サン＝ルミ＝アン＝ブズモン＝サン＝ジュネ＝エ＝イソン
Saint-Denis (Seine-Saint-Denis),サン＝ドニ
Loire (département),ロワール県
Loir-et-Cher,ロワール＝エ＝シェール県
Agence spatiale européenne,欧州宇宙機関
Open GDF Suez,GDFスエズ・オープン
Haute-Loire,オート＝ロワール県
Racing 92,ラシン92
Blois,ブロワ
Clermont-Ferrand,クレルモン＝フェラン
Île Clipperton,クリッパートン島
Lot (département),ロット県
Festival de Cannes,カンヌ国際映画祭
Lot-et-Garonne,ロット＝エ＝ガロンヌ県
Loiret (département),ロワレ県
Astérix,アステリックス
Île Makatea,マカテア島
Archipel de la Société,ソシエテ諸島
1er arrondissement de Paris,1区・(パリ)
Mayenne (département),マイエンヌ県
Marne (département),マルヌ県
Haute-Marne,オート＝マルヌ県
Ménilmontant (métro de Paris),メニルモンタン駅
24 Heures du Mans 1994,1994年のル・マン24時間レース
Roscanvel,ロスカンヴェル
Saint-Florent-le-Vieil,サン＝フロラン＝ル＝ヴィエイユ
Bagneux (Hauts-de-Seine),バニュー・(オー＝ド＝セーヌ県)
Ligne Maginot,マジノ線
Gorbio,ゴルビオ
Maine-et-Loire,メーヌ＝エ＝ロワール県
Lozère (département),ロゼール県
Saint-Étienne,サン＝テティエンヌ
Manche (département),マンシュ県
Centre national d'art et de culture Georges-Pompidou,ポンピドゥー・センター
Auxelles-Bas,オクセル＝バ
Académie française,アカデミー・フランセーズ
Meurthe-et-Moselle,ムルト＝エ＝モゼル県
Meuse (département),ムーズ県
.gf,.gf
.gp,.gp
Savants de la tour Eiffel,エッフェル塔に名前を刻まれた72人のフランスの科学者の一覧
Saint-Malo,サン・マロ
Préfecture de police (Paris),パリ警視庁
Morbihan,モルビアン県
Nièvre (département),ニエーヴル県
Nord (département français),ノール県
Moselle (département),モゼル県
.mq,.mq
Nîmes,ニーム・(フランス)
Ordre national de la Légion d'honneur,レジオンドヌール勲章
Le Havre,ル・アーヴル
Orne (département),オルヌ県
Euskadi ta Askatasuna,バスク祖国と自由
Oise (département),オワーズ県
Mer de Ligurie,リグリア海
Police nationale (France),フランス国家警察
Valenciennes,ヴァランシエンヌ
Saint-Pabu,サン＝パビュ
Pas-de-Calais,パ＝ド＝カレー県
Puy-de-Dôme,ピュイ＝ド＝ドーム県
