Moscow,モスクワ
Krasnoarmeysk,クラスノアルメイスク
Kotlas,コトラス
Dubna,ドゥブナ
Chekhov,チェーホフ
Chechenskaya Respublika,チェチェン共和国
Domodedovo,ドモジェドヴォ
Dmitrov,ドミトロフ
Dedovsk,デドフスク
Chuvashskaya Respublika,チュヴァシ共和国
Karachayevo-Cherkesiya,カラチャイ・チェルケス共和国
Karabulak,カラブラク
Kandalaksha,カンダラクシャ
Kaliningrad Oblast,カリーニングラード州
Kabardino-Balkarskaya Respublika,カバルダ・バルカル共和国
Novodvinsk,ノヴォドヴィンスク
North Ossetia-Alania,北オセチア共和国
Sovetsk,ソヴィェツク
Pechory,ペチョールィ
Pechora,ペチョラ
Rzhev,ルジェフ
Rostov,ロストフ
Severomorsk,セヴェロモルスク
Sestroretsk,セストロレツク
Sertolovo,セルトロヴォ
Ramenskoye,ラメンスコエ
Zainsk,ザインスク
Uzlovaya,ウズロヴァヤ
Volkhov,ヴォルホフ
Voskresensk,ヴォスクレセンスク
Tula Oblast,トゥーラ州
Tuapse,トゥアプセ
Monchegorsk,モンチェゴルスク
Klintsy,クリンツィ
Klin,クリン
Klimovsk,クリモフスク
Kirovsk,キロフスク
Kingisepp,キンギセップ
Kimry,キームルィ
Lukhovitsy,ルホヴィツィ
Luga,ルーガ
Lomonosov,ロモノソフ
Lipetsk Oblast,リペツク州
Leninogorsk,レニノゴルスク
Nerekhta,ネレフタ
Nar'yan-Mar,ナリヤン・マル
Naro-Fominsk,ナロ＝フォミンスク
Mozdok,モズドク
Slantsy,スランツィ
Shuya,シューヤ
Eastern Europe,東ヨーロッパ
Krasnoyarsk Yemelyanovo Airport,イェメリャノヴォ空港
Kogalym,コガリム
Krasnoznamensk,クラスノズナメンスク
Khabarovsk Novy Airport,ハバロフスク空港
Yelizovo Airport,エリゾヴォ空港
Pulkovo Airport,プルコヴォ空港
Nalchik Airport,ナリチク
Vanino,ワニノ
Uglegorsk,ウグレゴルスク
Nerchinsk,ネルチンスク
Magdagachi,マグダガチ
Lensk,レンスク
Kirensk,キレンスク
Bikin,ビキン
Vilyuysk,ヴィリュイスク
Tura,トゥーラ
Skovorodino,スコボロディノ
Pokrovsk,ポクロフスク
Kavalerovo,カヴァレーロヴォ
Susuman,ススマン
Srednekolymsk,スレドネコリムスク
Pevek,ペヴェク
Okhotsk,オホーツク
Dolinsk,ドリンスク
Yurga,ユルガ
Tayshet,タイシェト
Akademgorodok,アカデムゴロドク
Manturovo,マントゥロヴォ
Mamadysh,ママディシュ
Maloyaroslavets,マロヤロスラヴェツ
Gorokhovets,ゴロホヴェツ
Ivangorod,イヴァンゴロド
Kudymkar,クディムカル
Kronstadt,クロンシュタット
Krasnozavodsk,クラスノザヴォツク
Bolkhov,ボルホフ
Boksitogorsk,ボクシトゴルスク
Bogoroditsk,ボゴロジツク
Bezhetsk,ベジェツク
Belomorsk,ベロモルスク
Galich,ガーリチ
Gagarin,ガガーリン
Furmanov,フルマノフ
Elektrougli,エレクトロウグリ
Elektrogorsk,エレクトロゴルスク
Dorogobuzh,ドロゴブージ
Buinsk,ブインスク
Bronnitsy,ブロンニツィ
Desnogorsk,デスノゴルスク
Davlekanovo,ダブレカノボ
Danilov,ダニーロフ
Chudovo,チュドヴォ
Kasimov,カシモフ
Kashira,カシーラ
Kashin,カシン
Karabanovo,カラバノヴォ
Porkhov,ポルホフ
Nurlat,ヌルラト
Novozybkov,ノヴォズィプコフ
Sortavala,ソルタヴァラ
Soligalich,ソリガリチ
Sokol,ソコル
Petushki,ペトゥシキ
Pavlovsk,パヴロフスク
Ostashkov,オスタシコフ
Olonets,オロネツ
Safonovo,サフォノヴォ
Pushchino,プーシチノ
Prokhorovka,プロホロフカ
Svetlogorsk,スヴェトロゴルスク
Sukhinichi,スヒーニチ
Strunino,ストルニノ
Yefremov,イェフレーモフ
Venëv,ヴェニョーフ
Urus-Martan,ウルス・マルタン
Volokolamsk,ヴォロコラムスク
Sasovo,サーソヴォ
Zvenigorod,ズヴェニゴロド
Zelenogradsk,ゼレノグラーツク
Zavolzhsk,ザヴォルシスク
Tomilino,トミリノ
Tarusa,タルーサ
Torzhok,トルジョーク
Toropets,トロペツ
Menzelinsk,メンゼリンスク
Kondopoga,コンドポガ
Konakovo,コナコヴォ
Kommunar,コムナル
Kola,コラ
Kirzhach,キルジャチ
Kirov,キーロフ
Kireyevsk,キレーエフスク
Livny,リーヴヌィ
Lakinsk,ラキンスク
Laishevo,ライシェヴォ
Kimovsk,キモフスク
Neman,ネマン
Nelidovo,ネリドヴォ
Myshkin,ムィシュキン
Mtsensk,ムツェンスク
Mozhaysk,モジャイスク
Bagrationovsk,バグラティオノフスク
Arsk,アルスク
Ardon,アルドン
Aprelevka,アプレレフカ
Noyabrsk Airport,ノヤブリスク空港
Ulan-Ude,ウラン・ウデ
Europe,ヨーロッパ
Tsiolkovskiy,ツィオルコフスキ
Irkutsk Airport,イルクーツク国際空港
Smolensk North Airport,スモレンスク北飛行場
Ust-Nera,ウスチ＝ネラ
Khor,ホール町
Bira,ビラ町
Arkhara,アルハラ
Yerofey Pavlovich,エロフェイ・パブロヴィッチ
Vrangel’,ウランゲル
Verkhoyansk,ベルホヤンスク
Ust-Maya,ウスチ＝マヤ
Tommot,トンモト
Tiksi,ティクシ
Taksimo,タクシモ
Smolyaninovo,スモリャニノヴォ
Smidovich,スミドヴィチ
Karymskoye,カルィムスコエ
Angara,アンガラ川
Smirnykh,スミルヌイフ
Ostrov Zelenyy,シボツトウ
Seymchan,セイムチャン
Palana,パラナ
Ossora,オッソラ
Orotukan,オロトゥカーン
Skaly Lovushki,Mushiru Retsugan
Konbuusu Saki,コンブウス崎
Komandorskiye Ostrova,コマンドルスキー諸島
Klyuchi,クリュチ
Habomai Islands,はぼまいぐんとう
Eitannotto Zaki,エイタンノット崎
Chokurdakh,チョクルダフ
Vulkan Chikurachki,千倉岳
Ostrov Beringa,ベーリング島
Ostrov Atlasova,阿頼度島
Aniva,アニワ
Igrim,イグリム
Dikson,ディクソン
Shushenskoye,シュシェンスコエ
Angara,アンガラ川
Vidyayevo,ヴィジャーエヴォ
Borovsk,ボロフスク
Borodino,ボロジノ
Gdov,グドフ
Ilovlya,イロヴリャ
Krasnoznamensk,クラスノズナメンスク
Beloostrov,ベロオストロフ
Krasnaya Polyana,クラースナヤ・ポリャーナ山岳地区
Ostrov Kotlin,コトリン島
Korablino,コラブリノ
Fokino,フォーキノ
Dukhovshchina,ドゥホフシチーナ
Chernyshevskoye,チェルニシェフスコエ
Don,ドン川
Dno,ドノー
Demidov,デミドフ
Izborsk,イズボルスク
Pravdinsk,プラヴジンスク
Porosozero,ポロゼロ
Polessk,ポレッスク
Pochinok,ポチノク
Okulovka,オクロフカ
Oka,オカ川
Novorzhev,ノヴォルジェフ
Starodub,スタロドゥーブ
Staritsa,スターリツァ
Spas-Klepiki,スパス＝クレピキ
Spas-Demensk,スパス＝ジェメンスク
Sochi,ソチ
Sobinka,ソビンカ
Slavsk,スラフスク
Plavsk,プラフスク
Petropavlovskaya Krepost’,ペトロパブロフスク要塞
Pestovo,ペストヴォ
Ostrov,オストロフ
Ryazhsk,リャジスク
Ruza,ルザ
Shatsk,シャーツク
Sebezh,セーベジ
Pytalovo,プィタロヴォ
Pustoshka,プストシカ
Sudogda,スドグダ
Velizh,ヴェリジ
Vedeno,ヴェジェノ
Zubtsov,ズブツォフ
Zlynka,ズルィンカ
Mglin,ムグリン
Meshchovsk,メシチョフスク
Melenki,メレンキ
Kondrovo,コンドロヴォ
Kologriv,コログリフ
Kizhi,キジ島
Lipki,リプキ
Liinakhamari,リイナハマリ
Kholm,ホルム
Nesterov,ネステロフ
Skopin,スコピン
Gora Shkhara,シュハラ山
Mamonovo,マモノヴォ
Mariinsky Theatre,マリインスキー劇場
Wrangel Island,ウランゲリ島
Uelen,ウエレン
Cape Dezhnev,デジニョフ岬
Red Square,赤の広場
