党委书记,党委員会の責任者
北京站,北京駅
濠江区,濠江区
大塘站,大塘駅
曲松县,チュスム県
利通区,利通区
台江县,台江県
平江县,平江県
武汉市,武漢市
明斯克號航空母艦,ミンスク
盟,アイマク
胶州市,膠州市
宁河区,寧河区
太行山,太行山脈
榆社县,楡社県
广丰区,広豊区
奈曼旗,ナイマン旗
龙潭区,竜潭区
中国南方航空,中国南方航空
长江三峡水利枢纽工程,三峡ダム
大跃进,大躍進政策
韶关市,韶関市
汕尾市,汕尾市
城北区,城北区
綠壩·花季護航,緑壩・花季護航
阿尔金山脉,アルチン山脈
胡风反革命集团案,「胡風反党集団」事件
中山市,中山市
港鐵,香港MTR
中環,中環
普陀區,普陀区
托克托县,トクト県
楼观台,楼観台
虹口区,虹口区
雍和宫,雍和宮
渭源县,渭源県
五指山,五指山 (海南省)
江门市,江門市
六榕寺,六榕寺
律商联讯,レクシスネクシス
南京大学,南京大学
沧浪区,滄浪区
珠海市,珠海市
尖沙咀,尖沙咀
香港特別行政區政府,香港特別行政区政府
2009年亞洲籃球錦標賽,2009年バスケットボール男子アジア選手権
百度,百度
福建鲟,福建スタージョンズ
宝山区,宝山区
太康县,太康県
嘉定區,嘉定区
河海大学,河海大学
金山区,金山区
松江區,松江区
清远市,清遠市
2008年夏季奧林匹克運動會田徑比賽－男子馬拉松,2008年北京オリンピックの陸上競技・男子マラソン
高县,高県
振华重工,上海振華重工
天燈,天灯
阳江市,陽江市
广州地铁,広州地下鉄
静安区,静安区
羅湖站,羅湖駅
杨浦区,楊浦区
闵行区,閔行区
中華人民共和國香港特別行政區基本法,香港特別行政区基本法
中環站,中環駅
金鐘站,金鐘駅
上環站,上環駅
泉山区,泉山区
弋江区,弋江区
阳山县,陽山県
王老吉涼茶,王老吉
长白朝鲜族自治县,長白朝鮮族自治県
瓯海区,甌海区
好太王碑,好太王碑
中國娃娃,「上海南駅の赤ん坊」
上海城隍廟,上海城隍廟
阳谷县,陽谷県
乌鲁木齐地铁,ウルムチ地下鉄
云溪区,雲渓区
东莞市,東莞市
奇力島,奇力島
光明区,光明区
长吉城际铁路,長吉都市間鉄道
吊鐘洲,吊鐘洲
大唐發電,大唐国際発電
两个凡是,二つのすべて
中山北路站,中山北路駅
梅州市,梅州市
剑川路站,剣川路駅
新华区,新華区
2008年夏季残奥会柔道比赛,2008年北京パラリンピックの柔道競技
中國國際貨運航空,中国国際貨運航空
凤凰县,鳳凰県
贺兰山,賀蘭山脈
批林批孔运动,批林批孔運動
云阳县,雲陽県
惠州市,恵州市
沙田區,沙田区
联想集团,レノボ
大兴安岭,大興安嶺山脈
黄土高原,黄土高原
河源市,河源市
中华东正教会,中国正教会
门巴族,メンパ族
宋王臺,宋王台
皇后像廣場,スタチュースクウェア
东突厥斯坦,東トルキスタン
乐清市,楽清市
杭州湾,杭州湾
中华人民共和国最高人民法院,最高人民法院
尖沙咀鐘樓,尖沙咀鐘楼
酒泉卫星发射中心,酒泉衛星発射センター
大庆市,大慶市
清东陵,清東陵
东乌珠穆沁旗,東ウジムチン旗
now TV,ナウTV
艾努人,エイヌ人
九廣通,Ktt九広通
天等县,天等県
大名县,大名県
龙州县,竜州県
宁明县,寧明県
富春山居图,富春山居図
台灣文化,台湾の文化
青山發電廠,青山火力発電所
和平区,和平区
拉萨西站,ラサ西駅
滙業銀行,匯業銀行
新城電台,香港新城ラジオ
环渤海经济圈,環渤海経済圏
古寧頭之役,古寧頭戦役
潮州市,潮州市
川沙站,川沙駅
大连站,大連駅
潘广路站,潘広路駅
芦恒路站,芦恒路駅
乌鲁木齐南站,ウルムチ南駅
安亭站,安亭駅
格尔木站,ゴルムド駅
金科路站,金科路駅
大连大学,大連大学
大新县,大新県
汉宜铁路,漢宜線
中国音乐学院,中国音楽学院
觀塘碼頭,観塘フェリー埠頭
周庄镇,周荘鎮
莱州市,莱州市
天主教太原总教区,太原大司教区
青浦区,青浦区
奉贤区,奉賢区
中国国际女足邀请赛,4カ国トーナメント
朗屏站,朗屏駅
香港高級組銀牌,香港シニアシールド
三江源,三江源国家級自然保護区
济水,済水
中共中央港澳工作办公室,中共中央香港マカオ工作弁公室
鯉魚門,鯉魚門
鼎泰豐,鼎泰豊
遗华日侨,中国残留日本人
203高地,203高地
永嘉县,永嘉県
洞头区,洞頭区
中國朝鮮語,中国朝鮮語
静海寺,静海寺
平義線,平義線
和龙市,和竜市
汪清县,汪清県
海南航空,海南航空
太仓市,太倉市
东营胜利机场,東営永安空港
中国未识别民族,非認定民族
中国国家标准化管理委员会,国家標準化管理委員会
落馬洲站,落馬洲駅
中国东方航空,中国東方航空
四川航空,四川航空
黎族,リー族
九龍巴士,九龍バス
跑馬地,跑馬地
武陵山脉,武陵山脈
西南大学,西南大学
香港紅十字會,香港紅十字会
傣族,タイ・ルー族
長江集團中心,長江センター
沙田第一城,沙田第一城
中国人民抗日战争纪念馆,中国人民抗日戦争紀念館
华南MALL,華南MALL
首都航空,北京首都航空
沈阳理工大学,瀋陽理工大学
嘉定北站,嘉定北駅
华夏东路站,華夏東路駅
沈杜公路站,沈杜公路駅
共青城市,共青城市
晉陽之戰,晋陽の戦い
中西區,中西区
澳門,マカオ
河东区,河東区
河西区,河西区
深圳市,深圳市
阿图什市,アルトゥシュ市
虞城县,虞城県
新平彝族傣族自治县,新平イ族タイ族自治県
凉山彝族自治州,涼山彝族自治州
南京外国语学校,南京外国語学校
六岛艺术中心,六島芸術中心
郁南县,鬱南県
广东省,広東省
台灣海峽飛彈危機,台湾有事
西塔教会,西塔教会
中朝关系,中朝関係
沙田站,沙田駅
慈溪市,慈渓市
平湖市,平湖市
阿坝镇,阿壩鎮
阿坝县,アバ県
北京地铁4号线,北京地下鉄4号線
中朝友谊桥,中朝友誼橋
鴨脷洲,鴨リ洲
2008年夏季奧林匹克運動會排球比賽,2008年北京オリンピックのバレーボール競技
广西壮族自治区,広西チワン族自治区
朝阳机场,朝陽空港
远望大厦,空中城市
中原福塔,中原福塔
赤水市,赤水市
青岛啤酒,青島ビール
上海隔都,上海ゲットー
文成县,文成県
泰顺县,泰順県
龙湾区,竜湾区
三明市,三明市
2008年夏季奧林匹克運動會擊劍比賽,2008年北京オリンピックのフェンシング競技
敦煌市,敦煌市
香港郵政總局,香港郵政総局
上海市上海中学,上海中学
堅尼地道,堅尼地道
中车株洲电力机车有限公司,中車株洲電力機車有限公司
韶山1型电力机车,中国国鉄韶山1型電気機関車
云浮市,雲浮市
中华人民共和国国务院,中華人民共和国国務院
澳門市,澳門市
上海广播电视台,上海広播電視台
上海中山公园,中山公園 (上海)
國家最高科學技術獎,国家最高科学技術賞
潇湘八景,瀟湘八景
和田地區,ホータン地区
雲岡石窟,雲崗石窟
三亞市,三亜市
2008年夏季奧林匹克運動會賽艇比賽,北京オリンピックにおけるボート競技
2008年夏季奧林匹克運動會皮划艇比賽,2008年北京オリンピックのカヌー競技
图木舒克市,トムシュク市
西宁市,西寧市
2008年夏季奧林匹克運動會射擊比賽,2008年北京オリンピックの射撃競技
環球貿易廣場,環球貿易広場
南开区,南開区
河北区,河北区
红桥区,紅橋区
购物公园站,購物公園駅
恆安站,恒安駅
屯門碼頭站,屯門碼頭駅
馬場站,馬場駅
大劇院站,大劇院駅
荃灣西站,セン湾西駅
鹿城区,鹿城区
平阳县,平陽県
大丰区,大豊区
苍南县,蒼南県
茶果嶺,茶果嶺
關帝廟,関帝廟
中国华能集团有限公司,中国華能集団
刘公岛,劉公島
港島綫,港島線
迪士尼綫,迪士尼線
馬鞍山綫,馬鞍山線
東鐵綫,東鉄線
瓊桑峰,ジョンサン・ピーク
黄陂区,黄陂区
杭州湾跨海大桥,杭州湾海上大橋
厦门站,廈門駅
联航路站,聯航路駅
创新中路站,創新中路駅
西宁站,西寧駅
美兰湖站,美蘭湖駅
江月路站,江月路駅
浦江镇站,浦江鎮駅
白银路站,白銀路駅
远东大道站,遠東大道駅
唐镇站,唐鎮駅
中国国家奥林匹克足球队,U-23サッカー中華人民共和国代表
四平站,四平駅
石家庄站,石家荘駅
合肥站,合肥駅
沈阳北站,瀋陽北駅
太原站,太原駅
呼和浩特站,フフホト駅
大同站,大同駅
罗南新村站,羅南新村駅
凌空路站,凌空路駅
徐泾东站,徐涇東駅
顾村公园站,顧村公園駅
广兰路站,広蘭路駅
重庆站,重慶駅
海天三路站,海天三路駅
成都站,成都駅
津南区,津南区
中條山戰役,中原会戦
平型关战役,平型関の戦い
長江企業控股,長江実業
东丽区,東麗区
士大夫,士大夫
西青区,西青区
福州站,福州駅
聖母神樂院,トラピスト修道院（香港)
中国动画,中国のアニメーション
十二金人,十二金人
玉泉路站,玉泉路駅
五棵松站,五棵松駅
天安門西站,天安門西駅
同仁堂,同仁堂
深圳地铁1号线,深圳地下鉄1号線
福州市,福州市
北辰区,北辰区
武清区,武清区
南平市,南平市
木樨地站,木樨地駅
社會主義國家,社会主義国
宁德市,寧徳市
罗布泊,ロプノール
莆田市,ホ田市
托木尔峰,ポベーダ山
厦门市,廈門市
漳州市,漳州市
哈密市,クムル市
昌吉回族自治州,昌吉回族自治州
渝中區,渝中区
即墨区,即墨区
八宝山站,八宝山駅
南礼士路站,南礼士路駅
中国风力发电,中国の風力発電
馬灣海峽,馬湾海峡
悦达起亚,江蘇悦達起亜汽車
外港客運碼頭,アウター・ハーバー・フェリーターミナル
临海市,臨海市
图们市,図們市
泉州市,泉州市
台灣基督教,台湾のキリスト教
敦化市,敦化市
將軍澳綫,将軍澳線
東涌綫,東涌線
西鐵綫,西鉄線
布吉站,布吉駅
深水埗運動場,深水ホ運動場
虎门站,虎門駅
2007年中國製造出口產品回收事件,中国製品の安全性問題
黔西南布依族苗族自治州,黔西南プイ族ミャオ族自治州
神舟六号,神舟6号
菏泽市,菏沢市
撒拉族,サラール族
曹妃甸区,曹妃甸区
金川县,金川県
辽东半岛,遼東半島
浑江区,渾江区
2011年世界游泳錦標賽,2011年世界水泳選手権
2008年夏季奧林匹克運動會鐵人三項比賽,2008年北京オリンピックのトライアスロン競技
周公庙遗址,周公廟遺址
怀圣寺,懐聖寺
台灣佛教,台湾の仏教
奎屯市,クイトゥン市
广宁县,広寧県
临沧机场,臨滄空港
北京展览馆,北京展覧館
泸西县,瀘西県
海伦路站,海倫路駅
溪口镇,渓口鎮
赤門,赤門海峡
政府新聞處,政府新聞処
羅湖站,羅湖駅
本溪湖煤矿,本渓湖炭鉱
國內城,国内城
臺灣天主教會,台湾のカトリック
中韩关系,中韓関係
