Paris,パリ
Football Club Sochaux-Montbéliard,FCソショー
Montpellier Hérault SC,モンペリエHSC
Versailles,ヴェルサイユ
mont Blanc,モンブラン
Villeurbanne,ヴィルールバンヌ
Sainte-Barbe,サント＝バルブ (モゼル県)
Phalsbourg,ファルスブール
AS Nancy-Lorraine,ASナンシー
Rhin,ライン川
musée du Louvre,ルーヴル美術館
Radio France internationale,ラジオ・フランス・アンテルナショナル
Lille OSC,LOSCリール
Toulouse FC,トゥールーズFC
station spatiale internationale,国際宇宙ステーション
Florac,フロラック
France Musique,フランス・ミュジック
Lille,リール
Alsace,アルザス地域圏
Rennes,レンヌ
Saint-Barthélemy,サン・バルテルミー島
Knutange,クニュタンジュ
Chanteloup-les-Bois,シャンテルー＝レ＝ボワ
Poncey-lès-Athée,ポンセ＝レ＝ザテ
Rhône,ローヌ川
Olympique lyonnais,オリンピック・リヨン
Baugé,ボージェ
Lorraine,ロレーヌ地域圏
Saint-Martin,セント・マーチン島
Limousin,リムーザン地域圏
Auvergne,オーヴェルニュ地域圏
Aquitaine,アキテーヌ地域圏
Auxonne,オーソンヌ
Bourgogne,ブルゴーニュ地域圏
Vienne,ヴィエンヌ
Béhuard,ベユアール
Alpine,アルピーヌ
mer des Caraïbes,カリブ海
Alpes,アルプス山脈
Marsannay-la-Côte,マルサネ＝ラ＝コート
Delage,ドラージュ
championnat d'Europe de basket-ball 1983,1983年バスケットボール男子欧州選手権
"musée Saint-Raymond, musée d'Archéologie de Toulouse",サン・レイモン博物館
Loire,ロワール川
Chenôve,シュノーヴ
Grenoble,グルノーブル
Athée,アテ
Longvic,ロンヴィ
Bron,ブロン
Seine,セーヌ川
Aspach,アスパッハ
Pacte civil de solidarité,民事連帯契約
canton de Saint-Vivien-de-Médoc,サン・ヴィヴィアン・ド・メドック小郡
Brasier,ブラジエ
Bugatti,ブガッティ
Jour du Souvenir,リメンブランス・デー
Pont-Noyelles,ポン＝ノイエル
Perrigny-lès-Dijon,ぺリニー＝レ＝ディジョン
Ouges,ウージュ
La Wantzenau,ラ・ヴァンツェノー
Varois-et-Chaignot,ヴァロワ＝エ＝シェニョ
basilique Notre-Dame de Fourvière,ノートルダム大聖堂 (フルヴィエール)
primatiale Saint-Jean de Lyon,ジャン大聖堂
Saint-Just-d'Avray,サン＝ジュスト＝ダヴレイ
Bordeaux,ボルドー
Saint-Apollinaire,サン＝タポリネール
Neuilly-lès-Dijon,ヌイイ＝レ＝ディジョン
Alpes cottiennes,コティアン・アルプス
Alpes grées,グライエ・アルプス山脈
Quetigny,クティニー
Bressey-sur-Tille,ブレッセ＝シュル＝ティーユ
Orgeux,オールジュー
Niderviller,ニーデルヴィレー
Le Mans,ル・マン
bataille de Crécy,クレシーの戦い
Acheux-en-Vimeu,アシュー＝アン＝ヴィムー
Roussy-le-Village,ルシー＝ル＝ヴィラージュ
Valsonne,ヴァルソンヌ
Crimolois,クリモロワ
Amplepuis,アンプピュイ
métro de Lyon,メトロ
Rhônexpress,ローヌ・エクスプレス
autoroute A6,オートルート A6
Maizières-lès-Metz,メジエール＝レ＝メス
aéroport Lyon-Saint-Exupéry,サン＝テグジュペリ国際空港
Cublize,キュブリズ
Troisfontaines,トロワフォンテーヌ
mer du Nord,北海
relations entre la France et le Royaume-Uni,英仏関係
place des Terreaux,テロー広場
Abbeville,アブヴィル
Couternon,クーテルノン
Ternand,テルナン
Bassemberg,バッサンベル
Saint-Clément-sur-Valsonne,サン＝クレマン＝シュル＝ヴァルソンヌ
Chamelet,シャムレ
Monsols,モンソル
Rivolet,リヴォレ
Antilles françaises,フランス領アンティル
Nuku Hiva,ヌクヒバ島
Saint-Tropez,サントロペ
pâte feuilletée,パフパストリー
Le Mont-Saint-Michel,ル・モン＝サン＝ミシェル
Saint-Brieuc,サン＝ブリユー
basilique du Sacré-Cœur de Montmartre,サクレ・クール寺院
mont Saint-Michel,モン・サン＝ミシェル
Bitschhoffen,ビッチュホフェン
Dahlenheim,ダーレンハイム
ISO 3166-2:FR,ISO 3166-2:FR
Dième,ディエーム
Moselle,モーゼル川
ESCP Business School,ESCP EUROPE
Asswiller,アススヴィラー
Grandris,グランドリ
Allenwiller,アレンヴィラー
Lozanne,ロザンヌ
stade de Gerland,スタッド・ジェルラン
Givors,ジボール
catacombes de Paris,カタコンブ・ド・パリ
Hispano-Suiza,イスパノ・スイザ
Chénas,シェナ
Odenas,オドゥナ
La Liberté guidant le peuple,民衆を導く自由の女神
César de la meilleure révélation féminine,セザール有望若手女優賞
Peyre,ペール
Allier,アリエ川
communauté urbaine de Lyon,リヨン都市共同体
Oingt,オアン
Grandes Jorasses,グランド・ジョラス
Dehlingen,ドゥランジャン
Drachenbronn-Birlenbach,ドラシャンブロン＝ビルレンバッハ
aiguille Verte,エギーユ・ヴェルト
château de Versailles,ヴェルサイユ宮殿
Dingsheim,ディングスハイム
ligne B,リヨン地下鉄B線
ligne C,リヨン地下鉄C線
Climbach,クリンバッハ
ligne T1,リヨントラム1号線
ligne T2,リヨントラム2号線
ligne A,リヨン地下鉄A線
Ain,アン県
Aisne,エーヌ県
Blancherupt,ブランシュリュプト
Chambost-Allières,シャンボスト＝アリエール
Aschbach,アッシュバッハ
Daubensand,ドヴァンサン
Dossenheim-Kochersberg,ドッセナイム＝コシェルスベルグ
Breuschwickersheim,ブロイシュヴィッカースハイム
TER Rhône-Alpes,TER ローヌ—アルプ
ligne D,リヨン地下鉄D線
cathédrale Notre-Dame de Paris,ノートルダム大聖堂
Lyon-Perrache,リヨン・ペラーシュ駅
Lyon-Part-Dieu,リヨン・パールデュー駅
Lyon-Vaise,リヨン＝ヴァイズ駅
Référendum du 28 Septembre 1958,1958年セネガルでのフランス憲法国民投票
barre des Écrins,バール・デゼクラン山
Journal amusant,ジュルナル・アミュザン
dent du Géant,ダン・デュ・ジュアン
Airaines,エレーヌ (フランス)
Dambach,ダンバック
Jura,ジュラ県
Diebolsheim,ディーボルスハイム
Ardèche,アルデシュ県
Domfessel,ドンフェセル
Ailly-sur-Somme,エリ・シュル・ソンム
Hautes-Alpes,オート＝アルプ県
Hayange,アヤンジュ
aqueduc du Gier,ジエ水道
Loire-Atlantique,ロワール＝アトランティック県
Batzendorf,バッツェンドルフ
Vosges,ヴォージュ県
Alpes-Maritimes,アルプ＝マリティーム県
Aube,オーブ県
Diedendorf,ディーデンドルフ
Allier,アリエ県
Ardennes,アルデンヌ県
Aude,オード県
Dossenheim-sur-Zinsel,ドッセンハイム＝シュル＝ザンセル
Biblisheim,ビーブリスハイム
Calvados,カルヴァドス県
Alpes-de-Haute-Provence,アルプ＝ド＝オート＝プロヴァンス県
Buswiller,ブスヴィラー
Aveyron,アヴェロン県
Boofzheim,ブーフツハイム
Thonville,トンヴィル
Cantal,カンタル県
Corrèze,コレーズ県
Dieffenbach-au-Val,ディーフェンバッハ＝オー＝ヴァル
Dinsheim-sur-Bruche,ディンスハイム＝シュル＝ブリュシュ
Bouches-du-Rhône,ブーシュ＝デュ＝ローヌ県
Allenay,アルネ
Lourdes,ルルド
Ariège,アリエージュ県
Charente,シャラント県
Corse-du-Sud,コルス＝デュ＝シュド県
calvados,カルヴァドス
Charente-Maritime,シャラント＝マリティーム県
Polynésie française,フランス領ポリネシア
Bernolsheim,ベルノルスハイム
Clouange,クルアンジュ
Bourgheim,ボウルクハイム
Kertzfeld,ケルツフェルト
Haute-Corse,オート＝コルス県
Allociné,アロシネ
Avolsheim,アヴォルスハイム
Marly,マルリー
Lixheim,リクサイム
Cher,シェール県
Côte-d'Or,コート＝ドール県
Auenheim,アウエナイム
Albert,アルベール (ソンム県)
Rouen,ルーアン
Mano,マノ
Dimbsthal,ディンブシュタール
Drôme,ドローム県
Eywiller,アイウィラー
Doubs,ドゥー県
Eure-et-Loir,ウール＝エ＝ロワール県
Hattmatt,アットマット
Dordogne,ドルドーニュ県
Creuse,クルーズ県
Côtes-d'Armor,コート＝ダルモール県
2e arrondissement de Lyon,2区
Finistère,フィニステール県
Essonne,エソンヌ県
Rezonville,レゾン
Mise en demeure,排除措置
vasière,干潟
Saint-Brice,ブライス・オブ・ツアーズ
Hangenbieten,アンジャンビートン
Handschuheim,ハントシュハイム
Tchétchènes,チェチェン人
stade de la Rabine,スタッド・ド・ラビーン
système Séré de Rivières,セレ・ド・リヴィエール方式
Mata Utu,マタウトゥ
Roanne,ロアンヌ
Eure,ウール県
Hegeney,ウグネ
Nouvelle-Calédonie,ニューカレドニア
Guyane,フランス領ギアナ
Association mondiale anationale,国民性なき全世界協会
langue des signes française,フランス手話
Kolbsheim,コルブスハイム
Championnats de France de cyclisme sur route,ロード フランス国内選手権
Salon du chocolat,サロン・デュ・ショコラ
Lyon olympique universitaire,リヨンOU
ASVEL Lyon-Villeurbanne,アスヴェル・バスケット
aéroport de Lyon-Bron,リヨン・ブロン空港
révolte des Canuts,織工反乱
place Carnot,カルノ広場
bataille de Valmy,ヴァルミーの戦い
sites palafittiques préhistoriques autour des Alpes,アルプス山脈周辺の先史時代の杭上住居群
corse,コルシカ語
équipe de France féminine de football des moins de 19 ans,U-19サッカーフランス女子代表
abbaye Notre-Dame du Bec,ベック修道院
université Jean-Moulin-Lyon-III,リヨン第三大学
Rochemaure,ロシュモール
Francheville,フランシェヴィル
Forstheim,フォルストハイム
université Lumière-Lyon-II,リュミエール・リヨン第2大学
Corcy,コルシ
château de Blois,ブロワ城
Heidolsheim,ハイドルスハイム
Fougères,フージェール
Kesseldorf,ケッセルドルフ
Kienheim,キエンハイム
Rodemack,ロドマック
euro,ユーロ
Authiou,オティウ
Asnan,アナン
Heiligenstein,ハイリゲンシュタイン
Vougeot,ヴージョ
Fête des Lumières,光の祭典
Orchestre national de Lyon,リヨン国立管弦楽団
Opéra National de Lyon,リヨン国立オペラ
halle Tony-Garnier,ホール・トニー・ガルニエ
mer Méditerranée,地中海
Voudenay,ヴドゥネ
Tannay,タネー
Gingsheim,ギングスハイム
Aunay-en-Bazois,オネ＝アン＝バゾワ
Macheren,マシュラン
Saint-Privat-la-Montagne,サン＝プリヴァ＝ラ＝モンターニュ
Fénétrange,フェネトランジュ
Vosne-Romanée,ヴォーヌ＝ロマネ
Talon,タロン
Arleuf,アルルフ
Troyes,トロワ
Villars-et-Villenotte,ヴィラール＝エ＝ヴィレノット
Garonne,ガロンヌ川
Vonges,ヴォンジュ
Villaines-les-Prévôtes,ヴィレンヌ＝レ＝プレヴォット
Saint-Georges,サン＝ジョルジュ
Wilwisheim,ヴィルヴィスハイム
Avignon,アヴィニョン
tahitien,タヒチ語
Brive-la-Gaillarde,ブリーヴ＝ラ＝ガイヤルド
Alligny-Cosne,アリニー＝コスヌ
Paris-Roubaix,パリ〜ルーベ
Roubaix,ルーベ
Tour de France,ツール・ド・フランス
Eincheville,アインシュヴィル
Mothern,モテルン
picard,ピカルディ語
Nice,ニース
Saint-Pierre-Bois,サン＝ピエール＝ボワ
Odratzheim,オードラッツハイム
Gustavia,グスタビア
Reichshoffen,ライヒスホーフェン
mahorais,マオレ語
championnat de France de rugby à XV,フランス選手権トップ14
championnat de France de rugby à XV de 2e division,ラグビー・プロ・D2
Saint-Dié-des-Vosges,サン＝ディエ＝デ＝ヴォージュ
Léman,レマン湖
wallon,ワロン語
Sarlat-la-Canéda,サルラ＝ラ＝カネダ
Révolution française,フランス革命
Saint-Pierre-et-Miquelon,サンピエール島・ミクロン島
Montpellier,モンペリエ
Marsal,マルサル
Le Capitole,ル・キャピトール
Calais,カレー
Guénange,ゲナンジュ
Mittelschaeffolsheim,ミッテルシャエッフォルスハイム
département français,フランスの県
Herny,ヘルリンゲン
Narbonne,ナルボンヌ
Orléans,オルレアン
auvergnat,オーヴェルニュ語
bichelamar,ビスラマ語
Obenheim,オーベンハイム
Vannes,ヴァンヌ
Polynésie,ポリネシア
Poitiers,ポワチエ
Steenvoorde,ステンヴォルド
ndjuka,ジュカ語
futunien,フトゥナ語
prise de la Bastille,バスティーユ襲撃
Libourne,リブルヌ
Périgueux,ペリグー
Manche,イギリス海峡
Strasbourg,ストラスブール
mangarévien,マンガレバ語
rapa,ラパ語
Saint-Quirin,サン＝キラン
Vic-sur-Seille,ヴィック＝シュル＝セーユ
Wintzenheim-Kochersberg,ヴィンツェナイム＝コシェルスベルグ
Rombas,ロンバ
histoire de la mode en France,フランスのファッション
Le Perthus,ル・ペルテュ
gascon,ガスコーニュ語
Ligier,リジェ
Carcassonne,カルカソンヌ
Saint-Malo-en-Donziois,サン＝マロ＝アン＝ドンジオワ
région de France,フランスの地域圏
CALIPSO,CALIPSO
Wallis-et-Futuna,ウォリス・フツナ
Lembach,レンバッハ
cuisine française,フランス料理
Cerbère,セルベール
Agen,アジャン
fagauvea,西ウベア語
sarphatique,ツァルファティート
Renault,ルノー
Reynès,レヌ
Céret,セレ
Saint-Honoré-les-Bains,サン＝オノレ＝レ＝バン
Peugeot,プジョー
pic du Canigou,カニグー山
Coustouges,クストゥージュ
Mai 68,五月革命
Matra,マトラ
ligure,リグリア語
chemin de fer de la Rhune,ラ・リューヌ登山鉄道
paumotu,トゥアモトゥ語
Flandre française,フランドル・フランセーズ
Perpignan,ペルピニャン
Berliet,ベルリエ
Aixam,エグザム (自動車)
Luttange,ルターニュ
Eckwersheim,エックヴェルスハイム
Banyuls-sur-Mer,バニュルス＝シュル＝メール
Pournoy-la-Grasse,グロース・プルナッハ
Pagny-le-Château,パニー＝ル＝シャトー
Union astronomique internationale,国際天文学連合
Ruminghem,リュマンエム
Citroën,シトロエン
Wisches,ヴィッシェス
Aigues-Juntes,エグ＝ジュント
Challans,シャラン
Franxault,フランコー
Aigues-Vives,エギュ＝ヴィーヴ
boutifarre,ブティファラ
Dijon,ディジョン
Betschdorf,ベッチドルフ
catalan,カタルーニャ語
L'Île-d'Yeu,ユー島
Corsavy,コルサヴィー
Taillet,タイエ
Mélanésie,メラネシア
Amélie-les-Bains-Palalda,アメリー＝レ＝バン＝パラルダ
gallo,ガロ語
Albiès,アルビエス
.fr,.fr
Montferrer,モンフェレ
Allières,アリエール
L'Aiguillon,レギュイヨン
Gravelotte,グラヴロット
Osmose Productions,オスモス・プロダクション
Somme,ソンム川
néerlandais,オランダ語
Ostwald,オストヴァルド
Beaurainville,ボーランヴィル
Mutzig,ムツィヒ
Alliat,アリア
cascade de Vaipo,ヴァイポ滝
langue d'oïl,オイル語
Toulouse,トゥールーズ
Escaut,スヘルデ川
Braque d'Auvergne,オーヴェルニュー・ポインター
Besançon,ブザンソン
Arles-sur-Tech,アルル＝シュル＝テク
Gaule,ガリア
Angers,アンジェ
aéroport Saint‑Jean–Gustave III,グスタフ3世飛行場
bataille de Soissons,ソワソンの戦い
Gouy,グイ
Grand Trianon,大トリアノン宮殿
hameau de la Reine,ル・アモー・ドゥ・ラ・レーヌ
économie de la France,フランスの経済
Merkwiller-Pechelbronn,メルクヴィレール＝ペシェルブロン
stade du Moustoir,スタッド・ドゥ・ムストワ
AS565 Panther,AS 565
Maureillas-las-Illas,モレイヤ＝ラ＝イラ
Agence France-Presse,フランス通信社
bataille du Mans,ル・マンの戦い
La Ferrassie,フェラシー型
AS365 Dauphin,AS 365
Eurocopter AS350 Écureuil,ユーロコプター エキュレイユ
Eurocopter EC145,ユーロコプター EC 145
Le Mans Sarthe Basket,ル・マン・サルト・バスケット
Ajaccio,アジャクシオ
Calmeilles,カルメイユ
Oullins,ウラン
Arte,アルテ
Les cent livres du siècle,ルモンド世紀の100冊
Cannes,カンヌ
Dardilly,ダルディリー
Grand collisionneur de hadrons,大型ハドロン衝突型加速器
Grand Prix automobile de France,フランスグランプリ
Petit Trianon,小トリアノン宮殿
église Saint-Nizier de Lyon,サン・ニジエ教会
Vieux Lyon,リヨン歴史地区
bateau-mouche,バトー・ムーシュ
Jeux olympiques de 1900,1900年パリオリンピック
Jeux olympiques d'été de 1924,1924年パリオリンピック
Catastrophe de la raffinerie de Feyzin,フェイザン製油所事故
Saint-Pierre,サン＝ピエール
Gundershoffen,ガンデルショフェン
Gadagne,ガダーニュ博物館
Vic-le-Comte,ヴィック＝ル＝コント
musée de l'Imprimerie et de la Communication graphique,印刷博物館
Centre d'histoire de la résistance et de la déportation,レジスタンス・強制収容歴史センター
Fennec,ユーロコプター フェニック
Eurocopter EC130,ユーロコプター EC 130
Courtonne-la-Meurdrac,クルトンヌ＝ラ＝ムルドラック
palais des sports de Lyon,パレ・デ・スポール・デ・リヨン
Tournoi de tennis de Lyon,リヨン・オープン
Open de Montpellier,オープン・シュ・ド・フランス
Melun,ムラン
Lyon-Jean Macé,リヨン＝ジャン・マセ駅
Écoles La Martinière,マルティニエア
yiddish,イディッシュ語
Nancy,ナンシー
Caen,カーン
Université catholique de Lyon,リヨンカトリック大学
collège-lycée Ampère,アンペール中学校・高等学校
Lingolsheim,ランゴルサイム
Saint-Jean-Pla-de-Corts,サン＝ジャン＝プラ＝ド＝コール
guerre de Vendée,ヴァンデの反乱
théâtre national populaire,フランス国立民衆劇場
traité de Versailles,ヴェルサイユ条約
Saint-Yorre,サン＝ティヨール
Saint-Nabor,サン＝ナボール
golfe de Gascogne,ビスケー湾
Organisation de coopération et de développement économiques,経済協力開発機構
Frœschwiller,フレッシュウィレル
Amiens,アミアン
bataille de Denain,ドゥナの戦い
Attilly,アティー
Le Boulou,ル・ブル
Bischwiller,ビシュヴィレール
Mittelbergheim,ミッテルベルカイム
Ottrott,オットロット
Parc Olympique lyonnais,スタッド・デ・リュミエール
Astroballe,アストロボーレ
La Marseillaise,ラ・マルセイエーズ
Lauterbourg,ローターブール
La Sortie de l'usine Lumière à Lyon,工場の出口
La Croix-Rousse,クロワ＝ルース
Freyming-Merlebach,フレマン＝メルルバック
Entzheim,エンツハイム
Ingenheim,インゲンハイム
Conseil de l'Europe,欧州評議会
OpenSkies,オープンスカイズ
arménien,アルメニア語
Valence,ヴァランス (ドローム県)
Montbolo,モンボロ
Laroque-des-Albères,ラロック＝デ＝ザルベール
Niederbronn-les-Bains,ニーデルブロン＝レ＝バン
Soufflenheim,スフレンアイム
basque,バスク語
Cabestany,カベスタニ
Montesquieu-des-Albères,モンテスキュー＝デ＝ザルベール
luxembourgeois,ルクセンブルク語
Jeux olympiques d'hiver de 1968,1968年グルノーブルオリンピック
Jeux olympiques d'hiver de 1924,1924年シャモニー・モンブランオリンピック
Bélep,ベレップ
Lagny-sur-Marne,ラニー＝シュル＝マルヌ
Nuits de Fourvière,フルヴィエールの夜
Bourail,ブーライユ
Aisne,エーヌ川
Canala,カナラ
Dumbéa,デュムベア
Reims,ランス (マルヌ県)
Meuse,マース川
Hienghène,イヤンゲヌ
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,サン＝ルミ＝アン＝ブズモン＝サン＝ジュネ＝エ＝イソン
Tahiti,タヒチ島
Jeux olympiques d'hiver de 1992,1992年アルベールビルオリンピック
Houaïlou,ウアイルー
Clermont-Ferrand,クレルモン＝フェラン
Agence spatiale européenne,欧州宇宙機関
Marne,マルヌ川
Koumac,クマック
Nouméa,ヌメア
Dabo,ダボ (モゼル県)
Saint-Avold,サンタヴォル
La Foa,ラ・フォア
Saint-Étienne,サン＝テティエンヌ
Île des Pins,リル・デ・パン
Lifou,リフー島
Maré,マーレ
Kaala-Gomen,カアラ・ゴメヌ
Festival de Cannes,カンヌ国際映画祭
Rott,ロット
Euskadi ta Askatasuna,バスク祖国と自由
Astérix,アステリックス
Païta,パイタ
Koné,コネ
Ponerihouen,ポンエリウーアン
Pouembout,プオンブー
.gf,.gf
Île-aux-Moines,イル＝オー＝モワンヌ
Le Mont-Dore,モン･ドルー
.mq,.mq
Pouébo,プエボ
mer Ligure,リグリア海
Mittelhausen,ミッテラウゼン
Ouégoa,ウエゴア
Ouvéa,ウベア島
CERN,欧州原子核研究機構
Le Havre,ル・アーヴル
Seltz,セルツ
.gp,.gp
Souffelweyersheim,スフェルヴァイヤースハイム
Corbie,コルビ
Camoël,キャモエル
cubisme,キュビスム
Yaté,ヤテ
Nîmes,ニーム
Seebach,ゼーバハ
Parti nationaliste basque,バスク民族主義党
Poum,プーム
Île-d'Houat,ウア島
Hennebont,エンヌボン
Josselin,ジョスラン
Touho,トゥホ
Ingwiller,イングヴィレール
rue de l'Université,ユニヴェルシテ通り
Villeneuve-d'Ascq,ヴィルヌーヴ＝ダスク
Scherwiller,シャーヴィラー
Schirmeck,シルメック
Cordebugle,コルドビュグル
Sarraméa,サラメア
hogshead,ホッグスヘッド
incitation à la haine raciale,民衆扇動罪
Lanester,ラネステール
Via Agrippa,アグリッパ街道
École centrale de Lyon,エコール・サントラル・ド・リヨン
"École supérieure de chimie, physique, électronique de Lyon",リヨン化学物理電子専門学校
Châtenois,シャトノワ
cité scolaire internationale,リヨン国際学園
Voh,ヴォー村
École normale supérieure de Lyon,リヨン高等師範学校
Dieffenthal,ディファンタール
Locmariaquer,ロクマリアケール
Aulnoye-Aymeries,ウルノワ＝エムリ
Conservatoire national supérieur de musique et de danse de Lyon,Conservatoire national supérieur de musique et de danse de Lyon
Gâvres,ガヴル
Erstein,エルスタイン
Ambutrix,アンビュトリ
Toulon,トゥーロン
Boulay-Moselle,ブレ＝モゼル
Beynost,ベノ
Mertzwiller,メルツヴィラー
Marmoutier,マルムーティエ
Ellipse Animation,エリプスプログラム
Cayenne,カイエンヌ
Sarrebourg,サールブール
Terdeghem,テルドゲム
tunnel sous la Manche,英仏海峡トンネル
Cointreau,コアントロー
Schiltigheim,シルティグアイム
Winnezeele,ウィンヌジール
Brumath,ブリュマト
tramway de Lyon,リヨントラム
Trolleybus de Lyon,リヨン・トロリーバス
université de Lyon,リヨン大学
.pf,.pf
Wissembourg,ヴィサンブール
Internationaux de France de tennis,全仏オープン
Lorient,ロリアン
Thionville,ティオンヴィル
.wf,.wf
Festival Lumière,ルミエール映画祭
Le Progrès,ル・プログレ
liaison ferroviaire transalpine Lyon - Turin,トリノ-リヨン高速線
Natzwiller,ナツヴィレール
breton,ブルトン語
Australasie,オーストララシア
Angelina,アンジェリーナ (喫茶店)
Sarreguemines,サルグミーヌ
pot-au-feu,ポトフ
brasserie Georges,ブラッスリー・ジョルジュ
Noyal-Pontivy,ノワイヤル＝ポンティヴィ
Cassel,カッセル (フランス)
Ploudalmézeau,プルダルメゾー
Illkirch-Graffenstaden,イルキルシュ＝グラファンスタデン
Châtelaillon-Plage,シャティライヨン＝プラージュ
Locmaria,ロクマリア
Bretagne,ブルターニュ地域圏
mont Verdun,モン・ヴェルダン
base aérienne 942 Lyon-Mont Verdun,リヨン＝モン・ヴェルダン空軍基地
