Xanana Gusmão,シャナナ・グスマン
Pedro Mendes (1990),ペドロ・メンデス・(1990年生のサッカー選手)
Paulo de Pina,パウロ・ジョルジェ・マルティンス・ドス・サントス・ピナ
Emerson Moisés Costa,エメルソン・モイゼス・コスタ
José Manuel Rodrigues (fotógrafo),ジョゼ・マヌエル・ロドリゲス
Duarte Pio de Bragança,ドゥアルテ・ピオ・デ・ブラガンサ
Aurélia de Sousa,オーレリア・デ・ソウザ
Domingo Pais,ドミンゴス・パイス
Frederico de Freitas,フレデリコ・デ・フレイタス
Tomané,アントニオ・マヌエル・フェルナンデス・メンデス
Almami Moreira,アルマニ・モレイラ
Pedro de Alcântara Gastão de Orléans e Bragança,ペドロ・ガスタン・デ・オルレアンス・エ・ブラガンサ
Pedro Henrique de Orléans e Bragança,ペドロ・エンリケ・デ・オルレアンス・イ・ブラガンサ
Gonçalo Brandão,ゴンサロ・ブランダン
João Sousa,ジョアン・ソウザ
Capucho (futebolista),ヌーノ・カプーショ
José Águas,ジョゼ・アグアス
Pedro Costa (cineasta),ペドロ・コスタ
João Pina,ジョアン・ピナ
Paulinho Santos,パウリーニョ・サントス
Francisco Rolão Preto,フランシスコ・ロラン・プレト
Francisco Marto,フランシスコ・マルト
Madragana Ben Aloandro,マドラガーナ
Hélder Costa (futebolista),エルデル・コスタ
Hernâni Jorge Santos Fortes,エルナニ・ジョルジュ・サントス・フォルテス
Hernâni Ferreira da Silva,エルナニ・フェレイラ・ダ・シルヴァ
Jorge Filipe Teixeira,ジョルジュ・テイシェイラ
João Vaz,ジョアン・バス
Anthony Lopes,アントニー・ロペス
Fernando Mamede,フェルナンド・マメーデ
Ivan Cavaleiro,イヴァン・カヴァレイロ
André Almeida (futebolista),アンドレ・アルメイダ
Paulo Rebelo Costinha,パウロ・コスチーニャ
João Domingos da Silva Pinto,ジョアン・ドミンゴス・ピント
José Ernesto de Sousa,ジョゼ・エルネスト・デ・ソウザ
Jean-Pierre Martins,ジャン＝ピエール・マルタンス
Wilson Manafá,ウィルソン・マナファ
Miguel Gomes (cineasta),ミゲル・ゴメス
Nuno Delgado,ヌーノ・デルガド
Maria João Luís,マリア・ジョアン・ルイス
Nélson Semedo,ネルソン・セメド
Rui Tiago,ルイ・シルヴァ・(1994年生のサッカー選手)
João Palhinha,ジョアン・パリーニャ
Lula Pena,ルーラ・ペナ
Luís Wittnich Carrisso,ルイス・カリーソ
Gelson Martins,ジェルソン・マルティンス
Ulisses Garcia,ウリセス・ガルシア
Rúben Dias,ルベン・ディアス
Rúben Semedo,ルベン・セメド
Gonçalo Paciência,ゴンサロ・パシエンシア
Rúben Neves,ルベン・ネヴェス
Luís Montenegro,ルイス・モンテネグロ
Iuri Medeiros,イウリ・メデイロス
Francisco Geraldes,フランシスコ・ジェラウデス
Jéssica Silva,ジェシカ・シルバ
Paulo Fonseca,パウロ・フォンセカ
Pedro de Freitas Branco,ペドロ・デ・フレイタス・ブランコ
Dyego Sousa,ジエゴ・ヴィウヴェルソン・フェレイラ・ソウザ
Nuno Santos (futebolista),ヌーノ・ミゲル・ゴメス・ドス・サントス
Erica Fontes,エリカ・フォンテス
Francisco Ramos,フランシスコ・ラモス
André Horta,アンドレ・オルタ
Gonçalo Guedes,ゴンサロ・ゲデス
Augusto Moreira de Oliveira,アウグスト・モレイラ・デ・オリベラ
Ricardo Horta,リカルド・オルタ
Domingos Duarte,ドミンゴス・ドゥアルテ
Kingsley Madu,キングスレイ・マドゥ
Rafael Ferreira Silva,ラファ・シルヴァ
Tomás Podstawski,トーマス・ポズタウスキ
Jules Daveau,ジュール・アレクサンドル・ダヴォー
Rúben Vezo,ルベン・ヴェソ
André Silva (futebolista),アンドレ・ミゲル・ヴァレンテ・ダ・シルヴァ
Salvador Sobral,サルヴァドール・ソブラル
Renato Sanches,レナト・サンチェス
"Jorginho (futebolista, 1995)",ジョルジェ・フェルナンド・バルボーサ・インティマ
Bernardo Silva,ベルナルド・シウバ
André Moreira,アンドレ・モレイラ
Ederson Santana de Moraes,エデルソン・サンタナ・ジ・モライス
Gerson Rodrigues,ジェルソン・ロドリゲス
Francisco Trincão,フランシスコ・トリンコン
Manuel Custódia,マヌエル・クストーダ
Joel Castro Pereira,ジョエル・カストロ・ペレイラ
Rafael Leão,ラファエル・レオン
Diogo Jota,ディオゴ・ジョッタ
Gabriel Martinelli,ガブリエウ・テオドロ・マルティネッリ・シウヴァ
Xeka,ミゲル・アンジェロ・ダ・シルバ・ロシャ
Pedro Neto,ペドロ・ネト
Gonçalo Ramos,ゴンサロ・ラモス
João Félix,ジョアン・フェリックス
Marcos Paulo Costa do Nascimento,マルコス・パウロ・コスタ・ド・ナシメント
Cristina Fonseca,クリスティーナ・フォンセカ
David Carmo,ダヴィド・カルモ
Daniel Bragança,ダニエル・ブラガンサ
Neemias Queta,ニーミアス・クエタ
Luís Maximiano,ルイス・マキシミアーノ
Diogo Leite (futebolista),ディオゴ・フィリペ・モンテイロ・ピント・レイテ
Yuri Ribeiro,ユーリ・リベイロ
João Mário Neto Lopes,ジョアン・マリオ・ネト・ロペス
Nuno Tavares,ヌーノ・タヴァレス
Gedson Fernandes,ジェドソン・フェルナンデス
Diogo Dalot,ディオゴ・ダロト
Domingos Quina,ドミンゴス・クイナ
Jota Filipe,ジョアン・フィリペ
Diogo Costa,ディオゴ・コスタ
Vasco Barbosa,ヴァスコ・バルボザ
Rúben Vinagre,ルベン・バイナグル
Jorge Fonseca,ジョルジ・フォンセカ
Pedro Gonçalves,ペドロ・ゴンサウヴェス
Loïs Openda,ロイス・オペンダ
Thierry Correia,ティエリー・コレイア
Vera Von Monika,ベラ・フォン・モニカ
Florentino Luís,フロレンティーノ・ルイス
Fábio Vieira,ファビオ・ヴィエイラ
Marta Temido,マルタ・テミド
Tiago Dantas,ティアゴ・ダンタス
Luís Sequeira,ルイス・セケイラ
Daniela Melchior,ダニエラ・メルシオール
João Almeida (ciclista),ジョアン・アルメイダ
Vitinha (futebolista),ヴィトール・マヌエル・カルヴァーリョ・オリヴェイラ
João Neves,ジョアン・ネヴィス
Henrique Araújo (futebolista),エンリケ・アラウージョ
Chiquinho (futebolista nascido em 2000),フランシスコ・ジョルジェ・タヴァレス・オリヴェイラ
Fábio Silva (futebolista),ファビオ・シルヴァ
Gonçalo Borges,ゴンサロ・ボルジェス
Vitinha,ヴィトール・フェレイラ
André Franco,アンドレ・フランコ
Nuno Mendes (futebolista),ヌーノ・メンデス
Matheus Nunes,マテウス・ルイス・ヌネス
Tiago Tomás,ティアゴ・トマス
Francisco Conceição,フランシスコ・コンセイソン
Gonçalo Inácio,ゴンサロ・ベルナルド・イナシオ
António Silva (futebolista),アントニオ・シウヴァ
Fábio Carvalho (futebolista),ファビオ・カルヴァーリョ
