Kazimierz II Sprawiedliwy,카지미에시 2세
Włodzimierz Cimoszewicz,브워지미에시 치모셰비치
Jarosław Kaczyński,야로스와프 카친스키
Marcel Reich-Ranicki,마르셀 라이히라이츠키
Halina Mlynkova,할리나 믈린코바
Natalia Avelon,나탈리아 아벨론
Karol Stefan Habsburg,카를 슈테판 폰 외스터라이히 대공
Harry Warner,해리 워너
Kazimierz Marcinkiewicz,카지미에시 마르친키에비치
Tadeusz Mazowiecki,타데우시 마조비에츠키
Anna Maria Jopek,안나 마리아 요페크
Karol Radek,카를 라데크
Raymond Kopa,레이몽 코파
Igo Sym,이고 심
Jerzy Janowicz,예지 야노비치
Andrzej Sypytkowski,안제이 시피트코프스키
Józef Gosławski,유제프 고스와프스키
Bronisław Komorowski,브로니스와프 코모로프스키
Roman Giertych,로만 기에르티흐
Aleksander Weissberg-Cybulski,알렉산더 바이스베르크치불스키
Edward Strasburger,에두아르트 슈트라스부르거
Leon Jogiches,레오 요기헤스
Monika Sozanska,모니카 조찬스카
Radosław Sikorski,라도스와프 시코르스키
Aleksander Krupa,알렉산데르 크루파
Henryk Sienkiewicz,헨리크 시엔키에비치
Tomasz Wałdoch,토마시 바우도흐
Jan z Kolna,콜노의 얀
Kamil Glik,카밀 글리크
Karol August Freyer,아우구스트 프라이어
Wisława Szymborska,비스와바 심보르스카
Zygmunt Smalcerz,지그문트 스말체시
Rob Van Dam,롭 밴 댐
Stanisław Ryłko,스타니스와프 리우코
Wojtek Wolski,보이테크 볼스키
Tadeusz Mann,새디어스 맨
Artur Szpilka,아르투르 슈필카
Kazimierz Nycz,카지미에시 니치
Czesław Miłosz,체스와프 미워시
Bartosz Konopko,바르토시 코놉코
Tadeusz Kutrzeba,타데우시 쿠드제바
Urszula Sipińska,우르슐라 시핀스카
Bolesław II Szczodry,볼레스와프 2세
Bolesław IV Kędzierzawy,볼레스와프 4세
Janusz Magnuski,야누시 마그누스키
Ludwik Mierosławski,루드비크 미에로스와프스키
Roman Polański,로만 폴란스키
Tomasz Kucharzewski,토마시 쿠하제프스키
Henryk Rzewuski,헨리크 제부스키
Adam Hanuszkiewicz,아담 하누슈키에비치
Aleksandra Śląska,알렉산드라 실롱스카
Adam Kokoszka,아담 코코슈카
Małgorzata Bela,마우고시아 벨라
Adam Harasiewicz,아담 하라셰비치
Edward Ochab,에드바르트 오하프
Zdzisław Karczewski,지스와프 카르체프스키
Bartosz Huzarski,바르토시 후자르스키
Jerzy Skolimowski,예지 스콜리모프스키
Adrian Mierzejewski,아드리안 미에르제예프스키
Jerzy Kryszak,예지 크리샤크
Henryk Gulbinowicz,헨리크 굴비노비치
Bolesław V Wstydliwy,볼레스와프 5세
Jan I Olbracht,얀 1세
Jerzy Łoś,예지 워시
Tadeusz Cuch,타데우시 추흐
Łukasz Podolski,루카스 포돌스키
Małgorzata Kożuchowska,마우고자타 코주호프스카
Adam Skrodzki,아담 스크로즈키
Marcin Baszczyński,마르친 바슈친스키
Bartosz Ślusarski,바르토시 실루사르스키
Bartosz Kurek,바르토시 쿠레크
Magdalena Boczarska,마그달레나 보차르스카
Jan Lisiecki,얀 리시에츠키
Dawid Tomaszewski,다비드 토마스제비스키
Kazimierz Wiłkomirski,카지미에시 비우코미르스키
Bolesław Piasecki,볼레스와프 피아세츠키
Menachem Begin,메나헴 베긴
Ewa Gawryluk,에바 가브릴루크
Jakub Świerczok,야쿠프 시비에르초크
Kazimierz I Odnowiciel,카지미에시 1세
Brodka,모니카 브로트카
Tadeusz Rakoczy,타데우시 라코치
Aleksander Tansman,알렉산드르 탄스만
Samuel Eilenberg,사무엘 에일렌베르크
Adam Nawałka,아담 나바우카
Jakub Błaszczykowski,야쿱 브와슈치코프스키
Robert Lewandowski,로베르트 레반도프스키
Adam Pilch,아담 필흐
Adam Przeworski,아담 쉐보르스키
Arkadiusz Milik,아르카디우시 밀리크
Anna Polony,안나 폴로니
Bolesław Prus,볼레스와프 프루스
Kornel Filipowicz,코르넬 필리포비치
John Tavares,존 타바레스
Stanisław ze Szczepanowa,스츠크체파노브의 스타니슬라오
Ryszard Wójcik,리샤르트 부이치크
Dmitrij Chromin,드미트리 흐로민
Mateusz Kusznierewicz,마테우시 쿠슈니에레비치
Halina Czerny-Stefańska,할리나 체르니스테판스카
Władysław Sikorski,브와디스와프 시코르스키
Wojciech Łobodziński,보이치에흐 워보진스키
Antoni Chruściel,안토니 흐루시치엘
Krzysztof Penderecki,크시슈토프 펜데레츠키
Wojciech Cejrowski,보이치에흐 체이로프스키
Jerzy Spława-Neyman,예르지 네이만
Jarosław Iwaszkiewicz,야로스와프 이바슈키에비치
Sławoj Leszek Głódź,스와보이 레셰크 구치
Łukasz Piszczek,우카시 피슈체크
Daniel Libeskind,대니얼 리버스킨드
Karol Boromeusz Hoffman,카롤 보로메우시 호프만
Władysław Bortkiewicz,라디슬라우스 보르트키에비츠
Włodzimierz Terlikowski,블라디미르 드 테를리코프스키
Georges Charpak,조르주 샤르파크
Irena Sendlerowa,이레나 센들러
Andrzej Szarmach,안체이 샤르마흐
Jadwiga Jankowska-Cieślak,야드비가 얀코프스카치에실라크
Wincenty Lutosławski,빈첸티 루토스와프스키
Ernest Wilimowski,에른스트 빌리모프스키
Tadeusz Gocłowski,타데우시 고츠워프스키
Mieczysław Rakowski,미에치스와프 라코프스키
Anna Badora,안나 바도라
Stanisław Dziwisz,스타니스와프 지비츠
Emmanuel Olisadebe,이매뉴얼 올리사데베
Krzysztof Kowalewski,크시슈토프 코발레프스키
George E. Stone,조지 E. 스톤
Artur Rodziński,아르투르 로진스키
Krystian Zimerman,크리스티안 치메르만
Romain Gary,로맹 가리
Witold Lutosławski,비톨트 루토스와프스키
Władysław Szpilman,브와디스와프 슈필만
Maciej Lampe,마치에이 람페
Jerzy Konstanty Czartoryski,예지 콘스탄티 차르토리스키
Bronisław Geremek,브로니스와프 게레메크
Leonid Hurwicz,레오니트 후르비치
Sebastian Boenisch,제바스티안 뵈니슈
Adam Zagajewski,아담 자가예프스키
Maria Andegaweńska,마리어 (헝가리)
Leszek Kołakowski,레셰크 코와코프스키
Henryk Tomaszewski,헨리크 토마셰프스키
Zbigniew Ziobro,즈비그니에프 지오브로
Andrzej Pilipiuk,안제이 필리피우크
Bogdan Borusewicz,보그단 보루세비치
Andrzej Lepper,안제이 레페르
Grzegorz Dolniak,그제고시 돌니아크
Marek Saganowski,마레크 사가노프스키
Zbigniew Herbert,즈비그니에프 헤르베르트
Siemomysł,시에모뮈슈
Mariusz Jop,마리우시 요프
Jarosław Araszkiewicz,야로스와프 아라슈키에비치
Jacek Zieliński,야체크 지엘린스키
Rafał Wolski,라파우 볼스키
Janusz Kamiński,야누스 카민스키
Józef Glemp,유제프 글렘프
Paweł Golański,파베우 골란스키
Zygmunt Bauman,지그문트 바우만
Janusz Palikot,야누시 팔리코트
Robert Kubica,로버트 쿠비카
Marian Rejewski,마리안 레예프스키
Michał Heller,미하우 헬레르
Cezary Zamana,체자리 자마나
Waldemar Korycki,발데마르 코리츠키
Piotr Żyła,피오트르 지와
Marek Grechuta,마레크 그레후타
Kazimierz Kuratowski,카지미에시 쿠라토프스키
Maciej Paterski,마치에이 파테르스키
Teodor Leszetycki,테오도르 레셰티츠키
Marcin Gortat,마신 고탓
Adam Michnik,아담 미흐니크
Bolesław Leśmian,볼레스와프 레시미안
Bolesław Woytowicz,볼레스와프 보이토비치
Agnieszka Dygant,아그니에슈카 디간트
Radosław Majewski,라도스와프 마예프스키
Krzysztof Nowak,크시슈토프 노바크
Zbigniew,즈비그니에프
Michał Szczerba,미하우 슈체르바
Stefan Wyszyński,스테판 비신스키
Władysław Anders,브와디스와프 안더스
Mariusz Fyrstenberg,마리우시 피르스텐베르크
Piotr Anderszewski,피오트르 안데르셰프스키
Grzegorz Peradze,그리골 페라제
Stanisław Barańczak,스타니스와프 바란차크
Tomasz Jodłowiec,토마시 요드워비에츠
Andrzej Kubica,안제이 쿠비차
Władysław Kosiniak-Kamysz,브와디스와프 코시니아크카미시
Éric Srecki,에리크 스레키
Józef Wandzik,유제프 반지크
Kazimierz Paździor,카지미에시 파지지오르
Zbigniew Cybulski,즈비그니에프 치불스키
Waldemar Kryger,발데마르 크리게르
Marian Hemar,마리안 헤마르
Grzegorz Schetyna,그제고시 스헤티나
Witold Pyrkosz,비톨트 피르코시
Grzegorz Napieralski,그제고시 나피에랄스키
Małgorzata Foremniak,마우고자타 포렘니아크
Michał Witkowski,미하우 비트코프스키
Karol Modzelewski,카롤 모젤레프스키
Michał Chałbiński,미하우 차우빈스키
Zbigniew Jaremski,즈비그니에프 야렘스키
Zbigniew Karkowski,즈비그니에프 카르코프스키
Jan z Głogowa,그워구프의 얀
Mirosław Trzeciak,미로스와프 트셰치아크
Paul Slowinski,폴 슬로윈스키
Zbigniew Małkowski,즈비그니에프 마우코프스키
Zbigniew Namysłowski,즈비그니에프 나미스워프스키
Szymon Winawer,시몬 비나베르
Benedykt Dybowski,베네딕트 디보프스키
Dariusz Wolski,다리우시 볼스키
Józef Grudzień,유제프 그루지엔
Stanisław Przybyszewski,스타니스와프 프시비셰프스키
Jon Johansen,욘 레크 요한센
Aleksander Ścibor-Rylski,알렉산데르 시치보르릴스키
Michał Goliński,미하우 골린스키
Mariusz Siudek,마리우시 시우데크
Zbigniew Preisner,즈비그니에프 프레이스네르
Anna Biedrzycka-Sheppard,애나 B. 셰퍼드
Mark Grudzielanek,마크 그루질라넥
Władysław Odonic,브와디스와프 오도니츠
Robert Zajonc,로버트 자욘스
Joachim Brudziński,요아힘 브루진스키
Adrian Mrowiec,아드리안 므로비에츠
Adrian Zieliński,아드리안 지엘린스키
Paweł Pawlikowski,파베우 파블리코프스키
David Seymour,데이비드 시무어
Zbigniew Zapasiewicz,즈비그니에프 자파시에비치
Grzegorz Braun,그제고시 브라운
Szymon Kołecki,시몬 코웨츠키
Krzysztof Kotorowski,크시슈토프 코토로프스키
Piotr Michałowski,피오트르 미하워프스키
Mieczysław Horszowski,미에치슬라프 호르초프스키
Rafał A. Ziemkiewicz,라파우 지엠키에비치
Zbigniew Zakrzewski,즈비그니에프 작셰프스키
Jacek Ziober,야체크 지오베르
Jan Franciszek Czartoryski,얀 프란치셰크 차르토리스키
Alain Finkielkraut,알랭 핑켈크로트
Julian Tuwim,율리안 투빔
Janusz Kusociński,야누시 쿠소친스키
Piotr Świerczewski,표토르 시비에르체프스키
Stanisława Walasiewicz,스타니스와바 발라시에비치
Zdzisław Maklakiewicz,지슬라프 마클라키에비치
Zdzisław Krzyszkowiak,지스와프 크시슈코비아크
Zdzisław Beksiński,즈지스와프 벡신스키
Leszek Możdżer,레셰크 모주제르
Jerzy Brzęczek,예지 브젱체크
Mariusz Stępiński,마리우시 스텡핀스키
Elżbieta Żebrowska,엘주비에타 제브로프스카
Paweł Huelle,파베우 후엘레
Robert Siatka,로베르 시아카
Władysław Bartoszewski,브와디스와프 바르토셰프스키
Józef Światło,유제프 시비아트워
Kazimierz Lipień,카지미에시 리피엔
Borys Sawinkow,보리스 사빈코프
Timothée Kolodziejczak,티모테 콜로지에이차크
Dariusz Ławrynowicz,다류슈 라우리노비치
Krzysztof Ławrynowicz,크시슈토프 라우리노비치
Robert Acquafresca,로베르트 아콰프레스카
Robert Biedroń,로베르트 비에드론
Marcin Lewandowski,마르친 레반도프스키
Allan Starski,알란 스타르스키
Krzysztof Kolberger,크시슈토프 콜베르게르
Antoni Macierewicz,안토니 마치에레비치
Katarzyna Nosowska,카시아 노소프스카
Antoni Dydycz,안토니 파치피크 디디치
Adam Brodecki,아담 브로데츠키
Jerzy Makarczyk,예지 마카르치크
Józef Czapski,유제프 찹스키
Marek Kuchciński,마레크 쿠흐친스키
Natasza Urbańska,나타샤 우르반스카
Artur Rubinstein,아르투르 루빈스타인
Hilary Koprowski,힐러리 코프로프스키
Antoni Szymanowski,안토니 시마노프스키
Zenon Jaskuła,제논 야스쿠와
Zenon Grocholewski,제논 그로홀레프스키
Agnieszka Rylik,아그니에슈카 릴리크
Wojciech Szczęsny,보이치에흐 슈쳉스니
Harald Konopka,하랄트 코노프카
Radosław Wojtaszek,라도스와프 보이타셰크
Nazım Hikmet,나짐 히크메트
Henryk Gołębiewski,헨리크 고웽비에프스키
Agnieszka Grochowska,아그니에슈카 그로호프스카
Agata Buzek,아가타 부제크
Ignacy Jan Paderewski,이그나치 얀 파데레프스키
Jerzy Dudek,예지 두데크
Tomasz Jarzębowski,토마시 야젱보프스키
Wacław Niżyński,바슬라프 니진스키
Agata Zubel,아가타 주벨
Henryk Melcer-Szczawiński,헨리크 멜체르슈차빈스키
Florian Znaniecki,플로리안 즈나니에츠키
Łeonid Krawczuk,레오니드 크라우추크
Zenon Kliszko,제논 클리슈코
Henryk Sucharski,헨리크 수하르스키
Agnieszka Pomaska,아그니에슈카 포마스카
Moe Drabowsky,모 드러바우스키
Franciszek Dąbrowski,프란치셰크 동브로프스키
Magdalena Piekarska,마그달레나 피에카르스카
Hanka Bielicka,한카 비엘리츠카
Eugeniusz Kwiatkowski,에우게니우시 크비아트코프스키
Algirdas Paleckis,알기르다스 팔레츠키스
Władysław Orkan,브와디스와프 오르칸
Adam Małysz,아담 마위시
Dorota Rabczewska,도다
Łukasz Jarosz,우카시 야로시
Oscar Lewicki,오스카르 레비츠키
Michał Przysiężny,미하우 프시시엥주니
Henryk Arctowski,헨리크 아르츠토프스키
Sławomir Nitras,스와보미르 니트라스
Tomasz Frankowski,토마시 프란코프스키
Franciszek Pieczka,프란치셰크 피에치카
Krzysztof Oliwa,크시슈토프 올리바
Mirosław Okoński,미로스와프 오콘스키
Marek Piotrowski,마레크 피오트로프스키
Agnieszka Radwańska,아그니에슈카 라드반스카
Tomasz Zahorski,토마시 자호르스키
Kazimierz Fajans,카시미르 파얀스
Wojciech Stattler,보이치에흐 스타틀레르
Artur Boruc,아르투르 보루츠
Krzysztof Jurgiel,크시슈토프 유르기엘
Sławomir Peszko,스와보미르 페슈코
Elżbieta Łukacijewska,엘주비에타 우카치예프스카
Alfred Tarski,알프레트 타르스키
Jan Adam Maklakiewicz,얀 마클라키에비치
Paweł Edelman,파베우 에델만
Moriz Rosenthal,모리츠 로젠탈
Kayah,카야
Wojciech Zabłocki,보이치에흐 자브워츠키
Anna Jagodzińska,안나 야고진스카
Joanna Skrzydlewska,요안나 스크시들레프스카
Dorota Siudek,도로타 시우데크
Jacek Kwiatkowski,야체크 크비아트코프스키
Thiago Cionek,치아구 시오네크
Maria Kaczyńska,마리아 카친스카
Felix Nussbaum,펠릭스 누스바움
Zofia Nałkowska,조피아 나우코프스카
Ryszard Kapuściński,리샤르트 카푸시친스키
Abraham Joshua Heschel,아브라함 J. 헤셸
Zofia Kossak-Szczucka,조피아 코사크슈추츠카
Carl Yastrzemski,칼 야스트렘스키
Waldemar Baszanowski,발데마르 바샤노프스키
Joseph Rotblat,조지프 로트블랫
Elżbieta Pierzchała,엘주비에타 피에슈하와
Radosław Zawrotniak,라도스와프 자브로트니아크
Elżbieta Radziszewska,엘주비에타 라지셰프스카
Urszula Antoniak,우르슐라 안토니아크
Stanisław Mazur,스타니스와프 마주르
Michał Kwiatkowski,미하우 크비아트코프스키
Anna Szatkowska,안나 샤트코프스카
Artur Sobiech,아르투르 소비에흐
Violetta Villas,비올레타 빌라스
Zofia Bielczyk,조피아 비엘치크
Jarosław Gowin,야로스와프 고빈
Andrzej Buncol,안제이 분촐
Dorota Pomykała,도로타 포미카와
Krystian Długopolski,크리스티안 두고폴스키
Hugo Steinhaus,후고 스테인하우스
Tamara Łempicka,타마라 드 렘피카
Irena Szewińska,이레나 셰빈스카
Anna Jagiellonka,안나 야기엘론카
Justyna Kowalczyk-Tekieli,유스티나 코발치크
Grażyna Bacewicz,그라지나 바체비치
Agnieszka Holland,아그니에슈카 홀란트
Józef Cyrankiewicz,유제프 치란키에비치
Szymon Ziółkowski,시몬 지우코프스키
George Adamski,조지 아담스키
Pola Negri,폴라 네그리
Jan Kasprowicz,얀 카스프로비치
Eugenia Umińska,에우게니아 우민스카
Simon Zimny,시몽 짐니
Stefan Filipkiewicz,스테판 필립키에비치
Izabella Scorupco,이자벨라 스코럽코
Tara Lipinski,타라 리핀스키
Lucyna Langer-Kałek,루치나 란게르카웨크
Anna Dąbrowska,아니아
Waldemar Sobota,발데마르 소보타
Stanisław Skrowaczewski,스타니스와프 스크로바체프스키
Sandra Zaniewska,산드라 자니에프스카
Kuba Wojewódzki,쿠바 보예부츠키
Dariusz Wosz,다리우시 보시
Jarosława Jóźwiakowska,야로스와바 유지비아코프스카
Anna Rogowska,안나 로고프스카
Martha Stewart,마사 스튜어트
Marta Domachowska,마르타 도마호프스카
Jerzy Owsiak,예지 오프시아크
Robert Więckiewicz,로베르트 비에츠키에비치
Rafał Wojaczek,라파우 보야체크
Błażej Augustyn,브와제이 아우구스틴
Michał Kalecki,미하우 칼레츠키
Joanna Jabłczyńska,요안나 야부친스카
Henryk Maculewicz,헨리크 마출레비치
Jakub Wierzchowski,야쿠프 비에슈호프스키
Magdalena Tul,마그달레나 툴
Jan Wasiewicz,얀 바시에비치
Ewelina Lisowska,에벨리나 리소프스카
Kamila Skolimowska,카밀라 스콜리모프스카
Edyta Górniak,에디타 구르니아크
Juliusz Paweł Schauder,율리우시 샤우데르
Elżbieta Krzesińska,엘주비에타 크셰신스카
Marie Rambert,마리 램버트
Ida Haendel,이다 헨델
Kazik Staszewski,카지크 스타셰프스키
Anna Walentynowicz,안나 발렌티노비치
Stefan Mazurkiewicz,스테판 마주르키에비치
Klaudia Jans-Ignacik,클라우디아 얀스이그나치크
Bronisława Niżyńska,브로니스와바 니진스카
Anja Rubik,아냐 루비크
Maria Dąbrowska,마리아 동브로프스카
Karolina Wydra,카롤리나 비드라
Włodzimierz Zawadzki,브워지미에시 자바츠키
Ewa Wiśniewska,에바 비시니에프스카
Leonard Buczkowski,레오나르트 부치코프스키
Juliusz Słowacki,율리우시 스워바츠키
Dariusz Michalczewski,다리우시 미할체프스키
Zygmunt Berling,지그문트 베를링
Zygmunt Hanusik,지그문트 하누시크
Daria Werbowy,다리아 워보위
Halina Konopacka,할리나 코노파츠카
Grzegorz Rasiak,그제고시 라시아크
Basia,바시아
Ludwika Paleta,루드비카 팔레타
Andrzej Kurylewicz,안제이 쿠릴레비치
Anna Grodzka,안나 그로츠카
Katarzyna Figura,카타지나 피구라
Euzebiusz Smolarek,에우제비우시 스몰라레크
Stanisław Szozda,스타니스와프 쇼즈다
Zygmunt Malanowicz,지그문트 말라노비치
Jean Stablinski,장 스타블랭스키
Zygmunt Krauze,지그문트 크라우제
Tadeusz Mytnik,타데우시 미트니크
Andrzej Panufnik,안제이 파누프니크
Piotr Małachowski,피오트르 마와호프스키
Alicja Bachleda-Curuś,알리샤 바흘레다추루시
Halina Poświatowska,할리나 포시비아토프스카
Sylwia Bogacka,실비아 보가차
Kaja Paschalska,카야 파스할스카
Małgorzata Ostrowska-Królikowska,마우고자타 오스트로프스카크룰리코프스카
Arkadiusz Skrzypaszek,아르카디우시 스크시파셰크
Teofil Kwiatkowski,테오필 크비아트코프스키
Sławomir Nowak,스와보미르 노바크
Magdalena Buczek,마그달레나 부체크
Sylwester Bednarek,실베스테르 베드나레크
Jerzy Jeszke,예 르지 예즈 케
Jerzy Miller,예지 밀레르
Mateusz Ponitka,마테우시 포니트카
Stefan Liv,스테판 리브
Kinga Preis,킨가 프레이스
Janina Korowicka,야니나 코로비츠카
Marian Pankowski,마리안 판코프스키
Richard Pipes,리처드 파이프스
Henryk Reyman,헨리크 레이만
Jakub Ćwiek,야쿠프 치비에크
Józef Maria Bocheński,유제프 마리아 보헨스키
Ewa Kopacz,에바 코파치
Emil Młynarski,에밀 밀스키스키
Józef Szmidt,유제프 슈미트
Tomasz Siemoniak,토마시 시에모니아크
Wiesław Maniak,비에스와프 마니아크
Elżbieta Jakubiak,엘주비에타 야쿠비아크
Jacek Wszoła,야체크 프쇼와
Krzysztof Kwiatkowski,크시슈토프 크비아트코프스키
Jacek Krzynówek,야체크 크지누베크
Daria Korczyńska,다리아 코르친스카
Ludovic Obraniak,루도비크 오브라니아크
Manuela Gretkowska,마누엘라 그레트코프스카
Wanda Wiłkomirska,반다 비우코미르스카
Ewa Lipska,에바 립스카
Maria Szymanowska,마리아 시마노프스카
Rafał Blechacz,라파우 블레하치
Katarzyna Cichopek,카타지나 치호페크
Karolina Gruszka,카롤리나 그루즈카
Olga Tokarczuk,올가 토카르추크
Paweł Kaczorowski,파베우 카초로프스키
Grzegorz Kajdanowicz,그제고시 카이다노비치
August Emil Fieldorf,아우구스트 에밀 피엘도르프
Dominika Paleta,도미니카 팔레타
Stefan Rowecki,스테판 로베츠키
Bronisław Huberman,브로니스와프 후베르만
Hanna Kulenty,한나 쿨렌티
Józef Ignacy Kraszewski,유제프 이그나치 크라셰프스키
Władysław Komar,브와디스와프 코마르
Wanda Szmielew,반다 슈미엘레프
Wojciech Kuczok,보이치에흐 쿠초크
Maja Ostaszewska,마야 오스타셰프스카
Danuta Szaflarska,다누타 샤플라르스카
Jan Furtok,얀 푸르토크
Wojciech Karolak,보이치에흐 카롤라크
Elżbieta Czyżewska,엘주비에타 치제프스카
Joanna Wiśniewska,요안나 비시니에프스카
Izabela Jaruga-Nowacka,이자벨라 야루가노바츠카
Joachim Halupczok,요아힘 할루프초크
Natalia Partyka,나탈리아 파르티카
Anna Przybylska,안나 프시빌스카
Jadwiga Barańska,야드비가 바란스카
Teresa Piotrowska,테레사 피오트로프스카
Liliana Komorowska,릴리아나 코모로스카
August Czartoryski,아우구스트 차르토리스키
Władysław Czartoryski,브와디스와프 차르토리스키
Piotr Wyszomirski,피오트르 비쇼미르스키
Monika Soćko,모니카 소치코
Teresa Ciepły,테레사 치에프위
Anna Wierzbicka,안나 비에스비카
Beata Kozidrak,베아타 코지드라크
Heinrich Kwiatkowski,하인츠 크비아트코프스키
Joanna Pacuła,요안나 파추와
Martin Max,마르틴 막스
Jakub Wawrzyniak,야쿠프 바브지니아크
Jacek Dukaj,야체크 두카이
Uri Orlev,우리 올레브
Ignacy Feliks Dobrzyński,이그나치 펠릭스 도브진스키
Izabella Miko,이자벨라 미코
Joanna Krupa,조애나 크루파
Czesław Kiszczak,체스와프 키슈차크
Oskar Lange,오스카르 랑게
Anna Jantar,안나 얀타르
Lucyna Winnicka,루치나 빈니츠카
Ewa Kłobukowska,에바 크워부코프스카
Katarzyna Smutniak,카시아 스무트니아크
Jadwiga Wajsówna,야드비가 바이스
Henryka Krzywonos,헨리카 크시보노스
Mariusz Czerkawski,마리우시 체르카프스키
Grzegorz Filipowski,그르제고르슈 필리포우스키
Henryk Zygalski,헨리크 지갈스키
Natalia Kukulska,나탈리아 쿠쿨스카
Kazimiera Iłłakowiczówna,카지미에라 이와코비추브나
Czesław Niemen,체스와프 니에멘
Wojciech Kowalewski,보이치에흐 코발레프스키
Daniel Olbrychski,다니엘 올브리흐스키
Jan Jakub Kolski,얀 야쿱 콜스키
Tadeusz Konwicki,타데우시 콘비츠키
Władysław Starewicz,라디슬라스 스타레비치
Chaïm Perelman,카임 페렐만
Janusz Zajdel,야누시 자이델
Wanda Panfil-González,완다 판필
Bella Darvi,벨라 다르비
Mateusz Klich,마테우시 클리흐
Marian Spychalski,마리안 스피할스키
Ignacy Friedman,이그나츠 프리드만
Martyna Synoradzka,마르티나 시노라즈카
Dagmara Wozniak,다그마라 워즈니악
Lech Ordon,레흐 오르돈
Maria Janion,마리아 야니온
Elżbieta Bieńkowska,엘주비에타 비엔코프스카
Hanna Gronkiewicz-Waltz,한나 그론키에비치
Grzegorz Lato,그제고시 라토
Barbara Brylska,바르바라 브릴스카
Aleksander Zawadzki,알렉산더 자와드키
Magdalena Mielcarz,막달레나 미엘카르츠
Krystyna Janda,크리스티나 얀다
Ireneusz Paliński,이레네우시 팔린스키
Leon Chwistek,레온 흐비스테크
Li Qian,리첸
Ryszard Tarasiewicz,리샤르트 타라시에비치
Maciej Ustynowicz,마치에이 우스티노비츠
Leon Niemczyk,레온 니엠치크
