Figueras,피게레스
Valencia,발렌시아
Soria,소리아
Granada Club de Fútbol,그라나다 CF
Club Deportivo Numancia de Soria,CD 누만시아
Real Club Deportivo Espanyol,RCD 에스파뇰
International Airlines Group,국제 항공 그룹
Getafe,헤타페
Granada,그라나다
Arenys de Munt,아레니스데문트
Getafe Club de Fútbol,헤타페 CF
Arenys de Mar,아레니스데마르
Almazán,알마산
Gran Premio de España,스페인 그랑프리
Málaga Club de Fútbol,말라가 CF
Santander (España),산탄데르 (스페인)
Real Racing Club de Santander,라싱 산탄데르
Idioma gallego,갈리시아어
Real Murcia Club de Fútbol,레알 무르시아
Jaén,하엔 (스페인)
Cádiz,카디스
Cataluña,카탈루냐
Pamplona,팜플로나
Burgos,부르고스
Aranés,아란 방언
Real Club Recreativo de Huelva,레크레아티보 우엘바
Sabadell,사바델
Palma de Mallorca,팔마데마요르카
Monzón (Huesca),몬손
Ponferrada,폰페라다
Península ibérica,이베리아반도
Tortosa,토르토자
Comunidad Valenciana,발렌시아주
Centre d'Esports Sabadell Futbol Club,CE 사바델
Club Atlético Osasuna,CA 오사수나
Gijón,히혼
Villarreal,비야레알
Lanzarote,란사로테섬
Real Sporting de Gijón,스포르팅 히혼
Zamora,사모라 (스페인)
Huelva,우엘바
Llivia,리비아 (스페인)
Ávila,아빌라
Segovia,세고비아
Salamanca,살라망카
La Rioja (España),라리오하주 (스페인)
Rayo Vallecano de Madrid,라요 바예카노
Zaragoza,사라고사
León (España),레온 (스페인)
Rota,로타 (카디스주)
Castilla-La Mancha,카스티야라만차주
Castilla y León,카스티야이레온주
Pueblo lituano,리투아니아인
Real Zaragoza,레알 사라고사
San Sebastián,산세바스티안
Móstoles,모스톨레스
Hispania,히스파니아
Estadio de San Mamés,산 마메스
Tranvía de Tenerife,테네리페 트램
Partido Popular,국민당 (스페인)
Real Valladolid Club de Fútbol,레알 바야돌리드
Real Sociedad de Fútbol,레알 소시에다드
Iberia (aerolínea),이베리아 항공
Comunidad de Madrid,마드리드주
Islas Baleares,발레아레스 제도
Región de Murcia,무르시아주
Sevilla Fútbol Club,세비야 FC
Valencia Club de Fútbol,발렌시아 CF
Peseta,스페인 페세타
Agrupación Deportiva Alcorcón,AD 알코르콘
Extremadura,엑스트레마두라주
SEAT,세아트
Alcorcón,알코르콘
Jerez,셰리
Ayerbe,아예르베
Canarias,카나리아 제도
Andalucía,안달루시아주
Unión Deportiva Almería,UD 알메리아
Almería,알메리아
Fútbol Club Barcelona Atlètic,FC 바르셀로나 B
Plazas de soberanía,플라사스 데 소베라니아
Guernica y Luno,게르니카
Córdoba (España),코르도바 (스페인)
Elche,엘체
Córdoba Club de Fútbol,코르도바 CF
Vic,비크 (스페인)
Elche Club de Fútbol,엘체 CF
Ceuta,세우타
Peñón de Vélez de la Gomera,페뇽데벨레스데라고메라
La Razón (España),라 라손
Melilla,멜리야
Almuñécar,알무녜카르
Toledo,톨레도
Ebro,에브로강
San Cugat del Vallés,산쿠가트델발례스
Tarrasa,테라사
Manresa,만레사
Campos de Sport de El Sardinero (1988),캄포스 데 스포르트 데 엘 사르디네로
Comunidad autónoma,스페인의 광역자치주
Guerra civil española,스페인 내전
Provincia de Lérida,례이다도
Barberá del Vallés,바르베라델발례스
Sardañola del Vallés,세르다뇰라델발례스
Fuerteventura,푸에르테벤투라섬
Metro de Madrid,마드리드 지하철
Lugo,루고
Asociación de Amistad con Corea,조선친선협회
Mar de Alborán,알보란해
Universiada de 1999,1999년 하계 유니버시아드
Idioma árabe,아랍어
Cádiz Club de Fútbol,카디스 CF
Mar Balear,발레아레스해
Museo Nacional Centro de Arte Reina Sofía,국립 소피아 왕비 예술센터
Irún,이룬
Parque nacional y natural de Doñana,도냐나 국립공원
Casa Batlló,카사 바트요
Reino de Aragón,아라곤 왕국
Estadio de La Romareda,에스타디오 데 라 로마레다
Matrimonio entre personas del mismo sexo en España,스페인의 동성결혼
Tajo,타구스강
Duero,도루강
Idioma occitano,오크어
Guadiana,과디아나강
Orden del Toisón de Oro,황금양모 기사단
Puebla de Segur,라푸블라데세구르
Selección de fútbol de Cataluña,카탈루냐 축구 국가대표팀
La Palma,라팔마섬
Astorga,아스토르가
Guadalquivir,과달키비르강
Santiago de Compostela,산티아고데콤포스텔라
Estadio de Mestalla,에스타디오 데 메스타야
España en los Juegos Olímpicos de Helsinki 1952,1952년 하계 올림픽 스페인 선수단
Alcalá de los Gazules,알칼라데로스가술레스
El Puerto de Santa María,엘푸에르토데산타마리아
Logroño,로그로뇨
Mérida (España),메리다 (스페인)
Teruel,테루엘
España en los Juegos Olímpicos de Sídney 2000,2000년 하계 올림픽 스페인 선수단
Santa Cruz de Tenerife,산타크루스데테네리페
Oviedo,오비에도
Gambas al ajillo,감바스 알 아히요
Catedral de Santiago de Compostela,산티아고데콤포스텔라 대성당
Vitoria,비토리아 (스페인)
RCDE Stadium,RCDE 스타디움
Ibiza (ciudad),이비사
Algete,알헤테
España en los Juegos Olímpicos de Seúl 1988,1988년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Múnich 1972,1972년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Montreal 1976,1976년 하계 올림픽 스페인 선수단
Cabo Trafalgar,트라팔가르곶
Spanair,스팬에어
Primera División de España 2011-12,라리가 2011-12
Real Federación Española de Fútbol,스페인 왕립 축구 연맹
Geografía de España,스페인의 지리
Falange Española de las JONS,팔랑헤당
Naturgy,네이처지 (기업)
Primera División de España 2006-07,라리가 2006-07
Río Eo,에오강
Casa Milà,카사 밀라
Estadio Vicente Calderón,에스타디오 비센테 칼데론
Partido Comunista de España,스페인 공산당
Río Miño,미뉴강
Primera División de España 1939-40,라리가 1939-40
Alegranza,알레그란사섬
Estación de Manuel de Falla,마누엘 데 파야역
Anexo:Tiro con arco en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 양궁
España en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 스페인 선수단
Tarragona,타라고나
Las meninas,시녀들
Batasuna,바타수나
Selección de baloncesto de España,스페인 농구 국가대표팀
España en los Juegos Olímpicos de Moscú 1980,1980년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Roma 1960,1960년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Tokio 1964,1964년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de México 1968,1968년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Los Ángeles 1932,1932년 하계 올림픽 스페인 선수단
Baraona,바라오나 (소리아도)
Avilés,아빌레스
Primera División de España 2010-11,라리가 2010-11
Georgianos,조지아인
Cordillera Cantábrica,칸타브리아산맥
Copa del Rey,코파 델 레이
Primera División de España 2009-10,라리가 2009-10
Morisco,모리스코
Paralelo 38 norte,북위 38도
Aliud,알리우드
Copa de la Paz,피스컵
Ciudad Real,시우다드레알
Teatro Real (Madrid),왕립극장 (마드리드)
Albacete,알바세테
Cuenca (España),쿠엥카 (스페인)
Marbella,마르베야
El Clásico,엘 클라시코
El Burgo de Osma-Ciudad de Osma,부르고데오스마 시우다드데오스마
Ferrol,페롤
Lérida,례이다
Estadio de Riazor,에스타디오 데 리아소르
Río Jalón,할론강
Motril,모트릴
Sanlúcar de Barrameda,산루카르데바라메다
Cetrería,매사냥
Castellón de la Plana,카스테욘데라플라나
San Sebastián de los Reyes,산세바스티안데로스레예스
Medinaceli,메디나셀리
Algeciras,알헤시라스
Paterna,파테르나
Parque Güell,구엘 공원
Alcázar de los Reyes Cristianos,코르도바 알카사르
Premios Goya,고야상
Pelota vasca,펠로타
Cultural y Deportiva Leonesa,쿨투랄 이 데포르티바 레오네사
Estación de Príncipe de Vergara,프린시페 데 베르가라역
Atentados del 11 de marzo de 2004,2004년 마드리드 열차 폭탄 테러
Costa del Sol,코스타델솔
Estación de Madrid-Chamartín-Clara Campoamor,차마르틴역
Estación de Atocha,마드리드 아토차역
Segunda División de España 1979-80,세군다 디비시온 1979-80
Primera División de España 1968-69,라리가 1968-69
Puertollano,푸에르토야노
Monte Perdido,몬테페르디도
Golpe de Estado en España de 1981,2·23 쿠데타
Costa Brava,브라바 해안
Club Deportivo Tenerife,CD 테네리페
Reus,레우스
Aranjuez,아랑후에스
Campeonato Mundial de Natación de 1986,1986년 세계 수영 선수권 대회
Universidad de Barcelona,바르셀로나 대학교
Cortes Generales,스페인 의회
Alcobendas,알코벤다스
Candelaria (Tenerife),칸델라리아
Universidad Complutense de Madrid,마드리드 콤플루텐세 대학교
Granollers,그라눌례스
Baracaldo,바라칼도
Mollet del Vallès,물례트델발례스
Benidorm,베니도름
Baeza,바에사
Olivenza,올리벤사
Primera División de España 1956-57,라리가 1956-57
Osuna,오수나
Montmeló,문멜로
Segunda División de España 2002-03,세군다 디비시온 2002-03
Serie 114 de Renfe,렌페 114급
Anexo:Gran Premio de Europa de 2011,2011년 유럽 그랑프리
Tratado de los Pirineos,피레네 조약
Alburquerque,알부르케르케
Torremolinos,토레몰리노스
Mijas,미하스
Estepona,에스테포나
Copa de la Liga de España,코파 데 라 리가
El Ejido,엘에히도
Andorra (Teruel),안도라 (테루엘주)
Romesco,로메스코
Entrena,엔트레나
Batalla de las Navas de Tolosa,라스 나바스 데 톨로사 전투
Zoológico de Barcelona,바르셀로나 동물원
Benalmádena,베날마데나
Torrejón de Ardoz,토레혼데아르도스
Gastronomía de Andalucía,안달루시아 요리
Guecho,게초
Mondragón,아라사테
Fuenterrabía,온다리비아
Estación Espacial Internacional,국제우주정거장
Tarifa,타리파
Desastre aéreo de Tenerife,테네리페 공항 참사
Gastronomía de Asturias,아스투리아스 요리
Segunda División de España 1999-2000,세군다 디비시온 1999-2000
Torrevieja,토레비에하
Hospitalet de Llobregat,루스피탈레트데류브레가트
Santa Coloma de Gramanet,산타쿨로마데그라메네트
San Adrián de Besós,산트 아드리아 데 베소스
Badalona,바달로나
Primera División de España 1930-31,라리가 1930-31
Deportivo Alavés,데포르티보 알라베스
Primera División de España 1997-98,라리가 1997-98
Vicálvaro,비칼바로
Guerra de Devolución,상속 전쟁
Universidad Politécnica de Madrid,마드리드 공과대학교
Bandera de Canarias,카나리아 제도의 기
Primera División de España 1943-44,라리가 1943-44
Oñate,오냐티
Éibar,에이바르
Aranda de Duero,아란다데두에로
Calatayud,칼라타유드
Copa de Ferias 1955-58,1955-58년 인터시티스 페어스컵
Fartón,파르톤
Tolosa (Guipúzcoa),톨로사 (스페인)
Real Alcázar de Sevilla,알카사르 (세비야)
Legión Española,스페인 외인부대
Estación de Juan de la Cierva,후안 데 라 시에르바역
Las Rozas de Madrid,라스로사스데마드리드
Inmigración en España,스페인으로의 이민
Roquetas de Mar,로케타스데마르
Juegos Mediterráneos de 2018,2018년 지중해 게임
Lepe,레페 (스페인)
Villanueva y Geltrú,빌라노바이라젤트루
Sitges,시제스
Catedral de Sevilla,세비야 대성당
Villena,비예나
Sierra Nevada (España),시에라네바다산맥 (스페인)
Real Monasterio de San Lorenzo de El Escorial,엘에스코리알
Auditorio de Tenerife,테네리페 음악당
Ikurriña,이쿠리냐
Países Catalanes,카탈루냐어권
Metro de Barcelona,바르셀로나 지하철
Lucena,루세나 (스페인)
Cuatro Torres Business Area,콰트로 토레스 비즈니스 지구
Asturiano (asturleonés de Asturias),아스투리아스어
Segunda División de España 1997-98,세군다 디비시온 1997-98
Trienio Liberal,스페인 반란
Segunda División de España 1955-56,세군다 디비시온 1955-56
Panoramio,파노라미오
Hispano-Suiza,이스파노 수이자
Primera División de España 1960-61,라리가 1960-61
Anexo:Gran Premio de España de 2011,2011년 스페인 그랑프리
Segunda División de España 2001-02,세군다 디비시온 2001-02
Plasencia,플라센시아
Estadio de San Mamés (1913),산 마메스 (1913년)
Primera División de España 2007-08,라리가 2007-08
Segunda División de España 1944-45,세군다 디비시온 1944-45
Segunda División de España 1935-36,세군다 디비시온 1935-36
Primera División de España 1975-76,라리가 1975-76
Extremeño (lingüística),에스트레마두라어
Serie 104 de Renfe,렌페 104급
Licor 43,리코르 43
Vilaseca,빌라세카
Primera División de España 2008-09,라리가 2008-09
Batalla de Medina de Rioseco,메디나 델 리오 세코 전투
Castelldefels,카스텔데펠스
Torre de Hércules,헤라클레스의 탑
Universidad Católica de Murcia Club de Fútbol,UCAM 무르시아 CF
Mezquita-catedral de Córdoba,메스키타
Segunda División de España 1998-99,세군다 디비시온 1998-99
Álora,알로라
Segunda División de España 1930-31,세군다 디비시온 1930-31
Cornellá de Llobregat,쿠르넬랴데류브레가트
El Prat de Llobregat,엘프라트데류브레가트
Gavá,가바 (바르셀로나주)
Real Club Deportivo Espanyol "B",RCD 에스파뇰 B
Idioma valenciano,발렌시아어
Segunda División de España 1990-91,세군다 디비시온 1990-91
Águilas,아길라스
Gandía,간디아
Estadio Heliodoro Rodríguez López,에스타디오 엘리오도로 로드리게스 로페스
La Vanguardia,라 반구아르디아
Metrovalencia,메트로발렌시아
Primera División de España 1966-67,라리가 1966-67
Estación de Parque Lisboa,파르케 리스보아역
Segunda División de España,세군다 디비시온
Supercopa de Europa 1997,1997년 UEFA 슈퍼컵
Nombre español,스페인의 작명
Vuelta a España,부엘타 아 에스파냐
Segunda División de España 1977-78,세군다 디비시온 1977-78
Club Gimnàstic de Tarragona,짐나스틱 데 타라고나
Copa del Generalísimo de fútbol 1958-59,코파 델 헤네랄리시모 1958-59
Turismo en España,스페인의 관광
Campeonato Mundial de Natación de 2003,2003년 세계 수영 선수권 대회
El Periódico (Barcelona),엘 페리오디코 데 카탈루냐
Idioma gótico,고트어
Gascón (occitano),가스코뉴 방언
Aeropuerto de Bilbao,빌바오 공항
Segunda División de España 1972-73,세군다 디비시온 1972-73
Archidiócesis de Madrid,가톨릭 마드리드 대교구
Segunda División de España 1982-83,세군다 디비시온 1982-83
Clasificación de AFC y OFC para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 아시아·오세아니아 지역 예선
Estrecho de Gibraltar,지브롤터 해협
Benicasim,베니카심
Distribución geográfica del idioma español,스페인어권
Línea 6 (Metro de Madrid),마드리드 지하철 6호선
Arancón,아랑콘
Copa de Ferias 1958-60,1958-60년 인터시티스 페어스컵
Sociedad Deportiva Amorebieta,SD 아모레비에타
Estación de Tetuán (Metro de Madrid),테투안역
.es,.es
Arcos de la Frontera,아르코스데라프론테라
Pozuelo de Alarcón,포수엘로데알라르콘
Teide,테이데봉
Ágreda,아그레다
Real Oviedo,레알 오비에도
Estadio Ramón Sánchez-Pizjuán,에스타디오 라몬 산체스 피스후안
Estadio Olímpico Lluís Companys,에스타디 올림픽 류이스 쿰파니스
Batalla de Vitoria,비토리아 전투
Écija Balompié,에시하 발롬피에
Batalla de Munda,문다 전투
Estadio Mallorca Son Moix,에스타디 마요르카 손 모시
Primera División Femenina de España,리가 F
Tenerife,테네리페섬
Segunda División de España 1991-92,세군다 디비시온 1991-92
Telemadrid,텔레마드리드
Club Polideportivo Ejido,폴리데포르티보 에히도
Serie 490 de Renfe,렌페 490급
Copa del Presidente de la República de Fútbol 1931,코파 델 프레시덴테 데 라 레푸블리카 1931
Montehermoso,몬테헤르모소
Bardenas Reales,바르데나스 레알레스
Partido Nacionalista Vasco,바스크 국민당
Camino de Santiago,카미노데산티아고
Estación de Usera,우세라역
Torre Cepsa,토레 세프사
Arenas Club,아레나스 클루브 데 게초
Eurocopa Sub-21 de 1996,1996년 UEFA U-21 축구 선수권 대회
Golfo de Vizcaya,비스케이만
Primera División de España 1980-81,라리가 1980-81
Primera División de España 1964-65,라리가 1964-65
Primera División de España 2002-03,라리가 2002-03
Euskadi Ta Askatasuna,바스크 조국과 자유
Selección de fútbol de España,스페인 축구 국가대표팀
Linares (Jaén),리나레스 (하엔도)
Estación de Conservatorio,콘세르바토리오역
Arnedo,아르네도
Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵
Telescopio MAGIC,매직 (망원경)
Selección de hockey sobre hierba de España,스페인 필드하키 국가대표팀
Copa Mundial Femenina de Rugby de 2002,2002년 여자 럭비 월드컵
Olympic Broadcasting Services,올림픽 방송 서비스
Sagunto,사군토
Alhambra,알람브라
Primera División de España 1976-77,라리가 1976-77
Copa del Rey de Fútbol 1906,코파 델 레이 1906
Serie 120 de Renfe,렌페 120급·렌페 121급
Fútbol Club Barcelona (femenino),FC 바르셀로나 페메니
Anexo:Monarcas de Asturias,아스투리아스 국왕
Anexo:Medallero de los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 메달 집계
Primera División de España 1998-99,라리가 1998-99
Segunda División de España 1945-46,세군다 디비시온 1945-46
Alcalá de Henares,알칼라데에나레스
IE Universidad,IE 대학교
Primera División de España 1950-51,라리가 1950-51
Primera División de España 1990-91,라리가 1990-91
Lorca,로르카
Euskal Herria,바스크
Generalife,헤네랄리페
Templo Expiatorio de la Sagrada Familia,사그라다 파밀리아
Vueling Airlines,부엘링 항공
Tordesillas,토르데시야스
Segunda División de España 1956-57,세군다 디비시온 1956-57
ABC (periódico),ABC (신문)
Aldea del Fresno,알데아델프레스노
Estadio Alfredo Di Stéfano,에스타디오 알프레도 디 스테파노
Santo Domingo de la Calzada,산토도밍고데라칼사다
Denia,데니아
Línea 11 (Metro de Madrid),마드리드 지하철 11호선
Estación de Tres Olivos,트레스 올리보스역
Asociación de Academias de la Lengua Española,스페인어 아카데미 협회
Serie 100 de Renfe,렌페 100급
Elda,엘다
Copa del Generalísimo de fútbol 1952-53,코파 델 헤네랄리시모 1952-53
Morón de la Frontera,모론데라프론테라
Adra,아드라
Mahón,마온
Plaza de toros de Valencia,발렌시아 투우장
Estación de Avenida de la Paz,아베니다 데 라 파스역
Bolsas y Mercados Españoles,스페인 거래소 그룹
Tuenti,Tuenti
Jaca,하카 (스페인)
Arrecife (España),아레시페
El País,엘 파이스
Fala (valle de Jálama),팔라어 (갈리시아포르투갈어)
Alicante Club de Fútbol,알리칸테 CF
Fútbol Club Barcelona (baloncesto),FC 바르셀로나 바스케트
Real Madrid Baloncesto,레알 마드리드 발론세스토
San Cristóbal de La Laguna,산크리스토발데라라구나
Fuenlabrada,푸엔라브라다
Telecinco,텔레싱코
RTVE,RTVE
Provincia de Cuenca,쿠엥카도
Provincia de Albacete,알바세테도
Supercopa de España de Fútbol 2008,수페르코파 데 에스파냐 2008
Copa del Generalísimo de fútbol 1949-50,코파 델 헤네랄리시모 1949-50
División de Honor de rugby,디비시온 데 아너
Siglo de Oro,스페인 황금기
Mancomunidad,만코무니다드
Menorca,메노르카섬
Isla de Cabrera,카브레라섬
Ibiza,이비사섬
Formentera,포르멘테라섬
Copa del Rey de fútbol 1981-82,코파 델 레이 1981-82
Primera División de España 1986-87,라리가 1986-87
Estación de Joaquín Vilumbrales,호아킨 빌룸브랄레스역
España en los Juegos Olímpicos de Atenas 2004,2004년 하계 올림픽 스페인 선수단
Provincia de Guadalajara,과달라하라도
Provincia de Ciudad Real,시우다드레알도
Provincia de Toledo,톨레도도
Anexo:Béisbol en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 야구
Parque de la Ciudadela,시우타델랴 공원
Toro de Osborne,오즈번 불
Provincia de Teruel,테루엘도
Provincia de Zaragoza,사라고사도
Universidad de Salamanca,살라망카 대학교
Copa de Ferias 1961-62,1961-62년 인터시티스 페어스컵
Valencia Basket,발렌시아 BC
Provincia de Valencia,발렌시아도
Catedral de la Santa Cruz (Cádiz),카디스 대성당
Primera División de España 1971-72,라리가 1971-72
Provincia de Alicante,알리칸테도
Provincia de Castellón,카스테욘도
Segunda División de España 1932-33,세군다 디비시온 1932-33
Copa del Rey de Fútbol 1903,코파 델 레이 1903
Reino de Galicia,갈리시아 왕국
Idiomas de España,스페인의 언어
Liga Europa de la UEFA 2013-14,2013-14년 UEFA 유로파리그
Copa del Generalísimo de fútbol 1952,코파 델 헤네랄리시모 1952
España en el Festival de la Canción de Eurovisión,스페인의 유로비전 송 콘테스트 참가
Estación de Artilleros,아르티예로스역
Supercopa de España de Fútbol 1997,수페르코파 데 에스파냐 1997
Garachico,가라치코
Fútbol Club Cartagena,FC 카르타헤나
Provincia de Segovia,세고비아도
Provincia de Palencia,팔렌시아도
Provincia de Burgos,부르고스도
Provincia de Soria,소리아도
Metro de Sevilla,세비야 지하철
Batalla de Rande,비고만 해전
Aeropuerto de Melilla,멜리야 공항
Torre PwC,토레 PwC
Provincia de Huesca,우에스카도
Oveja merina,메리노
Aeropuerto Josep Tarradellas Barcelona-El Prat,주제프 타라델랴스 바르셀로나 엘프라트 공항
Telde,텔데
Provincia de Ávila,아빌라도
Regionalismo y nacionalismo en España,스페인의 민족주의와 지역주의
Alcázar,알카사르
Casa de Borbón,부르봉가
Gran Telescopio Canarias,그랑 텔레스코피오 카나리아스
Cabrales,카브랄레스
Trujillo (España),트루히요 (스페인)
Primera División de España 1982-83,라리가 1982-83
Segunda División de España 1976-77,세군다 디비시온 1976-77
Primera División de España 1942-43,라리가 1942-43
Puerto del Rosario,푸에르토델로사리오
Primera División de España,라리가
Organización Mundial del Turismo,세계 관광 기구
Metro de Bilbao,빌바오 지하철
Batalla de Almansa,알만사 전투
El jardín de las delicias,세속적인 쾌락의 동산
Congreso de los Diputados,스페인 하원
Palacio de Deportes de la Comunidad de Madrid,팔라시오 데 데포르테스 데 라 코무니다드 데 마드리드
Fuencarral-El Pardo,푸엥카랄엘파르도
Primera División de España 1963-64,라리가 1963-64
Segunda División de España 2004-05,세군다 디비시온 2004-05
Fuerzas Armadas (España),스페인군
Primera División de España 1948-49,라리가 1948-49
Ciudad Real Madrid Florentino Pérez,시우다드 레알 마드리드
Copa del Rey de fútbol 1997-98,코파 델 레이 1997-98
Museo del Fútbol Club Barcelona,FC 바르셀로나 박물관
Estación de Vista Alegre (Metro de Madrid),비스타 알레그레역
Telescopio William Herschel,윌리엄 허셜 망원경
Aeropuerto de Palma de Mallorca,팔마데마요르카 공항
Copa Intercontinental 2000,2000년 인터콘티넨털컵
Club Deportivo Logroñés,CD 로그로녜스
Estadio de Chamartín,에스타디오 데 차마르틴
Premios Princesa de Asturias,아스투리아스 공주상
Monedas de euro de España,스페인의 유로 주화
Bolsa de Madrid,마드리드 증권거래소
Grado (Asturias),그라도 (스페인)
Tibidabo,티비다보
Juegos Mediterráneos de 1955,1955년 지중해 게임
Grupo Danone,다논
Copa del Presidente de la República de Fútbol 1933,코파 델 프레시덴테 데 라 레푸블리카 1933
Itálica,이탈리카
Segunda División de España 1947-48,세군다 디비시온 1947-48
Úbeda,우베다
Loja (Granada),로하 (스페인)
Air Europa,에어 유로파
Copa Mundial de fútbol sala de la FIFA 1996,1996년 FIFA 풋살 세계 선수권 대회
Estación de Almendrales,알멘드랄레스역
Plaza de toros Monumental de Barcelona,바르셀로나 모누멘탈 투우장
Acciona,악시오나
Torre Glòries,토레 글로리에스
Primera División de España 1944-45,라리가 1944-45
Leganés,레가네스
Provincia de Salamanca,살라망카도
Copa del Rey de Fútbol 1925,코파 델 레이 1925
Ciudad Deportiva del Real Madrid Club de Fútbol (1963),시우다드 데포르티바
Adeje,아데헤
Llanito,야니토
Imperio español,스페인 제국
Provincia de Valladolid,바야돌리드도
Provincia de Zamora,사모라도
Provincia de León,레온도
Pirámides de Güímar,귀마르의 피라미드
Álava,아라바도
Estadio de O'Donnell,캄포 데 오도넬
Festival Internacional de Cine de San Sebastián,산세바스티안 국제 영화제
Gastronomía de España,스페인 요리
Provincia de Almería,알메리아도
Premio Miguel de Cervantes,미겔 데 세르반테스 상
Estadio de La Cartuja,에스타디오 데 라 카르투하
Confederación Nacional del Trabajo,전국노동총연맹
Provincia de Badajoz,바다호스도
Estación de Alvarado,알바라도역
Acuerdo Tripartito de Madrid,마드리드 협정
Salou,살로우
Isla de los Faisanes,꿩섬
Numancia,누만티아
Sport (periódico),스포르트 (스페인의 신문)
Izquierda Unida (España),좌파연합 (스페인)
El Corte Inglés,엘 코르테 잉글레스
Segunda División de España 1968-69,세군다 디비시온 1968-69
Recopa de Europa 1979-80,1979-80년 유러피언컵위너스컵
San Lorenzo de El Escorial,산로렌소데엘에스코리알
Provincia de Barcelona,바르셀로나도
Provincia de Córdoba (España),코르도바도
Batalla de Cádiz (1702),카디스 전투 (1702년)
Provincia de Cáceres,카세레스도
Primera División de España 1985-86,라리가 1985-86
Ruta europea E90,유럽 고속도로 90호선
Provincia de Cádiz,카디스도
Segunda División de España 1942-43,세군다 디비시온 1942-43
Segunda División de España 1934-35,세군다 디비시온 1934-35
Portugal bajo la Casa de Austria,이베리아 연합
Almaluez,알말루에스
Segunda División de España 1966-67,세군다 디비시온 1966-67
La Barceloneta,바르셀로네타
Segunda División de España 1971-72,세군다 디비시온 1971-72
Estación de Valdecarros,발데카로스역
Batalla de Gibraltar (1607),지브롤터 해전
Panda Security,판다 시큐리티
Estación de Villa de Vallecas,비야 데 바예카스역
Religión en España,스페인의 종교
La Roda (Albacete),라로다
Supercopa de Europa 1989,1989년 UEFA 슈퍼컵
Estación de Plaza de España (Barcelona),에스파냐역
Provincia de La Coruña,아코루냐도
Villarrobledo,비야로블레도
Provincia de Granada,그라나다도
Ferrocarriles de la Generalidad de Cataluña,카탈루냐 자치정부 철도
Copa del Rey de fútbol 2011-12,코파 델 레이 2011-12
Primera División de España 1931-32,라리가 1931-32
