Deutschland,ドイツ
Neuwerk,ノイヴェルク島
Bezirk Altona,ハンブルク＝アルトナ
Ruhr,ルール川
Stuttgart,シュトゥットガルト
Baden-Württemberg,バーデン＝ヴュルテンベルク州
Bielefeld,ビーレフェルト
Holzwickede,ホルツヴィッケデ
Bad Berleburg,バート・ベルレブルク
Hilchenbach,ヒルヒェンバッハ
Freudenberg (Siegerland),フロイデンベルク・(ジーガーラント)
Netphen,ネトフェン
Burbach (Siegerland),ブールバッハ・(ジーガーラント)
Erndtebrück,エルンテブリュック
Neunkirchen (Siegerland),ノインキルヒェン・(ジーガーラント)
Piratenpartei Deutschland,ドイツ海賊党
Wilnsdorf,ヴィルンスドルフ
Saale,ザーレ川
Hamburg,ハンブルク
Aachen,アーヘン
Neckar,ネッカー川
Rüthen,リューテン
Warstein,ヴァールシュタイン
Lippetal,リッペタール
Möhnesee (Gemeinde),メーネゼー
Spree,シュプレー川
Havel,ハーフェル川
Karlsruhe,カールスルーエ
Enz,エンツ川
Markgröningen,マルクグレーニンゲン
Kongokonferenz,ベルリン会議・(アフリカ分割)
Werl,ヴェルル
Anröchte,アンレヒテ
Eschelbronn,エッシェルブロン
Nordsee,北海
Kiel,キール・(ドイツ)
Bad Sassendorf,バート・ザッセンドルフ
Hamburg-Neuengamme,ノイエンガンメ
Hannover,ハノーファー
Düsseldorf,デュッセルドルフ
Augsburg,アウクスブルク
Freiberg,フライベルク
Lemgo,レムゴー
Potsdam,ポツダム
Oelde,エルデ
Berlin Hauptbahnhof,ベルリン中央駅
Hemer,ヘーマー
Mainz,マインツ
Wiesbaden,ヴィースバーデン
Saarbrücken,ザールブリュッケン
Wunstorf,ヴンストルフ
Memmingen,メミンゲン
München,ミュンヘン
Coburg,コーブルク
Bremerhaven,ブレーマーハーフェン
Schwerin,シュヴェリーン
Sendenhorst,ゼンデンホルスト
Ahlen,アーレン・(ノルトライン＝ヴェストファーレン)
Iserlohn,イーザーローン
Beckum,ベックム
Drensteinfurt,ドレンシュタインフルト
ARRI,アーノルド%26リヒター
Weiden in der Oberpfalz,ヴァイデン・イン・デア・オーバープファルツ
Inn,イン川
Münster,ミュンスター
Welver,ヴェルヴァー
Erfurt,エアフルト
Dreieich,ドライアイヒ
Oranienburg,オラニエンブルク
Kaufbeuren,カウフボイレン
Dresden,ドレスデン
Weißenfels,ヴァイセンフェルス
Bautzen,バウツェン
Schleswig-Holstein,シュレースヴィヒ＝ホルシュタイン州
Mecklenburg-Vorpommern,メクレンブルク＝フォアポンメルン州
Magdeburg,マクデブルク
Nürtingen,ニュルティンゲン
Pirmasens,ピルマゼンス
Frankfurt am Main,フランクフルト・アム・マイン
Mönchengladbach,メンヒェングラートバッハ
Ennigerloh,エニガーロー
Gelsenkirchen,ゲルゼンキルヒェン
Braunschweig,ブラウンシュヴァイク
Warendorf,ヴァーレンドルフ
Nordrhein-Westfalen,ノルトライン＝ヴェストファーレン州
Delitzsch,デーリッチュ
Chemnitz,ケムニッツ
Kirchheim unter Teck,キルヒハイム・ウンター・テック
Löhne,レーネ
Telgte,テルクテ
Sassenberg,ザッセンベルク
Siegburg,ジークブルク
Buxtehude,ブクステフーデ
Völklingen,フェルクリンゲン
Bensheim,ベンスハイム
Niedersachsen,ニーダーザクセン州
Ansbach,アンスバッハ
Laatzen,ラーツェン
Sachsen,ザクセン州
Saarland,ザールラント州
Thüringen,テューリンゲン州
Beelen,ベーレン
Freie Demokratische Partei,自由民主党・(ドイツ)
Kreis Warendorf,ヴァーレンドルフ郡
Friedrich-Alexander-Universität Erlangen-Nürnberg,フリードリヒ・アレクサンダー大学エアランゲン＝ニュルンベルク
Oberhausen,オーバーハウゼン
Wadersloh,ヴァーデルスロー
Kirnitzschtalbahn,キルニッツシュタール鉄道
Everswinkel,エーヴァースヴィンケル
Halle (Saale),ハレ・(ザーレ)
Freiburg im Breisgau,フライブルク・イム・ブライスガウ
Schwabach,シュヴァーバッハ
Suhl,ズール
European Pressphoto Agency,EPA通信
Rivalität zwischen dem Hamburger SV und Werder Bremen,ノルト・ダービー
Quedlinburg,クヴェードリンブルク
Hessen,ヘッセン州
Rheinland-Pfalz,ラインラント＝プファルツ州
Ostbevern,オストベーヴェルン
Urbach (Remstal),ウーアバッハ・(バーデン＝ヴュルテンベルク)
Kirchberg an der Murr,キルヒベルク・アン・デア・ムル
MBB/Kawasaki BK 117,BK117・(航空機)
NSU Motorenwerke,NSU
Siemens,シーメンス
Rudersberg,ルーダースベルク
Bad Soden am Taunus,バート・ゾーデン・アム・タウヌス
Schorndorf,ショルンドルフ
Bad Münder am Deister,バート・ミュンダー・アム・ダイスター
Sachsen-Anhalt,ザクセン＝アンハルト州
Brandenburg,ブランデンブルク州
Krefeld,クレーフェルト
Lübeck,リューベック
Maintal,マインタール
Ruhrbesetzung,ルール占領
Opel,オペル
Rostock,ロストック
Hofheim am Taunus,ホーフハイム・アム・タウヌス
Kassel,カッセル
Leinfelden-Echterdingen,ラインフェルデン＝エヒターディンゲン
Hoyerswerda,ホイエルスヴェルダ
Porsche,ポルシェ
Hochdorf (bei Plochingen),ホーホドルフ・(エスリンゲン郡)
Schwäbisch Hall,シュヴェービッシュ・ハル
Saarlouis,ザールルイ
Neu-Isenburg,ノイ＝イーゼンブルク
Greven,グレーヴェン
Ostfildern,オストフィルデルン
Eschenbach (Württemberg),エッシェンバッハ・(ヴュルテンベルク)
Borussia Dortmund,ボルシア・ドルトムント
Hagen,ハーゲン
Freie Hansestadt Bremen,ブレーメン州
Alpen,アルプス山脈
Hamm,ハム・(ヴェストファーレン)
Leutenbach (Württemberg),ロイテンバッハ・(ヴュルテンベルク)
Spiegelberg,シュピーゲルベルク
UFA,ウーファ・(映画会社)
Kernen im Remstal,ケルネン・イム・レムスタール
Deutsche,ドイツ人
Lauenförde,ラウエンフェルデ
Aichwald,アイヒヴァルト
Bad Boll,バート・ボル
Landkreis Nordwestmecklenburg,ノルトヴェストメクレンブルク郡
Mülheim an der Ruhr,ミュールハイム・アン・デア・ルール
Landkreis Rostock,ロストック郡
Senden (Westfalen),ゼンデン・(ヴェストファーレン)
Backnang,バックナング
Langen (Hessen),ランゲン・(ヘッセン)
Sinsheim,ジンスハイム
Emsdetten,エムスデッテン
Ludwigshafen am Rhein,ルートヴィヒスハーフェン・アム・ライン
Oldenburg (Oldb),オルデンブルク
Landkreis Vorpommern-Greifswald,フォアポンメルン＝グライフスヴァルト郡
Osnabrück,オスナブリュック
Leverkusen,レーヴァークーゼン
Kehl,ケール・(ドイツ)
Olympische Sommerspiele 1928/Teilnehmer (Deutsches Reich),1928年アムステルダムオリンピックのドイツ選手団
Bundesrat (Deutschland),連邦参議院
FC Bayern München,FCバイエルン・ミュンヘン
Slowenen,スロベニア人
Altenburg,アルテンブルク
Olympische Winterspiele 1932/Teilnehmer (Deutsches Reich),1932年レークプラシッドオリンピックのドイツ選手団
Landkreis Mecklenburgische Seenplatte,メクレンブルギッシェ＝ゼーエンプラッテ郡
Herne,ヘルネ
Lage (Lippe),ラーゲ・(リッペ)
Landkreis Ludwigslust-Parchim,ルートヴィヒスルスト＝パルヒム郡
Landkreis Vorpommern-Rügen,フォアポンメルン＝リューゲン郡
Porta Westfalica (Stadt),ポルタ・ヴェストファーリカ
FC Augsburg,FCアウクスブルク
Tscherkessen,チェルケス人
1. FC Nürnberg,1.FCニュルンベルク
Deutsche Fußballnationalmannschaft,サッカードイツ代表
Olympische Winterspiele 1964/Teilnehmer (Deutschland),1964年インスブルックオリンピックの東西統一ドイツ選手団
Olympische Sommerspiele 1912/Teilnehmer (Deutsches Reich),1912年ストックホルムオリンピックのドイツ選手団
Naumburg (Saale),ナウムブルク・(ザーレ)
Leer (Ostfriesland),レーア・(ニーダーザクセン)
Kreis Schleswig-Flensburg,シュレースヴィヒ＝フレンスブルク郡
Wernigerode,ヴェルニゲローデ
Das Lied der Deutschen,ドイツの歌
Olympische Sommerspiele 1936/Teilnehmer (Deutsches Reich),1936年ベルリンオリンピックのドイツ選手団
Olympische Sommerspiele 1956/Teilnehmer (Deutschland),1956年メルボルンオリンピックの東西統一ドイツ選手団
Regensburg,レーゲンスブルク
Dietzenbach,ディーツェンバッハ
Kohlberg (Württemberg),コールベルク・(ヴュルテンベルク)
Hattenhofen (Württemberg),ハッテンホーフェン・(ヴュルテンベルク)
Crailsheim,クライルスハイム
Olympische Winterspiele 2002/Teilnehmer (Deutschland),2002年ソルトレークシティオリンピックのドイツ選手団
Altbier,アルトビール
Eppstein,エップシュタイン
Neckartailfingen,ネッカータイルフィンゲン
Kreis Plön,プレーン郡
Steinfurt,シュタインフルト
Zweibrücken,ツヴァイブリュッケン
Darmstadt,ダルムシュタット
Paderborn,パーダーボルン
Barsinghausen,バルジングハウゼン
Solingen,ゾーリンゲン
Heidelberg,ハイデルベルク
Mörfelden-Walldorf,メルフェルデン＝ヴァルドルフ
Neuss,ノイス
Olympische Winterspiele 2006/Teilnehmer (Deutschland),2006年トリノオリンピックのドイツ選手団
Olympische Winterspiele 1952/Teilnehmer (Deutschland),1952年オスロオリンピックの西ドイツ選手団
Weißenburg in Bayern,ヴァイセンブルク・イン・バイエルン
Limburg an der Lahn,リムブルク・アン・デア・ラーン
Stuhr,シュトゥール
Ulmer Münster,ウルム大聖堂
Weiße Elster,白エルスター川
Laudenbach (Bergstraße),ラウデンバッハ・(ベルクシュトラーセ)
St. Leon-Rot,ザンクト・レオン＝ロート
Zapp AG,ZAPP・(企業)
Zapfendorf,ツァプフェンドルフ
Würzburg,ヴュルツブルク
Seelze,ゼールツェ
Viernheim,フィールンハイム
Schwaikheim,シュヴァイクハイム
Olympische Sommerspiele 1996/Teilnehmer (Deutschland),1996年アトランタオリンピックのドイツ選手団
Schlesien,シレジア
Ulm,ウルム
Wolfsburg,ヴォルフスブルク
Flughafen Frankfurt Main,フランクフルト空港
Ingolstadt,インゴルシュタット
Spreewald,シュプレーヴァルト
Deutsche Kommunistische Partei,ドイツ共産党・(DKP)
Aspach (bei Backnang),アスパハ・(レムス＝ムル郡)
Dettingen unter Teck,デッティンゲン・ウンター・テック
Olympische Sommerspiele 2000/Teilnehmer (Deutschland),2000年シドニーオリンピックのドイツ選手団
Deutsche Mark,ドイツマルク
Bad Vilbel,バート・フィルベル
Bottrop,ボトロップ
Pforzheim,プフォルツハイム
Recklinghausen,レックリングハウゼン
Neuruppin,ノイルピーン
Göttingen,ゲッティンゲン
Helgoland,ヘルゴラント島
Offenbach am Main,オッフェンバッハ・アム・マイン
Georgsmarienhütte,ゲオルクスマリーエンヒュッテ
Nienburg/Weser,ニーンブルク/ヴェーザー
Brandenburgische Technische Universität Cottbus-Senftenberg,ブランデンブルク工科大学
Allmersbach im Tal,アルマースバッハ・イム・タール
Ostfriesisches Niederdeutsch,オストフリース語
Internationale Filmfestspiele Berlin 2005,第55回ベルリン国際映画祭
Murrhardt,ムルハルト
Internationale Filmfestspiele Berlin 2004,第54回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 2000,第50回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 2007,第57回ベルリン国際映画祭
Gaildorf,ガイルドルフ
Internationale Filmfestspiele Berlin 2001,第51回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 2006,第56回ベルリン国際映画祭
Straßenbahn Cottbus,コトブス市電
Olympische Sommerspiele 1992/Teilnehmer (Deutschland),1992年バルセロナオリンピックのドイツ選手団
DFB-Pokal,DFBポカール
Franken (Region),フランケン地方
Oftersheim,オフタースハイム
Mühlhausen (Kraichgau),ミュールハウゼン・(クライヒガウ)
Dielheim,ディールハイム
Wendlingen am Neckar,ヴェンドリンゲン・アム・ネッカー
Remscheid,レムシャイト
Kornwestheim,コルンヴェストハイム
Bad Nauheim,バート・ナウハイム
Eisenhüttenstadt,アイゼンヒュッテンシュタット
Höxter,ヘクスター
Bramsche,ブラームシェ
Bahnhof Köln Messe/Deutz,ケルン・メッセ/ドイツ駅
Börse Frankfurt,フランクフルト証券取引所
Nußloch,ヌスロッホ
Gerolsteiner Brunnen,ゲロルシュタイナー
Koblenz,コブレンツ
Reutlingen,ロイトリンゲン
Fürth,フュルト
Plankstadt,プランクシュタット
Schönbrunn (Baden),シェーンブルン・(バーデン)
Mauer (Baden),マウアー・(バーデン)
Reilingen,ライリンゲン
Rot am See,ロート・アム・ゼー
Lampertheim,ラムペルトハイム
Idar-Oberstein,イダー＝オーバーシュタイン
Weyhe,ヴァイエ・(ドイツ)
Heddesbach,ヘッデスバッハ
Eislingen/Fils,アイスリンゲン/フィルス
Forchheim,フォルヒハイム
Osterholz-Scharmbeck,オスターホルツ＝シャルムベック
Merzig,メルツィヒ
Oer-Erkenschwick,オーア＝エアケンシュヴィック
Volksparkstadion,フォルクスパルクシュタディオン
Signal Iduna Park,ジグナル・イドゥナ・パルク
Veltins-Arena,フェルティンス・アレーナ
Achim (Landkreis Verden),アヒム・(フェルデン郡)
Bad Hersfeld,バート・ヘルスフェルト
Reichartshausen,ライヒャルツハウゼン
Alfdorf,アルフドルフ
Waibstadt,ヴァイプシュタット
Helmstadt-Bargen,ヘルムシュタット＝バーゲン
Satteldorf,ザッテルドルフ
Delbrück,デルブリュック
Wallhausen (Württemberg),ヴァルハウゼン・(ヴュルテンベルク)
Gruibingen,グリュービンゲン
Meckesheim,メッケスハイム
Internationale Filmfestspiele Berlin 2008,第58回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 2002,第52回ベルリン国際映画祭
Sylt,ジルト島
Schloss Sanssouci,サンスーシ宮殿
Olympiastadion Berlin,ベルリン・オリンピアシュタディオン
Geißbock Hennes,ヘネス・(ヤギ)
Berliner Fernsehturm,ベルリンテレビ塔
Ruprecht-Karls-Universität Heidelberg,ルプレヒト・カール大学ハイデルベルク
Wartburg,ヴァルトブルク城
Rheinenergiestadion,ラインエネルギーシュタディオン
Commerzbank Tower,コメルツ銀行タワー
Fortuna Düsseldorf,フォルトゥナ・デュッセルドルフ
Frankfurter Schule,フランクフルト学派
Poel,ペール島
Hildesheim,ヒルデスハイム
Bundesautobahn 573,アウトバーン・573
Bundesstraße 53,ドイツ連邦道路53号線
Fehmarn,フェーマルン島
Erlangen,エアランゲン
Berliner Philharmoniker,ベルリン・フィルハーモニー管弦楽団
Rheinland,ラインラント
Föhr,フェール島
Moers,メールス
Bergisch Gladbach,ベルギッシュ・グラートバッハ
Trier,トリーア
Amrum,アムルム島
Pellworm (Gemeinde),ペルヴォルム島
Wernau (Neckar),ヴェルナウ・(ネッカー)
Neckarbischofsheim,ネッカービショフスハイム
Ruhrgebiet,ルール地方
Neuler,ノイラー
Einbeck,アインベック
Bayer AG,バイエル・(企業)
Benrather Linie,ベンラート線
Neidenstein,ナイデンシュタイン
Spechbach (Kraichgau),シュペヒバッハ
Plochingen,プロヒンゲン
Reichstagsgebäude,国会議事堂・(ドイツ)
Lidl,リドル
Museumsinsel (Berlin),ムゼウムスインゼル
Europäische Südsternwarte,ヨーロッパ南天天文台
Jena,イェーナ
Siegen,ジーゲン
Schönau (Odenwald),シェーナウ・(オーデンヴァルト)
Deutsche Küche,ドイツ料理
Sudeten,ズデーテン山地
Nürburgring,ニュルブルクリンク
Rheinische Friedrich-Wilhelms-Universität Bonn,ライン・フリードリヒ・ヴィルヘルム大学ボン
Welzheim,ヴェルツハイム
Kirchberg an der Jagst,キルヒベルク・アン・デア・ヤクスト
Langenburg,ランゲンブルク
Brandenburger Tor,ブランデンブルク門
Humboldt-Universität zu Berlin,フンボルト大学ベルリン
Usedom,ウーゼドム島
Rügen,リューゲン島
Schwetzingen,シュヴェツィンゲン
Naturpark Altmühltal,アルトミュールタール自然公園
Max-Planck-Institut für Astrophysik,マックス・プランク天体物理学研究所
Olympiahalle München,オリンピアハレ
ZDF,第2ドイツテレビ
Völkischer Beobachter,フェルキッシャー・ベオバハター
Max-Morlock-Stadion,フランケンシュタディオン
Heinz-von-Heiden-Arena,ニーダーザクセンシュタディオン
Eppelheim,エッペルハイム
Neuffen,ノイフェン
Weinstadt,ヴァインシュタット
Salzach,ザルツァハ川
2. Fußball-Bundesliga,2.・ブンデスリーガ・(ドイツサッカー)
Salzgitter,ザルツギッター
Deutscher Orden,ドイツ騎士団
Eider,アイダー川
Warnow (Fluss),ヴァルノウ川
Ilmenau (Fluss),イルメナウ川
Meßkirch,メスキルヒ
Winnenden,ヴィネンデン
Potsdamer Platz,ポツダム広場
Neue Wache,ノイエ・ヴァッヘ
Porta Nigra,ポルタ・ニグラ
MHPArena,MHPアレーナ
Hirschberg an der Bergstraße,ヒルシュベルク・アン・デア・ベルクシュトラーセ
Eifel,アイフェル
Winterbach (Remstal),ヴィンターバッハ・(レムスタール)
Sigmaringen,ジクマリンゲン
Hockenheimring Baden-Württemberg,ホッケンハイムリンク
Buddy Bär,ユナイテッドバディーベア
Sieg (Fluss),ジーク川
Partei des Demokratischen Sozialismus,民主社会党・(ドイツ)
Bündnis 90/Die Grünen,同盟90/緑の党
Rundfunk Berlin-Brandenburg,ベルリン＝ブランデンブルク放送
Fußball-Bundesliga,サッカー・ブンデスリーガ・(ドイツ)
Aichtal,アイヒタール
Furtwangen im Schwarzwald,フルトヴァンゲン
Letten,ラトビア人
Zugspitze,ツークシュピッツェ
Müritz,ミューリッツ湖
Wäschenbeuren,ヴェッシェンボイレン
Cottbus,コトブス
Neckargemünd,ネッカーゲミュント
Deutsches Institut für Normung,ドイツ規格協会
Leichtathletik-Weltmeisterschaften 2009,2009年世界陸上競技選手権大会
Schlossplatz (Wiesbaden),宮殿広場・(ヴィースバーデン)
Mittellandkanal,ミッテルラント運河
Brücke (Künstlergruppe),ブリュッケ
Alexanderplatz,アレクサンダー広場
Sulzbach an der Murr,ズルツバッハ・アン・デア・ムル
Obersontheim,オーバーゾントハイム
Malsch (bei Heidelberg),マルシュ・(ライン＝ネッカー郡)
Wiesenbach (Baden),ヴィーゼンバッハ・(バーデン)
Flensburg,フレンスブルク
Christlich-Soziale Union in Bayern,キリスト教社会同盟
Bad Überkingen,バート・ユーバーキンゲン
Die Linke,左翼党・(ドイツ)
Witten,ヴィッテン
Gütersloh,ギュータースロー
Kaiserslautern,カイザースラウテルン
Feste Fehmarnbeltquerung,フェーマルン・ベルトトンネル
DB Regio,DBレギオ
ARD,ドイツ公共放送連盟
Gera,ゲーラ
Blaufelden,ブラウフェルデン
Donaueschingen,ドナウエッシンゲン
Hanau,ハーナウ
Tübingen,テュービンゲン
Georg-August-Universität Göttingen,ゲオルク・アウグスト大学ゲッティンゲン
Reichenbach an der Fils,ライヒェンバッハ・アン・デア・フィルス
Heckler %26 Koch,ヘッケラー%26コッホ
KZ Buchenwald,ブーヘンヴァルト強制収容所
Albershausen,アルバースハウゼン
Marl,マール・(ノルトライン＝ヴェストファーレン)
Lünen,リューネン
Zwickau,ツヴィッカウ
Weiße Rose,白いバラ
Christlich Demokratische Union Deutschlands,ドイツキリスト教民主同盟
Bertha Benz Memorial Route,ベルタ・ベンツ・メモリアルルート
Edelweißpiraten,エーデルヴァイス海賊団
Schönwald (Bayern),シェーンヴァルト・(バイエルン州)
Selb,ゼルプ
Lobbach,ロプバッハ
Rehau,レーアウ
Das Erste,Das・Erste
Hofbräuhaus am Platzl,ホフブロイハウス
Freie Universität Berlin,ベルリン自由大学
Universität Potsdam,ポツダム大学
Main-Donau-Kanal,ライン・マイン・ドナウ運河
Esslingen am Neckar,エスリンゲン・アム・ネッカー
Herborn,ヘルボルン
Bremer Rathaus,ブレーメンのマルクト広場の市庁舎とローラント像
Siedlungen der Berliner Moderne,ベルリンのモダニズム集合住宅群
Sozialdemokratische Partei Deutschlands,ドイツ社会民主党
Breinigerberg,ブライニガーベルク
Minden,ミンデン・(ノルトライン＝ヴェストファーレン)
Marxheim,マルクスハイム
Konstanz,コンスタンツ
Führerbunker,総統地下壕
Rothenburg ob der Tauber,ローテンブルク・オプ・デア・タウバー
Johann Wolfgang Goethe-Universität Frankfurt am Main,ヨハン・ヴォルフガング・ゲーテ大学フランクフルト・アム・マイン
Remshalden,レムスハルデン
Rosengarten (Landkreis Schwäbisch Hall),ローゼンガルテン・(シュヴェービッシュ・ハル郡)
Burg Eltz,エルツ城
Wilhelmshaven,ヴィルヘルムスハーフェン
Marburg,マールブルク
Worms,ヴォルムス
Wildenfels,ウィルデンフェルス
Schrozberg,シュロツベルク
Untermünkheim,ウンターミュンクハイム
Hohenstadt,ホーエンシュタット
Schlaitdorf,シュライトドルフ
Alemannia Aachen,アレマニア・アーヘン
SpVgg Greuther Fürth,SpVggグロイター・フュルト
Gießen,ギーセン
Neumünster,ノイミュンスター
Rheine,ライネ・(ミュンスターラント)
Lüdenscheid,リューデンシャイト
Waffen-SS,武装親衛隊
Heddesheim,ヘッデスハイム
Goslar,ゴスラー
Adidas,アディダス
Rund um Köln,ルント・ウム・ケルン
Schieder-Schwalenberg,シーダー＝シュヴァーレンベルク
Frankenhardt,フランケンハルト
Alter Botanischer Garten (München),旧植物園・(ミュンヘン)
Gerabronn,ゲーラブロン
Nerobergbahn,ネロベルク登山鉄道
Deutsche Welle,ドイチェ・ヴェレ
Höhr-Grenzhausen,ヘール＝グレンツハウゼン
Wachenheim an der Weinstraße,ヴァヘンハイム・アン・デア・ヴァインシュトラーセ
Auenwald,アウエンヴァルト
Delmenhorst,デルメンホルスト
Arnsberg,アルンスベルク
Plüderhausen,プリューダーハウゼン
Oberrot,オーバーロート・(バーデン＝ヴュルテンベルク)
Fichtenberg,フィヒテンベルク
Berglen,ベルグレン
Lindau (Bodensee),リンダウ
Saar,ザール川
Kaiser-Wilhelm-Gedächtniskirche,カイザー・ヴィルヘルム記念教会
Lippe (Fluss),リッペ川
Grünenthal (Unternehmen),グリューネンタール
Brandenburg an der Havel,ブランデンブルク・アン・デア・ハーフェル
Bamberg,バンベルク
Celle,ツェレ
Korb (Württemberg),コルプ
Dossenheim,ドッセンハイム
Albert-Ludwigs-Universität Freiburg,アルベルト・ルートヴィヒ大学フライブルク
Loveparade,ラブパレード
Detmold,デトモルト
Bayreuth,バイロイト
Lüneburg,リューネブルク
Oppenweiler,オッペンヴァイラー
Großbettlingen,グロースベトリンゲン
Ladenburg,ラーデンブルク
Eberhard Karls Universität Tübingen,エバーハルト・カール大学テュービンゲン
Aschaffenburg,アシャッフェンブルク
Lippstadt,リップシュタット
Unna,ウナ・(ドイツ)
Aalen,アーレン・(バーデン＝ヴュルテンベルク)
Weissach im Tal,ヴァイサハ・イム・タール
Eintracht Braunschweig,アイントラハト・ブラウンシュヴァイク
Konzil von Konstanz,コンスタンツ公会議
Plauen,プラウエン
Schriesheim,シュリースハイム
Angelbachtal,アンゲルバッハタール
Geographie Deutschlands,ドイツの地理
Borussia-Park,シュタディオン・イム・ボルシア・パルク
3. Fußball-Liga,3.・リーガ・(ドイツサッカー)
Schlacht um Berlin,ベルリンの戦い
Weimar,ヴァイマル
Neubrandenburg,ノイブランデンブルク
Hamburger SV,ハンブルガーSV
Epfenbach,エプフェンバッハ
Zuzenhausen,ツーツェンハウゼン
Deutscher Fußball-Bund,ドイツサッカー連盟
Münchner Abkommen,ミュンヘン会談
Fulda,フルダ
Neuwied,ノイヴィート
Hamburger Hafen,ハンブルク港
Herford,ヘルフォルト
Landshut,ランツフート
Grevenbroich,グレーヴェンブローホ
Werder Bremen,ヴェルダー・ブレーメン
Technische Universität Berlin,ベルリン工科大学
Fußball-Oberliga,オーバーリーガ
Einhausen (Hessen),アインハウゼン・(ヘッセン)
Hochdeutsche Dialekte,高地ドイツ語
Reeperbahn,レーパーバーン
Garbsen,ガルプセン
Kempten (Allgäu),ケンプテン・(アルゴイ)
Rosenheim,ローゼンハイム
Offenburg,オッフェンブルク
Schwäbisch Gmünd,シュヴェービッシュ・グミュント
Hohenzollern,ホーエンツォレルン家
Sonderkommando Elbe,ゾンダーコマンド・エルベ
Türken,トルコ人
Liste von Persönlichkeiten der Stadt Stuttgart,シュトゥットガルトの人物
Deutsche Fußballnationalmannschaft der Frauen,サッカードイツ女子代表
Fritz-Walter-Stadion,フリッツ・ヴァルター・シュタディオン
MSV Duisburg,MSVデュースブルク
Rüsselsheim am Main,リュッセルスハイム・アム・マイン
Frankfurt (Oder),フランクフルト・(オーダー)
Messerschmitt AG,メッサーシュミット
Schlacht bei Jena und Auerstedt,イエナ・アウエルシュタットの戦い
Weserstadion,ヴェーザーシュタディオン
KZ Sachsenhausen,ザクセンハウゼン強制収容所
Westwall,ジークフリート線
Friedrich-Schiller-Universität Jena,フリードリヒ・シラー大学イェーナ
Berliner Dom,ベルリン大聖堂
Alte Pinakothek,アルテ・ピナコテーク
Deutschland beim Eurovision Song Contest,ドイツのユーロビジョン・ソング・コンテスト
Goldener Bär,金熊賞
Sindelfingen,ジンデルフィンゲン
Friedrichshafen,フリードリヒスハーフェン
Stralsund,シュトラールズント
Hameln,ハーメルン
Stolberg (Rheinland),シュトルベルク・(ノルトライン＝ヴェストファーレン)
Zweite Schlacht bei Höchstädt,ブレンハイムの戦い
Universität Leipzig,ライプツィヒ大学
Deutscher Bundestag,ドイツ連邦議会
Zoologischer Garten Berlin,ベルリン動物園
Eschweiler,エシュヴァイラー
Görlitz,ゲルリッツ
Menden (Sauerland),メンデン・(ザウアーラント)
Germanwings,ジャーマンウイングス
Schloss Charlottenburg,シャルロッテンブルク宮殿
Trischen,トリッシェン
Greifswald,グライフスヴァルト
Eger (Elbe),エーガー川
Adlerwerke,アドラー・(自動車メーカー)
Donauwörth,ドナウヴェルト
Brackenheim,ブラッケンハイム
Göppingen,ゲッピンゲン
Neustrelitz,ノイシュトレーリッツ
Jüten,ジュート人
