Silbo gomero,シルボ
Ponferrada,ポンフェラーダ
Península ibérica,イベリア半島
Gironés,ジロネース
Pla de l'Estany,プラー・デ・レスターニ
Región de Murcia,ムルシア州
Gran Premio de España,スペイングランプリ
Idioma gallego,ガリシア語
Extremadura,エストレマドゥーラ州
Andalucía,アンダルシア州
Real Madrid Castilla Club de Fútbol,レアル・マドリード・カスティージャ
Pamplona,パンプローナ
Santander (España),サンタンデール・(スペイン)
Provincia de Huelva,ウエルバ県
Real Murcia Club de Fútbol,レアル・ムルシア
Bañolas,バニョラス
Murcia,ムルシア
Burgos,ブルゴス
Aranés,アラン語
Real Racing Club de Santander,ラシン・サンタンデール
Guipúzcoa,ギプスコア県
Provincia de Jaén (España),ハエン県
Provincia de Lugo,ルーゴ県
Canarias,カナリア諸島
Ceuta,セウタ
Melilla,メリリャ
Huelva,ウエルバ
Provincia de Las Palmas,ラス・パルマス県
Zaragoza,サラゴサ
Córdoba (España),コルドバ・(スペイン)
Real Zaragoza,レアル・サラゴサ
Club Atlético Osasuna,CAオサスナ
Real Club Recreativo de Huelva,レクレアティーボ・ウェルバ
Rayo Vallecano de Madrid,ラージョ・バジェカーノ
Sabadell,サバデイ
Provincia de Pontevedra,ポンテベドラ県
Provincia de Sevilla,セビリア県
Provincia de Málaga,マラガ県
Provincia de Orense,オウレンセ県
Toledo,トレド
San Sebastián,サン・セバスティアン
Real Sociedad de Fútbol,レアル・ソシエダ
Real Valladolid Club de Fútbol,レアル・バリャドリード
Centre d'Esports Sabadell Futbol Club,CEサバデル
Gijón,ヒホン
Llivia,リビア・(スペイン)
Orense,オウレンセ
Provincia de Tarragona,タラゴナ県
Movistar Team,モビスター・チーム
Sevilla Fútbol Club,セビージャFC
Valencia Club de Fútbol,バレンシアCF
Real Sporting de Gijón,スポルティング・デ・ヒホン
Villarreal,ヴィラ＝レアル
Provincia de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ県
Sefardí,セファルディム
Agrupación Deportiva Alcorcón,ADアルコルコン
Alcorcón,アルコルコン
Centellas,サンテーリャス
Puigcerdá,プッチサルダー
Occitania,オクシタニア
Tour de Francia 1967,ツール・ド・フランス1967
Estadio de La Cartuja,エスタディオ・オリンピコ・セビージャ
Liga Española de Waterpolo Masculino,ディビシオン・デ・オノール・デ・ウォーターポロ
Elche Ilicitano Club de Fútbol,エルチェCF・イリシターノ
Almería,アルメリア
Anexo:Municipios de la provincia de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ県の自治体一覧
Macaronesia,マカロネシア
Anexo:Municipios de Vizcaya,ビスカヤ県の自治体一覧
Real Burgos Club de Fútbol,レアル・ブルゴスCF
Primera División de España 1985-86,リーガ・エスパニョーラ1985-1986
Ruta europea E90,E90号線
Elche,エルチェ
Córdoba Club de Fútbol,コルドバCF
Fútbol Club Barcelona Atlètic,FCバルセロナB
Unión Deportiva Almería,UDアルメリア
La Gomera,ラ・ゴメラ島
Carreteras europeas,欧州自動車道路
.cat,.cat
Caja Mágica,ラ・カハ・マヒカ
Copa Mundial de fútbol sala de la FIFA 1996,1996・FIFAフットサル世界選手権
Zamora Club de Fútbol,サモラCF
Comunidad autónoma,スペインの地方行政区画
Elche Club de Fútbol,エルチェCF
Botafumeiro,ボタフメイロ
Club de Fútbol Fuenlabrada,CFフエンラブラダ
Castillo de Javier,ハビエル城
Recopa de Europa 1979-80,UEFAカップウィナーズカップ・1979-80
Puente la Reina,プエンテ・ラ・レイナ
Tour de Francia 1996,ツール・ド・フランス1996
Guerra civil española,スペイン内戦
Derechos digitales,デジタル権
Incidente de Palomares,パロマレス米軍機墜落事故
Anexo:Tenis en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのテニス競技
Isla de los Faisanes,フェザント島
Gran Premio de Cataluña de Motociclismo de 2009,2009年のカタルーニャグランプリ
Mesa de los Tres Reyes,メサ・デ・ロス・トレス・レジェス
Villafranca de Córdoba,ビジャフランカ・デ・コルドバ
Ebro,エブロ川
La Garrocha,ガローチャ
Golfo de Cádiz,カディス湾・(大)
Febró,ラ・ファブロー
La Barceloneta,ラ・バルセロネータ
Portugalete,ポルトゥガレテ
Lugo,ルーゴ・(スペイン)
Parque nacional de Cabañeros,カバニェロス国立公園
Cascada de Gujuli,ゴイウリの滝
Catoira,カトイラ
Portugal bajo la Casa de Austria,イベリア連合
Vilaboa,ビラボーア
Mercadona,メルカドーナ
Provincia de Lérida,リェイダ県
Castellón de Ampurias,カステリョー・ダンプリアス
Cadaqués,カダケス
La Escala,ラスカーラ
Sardañola del Vallés,サルダニョーラ・ダル・バリェス
Unión de Centro Democrático,民主中道連合
Grupo FCC,FCC・(スペインの企業)
Ador,アドール
Universidad de La Rioja,ラ・リオハ大学
Estadio Nuevo Arcángel,エスタディオ・ヌエボ・アルカンヘル
Dumbría,ドゥンブリーア
Al-Ándalus,アンダルス
El triunfo de Baco (Velázquez),バッカスの勝利
Tour de Francia 1968,ツール・ド・フランス1968
Navantia,ナバンティア
Campeonato Mundial de Ciclismo en Pista de 2007,世界選手権自転車競技大会トラックレース2007
Fútbol Club Barcelona (balonmano),FCバルセロナ・(ハンドボール)
Sierra de Tramontana,トラムンタナ山脈
Vic,ビック・(スペイン)
Fuero,フエロ
Constantí,クンスタンティー
Confederación Nacional del Trabajo,全国労働者連合
Rubí (Barcelona),ルビー・(スペイン)
San Cugat del Vallés,サン・クガ・ダル・バリェス
Etnia vasca,バスク人
Estadio Benito Villamarín,エスタディオ・ベニート・ビジャマリン
Universidad de Valencia,バレンシア大学
Copa de la Reina de fútbol,コパ・デ・ラ・レイナ
Tarrasa,タラサ
Museo de Bellas Artes de Bilbao,ビルバオ美術館
Feria del Caballo,馬祭り
Islas Chafarinas,チャファリナス諸島
Pinos Puente,ピノス・プエンテ
Pueblo búlgaro,ブルガリア人
Burriana,ボリアナ/ブリアナ
Cueva de Altamira,アルタミラ洞窟
Parlamento de Cataluña,カタルーニャ自治州議会
Vallés Occidental,バリェス・ウクシダンタル
Campeonato Mundial de Atletismo de 1999,1999年世界陸上競技選手権大会
Comarca de Tierra de Soneira,コマルカ・ダ・テーラ・デ・ソネイラ
Inter Fútbol Sala,インテルFS
Idioma árabe,アラビア語
Batalla de Cádiz (1702),カディスの戦い
Idioma occitano,オック語
Línea 3 (Metro de Barcelona),バルセロナ地下鉄3号線
Fútbol Club Cartagena,FCカルタヘナ
INTA-255,INTA-255
Marcha Real,国王行進曲
Candidatura de Unidad Popular,人民統一候補
Anexo:Futbolistas del Fútbol Club Barcelona en la Primera División de España (fútbol masculino),FCバルセロナの選手一覧
Bildu (2011),ビルドゥ
Vallés Oriental,バリェス・ウリアンタル
Duero,ドウロ川
Tajo,タホ川
Guadiana,グアディアナ川
Guadalquivir,グアダルキビール川
Quintana del Marco,キンターナ・デル・マルコ
Cea (León),セア・(スペイン)
Forcarey,フォルカレイ
Comarca del Morrazo,コマルカ・ド・モラソ
Tour de Francia 1973,ツール・ド・フランス1973
Oviedo,オビエド
Santiago de Compostela,サンティアゴ・デ・コンポステーラ
Júcar,フカル川
Cuadros,クアドロス
Monte Gorbea,ゴルベア山地
Vitoria,ビトリア＝ガステイス
Alcudia,アルクーディア
Alcázar de Segovia,アルカサル・(セゴビア)
Anexo:Virreyes de Nueva España,ヌエバ・エスパーニャ副王の一覧
Oiz,オイス山
Mérida (España),メリダ・(スペイン)
Santa María de la Isla,サンタ・マリーア・デ・ラ・イスラ
Rioseco de Tapia,リオセコ・デ・タピア
Clásica de Ordizia,プルエバ・ビリャフランカ・オルディジアコ・クラシカ
Mañón,マニョン
Bidasoa,ビダソア川
Nervión,ネルビオン川
Río Ibaizábal,イバイサバル川
Logroño,ログローニョ
Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ
RWE,RWE
Partido Socialista Obrero Español,スペイン社会労働党
Funicular de Montjuic,フニクラ・デ・モンジュイック
Ruta europea E7,E07号線
Teruel,テルエル
Ribas del Sil,リバス・デ・シル
Río Nalón,ナロン川
Río Navia,ナビア川
Primera División de España 1982-83,リーガ・エスパニョーラ1982-1983
Pozuelo del Páramo,ポスエーロ・デル・パラモ
Santa Fe (Granada),サンタ・フェ・(グラナダ県)
Abengibre,アベンヒブレ
Río Miño,ミーニョ川
Río Sil,シル川・(スペイン)
Avilés,アビレス
Hermanos de las Escuelas Cristianas,ラ・サール会
Asamblea de Madrid,マドリード自治州議会
España en los Juegos Olímpicos de Pekín 2008,2008年北京オリンピックのスペイン選手団
Fuentealbilla,フエンテアルビージャ
Castellón de la Plana,カステリョン・デ・ラ・プラナ
Catedral de Pamplona (España),パンプローナ大聖堂
Alcántara,アルカンタラ
Mirinda,ミリンダ・(飲料)
Batalla de Sagrajas,サグラハスの戦い
Zafra,サフラ
Observatorio IRAM Pico Veleta,IRAM30m望遠鏡
Pisuerga,ピスエルガ川
España en los Juegos Olímpicos de París 1900,1900年パリオリンピックのスペイン選手団
Santutxu Fútbol Club,サントゥチュFC
Somport,ソンポルト峠
Agaete,アガエテ
Casco Viejo (Vitoria),カスコ・ビエホ・(ビトリア＝ガステイス)
Tarragona,タラゴナ
Río Esla,エスラ川
Lérida,リェイダ
Batalla de Villaviciosa (1710),ビリャビシオーサの戦い
Campeonato Europeo de Baloncesto Masculino de 2007,2007年バスケットボール男子欧州選手権
Copa de España de fútbol sala,コパ・デ・エスパーニャ・デ・フットサル
Estadio de Chamartín,エスタディオ・チャマルティン
Copa del Rey de fútbol sala,コパ・デル・レイ・デ・フットサル
Ciudad Real Madrid Florentino Pérez,シウダード・レアル・マドリード
Ciudad Real,シウダー・レアル
Albacete,アルバセテ
Cuenca (España),クエンカ・(スペイン)
San Emiliano (León),サン・エミリアーノ
Maderada,木材流送
Golada,アゴラーダ
Vuelta a España 2000,ブエルタ・ア・エスパーニャ2000
Trofeo Ramón de Carranza,ラモン・デ・カランサ杯
Puenteareas,ポンテアレーアス
Cerdaña,サルダーニャ
Ribera de Ebro,リベーラ・デブラ
Tierra Alta,テーラ・アルタ
Montsiá,ムンシアー
Bilbao Arena,ビルバオ・アレナ
España en los Juegos Olímpicos de Sapporo 1972,1972年札幌オリンピックのスペイン選手団
Alto Campo,アールト・カーンプ
Haro,アーロ
Antequera,アンテケーラ
Antena 3,アンテナ3
Barcelonés,バルサルネス
Salvatierra (Álava),サルバティエラ/アグライン
La Albuera,ラ・アルブエラ
Air Nostrum,エア・ノストラム
El Celler de Can Roca,アル・サリェー・ダ・カン・ロカ
Universidad Nacional de Educación a Distancia,スペイン国立通信教育大学
Bolsa de Madrid,マドリード証券取引所
Agencia Europea para la Seguridad y la Salud en el Trabajo,欧州労働安全衛生機関
Cardedeu,カルダデウ
Zara,ザラ・(ファッションブランド)
España en los Juegos Olímpicos de Londres 2012,2012年ロンドンオリンピックのスペイン選手団
Piedra Zanata,ザナタ石
Valdefresno,バルデフレスノ
Queso Roncal,ロンカル
Alcañiz,アルカニス
SuperWASP,スーパーWASP
Complejo de Comunicaciones de Espacio Profundo de Madrid,マドリード深宇宙通信施設
Estelada,アスタラーダ
Zas,サス・(スペイン)
Vuelta a España 2009,ブエルタ・ア・エスパーニャ2009
Puerta del Sol,プエルタ・デル・ソル
Tren cremallera de Montserrat,モンセラット登山鉄道
España en los Juegos Olímpicos de Ámsterdam 1928,1928年アムステルダムオリンピックのスペイン選手団
Paderne,パデルネ
Granollers,グラノリェース
Concejo de la Mesta,名誉あるメスタ会議
Pirámides de Güímar,グイマーのピラミッド
España en los Juegos Olímpicos de Albertville 1992,1992年アルベールビルオリンピックのスペイン選手団
España en los Juegos Olímpicos de Atlanta 1996,1996年アトランタオリンピックのスペイン選手団
Zarauz,サラウツ
Majadahonda,マハダオンダ
Estadio José Zorrilla,エスタディオ・ホセ・ソリージャ
Aeropuerto de Murcia-San Javier,ムルシア＝サン・ハビエル空港
Nuevo Estadio de Los Cármenes,ヌエボ・エスタディオ・デ・ロス・カルメネス
España en los Juegos Olímpicos de Los Ángeles 1984,1984年ロサンゼルスオリンピックのスペイン選手団
Columnas de Hércules,ヘラクレスの柱
Vuelo 5022 de Spanair,スパンエアー5022便離陸失敗事故
Anexo:Futbolistas del Real Madrid Club de Fútbol,レアル・マドリードの選手一覧
Los Palacios y Villafranca,ロス・パラシオス・イ・ビジャフランカ
Hayedos primarios de los Cárpatos y otras regiones de Europa,カルパティア山脈とヨーロッパ各地の古代及び原生ブナ林
Convergència i Unió,集中と統一
Esquerra Republicana de Catalunya,カタルーニャ共和主義左翼
Geroa Bai,ゲロア・バイ
Santa Coloma de Gramanet,サンタ・クローマ・ダ・グラマネート
Día de Cataluña,ディアーダ・ナシウナル・ダ・カタルーニャ
Camp Nou,カンプ・ノウ
Badalona,バダロナ
Hospitalet de Llobregat,ルスピタレート・ダ・リュブラガート
San Adrián de Besós,サント・アドリアー・ダ・バゾス
Cuevas del Drach,ドラック洞窟
Generación del 27,27年世代
Casas-Ibáñez,カサス＝イバーニェス
Berga,ベルガ
Volta a Cataluña 2010,カタルーニャ一周2010
Telefónica,テレフォニカ
Museo del Prado,プラド美術館
División Azul,青師団
Renfe AVE,AVE
Albacete Balompié,アルバセテ・バロンピエ
Alaris,アラリス
Chinchilla de Montearagón,チンチーリャ・デ・モンテ・アラゴン
Santa Cruz de La Palma,サンタ・クルス・デ・ラ・パルマ
Árabes cristianos,アラブ人キリスト教徒
Anexo:Gran Premio de España de 1986,1986年スペイングランプリ
Pueblo español,スペイン人
Torrente (Valencia),トレント・(バレンシア県)
Cartagena (España),カルタヘナ・(スペイン)
Paradela,パラデーラ
Provincia (España),スペインの県
Villanueva y Geltrú,ビラノバ・イ・ラ・ジャルトル
Sitges,シッチェス
Coslada,コスラーダ
Albaicín,アルバイシン
Terrassa Futbol Club,タラサFC
Palos de la Frontera,パロス・デ・ラ・フロンテーラ
Anexo:Baloncesto en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのバスケットボール競技
Festival Internacional de Cine de San Sebastián,サン・セバスティアン国際映画祭
Gastronomía de España,スペイン料理
Primera División de España 1989-90,リーガ・エスパニョーラ1989-1990
Corporación Mondragon,モンドラゴン協同組合企業
Primera División de España 2005-06,リーガ・エスパニョーラ2005-2006
Nogueira de Ramuín,ノゲイラ・デ・ラムイン
Conferencia de Algeciras,アルヘシラス会議
Estadio Santiago Bernabéu,エスタディオ・サンティアゴ・ベルナベウ
Izquierda Unida (España),統一左翼・(スペイン)
Altadis,アルタディス
VirusTotal,VirusTotal
Fútbol en España,スペインのサッカー
Instituto Cervantes,セルバンテス文化センター
Carballo (La Coruña),カルバージョ
Germade,シェルマーデ
Jaizquíbel,ハイスキベル
Friol,フリオル
El Corte Inglés,エル・コルテ・イングレス
Sport (periódico),スポルト・(新聞)
Anexo:Gran Premio de España de 1997,1997年スペイングランプリ
Taboada (Lugo),タボアーダ
Altos Hornos de Vizcaya,ビスカヤ高炉
Los del Río,ロス・デル・リオ
Escudo de España,スペインの国章
Renfe Alvia,アルビア・(列車)
Esplugas de Llobregat,アスプルガズ・ダ・リュブラガート
Comarca de La Coruña,コマルカ・ダ・コルーニャ
Serie 103 de Renfe,レンフェ103系電車
Comarca de la Baja Limia,コマルカ・ダ・バイシャ・リミア
Altea (Alicante),アルテア
Comarca de Fonsagrada,コマルカ・ダ・フォンサグラーダ
España en los Juegos Olímpicos de Amberes 1920,1920年アントワープオリンピックのスペイン選手団
España en los Juegos Olímpicos de Helsinki 1952,1952年ヘルシンキオリンピックのスペイン選手団
Muros,ムーロス・(スペイン)
Primera División de España 1931-32,リーガ・エスパニョーラ1931-1932
Castelldefels,カステイダフェルス
Cornellá de Llobregat,クルナリャー・ダ・リュブラガート
El Prat de Llobregat,アル・プラ・ダ・リュブラガート
Aeropuerto Adolfo Suárez Madrid-Barajas,アドルフォ・スアレス・マドリード＝バラハス空港
Angliru,アングリル
Vuelta Ciclista a Murcia,ブエルタ・シクリスタ・ア・ラ・レギオン・デ・ムルシア
Virreinato de Nueva España,ヌエバ・エスパーニャ
Anexo:Gran Premio de España de 2008,2008年スペイングランプリ
Protectorado español de Marruecos,スペイン保護領モロッコ
Circuito de Barcelona-Cataluña,カタロニア・サーキット
Circuito urbano de Valencia,バレンシア市街地コース
Campeonato Mundial de Ciclismo de Montaña de 2000,世界選手権自転車競技大会マウンテンバイク2000
Amboto,アンボト
Comarca de la Limia,コマルカ・ダ・リミア
Anexo:Remo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのボート競技
España en los Juegos Olímpicos de Múnich 1972,1972年ミュンヘンオリンピックのスペイン選手団
España en los Juegos Olímpicos de Londres 1948,1948年ロンドンオリンピックのスペイン選手団
España en los Juegos Olímpicos de Seúl 1988,1988年ソウルオリンピックのスペイン選手団
España en los Juegos Olímpicos de Montreal 1976,1976年モントリオールオリンピックのスペイン選手団
España en los Juegos Olímpicos de Sídney 2000,2000年シドニーオリンピックのスペイン選手団
Montes de Toledo,トレド山地
Sant Joan Despí,サン・ジュアン・ダスピ
Anexo:Gran Premio de España de 1970,1970年スペイングランプリ
Anexo:Gran Premio de España de 1972,1972年スペイングランプリ
Anexo:Gran Premio de España de 1973,1973年スペイングランプリ
Anexo:Gran Premio de España de 1969,1969年スペイングランプリ
Clásica de San Sebastián 2005,クラシカ・サンセバスティアン2005
Anexo:Gran Premio de España de 1978,1978年スペイングランプリ
Anexo:Gran Premio de España de 1968,1968年スペイングランプリ
Anexo:Gran Premio de España de 1971,1971年スペイングランプリ
Casa Batlló,カサ・バトリョ
Comarca de Ulloa,コマルカ・ダ・ウジョーア
Parque nacional de Garajonay,ガラホナイ国立公園
Parque nacional y natural de Doñana,ドニャーナ国立公園
Alegranza,アレグランサ島
Anexo:Tiro con arco en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのアーチェリー競技
España en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのスペイン選手団
Arbo,アルボ
Santa Coloma de Cervelló,サンタ・クローマ・ダ・サルバリョー
San Baudilio de Llobregat,サン・ボイ・ダ・リュブラガート
Batalla de Trafalgar,トラファルガーの海戦
SEAT Ibiza,セアト・イビサ
Comarca de la Mariña Occidental,コマルカ・ダ・マリーニャ・オクシデンタル
Comarca de la Mariña Oriental,コマルカ・ダ・マリーニャ・オリエンタル
Anexo:Gran Premio de España de 1981,1981年スペイングランプリ
Comarca de la Mariña Central,コマルカ・ダ・マリーニャ・セントラル
Comarca de Paradanta,コマルカ・ダ・パラダンタ
Cádiz Club de Fútbol,カディスCF
HRT Formula 1 Team,HRT・F1
Anexo:Gran Premio de España de 1975,1975年スペイングランプリ
Palacio Real de Madrid,王宮・(マドリード)
Museo Nacional Centro de Arte Reina Sofía,ソフィア王妃芸術センター
Anexo:Trayectoria del Real Madrid Club de Fútbol,レアル・マドリードの年度別成績一覧
Campeonato Mundial Junior de Atletismo de 2012,2012年世界ジュニア陸上競技選手権大会
Aldea del Rey,アルデア・デル・レイ
Religión en España,スペインの宗教
Primera División de España 1939-40,リーガ・エスパニョーラ1939-1940
Sestao River Club,セスタオ・リーベル・クルブ
Viladecans,ビラダカンス
Burro catalán,カタラン・ロバ
Anexo:Gran Premio de Europa de 2012,2012年ヨーロッパグランプリ
Circuito de Jerez,ヘレス・サーキット
Circuito de Montjuïc,モンジュイック・サーキット
Circuito del Jarama,ハラマ・サーキット
Circuito de Pedralbes,ペドラルベス・サーキット
Anexo:Gran Premio de España de 2009,2009年スペイングランプリ
Almadén,アルマデン
Astorga,アストルガ
Orden del Toisón de Oro,金羊毛騎士団
Palau Sant Jordi,パラウ・サン・ジョルディ
Cáceres,カセレス
Badajoz,バダホス
Jaén,ハエン
Cádiz,カディス
Anexo:Gran Premio de España de 2000,2000年スペイングランプリ
Anexo:Gran Premio de Europa de 2010,2010年ヨーロッパグランプリ
Anexo:Gran Premio de Europa de 2009,2009年ヨーロッパグランプリ
Corcubión,コルクビョン
Aeropuerto de Almería,アルメリア空港
España en los Juegos Olímpicos de Roma 1960,1960年ローマオリンピックのスペイン選手団
España en los Juegos Olímpicos de Los Ángeles 1932,1932年ロサンゼルスオリンピックのスペイン選手団
Vuelta a España 2008,ブエルタ・ア・エスパーニャ2008
Ávila,アビラ
Segovia,セゴビア
Anexo:Reyes de España,スペイン君主一覧
Castilla,カスティーリャ
Anexo:Gran Premio de España de 1951,1951年スペイングランプリ
Anexo:Gran Premio de España de 2012,2012年スペイングランプリ
Anexo:Gran Premio de España de 2010,2010年スペイングランプリ
RCDE Stadium,RCDEスタジアム
Ibiza (ciudad),エイビッサ
Amorebieta-Echano,アモレビエタ＝エチャノ
España en los Juegos Olímpicos de Moscú 1980,1980年モスクワオリンピックのスペイン選手団
Salamanca,サラマンカ
Rota,ロタ・(スペイン)
Zamora,サモラ・(スペイン)
Cultural y Deportiva Leonesa,クルトゥラル・レオネサ
Clásica de San Sebastián 2009,クラシカ・サンセバスティアン2009
Museo Thyssen-Bornemisza,ティッセン＝ボルネミッサ美術館
Repsol,レプソル
Sarria,サリア
Primera División de España 2006-07,リーガ・エスパニョーラ2006-2007
Arévalo,アレバロ
Catedral de León,レオン大聖堂・(スペイン)
Club Deportivo Tudelano,CDトゥデラーノ
Universidad de Zaragoza,サラゴサ大学
Verín,ベリン
León (España),レオン・(スペイン)
Segunda República española,スペイン第二共和政
Primera División de España 1992-93,リーガ・エスパニョーラ1992-1993
Recopa de Europa 1988-89,UEFAカップウィナーズカップ・1988-89
Archivo General de Indias,インディアス総合古文書館
Amposta,アンポスタ
Capela,ア・カペーラ
Naturgy,Naturgy
Marín (Pontevedra),マリン・(スペイン)
Golfo de Valencia,バレンシア湾
Igualada,イグアラダ
Eurocopa 1964,1964・欧州ネイションズカップ
Lanzarote,ランサローテ島
Sitio de Barcelona (1705),バルセロナ包囲戦・(1705年)
Marbella,マルベーリャ
Paralelo 38 norte,北緯38度線
Copa de la Paz,ピースカップ・(サッカー)
Alcalá la Real,アルカラ・ラ・レアル
Gran Canaria,グラン・カナリア島
El Clásico,エル・クラシコ
Amurrio,アムリオ
Partido Comunista de España,スペイン共産党
Azpeitia,アスペイティア
Universidad Pontificia de Salamanca,サラマンカ・ポンティフィシア大学
Anexo:Gran Premio de Europa de 2008,2008年ヨーロッパグランプリ
Reino de Castilla,カスティーリャ王国
Museo Guggenheim Bilbao,ビルバオ・グッゲンハイム美術館
Copa del Rey,コパ・デル・レイ
Don Benito,ドン・ベニート
Odieta,オディエタ
Vuelta al País Vasco,バスク一周
Mamá (escultura),ママン
Talavera de la Reina,タラベラ・デ・ラ・レイナ
Algeciras,アルヘシラス
Medinaceli,メディナセリ
San Sebastián de los Reyes,サン・セバスティアン・デ・ロス・レイエス
Campeonato Mundial de Natación de 1986,1986年世界水泳選手権
Triacastela,トリアカステーラ
Villamartín de Don Sancho,ビジャマルティン・デ・ドン・サンチョ
Arcos de la Frontera,アルコス・デ・ラ・フロンテーラ
Orihuela Club de Fútbol,オリウエラCF
Río Alagón,アラゴン川・(タホ川水系)
Río Manzanares,マンサナーレス川
Móstoles,モストレス
Iberia (aerolínea),イベリア航空
Aranjuez,アランフエス
Estadio de San Mamés,サン・マメス・(2013年)
Río Artibay,アルティバイ川
Terremoto de Lorca de 2011,スペイン南部地震
Universidad de Madrid,マドリード大学
Partido Popular,国民党・(スペイン)
Tarazona,タラソナ
Pozuelo de Alarcón,ポスエロ・デ・アラルコン
Mondariz,モンダリス
Puebla de Montornés,ラ・ポブラ・ダ・ムントゥルネス
WOMAD,ウォーマッド
Osuna,オスナ
Jerez,シェリー・(ワイン)
Río Jarama,ハラマ川
Río Lozoya,ロソヤ川
