Ana de la Reguera,アナ・デ・ラ・レゲラ
Luis Donaldo Colosio,ルイス・ドナルド・コロシオ
Margo Glantz,マルゴ・グランツ
Carlos Slim,カルロス・スリム
Pedro Rodríguez de la Vega,ペドロ・ロドリゲス
Thalía,タリア
Diego Rivera,ディエゴ・リベラ
Carlos Reygadas,カルロス・レイガダス
Gloria Trevi,グロリア・トレビ
Bernardo Segura,ベルナルド・セグラ
Israel Castro,イスラエル・カストロ
Lila Downs,リラ・ダウンズ
Guillermo Franco (futbolista),ギジェルモ・フランコ
Miguel de la Madrid,ミゲル・デ・ラ・マドリ・ウルタード
Andrés Guardado,アンドレス・グアルダード
Mario Molina (químico),マリオ・モリーナ
Lázaro Cárdenas,ラサロ・カルデナス
Enrique Peña Nieto,エンリケ・ペーニャ・ニエト
Ricardo Montalbán,リカルド・モンタルバン
Victoriano Huerta,ビクトリアーノ・ウエルタ
Ernesto Zedillo,エルネスト・セディージョ
Maribel Domínguez,マリベル・ドミンゲス
Louis C.K.,ルイ・C・K
Jonathan dos Santos,ジョナタン・ドス・サントス
Filippa Giordano,フィリッパ・ジョルダーノ
Esteban Gutiérrez (piloto),エステバン・グティエレス
Adolfo López Mateos,アドルフォ・ロペス・マテオス
Guido Pizarro,ギド・ピサーロ
Carlton Cuse,カールトン・キューズ
Jonny Magallón,ホセ・ジョニー・マガジョン
Oscar Pérez Rojas,オスカル・ペレス・ロハス
Yolanda Ramírez,ヨラ・ラミレス
"Julio César Chávez, Jr.",フリオ・セサール・チャベス・ジュニア
Leo Santa Cruz,レオ・サンタ・クルス
Agustín de Iturbide y Green,アグスティン・デ・イトゥルビデ・イ・グリーン
Óscar de la Hoya,オスカー・デ・ラ・ホーヤ
Óscar Valdez,オスカル・バルデス
Saturnino Herrán,サトゥルニノ・エラン
Mariano Arista,マリアノ・アリスタ
Luis Hernández (futbolista),ルイス・エルナンデス・(サッカー選手)
Luis Herrera de la Fuente,ルイス・エレラ・デ・ラ・フエンテ
Verónica Segura,ヴェロニカ・セグラ
Orlando Salido,オルランド・サリド
Lorena Ochoa,ロレーナ・オチョア
Abner Mares,アブネル・マレス
Gael García Bernal,ガエル・ガルシア・ベルナル
Alfonso Cuarón,アルフォンソ・キュアロン
Benito Juárez,ベニート・フアレス
Aarón Galindo,アーロン・ガリンド
Rafael Márquez,ラファエル・マルケス・(サッカー選手)
Claudio Suárez,クラウディオ・スアレス
Demián Bichir,デミアン・ビチル
Kitten Natividad,キトゥン・ナティビダッド
Nery Castillo,ネリー・カスティージョ
Miguel Miramón,ミゲル・ミラモン
Ignacio Comonfort,イグナシオ・コモンフォルト
León Trotski,レフ・トロツキー
Salvador Contreras,サルバドール・コントレラス
Anastasio Bustamante,アナスタシオ・ブスタマンテ
Elpidia Carrillo,エルピディア・カリロ
Oswaldo Sánchez,オスワルド・サンチェス
Carlos Gallardo (actor),カルロス・ガラルドー
Joaquín Guzmán Loera,ホアキン・グスマン
Cantinflas,カンティンフラス
Juan Rulfo,フアン・ルルフォ
Pancho Villa,パンチョ・ビリャ
Adam McKay,アダム・マッケイ
Javier Aguirre,ハビエル・アギーレ
Luis Nishizawa Flores,ルイス・ニシザワ
Mariano Azuela,マリアノ・アスエラ
Paulina Rubio,パウリナ・ルビオ
Max Aub,マクス・アウブ
Carlos Chávez,カルロス・チャベス
Ulises Dávila,ウリセス・ダビラ
Luis Buñuel,ルイス・ブニュエル
María del Pilar Roldán,ピラール・ロルダン
Amado Carrillo,アマド・カリージョ・フエンテス
Jessica Alba,ジェシカ・アルバ
Sara Ramírez,サラ・ラミレス
Antonio López de Santa Anna,アントニオ・ロペス・デ・サンタ・アナ
Emiliano Zapata,エミリアーノ・サパタ
Vicente Fox,ビセンテ・フォックス・ケサーダ
Christian Giménez,クリスティアン・ヒメネス
Ernesto Canto,エルネスト・カント
Oribe Peralta,オリベ・ペラルタ
Enrique Meza,エンリケ・メサ
Víctor Manuel Vucetich,ビクトル・マヌエル・ブセティッチ
Emilio Fernández,エミリオ・フェルナンデス
Carlos Zárate Serna,カルロス・サラテ
Guillermo Ochoa,ギジェルモ・オチョア
John Doeg,ジョン・ドエグ
Francisco Javier Rodríguez Pinedo,フランシスコ・ハビエル・ロドリゲス
Francisco I. Madero,フランシスコ・マデロ
María Félix,マリア・フェリックス
"Dragón Rojo, Jr.",ドラゴン・ロホ・ジュニア
Super Caló,ラファエル・ガルシア
Sam Dreben,サム・ドレベン
Ilan Stavans,イラン・スタバンス
Carlos Vela,カルロス・ベラ
Cuauhtémoc Blanco,クアウテモク・ブランコ
Carlos Salcido,カルロス・サルシド
Sinha,アントニオ・ナエルソン
Alfonso García Robles,アルフォンソ・ガルシア・ロブレス
Juventino Rosas,フベンティーノ・ローサス
Eduardo Hernández Moncada,エドゥアルド・エルナンデス＝モンカーダ
César Millán,シーザー・ミラン
Edward James Olmos,エドワード・ジェームズ・オルモス
Octavio Paz,オクタビオ・パス
Luis Miguel,ルイス・ミゲル
Edgar Castillo,エドガル・カスティージョ
Lhasa de Sela,ラサ・デ・セラ
Alfonso Reyes Ochoa,アルフォンソ・レイエス
Enriqueta Basilio,エンリケッタ・バシリオ
Jorge Torres Nilo,ホルヘ・トーレス・ニーロ
Mario Van Peebles,マリオ・ヴァン・ピーブルズ
Ultiminio Ramos,シュガー・ラモス
Adriana Barraza,アドリアナ・バラッザ
Laura Harring,ローラ・ハリング
Agustín de Iturbide,アグスティン・デ・イトゥルビデ
Adolfo de la Huerta,アドルフォ・デ・ラ・ウエルタ
Danna Paola,ダンナ・パオラ
Ricardo Flores Magón,リカルド・フロレス・マゴン
Jesús Eduardo Zavala,ヘスス・サバラ
Salma Hayek,サルマ・ハエック
Raúl Jiménez,ラウル・ヒメネス
DMT Azul,ディアマンテ・アスル
Raúl Rojas,ラウル・ロハス・(計算機科学者)
Armando Archundia,ベニート・アルチュンディア
José de Urrea,ホセ・デ・ウレア
Fernando Valenzuela,フェルナンド・バレンズエラ
El Zorro,怪傑ゾロ
Dolores del Río,ドロレス・デル・リオ
Guillermo del Toro,ギレルモ・デル・トロ
John Sutter,ジョン・サッター
Alejandro González Iñárritu,アレハンドロ・ゴンサレス・イニャリトゥ
Patricia Espinosa,パトリシア・エスピノサ
Felipe Calderón,フェリペ・カルデロン
Octavio Ocampo,オクタビオ・オカンポ
Julieta Venegas,フリエッタ・ベネガス
Maite Perroni,マイテ・ペローニ
Leonora Carrington,レオノーラ・キャリントン
Consuelo Velázquez,コンスエロ・ベラスケス
Belinda (cantante),ベリンダ・(歌手)
Julio César Chávez,フリオ・セサール・チャベス
Alejandra Guzmán,アレハンドラ・グスマン
Alfonso Zamora,アルフォンソ・サモラ
María Santos Gorrostieta Salazar,マリア・ゴロスティエタ
Alberto Del Río,アルベルト・ロドリゲス
Paul Kirchhoff,パウル・キルヒホフ・(地理学・人類学)
Miguel de Icaza,ミゲル・デ・イカザ
Salvador de Iturbide y Marzán,サルバドール・デ・イトゥルビデ・イ・マルサン
Jorge Gutiérrez (baloncestista),ホルヘ・グティエレス
Marisol Valles,マリソル・バジェス・ガルシア
José Vasconcelos,ホセ・バスコンセロス
Hugo Sánchez,ウーゴ・サンチェス
Víctor Díaz (beisbolista),ビクトル・ディアス・(野球)
Anthony Quinn,アンソニー・クイン
Sergio Pérez,セルジオ・ペレス
Roberto Orci,ロベルト・オーチー
Álvaro Obregón,アルバロ・オブレゴン
Sicodélico Jr.,シコデリコ・ジュニア
Rubén Olivares,ルーベン・オリバレス
Juan Cortina,フアン・コルティナ
Brazo de Plata,ブラソ・デ・プラタ
Paola Espinosa,パオラ・エスピノサ
Libertad Lamarque,リベルタ・ラマルケ
Ana Gabriela Guevara,アナ・ゲバラ
Marco Antonio Rodríguez,マルコ・ロドリゲス
Bárbara Mori,バルバラ・モリ
Luis Barragán,ルイス・バラガン
José Carlos Ramírez,ホセ・カルロス・ラミレス
Alfredo Angulo,アルフレド・アングロ
Adrián González (beisbolista),エイドリアン・ゴンザレス
Federico Mena,フェデリコ・メーナ
Marco Fabián,マルコ・ファビアン
José Mariano Mociño,ホセ・モシーニョ
Miguel Vázquez,ミゲル・バスケス
Heavy Metal (luchador),ヘビー・メタル・(プロレスラー)
Negro Casas,ネグロ・カサス
Jacob David Bekenstein,ヤコブ・ベッケンシュタイン
Rodolfo López,ルディ・ロペス
Moisés Fuentes,モイセス・フェンテス
Jorge Salinas,ホルヘ・サリナス
Atlantis (luchador),アトランティス・(プロレスラー)
Shocker (luchador),ホセ・ルイス・ハイル・ソリア
Giovanni Segura,ジョバンニ・セグラ
Fey,フェイ・(歌手)
José Salomé Pina,ホセ・サロメ・ピナ
Giovani Casillas,ジョバニ・カシージャス
Cien Caras,シエン・カラス
Oswaldo Alanís,オスワルド・アラニス
Yovani Gallardo,ヨバニ・ガヤルド
Ona Grauer,オナ・グローアー
Humberto Soto,ウンベルト・ソト
Adela Noriega,アデラ・ノリエガ
Subcomandante Marcos,マルコス副司令官
Martín Perfecto de Cos,マルティン・ペルフェクト・デ・コス
Carlos Felipe Rodríguez,カルロス・フェリペ・ロドリゲス
El Chapo de Sinaloa,エル・チャポ・デ・シナロア
Margo,マーゴ・(女優)
Winston Abreu,ウィンストン・アブレイユ
Horacio Gómez Bolaños,オラシオ・ゴメス・ボラーニョ
José Lothario,ホセ・ロザリオ
Robinson Tejeda,ロビンソン・テヘダ
Miguel Ángel Ponce,ミゲル・アンヘル・ポンセ
Antonio de Nigris,アントニオ・デ・ニグリス
Francisco Robles Ortega,フランシスコ・ロブレス・オルテガ
Alfredo Talavera,アルフレド・タラベラ
Saúl Álvarez,サウル・アルバレス
Carlos Monsiváis,カルロス・モンシバイス
Jorge Mester,ホルヘ・メスター
Tomás Rojas (boxeador),トマス・ロハス
Édgar Valdez Villarreal,エドガー・バルデス・ビジャレアル
Carlos Reinoso,カルロス・レイノソ
Rey Bucanero,レイ・ブカネロ
José de Jesús Corona,ホセ・デ・ヘスス・コロナ
Luis Ernesto Miramontes,ルイス・ミラモンテス
Eduardo Nájera,エドアルド・ナヘラ
José Luis Calva Zepeda,ホセ・ルイス・カルバ
Marco Bueno,マルコ・ブエノ
Ignacio Beristáin,イグナシオ・ベリスタイン
Emilio Echevarría,エミリオ・エチェバリア
Juan Nepomuceno Guerra,フアン・ネポムセーノ・ゲーラ
Jaime García (beisbolista),ハイメ・ガルシア・(野球)
Psicosis (luchador),ニチョ
Averno (luchador),アベルノ
Jay Hernández,ジェイ・ヘルナンデス
Javier Jáuregui (boxeador),ハビエル・ハウレギ
Alejandro Fernández,アレハンドロ・フェルナンデス
Jorge Eduardo Costilla Sánchez,ホルヘ・エドゥアルド・コスティージャ・サンチェス
Miguel Herrera,ミゲル・エレーラ
Lady Apache,レディ・アパッチェ
Rosenda Monteros,ロゼンダ・モンテロス
Elías Hernández,エリアス・エルナンデス
Guillermo Arriaga Jordán,ギジェルモ・アリアガ
Guillermo Navarro,ギレルモ・ナヴァロ
Alfredo Aceves,アルフレド・アセベス
José Sulaimán,ホセ・スレイマン
Juan José Esparragoza Moreno,フアン・ホセ・エスパラゴーサ・モレーノ
Silver King,シルバー・キング
Luis Sandi,ルイス・サンディ
Dos Caras (luchador),ドス・カラス
Perro Aguayo,ペロ・アグアヨ
Jorge de la Rosa,ホルヘ・デラロサ
Jonathan Espericueta,ジョナタン・エスペリクエタ
Luis García Postigo,ルイス・ガルシア・ポスティーゴ
Juan López Moctezuma,フアン・ロペス・モクテズマ
Rodolfo Usigli,ロドルフォ・ウシグリ
Ana Cecilia Cantú,アナ・セシリャ・カントゥ
Luis Cruz (beisbolista),ルイス・クルーズ
Roberto Gómez Bolaños,ロベルト・ゴメス・ボラーニョ
Miguel Treviño Morales,ミゲル・トレビーニョ・モラレス
Manuel DeLanda,マヌエル・デランダ
Diego Boneta,ディエゴ・ボネータ
Rodrigo Prieto,ロドリゴ・プリエト
Abismo Negro,アビスモ・ネグロ
Aero Star,エアロスター・(プロレスラー)
Fernando del Paso,フェルナンド・デル・パソ
Juan Manuel Márquez (boxeador),ファン・マヌエル・マルケス
Ignacio Allende,イグナシオ・アジェンデ
Érik Morales,エリック・モラレス
Giovani dos Santos,ジョバニ・ドス・サントス
José Emilio Pacheco,ホセ・エミリオ・パチェーコ
Francisco Araiza,フランシスコ・アライサ
Eiza González,エイザ・ゴンザレス
Priscila Perales,プリシラ・ペラレス
Miguel González Martín,ミゲル・ゴンザレス・(1984年生の投手)
Zeferino Nandayapa,ゼフェリーノ・ナンダヤパ
Érick Torres Padilla,エリック・トーレス
Erubiel Durazo,エルビエル・デュラーゾ
Octagón,オクタゴン・(プロレスラー)
Timo Pérez,ティモ・ペレス
Natalia Lafourcade,ナタリア・ラフォルカデ
Guillermo Kahlo,ギリェルモ・カーロ
Gustavo Ayón,グスタボ・アヨン
Villano III,ビジャノ3号
Lucía Zárate,ルシア・サラーテ
Superbarrio Gómez,スーパーバリオ・ゴメス
Salvador Sánchez (boxeador),サルバドル・サンチェス
Eduardo del Río,リウス
Rafael Márquez (boxeador),ラファエル・マルケス・(ボクサー)
Ayako Hamada,浜田文子
Héctor Reynoso,エクトル・レイノーソ
Pipino Cuevas,ホセ・クエバス
Néstor Araujo,ネストル・アラウホ
El Hijo del Santo,エル・イホ・デル・サント
Alfonso Caso,アルフォンソ・カソ
Rogelio Funes Mori,ロヘリオ・フネス・モリ
Paco Ignacio Taibo II,パコ・イグナシオ・タイボ二世
Cándido Ramírez,カンディド・ラミレス
Bebu Silvetti,ファン・フェルナンド・シルヴェッティ・アドルノ
Pedro Armendáriz Jr.,ペドロ・アルメンダリス・Jr
Juan Serrano (deportista),ファン・ルネ・セラーノ
Eufemio Zapata,エウフェミオ・サパタ
Angélica Gavaldón,アンジェリカ・ガバルドン
Super Crazy,スペル・クレイジー
Jorge Volpi,ホルヘ・ボルピ
Geo Meneses,ゲオ・メネセス
Héctor Herrera (futbolista),エクトル・ミゲル・エレーラ
Antonio Sánchez (baterista),アントニオ・サンチェス
Juan Díaz (boxeador),ファン・ディアス・(ボクサー)
Michel Jourdain Jr.,ミチェル・ジョルディン・ジュニア
Mil Máscaras,ミル・マスカラス
Richard Sánchez,リカルド・サンチェス
Ricky Marvin,リッキー・マルビン
Pablo César Aguilar,パブロ・セサル・アギラル
Mariano Escobedo,マリアーノ・エスコベド
Miguel Layún,ミゲル・ラユン
Rubén Salazar,ルーベン・サラサール
Michele Cantú,ミチェレ・カントゥ
Rodolfo Bernardelli,ロドルフォ・ベルナルデリ
Ricardo López (boxeador),リカルド・ロペス
Gabriel Pareyón,ガブリエル・パレヨン
Miguel Canto,ミゲル・カント
Hugo Ayala,ウーゴ・アヤラ
Amalia Hernández,アメーリア・ヘルナンデス
Andy Ruiz Jr.,アンディ・ルイス・ジュニア
Ana María Torres,アナ・マリア・トーレス
René Arredondo,レネ・アルレドンド
L. A. Park,エレア・パーク
Adam Parada,アダム・パラダ
Jesús Manuel Corona,ヘスス・マヌエル・コロナ
José María Velasco Gómez Obregón,ホセ・マリア・ベラスコ・ゴメス・オブレゴン
Francisco Romano Guillemin,フランシスコ・ロマーノ・ギルマン
Juan Villoro,フアン・ビジョーロ
Rafael Caro Quintero,ラファエル・カロ・キンテロ
Heriberto Lazcano Lazcano,エリベルト・ラスカーノ
Ana Brenda Contreras,アナ・ブレンダ・コントレラス
Luis Fernando Tena,ルイス・フェルナンド・テナ
Cibernético (luchador),シベルネティコ
Canek (luchador),カネック
Félix Cruz,フェリックス・クルス
Armando Manzanero,アルマンド・マンサネーロ
Dr. Wagner Jr.,ドクトル・ワグナー・ジュニア
Karim García,カリーム・ガルシア
Yori Boy Campas,ルイス・ラモン・カンパス
Daniel Zaragoza,ダニエル・サラゴサ
Cristian Castro,クリスティアン・カストロ
Armando Silvestre,アーマンド・シルヴェストル
Arkangel de la Muerte,アルカンヘル・デ・ラ・ムエルテ
Popé,ポペ
Antonio Osuna,アントニオ・オスナ
Apolo Dantés,アポロ・ダンテス
Argenis (luchador),アルヘニス
Arturo Guzmán Decena,アルトゥーロ・グスマン・デセナ
Emilio Carranza,エミリオ・カランサ
Las Poquianchis,ゴンサレス姉妹
Javier Aquino,ハビエル・アキーノ
Félix María Zuloaga,フェリックス・マリア・スロアガ
Diego Reyes Rosales,ディエゴ・レジェス
Wolfgang Paalen,ヴォルフガング・パーレン
Moisés Muñoz,モイセス・ムニョス
Benjamín Gil,ベンジー・ギル
Manuel Robles Pezuela,マヌエル・ロブレス・ペスエラ
Javier Orozco,ハビエル・オロスコ
Conlon Nancarrow,コンロン・ナンカロウ
Rufino Tamayo,ルフィーノ・タマヨ
Arturo Márquez,アルトゥロ・マルケス
Arturo Ripstein,アルトゥーロ・リプスタイン
Edgardo Codesal Méndez,エドガルド・コデサル・メンデス
Álex Cabrera,アレックス・カブレラ
Emmanuel Lubezki,エマニュエル・ルベツキ
Félix Candela,フェリックス・キャンデラ
Raúl González Rodríguez,ラウル・ゴンサレス・(陸上選手)
El Hijo de L.A. Park,ブラック・スピリット
Mando Guerrero,マンド・ゲレロ
Carlos Miguel Prieto,カルロス・ミゲル・プリエト
Aurelio Rodríguez,アウレリオ・ロドリゲス
Black Warrior,ブラック・ウォリアー
José Antonio Aguirre (boxeador),ホセ・アントニオ・アギーレ・(ボクサー)
Gabriel Bernal,ガブリエル・ベルナル
Bocafloja,ボカフロハ
Blue Panther,ブルー・パンテル
Hernán Márquez,エルナン・マルケス
Adrián Fernández (piloto),エイドリアン・フェルナンデス
Alberto Ruz Lhuillier,アルベルト・ルス
Jorge Solís,ホルヘ・ソリス
Fernando Montiel,フェルナンド・モンティエル
Jhonny González,ジョニー・ゴンサレス
Lupita Nyong'o,ルピタ・ニョンゴ
Juan Bautista de Anza,フアン・バウティスタ・デ・アンサ
Pedro Ampudia,ペドロ・デ・アンプディア
Marco Antonio Barrera,マルコ・アントニオ・バレラ
Alberto García Aspe,アルベルト・ガルシア・アスペ
Fernando Eimbcke,フェルナンド・エインビッケ
Jorge Enríquez García,ホルヘ・エンリケス
Manuel Álvarez Bravo,マヌエル・アルバレス・ブラボ
Guillermo Haro Barraza,ギイェルモ・アロ
Ramón Novarro,ラモン・ノヴァロ
Jenni Rivera,ジェニー・リヴェラ
Raúl Alcalá,ラウル・アルカラ
Arturo Barrios,アルトゥーロ・バリオス
Ignacio Ambriz,イグナシオ・アンブリス
Pablo de La Llave,パブロ・デ・ラ・ジャーベ
Marco Antonio Rubio (boxeador),マルコ・アントニオ・ルビオ
Carlos Cuadras,カルロス・クアドラス
Hugo Ruiz Domínguez,ウーゴ・ルイス
Jessica Aguilar,ジェシカ・アギラー
José Delgado Saldaña,ミステル・アギラ
Alan Pulido,アラン・プリード
Carla Morrison,カーラ・モリソン
Carlos Peña Rodríguez,カルロス・アルベルト・ペーニャ
Chessman,チェスマン
Charly Manson,チャーリー・マンソン
Celso Piña,セルソ・ピニヤ
Erik Pérez,エリック・ペレス
José Pablo Moncayo,ホセ・パブロ・モンカーヨ
José Guadalupe Posada,ホセ・グアダルーペ・ポサダ
Ricardo Legorreta Vilchis,リカルド・レゴレッタ
Joaquín Cosío,ホアキン・コシオ
Alfredo Ramos Martínez,アルフレード・ラモス・マルチネス
Jesús F. Contreras,ヘスース・フルクトゥオーソ・コントレーラス
Joel Sánchez Guerrero,ホエル・サンチェス
Jonathan Orozco,ジョナタン・オロスコ
Cristian Mijares,クリスチャン・ミハレス
Columba Bush,コルンバ・ブッシュ
Crazy Boy,クレイジー・ボーイ
Nicolás Zúñiga y Miranda,ニコラス・スニガ・イ・ミランダ
Rey Misterio Sr.,レイ・ミステリオ・シニア
Agustín Jerónimo de Iturbide,アグスティン・デ・イトゥルビデ・イ・ウアルテ
Juan Pablo Villalobos,フアン・パブロ・ビジャロボス
Juan Luis Barrios,フアン・ルイス・バリオス
Julio Ruelas,フリオ・ルエラス
Damián Alcázar,ダミアン・アルカザール
Santos Escobar,エル・イホ・デル・ファンタズマ
El Zorro (luchador),エル・ソロ
Electroshock (luchador),エレクトロ・ショック
El Solitario (luchador),エル・ソリタリオ
El Terrible,エル・テリブレ
El Texano Jr.,テハノ・ジュニア
Alberto Ruy Sánchez,アルベルト・ルイ＝サンチェス
Carlos Santana,カルロス・サンタナ
José Luis Castillo,ホセ・ルイス・カスティージョ
Miguel Covarrubias,ミゲル・コバルビアス
Salvador Guerrero,ゴリー・ゲレロ
Último Guerrero,ウルティモ・ゲレーロ
Cy Acosta,サイ・アコスタ
Damián 666,ダミアン666
Mia St. John,ミア・セント・ジョン
Enrique Bátiz,エンリケ・バティス
José Limón,ホセ・リモン
Leandro Izaguirre,レアンドロ・イサギレ
Pascual Orozco,パスクアル・オロスコ
"Emilio Charles, Jr.",エミリオ・チャレス・ジュニア
Dark Ozz,ダーク・オズ
Jorge Arce,ホルヘ・アルセ
Dark Cuervo,ダーク・クエルボ
Ralph O'Neill,ラルフ・オニール
Yhency Brazobán,ヤンシー・ブラゾバン
Blas Galindo,ブラス・ガリンド
Lydia Mendoza,リディア・メンドーサ
Gastón Guzmán,ガストン・グスマン
Alfredo Rueda Quijano,アルフレード・ルエダ・クイジャーノ
Silvia Navarro (actriz),シルビア・ナバロ
Angélica Morales von Sauer,アンヘリカ・モラレス・フォン・ザウアー
Paco Stanley,パコ・スタンリー
Fernando Colunga,フェルナンド・コルンガ
Bernardo Sepúlveda Amor,ベルナルド・セプルベダ・アモール
Mon Laferte,モンセラット・ブスタマンテ
Tigre Uno,エクストリーム・タイガー
Dr. Wagner,ドクトル・ワグナー
Luis Alberto Orozco,ルイス・アルベルト・オロスコ
El Felino,フェリーノ・(プロレスラー)
Efraín Escudero,エフレイン・エスクデロ
El Brazo,エル・ブラソ
José Ángel Gurría,アンヘル・グリア
Blue Demon Jr.,ブルー・デーモン・ジュニア
Jaime Lozano,ハイメ・ロサーノ
Joakim Soria,ホアキム・ソリア
Estrellita (luchadora),エストレジータ
Dino Cazares,ディーノ・カザレス
Eréndira Ibarra,エレンディラ・イバラ
Laredo Kid,ラレド・キッド
Ana Martín,アンナ・マルティン
Antonio DeMarco,アントニオ・デマルコ
Óliver Pérez Martínez,オリバー・ペレス
Héctor Guerrero,ヘクター・ゲレロ
Aldo de Nigris,アルド・デ・ニグリス
Alfonso Arau,アルフォンソ・アラウ
Cuauhtémoc Cárdenas,クアウテモク・カルデナス
Yahel Castillo,ヤエル・カスティージョ
Arturo Alfonso González,アルフォンソ・ゴンサレス
Antonio Ortiz Mena,アントニオ・オルティス・メナ
Blue Demon,ブルー・デモン
Memo Rojas,メモ・ロハス
Francisco Campos Machado,フランシスコ・カンポス
Fishman,フィッシュマン
José Juan Vázquez,ホセ・フアン・バスケス
Tomás Mejía,トマス・メヒア
Luis Mandoki,ルイス・マンドーキ
Fernando Quirarte,フェルナンド・キラルテ
Raúl Ramírez,ラウル・ラミレス
Nacho Flores,イグナシオ・フローレス
El Santo,エル・サント
Martín Dihigo,マーティン・ディーゴ
Gilberto Ramírez,ヒルベルト・ラミレス
Jürgen Damm,ユルゲン・ダム
Alejandro Castro Flores,アレハンドロ・カストロ・フローレス
Carlos Hermosillo,カルロス・エルモシージョ
Eduardo Mata,エドゥアルド・マータ
Félix Parra,フェリックス・パラ
Antonio Cárdenas Guillén,アントニオ・エセキエル・カルデナス・ギリェン
Ignacio Coronel Villarreal,イグナシオ・コロネル・ビジャレアル
Valentín Elizalde,バレンティン・エリザルデ
Germán Gedovius,ヘルマン・ヘドビウス
Huracán Ramírez,ウラカン・ラミレス
Fuerza Guerrera,フエルサ・ゲレーラ
José Manuel de la Torre,ホセ・マヌエル・デ・ラ・トーレ
Juan Carlos Burgos,ファン・カルロス・ブルゴス
Rafael Osuna,ラファエル・オスナ
Jacob Vargas,ジェイコブ・バルガス
Pablo Larios Iwasaki,パブロ・ラリオス
Hermila Galindo,エルミラ・ガリンド
Gus Rodríguez,グス・ロドリゲス
"Volador, Jr.",ボラドール・ジュニア
Máscara Dorada,マスカラ・ドラダ
Andrade El Ídolo,ラ・ソンブラ
Héctor Garza,エクトール・ガルサ
Gregorio Blasco Sánchez,グレゴリオ・ブラスコ
El Fuerte (Street Fighter),エル・フォルテ
Goya Kong,ゴヤ・コング
Susana Harp,スサナ・ハープ
Claudia Sheinbaum,クラウディア・シェインバウム
