반기문,潘基文
허재,許載
김윤진,金倫珍
서현 (1991년),徐玄
이창동,李滄東
구혜선,具惠善
김수녕,金水宁
린다 박,琳达·朴
노태우,盧泰愚
최은희 (배우),崔銀姬
거미 (가수),Gummy·(歌手)
진희경,陳熙瓊
강수연,姜受延
김재범,金宰範
임수경,林秀卿
토니 안,安胜浩
정진석 (추기경),鄭鎮奭
문소리,文素利
김황식 (법조인),金滉植
장미인애,張美仁愛
오성옥,吳成玉
박지성,朴智星
이승엽,李承燁·(棒球運動員)
류현진,柳賢振
김광현 (야구 선수),金廣鉉
김승용,金承龍
정동호 (축구 선수),丁東浩
정우영 (1989년),郑又荣
김은중,金殷中
이광선 (축구 선수),李光善
이상화 (스피드스케이팅 선수),李相花
전이경,全利卿
전지현,全智賢
장미란,張美蘭·(運動員)
허경영,許京寧
효연,孝淵
세븐 (가수),崔東昱
정성룡,郑成龙
김정우 (축구인),金正友
문대성,文大成
최홍희,崔泓熙
김동진 (1982년),金東進
장상,張裳
김남일,金南日
이방자,李方子
윤종신,尹鍾信
권진수,權真秀
장재인,張才人
봉중근,奉重根
김범수 (가수),金範洙
신동혁 (1982년),申东赫
유연석,柳演錫
김현수 (1988년),金賢洙
김소현 (1999년),金所泫
박주성 (축구인),朴住成
김옥빈,金玉彬
심은정 (배드민턴 선수),沈恩婷
장혜옥,張惠玉
류지혜 (탁구 선수),柳智惠
배연주,裴延姝
신현확,申鉉碻
다나 (가수),喜悅Dana
석은미,石银美
이은실 (탁구 선수),李恩实
리웨이펑,李玮锋
양영자,梁英子
장면,張勉·(韓國)
이승훈 (스피드스케이팅 선수),李承勳·(速度滑冰運動員)
한승수,韓昇洙
효민,朴宣映
한덕수,韩悳洙
짐 리,吉姆·李
오범석,吴范锡
설기현,薛琦鉉
제임스 기선 리,李諸赫
송종국,宋鍾國
이승렬 (1989년),李昇烈
김형일 (축구 선수),金亨镒
유연성,柳延星
김재성 (축구 선수),金在成
신민아,申敏兒
김소연 (1980년),金素妍
강민수 (축구 선수),姜敏寿
이민우 (가수),李玟雨
대성 (가수),姜大聲
윤보선,尹潽善
손예진,孫藝真
윤미진,尹美进
고아라,高雅羅
고수 (배우),高洙
한혜진 (배우),韓惠軫
조호성,趙浩成
박미영 (탁구 선수),朴美英
신아람,申雅嵐
봉태규,奉太奎
정찬 (배우),鄭燦
이민호 (1987년),李敏鎬
안용준,安勇俊
조은지,曹恩智
양학선,梁鶴善
김혜수,金憓秀
임형주,林亨柱
김윤지 (배우),NS允智
김성수 (언론인),金性洙
김윤미 (쇼트트랙 선수),金润美
박세리,朴世莉
정재헌 (1974년),郑载宪
이경원 (배드민턴 선수),李敬元
이효정 (배드민턴 선수),李孝貞·(羽毛球運動員)
이휘향,李輝香
최태원 (기업인),崔泰源
고은아 (1988년),高恩雅
유호정,柳好貞
이종원 (배우),李鍾原
임시완,任時完
이소연 (공학자),李素妍·(宇航员)
원세훈 (1951년),元世勋
백진희,白珍熙
박주영,朴主永
문근영,文瑾瑩
프란체스카 도너,李富蘭
하쿠 신쿤,白真勳
손미나 (핸드볼 선수),孙美那
김사랑 (배우),金思朗
윤정희 (1944년),尹靜姬
김기덕 (1960년),金基德
이정수 (축구인),李正秀
배두나,裴斗娜
임수정 (태권도 선수),林秀貞·(跆拳道運動員)
김연경,金軟景
황경선,黄敬善
노신영,盧信永
전도연,全道嬿
성지현,成池鉉
김남선,金南善
방수현,方銖賢
손담비,孫淡妃
이원근,李源根
김근철,金根哲
장경진,張敬珍
박주호,朴柱昊
석현준,石現俊
전태일,全泰壹
장혁,張赫·(韓國)
선동열,宣銅烈
김준수 (가수),金俊秀
최희섭,崔希涉
권양숙,權良淑
이병헌,李炳憲
정성하,鄭晟河
김희철 (가수),希澈
오상은,吳尚垠
김영광 (축구인),金永光
고건,高建·(韓國)
황영조,黄永祚
주세혁,朱世爀
김태희,金泰希
김희선,金喜善
수지 (1994년),秀智
독고영재,獨孤永宰
엄정화,嚴正化
진은숙,陳銀淑
유리 (1989년),俞利
이정현 (1980년),李貞賢
빅토르 안,維克多·安
성훈 (배우),成勛
순정효황후,純貞孝皇后
이문열,李文烈
유오성,劉五性
김태호 (1962년),金台鎬
김남길,金南佶
김동진 (축구 심판),金東真
이은주,李恩宙
전희숙,全希淑
서준영,徐俊英
황광희,黃光熙
이준기,李準基
조인성 (배우),趙寅成
김동준 (1992년),金桐俊
이종욱 (의료인),李鍾郁
대니얼 대 킴,金大賢
성시경,成始璄
육영수,陸英修
신경숙,申京淑
정경화,鄭京和
최동원,崔東原
손기정,孫基禎
민호,珉豪
정재영,鄭在詠
노회찬,魯會燦
김윤혜,金允慧
조정석,曹政奭
강영훈 (1922년),姜英勳
배영수,裴英洙
하리수,河莉秀
원수연,元秀蓮
기보배,奇甫倍
조용기,趙鏞基
황우석,黃禹錫
강타,安七炫
박근혜,朴槿惠
김구,金九
김규식,金奎植
김무영 (1987년),金武映
서태지,徐太志
환희,黃倫碩
김보경 (축구 선수),金甫炅
조용형,趙容衡
이청용,李青龍
고아성,高我星
정소영 (배드민턴 선수),鄭素英·(羽毛球運動員)
황혜영 (배드민턴 선수),黄惠英
이상천,李商天
지동원,池东沅
모태범,牟太钒
진종오,秦鍾午
윤아,潤娥
양용은,梁容银
나혜석,羅蕙錫
허정,许政
장동건,张东健
정주영,鄭周永
윤치영,尹致暎
임수정 (배우),林秀晶
장자연,张紫妍
문선명,文鲜明
김하늘,金荷娜
김웅용,金雄鎔
박유천,朴有天
임요환,林遥焕
안한봉,安汉奉
이루마,李閏珉
장택상,張澤相
현빈,玄彬
한가인,韓佳人
이나영,李奈映
태민,泰民
함은정,咸𤨒晶
김영하 (소설가),金英夏
동해 (가수),東海·(藝人)
이중문,李重文
안재형,安宰亨
이후락,李厚洛
윤이상,尹伊桑
남궁민 (배우),南宮珉
안성기,安聖基
승리 (가수),勝利·(歌手)
류시원,柳時元
사재혁,史載赫
오선화,吳善花
전여옥,田丽玉
개구리 소년 사건,青蛙少年事件
변영태,卞荣泰
윤영선 (1896년),尹永善
권영길,權永吉
장훈,張本勳
신성모,申性模
양준혁,梁埈赫
이종범,李鍾範
태양 (가수),太陽·(歌手)
차민수,车敏洙
이상훈 (1970년),李尚勳
최강창민,沈昌珉
조승우,曹承佑
이홍구 (1934년),李洪九
전민희,全民熙
백두진,白斗鎮
김두현 (축구인),金斗炫
려욱,厲旭
이제훈,李帝勳
이한열,李韩烈
효린,孝琳
박현빈,朴玄彬
찬성 (가수),黃燦盛
이소연 (배우),李昭娟
고소영,高素榮
김범,金汎
김소은,金昭誾
이민정,李珉廷
이동수 (배드민턴 선수),李東秀
박하선,朴河宣
설리 (1994년),崔真理
김수현 (1988년),金秀賢·(男演員)
홍리나,洪利奈
신익희,申翼熙
유빈,宥斌
이회창,李会昌
김윤옥,金潤玉
손연재,孫延在
송서연,宋智恩
라종일 (1940년),罗钟一
레이나 (1989년),Raina
김자인,金慈仁
김서형,金瑞亨
박세영 (배우),朴世榮
황석호,黄锡镐
공유 (배우),孔劉
유소영,劉小英
시원 (가수),崔始源
황선홍,黄善洪
이혜천,李惠踐
조재진,曹宰榛
김진규 (1985년),金珍圭
하야카와 렌,早川漣
왕기춘,王机春
송유근,宋幽根
강철환,姜哲煥
최진철,崔真喆
박소희,朴素熙
견미리,甄美里
장준하,張俊河
이철승,李哲承·(1922年)
임선동,林仙东
이충희,李忠熙
윤소이,尹素怡
정원식,郑元植
이준 (배우),李準·(歌手)
유원철,刘源哲
배수빈,裴秀彬
이종수 (배우),李宗秀
박한별,朴韓星
엄태웅,嚴泰雄
노금석,盧今錫
김덕현 (육상 선수),金德现
한학자,韓鶴子
박영석,朴英碩
박지빈,朴智彬
이은별,李银别
김기희,金基熙
박열,朴烈
김성근 (야구인),金星根
서우,瑞雨
윤일선,尹日善
이임생,李林生
박석진,朴石镇
김재규,金載圭
류수영,柳秀榮
신건 (법조인),辛建
이윤영 (1890년),李允荣
권순태,權純泰
안길강,安吉強
나지완,羅志完
원정화,元正花
김원기 (1937년),金元基
왕지혜,王智慧·(演员)
패티 김,金惠子·(歌手)
은혁,銀赫
유창순 (1918년),刘彰顺
박신양,朴新陽
송요찬,宋堯讚
장도영,張都暎
예성,藝聲
이원희 (유도 선수),李元熹
신태용,申台龍
로버트 콘스웨이트,羅拔·哥夫韋特
김동완 (가수),金烔完
김창수 (축구인),金昌洙
신동 (가수),神童·(藝人)
장성호 (야구인),张盛好
강인 (가수),強仁
박중훈,朴重勳
정수근,郑守根
김태균 (1971년),金泰均·(1971年)
박종호 (1973년),朴钟皓
이호원 (1991년),Hoya
권오규 (1952년),权五奎
백인천,白仁天
김성택,春日王克昌
양지원 (1988년),楊知元
안내상,安內相
오교문,吴教文
정수빈,鄭秀彬·(棒球運動員)
장희진 (1983년),張熙軫
정영식 (탁구 선수),鄭榮植
이용대,李龍大
김수근 (건축가),金寿根
김한수 (야구인),金翰秀
장우혁,张佑赫
채지훈,蔡智薰
이선희 (태권도 선수),李仙熙
홍성흔,洪性炘
이경해,李京海
정지우 (작가),鄭智友
정인 (가수),鄭仁
정진화 (근대5종 선수),郑振和
정경호 (1983년),鄭敬淏
오지환,吳智煥
박용택,朴龍澤
이세영 (배우),李世榮
이인혜,李仁譓
이지안 (미스코리아),李恩熙
정재형,鄭在炯
최명길 (배우),崔明吉·(藝人)
이세은 (배우),李世恩
이윤지,李允智
권집 (축구 선수),权辑
이세인,李世仁
정지영 (영화 감독),鄭智泳
김미숙 (배우),金美淑
박인환 (배우),朴仁煥
임동원,林東源
이준석,李俊錫
최솔규,崔率圭
공지영,孔枝泳
류제국,柳濟國
박진영,朴軫永
차승 백,白嗟承
박용하,朴容夏
김완섭 (1963년),金完燮
백아연,白娥娟
앙드레 김,金鳳男
임유환,林裕焕
김강민 (야구 선수),金江珉·(棒球運動員)
안상수 (창원 출신 정치인),安商守
김인식 (1947년),金寅植
이상수 (탁구 선수),李相秀
류진 (배우),柳鎮·(韓國)
김신영,金信英
안수길,安寿吉
이재용,李在鎔
김소이 (1969년),金昭怡
신병현,申秉铉
강정호,姜正浩
전인화,錢忍和
귀여니,可愛淘
이수근 (희극인),李壽根
유동근,劉東根
서인석 (배우),徐仁锡
김경호 (가수),金慶皓
정칠성,丁七星
신애 (배우),申愛
김장훈,金章勳
이시연 (1980년),李詩妍
장재호,张宰怙
고은미,高恩美
엄홍길,嚴弘吉
홍진호,洪榛浩
유용성 (배드민턴 선수),柳鏞成
김영기 (축구 선수),金永基
이범영,李範永
최인정,崔仁贞
박재규 (1944년),朴在圭
김진이 (핸드볼 선수),金鎮伊
류은희,柳殷僖
심해인,沈解寅
김선화 (핸드볼 선수),金善貨
이재윤 (배우),李載允
정유라 (핸드볼 선수),鄭由路
정형돈,鄭亨敦
정준하,鄭埻夏
김건모,金健模
옥택연,玉澤演
김장미,金将美
김종국 (가수),金鍾國
이상은 (가수),李尚恩·(歌手)
남태희,南泰熙
백윤식,白潤植
곽태휘,郭泰辉
인순이,仁順伊
강경화,康京和
용감한 형제,勇敢兄弟
이은철,李垠澈
남상미,南相美
CL (가수),李彩麟
강호동,姜鎬童
김기훈 (쇼트트랙 선수),金琪焄
차태현,車太鉉
한유미,韓有美
한재석 (1973년),韓載錫
황연주,黃連珠
김사니,金莎妮
주원,周元·(韓國)
엄지원,嚴志媛
정찬성,鄭讚成
장영남,張榮男
송지은 (1990년),宋枝恩
연우진,延玗臻
노선영,卢善英
김시후,金時厚
조치훈,趙治勳
JOO (가수),JOO
신지 (가수),申智
정진선,郑镇善
이민성,李敏成
양효진,梁孝真
우범곤,禹範坤
이수만,李秀满
재희,在喜
지연 (1993년),朴芝妍
김기범 (배우),起範
오달수,吳達秀
윤손하,尹孫河
이승기,李昇基
서지영 (배우),徐智英
심대평,沈大平
안지만,安志晚
손시헌 (야구인),孫時憲
이재진 (1991년),李在真
홍민표,洪旼杓
김연건,金演建
최서해,崔曙海
유진산,柳珍山
윤증현,尹增鉉
김해란,金海蘭
송석우,宋锡雨
안상미,安尚美
홍철 (축구 선수),洪喆
김보경 (가수),金輔炅
이기영 (배우),李基英
신창원,申昌源
남보라,南寶拉
김정렬 (1917년),金贞烈
김학범,金鹤范
남덕우,南德祐
손명순,孙命顺
이하나,李荷娜
최성환 (축구 선수),崔成焕
안영명,安永命
서재응,徐在應
정진운,鄭珍云
마광수,馬光洙
김병만,金炳萬
김봉수 (테니스 선수),金奉洙
김병주 (유도 선수),金炳周
황신혜,黃薪惠
최정원 (쇼트트랙 선수),崔贞洹
김영남 (레슬링 선수),金永南·(摔跤运动员)
정은우 (배우),鄭恩宇
김애란,金愛爛
김보연,金甫娟
박유환,朴有煥
민지아,閔智雅
윤주희,尹周熙
김유빈 (2005년),金幼彬
김병준 (1954년),金秉準
강남 (가수),康男
유지인,俞知仁
빅터 샤카,域陀·沙克亞
이소정 (배우),李昭正
이철우 (1955년),李喆雨
이헌재,李宪宰
남현희,南贤喜
이상우 (배우),李尚禹
윤옥희,尹玉姬
당예서,唐汭序
안조영,安祚永
박경림,朴京林
김태우 (1981년),金泰宇
변희봉,邊希峰
권상우,權相佑
김종민,金鍾旼
김용대 (축구인),金龍大
한예슬,韓藝瑟
한송이 (배구 선수),韓松伊
김담민,金潭民
안소희,安昭熙
이순재,李順載
선예,先藝
핫펠트,譽恩
김효진 (배우),金孝珍·(1984年)
김이나,金伊娜
김두관,金斗官
김다솜 (배우),多順
박신혜,朴信惠
윤일록,尹日錄
정하나,鄭河娜
최완규 (작가),崔完圭
손현주,孫賢周
정몽헌,鄭夢憲
안치홍,安致弘
최향남,崔香男
허영란,許英蘭
최여진,崔汝珍
서지석,徐芝釋
문국현,文國現
이민우 (배우),李珉宇
김영진 (1947년),金泳鎮
이범호,李杋浩
윤혜영 (양궁 선수),允惠英
오길남,吳吉男
김성균 (배우),金成均
최강희 (배우),崔江姬
김관용,金寬容
도지한,都枝寒
서호진,徐昊辰
백건우,白建宇
유건 (배우),劉建·(演員)
남녀공학 (음악 그룹),男女共學·(音樂團體)
양익준,梁益準
이지현 (1983년),李智賢·(1983年)
박정수 (배우),朴貞洙
마동석,馬東石
공민지,孔旻智
하승진,河昇鎮
고우영,高羽榮
김문수 (정치인),金文洙
서정원,徐正源
오만석 (1974년),吳萬石
최용수,崔龙洙
이재룡,李在龍
박철수 (영화 감독),朴哲洙
임혁,林赫
고재성,高在成
송옥숙,宋玉淑
이태성,李太成
김민우 (축구 선수),金敃友
김규리 (1979년 8월),金奎吏
장대환,張大煥
이종찬 (1936년),李鍾贊
알렉스 (가수),秋憲坤
김신조,金新朝
고주원,高周元
손원일,孙元一
김희진 (배구 선수),金姬真
이종혁 (배우),李鐘赫·(1974年)
김호준 (축구 선수),金鎬浚
김희정 (펜싱 선수),金熙正
김호동,金浩东
정대영 (배구 선수),鄭大永
박무직,Boichi
심영성,沈永星
현기영,玄基榮
장태완,張泰琓
임효숙,林孝琡
조동혁,趙東赫
박미선,朴美善
고창현,高昌賢
서신애,徐信愛
곽정욱,郭正旭
한화수,韩和洙
진지희,陳智熙
젤로,ZELO
김하은 (배우),金賀恩
김구라,金九拉
김학순 (여성운동가),金學順
김고은,金高銀
박윤재,朴胤載
한상진 (배우),韓尚進
홍은희,洪銀姬
이태임,李泰林
전혜진 (1988년),全惠璡
배민희 (배우),裴民熙
노영학,盧英學
김민경 (1981년 8월),金玟鏡
김나영 (피겨스케이팅 선수),金罗英
기태영,奇太映
정태우,鄭泰祐
김형준 (1987년),金亨俊
유영철,柳永哲
이진욱,李陣郁
Key (가수),Key·(歌手)
이재원 (가수),李載沅
차동민,车东旻
김택수 (탁구 선수),金泽洙
이태란,李泰蘭
김소영 (배드민턴 선수),金昭映
송영길 (정치인),宋永吉
린아,上美Lina
바다 (가수),Bada·(歌手)
강성훈,姜成勳
선미,宣美
지현우,智鉉寓
이기붕,李起鹏
이영도,李榮道
손은서,孫恩書
최정 (야구 선수),崔廷
김현철 (1901년),金显哲
현홍주,玄鴻柱
스티븐 연,史蒂文·連
붐 (방송인),Boom·(藝人)
김지석 (배우),金知碩
이병훈 (연출가),李丙勳
문종업,文鐘業
수현 (배우),金秀賢·(女演員)
정선민,郑先民
강두,姜斗
김혜림 (펜싱 선수),金惠琳·(击剑运动员)
진태현,陳泰賢
지창욱,池昌旭
이진 (1980년),李真·(韓國藝人)
김종국 (야구인),金鍾國·(棒球運動員)
김진서 (피겨스케이팅 선수),金鎮瑞
이춘헌,李春宪
이재민 (축구 선수),李在敏
김인권,金吝勸
이수남,李秀男
김재덕 (가수),金在德
김재환 (야구 선수),金宰煥
김조광수,金趙光秀
최정윤,崔贞允
김희애,金喜愛
정유미 (1984년),鄭柔美
이기우 (배우),李己雨
민효린,闵孝琳
김지운 (영화 감독),金知雲
김해숙,金海淑
종현,鐘鉉
송강호,宋康昊
박준형 (가수),朴俊炯
이미연 (배우),李美妍
데니 안,安信源
박주봉,朴柱奉
심혜진,沈惠珍
허이재,許怡才
심은경,沈恩敬
김동현 (격투기 선수),金東炫
유니 (가수),U;Nee
이범석 (1900년),李範奭
이만희 (종교인),李万熙
정재성 (배드민턴 선수),鄭在成
이현일 (배드민턴 선수),李炫一
홍인영,洪仁永
넬슨 신,申奈舜
김법민 (양궁 선수),金法旼
박세라 (펜싱 선수),朴世摞
고두심,高斗心
김충현,金忠顯
홍진영,洪真英
성동일,成東鎰
김광선 (권투 선수),金光善
최영진 (1948년),崔英镇
문형진,文亨进
이철승 (탁구 선수),李哲承·(乒乓球运动员)
김종신 (레슬링 선수),金钟信
김기택 (탁구 선수),金琦澤
박성수 (양궁 선수),朴成洙
윤재영,尹在荣
전인수,田仁秀
최동훈 (영화 감독),崔東勳
박석민,朴錫珉
박건형,朴建炯
이소라 (가수),李素羅
김채화,金彩華
공덕귀,孔德貴
추상미,秋相微
김혜선 (배우),金惠仙
정동하,鄭東河
문정희 (배우),文晶熙
임하룡,林河龍
길 (가수),吉成俊
솔비,權志晏
이채영 (배우),李倸英
심수봉,沈守峰
김광석,金光石
김혜자,金惠子
유채영,劉彩英
임재범,任宰範
지청천,池青天
정부경,郑富竞
윤태영 (배우),尹泰榮
장세동,張世東
이길훈,李吉勛
홍석현,洪锡炫
강희찬 (탁구 선수),姜熙灿
사오리 (방송인),張佐緒里
윤성환,尹盛桓
백현만,白贤万
이기찬 (가수),李基燦
이경영 (1960년),李璟榮
홍경민,洪京民
김주영 (1988년),金周荣
김중업,金重业
최재성 (배우),崔宰誠
장수원,張水院
김규리 (1979년 6월),金奎梨
천호진,千虎珍
마야 (가수),Maya·(歌手)
임정희,林正姬
류승룡,柳承龍
지상렬,池相烈
이창호,李昌鎬
테이,Tei
지만원,池万元
유상철,柳想鐵
정다빈 (1980년),鄭多彬·(1980年)
하태권,河泰权
최민식,崔岷植
홍상수,洪常秀
김동문,金东文
김민수 (격투기 선수),金岷秀
이호석 (쇼트트랙 선수),李昊锡
곽재용,郭在容
조훈현,曹薰铉
조윤정 (테니스 선수),赵伦贞
조광래,趙廣來
정지현 (레슬링 선수),郑智铉
이승배 (권투 선수),李承培
켄지,Kenzie
주현,朱鉉
이참,李參·(韓國)
하희라,夏希羅
김민종,金旻鍾
알렌킴,金起範·(1990年)
메이슨 문 무어하우스,文梅森
이준익,李濬益
서동원 (배우),徐東沅
오민석,吳珉錫
박준 (프로게이머),Lyn
김민재 (역도 선수),金珉在
박선영 (1976년생 배우),朴宣英
박건우 (배우),朴健泰
김용식 (1913년),金溶植
정호용,郑镐溶
신애라,辛愛羅
채명신,蔡命新
이태곤 (배우),李太坤
모윤숙,毛允淑
이용찬 (야구 선수),李庸燦
정홍원,鄭烘原
황우여,黃祐呂
김경훈 (태권도 선수),金景勋
윤제문,尹帝文
김남주 (가수),金南珠·(歌手)
조경환 (배우),趙卿煥
김상호 (배우),金相浩
김선영 (유도 선수),金善永
김서영 (수영 선수),金瑞英
김승규 (법조인),金昇圭
김수경 (역도 선수),金秀琼
김승규 (축구 선수),金承奎
장신영,張伸瑛
진구,晉久
이규로,李奎鲁
이영훈 (배우),李英勳
정승화,鄭昇和
김석원 (군인),金錫源
이창훈 (1966년),李昌勳
정진영,鄭進永
김상중,金相中
김옥숙,金玉淑
최원홍,崔元洪
전미선,全美善
나문희,羅文姬
양뢰성,杨礼圣
김기현 (성우),金基賢·(演員)
김계령,金季昑
김윤석 (배우),金倫奭
채동욱,蔡东旭
김종일 (육상 선수),金钟镒
김민석 (탁구 선수),金珉錫
김민지 (배우),金珉志
김명휘,金明辉
공효진,孔曉振
신혜성,申彗星
Jun. K,金閔俊
차유람,車游嵐
송일국,宋一國
박희순,朴喜洵
이홍기,李洪基
박정민 (가수),朴政珉
소지섭,蘇志燮
윤계상,尹啟相
장이욱,張利郁
이상윤 (배우),李相侖
임창정,任昌丁
이원복 (만화가),李元馥
천정명,千正明
정현욱,鄭現旭
의민태자,李垠
박효신,朴孝信
소연 (1987년),朴昭妍
김민희 (1982년),金珉禧
왕빛나,王嬪娜
조성민 (야구인),趙成珉
성철,性徹
신동욱 (배우),申東旭
양미경,梁美京
김활란,金活蘭
노병준,卢炳俊
윤후명,尹厚明
박한이,朴漢伊
조양호,趙亮鎬
조혜련,趙惠蓮
장윤주,張允柱
감우성,甘宇成
김성령,金成鈴
이수성 (1939년),李寿成·(韩国)
나타나에우 지 소자 산투스 주니오르,纳塔纳尔·德索萨·桑托斯
김태군 (야구 선수),金泰君
조성진 (피아니스트),赵成珍
김성규 (가수),金聖圭
김민형 (수학자),金明迥
소야 (가수),Soya
문희 (배우),文姬
박정빈,朴貞彬
타루,Taru·(歌手)
민룡,闵龙
김소리,Sori
나경원,羅卿瑗
문성현 (정치인),文成賢
류중일,柳仲逸
나성범,羅成範
명지연,明志娟
서현진 (배우),徐玄振
이승효,李承洨
아드리아누 슈바,艾杜安奴·祖華
이청아,李清娥
서도영,徐道永
박기웅,朴基雄
김지훈 (1981년생 배우),金智勳
홍석천,洪錫天
이재진 (1979년),李宰鎮
이정우 (탁구 선수),李廷祐
강풀,姜草
유수영,Shoo
김유리 (1984년),金釉利
박해민,朴海旻
박항서,朴恒绪
박희수 (야구인),朴熙洙
배누리,裴盧麗
오하영 (가수),吳夏榮
배현진,裴賢鎮
곽희성,郭熙聖
권갑용,權甲龍
신해철,申海澈
김남주 (배우),金南珠·(1971年)
박재명,朴财明
안재환 (배우),安在焕
린 (가수),Lyn·(歌手)
송지효,宋智孝
윤진서,尹珍序
지진희,池珍熙
황석영,黃皙暎
이정길 (1944년),李正吉
이만희 (영화 감독),李晚熙
도끼 (가수),Dok2
하태균,河太均
이호성 (1967년),李昊星
하대성,河大成
제아,金孝珍·(歌手)
박장순,朴章洵
양현종,梁玹種
곽지민,郭智敏
조혜연,赵惠连
김병준 (쇼트트랙 선수),金秉俊
서민정,徐敏貞
문익환,文益焕
조여정,曹汝貞
심석희,沈錫希
최문순 (1956년),崔文洵
김서라,金曙曪
이연희,李沇熹
이현 (1983년),李賢·(韓國歌手)
안재욱,安在旭
임예진,林藝真
조한선,趙漢善
미나 (1973년),沈敏雅
이덕화,李德华
선우휘,鮮于輝
김연우,金煙雨
김원진 (펜싱 선수),金垣晋
김원준,金元俊
김영옥 (농구 선수),金英玉·(篮球运动员)
김태호 (연출가),金泰浩
김영철 (배우),金永哲·(1953年)
성재기 (활동가),成在基
김태민 (축구인),金泰敏
백현 (가수),伯賢
오반석,吳反錫
김석수,金硕洙
손대호,孫大鎬
장건상,张建相
이유진 (1977년),李幼貞
현지혜,玄智慧
송하윤,宋昰昀
최남선,崔南善
안상홍,安商洪
남궁원,南宮遠
니키 양,尼基·楊
하유정,河俊任
정웅인,鄭雄仁
기욤 패트리,紀堯姆·帕特里
곽상훈,郭尚勳
전태수,田汰遂
고종욱,高宗郁
구준엽,具俊曄
고기구,高基衢
고창석,高昌錫
온주완,溫朱莞
김상수 (1990년),金相豎
차우찬,車雨燦
노지훈,盧志勳
안병훈 (골프 선수),安秉勋
안창남,安昌男
백성동,白星東
정석원 (배우),鄭錫元
진필중,陈弼重
박종우 (1989년),朴鍾佑
권소현,權昭賢
강혜정,姜惠貞
김지연 (펜싱 선수),金智妍·(击剑运动员)
이승현 (1985년 7월),李升炫
KCM,KCM
권혁 (야구인),權奕
덕혜옹주,德惠翁主
김정훈 (1980년),金楨勳
김현우 (레슬링 선수),金炫雨
이하늬,李荷妮
김형칠,金亨七
양방언,梁邦彦
김유진 (1983년생 축구인),金裕晋
홍정호 (핸드볼 선수),洪廷昊
오하나,吴荷娜
박지호 (축구인),朴志镐
박진수 (축구인),朴鎮琇
이창근 (축구 선수),李昌根·(足球運動員)
박혜원 (쇼트트랙 선수),朴慧园
이보희,李甫姬
박재상,朴哉相
우선희,禹仙姬
전상균,全商扦
최명훈,崔明勳
형민우,邢民友
강소라,姜素拉
류시훈,柳時熏
김정렴,金正濂
양파 (가수),Yangpa
백지훈,白智勳
예지원,芮智媛
최철호,崔哲浩
