George Washington,조지 워싱턴
Noam Chomsky,노엄 촘스키
Frank Lloyd Wright,프랭크 로이드 라이트
Janis Joplin,재니스 조플린
Michelle Obama,미셸 오바마
Boris Kolker,보리스 콜케르
Jimi Hendrix,지미 헨드릭스
Justin Gatlin,저스틴 게이틀린
David Neville,데이비드 네빌
David Payne,데이비드 페인
"Jon Huntsman, Jr.",존 헌츠먼
Charles Lindbergh,찰스 린드버그
Greta Garbo,그레타 가르보
Ernst Mayr,에른스트 마이어
Angelina Jolie,안젤리나 졸리
Shafrira Goldwasser,샤피 골드와서
Enrico Fermi,엔리코 페르미
Betty Holberton,베티 홀버튼
Susan L. Graham,수전 L. 그레이엄
David Oliver,데이비드 올리버
Will Claye,윌 클레이
Grey DeLisle,그레이 딜라일
Eminem,에미넴
Bart Simpson,바트 심슨
Andy Warhol,앤디 워홀
Nikola Tesla,니콜라 테슬라
Louis Armstrong,루이 암스트롱
Aries Merritt,에리스 메릿
Lisa Simpson,리사 심슨
Chuck Berry,척 베리
Trey Hardee,트레이 하디
DeeDee Trotter,디디 트로터
Dan O'Brien,댄 오브라이언
Tony Romo,토니 로모
Henry Ford,헨리 포드
Stanley Kubrick,스탠리 큐브릭
Nikki Haley,니키 헤일리
Jack Nicklaus,잭 니클라우스
Arnold Palmer,아널드 파머
Gerald Ford,제럴드 포드
Marcel Duchamp,마르셀 뒤샹
Christian Taylor,크리스천 테일러
Ella Fitzgerald,엘라 피츠제럴드
Pete Sampras,피트 샘프러스
Cyndi Lauper,신디 로퍼
Walter Dix,월터 딕스
Shawn Crawford,숀 크로퍼드
Margaret Hamilton,마거릿 해밀턴 (과학자)
Jason Richardson,제이슨 리처드슨
Félix Sánchez,펠릭스 산체스
Moby,모비
Reese Hoffa,리스 호파
James Brown,제임스 브라운
Neil Armstrong,닐 암스트롱
Grace Hopper,그레이스 호퍼
Tim Lincecum,팀 린스컴
Judy Garland,주디 갈런드
Madonna,마돈나
Bode Miller,보디 밀러
LaShawn Merritt,라숀 메릿
Jeremy Wariner,제러미 워리너
Allyson Felix,앨리슨 펠릭스
Sanya Richards-Ross,사냐 리처즈
Richard Nixon,리처드 닉슨
Andrew Cuomo,앤드루 쿠오모
Bernard Madoff,버나드 매이도프
Mark Sanford,마크 샌퍼드
Diane Greene,다이앤 그린
Carmelita Jeter,카멜리타 지터
Aaron Sopher,에런 소퍼
Marissa Mayer,마리사 마이어
Lindsay Davenport,린지 대븐포트
Buddy Holly,버디 홀리
Jennifer Capriati,제니퍼 카프리아티
Eddie Cochran,에디 코크란
Erik Kynard,에릭 키너드
Meredith L. Patterson,메러디스 L. 패터슨
Brownie Mary,브라우니 메리
John F. Kennedy,존 F. 케네디
President of the United States,미국의 대통령
Snoop Dogg,스눕 독
Ashton Eaton,애슈턴 이턴
Sarah Allen,세라 앨런
Dawn Harper-Nelson,돈 하퍼넬슨
Buzz Aldrin,버즈 올드린
George Pataki,조지 퍼타키
50 Cent,50 센트
Dr. Dre,닥터 드레
Jim Hodges,짐 호지스
Chris Evert,크리스 에버트
John Boehner,존 베이너
Pharrell Williams,퍼렐 윌리엄스
David Paterson,데이비드 패터슨
Eliot Spitzer,엘리엇 스피처
Tupac Shakur,투팍 샤커
Frances Allen,프랜시스 E. 앨런
Katherine Johnson,캐서린 존슨
Hanna R. Hall,Hanna R. Hall
Margo Seltzer,마고 셀저
Allen Ginsberg,앨런 긴즈버그
Lance Armstrong,랜스 암스트롱
Anita K. Jones,어니타 K. 존스
Bill Hader,빌 헤이더
Sharon Van Etten,샤론 밴 이튼
Liza Minnelli,라이자 미넬리
Terry Callier,테리 칼리어
Tracy Morgan,트레이시 모건
Joe Biden,조 바이든
Edward Teller,에드워드 텔러
John Romita Jr.,존 로미타 주니어
Johanna Braddy,조해나 브래디
Chuck Norris,척 노리스
Lyndon B. Johnson,린든 B. 존슨
Tom Hanks,톰 행크스
Phoebe Cates-Kline,Phoebe Cates Kline
Chet Baker,쳇 베이커
John Doggett,존 도깃
Hillary Clinton,힐러리 클린턴
Johnny Nash,조니 내시
Kerron Clement,케론 클레멘트
Bershawn Jackson,버숀 잭슨
David Lynch,데이비드 린치
Arnold Schwarzenegger,아널드 슈워제네거
Aloe Blacc,앨로 블랙
Melvin Calvin,멜빈 캘빈
Dwight D. Eisenhower,드와이트 D. 아이젠하워
Laura Berg,로라 버그
Lil Wayne,릴 웨인
Bruce Willis,브루스 윌리스
Fred Armisen,프레드 아미슨
Seth Meyers,세스 마이어스
Fox Mulder,폭스 멀더
Alfred Hitchcock,앨프리드 히치콕
Ellen Swallow Richards,엘런 스월로 리처즈
James Bryant Conant,제임스 브라이언트 코넌트
Ronald Reagan,로널드 레이건
Igor Stravinsky,이고리 스트라빈스키
Jacob Appelbaum,제이컵 애플바움
Herbert Matthews,허버트 매슈스
Ron Paul,론 폴
Minnie Bruce Pratt,미니 브루스 프랫
Éva Tardos,터르도시 에버
Dana Scully,데이나 스컬리
Daniel Morgan,대니얼 모건
Dale Dye,데일 다이
Edwin Moses,에드윈 모지스
Bob Mathias,밥 머사이어스
Pauline Newman,폴린 뉴먼
Wilma Olson,윌마 올슨
Mark Twain,마크 트웨인
Michael Chekhov,미하일 체호프
Dizzy Gillespie,디지 길레스피
Louis C.K.,루이스 C.K.
Dana Scott,데이나 스콧
Andrew Rubin,앤디 루빈
Jason Sudeikis,제이슨 수데이키스
Tina Fey,티나 페이
Andre Agassi,안드레 아가시
Geoffrey Arend,제프리 애런드
Geronimo,제로니모
William Thomas Hamilton,윌리엄 T. 해밀턴
Angelo Taylor,안젤로 테일러
James Rector,제임스 렉터
Elmer McCollum,엘머 매콜럼
Leonard Nimoy,레너드 니모이
Lindsey Vonn,린지 본
Kanye West,카니예 웨스트
James T. Kirk,제임스 T. 커크
Humphrey Bogart,험프리 보가트
Maxine Singer,맥신 싱어
Sasha Grey,사샤 그레이
Curtis LeMay,커티스 르메이
Cass Elliot,캐스 엘리엇
Patsy O'Connell Sherman,패치 오코널 셔먼
Ginni Rometty,버지니아 로메티
Bob Beamon,밥 비먼
LL Cool J,LL 쿨 J
RZA,RZA
Parry O'Brien,패리 오브라이언
Al Oerter,앨 오터
Ricky Paull Goldin,릭키 폴 골딘
Randy Pausch,랜디 포시
Ray William Johnson,레이 윌리엄 존슨
DeForest Kelley,드포레스트 켈리
Richard Stallman,리처드 스톨먼
Michael Jackson,마이클 잭슨
Hilda Solis,힐다 솔리스
Charles K. Kao,찰스 K. 가오
Ira Sachs,아이라 잭스
Susan Rice,수전 라이스
Amelia Earhart,어밀리아 에어하트
Jesse Owens,제시 오언스
Bruce Lee,이소룡
Tommie Smith,토미 스미스
Ed O'Neill,에드 오닐
Jacqueline Cochran,재클린 코크런
Kaley Cuoco,케일리 쿼코
John Coltrane,존 콜트레인
Alice Y. Ting,앨리스 Y. 팅
Paul Simon,폴 사이먼
Kevin Rudolf,케빈 루돌프
"Albert II, Prince of Monaco",알베르 2세
Dan Brown,댄 브라운
Bill Graves,빌 그레이브
Solomon Burke,솔로몬 버크
Grace Kelly,그레이스 켈리
Sherry Turkle,쉐리 터클
Claudia Wells,클로디아 웰스
Charles Simonyi,찰스 시모니
Duke Ellington,듀크 엘링턴
Michael Morhaime,마이클 모하임
Otto Preminger,오토 프레민저
Patrick Conley,패트릭 콘리
Leonard B. Jordan,레너드 B. 조던
Viktor Hamburger,빅토어 함부르거
King Vidor,킹 비도어
Libby Smith,리비 스미스
Ana Lucia Cortez,아나 루시아 코츠
Brian Baker,브라이언 베이커
Pauline Betz,폴린 베츠
Steve Martin,스티브 마틴
Robert Mitchum,로버트 미첨
Quentin Tarantino,쿠엔틴 타란티노
Tara Strong,타라 스트롱
James Blake,제임스 블레이크
Madison Brengle,매디슨 브렝글
Heidi Heitkamp,하이디 하이트캠프
John McEnroe,존 매켄로
Louise Brough,루이즈 브로
Bob Bryan,밥 브라이언
John Ford,존 포드
Gail Williams,게일 윌리엄스
Edgar Allan Poe,에드거 앨런 포
Len Wein,렌 윈
Anousheh Ansari,아누셰흐 안사리
Matt Anger,맷 앵거
Dylan McDermott,딜런 맥더멋
Irma Wyman,어마 와이먼
Frances Yao,프랜시스 야오
D. W. Griffith,데이비드 와크 그리피스
Kayla Ewell,케일라 이웰
CeeLo Green,시로 그린
Ray Ewry,레이 유리
Mena Grabowski Trott,미나 트롯
Eberhard Hopf,에버하르트 호프
Mallory Burdette,맬러리 버뎃
Art Garfunkel,아트 가펑클
Sandra Fluke,산드라 플루크
Arthur Ashe,아서 애시
Tracy Austin,트레이시 오스틴
Donald Knuth,도널드 커누스
Miles Straume,마일즈 스트라움
James "Sawyer" Ford,제임스 소이어 포드
Walt Lloyd,월트 로이드
Hugo "Hurley" Reyes,휴고 헐리 레예스
Carl Esmond,칼 에즈먼드
Woody Guthrie,우디 거스리
Elisabeth Schüssler Fiorenza,엘리자베스 쉬슬러 피오렌자
Lauren Davis,로런 데이비스
Taylor Dent,테일러 덴트
Michael Chang,마이클 창
Harvey Milk,하비 밀크
Jim Courier,짐 쿠리어
Samantha Crawford,서맨사 크로퍼드
Soong May-ling,쑹메이링
Irina Falconi,이리나 팔코니
Mike Bryan,마이크 브라이언
Don Budge,돈 버지
George Stevens,조지 스티븐스
Dilshad Vadsaria,딜샤드 바드사리아
Maureen Connolly,모린 코널리
Jimmy Connors,지미 코너스
Richard Steven Horvitz,리처드 스티븐 호비츠
Mazie Hirono,메이지 히로노
Dwight Filley Davis Sr.,드와이트 F. 데이비스
Barbara O'Neil,바바라 오닐
Herb Gardner,허브 가드너
Julia Cohen,줄리아 코언
Mary Anderson,메리 앤더슨
Larry Semon,래리 서먼
Lois Nettleton,로이스 네틀턴
Sam Peckinpah,샘 페킨파
Steve Denton,스티브 덴턴
John M. Clayton,존 M. 클레이턴
Shirley Fry,셜리 프라이
John Cassavetes,존 카사베티스
Boone Carlyle,분 칼라일
Jack Shephard,잭 셰퍼드
Juliet Burke,줄리엣 버크
Oscar Robertson,오스카 로버트슨
M. Night Shyamalan,M. 나이트 샤말란
Rouben Mamoulian,루벤 마물리안
Tod Browning,토드 브라우닝
August Zirner,아우구스트 치르너
Anni Albers,아니 알버스
Elie Wiesel,엘리 위젤
Virginia D. Smith,버지니아 D. 스미스
Kurt Kasznar,커트 카스즈너
John von Neumann,존 폰 노이만
Sarah Bagley,세라 배글리
Kate Austen,케이트 오스틴
John Locke,존 로크
Michael Dawson,마이클 도슨
James Cooke Brown,제임스 쿡 브라운
Arnold Gesell,아널드 게젤
Shannon Rutherford,섀넌 러더퍼드
Frank Lapidus,프랭크 라피두스
Martin Keamy,마틴 키미
Christian Shephard,크리스찬 섀퍼드
Joseph E. Stiglitz,조지프 스티글리츠
Mardy Fish,마디 피시
Robert Siodmak,로버트 시오드맥
Rudi Gernreich,루디 게른라이히
Christopher Buchholz,크리스토퍼 부츠홀즈
Frank Capra,프랭크 카프라
Michael Curtiz,마이클 커티즈
Yasmine Bleeth,야스민 블리스
Rhoda Griffis,로다 그리피스
Thomas Jane,토머스 제인
William Wyler,윌리엄 와일러
Scott Glenn,스콧 글렌
N.O.R.E.,N.O.R.E
Zina Garrison,지나 개리슨
Vitas Gerulaitis,비터스 제럴라이티스
Frank Borman,프랭크 보먼
George A. Romero,조지 A. 로메로
Spike Lee,스파이크 리
Rebecca Black,리베카 블랙
Vincente Minnelli,빈센트 미넬리
Sam Witwer,새뮤얼 윗워
Steve Jablonsky,스티브 저블론스키
Mike Nichols,마이크 니컬스
James Ivory,제임스 아이보리
Henry Molaison,헨리 몰래슨
Barbara Jordan,바버라 조던
Bill Johnston,빌 존스턴
Steve Johnson,스티브 존슨
Pancho Gonzales,판초 곤살레스
Elias Boudinot,일라이어스 부디놋
Gregory Smith,그레고리 스미스
Chord Overstreet,코드 오버스트리트
Huntress,헬레나 버티넬리
Scott O'Dell,스콧 오딜
Janel Moloney,저넬 멀로니
Phil Niekro,필 니크로
Ryan Harrison,라이언 해리슨
Jamie Hampton,제이미 햄프턴
Darlene Hard,달린 하드
Doris Hart,도리스 하트
Helen Jacobs,헬렌 제이컵스
Sidney Lumet,시드니 루멧
Fritz Mahler,프리츠 말러
John Isner,존 이스너
J. P. Morgan,존 피어폰 모건
Carly Gullickson,칼리 걸릭슨
Tommy Haas,토미 하스
Franklin J. Schaffner,프랭클린 J. 섀프너
Skrillex,스크릴렉스
Patrick Davis,패트릭 데이비스
Howard Hawks,하워드 혹스
William Friedkin,윌리엄 프리드킨
Josh Lucas,조시 루커스
Alan J. Pakula,앨런 J. 퍼쿨러
Sydney Pollack,시드니 폴락
Miloš Forman,밀로시 포르만
Jeff Daniels,제프 대니얼스
Heinz Werner,하인츠 베르너
George Roy Hill,조지 로이 힐
John Huston,존 휴스턴
Ryan Newman,라이언 뉴먼
Frances Spence,프랜시스 스펜스
Ernst Lubitsch,에른스트 루비치
John Landis,존 랜디스
Dina Merrill,디나 메릴
Joseph L. Mankiewicz,조지프 L. 맹키위츠
Billy Wilder,빌리 와일더
Aida Turturro,아이다 터투로
Laurie Holden,로리 홀든
Peter DeLuise,피터 더루이즈
Nicolas Berggruen,니콜라스 베르그루엔
Zak Penn,잭 펜
Mario Molina,마리오 J. 몰리나
Art Larsen,아트 라슨
Swedish Americans,스웨덴계 미국인
Rupert Murdoch,루퍼트 머독
Joseph Hahn,조지프 한
Hans Heinrich von Twardowski,한스 하인리히 폰 트바르도프스
Laura Bush,로라
Caitlyn Taylor Love,케이틀린 테일러 러브
Jack Kramer,잭 크레이머
Tyler Cloyd,타일러 클로이드
Eric Wolf,에릭 울프
Stefan Sagmeister,슈테판 자그마이스터
Mike Shinoda,마이크 시노다
Lex Luger,렉스 루거
Dave Farrell,데이브 파렐
Gregory Itzin,그레고리 이친
Luise Rainer,루이제 라이너
Dakota Fanning,다코타 패닝
Jerome Bruner,제롬 브루너
Sam Querrey,샘 퀘리
Bobby Riggs,바비 릭스
Chester Bennington,체스터 베닝턴
Daniel Lewis Williams,대니얼 루이스 윌리엄스
Hawkeye,호크아이
Henry Fonda,헨리 폰다
Samuel P. Huntington,새뮤얼 P. 헌팅턴
Helen Wills,헬렌 윌스
Victor Papanek,빅터 파파넥
Danny Nucci,대니 누치
Martina Navratilova,마르티나 나브라틸로바
David Geffen,데이비드 게펀
Billie Jean King,빌리 진 킹
Alice Marble,앨리스 마블
Kirstie Alley,커스티 앨리
Josephine Baker,조세핀 베이커
Rod Blagojevich,로드 블라고예비치
John Tsang,존 창
Liberty Hyde Bailey,리버티 하이드 베일리
Edwin McMillan,에드윈 맥밀런
Alessandra Ambrosio,알레산드라 암브로지우
Ariana Grande,아리아나 그란데
Chuck McKinley,척 매킨리
Ralph McKittrick,랠프 매키트릭
Grace Min,그레이스 민
Gui-Qiang Chen,천구이창
Fritz Zwicky,프리츠 츠비키
Maya Angelou,마야 앤절로
Robert Kendrick,로버트 켄드릭
Leonard Bernstein,레너드 번스타인
Bill Goldberg,빌 골드버그
Peter Francis James,피터 프랜시스 제임스
The Boogeyman,마티 라이트
Bob Lutz,로버트 앤서니 루츠
Jacob L. Moreno,야코브 레비 모레노
Gottfried Haberler,고트프리트 하벌리
Andy Roddick,앤디 로딕
Brad Delson,브래드 델슨
Vic Seixas,빅 셰이셔스
Giorgos Papandreou,요르요스 파판드레우
Betsy Jones-Moreland,베치 존스모얼랜드
Rob Bourdon,롭 버든
Tom Savini,톰 새비니
James Fauntleroy II,제임스 폰틀로이
Pancho Segura,판초 세구라
Budge Patty,버지 패티
Al Gore,앨 고어
Jerry Brown,제리 브라운
Theodor W. Adorno,테오도어 아도르노
Lizard,리저드
David Zinman,데이비드 진먼
Christian York,크리스천 요크
Bill Anders,빌 앤더스
Fritz Lang,프리츠 랑
Meghann Shaughnessy,메이건 쇼너시
Pam Shriver,팸 슈라이버
Robert Capa,로버트 카파
Ron Canada,론 캐나다
George Tabori,조지 타 보리
Hurl Beechum,헐 비첨
Todd Martin,토드 마틴
Bethanie Mattek-Sands,베서니 매틱샌즈
Amelia Shepherd,어밀리아 셰퍼드
Sophie Tucker,소피 터커
Stan Smith,스탠 스미스
James Gordon,제임스 고든
Alexa PenaVega,얼렉서 베가
Jay Rock,제이 록
Alexandra Nechita,알렉산드라 네치타
Erica Hahn,에리카 한
David Coverdale,데이비드 커버데일
William Sadler,윌리엄 새들러
Roscoe Tanner,로스코 태너
Brian Teacher,브라이언 티처
Jacob Marschak,제이코브 마르샤크
Gregor Wentzel,그레고어 벤첼
Charles Sands,찰스 샌즈
Dick Savitt,딕 새빗
Eben Alexander,이븐 알렉산더
Philip Schaff,필립 샤프
Josh Duhamel,조시 더멜
James Stavridis,제임스 G. 스타브리디스
Jay Asher,제이 애셔
Michaela Conlin,미카엘라 콘린
Brad Renfro,브래드 렌프로
Steve Jobs,스티브 잡스
Alex Borstein,앨릭스 보스틴
John Demjanjuk,이반 데미야뉴크
Betty Hutton,베티 허튼
Joachim Wach,요아힘 와흐
Louise Brooks,루이즈 브룩스
Amy Acker,에이미 애커
Abigail Spears,애비게일 스피어스
Sloane Stephens,슬로안 스티븐스
Larry Wall,래리 월
Alexey Pajitnov,알렉세이 파지트노프
Keri Hilson,케리 힐슨
Ryan Sweeting,라이언 스위팅
Lady Gaga,레이디 가가
Bill Tilden,빌 틸든
Tony Trabert,토니 트래버트
Joe Pesci,조 페시
Henry Wadsworth Longfellow,헨리 워즈워스 롱펠로
CoCo Vandeweghe,코코 밴더웨이
Ellsworth Vines,엘즈워스 바인스
Onondaga Nation,오논다가족
Porter Robinson,포터 로빈슨
Cynthia Breazeal,신시아 브리질
Richard Norris Williams,리처드 노리스 윌리엄스
Meat Loaf,미트 로프
Sidney Wood,시드니 우드
Trace Cyrus,트레이스 사이러스
Noah Cyrus,노아 사이러스
Brian Kernighan,브라이언 커니핸
Fred Brooks,프레더릭 브룩스
Helen Blanchard,헬렌 블랜처드
Susan Sontag,수전 손택
Donald Young,도널드 영
Fay Bainter,페이 베인터
Edgar F. Codd,에드거 F. 커드
Nicholas Negroponte,니콜라스 네그로폰테
Josh Stewart,조시 스튜어트
Jack Sock,잭 속
Johnny Simmons,조니 시먼스
John Hay,존 헤이
Scatman John,스캣맨 존
Valdas Adamkus,발다스 아담쿠스
George Irving,조지 어빙
Alice Lake,앨리스 레이크
Shane Carwin,셰인 카윈
Bev Perdue,베브 퍼듀
Robert J. Van de Graaff,로버트 J. 밴더그래프
Yoko Ono,오노 요코
John Carmack,존 카맥
Jim Gray,짐 그레이
Helen Gahagan Douglas,헬렌 가하간
Andrew S. Tanenbaum,앤드루 타넨바움
Frank Abagnale,프랭크 애버그네일
Edith Clarke,이디스 클라크
Al St. John,알 세인트 존
Josiah Willard Gibbs,조사이어 윌러드 기브스
Richard Hamming,리처드 해밍
Bjarne Stroustrup,비야네 스트롭스트룹
Robert Altman,로버트 올트먼
Haskell Curry,해스켈 커리
Richard M. Karp,리처드 M. 카프
Lisa Murkowski,리사 머카우스키
Blanche Baker,블랜치 베이커
Michelle Johnson,미쉘 존슨
Leslie Lamport,레슬리 램포트
Douglas Engelbart,더글러스 엥겔바트
Maria Cantwell,마리아 캔트웰
Claire McCaskill,클레어 매캐스킬
Jack Steinberger,잭 스타인버거
Leó Szilárd,레오 실라르드
Richard Lyons,리처드 라이언스
Michaela McManus,미카엘라 맥마누스
Mae Marsh,메이 마시
Kelly Ayotte,켈리 에이욧
Michele Merkin,미첼 멀킨
Ben Turpin,벤 터핀
Robert W. Floyd,로버트 플로이드
Butler Lampson,버틀러 램슨
Lindsey Graham,린지 그레이엄
Amy Klobuchar,에이미 클로버샤
Kurt Weill,쿠르트 바일
Anna Margaret,애나 마거릿
Brendan Eich,브렌던 아이크
Hans Reiser,한스 라이저
Jeff Kahn,제프 칸
John Robert Schrieffer,존 로버트 슈리퍼
Susan Collins,수전 콜린스
Dan Bricklin,댄 브리클린
Raymond Tomlinson,레이 톰린슨
John Cocke,존 코크
Fernando J. Corbató,페르난도 J. 코바토
Manuel Blum,마누엘 블럼
John Kerry,존 케리
Paul Baran,폴 배런
Susan Wojcicki,수전 보이치츠키
Meg Whitman,메그 휘트먼
Jenna Bush Hager,제나 부시 헤이거
Mae Busch,메이 부시
Olympia Snowe,올림피아 스노
Oprah Winfrey,오프라 윈프리
Jamie Lynn Spears,제이미 린 스피어스
Kirsten Gillibrand,키어스틴 질리브랜드
Roberta Williams,로버타 윌리엄스
Stephanie Wilson,스테퍼니 윌슨
Ray Ozzie,레이 오지
Robert Tarjan,로버트 타잔
Gertrude Abercrombie,거트루드 에이버크롬비
Stephen Sondheim,스티븐 손드하임
Gary Kildall,게리 킬달
Juris Hartmanis,유리스 하르트마니스
Wiz Khalifa,위즈 칼리파
Christos Papadimitriou,크리스토스 파파디미트리우
Taylor Lautner,테일러 로트너
Sunita Williams,수니타 윌리엄스
Shawn Fanning,숀 패닝
Andrei Konchalovsky,안드레이 콘찰로프스키
Fanny Brice,패니 브라이스
Charles Stevens,찰스 스티븐스
Mary McDonnell,메리 맥도널
William Dieterle,윌리엄 디터리
Fred Zinnemann,프레드 진네만
Tay Zonday,테이 존데이
Charles Laughton,찰스 로턴
Jeremy Renner,제러미 레너
Roy Raymond,로이 레이먼드
Fred Niblo,프레드 니블로
Linh Nga,응우옌린응아
Elinor Ostrom,엘리너 오스트롬
Missy Franklin,미시 프랭클린
Jack Dongarra,잭 동가라
Richard E. Nisbett,리처드 E. 니스벳
Justin Cronin,저스틴 크로닌
Freeman Dyson,프리먼 다이슨
Paul Carr,폴 카
John Henry Holland,존 헨리 홀랜드
David D. Clark,데이비드 D. 클라크
Daniel Libeskind,대니얼 리버스킨드
Lorin Maazel,로린 마젤
Walter Savitch,월터 사비치
Tim Burton,팀 버턴
Kip Miller,킵 밀러
Dexter Gordon,덱스터 고든
Katharine Hepburn,캐서린 헵번
Donna Nelson,도나 넬슨
Little Milton,리틀 밀턴
Ernest Hemingway,어니스트 헤밍웨이
Brad Johnson,브래드 존슨
Barnum Brown,바넘 브라운
