Россия,러시아
Меленки,멜렌키
Менделеевск,멘델레옙스크
Миллерово,밀레로보
Мензелинск,멘젤린스크
Мещовск,메숍스크
Аскинский район,아스킨스키군
Проблема принадлежности южных Курильских островов,쿠릴 열도 분쟁
Горнолыжный спорт на зимних Олимпийских играх 2014,2014년 동계 올림픽 알파인스키
Волосово,볼로소보
Бокситогорск,복시토고르스크
Болхов,볼호프 (오룔주)
Болохово,볼로호보
Большой Камень,볼쇼이카멘
Бор (Нижегородская область),보르 (니즈니노브고로드주)
Борзя,보르자 (도시)
Георгиевск,게오르기옙스크
Ледовое побоище,페이푸스호 전투
Минеральные Воды,미네랄니예보디
Минусинск,미누신스크
Волхов,볼호프강
Волхов (город),볼호프
Всеволожск,프세볼로시스크
Высоцк,비소츠크
Мичуринск,미추린스크
Михайлов (город),미하일로프 (랴잔주)
Можайск,모자이스크
Улан-Удэнский авиационный завод,울란우데 항공기 공장
Мужская сборная России по баскетболу,러시아 농구 국가대표팀
Москва (футбольный клуб),FC 모스크바
Ивангород,이반고로드
Каменногорск,카멘노고르스크
Донецк (Россия),도네츠크 (러시아)
Миасс,미아스
Каменск-Уральский,카멘스크우랄스키
Кировск (Ленинградская область),키롭스크 (레닌그라드주)
Кингисепп,킨기세프
Лодейное Поле,로데이노예폴레
Новая Ладога,노바야라도가
"Мирный (город, Архангельская область)",미르니 (아르한겔스크주)
Мирный (Якутия),미르니 (사하 공화국)
Семилуки,세밀루키
Урюпинск,우류핀스크
Мончегорск,몬체고르스크
Моршанск,모르샨스크
Мосальск,모살스크
Агинское,아긴스코예
Ладожское озеро,라도가호
Осетия,오세티야
Приморск (Ленинградская область),프리모르스크 (레닌그라드주)
Список европейских автомобильных маршрутов,유럽 고속도로
Остров Врангеля,브란겔섬
Чукотское море,축치해
Татарский пролив,타타르 해협
Раздольная (река),라즈돌나야강
Великий Устюг,벨리키우스튜크
Европейский маршрут E30,유럽 고속도로 30호선
Демянская операция (1942),데먄스크 포위전
Луга,루가 (레닌그라드주)
Немецкий национальный район,네메츠키 나치오날니 군
Казанский университет,카잔 연방 대학교
История России,러시아의 역사
Саки (город),사키 (도시)
Красноперекопск,크라스노페레콥스크
Первая лига России по футболу,러시아 풋볼 내셔널 리그
Смоленское сражение (1941),스몰렌스크 전투 (1941년)
Аграрная партия России,러시아 농업당
Тосно,토스노
Шлиссельбург,실리셀부르크
Суздаль,수즈달
Анапа,아나파
Темрюк,템류크
Курило-Камчатский жёлоб,쿠릴-캄차카 해구
ВКонтакте,VK (소셜 네트워크)
Мышкин,미시킨
AirBridgeCargo,에어브리지 카고 에어
Биатлон на зимних Олимпийских играх 2014,2014년 동계 올림픽 바이애슬론
Тихвин,티흐빈
Сосновый Бор (город),소스노비보르
Восточно-Сибирское море,동시베리아해
Херсонская область,헤르손주
Яблоко (партия),러시아 통일민주당
Айхал,아이할
Мценск,므첸스크
Ангара,안가라강
Главное управление Генерального штаба ВС РФ,러시아 정보총국
Шилка,실카강
Малый Хинган,샤오싱안링산맥
Казанский собор (Санкт-Петербург),카잔 대성당
Муром,무롬
1-я гвардейская танковая армия,제1근위전차군
Новороссийск,노보로시스크
Эльхотово,옐호토보
Алеутский жёлоб,알류샨 해구
Апшеронск,압셰론스크
Абинск,아빈스크
Вторая чеченская война,제2차 체첸 전쟁
День защитника Отечества,조국수호의 날
Кругобайкальская железная дорога,환바이칼 철도
Раменское,라멘스코예
Навашино,나바시노
Геленджик,겔렌지크
Армавир (Россия),아르마비르 (러시아)
Белореченск,벨로레첸스크
Юго-Восточный административный округ,남동부 행정구
Тобол,토볼강
Назрань,나즈란
Наро-Фоминск,나로포민스크
Называевск,나지바옙스크
Временное правительство России,러시아 임시정부
Русская освободительная армия,러시아 해방군
Плесецк (космодром),플레세츠크 우주 기지
Янтарный путь,호박의 길
Академия Наук (вулкан),아카데미야나우크산
Акелла,아켈라
Ак Барс (хоккейный клуб),아크 바르스 카잔
Лабинск,라빈스크
Крымск,크림스크
Черногорск,체르노고르스크
"Динамо (футбольный клуб, Москва)",FC 디나모 모스크바
Парк Горького (Москва),고리키 공원
Кольский полуостров,콜라반도
Герб России,러시아의 국장
Сербы,세르브인
Комсомольский-на-Амуре авиационный завод имени Ю. А. Гагарина,콤소몰스크나아무레 항공제작소
Хакасы,하카스인
Яковлев (компания),이르쿠트
Алания (футбольный клуб),FC 알라니야 블라디캅카스
Тихоокеанское вулканическое огненное кольцо,환태평양 조산대
Иртыш,이르티시강
Ялта,얄타
Невель,네벨
Онежское озеро,오네가호
Невельск,네벨스크
Невинномысск,네비노미스크
Союзное государство,러시아 벨라루스 연맹국
Фридландское сражение,프리틀란트 전투
Ахмат (футбольный клуб),FC 아흐마트 그로즈니
Камов (конструкторское бюро),카모프
Маканруши,마칸루시섬
Грузины,조지아인
Храм Василия Блаженного,성 바실리 대성당
Снежный человек,예티
Китайско-российские отношения,중러 관계
Катастрофа Ту-154 в Смоленске,폴란드 공군 Tu-154 추락 사고
Футуризм,미래주의
Первоуральск,페르보우랄스크
Административно-территориальное деление Ленинградской области,레닌그라드주의 행정 구역
Алтайцы,알타이인
Карачаевцы,카라차이인
Ненцы,네네츠인
Чудско-Псковское озеро,페이푸스호
Анжи (футбольный клуб),FC 안지 마하치칼라
Тобольск,토볼스크
Петербургский метрополитен,상트페테르부르크 지하철
Гальбштадт,갈프슈타트
Суржик,수르지크어
Протон (ракета-носитель),프로톤 로켓
Комсомолец (остров),콤소몰레츠섬
"Курская (станция метро, Кольцевая линия)",쿠르스카야역 (콜체바야선)
Ника (кинопремия),니카상
Яшкино,야시키노
Аник (гора),아닉산
Симферополь,심페로폴
Подольск,포돌스크
Кольская сверхглубокая скважина,콜라 시추공
RT,RT (텔레비전 네트워크)
Рубин (футбольный клуб),FC 루빈 카잔
Новая газета,노바야 가제타
Таганрог,타간로크
Чемпионат мира по футболу 2018,2018년 FIFA 월드컵
Мытищи,미티시
Ладушкин,라두시킨
Линия перемены даты,날짜 변경선
Дербент,데르벤트
Нерехта (город),네레흐타
Нерюнгри,네륜그리
Нелидово,넬리도보
Ока,오카강
Академия ФК «Зенит»,DYuSSh 스메나-제니트
Медный (остров),메드니섬
Палтога,팔토가
Новатэк,노바텍
"Великая (река, впадает в Псковское озеро)",벨리카야강
Чуваши,추바시인
Фристайл на зимних Олимпийских играх 2014,2014년 동계 올림픽 프리스타일
Забайкальск,자바이칼스크
Скелетон на зимних Олимпийских играх 2014,2014년 동계 올림픽 스켈레톤
Бобслей на зимних Олимпийских играх 2014,2014년 동계 올림픽 봅슬레이
Санный спорт на зимних Олимпийских играх 2014,2014년 동계 올림픽 루지
Кетой,케토이섬
Борисоглебск,보리소글렙스크
Боровск,보롭스크
Бородино (город),보로디노 (크라스노야르스크 변경주)
Боровичи,보로비치
Нестеров (Калининградская область),네스테로프 (칼리닌그라드주)
Нефтегорск (Самарская область),넵테고르스크 (사마라주)
Нефтекамск,넵테캄스크
Нефтеюганск,넵테유간스크
Нея (город),네야
Ловать,로바티강
Алупка,알룹카
Эрмитаж,에르미타시 박물관
Бронницы,브론니치
Первенство России среди любительских футбольных клубов,러시아 아마추어 풋볼 리그
Чемпионат России по футболу среди женщин,쳄피오나트 로시 포 푸트볼루 스레디 젠신
Сноуборд на зимних Олимпийских играх 2014,2014년 동계 올림픽 스노보드
Братск,브라츠크
Международная космическая станция,국제우주정거장
Нижневартовск,니즈네바르톱스크
"ЦСКА (баскетбольный клуб, Москва)",PBC CSKA 모스크바
Федеральное собрание,러시아 연방의회
Приамурье,외만주
Нижнекамск,니즈네캄스크
X5 Group,X5 리테일 그룹
Объединённый институт ядерных исследований,합동원자핵연구소
Бугульма,부굴마
Бугуруслан,부구루슬란
Николаевск (Волгоградская область),니콜라옙스크 (볼고그라드주)
Николаевск-на-Амуре,니콜라옙스크나아무레
Газпром-медиа,가스프롬 미디어
Нижнеудинск,니즈네우딘스크
Новозыбков,노보집코프
Новодвинск,노보드빈스크
Ветлуга (река),베틀루가강
Военно-морской флот Российской Федерации,러시아 해군
Троицкий административный округ,트로이츠키 행정구
Административно-территориальное деление Москвы,모스크바의 행정 구역
Новомосковский административный округ,노보모스콥스키 행정구
Новоалтайск,노보알타이스크
Татарский язык,타타르어
Саяно-Шушенская ГЭС,사야노-슈셴스카야 수력 발전소
Манси,만시인
Экономика России,러시아의 경제
Южный административный округ,남부 행정구
Северо-Восточный административный округ,북동부 행정구
Северный административный округ,북부 행정구
Юго-Западный административный округ,남서부 행정구
Западный административный округ,서부 행정구
Северо-Западный административный округ,북서부 행정구
Маруся (команда «Формулы-1»),마루시아 F1
Гран-при России,러시아 그랑프리
Олёкма,올료크마강
Венёв,베네프
Витим,비팀강
Верея,베레야
Валуйки,발루이키
Валдай,발다이
Новый Уренгой,노비우렌고이
Ногинск,노긴스크
Красная Поляна,크라스나야폴랴나
Велиж,벨리시
Новоржев,노보르제프
Новосиль,노보실
Московский район (Санкт-Петербург),모스콥스키구
Красносельский район (Санкт-Петербург),크라스노셀스키구
Взрывы в Московском метрополитене (2010),2010년 모스크바 지하철 폭탄 테러
Петродворцовый район,페트로드보르초비구
Новоуральск,노보우랄스크
Новочебоксарск,노보체복사르스크
Бутурлиновка,부투를리놉카
Буйнакск,부이낙스크
Новочеркасск,노보체르카스크
Калужско-Рижская линия,칼루시스코 리시스카야 선
Новосокольники,노보소콜니키
Леон Сатурн,FC 사투른 모스크바 오블라스티
Вишнёвый сад,벚꽃 동산
Ряжск,랴시스크
Буинск (Татарстан),부인스크
Будённовск,부됸놉스크
Сибирский государственный университет науки и технологий,시베리아 국립 레셰트노바 항공우주 대학교
Москва (река),모스크바강
Буй (город),부이 (도시)
Новомосковск (Россия),노보모스콥스크
Новомичуринск,노보미추린스크
Ржевская битва,르제프 전투
Правобережный район,프라보베레즈니군
Имандра,이만트라호
Вилюй,빌류이강
Нижняя Тунгуска,니즈냐야퉁구스카강
Коломна,콜롬나
Российская национальная библиотека,러시아 국립도서관 (상트페테르부르크)
Игнатьево (аэропорт),이그나티예보 공항
Дыхтау,디흐타우산
Арбат,아르바트 거리
Норильск,노릴스크
Ноябрьск,노야브리스크
Петроградский район,페트로그라츠키구
Нурлат,누를라트
Верхний Уфалей,베르흐니우팔레이
Верхний Тагил,베르흐니타길
Центральный район (Санкт-Петербург),중앙구 (상트페테르부르크)
Новосибирский метрополитен,노보시비르스크 지하철
Новодевичий монастырь,노보데비치 수녀원
