Stefano Cerioni,斯特凡诺·切廖尼
Camila Giorgi,卡美娜·格奧爾基
Robert De Niro,罗伯特·德尼罗
Giuseppe Saragat,朱塞佩·萨拉盖特
Dario Fo,达里奥·福
Michelangelo Antonioni,米開朗基羅·安東尼奧尼
Walter Bonatti,沃爾特・博納蒂
Augusto Genina,奥古斯托·吉尼那
Ugo Gregoretti,乌戈·格雷戈雷蒂
Luigi Einaudi,路易吉·伊諾第
Giovanni Gronchi,乔瓦尼·格隆基
Franco Oppini,弗兰科·奥皮尼
Giacomo Biffi,賈科莫·比菲
Ennio Antonelli,恩尼奧·安東內利
Daniele Liotti,达尼埃莱·利奥蒂
Ludovico Einaudi,鲁多维科·伊諾第
Iván Piris,伊万·皮利斯
Luciano Liggio,盧西亞諾·雷焦
Andrea Segre,安德蕾亞賽格雷
Giuseppe Battiston,吉塞培·巴蒂斯通
Francesco Cossiga,弗朗切斯科·科西加
Sandro Pertini,亚历山德罗·佩尔蒂尼
Roberto Risso,罗伯托·里索
Nino Manfredi,尼诺·曼弗莱迪
Mario Mattoli,马里奥·马托利
Luigi Poggi,類斯·波吉
Giuseppe Betori,朱塞佩·貝托里
Nino Farina,埃米利奥·朱塞佩·法里纳
Luigi Capuano,路易吉·卡普阿诺
Mario Bava,馬里奧·巴瓦
Liliana Cavani,利利亚娜·卡瓦尼
Giacomo Furia,賈科莫·富里亞
Lory Del Santo,萝莉·德尔·桑托
Joël Retornaz,约埃尔·蒂里·雷托尔纳兹
Cornelio Sommaruga,科内利奥·索马鲁加
Angelo Di Livio,安傑洛·迪·利維奧
Aldo Fabrizi,阿尔多·法布里齐
Vittorio Gassman,维托里奥·加斯曼
Noemi,Noemi
Guido Calabresi,圭多·卡拉布雷西
Diego Abatantuono,迭戈·阿巴塔托诺
Ernesto Bertarelli,埃内斯托·贝塔雷利
Sara Simeoni,萨拉·西梅奥尼
Salvatore Quasimodo,萨瓦多尔·夸西莫多
Gustav Thöni,古斯塔夫·特尼
Deborah Compagnoni,黛博拉·孔帕尼奥尼
Eugenio Calabi,歐金尼奧·卡拉比
Francesco Zucchetti,弗朗切斯科·祖凯蒂
Alfredo Dinale,阿尔弗雷多·迪纳莱
Cesare Pavese,切萨雷·帕韦塞
Fabrizio Donato,法布里齐奥·多纳托
Giovanni di Lorenzo,乔瓦尼·迪·洛伦佐
Valentina Arrighetti,瓦伦蒂娜·阿里盖蒂
Eugenio Montale,埃乌杰尼奥·蒙塔莱
Primo Nebiolo,普里奥里莫·内比奥罗
Alberto Tomba,阿尔贝托·通巴
Papa Benedetto XVI,本篤十六世
Antonio Segni,安东尼奥·塞尼
Luigi Zampa,路易吉·赞帕
Marcello Mastroianni,馬切洛·馬斯楚安尼
Martin Scorsese,马丁·斯科塞斯
Vittorio De Seta,维多里奥·德赛塔
Pietro Mennea,彼得罗·保罗·门内亚
Eddy Ottoz,埃迪·奥托兹
Sergio Corbucci,赛尔乔·科尔布奇
Damiano Damiani,达米亚诺·达米亚尼
Romano Prodi,罗马诺·普罗迪
Gabriele Detti,加布里埃萊·德蒂
Ferzan Özpetek,弗森·殴兹派特
Antonio Pietrangeli,安东尼奥·比埃朗基里
Danilo Gallinari,达尼罗·加里纳利
Mario Soldati,马里奥·索达蒂
Sophia Loren,索非娅·罗兰
Angelo De Martini,安杰洛·德马丁尼
Luciano Pavarotti,卢奇亚诺·帕瓦罗蒂
Zucchero Fornaciari,蘇奇洛·福爾納查理
Rocco Siffredi,洛可·希佛帝
Ermanno Wolf-Ferrari,艾曼诺·沃尔夫-费拉里
Alberto Ascari,阿尔贝托·阿斯卡里
Gabriele Salvatores,加布里耶·勒薩勒瓦托勒斯
Ugo Tognazzi,原高·托尼斯
Tiziano Terzani,帝奇亞諾·坦尚尼
Giovanni Trapattoni,吉奥瓦尼·特拉帕托尼
Papa Pio XII,庇護十二世
Valerio Arri,瓦萊里歐·艾瑞
Anna Magnani,安娜·马尼亚尼
Markus Lanz,马库斯·兰兹
Papa Giovanni Paolo I,若望·保禄一世
Fiona Swarovski,菲奥娜·施华洛世奇
Ernesto Remani,埃內斯托·雷馬尼
Massimo Oddo,马西莫·奥多
Andrea Pirlo,安德烈亚·皮尔洛
Mariele Ventre,奇奇诺·德罗音樂節
Giorgio Francia,喬治奧·弗蘭恰
Gianni Infantino,詹尼·因凡蒂诺
Alberto Lattuada,阿尔贝托·拉图瓦达
Rosa Barba,羅莎·巴巴
Ricardo Martinelli,里卡多·马蒂内利
Giulio Terzi di Sant'Agata,特爾吉
Fabio Cannavaro,法比奥·卡纳瓦罗
Tarcisio Bertone,塔尔齐西奥·贝尔托内
Valentino Gasparella,瓦伦蒂诺·加斯帕雷拉
Gae Aulenti,盖·奥伦蒂
Parmigianino,帕尔米贾尼诺
Jerry Calà,杰里·卡拉
Giorgio Pantano,乔吉奥·潘塔诺
Christian Abbiati,克里斯蒂安·阿比亚蒂
Marcello Lippi,馬爾切洛·里皮
Giorgia Würth,乔治亚·尔特
Emanuele Filiberto di Savoia,埃曼努埃莱·菲利伯托
Anita Pallenberg,安妮德·巴蘭寶
Gina Lollobrigida,珍娜·露露布莉姬妲
Raffaele Farina,拉菲尔·法里纳
Luigi Tasselli,路易吉·塔塞利
Pietro Anastasi,皮特羅·安拿達斯
Roberto Anzolin,羅伯托·安佐林
Andrea Bocelli,安德烈·波伽利
Zeno Colò,泽诺·科洛
Marco Borriello,马尔科·博列洛
Frank Farian,弗兰克·法里恩
Guglielmo Segato,古列尔莫·塞加托
Romeo Bertini,羅密歐·貝爾蒂尼
Beatrice Weder di Mauro,贝特里丝·韦德尔·迪莫洛
Michele Besso,米給雷·貝索
Federico Fellini,费德里科·费里尼
Giuseppe Olmo,朱塞佩·奥尔莫
Yves Montand,伊夫·蒙当
Bernardino Luini,貝爾納爾迪諾·路易尼
Enrico Fermi,恩里科·费米
Gianfranco Zola,吉安弗蘭科·佐拉
Roberta Vinci,羅貝塔·文奇
Giovanni Mardersteig,乔瓦尼·马德施泰格
Virna Lisi,薇娜·莉絲
Angelo Alessio,安基路·艾利斯奧
José Altafini,艾達菲尼
Alida Valli,阿莉达·瓦利
Gundi Busch,贡迪·布施
Mariangela Melato,玛丽安杰拉·梅拉托
Amauri,阿馬利
Nicola Amoruso,尼古拉·阿莫鲁索
Umberto Bossi,翁貝托·博西
Mario Monti,马里奥·蒙蒂
Hugo Pratt,雨果·普拉特
Kaspar Capparoni,卡斯帕·卡帕罗尼
Magnus,罗伯托·拉维奥拉
Andrea Barzagli,安德雷·巴尔扎利
Giovanni Zarrella,乔凡尼·扎雷拉
Agnolo Bronzino,布龙齐诺
Livio Berruti,利维奥·贝鲁蒂
Mario Lusiani,马里奥·卢夏尼
Giacomo Gaioni,贾科莫·加约尼
Riccardo Divora,里卡尔多·迪沃拉
Fabio Quagliarella,法比奥·夸利亚雷拉
Ubaldesco Baldi,乌巴尔代斯科·巴尔迪
Matteo Renzi,马泰奥·伦齐
Monica Vitti,莫尼卡·维蒂
Pier Luigi Bersani,皮埃尔·路易吉·贝尔萨尼
Umberto Eco,翁贝托·埃可
Giulietta Masina,朱丽叶塔·马西纳
Raffaele Marciello,拉菲爾·馬賽羅
Paolo Di Canio,保罗·迪卡尼奥
Angelo Sodano,安傑洛·索達諾
Gabriele Allegra,雷永明
Marco Pannella,马克·帕内拉
Silvana Mangano,西尔瓦娜·曼加诺
Marco Terrazzino,马尔科·特拉齐诺
Nino Borsari,尼诺·博尔萨里
Alberto Ghilardi,阿尔贝托·吉拉尔迪
Giorgio Diritti,吉奧吉歐·蒂利提
Gabriel Heinze,加夫列尔·海因策
Matteo Darmian,馬特奧·達米安
Giovanni Battista Re,喬萬尼·巴蒂斯塔·雷
Luciano Moggi,盧西亞諾·莫吉
Anna Maria Pierangeli,皮耶尔·安杰利
Massimo D'Alema,马西莫·达莱马
Alessandro Birindelli,比林德利
Paolo Pedretti,保罗·佩德雷蒂
Renato Schifani,雷納托·史濟法尼
Giovanna Ralli,乔瓦娜·拉利
Gianfranco Fini,詹弗蘭科·菲尼
Assunta Legnante,阿孙塔·莱尼安特
Margherita Hack,玛格丽塔·哈克
Alex Schwazer,亚历克斯·施瓦泽
Beppe Grillo,朱塞佩·皮耶罗格里洛
Leo Franco,莱昂纳多·弗朗戈
Milena Gabanelli,米娜·賈巴內利
Roberto Bettega,罗伯托·贝泰加
Gianluigi Buffon,詹路易吉·布冯
Roberto Baggio,罗伯特·巴乔
Filippo Inzaghi,菲利普·因扎吉
Lucas Piazón,卢卡斯·皮亚松
Felice Borel,菲利塞·博雷尔
Duccio di Buoninsegna,杜喬·迪·博尼塞尼亞
Romeo Benetti,罗密欧·贝内蒂
Silvio Berlusconi,西尔维奥·贝卢斯科尼
Giampiero Boniperti,詹皮耶罗·博尼佩尔蒂
papa Paolo VI,保祿六世
Luigi Bertolini,路易吉·贝托里尼
Vasco Rossi,瓦斯科·羅西
Giancarlo Bercellino,吉安卡洛·贝塞利诺
Piero Gros,皮耶罗·格罗斯
Giampaolo Pozzo,詹保羅·波佐
Paolo Nespoli,保羅·內斯波利
Marco Cassetti,馬爾科·卡塞蒂
Vittorio Hösle,维托里奥·赫斯勒
Marco Orsi,馬爾科·奧爾西
Sergio Brio,塞尔吉奥·布里奥
Luigi Dallapiccola,路易吉·达拉皮科拉
Ennio Morricone,恩尼奥·莫里科内
Lydia Alfonsi,莉迪亚·阿方西
Carlo Scarpa,卡羅·斯卡帕
Giulio Andreotti,朱利奥·安德烈奥蒂
Mario Balotelli,马里奥·巴洛特利
Claudia Cardinale,克劳迪娅·卡尔迪纳莱
Edmond Fischer,埃德蒙·费希尔
Giovanni Luigi Bonelli,詹路易吉·博内利
Aurelio Galleppini,奥雷利奥·加勒皮尼
Sergio Bonelli,塞尔焦·博内利
Rosario Bentivegna,羅薩里奧·本·蒂沃格納
Renato Dulbecco,罗纳托·杜尔贝科
Claudio Pizarro,克劳迪奥·皮萨罗
Giovanna Mezzogiorno,姬奧雲娜·瑪素芝奧露
Vittorio Mezzogiorno,维托里奥·梅佐焦尔诺
Antonio Cabrini,安东尼奥·卡布里尼
Alfred Neumann,阿爾弗雷德·諾伊曼
Anna Tatangelo,安娜·泰坦潔蘿
Roberto Mancini,罗伯托·曼奇尼
Frank Capra,法蘭克·卡普拉
Manolo Gabbiadini,馬諾羅·加比亞迪尼
Emma Bonino,愛瑪·博尼諾
Giuseppe Domenichelli,朱塞佩·多梅尼凯利
Andrea Riccardi,安德肋·里卡爾迪
Ilona Staller,伊蘿娜·史特拉
Francesca Piccinini,法蘭西絲卡·碧仙里妮
Maria Montessori,瑪麗亞·蒙特梭利
Luchino Visconti,卢奇诺·维斯孔蒂
Arturo Toscanini,阿图罗·托斯卡尼尼
Ermanno Olmi,艾曼諾·奧米
Paolo Genovese,保罗·杰诺韦塞
Umberto Maglioli,翁贝托·马廖利
Luigi Bertoni,路易吉·貝托尼
Marco Benassi,马尔科·贝纳西
Alessandro Blasetti,亚历山德罗·布拉赛蒂
Stephan El Shaarawy,斯蒂凡·艾尔·沙拉维
Marco Cimatti,马尔科·奇马蒂
Tommaso Rocchi,湯馬素·洛基
Karin Schubert,卡琳·舒伯特
Daniel Bovet,达尼埃尔·博韦
Alberto Paloschi,阿爾拔圖·柏路斯基
Pier Paolo Pasolini,皮埃尔·保罗·帕索里尼
Ettore Sottsass,埃托雷·索特萨斯
Alberto Sordi,阿尔贝托·索尔迪
Roberto Rossellini,羅伯托·羅塞里尼
Riccardo Scamarcio,里卡多·史卡馬西奧
Renato Pampanini,雷纳托·潘帕尼尼
Giuseppe Sinopoli,朱塞佩·西諾波利
Enzo Maresca,恩佐·馬雷斯卡
Franco Battiato,弗朗科·巴迪亞多
Stefano Mauri,斯蒂法諾·毛里
Lola Pagnani,洛拉·帕尼亞尼
Cecilia Bartoli,切奇莉亚·巴托莉
Giuliano Razzoli,朱利亚诺·拉佐利
Herbert Plank,赫伯特·普兰克
Francesco Totti,弗朗切斯科·托蒂
Potito Starace,波蒂托·斯塔拉切
Pietro Campedelli,彼得罗·坎佩德利
Mauro Icardi,毛罗·伊卡尔迪
Andrea Stramaccioni,安德烈·斯特拉马乔尼
Alessandro Cicognini,亞歷山德羅·奇科尼尼
Mauro Bolognini,莫洛·鮑羅尼尼
Domenico Morfeo,多梅尼科·莫尔费奥
Vittorio De Sica,維多里奧·狄西嘉
Pippo Baudo,皮波·巴多
Roberto Benigni,羅貝托·貝尼尼
Zita di Borbone-Parma,齐塔皇后
Walter Plaikner,瓦尔特·普莱克纳
Ildebrando D'Arcangelo,伊爾代布蘭多·達爾堪傑羅
Gaetano Monachello,加埃塔諾·莫納凱洛
Matteo Manassero,馬特奧·曼納塞羅
Annibale Bergonzoli,安尼巴萊·貝爾貢佐利
Damiano Cunego,达米亚诺·库内哥
Mario Camerini,马里奥·卡梅里尼
Luigi Comencini,路易吉·科门奇尼
Antonio Conte,安東尼奧·孔蒂
Edoardo Ponti,愛德華多·蓬蒂
Sandro Cuomo,山德罗·科莫
Francesca Bortolozzi,弗兰切斯卡·博尔托洛齐
Carlo Ludovico Bragaglia,卡洛·卢多维克·布拉加利亚
Giovanni Battista Lacchini,乔瓦尼·巴蒂斯塔·拉基尼
Giuseppe De Santis,朱塞佩·迪·聖提斯
Pietro Germi,皮亞托·傑米
Fabrizio De André,法布里奇奥·德·安德烈
Marco Bellocchio,马可·贝罗奇奥
Nanni Moretti,南尼·莫雷蒂
Bernardo Bertolucci,貝納多·貝托魯奇
Raffaello Matarazzo,拉法耶洛·马塔拉佐
Carmine Gallone,卡尔米内·加洛内
Nanni Loy,纳尼·洛伊
Fabrizio Miccoli,米科利
Papa Giovanni XXIII,若望二十三世
Marco Di Vaio,馬爾科·迪瓦約
Leonardo Sciascia,列昂纳多·夏夏
Dario Argento,達利歐·愛真圖
Guido Brignone,圭多·布里尼奥内
Gian Maria Volonté,吉安·玛丽亚·沃隆特
Arturo Benedetti Michelangeli,阿圖洛‧米開蘭傑里
Paolo Maffei,保羅·馬菲
Piero Umiliani,畢耶羅·吳密歷亞尼
Mario Monicelli,馬里奧·莫尼切利
Giuliano Montaldo,朱利亚·诺蒙塔尔
Guido Pizarro,比薩羅
Giuseppe Signori,朱塞佩·西格诺里
Masolino da Panicale,帕尼卡雷的馬索利諾
Christof Innerhofer,克里斯托弗·伊諾霍佛
Indro Montanelli,因德羅·蒙塔內利
Kengiro Azuma,吾妻兼治郎
Marco Ferreri,馬可·費拉里
Poggio Bracciolini,波焦·布拉喬利尼
Edda Dell'Orso,艾達·迪蘿索
Stefano Fiore,斯蒂法诺·菲奥雷
Marco Tronchetti Provera,马尔科·特隆凯蒂·普罗维拉
Frank Scalice,法蘭克·斯卡利斯
Vittorio Emanuele III di Savoia,维托里奥·埃马努埃莱三世
Peppino Garibaldi,朱塞佩二世·加里波第
Franco Zuculini,佛朗哥·祖库利尼
Andrea Agnelli,安德雷亚·阿涅利
Danilo Di Luca,丹尼洛·迪·盧卡
Giorgio Bassani,喬治·巴薩尼
Elisa Uga,埃莉萨·乌加
Gualtiero Bassetti,瓜尔蒂耶罗·巴塞蒂
Raffaello Caserta,拉法埃洛·卡塞尔塔
Laura Chiesa,劳拉·基耶萨
Tonhi Terenzi,通尼·泰伦齐
Ciro Immobile,奇罗·因莫比莱
Ottavio Bugatti,奥塔维奥·布加蒂
Alberico Evani,伊凡尼
Gian Francesco Malipiero,吉安·弗朗切斯科·马利皮耶罗
Gianluca Pessotto,詹卢卡·佩索托
Rodolfo Graziani,魯道夫·格拉齊亞尼
Vittorio Pozzo,波素
Italo Gariboldi,伊塔洛·加里波第
Antonio Langella,安東尼奧·朗格拉
Carlo Lizzani,卡罗·里査尼
"Arthur Wellesley, VIII duca di Wellington",阿瑟·韋爾斯利，第八代威靈頓公爵
Margherita Zalaffi,玛格丽塔·扎拉菲
Alessandro Puccini,亚历山德罗·普奇尼
Gianni Morandi,詹尼·莫兰迪
Pablo Piatti,柏保路·皮亞堤
Luca Lombardi,盧卡·隆巴迪
Mauro Maur,毛罗·莫尔
Goffredo Lombardo,戈弗雷多·隆巴多
Jonas Gonçalves Oliveira,若纳斯·贡萨尔维斯·奥利韦拉
Diana Bianchedi,黛安娜·比安凯迪
Roberto Saviano,罗伯托·萨维亚诺
Daniele Luppi,丹尼爾·盧皮
Carlo Maria Martini,卡羅·瑪莉亞·馬蒂尼
Andrea Camilleri,安德烈亚·卡米莱里
Ezio Frigerio,埃齐奥·弗里杰里奥
Dino Risi,迪诺·里西
Alfred Duncan,阿尔弗雷德·邓肯
Gillo Pontecorvo,吉洛·彭特克沃
Dino Baggio,迪诺·巴乔
Riccardo Montolivo,里卡尔多·蒙托利沃
Michael Bublé,麥可·布雷
Vincenzo Cimatti,文生·慈馬迪
Gianfranco Baruchello,吉安弗兰科·巴鲁切洛
Dorothea Wierer,多萝西娅·维雷尔
Marco Cé,馬爾谷·切
Vanessa Beecroft,瓦妮莎·比克羅夫特
Oriana Fallaci,奥里亚娜·法拉奇
Eros Ramazzotti,艾羅斯·拉瑪佐第
Walter Veltroni,瓦尔特·韦尔特罗尼
Andreas Seppi,安德烈亞斯·塞皮
Enzo Mari,恩佐·馬里
Angelo Scola,安杰洛·斯科拉
Alfredo Casella,阿尔弗雷多·卡塞拉
Giovanna Trillini,乔万纳·特里利尼
Magdi Allam,馬格迪·阿蘭
Arturo Brachetti,阿尔托洛·布拉凯迪
Maurizio Ponzi,毛里齐奥·蓬齐
Alcide De Gasperi,阿爾契德·加斯貝利
Gregor Fučka,格雷戈尔·富奇卡
Giovanni Vastola,喬瓦尼·瓦斯托拉
Gianfranco Mingozzi,吉安弗蘭科·明戈茲
Primo Levi,普里莫·莱维
Lorenzo Ariaudo,洛倫佐·阿里奥多
Luca Castellazzi,卢卡·卡斯特拉齐
Aldo Rossi,阿尔多·罗西
Tullio Campagnolo,圖利歐·康帕紐羅
Giuseppe Pella,朱塞佩·佩拉
Franco Merli,佛朗哥·馬利
Enzo Cannavale,恩佐·坎纳瓦莱
Marco Motta,馬高·莫達
Mazzino Montinari,马齐诺·蒙蒂纳里
Raniero Panzieri,拉涅罗·潘齐耶里
Marco Verratti,馬高·華拉堤
Tonino Domenicali,安东尼奥·多梅尼卡利
Claudio Abbado,克劳迪奥·阿巴多
Italo Calvino,伊塔罗·卡尔维诺
Bepi Ros,朱塞佩·罗斯
Lino Ventura,利诺·文图拉
Franco Valle,佛朗哥·瓦莱
Silvano Bertini,西尔瓦诺·贝尔蒂尼
Noemi Batki,诺埃咪·巴特基
Luce Fabbri,卢斯·法夫里
Riccardo Pizzuti,里卡多·皮兹蒂
Omar Camporese,奥马尔·坎波雷
Maurizio Bianchi,毛里齐奥·比安基
Cristian Zaccardo,克里斯蒂安·扎卡尔多
Renzo Montagnani,伦佐·蒙塔尼亚尼
Giorgio de Chirico,喬治歐·德·奇里訶
Lorenzo Monaco,羅倫佐·摩納科
Luca Mezzano,卢卡·梅扎诺
Riccardo Morandi,里卡尔多·莫兰迪
Filippo Volandri,菲利波·沃蘭德里
Enrico Chiesa,基艾沙
Gino Bartali,吉諾·巴塔利
Gianni Ambrosio,若望·阿姆布羅肖
Gianni Vattimo,吉安尼·瓦蒂莫
Mario Caiano,马里奥·卡亚诺
Achille Occhetto,阿吉利·奥凯托
Achille Silvestrini,阿基萊·西爾維斯特里尼
Giorgio Armani,乔治·阿玛尼
Barbara De Rossi,芭芭拉·德羅西
Sandra Mondaini,桑德拉·蒙达尼
Lorenzo Patanè,洛伦佐·帕塔内
Danny Quinn,丹尼·奎因
Amedeo Amadei,阿梅代奥·阿马代伊
Fausto Leali,福斯托·利阿里
Hernán Crespo,埃尔南·克雷斯波
Maurizio Pollini,毛里齐奥·波利尼
Francesco de Masi,弗朗切斯科·德·馬西
Ivan Rassimov,艾凡·拉斯莫夫
Franco Nenci,佛朗哥·南奇
Ignazio Lupo,伊格納齊奧·盧波
Javier Mascherano,哈维尔·马斯切拉诺
Cesare Danova,塞薩·達諾瓦
Achille Varzi,阿基莱·瓦尔齐
Stefano Okaka,斯蒂法诺·奥卡卡·朱卡
Max Tonetto,馬克斯·托內托
Federico Zuccari,费德里科·祖卡里
Francesca Dallapé,弗朗西斯卡·达拉佩
Guido Celano,圭多·塞拉諾
Tonino Guerra,托尼諾‧格拉
Giovanna Marini,焦萬娜·馬里尼
Bruno Visintin,布鲁诺·维辛廷
Franco Amurri,弗兰克·阿穆里
Piero Esteriore,皮耶羅·埃斯特裡奧雷
Felix Silla,费利克斯·西拉
Vincenzo Zucconelli,温琴佐·祖科内利
Nikoleta Stefanova,妮可列塔·斯蒂芬諾娃
Andy Selva,安迪·塞爾瓦
Dino Bruni,迪诺·布鲁尼
Gabriel Paletta,加布里埃爾·帕萊塔
Massimo Carlotto,马西莫·卡洛托
George Eastman,喬治·伊士曼
Simona Ventura,西蒙娜·文圖拉
Patrizia Panico,帕特里齐娅·帕尼科
Mario Nascimbene,馬里奧·那斯班內
Rafael Sabatini,拉斐爾·薩巴提尼
Lucio Fulci,卢西奥·弗尔兹
Giorgio Perlasca,喬治·佩拉斯卡
Luigi Durand de la Penne,澤拉‧潘尼
Axel Braun,阿克塞爾·布勞恩
Eva Cantarella,艾娃·坎塔雷拉
Michela Vittoria Brambilla,米歇拉·維多莉亞·布朗比亞
Marilù Tolo,馬里盧·托洛
Gian Lorenzo Bernini,济安·贝尼尼
Silvio Amadio,西尔维奥·阿马迪奥
Alessandro Rosina,亚历山德罗·罗西娜
Enrico Albertosi,恩里科·阿尔贝托西
Fausto Paravidino,福斯托·帕拉维迪诺
Giovanni Guidetti,乔瓦尼·吉德提
Marisa Merlini,瑪莉莎·梅利尼
Alessandro Altobelli,阿杜布尼
Amedeo Nazzari,阿梅德奥·纳扎里
Norberto Bobbio,諾貝托·波比歐
Pasquale Squitieri,帕斯夸莱·斯奎蒂耶里
Francesco Coco,弗朗西斯科·科科
Carolina Morace,卡羅琳娜·莫拉切
Tony Gaudio,托尼·格迪奧
Luigi Nono,路易吉·诺诺
Amedeo Biavati,阿梅代奥·比亚瓦蒂
Luciano Canfora,盧西亞諾·坎佛拉
Filippo Zappata,菲利波·扎帕塔
Adelmo Bulgarelli,阿德尔莫·布尔加雷利
Giuseppe Pittau,朱塞佩·畢達
Alberto Moravia,阿尔贝托·莫拉维亚
Pietro da Cortona,皮得罗·达·科尔托纳
Ruggero Mastroianni,魯傑羅·馬斯楚安尼
Colin Firth,哥連·花夫
Amedeo Carboni,卡邦尼
Ambrogio Fogar,安布罗焦·福格
Sonia Gandhi,索尼娅·甘地
Sandro Salvadore,桑德罗·萨尔瓦多
Paulo Dybala,保羅·戴巴拿
Eduardo De Filippo,爱德华多·德·菲利波
Serge Reggiani,塞吉·雷加尼
Laura Golarsa,劳拉·格拉萨
Stefania Rocca,史蒂芬妮雅·若卡
Cristian Stellini,克里斯蒂安·斯泰利尼
Pietro Martire d'Anghiera,皮特·马特·德安吉拉
Giuditta Rissone,朱迪塔·里松
Amadeus,阿马德奥·塞巴斯蒂亚尼
Enrico Berlinguer,恩里科·贝林格
Gianluca Basile,詹盧卡·巴斯利
Giada De Laurentiis,嘉妲·狄罗伦提斯
Nicola Berti,尼科拉·貝爾蒂
Getulio Alviani,格圖利·阿爾維尼
Julius Evola,尤利烏斯·埃佛拉
Franco Frattini,弗兰克·弗拉蒂尼
Gian Giorgio Trissino,吉安·乔治·特里西诺
Elisa,埃莉薩 (歌手)
Mario Roatta,馬里奧·羅阿塔
Giuliano Carnimeo,朱利亚诺·卡尔尼梅奥
Enrico Bombieri,恩里科·邦別里
Mario Toso,馬里奧·圖素
Uli Forte,乌尔里希·福特
Adalberto Arturo Rosat,阿达尔贝托·阿图罗·罗萨
Giuseppe Colizzi,吉斯帕·柯里西
Giovanni Spadolini,乔瓦尼·斯帕多利尼
Luigi Delneri,路易吉·德尔内里
Sergio Leone,塞吉歐·李昂尼
Bitto Albertini,比托·阿尔贝蒂尼
Armin Zöggeler,阿尔明·佐格勒
Antonio Frazzi,安东尼奥·弗拉兹
Domenico Cavagnari,多梅尼科·卡瓦尼亞里
Aldo Serena,阿尔多·塞雷纳
Alessandro Benetton,亞歷山卓·贝纳通
Edinson Cavani,埃丁森·卡瓦尼
Guido Bernardi,圭多·贝尔纳迪
Gianluca Curci,詹盧卡·庫爾奇
Domenico Berardi,多梅尼科·贝拉尔迪
Luca Cordero di Montezemolo,卢卡·克劳德洛·迪·蒙特泽莫罗
Matteo Ferrari,马泰奥·费拉里
Marina Malfatti,玛丽娜·马尔菲蒂
Nicola Cabibbo,尼古拉·卡比博
Massimo Taibi,马西莫·泰比
Damiano Tommasi,迪米亚诺·托马西
Christian Panucci,克里斯蒂安·帕努奇
Bruno Maderna,布魯諾·馬德納
Guido Fantoni,圭多·凡托尼
Rolando Rigoli,罗兰多·里戈利
Artemio Franchi,阿特米奧·弗蘭基
Isa Miranda,伊莎·米蘭達
Luigi Ganna,路易吉·甘納
Anna Galiena,安娜·加連納
Gian Vittorio Baldi,姜·维多里奥·巴尔迪
Luisa Casati,露易莎‧卡薩提
Ederson,埃德森·奥诺拉托·坎波斯
Pietro Vierchowod,維祖活
Marco Galiazzo,马尔科·加利亚佐
Benedetto Tuzia,本篤·圖齊亞
Giacomo Alberione,雅培里神父
Stefania Berton,斯特凡尼娅·博尔顿
Simone Padoin,西蒙尼·帕多因
Ornella Muti,奥妮拉·穆蒂
Elio Sgreccia,埃里奥·斯格雷恰
Paolo Pulici,保罗·普利奇
Valentino Mazzola,瓦伦蒂诺·马佐拉
Carlo Cercignani,卡罗·切尔奇纳尼
Anselmo Citterio,安塞尔莫·奇泰里奥
Frank Horvat,弗兰克·霍瓦特
