Hebe Camargo,赫柏·卡马戈
Thiago Motta,蒂亞戈·莫塔
João Barbosa Rodrigues,若昂·巴尔博扎·罗德里格斯
Antonio Pizzonia,安东尼奥·皮佐尼亚
Lucas Di Grassi,盧卡斯·迪·格拉西
Ricardo Rosset,里卡多·羅塞特
Tarso Marques,塔爾索·馬克斯
José Carlos Pace,卡洛斯·帕塞
Djalminha,贾米尼亚
Denílson Pereira Neves,德尼尔森·佩雷拉·内维斯
Artur Antunes Coimbra,济科
Marisa Monte,瑪莉莎·蒙特
Robert Falkenburg,鮑伯·佛肯伯格
Maxwell Scherrer Cabelino Andrade,马克斯韦尔·舒尔勒·卡贝里诺·安德拉德
Luiz Felipe Scolari,路易斯·菲利佩·斯科拉里
André Francisco Moritz,安德烈·莫里茨
Cristina do Rego,克里斯蒂娜·度·瑞格
Fábio Aurélio,法比奥·奥雷利奥
Alex Rodrigo Dias da Costa,阿歷士·洛里高·迪亞士·達哥斯達
Evair Aparecido Paulino,艾巴依路
Marcos Senna,马科斯·塞纳
Everton Ramos da Silva,艾弗頓·拉莫斯·達·席爾瓦
Roberto Pupo Moreno,羅伯托·莫雷諾
Luciano Burti,盧西亞諾·布爾蒂
Tite,蒂特
Dunga,邓加
Vilém Flusser,維蘭·傅拉瑟
Zózimo,索斯莫
Leandro Salino do Carmo,莱安德罗·萨利诺
Daniel Alves,丹尼尔·阿尔维斯
Ranieri Mazzilli,拉涅里·馬兹利
João Figueiredo,菲格雷多
Ricardo Zonta,里卡多·宗塔
Alessandro Cambalhota,亚历山德罗·坎巴尔霍塔
Henrique Pacheco Lima,亨里克
Edi Andradina,埃迪·卡洛斯·迪亚斯·马萨尔
Bertrand de Orléans e Bragança,巴西的伯特蘭一世
Carmen Miranda,卡門·米蘭達
Elivélton,埃利维顿·阿尔维斯·鲁菲诺
Luís Vinícius de Menezes,路易斯·維尼奇奧
Robinho,罗比尼奥
Silas,保罗·西拉斯
Antônio Benedito da Silva,安东尼奥·贝内迪托·达·席尔瓦
Lucas Piazón,卢卡斯·皮亚松
Emerson Sheik,马尔西奥·埃莫森
Francisco Ernandi Lima da Silva,弗朗西斯科·埃尔南迪·利马·达席尔瓦
Chico Landi,希科·兰迪
Jorge Ben Jor,豪爾赫·班·喬爾
Oséas,奥塞亚斯·雷斯·多斯桑托斯
Robert da Silva Almeida,罗伯特·达·席尔瓦·阿尔梅达
Maicon Douglas Sisenando,麦孔·道格拉斯·西塞南多
Ademar Pereira de Barros,艾迪馬·德·巴羅斯
Adhemar Ferreira da Silva,阿德马尔·达席尔瓦
Igor de Camargo,甘馬高
Octávio Sérgio da Costa Moraes,奧克塔維奧·塞爾吉奧·達科斯塔·莫賴斯
Roger Machado Marques,罗杰·马沙杜·马基斯
Adriano Gerlin da Silva,阿德里亞諾·格林·達席爾瓦
Lucas Pezzini Leiva,盧卡斯·雷瓦
Vitor Júnior,域陀·祖利亞
Cristiano da Matta,克里斯蒂亚诺·达·马塔
Pedro Paulo Diniz,佩德羅·迪尼斯
Morena Baccarin,莫雷纳·巴卡林
Izabel Goulart,伊莎貝·哥娜特
Maria Esther Bueno,瑪莉亞·布埃諾
Rogério Miranda Silva,罗热里奥·米兰达·席尔瓦
Marques Batista de Abreu,马奎斯·巴蒂斯塔·德·阿布莱乌
Jader Volnei Spindler,贾德尔·沃内·思平德
Gilson do Amaral,基仙奴·杜·阿曼龍
Jeremias Antônio de Jesus,耶肋米亞·安多尼·德-熱蘇斯
Liédson,列特臣
Wilson Fittipaldi Júnior,小威爾遜·菲蒂帕爾迪
Marcio Rafael Ferreira de Souza,拉芬拿
Enrique Bernoldi,恩里克·貝爾諾迪
Bismarck Barreto Faria,比斯馬克·巴列圖·法利亞
Artur Guilherme Moraes Gusmão,摩亞利斯
Christian Fittipaldi,克里斯蒂安·费迪帕尔蒂
Cafu,卡福
Abilio Diniz,阿比里奧·多斯·桑托斯·狄尼茲
Zetti,泽蒂
Leonardo Nascimento de Araújo,莱昂纳多·阿劳若
Fellype Gabriel,菲利佩·加布里埃尔
Rodrigo Lacerda Ramos,洛迪高·拉莫斯
José Song Sui-Wan,宋瑞雲
Will Robson Emilio de Andrade,威尔·罗布森·埃米利奥·安德拉德
Romário,羅馬里奧·迪·蘇沙·法利亞
Heurelho da Silva Gomes,厄雷尔奥·戈麦斯
Vera Fischer,維拉·費雪
Hugo Arthuso,乌戈·亚瑟索
Alan Douglas Borges de Carvalho,阿兰·道格拉斯·博尔热斯·德·卡瓦略
Eduardo da Silva,爱德华多·达席尔瓦
Emerson Fittipaldi,埃默森·菲蒂帕尔迪
Nelson Piquet Jr.,尼爾遜·小畢奇
Roberto Rivellino,罗伯托·里维利诺
Marcos Rocha,马科斯·罗查
Ai Kesen,埃尔克森
Leandro Barbosa,莱昂德罗·巴博萨
José Roberto da Silva Júnior,泽·罗伯托
Antonio de Aguiar Patriota,安東尼奧·帕特里奧塔
Thomas Behrend,托馬斯·贝哈连德
José João Altafini,艾達菲尼
Carlos Adriano de Jesus Soares,阿利马奥
André Cruz,安達·告魯斯
Cicinho,西西尼奥
Murilo Endres,穆里羅環礁
Cacau,卡考
Glauber Rocha,格劳贝尔·罗恰
Pedro Luiz de Orleans e Bragança,佩德罗·路易斯
Leandro Euzébio,莱安德罗·欧泽比奥
Sérgio Luís Donizetti,塞爾吉奧·路易斯·多尼采蒂
Márcio Rodrigues,馬加奧
Doni Marangon,多尼·亞歷山大·馬拉戈
Antônio Carlos Jobim,安東尼奧·卡洛斯·裘賓
Fernando Henrique Cardoso,费尔南多·恩里克·卡多佐
Sandro Ranieri Guimarães Cordeiro,辛度
Fabiana Murer,法比亚娜·穆雷尔
Maria Amélia de Bragança,巴西公主玛丽亚·阿梅利亚
Vitorino Hilton,希爾頓
Maria II de Portugal,瑪麗亞二世
Gilberto Gil,吉尔贝托·吉尔
Almir de Souza Fraga,阿尔米尔·迪·苏沙·弗拉加
Eduardo Francisco da Silva Neto,艾杜亞度·法蘭斯高·達·施華·尼圖
Maurren Maggi,莫琳·马吉
Clarice Lispector,克拉丽斯·利斯佩克托
Ivete Sangalo,伊维特·桑加洛
Sarah Menezes,萨拉赫·梅内泽斯
Alice Braga,艾莉丝·布拉加
Jordana Brewster,乔丹娜·布鲁斯特
Fritz Müller,弗里茨·穆勒
Chico Mendes,奇科·曼德斯
Roberto Dinamite,罗伯托·迪纳米特
Gustavo Franchin Schiavolin,古斯塔沃·弗兰茨·斯基亚沃林
Palhinha,帕霖辛哈 (巴西足球員)
Oswaldo Cruz,奥斯瓦尔多·克鲁兹
Norberto Murara Neto,诺伯托·穆拉拉·内托
Amauri Carvalho de Oliveira,阿馬利
Morris Albert,莫里斯·阿尔伯特
Marta Vieira da Silva,玛塔
Gal Costa,蓋兒·柯絲塔
Fernando Collor de Mello,费尔南多·科洛尔·德梅洛
Garrincha,加林查
Olavo Bilac,奥拉沃·比拉克
Renato Russo,雷纳托·鲁索
Robson da Silva,罗布森·卡埃塔诺
Orani João Tempesta,奧拉尼·若昂·坦佩斯塔
Alex Raphael Meschini,美斯捷尼
Caiuby Francisco da Silva,卡尤比
Alex Sandro,阿歷士·辛度
Robyn Regehr,罗宾·雷格尔
Leonel Brizola,萊昂內爾·布里佐拉
Silvio Santos,西尔维奥·桑托斯
Zumbi dos Palmares,祖比·帕尔马雷斯
Astrud Gilberto,艾斯楚德·吉尔伯托
Francisco Lachowski,弗朗西斯科·拉霍夫斯基
Oélilton Araújo dos Santos,埃托
Lateef Crowder,拉蒂夫·克勞德·多斯·桑托斯
Paulo Cézar Lima,保羅·施薩
Joel Santana,乔尔·桑塔纳
Kléber de Carvalho Correia,基巴
Evaristo de Macedo,埃瓦里斯托·德·马塞多
Jajá Coelho,杰克森·阿维利诺·科埃略
Floriano Peixoto,佩绍托
Sérgio de Deus Borges,思齊·德·德烏斯·博爾熱斯
Jaqueline Carvalho,杰奎琳·卡瓦略
Jennifer O'Neill,珍妮花·奧妮露
Paulinho da Viola,帕乌林霍‧达·维奥拉
Joubert Araújo Martins,若伯特·阿劳若·马丁斯
Toninho Cerezo,托尼尼奧·塞雷佐
Raquel Zimmermann,慧卡·芝瑪曼
Ronny Heberson Furtado de Araújo,罗尼·赫伯森·福塔多·德·阿劳约
Cristiane Rozeira de Souza Silva,克里斯蒂安妮
Francisca de Bragança,弗朗西絲卡公主 (巴西)
Sebastião Lazaroni,塞巴斯蒂奥·拉扎罗尼
Danilo Gabriel de Andrade,达尼洛·加布里埃尔·德安德拉德
Ricardo Brennand,里卡多·布雷南德
Marcelo Grohe,哥希
Caroline Trentini,卡羅琳·特倫尼
Belletti,儒利亚诺·贝莱蒂
Maiara Walsh,瑪雅拉·沃許
Marina Silva,玛丽娜·席尔瓦
Arthur Zanetti,亚瑟·扎内蒂
Raul Seixas,勞爾·塞沙斯
Guilherme Toldo,古希美·托度
João Pessoa Cavalcanti de Albuquerque,若昂·佩索阿·卡瓦爾康蒂·德·阿爾伯克基
José Sarney,若泽·萨尔内
Rodrigo Tabata,罗德里戈·巴尔博扎·田畑
Gregório de Matos,G.de 马托斯·格拉
Ailton Almeida,艾列頓
Orlando Brandes,羅蘭·布蘭德斯
Wallace Souza,華萊士·蘇薩
Royce Gracie,羅伊斯·格雷西
Léo Itaperuna,莱奥·伊塔佩鲁纳
José Marco Melo,澤·馬可·德·梅洛
Fernando Silva (nadador),费尔南多·席尔瓦
Ânderson Polga,安達臣·普加
Geovanni,热奥瓦尼
Álvaro Luiz Maior de Aquino,阿爾瓦羅·路易斯·梅爾·德·阿奎諾
Djair Kaye de Brito,查亞·凱伊·德·布里托
Olívio Dutra,奧利維奧‧杜特拉
Ânderson Miguel da Silva,安德森·米格尔·达·席尔瓦
Álvaro de Miranda Neto,阿尔瓦罗·德米兰达·内托
Bruno Fernandes de Souza,布魯諾·費南德斯·德·索薩
Bruno Coutinho Martins,布鲁诺·库蒂尼奥
Alfie Enoch,阿尔弗莱德·伊诺奇
Paula Morelenbaum,寶拉·莫雷倫鮑姆
Casemiro Mior,米路
Manoel dos Santos Filho,伊達
Isaac Karabtchevsky,艾薩克·卡拉布切夫斯基
Edmilson Junior Paulo da Silva,埃德米尔森·儒尼奥尔
Celso Furtado,塞尔索·富尔塔多
Helô Pinheiro,埃洛·皮涅罗
Luiz Henrique da Silva Brito,類斯·亨利·達·西爾瓦·布里托
Bruna Tenório,布鲁娜·特诺里奥
Fred Carreiro,靴拔·費特列高·卡里路·達施華
Giovane Alves da Silva,基奧雲尼·艾維斯·達施華
Elaine Estrela Moura,埃兰妮·埃什斯特拉·莫拉
Huenes Marcelo Lemos,曉尼斯·馬些路·利莫斯
Otacílio Luziano da Silva,奧吉西利奧·盧西亞諾·達-席爾瓦
Zé Sérgio,澤·塞爾吉奧
Sônia Braga,索尼娅·布拉加
Ana Beatriz Barros,安娜·貝琪茲·巴洛斯
Nei Paulo Moretto,內·保祿·莫雷托
Eduardo Nascimento Costa,爱德华多·纳西门托·科斯塔
Bruno Mineiro,布鲁诺·米内罗
Vampeta,万佩塔
Guilherme Guido,吉列尔梅·吉多
Emerson de Andrade Santos,艾馬臣·度·安達迪·山度士
Ronald Biggs,朗尼·畢格斯
Victor Leandro Bagy,维克托·莱昂德罗·巴吉
Osvaldo Aranha,奥斯瓦尔多·阿拉尼亚
Alexandre Gemignani,亚历山大·热米尼亚尼
Rômulo Borges Monteiro,羅慕洛
Jean Charles de Menezes,琼·查尔斯·德梅内塞斯
Anaílson Brito Noleto,阿尼尔森·布里托·诺莱托
Ipojucã Lins de Araújo,伊波儒卡·林斯·德·阿勞霍
Ana Hickmann,安娜·希克曼
Gylmar dos Santos Neves,基爾馬
Carlos Antônio Dobbert de Carvalho Leite,卡瓦爾奧·雷特
Eliane Elias,伊莲·伊莱亚斯
Ney Fabiano,尼尔·法比亚诺
Edu Dracena,埃杜·德拉塞纳
Maicon Pereira Roque,迈孔·佩雷拉·罗克
Fabiana Claudino,法比安娜·科勞迪諾
Paula Pequeno,葆拉·佩克諾
Gustavo Nery,尼爾
Vital Corbellini,維塔爾·科爾貝利尼
Marcello Romano,才祿·羅馬諾
José Lázaro Robles,荷西·拉薩羅·羅伯斯
Gilberto Galdino dos Santos,比圖
Renan Marques,兰恩·奥古斯图·马基斯
Roberto Mangabeira Unger,昂格爾
Jurandir de Freitas,朱蘭迪爾
José Eudes Campos do Nascimento,若瑟·埃烏德斯·坎波斯·多·納斯西門托
José Ruy Gonçalves Lopes,若瑟·勞得力·貢薩爾韋斯-洛佩斯
Jaime Oncins,傑米·翁辛斯
Bruno Gagliasso,布鲁诺·
Leonardo dos Santos Silva,多斯·桑托斯
Leopoldina de Bragança e Bourbon,利奥波丁娜公主
Marcelinho Machado,馬塞利尼奧·馬查多
Maurício Camargo Lima,毛里西奧·利馬
Almeida Júnior,若塞·費爾拉茲·德·阿爾梅達·茹尼奧爾
Anselmo Duarte,安塞尔莫·杜阿尔特
Anselmo Tadeu Silva do Nascimento,安塞尔莫
Valdeci Basílio da Silva,瓦尔迪奇·巴基里奥·达·席尔瓦
Dani Lins,丹妮·林斯
Marcelinho Paraíba,马塞利尼奥
Felipe Kitadai,菲利普·基塔戴
João Pinheiro Chagas,若昂·沙加斯
Mário Vianna,馬里奧·西爾韋拉·維安納
Sheilla Castro,谢拉·卡斯特罗
Jade Barbosa,雅德·巴尔博莎
Bebel Gilberto,貝波·吉兒柏托
Leandro Simioni,莱安德罗·西米奥尼
Moacir Rodrigues dos Santos,莫阿基·罗德里格斯·桑托斯
Carlos Renato Frederico,卡洛斯·雷纳托·弗雷德里科
Carlos Santos de Jesus,卡洛斯·桑托斯·德·赫苏斯
Guy Ecker,盖伊·艾克尔
Januária Maria de Bragança,热努阿利亚公主
Rafael Moura,拉斐尔·莫拉
Eumir Deodato,犹米勒·德奥达托
Willian Gomes de Siqueira,威廉
Pedro Tonon Geromel,傑羅梅爾
Márcio de Souza Mello,馬斯奧·美羅
Roniéliton Pereira Santos,罗尼
Dino da Costa,迪诺·达科斯塔
Manuel Nunes,尼哥
Maya Gabeira,玛雅·加贝拉
Silvino João de Carvalho,卡瓦略
Cláudia Abreu,克勞蒂婭·阿布雷烏
Cao Hamburger,卡歐·漢巴格
Alberto Taveira Corrêa,亞爾伯·塔維拉-科雷亞
Fabrício Werdum,法布雷西歐·溫頓
Wallyson,禾尼臣
Ricardo Sugano,魁圣一郎
Ná Ozzetti,娜·奥泽蒂
Bellini,希特拉度·貝里尼
Thaísa Menezes,泰莎·梅內塞斯
Rita Lee,麗塔·李
Alberto Malcher,阿爾貝托·達伽馬·馬里奇
Fernanda Garay,費爾南達·加雷
Carlos Luz,卡洛斯·科英布拉·达卢斯
Douglas Pereira dos Santos,道格拉斯
João Mamede Filho,若望·馬梅德-菲爾奧
Cristiane Santos,克里斯蒂安·賈斯蒂諾
Milene Domingues,米兰妮
Honório Hermeto Carneiro Leão,奥诺里奥·赫梅托·卡内罗·莱奥
José Guilherme Baldocchi,何塞·吉列爾梅·巴爾多奇
Iara Lee,耶拉·李
Ramón Rodrigo de Freitas,雷文·洛迪高·費爾迪斯
Felipe Alves de Souza,菲利比·艾華斯·達·蘇沙
Francisco Canindé Palhano,方濟各·卡寧德-帕利亞諾
Francisco Costa (estilista),范斯高·科斯達
Alexandra Araujo,亚历山德拉·阿劳若
Mancha Solar,太陽黑子 (漫威漫畫)
Paulo Sérgio Betanin,保罗·塞尔吉奥·贝塔宁
Michelle Alves,米歇尔·阿尔维斯
Cláudio Hummes,克勞迪奧·胡默斯
Guilhermina Guinle,圭涅米娜·古茵勒
Aloísio Jorge Pena Vitral,類思·喬治·佩納-維特拉爾
Joaquim Giovanni Mol Guimarães,若亞敬·若望·莫爾-吉馬朗埃斯
Roque Costa Souza,羅格·科斯塔-索扎
Celso Amorim,塞尔索·阿莫里姆
Nildo Parente,尼尔多·帕伦特
Jenílson Ângelo de Souza,朱力爾
Alex Mineiro,阿歷斯·明尼路
Cássia Eller,卡西亚·埃勒
Larissa França,拉里萨·弗兰卡
Pedrinho Matador,佩德羅·羅德里格斯·菲略
Carlos Gomes,安东尼奥·卡洛斯·戈麦斯
Fábio Luiz Magalhães,法比奧·路易斯·馬加良斯
Jayme Monjardim,傑梅·蒙雅爾廷
Gérson de Oliveira Nunes,蓋爾森
Edgar Bruno Silva,埃德加·布鲁诺·达·席尔瓦
Xuxa,玛丽亚·达格拉·梅内盖尔
Alecsandro,阿莱克桑德罗
Héber Roberto Lopes,希洛·佩斯
Lina Bo Bardi,莉娜·博·巴尔迪
Emerson Leão,艾美臣里歐
Eduardo Delani,爱德华多·德拉尼
Igor José Marigo de Castro,伊哥·荷西·馬利高·迪·卡斯度
Éder Luciano,艾達·盧斯安奴
Zé Carioca,喬奧·卡里奧卡
Éder Aleixo de Assis,埃德尔·阿莱绍·德·阿西斯
Éder Jofre,埃德·喬弗雷
Tancredo Neves,坦克雷多·內維斯
Girônimo Zanandréa,吉羅尼莫·扎南德雷阿
Celso Antônio Marchiori,賽蘇·安多尼·馬爾基奧里
Rachel de Queiroz,拉谢尔·德·凯罗斯
Bruno César Correa,布魯諾·科雷亞
Ricardo Lucas,里卡多·盧卡斯
Agostinho Fortes Filho,奧古斯丁·福特斯·菲略
Vicente do Rego Monteiro,維森特·多·雷戈·蒙特羅
José Rodrigues Neto,尼圖
Thiago Carleto,卡尼圖
Tandara Caixeta,坦達拉·凱謝塔
Adenízia da Silva,阿德尼琪亞·達施華
Élson Falcão da Silva,埃森
Gilmar Luís Rinaldi,吉马尔·里纳尔迪
Negueba,尼古爾巴
Nathan Júnior,内森·儒尼奥尔
Gabriel Silva,加布里埃尔·席尔瓦
Deborah Colker,德博拉·库克尔
Margareth Menezes,玛格丽特·梅内塞斯
Haroldo de Campos,阿罗多·德·坎波斯
Júlio César da Silva,儒里奥·塞萨尔
Gustavo Manduca,曼杜卡
Roberto Firmino Barbosa de Oliveira,罗伯托·菲尔米诺
Willian Arão,威廉·阿勞
Juary,华利
Chica Xavier,奇卡·泽维尔
Kiko Loureiro,奇可·羅瑞洛
Lucas Michel Mendes,卢卡斯·门迪斯
Márcio Fabiano Giovanini,馬斯奧·基奧雲尼
Germán Efromovich,格尔曼·叶夫罗莫维奇
Samir Lima de Araújo,萨米尔·利马·德·阿劳约
José Viegas Filho,若泽·维埃加斯
Natália Pereira,娜塔莉亞·佩雷拉
Bruno Soares,布魯諾·蘇雷斯
Giovanna Ewbank,乔凡娜·尤班克
Rogério de Assis Silva Coutinho,罗热里奥·德阿西斯·席尔瓦·科蒂尼奥
Reinaldo Gonçalves Félix,連拿度·干卡維斯·菲里克斯
