Hebe Camargo,이비 카마르구
Dante Bonfim Costa Santos,단치
Kevin Kurányi,케빈 쿠라니
Mano Menezes,마누 메네지스
Jorge Amado,조르지 아마두
João Havelange,주앙 아벨란제
Zizinho,지지뉴
Nilmar,니우마르
Elano,일라누
Éverton Santos,이베르통 산투스
Reinaldo da Cruz Oliveira,헤이나우두 다 크루스 올리베이라
Willian Borges da Silva,윌리앙 보르지스 다 시우바
Leandro Montera da Silva,레안드루 몬테라 다 시우바
Edmilson dos Santos Silva,에드미우송 두스 산투스 시우바
Pita (futebolista),에드발두 올리베이라 차베스
Deodoro da Fonseca,데오도루 다 폰세카
Neymar,네이마르
Juan Silveira dos Santos,주앙 시우베이라 두스 산투스
Cléo (futebolista),클레우
Nathalia Dill,나탈리아 딜
Isabeli Fontana,이자벨리 폰타나
Juscelino Kubitschek,주셀리누 쿠비체크
Júlia Lemmertz,줄리아 레멘츠
Felipe Massa,펠리피 마사
Pedro II do Brasil,페드루 2세 (브라질)
Dida (futebolista),지다 (축구 선수)
Rafael Pereira da Silva (1990),하파에우 페헤이라 다 시우바
Nílton Santos,니우통 산투스
Gilberto Silva,지우베르투 시우바
Gustavo Kuerten,구스타부 키르텡
Anderson Andrade,안드라지 안투니스 안데르송
Fumagalli,푸마갈리
João Goulart,주앙 굴라르
Luiz Inácio Lula da Silva,루이스 이나시우 룰라 다 시우바
Marcelo Vieira da Silva Júnior,마르셀루 비에이라
Benny Feilhaber,베니 페일하버
Maria Leopoldina da Áustria,마리아 레오폴디네 폰 외스터라이히 여대공
Lucimar da Silva Ferreira,루시우
Getúlio Vargas,제툴리우 바르가스
Aílton Gonçalves da Silva,아이우통 곤사우베스 다 시우바
Grafite (futebolista),그라피치
Carlos Alberto Parreira,카를루스 아우베르투 파헤이라
Felipão (treinador de futebol),루이스 펠리피 스콜라리
José Carlos Ferreira Filho,조제 카를루스 페헤이라 필류
Thiago Motta,티아고 모타
Jairzinho,자이르지뉴
Marcos Aoás Corrêa,마르키뉴스
Tite (treinador de futebol),치치 (축구인)
Ronaldinho Gaúcho,호나우지뉴
Dilma Rousseff,지우마 호세프
Josué Anunciado de Oliveira,조주에
Jorge de Amorim Campos,조르지뉴 (1964년)
Paulo Freire,파울루 프레이리
João Gilberto,주앙 지우베르투
Giovane Élber,지오바니 에우베르
Leonardo Nascimento de Araújo,레오나르두 아라우주
Jorginho Putinatti,조르지뉴 푸틴나티
Gil (futebolista),지우 (축구 선수)
Igor de Camargo,이고르 지 카마르구
Jorge Ben Jor,조르지 벵 조르
Adriano Imperador,아드리아누 레이치 히베이루
João Figueiredo,주앙 피게이레두
Luís Fabiano,루이스 파비아누
Carlos Alberto Dias,카를로스 알베르토 지아스
Euller,이울레르
Roger Machado,호제르 마샤두 마르케스
Dunga,둥가
Robert da Silva Almeida,호베르트 다 시우바 아우메이다
Maxwell Scherrer Cabelino Andrade,마스웨우
Vilém Flusser,빌렘 플루세르
Denílson Pereira Neves,데니우송 페레이라 네베스
Ronald Golias,로널드 골리앗
Sandro Cardoso dos Santos,산드루 카르도주 두스 산투스
Thiago Silva (futebolista),치아구 시우바
Sérgio Manoel Júnior,세르지우 마노에우
Adriano Correia,아드리아누 코헤이아
Breno Vinícius Rodrigues Borges,브레누 보르지스
Diego Ribas,지에구 히바스 다 쿠냐
Eder Citadin Martins,에데르 시타징 마르칭스
Sammir,사미르 (축구 선수)
Zeca Pagodinho,제카 파고딩요
Marcos Senna,마르코스 세나
David Luiz,다비드 루이스
Rubens Barrichello,후벵스 바히셸루
Liedson,리에드송
Ânderson Luís da Silva,루이장
Evair,이바이르 아파레시두 파울리누
Fabio Pereira da Silva,파비우 페헤이라 다 시우바
Djalminha,자우밍야
Francisco Ernandi Lima da Silva,미한디냐
Zico,지쿠
Edu Marangon,에두 마랑공
Dante Amaral,단치 아마라우
Paulo Silas,파울루 실라스
Carmen Miranda,카르멩 미란다
Alex Rodrigo Dias da Costa,알레스 호드리구 지아스 다 코스타
Emerson Ferreira da Rosa,이메르송
Oséas,오세아스
Alessandro Cambalhota,알레산드로 안드라데 지 올리베이라
Marcel Augusto Ortolan,마르세우 아우구스투 오르톨랑
Tartá,타르타
Fábio Aurélio,파비우 아우렐리우
André Moritz,안드레 모리츠
Elivélton,일리베우통 아우베스 후피누
Antônio Benedito da Silva,안토니오 베네디토 다 실바
Lucas Piazón,루카스 피아종
Vera Fischer,베라 피셔
Marques (futebolista),마르케스 바티스타 지 아브레우
Eduardo Francisco da Silva Neto,에두아르두 프란시스쿠 지 시우바 네투
Almir de Souza Fraga,아우미르 지 소우자 프라가
Daniel Alves,다니 아우베스
Zé Roberto (futebolista),제 호베르투 (1974년)
Cacau (futebolista),카카우
Tom Jobim,안토니우 카를루스 조빙
Adhemar Ferreira da Silva,아데마르 페헤이라 다 시우바
Sandy,산지 레아 리마
Marcos Rocha (futebolista),마르쿠스 호샤
Elkeson,이우케종
Robinho,호비뉴
Leandro Barbosa,레안드루 바르보자
Astrud Gilberto,아스트루드 지우베르투
Ivete Sangalo,이베치 상갈루
Emerson Sheik,이메르송 세이크
Roberto Rivellino,호베르투 히벨리누
Lucas Leiva,루카스 레이바
Maurren Maggi,마우렌 마지
Alice Braga,앨리스 브라가
Morena Baccarin,모레나 바카링
Lateef Crowder,라티프 크로더
Emerson Conceição,이메르송 다 콘세이상
Cicinho,시시뉴
Gilberto Gil,지우베르투 지우
Doni Marangon,도니에베르 알레샨데르 마랑공
Márcio Rafael Ferreira de Souza,하피냐 (1985년)
Rhayner,하이네르 산투스 나시멘투
Dedê,레오나르두 지 지우스 산투스
Sandro Ranieri Guimarães Cordeiro,산드루 하니에리
Fernando Henrique Cardoso,페르난두 엔히키 카르도주
Jordana Brewster,조대나 브루스터
Ana Paula Arósio,아나 파울라 아로지우
Marta (futebolista),마르타 비에이라 다 시우바
Izabel Goulart,이자베우 굴라르
Escadinha (voleibolista),세르지우 산투스 (배구 선수)
Alex Sandro,알레스 산드루
Chico Mendes,시쿠 멩지스
Sarah Menezes,사라 메네지스
Sebastião Lazaroni,세바스치앙 라자로니
Maria II de Portugal,마리아 2세
Toninho Cerezo,토니뉴 세레주
José João Altafini,조제 알타피니
Amauri Carvalho de Oliveira,아마우리 카르발류 지 올리베이라
Neto Murara,노르베르투 무라라 네투
Gomes (futebolista),에우렐류 고메스
Maicon Douglas Sisenando,마이콩 도글라스 시제난두
Romário,호마리우
Gal Costa,가우 코스타
Cafu,카푸
Belletti,줄리아누 벨레치
Caroline Trentini,카롤리니 트렌치니
Fernando Collor,페르난두 콜로르 지 멜루
Jajá Coelho,자자 (축구 선수)
Rômulo Borges Monteiro,호물루 보르지스 몬테이루
Edenílson,이데니우송 안드라지 두스 산투스
Artur Moraes,아르투르 모라이스
Alan Carvalho,알랑 (1989년)
Bismarck Barreto Faria,비스마르크 바레투 파리아
Eduardo da Silva,에두아르두 다 시우바
Garrincha,가린샤
Sérgio Luís Donizetti,주앙 파울루 (1964년)
Marina Silva,마리나 시우바
Maiara Walsh,마이아라 월시
Sônia Braga,소냐 브라가
Floriano Peixoto,플로리아누 페이쇼투
Ana Beatriz Barros,아나 베아트리스 바후스
Danilo Gabriel de Andrade,다닐루 가브리에우 지 안드라지
Oswaldo Cruz,오즈와우두 크루스
Toquinho,토키뉴
Francisco Lachowski,프란시스쿠 라쇼우스키
Joubert Araújo Martins,조베르트 아라우주 마르칭스
Márcio Rodrigues,마르시우 로드리게스
Jennifer O'Neill,제니퍼 오닐
Cristiane Rozeira,크리스치아니 호제이라
José Sarney,조제 사르네이
Raquel Zimmermann,하케우 지메르망
Rodrigo Tabata,호드리구 다바타
Edu Dracena,에두 드라세나
Maicon Pereira Roque,마이콩 페헤이라 호케
Hermeto Pascoal,에르메투 파스코아우
Arthur Zanetti,아르투르 자네치
Zé Sérgio,제 세르지우
Alfie Enoch,앨프리드 이넉
Roniéliton Pereira Santos,호니엘리통 두스 산투스
Victor Leandro Bagy,빅투르 레안드루 바기
Sérgio Buarque de Holanda,세르지우 부아르케 데 올란다
Júnior Negrão,주니오르 네그랑
Ânderson Miguel da Silva,안데르송 미게우 다 시우바
Ânderson Polga,안데르송 포우가
Fabrício Werdum,파브리시우 베르둥
Moacir Rodrigues dos Santos,모아시르 로드리게스 산투스
Arthur Moreira Lima,아르투르 모레이라 리마
Thiago Ribeiro,치아구 히베이루
Willian Bigode,윌리앙 고메스 지 시케이라
Ana Hickmann,아나 이크망
Manuel Nunes,네쿠
Renato Pé Murcho,카를루스 헤나투 프레데리쿠
Gylmar dos Santos Neves,지우마르 두스 산투스 네베스
Bebel Gilberto,베베우 지우베르투
Eliane Elias,일리아니 일리아스
Guy Ecker,가이 에커
Edgar Bruno da Silva,이드가르 브루누 다 시우바
Iara Lee,이아라 리
Celso Amorim,세우수 아모링
Hugo Hoyama,우구 호야마
Argel Fuchs,아르제우 푸크스
Araújo (futebolista),클레메르송 지 아라우주 소아리스
Guilherme dos Santos Torres,길례르미 두스 산투스 토히스
Roberto Firmino,호베르투 피르미누
Lucas Michel Mendes,루카스 멘데스
Kiko Loureiro,키코 루레이로
Mancha Solar (personagem),선스팟
Zé Carioca,조제 카리오카
Edvaldo Alves de Santa Rosa,이드바우두 아우베스 지 산타 호자
Pedro Geromel,페드루 제루메우
Cristiane Justino,크리스치아니 주스티누
Milene Domingues,밀레니 도밍게스
João Carlos Pinto Chaves,주앙 카를루스 핀투 샤베스
Maria Olívia da Silva,마리아 올리비아 다 시우바
Tuta (futebolista),투타 (축구 선수)
Felipe Lopes,펠리피 알리스치 로페스
Muriqui (futebolista),무리키 (축구 선수)
Fernanda Garay,페르난다 가라이
Lina Bo Bardi,리나 보 바르디
Fábio Santos Romeu,파비우 산투스 호메우
Tancredo Neves,탕크레두 네베스
Tandara Caixeta,탄다라 카이셰타
Antônio da Silva,안토니우 다 시우바
Antônio de Castro Mayer,안토니오 드 카스트로 마이어
Bruninho (voleibolista),브루누 헤젠지
Ana Carolina (cantora),아나 카롤리나
Sandro Hiroshi,산드루 히로시
Caio Canedo Correa,카이우 카네두 코헤아
Antonio Candido,안토니우 칸지두
Autran Dourado,아우트랑 도라두
Rafael Suzuki,하파에우 스즈키
Maranhão (futebolista),프랜시닐손 산토스 미렐레스
Eduardo Neto,에두아르두 다 시우바 나시멘투 네투
Glaube Feitosa,글라우베 페이토자
Emerson Leão,이메르송 레앙
Guilherme Paraense,길례르미 파라엔시
Xuxa,슈샤 (연예인)
Ricardo Rogério de Brito,히카르두 호제리우 지 브리투
Gilberto Ribeiro Gonçalves,지우베르투 히베이루 곤사우베스
Casemiro (futebolista),카제미루
Deborah Secco,데보라 세코
Rafael Cabral,하파에우 카브라우
Sérgio Echigo,세르지우 에치고
João Ubaldo Ribeiro,주앙 우바우두 히베이루
Betty Faria,베치 파리아
Bento Gonçalves da Silva,벤투 곤사우베스 다 시우바
Carla Camurati,카를라 카무라치
Letícia Birkheuer,레치시아 비르케우에르
Rachel de Queiroz,하셰우 지 케이로스
Dodô (futebolista),히카르두 루카스 도도
Rômulo Marques Macedo,호물루 마르케스 마세두
Luís Carlos Fernandes,루이스 카를루스 페르난지스
Eninho,이니우 올리베이라 주니오르
Laurindo Almeida,로린도 알메이다
Jucilei,주실레이
João Cabral de Melo Neto,주앙 카브라우 지 멜루 네투
Ziad Fazah,지아드 파자
Oswaldo de Oliveira (treinador de futebol),오즈와우두 지 올리베이라
Giselle Itié,지젤 이티에
Marjorie Estiano,마르조리 이스치아누
Fábio Henrique Tavares,파비뉴
Rubens Fernando Moedim,후비뉴
Wagner Lopes,로페스 와그너
Daniel Filho,다니에우 필류
Rafaela Silva,하파엘라 시우바
Mariana Ximenes,마리아나 시메니스
Lucélia Santos,루셀리아 산투스
Giovanna Antonelli,지오바나 안토넬리
Marcos Paulo Alves,마르쿠스 파울루 아우베스
Maicosuel,마이코주에우
José Ricardo dos Santos Oliveira,조제 히카르두 두스 산투스 올리베이라
Marcelo Gleiser,마르셀루 글레이제르
Mascarenhas de Morais,주앙 바프치스타 마스카레냐스 지 모라이스
Ernesto Geisel,에르네스투 가이제우
Humberto Castelo Branco,움베르투 지 알렝카르 카스텔루 브랑쿠
Carlos Alberto Torres,카를루스 아우베르투 토히스
Rodrigo Santoro,호드리구 산토루
César Cielo,세자르 시엘루 필류
Phan Văn Santos,판반산투스
Jardel Nivaldo Vieira,자르데우 니바우두 비에이라
Marquinhos Cambalhota,마르쿠스 고메스 지 아라우주
Perla Haney-Jardine,펄라 헤이니자딘
Lucas Severino,루카스 세베리누
Andre Matos,앙드레 마토스
Lisa Ono,오노 리사
Plínio Salgado,플리누 사우가두
Edmílson,에드미우송 고메스
Vágner Love,바그네르 로비
Cláudio Taffarel,클라우지우 타파레우
Deco,데쿠
Danilo Silva,다닐루 아파레시두 다 시우바
Evandro Goebel,에반드루 괴벨
Regina Duarte,헤지나 두아르치
Vital Brazil,비타우 브라지우
Aldair (futebolista),아우다이르
Roger Guerreiro,호제르 게헤이루
Rodrigo Taddei,호드리구 타데이
Diego Maurício,지에구 마우리시우
Rogério Ceni,호제리우 세니
Daishiro Yoshimura,요시무라 다이시로
Djalma Santos,자우마 산투스
Emílio Garrastazu Médici,에밀리우 가라스타주 메디시
Cristiano Marques Gomes,크리스티아누 마르케스 고메스
Taison,타이송
Fábio Deivson Lopes Maciel,파비우 데이비송 로페스 마시에우
Schwenck,클레베르 슈벵크 티에니
Fernando Lucas Martins,페르난두 루카스 마르칭스
Émerson Carvalho da Silva,이메르송 카르발류 다 시우바
"Marquinho (futebolista, 1986)",마르쿠 안토니우 지 마투스 필류
Florinda Bolkan,플로린다 보우캉
Amoroso,마르시우 아모호주
Caetano Veloso,카에타누 벨로주
Jânio Quadros,자니우 쿠아드루스
Leonardo Bittencourt (futebolista),레오나르도 비텡코우르트
Rickson Gracie,힉슨 그레이시
André Santos,안드레 산투스
Edu Manga,에두 망가
Roberto Ierusalimschy,호베르투 이에루잘림스시
Felipe (futebolista),펠리피 몬테이루
Michel Bastos,미셰우 바스투스
Marcus Túlio Tanaka,다나카 마르쿠스 툴리오
Kléberson,조제 클레베르송
David Bohm,데이비드 봄
Machado de Assis,마샤두 지 아시스
Waldemar Aureliano de Oliveira Filho,마지뉴 올리베이라
Mário Fernandes,마리우 피게이라 페르난지스
Luiz Carlos Vasconcelos,루이즈 카를로스 바스콘셀로스
Gilberto da Silva Melo,지우베르투 다 시우바 멜루
"Júnior (futebolista, 1954)",레오베지우두 링스 다 가마 주니오르
Tostão,토스탕
Fabiano Santacroce,파비아노 산타크로체
Paulo Rink,파울루 힝크
Barbosa (futebolista),모아시르 바르보자 나시멘투
Derlei,데를레이
Letícia Sabatella,레치시아 사바텔라
Vavá,에드발두 지지디우 네투
Zagallo,마리우 자갈루
Giuseppe Ungaretti,주세페 운가레티
Philippe Coutinho,필리피 코치뉴
Leônidas da Silva,레오니다스 다 시우바
Denílson de Oliveira,데니우송 지 올리베이라 아라우주
Wanderson de Paula Sabino,완데르송 지 파울라 사비누
Odilo Scherer,오질루 셰레르
Marcolino Gomes Candau,마르콜리노 칸다우
Robson Conceição,호브송 콘세이상
Eduardo Saverin,에드와도 새버린
Didi (futebolista),발지르 페헤이라
Carlos Marighella,카를루스 마리겔라
Sérgio Cláudio dos Santos,세르지우 클라우지우 두스 산투스
Sylvinho,시우비뉴
Paulo Roberto Falcão,파울루 호베르투 파우캉
Costa e Silva,아르투르 다 코스타 이 시우바
Mineiro (futebolista),미네이루
Frederico Chaves Guedes,프레데리쿠 샤베스 게지스
Lucas Moura,루카스 모우라
Diego Alves,지에구 아우베스
Raí,하이 (축구 선수)
Neto Baiano,에우바우두 조제 지 아기아르 네투
França (futebolista),프란사
Bruno César,브루누 세자르
Giuliano,줄리아누 지 파울라
Morris Albert,모히스 알베르트
Rômulo Souza Orestes Caldeira,로물로 소자 오레스테스 칼데이라
Lea T,레아 T
Allan Marques Loureiro,알랑 마르케스 로레이루
Willian José,윌리앙 주제 다 시우바
Naldo (futebolista),나우두
Santos Dumont,알베르토 산토스뒤몽
Henrique Adriano Buss,엔히크 아드리아누 부스
Hernanes,에르나니스
Paulo Henrique Ganso,파울루 엔히키 간수
Andrés D'Alessandro,안드레스 달레산드로
Artur Avila,아르투르 아빌라
José Oscar Bernardi,조제 오스카르 베르나르지
José Padilha,조제 파질랴
Nilton Mendes,니우통 페레이라 멘지스
Waldo Machado,와우두 마샤두
Jô (futebolista),조 (축구 선수)
Keirrison,케이히송
Vanderlei Luxemburgo,반데를레이 루솀부르구
Marcelo Zarvos,마르셀루 자르부스
Marcos Aurélio de Oliveira Lima,마르쿠스 아우렐리우 지 올리베이라 리마
Eduardo Pereira Rodrigues,에두아르두 페헤이라 호드리게스
Bruno Cortês,브루누 코르테스
Eva Wilma,에바 비우마
Stênio Garcia,스테니오 가르시아
Ary Barroso,아리 바호주
Edu Gaspar,에두 가스파르
Ricardo Oliveira,히카르두 올리베이라
Carlos Simon,카를루스 이우제니우 시몽
Roque Júnior,호케 주니오르
Paulo Sérgio Silvestre Nascimento,파울루 세르지우 시우베스트레 두 나시멘투
César Sampaio,세자르 삼파이우
Carlos Alberto Carvalho dos Anjos Junior,카를루스 아우베르투 카르발류 두스 안주스 주니오르
Aracy Balabanian,아라시 발라바냔
Vampeta,밤페타
Kelly Key,켈리 케이
Nenê (futebolista),네네 (1981년)
Juninho Paulista,주니뉴 파울리스타
Jardel,마리우 자르데우
João Miranda de Souza Filho,주앙 미란다
Luís Oliveira,루이스 올리베이라
Ferreira Gullar,페헤이라 굴라르
Paulo Sérgio Oliveira da Silva,파울루 세르지우 올리베이라 다 시우바
Marcelo Antônio Guedes Filho,마르셀로 안토니오 궤데스 필로
Walter Afanasieff,월터 아파나시에프
Rafael Alencar,하파에우 알렝카르
Cláudia Abreu,클라우지아 아브레우
Priscilla Meirelles de Almeida,프리실라 메이렐리스
Júnior Moraes,주니오르 모라이스
George Kobayashi,고바야시 조지
Lucas Saatkamp,루카스 사트캄프
Tita (futebolista),치타 (축구인)
Antônio Silva (lutador),안토니우 시우바
Rafael Silva (judoca),하파에우 시우바 (유도 선수)
Douglas Pereira dos Santos,도글라스 페레이라 두스 산투스
Toninho Guerreiro,토니뉴 게헤이루
Jonas Gonçalves Oliveira,조나스 곤사우베스 올리베이라
Léo Baptistão,레오 밥티스탕
"Luiz Gustavo (futebolista, 1987)",루이스 구스타부
Fábio Júnior Pereira,파비우 주니오르
Nelsinho Baptista,네우시뉴 바프치스타
Dorival Caymmi,도리바우 카이미
Eduardo Antunes Coimbra,에두아르두 안투니스 코임브라
Eduardo Kac,에두아르도 칵
Chico Buarque,치코 부아르케
Ademir de Menezes,아데미르 마르케스 지 메네지스
Vinicius de Moraes,비니시우스 지 모라이스
"Thomas Cochrane, 10.º Conde de Dundonald",제10대 던도날드 백작 토머스 코크레인
Sérgio Vieira de Mello,세르지우 비에이라 지 멜루
Edgard Leuenroth,에드가르드 레우엔로스
Olavo de Carvalho,올라부 지 카르발류
Pedro Henrique de Orléans e Bragança,페드루 엔히키 지 오를레앙스이브라간사
José Alencar,조제 알렝카르
Flávio Conceição,플라비우 콘세이상
Filipe Luís,필리피 루이스
Luiz Carlos Bombonato Goulart,루이스 봄보나투 굴라르
Gilmar Rinaldi,지우마르 호나우디
Negueba,길례르미 네게바
Donizete Pantera,오즈마르 도니제치 칸지두
Egberto Gismonti,이그베르투 지즈몬티
Mequinho,헨리크 메킹
Otto Bumbel,오투 붐베우
Daniella Cicarelli,다니엘라 시카렐리
Fernanda Montenegro,페르난다 몬테네그루
Felipe Mattioni,펠리피 마치오니
Rivaldo Barbosa de Souza,히바우두 바르보자 지 소자
Sérgio Mendes,세르지우 멘지스
Mauro Silva,마우루 시우바
Marcos Roberto Silveira Reis,마르쿠스 호베르투 시우베이라 헤이스
Fernando Meirelles,페르난두 메이렐리스
Careca (futebolista),카레카
Jung Mo Sung,성정모
Ruy Guerra,루이 구에라
Rogério Sampaio,호제리우 삼파이우
Ciro Gomes,시루 고메스
Paulo Amaral,파울루 아마라우
Regiane Alves,헤지아네 아우베스
Martial Gueroult,마르샬 게루
Tiago Splitter,치아구 스플리테르
Adaílton Martins Bolzan,아다이우통 마르칭스 보우장
Mike Deodato Jr.,마이크 데오다투
Augusto Cury,아우구스투 쿠리
Wellington Nem,웰링통 넹
Ciro (futebolista),시루 엔히키 아우베스 페헤이라 이 시우바
Anderson Silva,안데르송 시우바
Carlos Ghosn,카를로스 곤
Luan Santana,루앙 산타나
Renato Augusto,헤나투 아우구스투
Nenê Hilário,네네 (농구 선수)
Fernando Prass,페르난두 프라스
Athos Schwantes,아투스 슈완치스
Guilherme Toldo,길례르미 토우두
Robyn Regehr,로빈 레기어
Gabriel Bá,가브리에우 바
Leticia Spiller,레치시아 스필레르
Maria Fernanda Cândido,마리아 페르난다 칸지두
Cássia Kis,카시아 키스
Jadson,자드송
Helton Arruda,에우통 다 시우바 아루다
Edivaldo Rojas,에디발도 에르모사
Nelson Freire,넬슨 프레이레
Damiris Dantas,다미리스 단타스
Antônio Carlos Zago,안토니우 카를루스 사구
Maria Ribeiro,마리아 히베이루
Fernanda Machado,페르난다 마샤두
Lyoto Machida,료투 마치다
Angela Park,안젤라 박
Arthur Friedenreich,아르투르 프리덴라이히
Vanderlei Cordeiro de Lima,반데를레이 지 리마
Christian Corrêa Dionísio,크리스치앙 코헤아 지오니지우
Larissa Costa,라리사 코스타
Fernanda Tavares,페르난다 타바리스
Anderson Varejão,안데르송 바레장
Mehmet Aurélio,메흐멧 아우렐리우
Telê Santana,텔레 산타나
Alessandro dos Santos,산토스 알레산드로
Felipe Anderson,펠리피 안데르송
Bernardo Vieira de Souza,베르나르두 비에이라 지 소자
José Mauro de Vasconcelos,조제 마우루 지 바스콘셀루스
Larissa Ramos,라리사 하무스
Afonso Pedro de Bragança,아폰수 페드루 지 브라질 황태자
Caio Blat,카이오 블랫
Danilo Larangeira,다닐루 라란제이라
Thiago Neves,치아구 네베스
Sávio,사비우
Renato Aragão,헤나투 아라강
Nílton Ferreira Júnior,니우통 페헤이라 주니오르
Rosa Passos,호자 파수스
Juniti Saito,주니치 사이토
Maurício Manieri,마우리시우 마니에리
Andrews Nakahara,앤드루스 나카하라
Sabrina Sato,사브리나 사투
Gabriel Marques (futebolista),가브리에우 마르케스
Angelo da Costa,안젤루 다 코스타 주니오르
Marcelo Chierighini,마르셀루 시에리그히니
Brasileiros,브라질인
Rogério Pinheiro,호제리우 피녜이루 두스 산투스
Victor Andrade,빅토르 안드라지 산투스
Axel Rodrigues,악셀
Maurício Lima,마우리시우 리마
Fábio Rochemback,파비우 호솀바크
Rodrigo Moreno,로드리고 모레노 마차도
Wallace de Souza,왈라시 지 소자
Renato Carlos Martins Júnior,헤나투 카를루스 마르틴스 주니오르
Leandrão (futebolista),레안드루 코스타 미란다
Alexandre Torres,알렉상드르 토레스
Thiago Alves (lutador),치아구 아우베스
Wellington Rocha dos Santos,웰링통 호샤
Hélder Câmara,에우데르 카마라
Marcelinho Carioca,마르셀리뉴 카리오카
Jonathas Cristian de Jesus,조나타스 데 제수스
Daniel da Silva,다니엘 다 시우바
Gilberto Carlos Nascimento,지우베르투 카를루스 나시멘투
José Serra,조제 세하
Anderson Vital da Silva,데데
Leonardo Boff,레오나르도 보프
Ewerton Teixeira,에베르통 테이셰이라
Renzo Agresta,헨주 아그레스타
Astrojildo Pereira,아스트로질두 페레이라
Diego Tardelli,지에구 타르델리
Rodrigo Pimpão,호드리구 핌팡
Adílson Warken,아지우송 와르켕
Matuzalém,마투잘렝
Adílson Batista,아지우송 지아스 바치스타
Miguel Ángel Portugal,미겔 앙헬 포르투갈
Lília Cabral,릴리아 카브라우
Ricardo Arona,히카르두 아로나
Müller (futebolista),뮐레르
Donato Gama da Silva,도나토 가마 다 실바
Isadora Williams,이사도라 윌리엄스
Cássio Ramos,카시우 하무스
Edivaldo Martins da Fonseca,이지바우두 마르칭스 폰세카
Wagner Moura,바그네르 모라
Thiago Cionek,치아구 시오네크
Camila Morgado,카밀라 모르가두
Camila Pitanga,카밀라 피탕가
Douglas Costa,도글라스 코스타
Leandro Vissotto,레안드루 비소투
Rafael de Souza Pereira,하파에우 카리오카
Taís Araújo,타이스 아라우주
Carol Francischini,카롤리니 프란시스시니
Gilberto Oliveira Souza Júnior,지우베르투 올리베이라 소우자 주니오르
Carol Castro,카로우 카스트루
Montezine,파비우 세자르 몬테지니
Mozer,카를루스 모제르
Juliana Knust,줄리아나 크누스트
Ronaldão,호나우두 호드리게스 드 제수스
Josef de Souza Dias,조세프 지 소우자
Cleo,클레우 피리스
Claudia Leitte,클라우지아 레이치
Renan Fernandes Garcia,헤낭 가르시아
Airto Moreira,아이르투 모레이라
Roberto Carlos (futebolista),호베르투 카를루스
Francileudo Santos,프란실레우두 산투스
Edcarlos,이드카를루스 콘세이상 산투스
Daniel de Oliveira,다니에우 지 올리베이라
Fagner (futebolista),파그네르
Luiz Bonfá,루이스 봉파
Léo Silva,레우 시우바
Adriana Esteves,아드리아나 에스테베스
Lázaro Ramos,라자루 하무스
Renan Bressan,헤낭 바르지니 브레상
Guiomar Novaes,기오마르 노바이스
Pretinha,프레치냐
Francisco Filho,프란시스코 필류
Ademilson,아데미우송 브라가 비스푸 주니오르
José Rodolfo Pires Ribeiro,조제 호도우푸 피리스 히베이루
Dira Paes,지라 파이스
Danny Morais,다니 모라이스
Danilo Luiz da Silva,다닐루 루이스 다 시우바
Junior Cigano,주니오르 두스 산투스
Carlos Chagas,카를루스 샤가스
Leandro Castán,레안드루 카스탕
Valdo,바우두 필류
Mel Fronckowiak,메우 프롱코위아크
Diogo Luís Santo,지오구 루이스 산투
Ibson Barreto da Silva,입송
