반기문,潘基文
전지현,チョン・ジヒョン
최홍희,崔泓熙
김남일,金南一
김동진 (1982년),金東進
한덕수,韓悳洙
오범석,呉範錫
한승수,韓昇洙
다나 (가수),ホン・ソンミ
신현확,申鉉碻
리웨이펑,李瑋峰
김황식 (법조인),金滉植
박지성,朴智星
이승엽,李承燁・(野球)
이민우 (가수),イ・ミヌ・(歌手)
류현진,柳賢振
윤보선,尹潽善
김광현 (야구 선수),金廣鉉
김혜수,キム・ヘス
양학선,梁鶴善
임형주,イム・ヒョンジュ
대성 (가수),D-LITE
조은지,チョ・ウンジ
이태규 (화학자),李泰圭
손예진,ソン・イェジン
고아라,Ara
고수 (배우),コ・ス
박미영 (탁구 선수),朴美英
신아람,申雅嵐
한혜진 (배우),ハン・ヘジン
효민,ヒョミン
조호성,趙浩成
제임스 기선 리,ジェームズ・キーソン・リー
환희,ファニ
짐 리,ジム・リー
김보경 (축구 선수),金甫炅
설기현,薛琦鉉
정조국,鄭助國
수지 (1994년),ペ・スジ
서태지,ソ・テジ
김소연 (1980년),キム・ソヨン・(1980年生の女優)
강민수 (축구 선수),姜敏壽
조용형,趙容衡
김태희,キム・テヒ
신민아,シン・ミナ
김희선,キム・ヒソン
이승철,イ・スンチョル
아웃사이더 (래퍼),Outsider・(歌手)
이방자,李方子
김범수 (가수),キム・ボムス
봉중근,奉重根
이소연 (공학자),李素妍・(宇宙飛行関係者)
김성수 (언론인),金性洙
전희철 (농구인),全希哲
정용대,鄭容臺
원세훈 (1951년),元世勲
백진희,ペク・ジニ
박주영,朴主永
박세리,朴セリ
손담비,ソン・ダムビ
전도연,チョン・ドヨン
방수현,方銖賢
임시완,イム・シワン
이휘향,イ・フィヒャン
고은아 (1988년),コ・ウナ
최태원 (기업인),崔泰源・(企業人)
이종원 (배우),イ・ジョンウォン
지동원,池東沅
모태범,牟太釩
장택상,張沢相
이병헌,イ・ビョンホン
김희철 (가수),キム・ヒチョル
현빈,ヒョンビン
김기덕 (1960년),キム・ギドク
이정수 (축구인),李正秀
임수정 (배우),イム・スジョン・(女優)
고아성,コ・アソン
김하늘,キム・ハヌル・(女優)
이중문,イ・ジュンムン
아마드 엘리치,アーマド・エルリッチ
안성기,アン・ソンギ
이후락,李厚洛
이우환,李禹煥
류시원,リュ・シウォン
선동열,宣銅烈
김준수 (가수),ジュンス
남궁민 (배우),ナムグン・ミン
황영조,黄永祚
주세혁,朱世赫
승리 (가수),V.I
전태일,全泰壱
오상은,呉尚垠
장혁,チャン・ヒョク
함석헌,咸錫憲
최희섭,崔煕渉
권양숙,権良淑
신동혁 (1982년),申東赫
유연석,ユ・ヨンソク
김현수 (1988년),金賢洙
김소현 (1999년),キム・ソヒョン・(1999年生の女優)
이규원 (유도 선수),李奎遠・(柔道)
안용준,アン・ヨンジュン
이민호 (1987년),イ・ミンホ
조성환 (1982년),趙晟桓・(サッカー選手)
김동현 (1984년),金東炫・(サッカー選手)
박기동 (축구 선수),朴基棟
여효진,余孝珍
문주원,文周元
박성호 (1982년),朴成鎬
양태영,梁泰栄
김근철,金根哲
장경진,張敬珍
박주호,朴柱昊
석현준,石現俊
박정혜,朴チョン慧
김영광 (축구인),金永光
고건,高建
정성하,チョン・ソンハ
이청용,李青龍
김구,金九
김규식,金奎植
하쿠 신쿤,白眞勲
김사랑 (배우),キム・サラン
나혜석,羅蕙錫
성선임,ソニン・(タレント)
박완서,朴婉緒
김남길,キム・ナムギル
김동진 (축구 심판),金東進・(サッカー審判員)
이은주,イ・ウンジュ
윤아,ユナ・(少女時代)
양용은,梁容銀
배두나,ペ・ドゥナ
임수정 (태권도 선수),イム・スジョン・(テコンドー選手)
김연경,キム・ヨンギョン
이종욱 (의료인),李鍾郁
성시경,ソン・シギョン
육영수,陸英修
홍세화,洪世和
신경숙,申京淑
엄정화,オム・ジョンファ
진은숙,陳銀淑
박영희 (작곡가),ヨンギー・パクパーン
이정현 (1980년),イ・ジョンヒョン
유리 (1989년),ユリ・(少女時代)
최용수 (권투 선수),崔龍洙・(ボクサー)
김웅용,金雄鎔
박유천,ユチョン
정주영,鄭周永
김윤혜,キム・ユネ
조정석,チョ・ジョンソク
정경화,チョン・キョンファ
허정,許政
장동건,チャン・ドンゴン
윤치영,尹致暎
최홍만,チェ・ホンマン
문근영,ムン・グニョン
프란체스카 도너,フランチェスカ・ドナー
빅토르 안,ヴィクトル・アン
성훈 (배우),ソンフン
순정효황후,純貞孝皇后
이문열,李文烈
김태호 (1962년),金台鎬
이루마,イルマ・(作曲家)
장자연,チャン・ジャヨン
김무영 (1987년),JUNO
문선명,文鮮明
VERBAL,VERBAL
김도훈 (1970년),金度勲
대니얼 대 킴,ダニエル・デイ・キム
하리수,ハ・リス
정재영,チョン・ジェヨン
노회찬,魯会燦
원수연,元秀蓮
기보배,奇甫倍
강영훈 (1922년),姜英勲
배영수,裵英洙
조용기,趙鏞基
황우석,黄禹錫
백두진,白斗鎮
김두현 (축구인),金斗炫
려욱,リョウク
이제훈,イ・ジェフン
이한열,李韓烈
강타,Kangta
박현빈,パク・ヒョンビン
효린,ヒョリン
김범,キム・ボム
이민정,イ・ミンジョン
찬성 (가수),チャンソン
이소연 (배우),イ・ソヨン・(俳優)
안익태,安益泰
주원,チュウォン
연우진,ヨン・ウジン
엄지원,オム・ジウォン
정찬성,ジョン・チャンソン
송지은 (1990년),ソン・ジウン
노선영,盧善英
황광희,ファン・グァンヒ
이준기,イ・ジュンギ
조인성 (배우),チョ・インソン・(俳優)
김동준 (1992년),キム・ドンジュン
개구리 소년 사건,カエル少年事件
오선화,呉善花
전여옥,田麗玉
변영태,卞栄泰
윤영선 (1896년),尹永善
권영길,権永吉
장훈,張本勲
신성모,申性模
양준혁,梁埈赫
이종범,李鍾範
김소은,キム・ソウン・(女優)
한가인,ハン・ガイン
거룡,ドラゴン・リー
유현목,ユ・ヒョンモク
박하선,パク・ハソン
차민수,車敏洙
태양 (가수),SOL・(歌手)
이상훈 (1970년),李尚勲
최강창민,チャンミン
조승우,チョ・スンウ
이홍구 (1934년),李洪九
전민희,チョン・ミンヒ
설리 (1994년),ソルリ
이나영,イ・ナヨン
김수현 (1988년),キム・スヒョン・(1988年生の俳優)
홍리나,ホン・リナ
신익희,申翼煕
유빈,ユビン
이회창,李会昌
김윤옥,金潤玉
손연재,孫延在
양익준,ヤン・イクチュン
고우영,コ・ウヨン・(漫画家)
마동석,マ・ドンソク
이승우 (소설가),李承雨
윤증현,尹増鉉
김무영 (1985년),金無英
박철수 (영화 감독),朴哲洙
김현수 (1973년 2월),金鉉洙・(1973年2月生のサッカー選手)
박정수 (배우),パク・チョンス・(女優)
송옥숙,ソン・オクスク
이태성,イ・テソン
라종일 (1940년),羅鍾一
한주리,ハン・ジュリ
레이나 (1989년),レイナ・(韓国の歌手)
박세영 (배우),パク・セヨン
김서형,キム・ソヒョン・(1973年生の女優)
변정일 (1968년),辺丁一
황석호,黄錫鎬
공유 (배우),コン・ユ
태민,テミン
동해 (가수),ドンヘ
김영하 (소설가),金英夏
윤이상,尹伊桑
최동원,崔東原
손기정,孫基禎
민호,ミンホ
박근혜,朴槿恵
함은정,ハム・ウンジョン
황선홍,黄善洪
최진철,崔眞喆
이혜천,李恵践
조재진,曺宰溱
시원 (가수),チェ・シウォン
박신양,パク・シニャン
예성,イェソン
송요찬,宋堯讃
장도영,張都暎
이준 (배우),イ・ジュン
견미리,キョン・ミリ
장준하,張俊河
이철승,李哲承
윤소이,ユン・ソイ
김기희,金基熙
김수근 (건축가),金壽根
김한수 (야구인),金翰秀
장우혁,チャン・ウヒョク
박석진,朴石鎮
홍성흔,洪性炘
로버트 콘스웨이트,ロバート・コーンスウェイト・(サッカー選手)
넬슨 신,ネルソン・シン
김법민 (양궁 선수),金法旼
은혁,ウニョク
노금석,盧今錫
김덕현 (육상 선수),金徳現
한학자,韓鶴子
박영석,朴英碩
김진규 (1985년),金珍圭
하야카와 렌,早川漣
왕기춘,王己春
송유근,ソン・ユグン
강철환,姜哲煥
박소희,朴素熙
이충희,李忠煕
은희경,殷熙耕
김성길,金聖吉
린아,イ・ジヨン
스티븐 연,スティーヴン・ユァン
서우,ソウ・(韓国の女優)
박성수 (양궁 선수),朴成洙・(アーチェリー選手)
이만희 (종교인),李萬煕
이한섭,李漢燮
박시헌,朴時憲
조인성 (야구인),趙寅成・(野球)
박열,朴烈
김성근 (야구인),金星根
권순태,權純泰
원정화,元正花
윤일선,尹日善
이임생,李林生
채만식,蔡萬植
김재규,金載圭
배수빈,ペ・スビン
이종수 (배우),イ・ジョンス・(俳優)
박한별,パク・ハンビョル
엄태웅,オム・テウン
박지빈,パク・チビン
곽민정,郭珉整
이원희 (유도 선수),李元熹
김치곤,金致坤
신태용,申台龍
김동완 (가수),キム・ドンワン
김창수 (축구인),金昌洙・(サッカー選手)
이태란,イ・テラン
김소영 (배드민턴 선수),金昭映
김민우 (축구 선수),金民友
임혁,イム・ヒョク
강성훈,カン・ソンフン
오지환,呉智煥
김성현 (1989년),金聖賢
박용택,朴龍澤
조정래,趙廷来
최무배,チェ・ムベ
유제두,柳済斗
김민석 (피겨스케이팅 선수),キム・ミンソク・(フィギュアスケート選手)
채상병,蔡相秉
이세영 (배우),イ・セヨン
김상현 (1955년),金相賢・(ボクサー)
김민우 (피겨스케이팅 선수),キム・ミヌ
전병두,全炳斗
패티 김,パティ・キム
왕지혜,ワン・ジヘ
조지훈,趙芝薫
정재훈 (1980년),鄭載勳
김유택 (농구인),金裕宅
백인천,白仁天
나지완,羅志完
김원섭,金元燮
김성택,春日王克昌
김원기 (1937년),金元基・(国会議長)
이인혜,イ・イネ
이지안 (미스코리아),イ・ウニ
이윤지,イ・ユンジ
최명길 (배우),チェ・ミョンギル・(女優)
박인환 (배우),パク・イナン
신동 (가수),シンドン
장성호 (야구인),張盛好
강인 (가수),カンイン
박중훈,パク・チュンフン
이용대,李龍大
조경철,趙慶哲
정수근,鄭守根
공지영,孔枝泳
류제국,柳済国
박진영,パク・ジニョン
차승 백,白嗟承
박용하,パク・ヨンハ
김완섭 (1963년),金完燮
김승옥,金承鈺
박지은 (골프 선수),グレース朴
엄홍길,厳弘吉
홍진호,洪榛浩
박종진 (1987년),朴宗眞
김영기 (축구 선수),金永基
이범영,李範永
신병호,申秉皓
박건하,朴建夏
백아연,ペク・アヨン
박성백,朴晟伯
앙드레 김,アンドレ・キム
임유환,林裕煥
김현석 (축구인),金鉉錫
김광선 (권투 선수),金光善
최영진 (1948년),崔英鎮
윤인완,尹仁完
김강민 (야구 선수),金江珉
김인식 (1947년),金寅植
문형진,文亨進
문의제,文義済
이소연 (역도 선수),李昭娟
안수길,安寿吉
주희정,朱熙正
신병현,申秉鉉
김수연 (1983년),金水連
김원일 (소설가),金源一・(小説家)
김소이 (1969년),キム・ソイ
안상수 (창원 출신 정치인),安商守
김경문,金卿文
이수근 (희극인),イ・スグン
김신영,キム・シニョン
이수환 (킥복싱 선수),イ・スファン
서인석 (배우),ソ・インソク
유동근,ユ・ドングン
이재용,李在鎔
강정호,姜正浩
임태훈 (야구 선수),林泰勳
한경직,韓景職
이호원 (1991년),HOYA・(歌手)
이정범,イ・ジョンボム・(映画監督)
이경해,李京海
이돈구 (아이스하키 선수),イ・ドンク・(アイスホッケー)
전인화,チョン・インファ
이만수,李萬洙
최시중,崔時仲
김경호 (가수),キム・ギョンホ
권오규 (1952년),権五奎
김장훈,キム・ジャンフン
이시연 (1980년),イ・シヨン
양지원 (1988년),ヤン・ジウォン
김건모,キム・ゴンモ
정준하,チョン・ジュナ
정형돈,チョン・ヒョンドン
이관우,李官雨
옥택연,テギョン
차태현,チャ・テヒョン
한유미,ハン・ユミ
황연주,ファン・ヨンジュ
최성용,崔成勇
김사니,キム・サニ
김종국 (가수),キム・ジョングク・(歌手)
지인진,池仁珍
이상은 (가수),Lee-tzsche
남태희,南泰煕
곽태휘,郭泰輝
박신혜,パク・シネ
정하나,チョン・ハナ
윤일록,尹日録
신홍기,辛弘基
김현수 (1973년 3월),金鉉洙・(1973年3月生のサッカー選手)
홍철 (축구 선수),洪喆
김보경 (가수),金輔炅
데릭 아사모아,デレク・アサモア
정부경,チョン・ブギョン
지청천,池青天
김상현 (1980년),金相賢・(内野手)
김청기,金青基
노정윤,盧廷潤
윤태영 (배우),ユン・テヨン
장세동,張世東
홍석현,洪錫炫
윤성환,尹盛桓
사오리 (방송인),張佐緒里
신창원,シン・チャンウォン事件
황신혜,ファン・シネ
이상수 (탁구 선수),李尚洙
김영랑,金永郎
김정렬 (1917년),金貞烈
황희태,黄禧太
엄상현,オム・サンヒョン
박철순,朴哲淳
박찬희 (권투 선수),朴賛希
김위만,金位漫
찬열,チャンヨル
박두진,朴斗鎭
박범신,朴範信
박병호 (야구 선수),朴炳鎬
김병주 (유도 선수),金炳周
정경호 (1983년),チョン・ギョンホ・(1983年生の俳優)
조유진,Youjeen
박경환 (축구 선수),朴景晥
김황정,金晃正
문제천,文濟天
박영호 (축구인),朴永浩
이종민 (1987년),李鍾民
장희진 (1983년),チャン・ヒジン
안선진,安鮮鎮
김상우 (1987년),金尚佑
안내상,アン・ネサン
오교문,呉教文
정은궐,チョン・ウングォル
지연 (1993년),ジヨン・(歌手)
김기범 (배우),キム・キボム
오달수,オ・ダルス
윤손하,ユンソナ
이승기,イ・スンギ
권상우,クォン・サンウ
임상수,イム・サンス
한예슬,ハン・イェスル
김용대 (축구인),金龍大
한송이 (배구 선수),ハン・ソンイ
박동진 (1922년),朴東鎮
심대평,沈大平
김병준 (1954년),金秉準
안지만,安志晩
이열우,李烈雨
이재진 (1991년),イ・ジェジン
손시헌 (야구인),孫時憲
손학규,孫鶴圭
홍민표,洪旼杓
이종석 (정치인),李鍾奭
최서해,崔曙海
유진산,柳珍山
김봉준 (권투 선수),金奉準
김해란,キム・ヘラン
최한,チェ・ハン
이참,リー・チャーム
정지현 (레슬링 선수),鄭智鉉
마광수,馬光洙
이준익,イ・ジュニク
서정학 (성악가),ソ・ジョンハク
한태윤,ハン・テユン
나웅배,羅雄培
김혁 (1972년),金赫
죵리,JYONGRI
이와키 고이치,岩城滉一
손명순,孫命順
서정주,徐廷柱
김용강,金容江
김일 (프로레슬링 선수),大木金太郎
안영명,安永命
서재응,徐在応
박지원 (1942년),朴智元
이재우 (1980년),李在雨
왁스 (가수),Wax
남덕우,南悳祐
김애란,金愛爛
강남 (가수),KangNam
김아영 (성우),キム・アヨン
김봉수 (테니스 선수),金奉洙
이인성 (소설가),李仁星
손원일 (성우),ソン・ウォンイル
최완규 (작가),チェ・ワンギュ
이범호,李ボム浩
유치환,柳致環
정몽헌,鄭夢憲
마정길,馬正吉
안치홍,安致弘
허영란,ホ・ヨンラン
김영진 (1947년),金泳鎮
정성일 (피겨스케이팅 선수),チョン・ソンイル
정수빈,鄭秀彬
정영식 (탁구 선수),鄭栄植
정영문,鄭泳文
모창민,牟昌民
이준석,李俊錫
김소리,キム・ソリ
최솔규,催率圭
문정식,文正植
문희 (배우),ムン・ヒ
나경원,羅卿瑗
류중일,柳仲逸
나성범,羅成範
안소희,アン・ソヒ
이순재,イ・スンジェ
선예,ソネ・(歌手)
핫펠트,パク・イェウン
남상미,ナム・サンミ
CL (가수),CL・(歌手)
박무직,Boichi
강호동,カン・ホドン
최지룡,チェ・ジリョン
김민지 (배구 선수),キム・ミンジ・(バレーボール)
정대영 (배구 선수),チョン・デヨン
정미숙,チョン・ミスク
강나루,姜ナル
현기영,玄基栄
임효숙,イム・ヒョスク
윤동식 (격투기 선수),ユン・ドンシク
장태완,張泰玩
이병훈 (연출가),イ・ビョンフン
김세영 (배구 선수),キム・セヨン
김주성 (농구인),金鋳城・(バスケットボール)
선미,ソンミ・(歌手)
지현우,チ・ヒョヌ
심수창,沈秀昶
김지석 (배우),キム・ジソク
강효일,姜曉一
강경화,康京和
강만수 (배구인),カン・マンス
강형철,カン・ヒョンチョル
용감한 형제,ブレイブ・ブラザーズ
신경림,申庚林
오창현 (1989년),呉昌炫
오반석,呉反錫
장대환,張大煥
이종찬 (1936년),李鍾賛・(1936年生)
고주원,コ・ジュウォン
김신조,金新朝
손원일,孫元一・(軍人)
김희진 (배구 선수),キム・ヒジン
강수일,姜修一
니키 양,ニキ・ヤング
임현규,イム・ヒョンギュ
오영수 (소설가),呉永寿
김상수 (1990년),金相豎
오승훈 (축구 선수),呉承訓
온병훈,温炳勲
차우찬,車雨燦
김현정 (피겨스케이팅 선수),キム・ヒョンジョン・(フィギュアスケート選手)
강귀태,姜貴太
이기붕,李起鵬
지창욱,チ・チャンウク
최정 (야구 선수),崔廷
박기혁,朴基赫
김현철 (1901년),金顕哲
이진 (1980년),イ・ジン
현홍주,玄鴻柱
김종국 (야구인),金鍾国・(野球)
현영민,玄泳民
백건우,白建宇
공민지,コン・ミンジ
유건 (배우),ユゴン
남녀공학 (음악 그룹),男女共学・(音楽グループ)
김채화,金彩華
하승진,河昇鎭
김문수 (정치인),金文洙
서정원,徐正源
오만석 (1974년),オ・マンソク・(1975年生の俳優)
최용수,崔龍洙
박석민,朴錫珉
김혜선 (배우),キム・ヘソン・(1969年生の女優)
송도영,ソン・ドヨン
박인환 (시인),朴寅煥
김홍재,金洪才
김길식,金吉植
이상득,李相得
김철호 (1961년),金喆鎬
이채영 (배우),イ・チェヨン・(女優)
소찬휘,ソ・チャンフィ
김혜자,キム・ヘジャ
김태연 (배우),キム・テヨン・(女優)
오길남,呉吉男
방성윤,方成允
최강희 (배우),チェ・ガンヒ・(女優)
윤기현,尹奇鉉
도지한,ト・ジハン
김성균 (배우),キム・ソンギュン
박진수 (축구인),朴鎭琇
박진포,朴珍鋪
김종희 (1922년),金鍾喜
김지원 (소설가),金知原
김다빈 (축구 선수),金東煜
김춘수,金春洙
김창훈 (1990년),金昶訓
김다솔,金ダソル
박해민,朴海旻
박항서,朴恒緒
박한용 (1951년),バク・ハンヨン
박재상,朴哉相
박희수 (야구인),朴熙洙
김은정 (컬링 선수),金恩貞
김동권 (축구 선수),金東權
천호진,チョン・ホジン
김광석,キム・グァンソク
심수봉,沈守峰
송대관,ソン・デグァン
유채영,ユ・チェヨン
김대진 (배우),キム・デジン
Key (가수),キー・(SHINeeのメンバー)
김나영 (피겨스케이팅 선수),金羅英
김형준 (1987년),キム・ヒョンジュン・(1987年生)
정태우,チョン・テウ
유영철,ソウル20人連続殺人事件
이봉주,李鳳柱
조치훈,趙治勲
신화용,申和容
문성길,文成吉
김기수 (권투 선수),金基洙・(ボクサー)
JOO (가수),ジュ・(歌手)
이민성,李敏成
양효진,ヤン・ヒョジン
우범곤,禹範坤
하야카와 나미,早川浪
당예서,唐汭序
이수만,李秀満
이진욱,イ・ジヌク
송영길 (정치인),宋永吉
김택수 (탁구 선수),金擇洙
주현정,朱賢貞
수현 (배우),キム・スヒョン・(1985年生の女優)
정선민,鄭先民
김현종,金鉉宗
이중섭,李仲燮
김현 (축구 선수),金玄
장성호 (유도 선수),蔣盛晧
조범현,曺凡鉉
알렌킴,アレン・キボム
김민종,キム・ミンジョン・(1972年生)
하희라,ハ・ヒラ
메이슨 문 무어하우스,ムン・メイスン
이현곤,李賢坤
김옥숙,金玉淑
김태원 (음악인),キム・テウォン
장이욱,張利郁
이상윤 (배우),イ・サンユン
양미경,ヤン・ミギョン
임창정,イム・チャンジョン
오세근,呉世根
이원복 (만화가),李元馥
김서영 (성우),キム・ソヨン・(声優)
염동균 (권투 선수),廉東均
이태식 (1945년),李泰植
정현욱,鄭現旭
김재환 (야구 선수),金宰煥
김조광수,金趙光秀
김정학 (1911년),金廷鶴
김정현 (1993년),金楨鉉
김형주 (유도 선수),金炯周
이용신,イ・ヨンシン
메이 (가수),MAY・(歌手)
진구,チン・グ
정승화,鄭昇和
김석원 (군인),金錫源
이창훈 (1966년),イ・チャンフン
김상중,キム・サンジュン
정진영,チョン・ジニョン・(1964年生の俳優)
박선영 (성우),パク・ソニョン・(声優)
박윤재,パク・ユンジェ
진태현,チン・テヒョン
박한이,朴漢伊
김하늘 (골프 선수),キム・ハヌル・(ゴルファー)
김구용 (시인),金丘庸
김고은,キム・ゴウン
김학순 (여성운동가),金学順
유치송,柳致松
차지호,車智鎬
모윤숙,毛允淑
김진서 (피겨스케이팅 선수),キム・ジンソ
박민지,パク・ミンジ
박민규 (작가),朴玟奎
박정진,朴正眞
김호남 (축구 선수),金浩男
박상륭,朴常隆
박목월,朴木月
이태현 (씨름인),イ・テヒョン
김용식 (1913년),金溶植
정호용,鄭鎬溶
김동리,金東里
채명신,蔡命新
이태곤 (배우),イ・テゴン
박선영 (1976년생 배우),パク・ソニョン・(女優)
김동섭 (축구 선수),金東燮
윤예지,ユン・イェジ
김용준 (성우),キム・ヨンジュン・(声優)
이용찬 (야구 선수),李庸燦
남현희,南賢喜
이상우 (배우),イ・サンウ
나훈아,羅勲児
서인영,ソ・イニョン
안조영,安祚永
김태우 (1981년),キム・テウ
최정윤,チェ・ジョンユン
김희애,キム・ヒエ
문성근,文盛瑾
정유미 (1984년),チョン・ユミ・(1984年生の女優)
데니 안,デニー・アン
민효린,ミン・ヒョリン
이호진 (1983년),李鎬鎮
왕빛나,ワン・ビンナ
조성민 (야구인),趙成珉
신동욱 (배우),シン・ドンウク
김훈 (소설가),金薫
윤후명,尹厚明
랜디 김,ランディ・キム
홍수환,洪秀煥
조양호,趙亮鎬
정호승,鄭浩承
조혜련,チョ・ヘリョン
신명철,申命澈
김창룡,金昌龍
복거일,卜鉅一
김성준 (권투 선수),金性俊
이재민 (축구 선수),李在敏
김주영 (1988년),金周栄・(サッカー選手)
김종철 (시인),金鐘鉄
김종필 (1992년),金鐘必
김종민 (1992년),金宗旻
김종국 (축구 선수),金鐘局
김종혁 (축구 심판),キム・ジョンヒョク
김정현 (1990년 1월),金正賢
박태하,朴泰夏
박태홍,朴台洪
박영철 (1954년),朴英哲
이혜경 (소설가),李恵敬
송강호,ソン・ガンホ
이미연 (배우),イ・ミヨン
박준형 (가수),パク・ジュンヒョン
박주봉,朴柱奉
하석주,河錫舟
피천득,皮千得
김은숙 (작가),キム・ウンスク
김필립,金必立
최민식,チェ・ミンシク
홍상수,ホン・サンス
김민수 (격투기 선수),キム・ミンス
혜박,ヘリム・パク
조광래,趙廣來
곽재용,クァク・ジェヨン
조훈현,曺薫鉉
조윤정 (테니스 선수),趙倫貞
테이,テイ・(歌手)
이창호,李昌鎬
이을용,李乙容
지만원,池萬元
심은경,シム・ウンギョン
김동현 (격투기 선수),キム・ドンヒョン・(格闘家)
김해숙,キム・ヘスク
김태영 (격투가),金泰泳・(格闘家)
유니 (가수),U;Nee
이범석 (1900년),李範奭
하유정,ハ・ジュンイム
방정환,方定煥
한대화,韓大化
기욤 패트리,ギヨーム・パトリー
박성웅,パク・ソンウン
조봉암,曺奉岩
곽상훈,郭尚勲
김윤석 (배우),キム・ユンソク
류승룡,リュ・スンリョン
종현,ジョンヒョン
김지운 (영화 감독),キム・ジウン・(映画監督)
박소라 (성우),パク・ソラ
양현종,梁玹種
서민정,ソ・ミンジョン
조여정,チョ・ヨジョン
송지만,宋志晩
윤흥길,尹興吉
김상호 (배우),キム・サンホ・(俳優)
김선영 (유도 선수),金善永
김려령,キム・リョリョン
김성준 (축구 선수),金聖埈
MC 스나이퍼,MC・Sniper
김석수,金碩洙
홍진영,ホン・ジニョン
성동일,ソン・ドンイル
김꽃비,キム・コッピ
김광삼,金光三
김광민 (1985년),金廣閔
이다희 (배우),イ・ダヒ
정다빈 (1980년),チョン・ダビン・(1980年生の女優)
유상철,柳想鐵
김다울,キム・ダウル
김동문,金東文
이호성 (1967년),李昊星
이학래,李鶴来
