Dudon de Saint-Quentin,聖·昆汀杜多
Marouane Chamakh,马鲁万·沙马赫
François-Étienne Kellermann,弗朗索瓦·艾蒂安·克勒曼
Mayeul de Cluny,克吕尼的圣马乔卢斯
Eugène Charles Catalan,歐仁·查理·卡塔蘭
Ulrich Ramé,拉美
Augustin Legrand,奥古斯丁·罗格朗
Louis Aragon,路易·阿拉贡
Jacques Offenbach,雅克·奥芬巴赫
Henri Becquerel,亨利·贝可勒尔
Gao Xingjian,高行健
George Sand,乔治·桑
Louis Armand,路易·阿尔芒
Zoumana Camara,蘇馬拉·卡馬拉
Zoé Félix,祖伊·费利克斯
Dominique Pinon,多米尼克·皮諾
Elsa Triolet,愛爾莎·特奧萊
Benoît Potier,博天
Henri Barbusse,亨利·巴比塞
Bourvil,安德列·布维
Zoé Oldenbourg,佐伊·奥尔登堡
Zoumana Bakayogo,苏马拉·巴卡约哥
Adam de la Halle,亚当·德·拉阿勒
Michel Platini,米歇尔·普拉蒂尼
Louise de Lorraine,路易斯王后
Joachim-Jean-Xavier d'Isoard,約阿希姆-讓-澤維爾·迪伊佐阿爾
Henri Ey,亨利·艾
Nicolas Poussin,尼古拉·普桑
Henri Bergson,亨利·柏格森
Martin IV,瑪定四世
Lothaire de France,洛泰尔 (西法兰克国王)
Bernard Lacombe,拉甘比
Serge Chiesa,塞日·基耶薩
Aravane Rezaï,阿拉瓦內·雷扎伊
Alizé Cornet,阿丽泽·科奈
David Ginola,大卫·吉诺拉
Jean-Michel Aulas,讓-米歇爾·奧拉斯
Blanche d'Artois,布兰卡
Anne-Caroline Chausson,安妮-卡罗琳·肖松
Édouard Manet,愛德華·馬奈
Sophia Loren,索非娅·罗兰
Anatole France,阿纳托尔·法朗士
Marie-José Pérec,瑪麗-若澤·佩雷克
Yeardley Smith,亚德利·史密斯
Bertrade de Montfort,伯特拉德·德蒙特福
André Masséna,安德烈·马塞纳
Mickaël Pagis,米克爾·帕基斯
Nâdiya,娜蒂亞
Alphonse Daudet,阿尔封斯·都德
Zoé Talon,佐埃·塔隆
Zoé Valdés,佐依·凡德斯
Bruno Cremer,布鲁诺·克里默
Amélie de Leuchtenberg,洛伊希滕貝格的阿美莉
Sully Prudhomme,苏利·普吕多姆
Isabelle de France,法兰西的伊莎贝拉
Josquin des Prés,若斯坎·德普雷
Hugo Gélin,雨果·杰林
Étienne Marcel,艾蒂安·馬塞爾
Valérie Donzelli,華蕾莉·董澤利
Jean Reno,让·雷诺
Frédéric Mistral,弗雷德里克·米斯特拉尔
Isabelle Aubret,伊莎贝尔·奥布雷
Anselme de Cantorbéry,安瑟倫
Bernard Comment,伯纳德·科门特
Jean-Baptiste Joseph Delambre,让·巴蒂斯特·约瑟夫·德朗布尔
Anouk Aimée,阿努克·艾梅
Ferdinand d'Orléans,费迪南·多莱昂
Carlos Gardel,卡洛斯·葛戴爾
Jérôme Ferrari,热罗姆·费拉里
Zabou Breitman,扎布·布雷特曼
Jean-Étienne Guettard,让·艾蒂安·盖塔
Georges Tainturier,乔治·坦蒂里耶
Zadoc Kahn,扎多克·卡恩
Léo Westermann,里奧·韋斯特曼
Zacarias Moussaoui,扎卡里亞斯·穆薩維
Kool Shen,库尔·谢
Gabriel Roucaute,加布里埃尔·鲁科特
Jean Paul Gaultier,让-保罗·高缇耶
Françoise Mbango Etone,弗朗索瓦丝·姆班戈·埃托内
Claude de France,法蘭西的克洛德
Buffon,布丰
Adèle de Champagne,香檳的阿黛勒
Isabelle d'Aragon,伊莎贝拉，阿拉贡公主及法国王后
Glenmor,Glenmor
Éric Hassli,埃里克·哈斯利
Nadia Boulanger,娜迪亚·布朗热
Nathalie Dechy,纳塔莉·德希
Marie de Lorraine,玛丽·德·吉斯
Martine Aubry,玛蒂娜·奥布里
Alexis de Tocqueville,亞歷西斯·托克維爾
Gustave Flaubert,古斯塔夫·福樓拜
Catalans,加泰隆尼亞人
Bixente Lizarazu,比森特·利扎拉祖
Marie Thérèse Françoise Boisselet,玛丽·泰蕾兹·弗朗索瓦丝·布瓦瑟莱
François Thierry,弗朗索瓦·蒂埃里
Seán MacBride,肖恩·麦克布赖德
Jean-Marie Vianney,若翰·維雅納
Carla Bruni,卡拉·布鲁尼
Merry-Joseph Blondel,梅里·約瑟夫·布隆代爾
Alexandre Stavisky,亚历山大·斯塔维斯基
Ève Curie,艾芙·居里
Daniel Schneidermann,丹尼爾·施內德芒
François Kalist,弗朗索瓦·卡利斯特
Patrick Chila,帕特里克·希拉
André Comte-Sponville,安德烈·孔特-斯蓬维尔
Louis Renault,路易·雷诺
Heinrich Heine,克里斯蒂安·約翰·海因里希·海涅
Roman Coppola,羅曼·科波拉
Benjamin Stambouli,本傑明·史譚保利
Valérie Trierweiler,瓦莱丽·特里耶维勒
Kossi Agassa,阿加沙
Hortense de Beauharnais,奧坦絲·德·博阿爾內
Isabelle de France,伊莎貝拉
Jean-Baptiste Tavernier,尙-巴蒂斯特·塔維尼埃
Zygmunt Krasiński,齊格蒙特·克拉辛斯基
Olry Terquem,奥利·特奎姆
Agnès Varda,阿涅斯·瓦尔达
Michel Foucault,米歇尔·福柯
Clémence de Hongrie,匈牙利的克莱门斯
Lili Boulanger,莉莉·布朗热
Irène Jacob,伊蓮·雅各
Clément V,克雷芒五世
Leslie Caron,萊斯利·卡儂
Jackson Richardson,雅克松·里夏尔松
François de Sales,聖方濟各·沙雷氏
Adriana Karembeu,阿德丽娅娜·伽杭波
Kristina Mladenovic,克里斯蒂娜·美拉德諾維奇
Isabelle Caro,伊莎貝爾·卡洛
Madame de Maintenon,曼特農夫人
Madame du Barry,杜巴利伯爵夫人
Benoît Paire,伯諾瓦·帕爾雷
Jacques Derrida,雅克·德里达
Camille,卡米尔
Anne de Foix,富瓦-坎德勒的安妮
Camille Desmoulins,卡米尔·德穆兰
David Ruelle,大衛·呂埃勒
Mickaël Landreau,米卡埃尔·朗德罗
Marie Leszczyńska,玛丽·蕾捷斯卡
Jean-Baptiste Camille Corot,让-巴蒂斯特·卡米耶·柯洛
André The Giant,巨人安德烈
Claude Pinoteau,克勞德·皮諾托
Alexandre Alekhine,亚历山大·阿廖欣
Michèle Mercier,米歇尔·梅奇
Jacqueline Boyer,杰奎琳·博耶
Élisa Bonaparte,埃莉萨·波拿巴
Django Reinhardt,金格·萊恩哈特
Jacques II de Bourbon,雅各二世
Constance d'Arles,康斯坦丝
Pavel Dourov,帕维尔·杜罗夫
Philippe Omnès,菲利普·翁内斯
Zao Wou-Ki,赵无极
Miralem Pjanić,米拉萊姆·皮亞尼奇
Pierre-Simon de Laplace,皮埃爾·西蒙·拉普拉斯
Alexandra David-Néel,阿莱克桑德哈·大卫德-内埃勒
Édith Cresson,埃迪特·克勒松 deceased
Étienne Mourrut,艾蒂安·穆吕
Léa Seydoux,蕾雅·瑟杜
Jérôme Bonaparte,热罗姆·波拿巴
Philippe Chabot,菲利普·德·查伯特
Mongo Beti,蒙戈·貝蒂
Alexandre Farnèse,亞歷山德羅·法爾內塞
Henriette d'Angleterre,英格兰的亨莉雅妲公主
Madame de Montespan,蒙特斯庞侯爵夫人
Angélique Kidjo,安潔莉克·琪蒂歐
Joachim Murat,若阿尚·缪拉
Sylvie Goulard,西尔维·古拉尔
Maximilien de Robespierre,马克西米连·罗伯斯庇尔
Willy Sagnol,威利·萨尼奥尔
Camille Saint-Saëns,卡米爾·聖桑
Zénaïde Bonaparte,塞奈达·莱提西娅·朱莉·波拿巴
Jacques Monod,賈克·莫諾
Jean-François Millet,讓-弗朗索瓦·米勒
Jeanne de Bourbon,喬安娜
Marie de Luxembourg,盧森堡的瑪麗亞
Pan Yuliang,張玉良
Zacharie Boucher,保查
Gérard Philipe,杰拉·菲利浦
Marguerite de France,法蘭西的瑪格麗特
Jeanne II de Bourgogne,勃艮第的约娜二世
Isabelle d'Angoulême,伊莎貝拉
Louis Daguerre,路易·达盖尔
Anne Marie Louise d'Orléans,安妮·玛丽·路易丝·德·奥尔良
Agnès Sorel,阿涅丝·索雷尔
Marie Cavallier,瑪麗·卡瓦利耶
Jean-Jacques Goldman,让-雅克·高德曼
Frédéric Joliot-Curie,弗雷德里克·约里奥-居里
Mathilde Johansson,瑪蒂爾德·約翰森
Nathalie Tauziat,納塔莉·托齊亞
Louis-Xavier de Ricard,路易-扎维耶·德·里卡尔
Jeanne II d'Auvergne,奥弗涅伯爵夫人琼二世
Charles-François Daubigny,夏尔-弗朗索瓦·多比尼
Cédric Barbosa,塞德里克·巴尔博萨
Pierre Laval,皮埃尔·赖伐尔
Alexandre Alphonse,艾方斯
Jean-Baptiste Jourdan,让-巴普蒂斯·儒尔当
Claude Simon,克洛德·西蒙
Simon Ier,西蒙一世（上洛林）
Louise Élisabeth de France,路易丝-伊丽莎白公主
Anne-Marie d'Orléans,奧爾良的安娜·瑪麗
Hervé Bugnet,赫维·布格奈特
Louise de La Vallière,露易丝·德·拉瓦利埃尔
Louise-Élisabeth d'Orléans,奧爾良的露易絲·伊莉莎白
Yves Bonnefoy,伊夫·博纳富瓦
Anne d'Autriche,奥地利的安妮
Olivier Messiaen,奥利维埃·梅西安
Anna Karina,安娜·卡里娜
Élisabeth-Charlotte d'Orléans,奧爾良的伊麗莎白夏洛特
Lucien Bonaparte,吕西安·波拿巴
Nathalie Gontcharova,纳塔莉亚·冈察洛娃
Charles Denis Bourbaki,夏尔-德尼·布尔巴基
Yves Guyot,伊夫·居约
Catherine de Médicis,凯瑟琳·德·美第奇
Urbain V,烏爾巴諾五世
Henri-Marie Ducrotay de Blainville,亨利·玛丽·杜克罗泰·德布兰维尔
Roger Etchegaray,羅傑·埃切加雷
Maria Malibran,玛丽亚·马利夫兰
Suzanne Lenglen,苏珊·朗格伦
Séverine,賽費琳
Sonia Delaunay,索尼婭·德勞內
Maria-Letizia Bonaparte,瑪麗亞·萊蒂西亞·拉莫利諾
Jehanne d'Alcy,珍妮媽媽
Georges Méliès,乔治·梅里爱
André Vingt-Trois,安德烈·万-特鲁瓦
Julien Jousse,朱利安·茹斯
François II,弗朗索瓦二世
Stéphanie Foretz,絲蒂芬妮·芙爾茲
Sandrine Bonnaire,桑德琳·波奈兒
Valeria Bruni-Tedeschi,瓦萊麗雅·布魯尼-特德斯奇
Johann Durand,约翰·迪朗
Marie-Amélie de Bourbon-Siciles,瑪麗亞·艾瑪莉亞 (那不勒斯和西西里公主)
Íngrid Betancourt,英格丽德·贝当古
Ludivine Sagnier,露德温·塞尼耶
Jeannie Longo,珍妮·隆戈
Hector Léveillé,奥古斯丁·阿贝尔赫克托·雷维雷
Paul Signac,保罗·西涅克
Robert Capa,罗伯特·卡帕
Paul Éluard,保尔·艾吕雅
Gaston Planté,加斯东·普朗忒
Marie-Adélaïde de Savoie,薩沃伊的瑪麗·阿德萊德，皇太孫妃
Marie d'Anjou,安茹的瑪莉
Landry Chauvin,兰德里·沙文
Marie-Adélaïde de Bourbon,路易絲·瑪麗·阿德萊德·德·波旁
André Malraux,安德烈·馬爾羅
Christine Arron,克里斯蒂娜·阿龙
Nicolas-Charles Bochsa,尼古拉-查尔斯·博克萨
Marie-Thérèse d'Autriche,西班牙的玛丽-泰蕾莎
Madame de Lamballe,朗巴爾王妃
Tatiana Golovin,塔蒂亞娜·戈洛文
Émilie Simon,艾蜜莉·西蒙
Louis-Marie Billé,路易-马里·比耶
Miou-Miou,缪缪
Constance de Bretagne,布列塔尼女公爵康斯坦丝
Clémence Poésy,克蕾曼絲·波西
Jean Dausset,让·多塞
Marie Laurencin,瑪麗·羅蘭珊
Louise Renée de Penancoët de Keroual,路易絲·德·克魯阿爾，樸次茅斯女公爵
Charles VII de France,查理七世
Charles Nicolle,夏尔·尼科勒
Dominique de Villepin,多米尼克·德维尔潘
Marie-Jean Hérault de Séchelles,马里-让·埃罗·德·塞谢勒
Jeanne III de France,"胡安娜三世, 勃艮第女伯爵"
Benoît Lesoimier,伯努瓦·勒苏瓦米耶
Marguerite Long,瑪格麗特·朗
Jules Harmand,何羅芒
Louis-Ferdinand Céline,路易-费迪南·塞利纳
Camille Pissarro,卡米耶·畢沙羅
Joséphine Baker,約瑟芬·貝克
Gabriel Lippmann,加布里埃尔·李普曼
Emmanuel Levinas,伊曼紐爾·列維納斯
Pauline Bonaparte,波利娜·波拿巴
René Cassin,勒内·卡森
Guillaume Apollinaire,纪尧姆·阿波利奈尔
