Lech Wałęsa,레흐 바웬사
Adam Harasiewicz,아담 하라셰비치
Miroslav Klose,미로슬라프 클로제
Łukasz Fabiański,우카시 파비안스키
Olek Krupa,알렉산데르 크루파
Zygmunt Smalcerz,지그문트 스말체시
Kamil Glik,카밀 글리크
Anna Maria Jopek,안나 마리아 요페크
Małgorzata Bela,마우고시아 벨라
Hanna Suchocka,한나 수호츠카
Małgorzata Kożuchowska,마우고자타 코주호프스카
Lukas Podolski,루카스 포돌스키
Arkadiusz Milik,아르카디우시 밀리크
Bezprym,베스프림
Edward Strasburger,에두아르트 슈트라스부르거
Marcel Reich-Ranicki,마르셀 라이히라니츠키
Halina Mlynkova,할리나 믈린코바
Tomasz Wałdoch,토마시 바우도흐
Karol Radek,카를 라데크
Igo Sym,이고 심
Benoît Mandelbrot,브누아 망델브로
Menachem Begin,메나헴 베긴
Bolesław V Wstydliwy,볼레스와프 5세
Bolesław II Szczodry,볼레스와프 2세 시초드리
Bolesław IV Kędzierzawy,볼레스와프 4세
Jan I Olbracht,얀 1세 올브라흐트
Kazimierz I Odnowiciel,카지미에시 1세 오드노비치엘
Bronisław Komorowski,브로니스와프 코모로프스키
Maria Andegaweńska,마리어 (헝가리)
Ewa Gawryluk,에바 가브릴루크
John Tavares,존 타바레스 (아이스하키 선수)
Andrzej Szarmach,안제이 샤르마흐
Krystian Zimerman,크리스티안 지메르만
Adam Nawałka,아담 나바우카
Stanisław Ryłko,스타니스와프 리우코
Tadeusz Kutrzeba,타데우시 쿠트셰바
Jakub Świerczok,야쿠프 시비에르초크
Rob Van Dam,랍 밴 댐
Brodka,모니카 브로트카
Bolesław Prus,볼레스와프 프루스
Czesław Miłosz,체스와프 미워시
Jakub Błaszczykowski,야쿠프 브와슈치코프스키
Roman Polański,로만 폴란스키
Adrian Mierzejewski,아드리안 미에르제예프스키
Jerzy Skolimowski,예지 스콜리모프스키
Robert Lewandowski,로베르트 레반도프스키
Irena Sendlerowa,이레나 센들러
Stanisław ze Szczepanowa,스츠크체파노브의 스타니슬라오
Adam Zagajewski,아담 자가예프스키
Maciej Szczęsny,마치에이 슈쳉스니
Magdalena Boczarska,마그달레나 보차르스카
Adam Skrodzki,아담 스크로츠키
Samuel Eilenberg,사무엘 에일렌베르크
Anna Polony,안나 폴로니
Adam Pilch,아담 필흐
Władysław Sikorski,브와디스와프 시코르스키
Georges Charpak,조르주 샤르파크
Łukasz Piszczek,우카시 피슈체크
Krzysztof Penderecki,크시슈토프 펜데레츠키
Adam Przeworski,아담 쉐보르스키
Witold Lutosławski,비톨트 루토스와프스키
Daniel Libeskind,대니얼 리버스킨드
Sebastian Boenisch,제바스티안 뵈니슈
Władysław Szpilman,브와디스와프 슈필만
Leonid Hurwicz,레오니트 후르비치
Bronisław Geremek,브로니스와프 게레메크
Krzysztof Kowalewski,크시슈토프 코발레프스키
Emmanuel Olisadebe,이매뉴얼 올리사데베
Jadwiga Jankowska-Cieślak,야드비가 얀코프스카치에실라크
Jerzy Spława-Neyman,예지 네이만
Romain Gary,로맹 가리
Zygmunt Bauman,지그문트 바우만
Rafał Wolski (piłkarz),라파우 볼스키
Janusz Palikot,야누시 팔리코트
Robert Kubica,로버트 쿠비카
Marcin Gortat,마르친 고르타트
Bartosz Kurek,바르토시 쿠레크
Mariusz Jop,마리우시 요프
Paweł Nastula,파베우 나스툴라
Dominika Ostałowska,도미니카 오스타워프스카
Jan Szczepański (bokser),얀 슈체판스키 (권투 선수)
Marian Rejewski,마리안 레예프스키
Andrzej Lepper,안제이 레페르
Marek Saganowski,마레크 사가노프스키
Janusz Gortat,야누시 고르타트
Edward Ochab,에드바르트 오하프
Rafał Olbiński,라팔 올빈스키
Dawid Kubacki,다비트 쿠바츠키
Stefan Wyszyński,스테판 비신스키
Władysław Anders,브와디스와프 안데르스
Zbigniew Herbert,즈비그니에프 헤르베르트
Małgorzata Foremniak,마우고자타 포렘니아크
Éric Srecki,에리크 스레키
Kazimierz Kuratowski,카지미에시 쿠라토프스키
Siemomysł (książę Polan),시에모미수
Otton Nikodym,오톤 마르친 니코딤
Dmitrij Chromin,드미트리 흐로민
Władysław Bortkiewicz,라디슬라우스 보르트키에비치
Józef Glemp,유제프 글렘프
Janusz Kamiński (operator filmowy),야누시 카민스키
Halina Czerny-Stefańska,할리나 체르니스테판스카
Wojciech Łobodziński,보이치에흐 워보진스키
Katarzyna Zielińska (ur. 1979),카타지나 지엘린스카
Dawid Tomaszewski,다비트 토마셰프스키
Jan Lisiecki,얀 리시에츠키
Mateusz Kusznierewicz,마테우시 쿠슈니에레비치
Marek Grechuta,마레크 그레후타
Aleksander Tansman,알렉산데르 탄스만
Teodor Leszetycki,테오도르 레셰티츠키
Grzegorz Schetyna,그제고시 스헤티나
Bolesław Piasecki,볼레스와프 피아세츠키
Zbigniew (polski książę),즈비그니에프
Zbigniew Cybulski,즈비그니에프 치불스키
Adrian Zieliński (sztangista),아드리안 지엘린스키
George E. Stone,조지 E. 스톤
Artur Rodziński,아르투르 로진스키
David Seymour (fotoreporter),데이비드 시모어
Zbigniew Preisner,즈비그니에프 프레이스네르
Michał Chałbiński,미하우 차우빈스키
Dariusz Wolski,다리우시 볼스키
Paweł Słowiński,폴 슬로윈스키
Zbigniew Zapasiewicz,즈비그니에프 자파시에비치
Grzegorz Braun,그제고시 브라운
Zdzisław Beksiński,즈지스와프 벡신스키
Robert Acquafresca,로베르트 아콰프레스카
Janusz Kusociński,야누시 쿠소친스키
Stanisława Walasiewicz,스타니스와바 발라시에비치
Robert Biedroń,로베르트 비에드론
Michał Heller,미하우 헬레르
Robert Zajonc,로버트 자욘스
Mieczysław Horszowski,미에치슬라프 호르초프스키
Józef Grudzień,유제프 그루지엔
Paweł Golański,파베우 골란스키
Joe Pavelski,조 파벨스키
Bartosz Piasecki,바르토시 피아세츠키
Alain Finkielkraut,알랭 핑켈크로트
Boris Sawinkow,보리스 사빈코프
Ernest Wilimowski,에른스트 빌리모프스키
Stanisław Przybyszewski,스타니스와프 프시비셰프스키
Marcin Żewłakow,마르친 제브와코프
Kazimierz Lipień,카지미에시 리피엔
Piotr Anderszewski,피오트르 안데르셰프스키
Timothée Kolodziejczak,티모테 콜로지에이차크
Piotr Żyła,피오트르 지와
Agata Buzek,아가타 부제크
Artur Rubinstein,아르투르 루빈스타인
Jerzy Klempel,예지 클렘펠
Paweł Wszołek,파베우 프쇼웨크
Radosław Majewski,라도스와프 마예프스키
Marcin Lewandowski,마르친 레반도프스키
Marek Kuchciński,마레크 쿠흐친스키
Krzysztof Warzycha,크시슈토프 바지하
Ryszard Bolesławski,리처드 볼레스라브스키
Agnieszka Grochowska,아그니에슈카 그로호프스카
Nâzım Hikmet,나짐 히크메트
Wojciech Szczęsny,보이치에흐 슈쳉스니
Harald Konopka,하랄트 코노프카
Piotr Adamczyk,피오트르 아담치크
Léon Glovacki,레옹 글로바츠키
Grzegorz Krychowiak,그제고시 크리호비아크
Łeonid Krawczuk,레오니드 크라우추크
Ignacy Jan Paderewski,이그나치 얀 파데레프스키
Wacław Niżyński,바츨라프 니진스키
Jerzy Dudek,예지 두데크
Sławomir Peszko,스와보미르 페슈코
Piotr Świerczewski,피오트르 시비에르체프스키
Jerzy Brzęczek,예지 브젱체크
Grzegorz Dolniak,그제고시 돌니아크
Mark Grudzielanek,마크 그루질라넥
Oscar Lewicki,오스카르 레비츠키
Natasza Urbańska,나타샤 우르반스카
Tomasz Frankowski,토마시 프란코프스키
Doda (piosenkarka),도다 (가수)
Tomasz Zahorski,토마시 자호르스키
Violetta Villas,비올레타 빌라스
Adam Małysz,아담 마위시
Artur Boruc,아르투르 보루츠
Jacek Zieliński (ur. 1967),야체크 지엘린스키
Kazimierz Paździor,카지미에시 파지지오르
Kayah,카야 (가수)
Krystian Długopolski,크리스티안 두고폴스키
Henryk Sucharski,헨리크 수하르스키
Alfred Tarski,알프레트 타르스키
Agnieszka Radwańska,아그니에슈카 라드반스카
Waldemar Baszanowski,발데마르 바샤노프스키
Grzegorz Napieralski,그제고시 나피에랄스키
Kazimierz Fajans,카지미에시 파얀스
Szymon Ziółkowski,시몬 지우코프스키
Tomasz Jodłowiec,토마시 요드워비에츠
Moriz Rosenthal,모리츠 로젠탈
Ryszard Kapuściński,리샤르트 카푸시친스키
Maria Kaczyńska,마리아 카친스카
Felix Nussbaum,펠릭스 누스바움
Abraham Joshua Heschel,아브라함 J. 헤셸
Michał Kalecki,미하우 칼레츠키
Florian Znaniecki,플로리안 즈나니에츠키
Paweł Pawlikowski,파베우 파블리코프스키
Władysław Kosiniak-Kamysz,브와디스와프 코시니아크카미시
Carl Yastrzemski,칼 야스트렘스키
Irena Szewińska,이레나 셰빈스카
Tamara Łempicka,타마라 드 렘피카
Pola Negri,폴라 네그리
Izabella Scorupco,이자벨라 스코룹코
Piotr Małachowski (lekkoatleta),피오트르 마와호프스키
Andrzej Panufnik,안제이 파누프니크
Błażej Augustyn,브와제이 아우구스틴
Robert Siatka,로베르 시아카
Jarosław Gowin,야로스와프 고빈
Hugo Steinhaus,후고 스테인하우스
Artur Sobiech,아르투르 소비에흐
Ewa Wiśniewska,에바 비시니에프스카
Karolina Wydra,카롤리나 비드라
Józef Rotblat,조지프 로트블랫
Ania Dąbrowska,아니아 (가수)
Anna Jagodzińska,안나 야고진스카
Władysław Odonic,브와디스와프 오도니츠
Jan Kasprowicz,얀 카스프로비치
Stanisław Skrowaczewski,스타니스와프 스크로바체프스키
Szymon Kołecki,시몬 코웨츠키
Agnieszka Holland,아그니에슈카 홀란트
Grażyna Bacewicz,그라지나 바체비치
Tara Lipinski,타라 리핀스키
Anna Jagiellonka,안나 야기엘론카
Katarzyna Figura,카타지나 피구라
Martha Stewart,마사 스튜어트
Justyna Kowalczyk,유스티나 코발치크
Basia,바시아 (가수)
Kinga Preis,킨가 프레이스
Radosław Zawrotniak,라도스와프 자브로트니아크
Robert Więckiewicz,로베르트 비에츠키에비치
Mariusz Stępiński,마리우시 스텡핀스키
Anja Rubik,아냐 루비크
Edyta Górniak,에디타 구르니아크
Kamila Skolimowska,카밀라 스콜리모프스카
Bronisława Niżyńska,브로니스와바 니진스카
Alicja Bachleda-Curuś,알리샤 바흘레다추루시
Włodzimierz Zawadzki (zapaśnik),브워지미에시 자바츠키
Krzysztof Kolberger,크시슈토프 콜베르게르
Magdalena Tul,마그달레나 툴
Marie Rambert,마리 램버트
Halina Konopacka,할리나 코노파츠카
Daria Werbowy,다리아 워보위
Ida Haendel,이다 헨델
Stefan Liv,스테판 리브
Stanisław Mazur,스타니스와프 마주르
Simon Zimny,시몽 짐니
Dariusz Wosz,다리우시 보시
Sylwester Bednarek,실베스테르 베드나레크
Euzebiusz Smolarek,에우제비우시 스몰라레크
Juliusz Słowacki,율리우시 스워바츠키
Józef Szmidt,유제프 슈미트
Richard Pipes,리처드 파이프스
Rafał Blechacz,라파우 블레하치
Karolina Gruszka,카롤리나 그루슈카
Zygmunt Berling,지그문트 베를링
Zygmunt Malanowicz,지그문트 말라노비치
Maja Ostaszewska,마야 오스타셰프스카
Juliusz Paweł Schauder,율리우시 샤우데르
Ewelina Lisowska,에벨리나 리소프스카
Stefan Mazurkiewicz,스테판 마주르키에비치
Franciszek Dąbrowski,프란치셰크 동브로프스키
Magdalena Piekarska,마그달레나 피에카르스카
Bronisław Huberman,브로니스와프 후베르만
Władysław Komar,브와디스와프 코마르
Danuta Szaflarska,다누타 샤플라르스카
Ludwika Paleta,루드비카 팔레타
Franciszek Pieczka,프란치셰크 피에치카
Ewa Kopacz,에바 코파치
Jadwiga Barańska,야드비가 바란스카
Oskar Lange,오스카르 랑게
Anna Przybylska,안나 프시빌스카
Czesław Kiszczak,체스와프 키슈차크
Thiago Cionek,치아구 시오네크
Jacek Krzynówek,야체크 크지누베크
Olga Tokarczuk,올가 토카르추크
Lucyna Winnicka,루치나 빈니츠카
Piotr Wyszomirski,피오트르 비쇼미르스키
Natalia Kukulska,나탈리아 쿠쿨스카
Arkadiusz Skrzypaszek,아르카디우시 스크시파셰크
Sylwia Bogacka,실비아 보가차
Mateusz Klich,마테우시 클리흐
Natalia Partyka,나탈리아 파르티카
Ludovic Obraniak,루도비크 오브라니아크
Chaïm Perelman,카임 페렐만
Józef Maria Bocheński,유제프 마리아 보헨스키
Li Qian (polska tenisistka stołowa),리첸 (탁구 선수)
Paweł Abbott,파웰 아봇
Maciej Ustynowicz,마치에이 우스티노비치
Monika Soćko,모니카 소치코
Leon Niemczyk,레온 니엠치크
Stefan Rowecki,스테판 로베츠키
Jakub Wawrzyniak,야쿠프 바브지니아크
Joanna Pacuła,요안나 파추와
Liliana Komorowska,릴리아나 코모로프스카
Awraham Stern,아브라함 슈테른
August Emil Fieldorf,아우구스트 에밀 피엘도르프
Izabella Miko,이자벨라 미코
Joanna Krupa (modelka),조애나 크루파
Leopold Infeld,레오폴트 인펠트
Bartosz Bereszyński,바르토시 베레신스키
Henryk Zygalski,헨리크 지갈스키
Janusz Korwin-Mikke,야누시 코르빈미케
Ewa Kłobukowska,에바 크워부코프스카
Kasia Smutniak,카시아 스무트니아크
Kamil Stoch,카밀 스토흐
Martin Max,마르틴 막스
Daniel Olbrychski,다니엘 올브리흐스키
Wojciech Kowalewski,보이치에흐 코발레프스키
Bella Darvi,벨라 다르비
Grzegorz Lato,그제고시 라토
Wanda Panfil-González,반다 판필
Krystyna Janda,크리스티나 얀다
Karol Borsuk,카롤 보르수크
Heinrich Kwiatkowski,하인츠 크비아트코프스키
Grzegorz Filipowski,그제고시 필리포프스키
Mariusz Czerkawski,마리우시 체르카프스키
Jean Templin,장 탕플랭
Ryszard Wolny,리샤르트 볼니
Małgorzata Szumowska,마우고자타 슈모프스카
Kalina Jędrusik,칼리나 옝드루시크
Juninho (ur. 1982),안세우무 벤드레초프스키 주니오르
Lim Dong-min,임동민
Leon Sternbach (chemik),레오 스턴바크
Ireneusz Paliński,이레네우시 팔린스키
Tomasz Kuszczak,토마시 쿠슈차크
Jurek Dybał,유렉 뒤발
Peter J. Lucas,피터 J. 루카스
Stanisława Celińska,스타니스와바 첼린스카
Andrzej Bartkowiak (filmowiec),안제이 바르트코비아크
Tadeusz Kotarbiński,타데우시 코타르빈스키
Ignacy Friedman,이그나츠 프리드만
Dagmara Wozniak,다그마라 워즈니악
Aleksandra Shelton,알렉산드라 셸턴
Witold Woyda,비톨트 보이다
Martyna Synoradzka,마르티나 시노라츠카
Leszek Blanik,레셰크 블라니크
Witold Gombrowicz,비톨트 곰브로비치
Jan Mycielski (matematyk),얀 미치엘스키
Emanuel Ax,엠마누엘 엑스
Rafał Lemkin,라파엘 렘킨
Michał Pazdan,미하우 파즈단
Ryszard Ronczewski,리샤르트 론체프스키
Moïse Kisling,모이즈 키슬링
Józef Hofmann,요제프 호프만 (피아니스트)
Krzysztof Wielicki,크시슈토프 비엘리츠키
Jacek Koman,야첵 코먼
Karolina Chlewińska,카롤리나 흘레빈스카
Sylwia Grzeszczak,실비아 그제슈차크
Justyna Steczkowska,유스티나 스테치코프스카
Danuta Stenka,다누타 스텐카
Sylwia Gruchała,실비아 그루하와
Grażyna Szapołowska,그라지나 샤포워프스카
Peter Geach,피터 기치
Sławomir Szmal,스와보미르 슈말
Emilia Plater,에밀리아 플라테르
Kasia Kowalska,카시아 코발스카
Stanisław Maczek,스타니스와프 마체크
Julia Marcell,줄리아 마셀
Ryszard Siwiec,리샤르트 시비예츠
Ladislao Kubala,쿠벌러 라슬로
Henryk Mikołaj Górecki,헨리크 구레츠키
Edward Śmigły-Rydz,에드바르트 리츠시미그위
Egon Petri,에곤 페트리
Zbigniew Bródka,즈비그니에프 브루트카
Layvin Kurzawa,레뱅 퀴르자와
Wacław Sierpiński,바츠와프 시에르핀스키
Przemysław Tytoń,프셰미스와프 티톤
Roger Guerreiro,호제르 게헤이루
Andrzej Chyra,안제이 히라
Andrzej Grabowski (aktor),안제이 그라보프스키
Janusz Pyciak-Peciak,야누시 피치아크페치아크
Stanisław Wyspiański,스타니스와프 비스피안스키
Paweł Brożek,파베우 브로제크
Andrzej Wroński,안제이 브론스키
Henryk Szeryng,헨릭 셰링
Andrzej Seweryn,안제이 세베린 (영화인)
Robert Korzeniowski,로베르트 코제니오프스키
Maciej Żurawski,마치에이 주라프스키
Kazimierz Nowak (podróżnik),카지미에시 노바크
Ignacy Mościcki,이그나치 모시치츠키
Wojciech Pawłowski (piłkarz),보이치에흐 파브워프스키
Andrzej Mostowski (matematyk),안제이 모스토프스키
Marcin Wasilewski (piłkarz),마르친 바실레프스키
Mariusz Lewandowski,마리우시 레반도프스키
Aleksander Wolszczan,알렉산데르 볼시찬
Andrzej Sapkowski,안제이 삽코프스키
Jerzy Kukuczka,예지 쿠쿠츠카
Edward Gierek,에드바르트 기에레크
Andrzej Sekuła,안제이 세쿠와
Witold Małcużyński,비톨트 마우추진스키
Dariusz Dudka,다리우시 두트카
Michał Żewłakow,미하우 제브와코프
Włodzimierz Lubański,브워지미에시 루반스키
Bartosz Bosacki,바르토시 보사츠키
Andrzej Żuławski,안제이 주와프스키
Mariusz Jurkiewicz,마리우시 유르키에비치
Witold Pilecki,비톨트 필레츠키
Adam Matuszczyk,아담 마투슈치크
Rafał Murawski,라파우 무라프스키
Jacek Bąk (ur. 1973),야체크 봉크
Solomon Asch,솔로몬 애쉬
J.R. Celski,J. R. 셀스키
Stanisław Kania,스타니스와프 카니아
Abel Korzeniowski,아벨 코제니오프스키
Kasia Struss,카시아 스트러스
Michał Żebrowski (aktor),미하우 제브로프스키
Witold Hurewicz,비톨트 후레비치
Joanna Kulig,요안나 쿨리크
Marcin Kamiński (piłkarz),마르친 카민스키
Kamil Grosicki,카밀 그로시츠키
Barbara Grabowska,바르바라 그라보프스카
Stanisław Mikołajczyk,스타니스와프 미코와이치크
Grzegorz Sandomierski,그제고시 산도미에르스키
Olaf Lubaszenko,올라프 루바젠코
Kristof Konrad,크리스토프 콘래드
Maurycy Moszkowski,모리츠 모슈코프스키
Berenika Tomsia,베레니카 톰시아
Małgorzata Dydek,마우고자타 디데크
Władysław Ślebodziński,브와디스와프 실레보진스키
Krzysztof Mączyński,크시슈토프 몽친스키
Leszek Iwanicki,레셰크 이바니츠키
Przemysław Gintrowski,프리제미스와프 긴트로스키
Tadeusz Różewicz,타데우시 루제비치
Artur Jędrzejczyk,아르투르 옝제이치크
Paweł Kryszałowicz,파베우 크리샤워비치
Marta Żmuda Trzebiatowska,마르타 주무다 트셰비아토프스카
Rita Karin,리타 카린
Waldemar Legień,발데마르 레기엔
Wacław Sieroszewski,바츠와프 시에로셰프스키
Maciej Stuhr,마치에이 스투흐르
Paweł Adamowicz,파베우 아다모비치
Łukasz Teodorczyk,우카시 테오도르치크
Jerzy Andrzejewski,예지 안제예프스키
Kazimierz Deyna,카지미에시 데이나
Magdalena Frąckowiak,마그달레나 프라츠코비아크
Paweł Fajdek,파베우 파이데크
Małgorzata Wojtkowiak,마우고자타 보이트코비아크
Jan Niecisław Baudouin de Courtenay,얀 니에치스와프 보두앵 드 쿠르트네
Michał Wojnicz,빌프리트 보이니치
Angelika Jakubowska,안겔리카 야쿠보프스카
Iwona Bielska,이보나 비엘스카
Maciej Rybus,마치에이 리부스
Bartosz Salamon,바르토시 살라몬
Monika Jagaciak,모니카 야가치아크
Łukasz Garguła,우카시 가르구와
Urszula Grabowska,우르슐라 그라보프스카
Adam Ferency,아담 페렌치
Grzegorz Wojtkowiak,그제고시 보이츠코비아크
Maria Sadowska (ur. 1976),마리아 사도프스카
Jerzy Trela,예지 트렐라
Aleksander Czcheidze,알렉산드레 치헤이제
Agnieszka Wagner,아그니에슈카 바그네르
Tadeusz Świątek (piłkarz),타데우시 시비옹테크
Gabriela Muskała,가브리엘라 무스카와
Ada Fijał,아다 피야우
Agnieszka Krukówna,아그니에슈카 크루쿠브나
Roma Gąsiorowska,로마 공시오로프스카
Anna Nehrebecka,안나 네흐레베츠카
Weronika Rosati,베로니카 로사티
Józef Tracz,유제프 트라치
Anna Mucha,안나 무하
Elżbieta Witek,엘주비에타 비테크
Kamil Chanas,카밀 하나스
Krzysztof Bosak,크시슈토프 보사크
Kazimierz Dąbrowski (psycholog),카지미에 다브로프스키
Ewelina Flinta,에벨리나 플린타
Anna Dereszowska,안나 데레쇼프스카
Aneta Szczepańska,아네타 슈체판스카
Arkadiusz Bilski,아르카디우즈 빌스키
Ilona Ostrowska,일로나 오스트로프스카
Piotr Stokowiec,피오토르 스토코비에크
Jacek Fafiński,야체크 파핀스키
Beata Szydło,베아타 시드워
Lyda Roberti,리다 로버티
Czesław Michniewicz,체스와프 미흐니에비치
Joanna Liszowska,요안나 리쇼프스카
Magdalena Walach,마그달레나 발라흐
Tomasz Karolak,토마시 카롤라크
Dawid Tomala,다비트 토말라
Witold Bendkowski,비톨트 벤트코프스키
Wiktor Zborowski,빅토르 즈보로브스키
Julia Kamińska,율리아 카민스카
Józef Green,조셉 그린
Tomasz Zieliński (sztangista),토마시 지엘린스키
Tomasz Sapryk,토마시 사프리크
Ryszard Galla,리샤르트 갈라
Małgorzata Buczkowska,마우고자타 부치코프스카
Małgorzata Gosiewska,마우고자타 고시에프스카
Karol Linetty,카롤 리네티
Kasia Popowska,카시아 포포프스카
Małgorzata Kidawa-Błońska,마우고자타 키다바브원스카
Łukasz Skorupski,우카시 스코룹스키
Krzysztof Majchrzak (aktor),크시슈토프 마이흐샤크
Piotr Zieliński (piłkarz),피오트르 지엘린스키
Natalia Maliszewska,나탈리아 말리셰프스카
Agnieszka Mandat,아그니에슈카 만다트
Roman Strzałkowski,로메크 스트샤우코프스키
Reizl Bozyk,라이즐 보직
Andrzej Duda,안제이 두다
Aleksandra Konieczna,알렉산드라 코니에치나
Honorata Skarbek,호노라타 스카르베크
Dariusz Garbocz,다리우시 가르보치
Dominika Kluźniak,도미니카 클루지니아크
Dawid Ogrodnik,다비트 오그로드니크
Barbara Jonak,바르바라 요나크
Rafał Trzaskowski,라파우 트샤스코프스키
Tadeusz Słobodzianek,타데우시 스와보지아네크
Ryszard Petru,리샤르트 페트루
Ryszard Terlecki,라이스자드 털레키
Szymon Hołownia,시몬 호워브니아
Sonia Bohosiewicz,소니아 보호시에비치
Wojciech Narębski,보이치에흐 나렘프스키
Wojciech Nowicki (lekkoatleta),보이치에흐 노비츠키
Włodzimierz Czarzasty,브워지미에시 차자스티
Zbigniew Rau (prawnik),즈비그니에프 라우
Filip Starzyński (piłkarz),필리프 스타진스키 (축구 선수)
Borys Budka,보리스 부드카
Mirosław Złotkowski,미로스와프 즈워트코프스키
Izabela Kuna,이자벨라 쿠나
Jacek Braciak,야체크 브라치아크
Jan Komasa,얀 코마사
Jowita Budnik,요비타 부드니크
Kazimierz Kropidłowski,카지미에시 크로피드워프스키
Marika (wokalistka),마리카 (가수)
Marcin Dorociński,마르친 도로친스키
Maja Bohosiewicz,마야 보호시에비치
Maja Hirsch,마야 히르슈
Malwina Kopron,말비나 코프론
Mateusz Morawiecki,마테우시 모라비에츠키
Mela Koteluk,멜라 코텔루크
Olga Frycz,올가 프리치
Monika Kuszyńska,모니카 쿠신스카
Przemysław Frankowski (piłkarz),프셰미스와프 프란코프스키
Paweł Dawidowicz,파베우 다비도비츠
Bartosz Kapustka,바르토시 카푸스트카
Agata Trzebuchowska,아가타 트셰부호프스카
Krzysztof Kasztelan,크시슈토프 카슈텔란
Cleo (piosenkarka),클레오 (가수)
Margaret (piosenkarka),마거릿 (가수)
Dawid Kownacki,다비트 코브나츠키
Joanna Jędrzejczyk,요안나 옝제이치크
Kari Amirian,카리 아미리안
Aleksandra Sikora,알렉산드라 시코라
Mateusz Wieteska,마테우시 비에테스카
Katarzyna Kiedrzynek,카타지나 키에지네크
Jan Bednarek (piłkarz),얀 베드나레크
Krzysztof Kamiński (ur. 1990),크리스토프 카민스키
Ewa Pajor,에바 파요르
Łukasz Żal,우카시 잘
Oktawia Nowacka,옥타비아 노바츠카
Bartłomiej Drągowski,바르트워미에이 드롱고프스키
Krzysztof Charamsa,크리스토프 하람사
Zofia Wichłacz,조피아 비흐와치
Magdalena Ogórek,마그달레나 오구레크
Krystian Bielik,크리스티안 비엘리크
Julia Kijowska,율리아 키요프스카
Barbara Nowacka,바르바라 노바츠카
Michalina Olszańska,미할리나 올샨스카
Damian Szymański,다미안 시만스키
Jacek Góralski,야체크 구랄스키
Oskar Zawada,오스카르 자바다
Natalia Nykiel,나탈리아 니키엘
Adrian Zandberg,아드리안 잔드베르크
Karol Świderski,카롤 시비데르스키
Babatunde Aiyegbusi,다바 케이토
Matty Cash,매티 캐시
Krzysztof Piątek,크시슈토프 피옹테크
Sebastian Szymański (piłkarz),세바스티안 시만스키
Katarzyna Lubnauer,카타지나 루브나우에르
Robert Gumny,로베르트 굼니
Iga Świątek,이가 시비옹테크
Barbara Dolniak,바르바라 돌니아크
Szymon Żurkowski,시몬 주르코프스키
Julia Wieniawa,율리아 비에니아바
