Douglas Adams,ダグラス・アダムズ
Carl Jenkinson,カール・ジェンキンソン
Friedrich Hayek,フリードリヒ・ハイエク
John Lennon,ジョン・レノン
Robert Louis Stevenson,ロバート・ルイス・スティーヴンソン
Ikechi Anya,イケチ・アンヤ
Rupert Grint,ルパート・グリント
"Arthur Nicolson, 1st Baron Carnock",アーサー・ニコルソン・(初代カーノック男爵)
Ellie Goulding,エリー・ゴールディング
George Bernard Shaw,ジョージ・バーナード・ショー
Victoria Beckham,ヴィクトリア・ベッカム
James Key (Formula One),ジェームス・キー
H. G. Wells,ハーバート・ジョージ・ウェルズ
George Mikes,ジョージ・ミケシュ
Karl Henry,カール・ヘンリー・(サッカー選手)
Michael Carrick,マイケル・キャリック
Anne V. Coates,アン・V・コーツ
Martyn Lloyd-Jones,マーティン・ロイドジョンズ
Roshan Seth,ロシャン・セス
Keira Knightley,キーラ・ナイトレイ
Kenny Miller,ケニー・ミラー
Hugo Weaving,ヒューゴ・ウィーヴィング
Richard Dawkins,リチャード・ドーキンス
Kim Wilde,キム・ワイルド
Mike Hawthorn,マイク・ホーソーン
Scott Loach,スコット・ローチ
Fitz Hall,フィッツ・ホール
Gladwyn Jebb,ヒューバート・マイルズ・グラッドウィン・ジェブ・(初代グラッドウィン男爵)
Nathaniel Chalobah,ナサニエル・チャロバー
Lee Hodson,リー・ホドソン
Troy Deeney,トロイ・ディーニー
Jonathan Hogg,ジョナサン・ホッグ
Carrie Lam,林鄭月娥
"David Cecil, 6th Marquess of Exeter",デヴィッド・バーリー
Mo Farah,モハメド・ファラー
Stanley Kubrick,スタンリー・キューブリック
Adele,アデル・(歌手)
Angus Young,アンガス・ヤング
John Pritchard (conductor),ジョン・プリッチャード
James Hilton (novelist),ジェームズ・ヒルトン
Audrey Hepburn,オードリー・ヘプバーン
"Robert Baden-Powell, 1st Baron Baden-Powell",ロバート・ベーデン＝パウエル
Chris Patten,クリストファー・パッテン
Ricky Gervais,リッキー・ジャーヴェイス
Mark Millar,マーク・ミラー・(漫画家)
Matthew Vaughn,マシュー・ヴォーン
Paul McCartney,ポール・マッカートニー
Mark Rocco,マーク・ロコ
Kylie Minogue,カイリー・ミノーグ
Rowan Atkinson,ローワン・アトキンソン
Rudyard Kipling,ラドヤード・キップリング
Slash (musician),スラッシュ・(ミュージシャン)
Gabrielle Aplin,ガブリエル・アプリン
Luigi Cherubini,ルイジ・ケルビーニ
J. K. Rowling,J・K・ローリング
Jane Goldman,ジェーン・ゴールドマン
Charles III,チャールズ3世・(イギリス王)
Bertrand Russell,バートランド・ラッセル
Ellen White (footballer),エレン・トニ・ホワイト
Laura Bassett,ラウーラ・バセット
Doctor P,Doctor・P
George Edward Luckman Gauntlett,エドワード・ガントレット
John Farnham,ジョン・ファーナム
Geri Halliwell,ジェリ・ハリウェル
Peter Lilley,ピーター・リリー
Jack the Ripper,切り裂きジャック
William Golding,ウィリアム・ゴールディング
Ringo Starr,リンゴ・スター
George Harrison,ジョージ・ハリスン
Jackie Stewart,ジャッキー・スチュワート
Lance Tingay,ランス・ティンゲイ
"Robert Cecil, 1st Viscount Cecil of Chelwood",ロバート・セシル・(初代セシル・オブ・チェルウッド子爵)
Brian May,ブライアン・メイ
Arthur Conan Doyle,アーサー・コナン・ドイル
Elizabeth Taylor,エリザベス・テイラー
Elton John,エルトン・ジョン
Amy Johnson,エミー・ジョンソン
Mike Oldfield,マイク・オールドフィールド
Eric Hobsbawm,エリック・ホブズボーム
Salman Rushdie,サルマン・ラシュディ
Fit Finlay,デイブ・フィンレー
Keith Campbell (biologist),キース・キャンベル・(生物学者)
Alex Ferguson,アレックス・ファーガソン
William Auld,ウィリアム・オールド
John C. Wells,ジョン・ウェルズ・(音声学者)
Daniel Tammet,ダニエル・タメット
Ebenezer Howard,エベネザー・ハワード
Clive Sinclair,クライブ・シンクレア
John Cleese,ジョン・クリーズ
Roger Taylor (Queen drummer),ロジャー・テイラー
Andrew Garfield,アンドリュー・ガーフィールド
Terry Gilliam,テリー・ギリアム
D. H. Lawrence,デーヴィッド・ハーバート・ローレンス
Orlando Bloom,オーランド・ブルーム
Jim Clark,ジム・クラーク・(レーサー)
John Surtees,ジョン・サーティース
Gordon Ramsay,ゴードン・ラムゼイ
W. D. Hamilton,ウィリアム・ドナルド・ハミルトン
John Barrowman,ジョン・バロウマン
Freddie Mercury,フレディ・マーキュリー
Agatha Christie,アガサ・クリスティ
Uri Geller,ユリ・ゲラー
Graham Hill,グラハム・ヒル
Cozy Powell,コージー・パウエル
Paul Gascoigne,ポール・ガスコイン
Jack Wilshere,ジャック・ウィルシャー
Ken "Snakehips" Johnson,ケン・スネイクヒップス・ジョンソン
"Helene Hayman, Baroness Hayman",ヘレン・ヘイマン
Graham Chapman,グレアム・チャップマン
Brian Cox (actor),ブライアン・コックス・(俳優)
Frances Fisher,フランシス・フィッシャー
Ryan Fraser,ライアン・フレイザー
V. S. Naipaul,V・S・ナイポール
Eric Burdon,エリック・バードン
Amy Winehouse,エイミー・ワインハウス
Roald Dahl,ロアルド・ダール
George Orwell,ジョージ・オーウェル
Amy Macdonald,エイミー・マクドナルド
Christopher Nolan,クリストファー・ノーラン
Jocky Wilson,ジョッキー・ウィルソン
Robert Pattinson,ロバート・パティンソン
Acker Bilk,アッカー・ビルク
Colin Crouch,コリン・クラウチ
Dave Taylor (wrestler),デビッド・テイラー・(プロレスラー)
Paul Scholes,ポール・スコールズ
Daniel Craig,ダニエル・クレイグ
Justin Chadwick,ジャスティン・チャドウィック
Bernard Katz,ベルンハルト・カッツ
Richard Barbieri,リチャード・バルビエリ
"William, Prince of Wales",ウィリアム・(プリンス・オブ・ウェールズ)
Steven Caulker,スティーヴン・コーカー
Shaun Maloney,ショーン・マロニー
Alexander Fleming,アレクサンダー・フレミング
David Bowie,デヴィッド・ボウイ
Robert Bolt,ロバート・ボルト
Jack Hawkins,ジャック・ホーキンス
Chris Wood (rock musician),クリス・ウッド・(ロックミュージシャン)
Daniel Radcliffe,ダニエル・ラドクリフ
Roy Budd,ロイ・バッド
Margaret Wycherly,マーガレット・ワイチャーリイ
Calum Chambers,カラム・チェンバース
Tinie Tempah,タイニー・テンパー
Sean Connery,ショーン・コネリー
Mervyn Peake,マーヴィン・ピーク
Alan Turing,アラン・チューリング
Eddie Marsan,エディ・マーサン
Christian Bale,クリスチャン・ベール
John McAfee,ジョン・マカフィー
Michael Cates,マイケル・ケイツ
Christine Ohuruogu,クリスティーン・オールグー
Jessica Ennis-Hill,ジェシカ・エニス＝ヒル
John Cale,ジョン・ケイル
"Mary Russell, Duchess of Bedford",メアリー・ラッセル・(ベッドフォード公爵夫人)
Terry Pratchett,テリー・プラチェット
Aaron Taylor-Johnson,アーロン・テイラー＝ジョンソン
Paul Johnson (writer),ポール・ジョンソン・(歴史家)
Clive Dunn,クライヴ・ダン
Cyril N. Hinshelwood,シリル・ヒンシェルウッド
Hugh Laurie,ヒュー・ローリー
Archer Martin,アーチャー・マーティン
Richard Laurence Millington Synge,リチャード・シング
Richard Attwood,リチャード・アトウッド
Jamie Carragher,ジェイミー・キャラガー
Alfred Hitchcock,アルフレッド・ヒッチコック
Margaret Thatcher,マーガレット・サッチャー
Justin Welby,ジャスティン・ウェルビー
Pete Townshend,ピート・タウンゼント
Gaël Bigirimana,ガエル・ビギリマナ
Ernest Payne,アーネスト・ペイン
Clarence Kingsbury,クラレンス・キングスバリー
Edmund Dulac,エドマンド・デュラック
Henry McMahon,ヘンリー・マクマホン
T. S. Eliot,T・S・エリオット
Denis Thatcher,デニス・サッチャー
Alvin Lee,アルヴィン・リー
"Harold Alexander, 1st Earl Alexander of Tunis",ハロルド・アレグザンダー・(初代チュニスのアレグザンダー伯爵)
Rebecca Adlington,レベッカ・アドリントン
Robert Robinson (chemist),ロバート・ロビンソン
J. J. Thomson,ジョゼフ・ジョン・トムソン
Anne Anderson (illustrator),アン・アンダーソン
Toby Stephens,トビー・スティーブンス
Claire Forlani,クレア・フォーラニ
Daphne Oram,ダフネ・オラム
Christopher Hitchens,クリストファー・ヒッチェンズ
Steven Runciman,スティーヴン・ランシマン
Joe Fry,ジョー・フライ
Chris Craft (racing driver),クリス・クラフト
Ian Heilbron,イアン・ヒールブロン
Ed Sheeran,エド・シーラン
Tiff Needell,ティフ・ニーデル
Alan Rees (racing driver),アラン・リーズ
Rowan Williams,ローワン・ウィリアムズ
Peter Brook,ピーター・ブルック
Emma Watson,エマ・ワトソン
Willoughby Hamilton,ウィロビー・ハミルトン
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",アンドルー・カニンガム・(ハインドホープの初代カニンガム子爵)
Arthur C. Clarke,アーサー・C・クラーク
Graeme Sharp,グレアム・シャープ
C. S. Lewis,C・S・ルイス
Ken Russell,ケン・ラッセル
Susan Cooper,スーザン・クーパー
Philippa of Lancaster,フィリパ・デ・レンカストレ
Stephen Frears,スティーヴン・フリアーズ
Natalie Dormer,ナタリー・ドーマー
Winston Churchill,ウィンストン・チャーチル
Rosalind Franklin,ロザリンド・フランクリン
Robbie Williams,ロビー・ウィリアムズ
Sid Vicious,シド・ヴィシャス
Dorothy Hodgkin,ドロシー・ホジキン
John Chadwick,ジョン・チャドウィック
Bernie Ecclestone,バーニー・エクレストン
Parminder Nagra,パーミンダ・ナーグラ
Aleister Crowley,アレイスター・クロウリー
Alexander Korda,アレクサンダー・コルダ
Richard Attenborough,リチャード・アッテンボロー
Nicolas Roeg,ニコラス・ローグ
Tim Curry,ティム・カリー
Tony Richardson,トニー・リチャードソン
Jonathan Williams (racing driver),ジョナサン・ウィリアムズ・(レーサー)
Maggie Smith,マギー・スミス
Paul Dirac,ポール・ディラック
Gerald du Maurier,ジェラルド・デュ・モーリエ
Steve Redgrave,スティーヴ・レッドグレーヴ
Alan Cox (computer programmer),アラン・コックス
Dorothea Lambert Chambers,ドロテア・ダグラス・チェンバース
Mo Hayder,モー・ヘイダー
Catherine Zeta-Jones,キャサリン・ゼタ＝ジョーンズ
Glen Matlock,グレン・マトロック
Agnes Baden-Powell,アグネス・ベーデン＝パウエル
Kelly Reilly,ケリー・ライリー
Petula Clark,ペトゥラ・クラーク
Dawn French,ドーン・フレンチ
Bat Ye'or,バート・ヨール
Chris Corbould,クリス・コーボールド
Rupert Wyatt,ルパート・ワイアット
Nick Davis (visual effects supervisor),ニック・デイヴィス・(視覚効果スーパーバイザー)
James Prescott Joule,ジェームズ・プレスコット・ジュール
Eric Clapton,エリック・クラプトン
Marianne Faithfull,マリアンヌ・フェイスフル
David Livingstone,デイヴィッド・リヴィングストン
Dorothy Round,ドロシー・ラウンド
Michael Powell,マイケル・パウエル・(映画監督)
Emeric Pressburger,エメリック・プレスバーガー
Ken Loach,ケン・ローチ
Laurence Olivier,ローレンス・オリヴィエ
Johnny Herbert,ジョニー・ハーバート
Darren Fletcher,ダレン・フレッチャー
Stirling Moss,スターリング・モス
"Katharine, Duchess of Kent",キャサリン・(ケント公爵夫人)
John Riseley-Prichard,ジョン・リズリー＝プリチャード
Diana Wynne Jones,ダイアナ・ウィン・ジョーンズ
Alexa Chung,アレクサ・チャン
Ethel Smyth,エセル・スマイス
Sandy Denny,サンディ・デニー
Kathleen Lonsdale,キャスリーン・ロンズデール
Jonny Lee Miller,ジョニー・リー・ミラー
Ken Wharton,ケン・ウォートン
Lisa Stansfield,リサ・スタンスフィールド
Gary Lineker,ゲーリー・リネカー
Mel B,メラニー・ブラウン
Barbara Cartland,バーバラ・カートランド
Zaha Hadid,ザハ・ハディッド
John Madden (director),ジョン・マッデン・(映画監督)
Sienna Guillory,シエンナ・ギロリー
John Maynard Keynes,ジョン・メイナード・ケインズ
Ludwig Wittgenstein,ルートヴィヒ・ウィトゲンシュタイン
David Lean,デヴィッド・リーン
Charles Laughton,チャールズ・ロートン
John Boorman,ジョン・ブアマン
Peter Greenaway,ピーター・グリーナウェイ
David Coulthard,デビッド・クルサード
Tom Pryce,トム・プライス
Martin Brundle,マーティン・ブランドル
Eric Broadley,エリック・ブロードレイ
Allan McNish,アラン・マクニッシュ
Jane Horrocks,ジェーン・ホロックス
Sally Gunnell,サリー・ガネル
A. J. Quinnell,A・J・クィネル
Christiane Amanpour,クリスティアン・アマンプール
Colin Chapman,コーリン・チャップマン
Imogen Poots,イモージェン・プーツ
"Sarah, Duchess of York",セーラ・(ヨーク公爵夫人)
Conor Maynard,コナー・メイナード
Kenneth Branagh,ケネス・ブラナー
John Schlesinger,ジョン・シュレシンジャー
Ridley Scott,リドリー・スコット
Peter Ustinov,ピーター・ユスティノフ
Steve Coast,スティーブ・コースト
Carol V. Robinson,キャロル・ロビンソン
Hans Krebs (biochemist),ハンス・クレブス
Ross Brawn,ロス・ブラウン
Syd Barrett,シド・バレット
Mike Hailwood,マイク・ヘイルウッド
Marie of Romania,マリア・(ルーマニア王妃)
Winifred Wagner,ヴィニフレート・ワーグナー
Mike Gascoyne,マイク・ガスコイン
Julian Bailey (racing driver),ジュリアン・ベイリー
Salman Khan,サルマン・カーン
Graham Taylor,グレアム・テイラー
Elisabeth Schwarzkopf,エリーザベト・シュヴァルツコップ
Klaus Fuchs,クラウス・フックス
Anthony Horowitz,アンソニー・ホロヴィッツ
Jack Greenwell,ジャック・グリーンウェル
Amy Price-Francis,エイミー・プライス＝フランシス
Danny Pugh,ダニー・ピュー
Kevin Ayers,ケヴィン・エアーズ
Ben Kingsley,ベン・キングズレー
Ron Dennis,ロン・デニス
Michael Collins (Irish leader),マイケル・コリンズ・(政治家)
Jock Clear,ジョック・クリア
Max Mosley,マックス・モズレー
Frank Williams (Formula One),フランク・ウィリアムズ
Kenny Acheson,ケネス・アチソン
Sid Watkins,シド・ワトキンス
Tony Blair,トニー・ブレア
Katrina Kaif,カトリーナ・カイフ
John Major,ジョン・メージャー
Martin Whitmarsh,マーティン・ウィットマーシュ
Adrian Newey,エイドリアン・ニューウェイ
Nick Wirth,ニック・ワース
Amanda Holden,アマンダ・ホールデン
Anita Roddick,アニータ・ロディック
Rebecca Romero,レベッカ・ロメロ
Edith Pargeter,イーディス・パージター
Jacqui Smith,ジャッキー・スミス
Liam Neeson,リーアム・ニーソン
Helen Sharman,ヘレン・シャーマン
Richard Rogers,リチャード・ロジャース・(建築家)
Ernst Chain,エルンスト・ボリス・チェーン
William Hague,ウィリアム・ヘイグ
Keeley Hawes,キーリー・ホーズ
Hans Eysenck,ハンス・アイゼンク
Hannah Spearritt,ハナ・スピアリット
Kate Nash,ケイト・ナッシュ
James Callaghan,ジェームズ・キャラハン
George VI,ジョージ6世・(イギリス王)
Lewis Hamilton,ルイス・ハミルトン
Conrad Veidt,コンラート・ファイト
Max Born,マックス・ボルン
Lily Allen,リリー・アレン
Ken Tyrrell,ケン・ティレル
Bob Anderson (racing driver),ボブ・アンダーソン・(レーサー)
David Richards (motorsport),デビッド・リチャーズ
Gordon Murray,ゴードン・マレー
Brian Hart,ブライアン・ハート
Anna Friel,アンナ・フリエル
Ernest Torrence,アーネスト・トレンス
Ben Nicholson,ベン・ニコルソン
Robert Morison,ロバート・モリソン・(植物学者)
Charles Cumming,チャールズ・カミング
Ian Ashley,イアン・アシュレイ
Sarah Waters,サラ・ウォーターズ
David Hobbs (racing driver),デヴィッド・ホッブス
Bob Woolmer,ボブ・ウールマー
Susan George (actress),スーザン・ジョージ
Elizabeth II,エリザベス2世
Andros Townsend,アンドロス・タウンゼント
Bob Bell (motorsport),ボブ・ベル
Peter Warr,ピーター・ウォー
Christian Horner,クリスチャン・ホーナー
Pat Symonds,パット・シモンズ
Charlie Whiting,チャーリー・ホワイティング
Anita Brookner,アニータ・ブルックナー
Siân Phillips,シアン・フィリップス
Phyllida Lloyd,フィリダ・ロイド
Harvey Postlethwaite,ハーベイ・ポスルスウェイト
John Barnard,ジョン・バーナード
Mike Coughlan,マイク・コフラン
Nigel Stepney,ナイジェル・ステップニー
"Adam Smith (footballer, born 1991)",アダム・スミス・(1991年生のサッカー選手)
Kyle Walker,カイル・ウォーカー
Hayley Mills,ヘイリー・ミルズ
Polly Walker,ポリー・ウォーカー
Derek Jarman,デレク・ジャーマン
Alastair McCorquodale,アラスター・マッコーコデール
Kenney Jones,ケニー・ジョーンズ
Dave Beasant,デイヴ・ビーサント
Elizabeth Allan,エリザベス・アラン
Tom Evenson,トーマス・エヴェンソン
Laura Robson,ローラ・ロブソン
Andy Murray,アンディ・マリー
E. L. James,E・L・ジェイムズ
"Catherine, Princess of Wales",キャサリン・(プリンセス・オブ・ウェールズ)
"Diana, Princess of Wales",ダイアナ・(プリンセス・オブ・ウェールズ)
Prince Ernest Augustus of Hanover (born 1914),エルンスト・アウグスト・フォン・ハノーファー・(1914-1987)
Pat Barker,パット・バーカー
Ron Weasley,ロン・ウィーズリー
John Judd,ジョン・ジャッド
Nico Yennaris,ニコ・イェナリス
Adam Lallana,アダム・ララーナ
Edith Hannam,エディット・ハンナム
Rob White (Formula One),ロブ・ホワイト
Robin Herd,ロビン・ハード
Neil Oatley,ニール・オートレイ
John Cooper (car maker),ジョン・クーパー・(自動車技術者)
Tim Densham,ティム・デンシャム
Frank Dernie,フランク・ダーニー
"Ashley Westwood (footballer, born 1990)",アシュリー・ウェストウッド
Michael Dawson (footballer),マイケル・ドーソン
Andre Wisdom,アンドレ・ウィズダム
Maurice Wilkes,モーリス・ウィルクス
Rudolf Peierls,ルドルフ・パイエルス
Nikolaus Pevsner,ニコラウス・ペヴズナー
Damon Hill,デイモン・ヒル
Nigel Mansell,ナイジェル・マンセル
Jenson Button,ジェンソン・バトン
Tony Southgate,トニー・サウスゲート
Hermione Granger,ハーマイオニー・グレンジャー
Magdalen Nabb,マグダレン・ナブ
Samantha Bond,サマンサ・ボンド
Simon Pegg,サイモン・ペッグ
Geoff Willis,ジェフ・ウィリス
Pat Fry,パット・フライ
Nick Fry,ニック・フライ
Ron Tauranac,ロン・トーラナック
R. D. Laing,ロナルド・D・レイン
Carol Cleveland,キャロル・クリーヴランド
Roddy McDowall,ロディ・マクドウォール
Williamina Fleming,ウィリアミーナ・フレミング
Lewis Elton,ルイス・エルトン
Fiona May,フィオナ・メイ
Mitsuko Uchida,内田光子
Kaiane Aldorino,ケーン・アルドリノ
Sam Brown (singer),サム・ブラウン・(歌手)
Dennis W. Sciama,デニス・シアマ
James McClean,ジェームズ・マクレーン
Minette Walters,ミネット・ウォルターズ
Sadie Frost,サディ・フロスト
Christine McVie,クリスティン・マクヴィー
Veronica Cartwright,ヴェロニカ・カートライト
Jill Ireland,ジル・アイアランド
Adam Clayton,アダム・クレイトン
"Quintin Hogg, Baron Hailsham of St Marylebone",クィンティン・ホッグ
Lottie Dod,ロッティ・ドッド
Margaret Drabble,マーガレット・ドラブル
"Tommy Godwin (cyclist, born 1920)",トーマス・ゴッドウィン
M. Stanley Whittingham,スタンリー・ウィッティンガム
Reginald Innes Pocock,レジナルド・インズ・ポコック
Lee Naylor (footballer),リー・ネイラー
Rachel Podger,レイチェル・ポッジャー
Cherie Blair,シェリー・ブレア
David Beckham,デビッド・ベッカム
Rupert Sanders,ルパート・サンダース
Humza Yousaf,ハムザ・ユーサフ
James H. Wilkinson,ジェームズ・H・ウィルキンソン
John Cockcroft,ジョン・コッククロフト
Frederic C. Williams,フレデリック・カーランド・ウィリアムス
Sophie Okonedo,ソフィー・オコネドー
"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne",セシリア・ニーナ・キャヴェンディッシュ＝ベンティンク
Aaron Lennon,アーロン・レノン
Evelyn Glennie,エヴェリン・グレニー
Ryan Giggs,ライアン・ギグス
Peter Gabriel,ピーター・ガブリエル
Brian Aldiss,ブライアン・オールディス
Fay Weldon,フェイ・ウェルドン
Alek Wek,アレック・ウェック
Lily Donaldson,リリー・ドナルドソン
Sue Barker,スー・バーカー
Heather Watson,ヘザー・ワトソン
Allan Holdsworth,アラン・ホールズワース
Jack Laugher,ジャック・ロー
Nick Barmby,ニック・バーンビー
Ken Adam,ケン・アダム
Dana Wynter,ダナ・ウィンター
Bill Brandt,ビル・ブラント
Alex Arthur,アレックス・アーサー
Lilian Harvey,リリアン・ハーヴェイ
George Henschel,ジョージ・ヘンシェル
Anthony Hopkins,アンソニー・ホプキンス
Simon Preston,サイモン・プレストン
Aubrey de Grey,オーブリー・デ・グレイ
Lord Voldemort,ヴォルデモート
Christine Keeler,クリスティーン・キーラー
Leonard Johnston Wills,レオナード・ウイルス
Kris Boyd,クリス・ボイド
Val McDermid,ヴァル・マクダーミド
Diana Dors,ダイアナ・ドース
Emma Pooley,エマ・プーリー
Jonny Greenwood,ジョニー・グリーンウッド
Adrian Paul,エイドリアン・ポール
Cilla Black,シラ・ブラック
Kenny Sansom,ケニー・サンソム
Benjamin Frankel,ベンジャミン・フランケル
Simon Marsden,サイモン・マースデン
Nathan Redmond,ネイサン・レドモンド
Brendan Foster,ブレンダン・フォスター
Bruce Payne,ブルース・ペイン
Adam Johnson (footballer),アダム・ジョンソン・(サッカー選手)
Heinz London,ハインツ・ロンドン
Walter Lassally,ウォルター・ラサリー
Manu Tuilagi,マヌ・トゥイランギ
Henry Hallett Dale,ヘンリー・ハレット・デール
James Paterson (painter),ジェイムズ・パタースン・(画家)
Edward Walter Maunder,エドワード・モーンダー
Kerry Katona,ケリー・カトーナ
Rubeus Hagrid,ルビウス・ハグリッド
Craig Gordon,クレイグ・ゴードン
Maggie Nicols,マギー・ニコルズ
Sophie Turner,ソフィー・ターナー
Jacqueline Wilson,ジャクリーン・ウィルソン
Emily Bergl,エミリー・バーグル
Edward Dannreuther,エドワード・ダンロイター
Phil Bardsley,フィル・バーズリー
Herbert Rosenfeld,ハーバート・ロゼンフェルド
Rebecca Pidgeon,レベッカ・ピジョン
Anna Kavan,アンナ・カヴァン
Marc Bolan,マーク・ボラン
"Cameron Cobbold, 1st Baron Cobbold",キャメロン・コボルド・(初代コボルド男爵)
Jaime Murray,ジェイミー・マーレイ
May Whitty,メイ・ウィッティ
Denise Lewis,デニーズ・ルイス
Mark Elder,マーク・エルダー
Robert Stephenson,ロバート・スチーブンソン
Anthony Payne,アンソニー・ペイン
Severus Snape,セブルス・スネイプ
Daniel Boone (singer),ダニエル・ブーン・(歌手)
Felicity Lott,フェリシティ・ロット
Richard Elliot,リチャード・エリオット
John Paul Getty Jr.,ジョン・ポール・ゲティ・ジュニア
Logan Pearsall Smith,ローガン・ピアソル・スミス
Paul Reuter,ポール・ジュリアス・ロイター
Joe Launchbury,ジョー・ローンチブリー
Steve Nicol,スティーブ・ニコル
Timothy Barnes (classicist),ティモシー・バーンズ
Andy Gibb,アンディ・ギブ
Steve Ovett,スティーブ・オベット
James Mirrlees,ジェームズ・マーリーズ
Bessie Love,ベッシー・ラヴ
Charles Lightoller,チャールズ・ライトラー
Q (James Bond),Q・(ジェームズ・ボンド)
Joyce Hatto,ジョイス・ハット
Hamilton Harty,ハミルトン・ハーティ
Landon Ronald,ランドン・ロナルド
Simon Blackburn,サイモン・ブラックバーン
Stan Laurel,スタン・ローレル
Billy Idol,ビリー・アイドル
Craig Ferguson,クレイグ・ファーガソン
Charlotte Auerbach,シャーロット・アワーバック
James Morrison (footballer),ジェームズ・モリソン・(サッカー選手)
"Daisy, Princess of Pless",デイジー・フォン・プレス
Peter Sellers,ピーター・セラーズ
Paul Rutherford (trombonist),ポール・ラザフォード
Eugene Simon,ユージン・サイモン
C. F. Powell,セシル・パウエル
Tom Conti,トム・コンティ
Ellen Terry,エレン・テリー
Ann Packer,アン・パッカー
John Flamsteed,ジョン・フラムスティード
Princess Clotilde of Saxe-Coburg and Gotha,クロティルデ・フォン・ザクセン＝コーブルク・ウント・ゴータ
Gary Barlow,ゲイリー・バーロウ
Dani Rowe,ダニエル・キング
Matthew Herbert,マシュー・ハーバート
"Charles Spencer-Churchill, 9th Duke of Marlborough",チャールズ・スペンサー＝チャーチル・(第9代マールバラ公)
Tessa Sanderson,テッサ・サンダーソン
Gregg Sulkin,グレッグ・サルキン
Emma Kirkby,エマ・カークビー
Sylvia Sleigh,シルヴィア・スレイ
Rachel Kempson,レイチェル・ケンプソン
Andrea Riseborough,アンドレア・ライズボロー
John E. Amoore,ジョン・アムーア
Sandy Powell (costume designer),サンディ・パウエル
Denise Mina,デニーズ・ミーナ
David Gilmour,デヴィッド・ギルモア
Patricia Hayes,パトリシア・ヘイズ
Jason Gardener,ジェイソン・ガードナー
Richard Seaman,リチャード・シーマン
Irvine Welsh,アーヴィン・ウェルシュ
W. H. Auden,W・H・オーデン
Frederic John Walker,フレデリック・ジョン・ウォーカー
Margaret Murray,マーガレット・マリー
Lindsay Duncan,リンジー・ダンカン
Chris de Burgh,クリス・デ・バー
Peter Osgood,ピーター・オスグッド
Luke Moore,ルーク・ムーア
Ida Haendel,イダ・ヘンデル
Marie Rambert,マリー・ランバート
Kathleen Ferrier,キャスリーン・フェリア
Donald Runnicles,ドナルド・ラニクルズ
Paul Hunter,ポール・ハンター
Princess Augusta Sophia of the United Kingdom,オーガスタ・ソフィア・オブ・ザ・ユナイテッド・キングダム
Janet Baker,ジャネット・ベイカー
Mary Bell,メアリー・ベル
W. T. Stead,ウィリアム・トーマス・ステッド
Birdy (singer),バーディー・(歌手)
Angela Mortimer,アンジェラ・モーティマー
Rachel Stevens,レイチェル・スティーヴンス
"Birgitte, Duchess of Gloucester",バージット・(グロスター公爵夫人)
