梅澤貴史,우메자와 타카시
達増拓也,닷소 다쿠야
原田眞人,하라다 마사토
平山清次,히라야마 기요쓰구
山口彊,Tsutomu Yamaguchi
秋田雨雀,아키타 우자쿠
山口観弘,야마구치 아키히로
新房昭之,신보 아키유키
虚淵玄,우로부치 겐
伊藤かな恵,이토 카나에
日笠陽子,히카사 요코
戸松遥,토마츠 하루카
武満徹,다케미쓰 도루
白川方明,시라카와 마사아키
入山杏奈,이리야마 안나
川栄李奈,가와에이 리나
豊臣秀吉,도요토미 히데요시
淵田美津雄,후치다 미쓰오
オノ・ヨーコ,오노 요코
松坂大輔,마쓰자카 다이스케
秋葉賢也,아키바 겐야
明正天皇,메이쇼 천황
加藤紘一,가토 고이치
御法川信英,미노리카와 노부히데
高垣彩陽,타카가키 아야히
三重ノ海剛司,미에노우미 쓰요시
安部公房,아베 코보
芥川龍之介,아쿠타가와 류노스케
新渡戸稲造,니토베 이나조
井上ひさし,이노우에 히사시
藤子・F・不二雄,후지코 F. 후지오
稗田阿礼,히에다노 아레
長谷部誠,하세베 마코토
佐藤剛男,사토 다쓰오
小野寺五典,오노데라 이쓰노리
曽田正人,소다 마사히토
李方子,이방자
黒沢清,구로사와 기요시
大島理森,오시마 다다모리
加藤英美里,카토 에미리
手塚治虫,데즈카 오사무
後小松天皇,고코마쓰 천황
菅義偉,스가 요시히데
南部陽一郎,난부 요이치로
溝口健二,미조구치 겐지
小津安二郎,오즈 야스지로
館山昌平,다테야마 쇼헤이
大島渚,오시마 나기사
宮沢賢治,미야자와 겐지
内田良平,우치다 료헤이
自見庄三郎,지미 쇼자부로
真崎航,마사키 고
宮崎繁三郎,미야자키 시게사부로
梅木蔵雄,우메키 구라오
玄葉光一郎,겐바 고이치로
村田諒太,무라타 료타
夏見円,나쓰미 마도카
谷口千吉,다니구치 센키치
鈴木勲,스즈키 이사오
中条比紗也,나카조 히사야
庵野秀明,안노 히데아키
有岡大貴,아리오카 다이키
ビートたけし,기타노 다케시
夏菜,나쓰나
野村克則,노무라 가쓰노리
栗田健男,구리타 다케오
西川貴教,니시카와 다카노리
渡辺麻友,와타나베 마유
松来未祐,마츠키 미유
斎藤千和,사이토 치와
三石琴乃,미츠이시 코토노
高安亮,다카야스 료
二葉亭四迷,후타바테이 시메이
白河天皇,시라카와 천황
乾貴士,이누이 다카시
与謝蕪村,요사 부손
阿部サダヲ,아베 사다오
源義家,미나모토노 요시이에
今井りか,이마이 리카
平井将生,히라이 쇼키
深澤仁博,후카자와 마사히로
萩村滋則,하기무라 시게노리
上原三枝,우에하라 미에
出島武春,데지마 다케하루
寺内寿一,데라우치 히사이치
加藤玲奈,가토 레나
桂太郎,가쓰라 다로
杉原千畝,스기하라 지우네
秦佐和子,하다 사와코
島崎遥香,시마자키 하루카
佐藤琢磨,사토 다쿠마
明石元二郎,아카시 모토지로
山本左近,사카모토 사콘
堀江由衣,호리에 유이
宮本武蔵,미야모토 무사시
中村俊輔,나카무라 슌스케
寿美菜子,코토부키 미나코
金元寿子,카네모토 히사코
嘉納治五郎,가노 지고로
中野信治,나카노 신지
片山右京,가타야마 우쿄
黒沢愛,구로사와 아이
水木一郎,미즈키 이치로
片山虎之助,가타야마 도라노스케
浜崎あゆみ,하마사키 아유미
野沢拓也,노자와 다쿠야
山本康裕,야마모토 고스케
上田康太,우에다 고타
石井菊次郎,이시이 기쿠지로
清河八郎,기요카와 하치로
前川國男,마에카와 구니오
米良美一,메라 요시카즈
阿部祐大朗,아베 유타로
栗澤僚一,구리사와 료이치
市川崑,이치카와 곤
宮崎駿,미야자키 하야오
中田英寿,나카타 히데토시
相馬崇人,소마 다카히토
山崎亮平,야마자키 료헤이
大菅小百合,오스가 사유리
矢尾一樹,야오 카즈키
東野圭吾,히가시노 게이고
小塚崇彦,고즈카 다카히코
野田佳彦,노다 요시히코
鈴木亜久里,스즈키 아구리
井出有治,이데 유지
松井一郎,마쓰이 이치로
柴田錬三郎,시바타 렌자부로
丸山良明,마루야마 요시아키
福田健二,후쿠다 겐지
野村祐輔,노무라 유스케
上原勇作,우에하라 유사쿠
安野モヨコ,안노 모요코
石原慎太郎,이시하라 신타로
石田正子,이시다 마사코
伊藤有希,이토 유키
文屋康秀,훈야노 야스히데
大江健三郎,오에 겐자부로
昭和天皇,쇼와 천황
阿部翔平,아베 쇼헤이
土居美咲,도이 미사키
中澤聡太,나카자와 소타
松原良香,마쓰바라 요시카
本間勲,혼마 이사오
西村健太朗,니시무라 겐타로
糸川英夫,이토카와 히데오
高橋みなみ,다카하시 미나미
吉沢明歩,요시자와 아키호
世阿弥,제아미
高木虎之介,다카기 도라노스케
三船敏郎,미후네 도시로
中嶋悟,나카지마 사토루
明治天皇,메이지 천황
高橋国光,다카하시 구니미쓰
野田英樹,노다 히데키
井上隆智穂,이노우에 다키
横路孝弘,요코미치 다카히로
前原誠司,마에하라 세이지
星野一義,호시노 가즈요시
鈴木利男,스즈키 도시오
徳川家康,도쿠가와 이에야스
比嘉リカルド,히가 리카루도
上田将勝,우에다 마사카쓰
児玉源太郎,고다마 겐타로
大迫勇也,오사코 유야
近衛基実,고노에 모토자네
役小角,엔노 오즈누
小野小町,오노노 고마치
竹内択,다케우치 다쿠
増田裕生,마스다 유키
山中伸弥,야마나카 신야
麻生祐未,아소 유미
米本拓司,요네모토 타쿠지
種田梨沙,타네다 리사
明仁,상황 아키히토
金田治,가네다 수사
志村喬,시무라 다카시
山本権兵衛,야마모토 곤노효에
船越義珍,후나코시 기친
曙太郎,아케보노 다로
小泉純一郎,고이즈미 준이치로
今宮健太,이마미야 겐타
戸越まごめ,도고시 마고메
森脇良太,모리와키 료타
伊達倫央,다테 미치히사
影山雅永,카게야마 마사나가
狩野健太,가노 겐타
源実朝,미나모토노 사네토모
伊藤博文,이토 히로부미
佐藤栄作,사토 에이사쿠
梶浦由記,가지우라 유키
麻生太郎,아소 다로
本田圭佑,혼다 게이스케
小林誠,고바야시 마코토
梶芽衣子,카지 메이코
清原元輔,기요하라노 모토스케
田中龍夫,다나카 다쓰오
下村東美,시모무라 도미
ディビッドソン純マーカス,데이비드슨 쥰 마르케스
東口順昭,히가시구치 마사아키
白石麻衣,시라이시 마이
土肥原賢二,도이하라 겐지
坂口安吾,사카구치 안고
園子温,소노 시온
江崎玲於奈,에사키 레오나
鳩山由紀夫,하토야마 유키오
槙原寛己,마키하라 히로미
吉澤章,요시자와 아키라
細野正文,호소노 마사부미
安田理大,야스다 미치히로
アルベルト・フジモリ,알베르토 후지모리
安倍晋三,아베 신조
斉藤浩哉,사이토 히로야
寺神戸亮,데라카도 료
高畑勲,다카하타 이사오
白隠慧鶴,하쿠인 에카쿠
藤原不比等,후지와라 후히토
森山𥙿,모리야마 히로시
梨本宮守正王,나시모토노미야 모리마사
GACKT,각트
鈴木大拙,스즈키 다이세쓰
芦原妃名子,아시하라 히나코
緒方貞子,오가타 사다코
道端ジェシカ,미치바타 제시카
神武天皇,진무 천황
下村脩,시모무라 오사무
安藝ノ海節男,아키노우미 세쓰오
木場昌雄,기바 마사오
澤昌克,사와 마사카쓰
益川敏英,마스카와 도시히데
歌川広重,우타가와 히로시게
三村申吾,미무라 신고
SABU,사부
小平事件,고다이라 요시오
仲哀天皇,주아이 천황
山村和也,야마무라 카즈야
森重文,모리 시게후미
安東貞美,안도 사다요시
松本清張,마쓰모토 세이초
安藤利吉,안도 리키치
江本勝,에모토 마사루
野坂参三,노사카 산조
後三条天皇,고산조 천황
楽山孝志,라쿠야마 다카시
松代直樹,마쓰요 나오키
中原杏,나카하라 안
村上春樹,무라카미 하루키
安倍昭恵,아베 아키에
安藤忠雄,안도 다다오
西澤明訓,니시자와 아키노리
山口紗弥加,야마구치 사야카
川口能活,가와구치 요시카쓰
鳥山明,도리야마 아키라
二宮浩,니노미야 히로시
坂口健司,사카구치 켄지
加藤善之,카토 요시유키
田坂祐介,다사카 유스케
中後雅喜,추고 마사키
川端康成,가와바타 야스나리
Hide,히데
篠山紀信,시노야마 기신
内田真礼,우치다 마아야
星野薫,호시노 가오루
戸川猪佐武,도가와 이사무
本吉剛,모토요시 타케시
太田房江,오타 후사에
志位和夫,시이 가즈오
斎藤一,사이토 하지메
大久保長安,오쿠보 나가야스
夏目漱石,나쓰메 소세키
京マチ子,교 마치코
鈴木亜美,스즈키 아미
藤ヶ谷陽介,후지가야 요스케
藤田征也,후지타 세이야
堀秀行,호리 히데유키
真田信綱,사나다 노부쓰나
河野和久,코노 카주히사
結城耕造,유키 고조
佐々木勇人,사사키 하야토
三宅一生,이세이 미야케
山口二矢,야마구치 오토야
西田幾多郎,니시다 기타로
アントニオ猪木,안토니오 이노키
伊福部昭,이후쿠베 아키라
三島由紀夫,미시마 유키오
石ノ森章太郎,이시노모리 쇼타로
松田浩,마쓰다 히로시
山崎真,야마자키 마코토
田中哲也,타나카 테쓰야
吉田安孝,요시다 야스타카
吉田昭義,요시다 아키요시
吉田裕幸,요시다 히로유키
真島ヒロ,마시마 히로
藤原頼経,후지와라노 요리쓰네
斉藤浩史,사이토 히로시
三上明紀,미카미 아키노리
今倉秀之,이마쿠라 히데유키
武者小路実篤,무샤노코지 사네아쓰
松田龍平,마쓰다 류헤이
伊藤圭介,이토 게이스케
野村芳太郎,노무라 요시타로
安原成泰,야스하라 나리야스
東川昌典,요시노리 히가시카와
小椋哲也,오구라 테쓰야
橋本信太郎,하시모토 신타로
坂本龍一,사카모토 류이치
藤原竜也,후지와라 다쓰야
石井眞木,이시이 마키
大束忠司,오쓰카 다다시
櫻井よしこ,사쿠라이 요시코
謝花昇,자하나 노보루
遠藤謹助,엔도 긴스케
中井猛之進,나카이 다케노신
梱枝りこ,코리에 리코
福田聡志,후쿠다 사토시
吉行由実,요시유키 유미
山本純二,야마모토 준지
わたなべ志穂,와타나베 시호
井伏鱒二,이부세 마스지
岩本徹三,이와모토 데쓰조
真田広之,사나다 히로유키
渡辺直美,와타나베 나오미
奈良原繁,나라하라 시게루
山尾庸三,야마오 요조
平手晃平,히라테 고헤이
渋沢栄一,시부사와 에이이치
安達峰一郎,아다치 미네이치로
高橋洋子,다카하시 요코
梶原平馬,가지와라 헤이마
小川未明,오가와 미메이
葛西紀明,가사이 노리아키
吉本隆明,요시모토 타카아키
林義秀,하야시 요시히데
梅津美治郎,우메즈 요시지로
後円融天皇,고엔유 천황
木村資生,기무라 모토
上原エドウィン,우에하라 에드윈
柿谷曜一朗,가키타니 요이치로
石川直樹,이시카와 나오키
徳川家茂,도쿠가와 이에모치
崇峻天皇,스슌 천황
渡辺謙,와타나베 겐
植田謙吉,우에다 겐키치
金本知憲,가네모토 도모아키
武藤金義,무토 가네요시
山川健次郎,야마카와 겐지로
岡村寧次,오카무라 야스지
弥海砂,아마네 미사
佐伯博司,사에키 히로시
永山瑛太,나가야마 에이타
麻枝准,마에다 준
北畠親房,기타바타케 지카후사
宇都宮秀則,우쓰노미야 히데노리
柏木陽介,가시와기 요스케
岩田華怜,이와타 가렌
遠藤保仁,엔도 야스히토
横山光輝,요코야마 미쓰테루
辰巳ヨシヒロ,다쓰미 요시히로
関孝和,세키 다카카즈
深作欣二,후카사쿠 긴지
下平匠,시모히라 다쿠미
倉田秋,쿠라타 슈
渡辺長武,와타나베 오사무
藤島武二,후지시마 다케지
青木繁,아오키 시게루
江戸川乱歩,에도가와 란포
布袋寅泰,호테이 도모야스
早乙女乱馬,사오토메 란마
橋下徹,하시모토 도루
藤堂平助,도도 헤이스케
本部朝勇,모토부 조유
松本潤,마쓰모토 준
赤西仁,아카니시 진
チャールズ・ジェンキンス,찰스 로버트 젱킨스
坪内逍遥,쓰보우치 쇼요
清和天皇,세이와 천황
後深草天皇,고후카쿠사 천황
允恭天皇,인교 천황
細川律夫,호소카와 리쓰오
高木義明,다카키 요시아키
水上勉,미즈카미 쓰토무
萩原英雄,하기와라 히데오
中川翔子,나카가와 쇼코
鳥羽天皇,도바 천황
崇徳天皇,스토쿠 천황
赤星貴文,아카호시 다카후미
菅野将晃,칸노 마사아키
上野千鶴子,우에노 치즈코
東史郎,아즈마 시로
内田嘉吉,우치다 가키치
谷寿夫,다니 히사오
町村信孝,마치무라 노부타카
継体天皇,게이타이 천황
宇多天皇,우다 천황
仁明天皇,닌묘 천황
水野良,미즈노 료
細野晴臣,호소노 하루오미
西郷従道,사이고 쓰구미치
木戸幸一,기도 고이치
木戸孝允,기도 다카요시
野中広務,노나카 히로무
陳舜臣,진순신
福井謙一,후쿠이 겐이치
森脇浩司,모리와키 히로시
田邊賢輔,타나베 켄스케
後朱雀天皇,고스자쿠 천황
後西天皇,고사이 천황
後陽成天皇,고요제이 천황
文世光,문세광
徳山昌守,홍창수
斉藤仁,사이토 히토시
高津臣吾,다카쓰 신고
早川浪,하야카와 나미
木野まこと,키노 마코토
熊谷紗希,구마가이 사키
徳仁,나루히토
髙橋大輔,다카하시 다이스케
安倍吉俊,아베 요시토시
鳥居龍蔵,도리이 류조
久米邦武,구메 구니다케
光厳天皇,고곤 천황
崇光天皇,스코 천황
加藤大治郎,가토 다이지로
越和宏,고시 가즈히로
中島敦,나카지마 아츠시
長谷川穂積,하세가와 호즈미
張本勲,장훈
早川漣,하야카와 렌
エスクデロ競飛王,세르히오 에스쿠데로
花城長茂,하나시로 조모
金城龍彦,긴조 다쓰히코
小畑英良,오바타 히데요시
吉川英治,요시카와 에이지
落合博満,오치아이 히로미쓰
金泰泳,김태영
古田敦也,후루타 아쓰야
今江敏晃,이마에 도시아키
小坂誠,고사카 마코토
中谷宇吉郎,나카야 우키치로
岡本公三,오카모토 고조
後嵯峨天皇,고사가 천황
聖武天皇,쇼무 천황
西村眞悟,니시무라 신고
辜顕栄,구셴룽
河上彦斎,가와카미 겐사이
高木貞治,다카기 데이지
豊田章一郎,도요다 쇼이치로
阿倍比羅夫,아베노 히라후
濱口雄幸,하마구치 오사치
林銑十郎,하야시 센주로
江田五月,에다 사쓰키
田中直紀,다나카 나오키
安住淳,아즈미 준
高橋留美子,타카하시 루미코
沢村栄治,사와무라 에이지
林遣都,하야시 겐토
三沢光晴,미사와 미쓰하루
小松清廉,고마쓰 기요카도
児玉誉士夫,고다마 요시오
陽成天皇,요제이 천황
用明天皇,요메이 천황
鈴木雅明,스즈키 마사아키
閑院宮載仁親王,간인노미야 고토히토
朝香宮鳩彦王,아사카노미야 야스히코
永倉新八,나가쿠라 신파치
徳富蘇峰,도쿠토미 소호
ディーン・フジオカ,딘 후지오카
宗尊親王,무네타카 친왕
正宗,마사무네
空海,구카이
嶋田繁太郎,시마다 시게타로
楠瀬幸彦,구스노세 유키히코
千田愛紗,센다 아이사
鈴木宗作,스즈키 소사쿠
高杉晋作,다카스기 신사쿠
秩父宮雍仁親王,지치부노미야 야스히토
真崎甚三郎,마사키 진자부로
勝海舟,가쓰 가이슈
伊沢多喜男,이자와 다키오
八田與一,핫타 요이치
小林躋造,고바야시 세이조
山口多聞,야마구치 다몬
高村正彦,고무라 마사히코
渡辺俊介,와타나베 슌스케
内村鑑三,우치무라 간조
小林宏之,고바야시 히로유키
古賀政男,고가 마사오
美濃部達吉,미노베 다쓰키치
菱刈隆,히시카리 다카시
藤本健二,후지모토 겐지
岡部孝信,오카베 다카노부
菅野よう子,칸노 요코
雉子牟田明子,기지무타 아키코
井上和彦,이노우에 가즈히코
陸奥宗光,무쓰 무네미쓰
柳川平助,야나가와 헤이스케
桐野利秋,기리노 도시아키
三浦梧楼,미우라 고로
阿倍仲麻呂,아베노 나카마로
福島安正,후쿠시마 야스마사
李清 (韓国),이청
桃山虔一,이건
今井敏明,이마이 도시아키
畑俊六,하타 슌로쿠
田中千絵,타나카 치에
柴田勝家,시바타 가쓰이에
和田薫,와다 가오루
林海峰,린하이펑
本庄繁,혼조 시게루
呉善花,고젠카
堤義明,쓰쓰미 요시아키
小川悦司,오가와 에쓰시
村上隆,무라카미 다카시
浦沢直樹,우라사와 나오키
谷山豊,다니야마 유타카
広田弘毅,히로타 고키
石橋湛山,이시바시 단잔
坂井三郎,사카이 사부로
井深大,이부카 마사루
副島種臣,소에지마 다네오미
南部麒次郎,난부 기지로
乾絵美,이누이 에미
志村五郎,시무라 고로
松岡洋右,마쓰오카 요스케
平城天皇,헤이제이 천황
西行,사이교
石田晴香,이시다 하루카
平田宏美,히라타 히로미
長谷川祥之,하세가와 요시유키
島袋寛子,시마부쿠로 히로코
小林よしのり,코바야시 요시노리
田健治郎,덴 겐지로
佐久間左馬太,사쿠마 사마타
山本耀司,요지 야마모토
雷電爲右エ門,라이덴 다메에몬
柿原徹也,가키하라 데쓰야
織田信成 (フィギュアスケート選手),오다 노부나리
力道山,역도산
野村克也,노무라 가쓰야
里崎智也,사토자키 도모야
横井小楠,요코이 쇼난
福盛和男,후쿠모리 가즈오
澤村拓一,사와무라 히로카즈
杉田庄一,스기타 쇼이치
吉見義明,요시미 요시아키
小和田恆,오와다 히사시
古賀峯一,고가 미네이치
東條由布子,도조 유코
薮田安彦,야부타 야스히코
益田直也,마스다 나오야
成田文男,나리타 후미오
清田育宏,기요타 이쿠히로
青野毅,아오노 다케시
武内直子,타케우치 나오코
倖田來未,고다 구미
高島鞆之助,다카시마 도모노스케
秋山真之,아키야마 사네유키
曾禰荒助,소네 아라스케
福浦和也,후쿠우라 가즈야
工藤隆人,구도 다카히토
寬仁親王,미카사노미야 도모히토
サブロー,오무라 사부로
後柏原天皇,고카시와바라 천황
後奈良天皇,고나라 천황
ジュディ・オング,웽 쥬디
伊東祐亨,이토 스케유키
一青窈,히토토 요
山内一弘,야마우치 가즈히로
小林亮寛,고바야시 료칸
吉井理人,요시이 마사토
福島千里,후쿠시마 치사토
後桜町天皇,고사쿠라마치 천황
香淳皇后,고준 황후
成瀬善久,나루세 요시히사
別当薫,벳토 가오루
李垠,의민태자
門倉健,카도쿠라 켄
藤田宗一,후지타 소이치
楢崎龍,나라사키 료
湯浅直樹,유아사 나오키
信西,신제이
岡部哲也,오카베 데쓰야
飯塚雅弓,이이즈카 마유미
杉山愛,스기야마 아이
藤波辰爾,후지나미 타쓰미
飯田祥二郎,이다 쇼지로
九条兼実,구조 가네자네
澤穂希,사와 호마레
荒川弘,아라카와 히로무
足利義稙,아시카가 요시타네
根上淳,준 니가미
黄文雄,고분유
小山田真,고야마다 신
山口勝平,야마구치 캇페이
荒巻淳,아라마키 아쓰시
小林雅英,고바야시 마사히데
井口資仁,이구치 다다히토
今岡真訪,이마오카 마코토
竹内洋岳,다케우치 히로타카
野茂英雄,노모 히데오
秋山成勲,아키야마 요시히로
伊達公子,다테 기미코
黒田清子,구로다 사야코
高岩成二,다카이와 세이지
坂口智隆,사카구치 도모타카
有沢まみず,아리사와 마미즈
吉田沙保里,요시다 사오리
草間彌生,구사마 야요이
千葉真一,치바 신이치
あだち充,아다치 미쓰루
西尾寿造,니시오 도시조
山口壯,야마구치 쓰요시
板垣征四郎,이타가키 세이시로
後冷泉天皇,고레이제이 천황
和田アキ子,와다 아키코
山内容堂,야마우치 요도
井上毅,이노우에 고와시
姜暢雄,강창웅
水樹奈々,미즈키 나나
荒川静香,아라카와 시즈카
小沢治三郎,오자와 지사부로
犬養毅,이누카이 쓰요시
野村哲也,노무라 데쓰야
山内溥,야마우치 히로시
天野喜孝,아마노 요시타카
南次郎,미나미 지로
大島義昌,오시마 요시마사
尾崎将司,오자키 마사시
高橋慶彦,다카하시 요시히코
吉見祐治,요시미 유지
唐川侑己,가라카와 유키
福間納,후쿠마 오사무
伊藤義弘,이토 요시히로
荻野貴司,오기노 다카시
本野一郎,모토노 이치로
中島今朝吾,나카지마 게사고
大竹寛,오타케 간
細川亨,호소카와 도루
有銘兼久,아리메 가네히사
岸田護,기시다 마모루
吉岡隆徳,요시오카 다카요시
常盤御前,도키와 고젠
梅田悠,우메다 하루카
中村麻里子,나카무라 마리코
仲俣汐里,나카마타 시오리
山内鈴蘭,야마우치 스즈란
島田晴香,시마다 하루카
井原西鶴,이하라 사이카쿠
荒木貞夫,아라키 사다오
森杏奈,모리 안나
竹内美宥,타케우치 미유
永尾まりや,나가오 마리야
松下唯,마쓰시다 유이
高橋浩祐,다카하시 고스케
草野大輔,구사노 다이스케
檀れい,단 레이
永澤 菜教,나가사와 나오
東山奈央,토야마 나오
阿南惟幾,아나미 고레치카
伊良部秀輝,이라부 히데키
西村徳文,니시무라 노리후미
野村謙二郎,노무라 겐지로
久保康友,구보 야스토모
田中れいな,다나카 레이나
大塚愛,오오츠카 아이
曽ヶ端準,소가하타 히토시
谷原秀人,다니하라 히데토
松方正義,마쓰카타 마사요시
宮崎滔天,미야자키 도텐
後藤象二郎,고토 쇼지로
広瀬武夫,히로세 다케오
東陽一,히가시 요이치
前園真聖,마에조노 마사키요
秋田豊,아키타 유타카
森田あゆみ,모리타 아유미
Mana,Mana
福澤諭吉,후쿠자와 유키치
後堀河天皇,고호리카와 천황
古賀誠,고가 마코토
六条天皇,로쿠조 천황
清水直行,시미즈 나오유키
金子文子,가네코 후미코
中山竹通,나카야마 다케유키
西岡剛,니시오카 쓰요시
ミヨシ・ウメキ,우메키 미요시
松本治一郎,마쓰모토 지이치로
水沢史絵,미즈사와 후미에
渡辺明,와타나베 아키라
ツルネン・マルテイ,쓰루넨 마루테이
島田裕介,시마다 유스케
船木和喜,후나키 가즈요시
松井石根,마쓰이 이와네
明神智和,묘진 도모카즈
朴泳孝,박영효
若林倫香,와카바야시 도모카
梅本まどか,우메모토 마도카
佐藤実絵子,사토 미에코
手束真知子,데즈카 마치코
興津和幸,오키쓰 가즈유키
佐々木禎子,사사키 사다코
持統天皇,지토 천황
上原ひろみ,우에하라 히로미
伊調馨,이초 가오리
森喜朗,모리 요시로
大橋正博,오하시 마사히로
服部年宏,핫토리 도시히로
清少納言,세이 쇼나곤
井上馨,이노우에 가오루
弘田澄男,히로타 스미오
森島寛晃,모리시마 히로아키
亀梨和也,가메나시 가즈야
あずまきよひこ,아즈마 기요히코
高橋愛,다카하시 아이
皇后雅子,마사코 황후
百田夏菜子,모모타 가나코
大前元紀,오마에 겐키
菊地凛子,키쿠치 린코
李玖,이구
岡山一成,오카야마 가즈나리
土御門天皇,쓰치미카도 천황
清寧天皇,세이네이 천황
今村均,이마무라 히토시
文徳天皇,몬토쿠 천황
三条天皇,산조 천황
鈴木敏夫,스즈키 토시오
窪之内英策,쿠보노우치 에이사쿠
野口英世,노구치 히데요
大久保利通,오쿠보 도시미치
小松宮彰仁親王,코마쓰노미야 아키히토신노
井上靖,이노우에 야스시
金子安次,가네코 야스지
木村兵太郎,기무라 헤이타로
向谷実,무카이야 미노루
山崎拓,야마사키 다쿠
文武天皇,몬무 천황
順徳天皇,준토쿠 천황
仲恭天皇,주쿄 천황
孝謙天皇,고켄 천황
元明天皇,겐메이 천황
岡田啓介,오카다 게이스케
米内光政,요나이 미쓰마사
木村沙織,기무라 사오리
道重さゆみ,미치시게 사유미
田母神俊雄,다모가미 도시오
及川古志郎,오이카와 고시로
川上操六,가와카미 소로쿠
正力松太郎,쇼리키 마쓰타로
江藤淳,에토 준
石原莞爾,이시와라 간지
宇垣秀成,우가키 히데나리
村山実,무라야마 미노루
馬場憂太,바바 유타
カシワクラツトム,가시와쿠라 쓰토무
加隈亜衣,카쿠마 아이
新垣里沙,니이가키 리사
小澤マリア,오자와 마리아
神功皇后,진구 황후
尾崎直道,오자키 나오미치
高橋伊望,다카하시 이보
五藤存知,고토 아리토모
井上成美,이노우에 시게요시
武井保雄,타케이 야스오
慈円,지엔
白鳥敏夫,시라토리 도시오
篠塚良雄,시노즈카 요시오
文仁親王妃紀子,아키시노노미야 기코
種村有菜,다네무라 아리나
黒田清隆,구로다 기요타카
近藤浩治,곤도 고지
森鷗外,모리 오가이
はるな愛,하루나 아이
剛力彩芽,고리키 아야메
遠藤幸雄,엔도 유키오
椎名林檎,시이나 링고
上戸彩,우에토 아야
藤村大介,후지무라 다이스케
福本愛菜,후쿠모토 아이나
広瀬アリス,히로세 아리스
中島健人,나카지마 겐토
横田真人,요코타 마히토
由比光衛,유히 미쓰에
鈴木貴男,스즈키 다카오
西沢広義,니시자와 히로요시
三浦建太郎,미우라 켄타로
藤ヶ谷太輔,후지가야 다이스케
宮脇咲良,사쿠라
玉森裕太,다마모리 유타
青山敏弘,아오야마 도시히로
佐野房子,니가타 소녀 감금 사건
西本武志,니시토모 다케시
松村宗棍,마쓰무라 소콘
小松原道太郎,고마쓰바라 미치타로
久明親王,히사아키 친왕
水野理紗,미즈노 리사
大久保忠世,오쿠보 타다요
和田豊,와다 유타카
柏幸奈,가시와 유키나
野口聡一,노구치 소이치
