"Фоменко, Анатолий Тимофеевич",阿纳托利·季莫费耶维奇·福缅科
"Михалков, Сергей Владимирович",谢尔盖·米哈尔科夫
"Кафельников, Евгений Александрович",叶甫根尼·卡费尔尼科夫
"Ургант, Иван Андреевич",伊万·乌尔甘特
"Томашевский, Евгений Юрьевич",叶夫根尼·托马舍夫斯基
"Домрачева, Дарья Владимировна",達荷亞·多姆拉切娃
"Зязиков, Мурат Магометович",穆拉特·贾济科夫
"Бугаев, Борис Павлович",鲍里斯·布加耶夫
"Морозов, Владимир Евгеньевич",弗拉基米尔·叶夫根耶维奇·莫罗佐夫
"Богомолов, Александр Александрович (теннисист)",阿列克斯·博戈莫洛夫
"Софроницкая, Вивиана Владимировна",薇薇安娜·索夫罗尼茨基
"Гринин, Владимир Михайлович",弗拉基米尔·米哈伊洛维奇·格里宁
"Березуцкий, Алексей Владимирович",阿列克謝·別列祖茨基
"Букина, Екатерина Борисовна",叶卡捷琳娜·布金娜
"Афанасьев, Юрий Николаевич",尤里·尼古拉耶维奇·阿法纳西耶夫
"Ибрагимов, Магомед Абдулмуминович",穆罕默德·阿卜杜勒穆米诺维奇·易卜拉欣莫夫
"Марчук, Гурий Иванович",古里·马尔丘克
Носорог (Marvel Comics),犀牛人
"Кербель, Лев Ефимович",列夫·克尔贝尔
"Кравчук, Андрей Юрьевич",安德烈·克拉夫庫克
"Володось, Аркадий Аркадьевич",阿尔卡季·沃洛多斯
"Веснина, Елена Сергеевна",艾蓮娜·費絲蓮娜
"Винокуров, Эдуард Теодорович",爱德华·特奥多罗维奇·维诺库罗夫
"Ефремов, Олег Николаевич",奥列格·叶夫列莫夫
"Керимов, Сулейман Абусаидович",苏莱曼·克里莫夫
"Зайцев, Иван Вячеславович",伊萬·扎伊采夫
"Пономарёв, Борис Николаевич",鲍里斯·波诺马廖夫
"Андрианов, Николай Ефимович",尼古拉·安德里亚诺夫
"Южный, Михаил Михайлович",米哈伊爾·尤日尼
"Клейбанова, Алиса Михайловна",阿麗莎·克萊班諾娃
"Лукас, Майкл",迈克尔·卢卡斯
"Постнова, Людмила Григорьевна",柳德米拉·波斯诺娃
"Викторенко, Александр Степанович",亚历山大·维克托连科
"Чурбанов, Юрий Михайлович",尤里·丘尔巴诺夫
"Шишкин, Роман Александрович",罗曼·舒斯坚
"Лебедева, Татьяна Романовна",塔季扬娜·列别杰娃
"Шведова, Ярослава Вячеславовна",雅羅斯拉娃·施韋多娃
"Силуанов, Антон Германович",安东·格尔马诺维奇·西卢安诺夫
"Бехтерева, Наталья Петровна",纳塔利娅·别赫捷列娃
"Аллилуева, Светлана Иосифовна",斯韦特兰娜·约瑟福芙娜·阿利卢耶娃
"Волкова, Юлия Олеговна",尤莉亚·欧列伽芙娜·沃尔科娃
"Катина, Елена Сергеевна",列娜·谢尔盖耶芙娜·卡其娜
"Волков, Александр Александрович (космонавт)",亚历山大·亚历山德罗维奇·沃尔科夫·(1948年)
"Захаров, Илья Леонидович",伊利亚·扎哈罗夫
"Высоцкий, Владимир Сергеевич",弗拉基米尔·谢尔盖耶维奇·维索茨基
"Слуцкая, Ирина Эдуардовна",伊琳娜·斯卢茨卡娅
"Лаврова, Наталья Александровна",纳塔利娅·拉夫罗娃
"Слесаренко, Елена Владимировна",叶连娜·斯列萨连科
"Пресс, Тамара Натановна",塔玛拉·普雷斯
"Боннэр, Елена Георгиевна",葉連娜·邦納
"Душевина, Вера Евгеньевна",菲娜·杜舒芬娜
"Кузенкова, Ольга Сергеевна",奥莉加·库津科娃
"Вишневская, Галина Павловна",加林娜·维什涅夫斯卡娅
"Володин, Вячеслав Викторович",维亚切斯拉夫·沃洛金
"Семёнов, Мингиян Артурович",明吉扬·谢苗诺夫
"Щёголев, Игорь Олегович",伊戈尔·晓戈列夫
"Горбачёва, Раиса Максимовна",赖莎·马克西莫芙娜·戈尔巴乔娃
"Квят, Даниил Вячеславович",丹尼尔·科维亚特
"Шкаплеров, Антон Николаевич",安东·什卡普列罗夫
"Залыгин, Сергей Павлович",谢尔盖·扎雷金
"Зильберман, Миша",米沙·西尔伯曼
"Патрушев, Николай Платонович",尼古拉·帕特鲁舍夫
"Чурикова, Инна Михайловна",茵娜·丘里科娃
"Дьяконов, Игорь Михайлович",伊戈尔·米哈伊洛维奇·季亚科诺夫
Крейвен-охотник,獵人克萊文
"Озеров, Юрий Николаевич",尤里·奧澤羅夫
"Ткачёв, Александр Васильевич (гимнаст)",亚历山大·瓦西里耶维奇·特卡乔夫
"Водянова, Наталья Михайловна",娜塔莉亞·沃迪亞諾娃
"Бовина, Елена Олеговна",耶蓮娜·鮑文娜
"Лиховцева, Елена Александровна",艾蓮娜·列歌芙絲法
"Путина, Людмила Александровна",柳德米拉·普京娜
"Волынов, Борис Валентинович",鲍里斯·沃雷诺夫
"Чумаков, Михаил Петрович",米哈伊尔·楚马科夫
"Гидзенко, Юрий Павлович",尤里·吉德津科
"Чапман, Анна Васильевна",安娜·查普曼
"Клишина, Дарья Игоревна",達莉婭·克里什納
"Орейро, Наталия",娜塔莉娅·奥雷罗
"Воронов, Евгений Сергеевич",叶夫根尼·沃罗诺夫
"Карасёв, Сергей Васильевич",谢尔盖·卡拉肖夫
"Прохоров, Михаил Дмитриевич",米哈伊爾·普羅霍羅夫
"Рулин, Олеся Юрьевна",奧蕾絲雅·盧琳
"Хоркина, Светлана Васильевна",斯维特兰娜·霍尔金娜
"Роднина, Ирина Константиновна",伊琳娜·羅德寧娜
"Рахимов, Муртаза Губайдуллович",穆尔塔扎·拉希莫夫
"Минниханов, Рустам Нургалиевич",鲁斯塔姆·努尔加利耶维奇·明尼哈诺夫
"Полтавченко, Георгий Сергеевич",格奥尔基·波尔塔夫琴科
"Рождественский, Роберт Иванович",罗伯特·罗日杰斯特文斯基
"Зиновьев, Александр Александрович",亚历山大·季诺维也夫
"Токарева, Виктория Самуиловна",V.S.·托卡列娃
"Афанасьева, Ксения Дмитриевна",克谢尼娅·阿法纳西耶娃
"Ушаков, Дмитрий Аркадьевич",德米特里·乌沙科夫
"Ким, Нелли Владимировна",金瓊淑
"Токарев, Валерий Иванович",瓦列里·托卡列夫
"Хвостов, Дмитрий Григорьевич",德米特里·赫沃斯托夫
"Антонов, Семён Сергеевич",賽姆楊·安托諾夫
"Пасека, Мария Валерьевна",玛利亚·帕塞卡
"Гришина, Анастасия Николаевна",安娜斯塔西娅·格里什娜
"Бурцев, Михаил Иванович (фехтовальщик)",米哈伊尔·伊万诺维奇·布尔采夫
"Медведева, Светлана Владимировна",斯韦特兰娜·弗拉基米罗芙娜·梅德韦杰娃
"Нарышкин, Сергей Евгеньевич",謝爾蓋·納雷什金
"Ресин, Владимир Иосифович",弗拉基米尔·约瑟福维奇·列辛
"Сухинова, Ксения Владимировна",肯笙妮雅·蘇恩諾娃
"Шейк, Ирина",伊莉娜·沙伊克
"Эстемирова, Наталья Хусаиновна",納塔利婭·埃斯蒂米洛娃
"Ефимова, Юлия Андреевна",尤莉亞·伊菲莫娃
"Авдеев, Сергей Васильевич",谢尔盖·阿夫杰耶夫
"Грачёв, Павел Сергеевич",帕维尔·格拉乔夫
"Черных, Людмила Ивановна",柳德米拉·切爾尼赫
"Воскобоева, Галина Олеговна",卡麗娜·沃斯科波娃
"Вознесенский, Андрей Андреевич",安德烈·沃兹涅先斯基
"Небольсина, Вера Валерьевна",维拉·内波斯娜
"Ладыженская, Ольга Александровна",奥莉加·亚历山德罗芙娜·拉德任斯卡娅
"Комова, Виктория Александровна",維多利亞·科莫娃
"Троепольский, Гавриил Николаевич",加夫里伊尔·特罗耶波利斯基
"Зелин, Александр Николаевич",亚历山大·泽林
"Радченко, Дмитрий Леонидович",季米特里·拉德琴科
"Кунаков, Юрий Александрович",尤里·库纳科夫
"Тертерян, Авет Рубенович",阿韦特·捷尔捷良
"Антонова, Ирина Александровна",伊琳娜·安东诺娃
"Боброва, Екатерина Александровна",叶卡捷琳娜·博布罗娃
"Воробьёва, Наталья Витальевна",纳塔利娅·沃罗比约娃
"Войнович, Владимир Николаевич",弗拉基米尔·沃伊诺维奇
"Окуджава, Булат Шалвович",布拉特·奥库德扎瓦
"Ермакова, Оксана Ивановна",奧克薩娜·伊爾馬科娃
"Ласицкене, Мария Александровна",瑪麗亞·拉斯茲柯內
"Боголюбов, Николай Николаевич",尼古拉·博戈柳博夫
"Таирова, Елена Кайратовна",叶连娜·泰罗娃
"Андрюшина, Екатерина Сергеевна",叶卡捷琳娜·安德留申娜
"Воробьёв, Аркадий Никитич",阿尔卡季·沃罗比约夫
"Шеин, Олег Васильевич",奧列格·謝恩
"Плющенко, Евгений Викторович",叶甫根尼·普鲁申科
"Любимов, Алексей Борисович",阿列克谢·鲁比莫夫
"Прилепин, Захар",扎哈尔·普里列平
"Федоренко, Николай Трофимович",费德林
"Крайнев, Владимир Всеволодович",弗拉基米尔·克拉伊涅夫
"Анисина, Марина Вячеславовна",瑪莉娜·阿妮西娜
"Энквист, Людмила Николаевна",卢德米拉·恩奎斯特
"Голубев, Андрей Александрович",安德烈·戈盧別夫
"Позднякова, Анастасия Юрьевна",阿纳斯塔西娅·波兹尼亚科娃
"Сантуш, Изабель душ",伊萨贝尔·多斯桑托斯
"Ильюшин, Владимир Сергеевич",弗拉基米尔·伊留申
"Небензя, Василий Алексеевич",瓦西里·涅边贾
"Клеймёнов, Валерий Семёнович",瓦列里·克列伊苗诺夫
"Екимов, Алексей Иванович",阿列克谢·叶基莫夫
"Котельников, Владимир Александрович",弗拉基米尔·科捷利尼科夫
"Федосеев, Владимир Иванович",弗拉基米尔·费多谢耶夫
"Руднова, Зоя Николаевна",佐娅·鲁德诺娃
"Житомирский, Илья Алексеевич",伊利亚·朱托米尔斯基
"Пучкова, Ольга Алексеевна",奧爾加·普奇科娃
"Хэммон, Бекки",贝姬·哈蒙
"Сафина, Динара Мубиновна",迪娜拉·薩芬娜
"Лепешинская, Ольга Васильевна",奧爾加·列佩申斯卡婭
"Черчесов, Станислав Саламович",斯塔尼斯拉夫·切尔切索夫
"Якунин, Владимир Иванович",弗拉基米尔·伊万诺维奇·亚库宁
"Малахов, Владимир Наильевич",弗拉基米尔·马拉霍夫
"Бондарев, Юрий Васильевич",尤里·邦达列夫
Земфира,Zemfira
"Фаддеев, Людвиг Дмитриевич",路德維希·法捷耶夫
"Ускова, Яна Викторовна",扬娜·乌斯科娃
"Потапов, Леонид Васильевич",列昂尼德·波塔波夫
"Афанасьев, Валерий Павлович",瓦列里·阿法纳西耶夫
"Коблова, Валерия Сергеевна",瓦列里娅·科布洛娃
"Ромашина, Светлана Алексеевна",斯韋特蘭娜·羅馬絲娜
"Черышев, Денис Дмитриевич",丹尼斯·切雷舍夫
"Щенников, Георгий Михайлович",格奧爾基·施琴尼科夫
"Садулаев, Абдул-Халим Абусаламович",阿卜杜-哈利姆·萨杜拉耶夫
"Пелевин, Виктор Олегович",维克托·佩列温
"Андрусенко, Вероника Андреевна",韦罗妮卡·安德鲁先科
"Трепашкин, Михаил Иванович",米哈伊尔·特列帕什金
"Магнитский, Сергей Леонидович",谢尔盖·马格尼茨基
"Романенко, Роман Юрьевич",罗曼·罗曼年科
"Шихова, Екатерина Владимировна",叶卡捷琳娜·希霍娃
"Капустин, Николай Гиршевич",尼古拉·卡普斯京
"Рыбкин, Иван Петрович",伊万·雷布金
"Вексельберг, Виктор Феликсович",维克托·韦克谢利伯格
"Кузнецов, Евгений Владимирович (спортсмен)",叶夫根尼·库兹涅佐夫
"Ивашко, Владимир Антонович",弗拉基米尔·伊瓦什科
"Каспарян, Юрий Дмитриевич",尤里·卡斯帕良
"Симонов, Михаил Петрович",米哈伊尔·西蒙诺夫
"Мишкутёнок, Наталья Евгеньевна",娜塔莉婭·米什庫特諾科
"Севастьянов, Виталий Иванович",维塔利·谢瓦斯季亚诺夫
"Лисица, Валентина Евгеньевна",瓦倫提娜·李希特薩
"Болотников, Пётр Григорьевич",彼得·博洛特尼科夫
"Ваксберг, Аркадий Иосифович",阿尔卡季·约瑟夫维奇·瓦克斯贝格
"Гамова, Екатерина Александровна",叶卡捷琳娜·加莫娃
"Ахмадулина, Белла Ахатовна",贝拉·阿赫玛杜琳娜
"Бареев, Евгений Ильгизович",叶夫根尼·巴列耶夫
"Канаева, Евгения Олеговна",葉夫根尼婭·卡納耶娃
"Вислова, Нина Геннадьевна",尼娜·维斯洛娃
"Слуцкий, Леонид Викторович",列昂尼德·维克托罗维奇·斯卢茨基
"Луганский, Николай Львович",尼古拉·卢甘斯基
"Старостин, Сергей Анатольевич",谢尔盖·阿纳托利耶维奇·斯塔罗斯金
"Шостакович, Максим Дмитриевич",馬克森·蕭士達高維契
"Пелешян, Артавазд Ашотович",阿尔塔瓦斯德·佩莱希扬
"Матиясевич, Юрий Владимирович",尤里·马季亚谢维奇
"Лигачёв, Егор Кузьмич",伊戈尔·利加乔夫
"Кабаева, Алина Маратовна",阿林娜·卡巴耶娃
