Beijing,北京
Jiangsu Sheng,江苏省
Jiangmen,江门市
Yangjiang,阳江市
Huzhou,Hu-chou
Aksu,阿克苏市
Xinjiang Uyghur Autonomous Region,新疆
Korla,萨依巴格
Mu Yu,亩屿
Kashgar,喀什
Tibet Autonomous Region,西藏自治区
Xixabangma Feng,希夏邦马峰
Qinghai Sheng,青海
Zhongshan,中山
Ordos,鄂尔多斯市
Hezhou,贺州市
Taizhou,台州
Liupanshui,六盘水市
Xuzhou,徐州市
Zhalantun,兴华
Yingkou,Yingkou Shi
Yichun,伊春市
Xilin Gol Meng,锡林
Tonghua,通化市
Shuangyashan,双鸭山市
Mudanjiang,牡丹江市
Longshan,龙山
Jixi,鸡西
Hulunbuir Region,呼伦贝尔
Hegang,鹤岗市
Chifeng Shi,赤峰市
Chifeng,赤峰市
Beijing Shi,北京市
Baicheng,白城
Baishan,八道江
Zoucheng,邹城市
Ziyang,雁江
Zhoukou,周口市
Yuxi,玉溪市
Huangshan,屯溪区
Tongzhou,通州
Tianshui,天水
Tianjin Shi,天津市
Chengtangcun,滕州
Tanggu,塘沽
Taishan,台山
Suzhou,宿州市
Suizhou,随州市
Suining,遂宁市
Tongchuanshi,铜川市
Xuchang,将官池
Xinzhou,忻州市
Xinxiang,南干道
Ankang,安康市
Wenchang,文城
Wanxian,万州
Wanning,万宁市
Huaihua,怀化市
Hengshui,衡水市
Hebi,鹤壁市
Hainan Sheng,海南省
Garzê Zangzu Zizhizhou,甘孜
Wuyishan,武夷山
Nanping,南平市
Lüshun,旅顺口区
Lu’an,六安
Guankou,浏阳市
Zhangye,张掖
Jinghong,景洪
Heyuan,河源市
Zhangjiagang,张家港市
Tongshan,徐州
Dezhou,德州市
Deyang,德阳市
Zhangjiajie,永定区
Lijiang,丽江市
Shanwei,汕尾市
Shanghai Shi,上海
Sanming,三明市
Sanmenxia,三门峡市
Rui’an,瑞安
Qufu,曲阜市
Pingliang,平凉市
Yiwu,义乌
Chizhou,池州市
Chenzhou,郴州
Cangzhou,沧州市
Baise,百色镇
Binzhou,滨州市
Beihai,北海
Baiyin,白银市
Shangyu,上虞
Liuzhou,柳州
Wuwei,武威市
Lianjiang,廉江
Lengshuijiang,冷水江市
Langfang,廊坊市
Laiwu,莱芜市
Jingmen,荆门市
Jinchang,金昌市
Ji’an,吉安
Guangyuan,广元市
Qionghai,琼海市
Alxa Meng,阿拉善盟
Karamay,克拉玛依市
Kumul Diqu,哈密
Hami,哈密市
Dunhuang,敦煌市
Bayingolin Mongol Zizhizhou,巴音郭楞
Altay Diqu,阿勒泰
Altay,阿勒泰市
Aksu Diqu,阿克苏
Turpan,吐鲁番县
Tacheng Diqu,塔城
Tacheng,塔城
Shihezi,石河子
Kuqa,库车县
K2,喬戈里峰
Kezilesu,克孜勒苏
Kaxgar Diqu,喀什
Jiuquan Shi,酒泉市
Jiayuguan,嘉峪关市
Hetian,和田
Hotan,和田市
Haixi Mengguzu Zangzu Zizhizhou,海西蒙古族藏族自治州
Golog Tibetan Autonomous Prefecture,果洛
Baoshan,保山市
Mount Everest,珠穆朗瑪峰
Yushu Zangzu Zizhizhou,玉树
Jiuquan,酒泉市
Qamdo Shi,昌都
Nyingchi Prefecture,林芝
Ngari Diqu,阿里
Nagqu Shi,那曲市
Gyachung Kang,格重康峰
Beijing Capital International Airport,北京首都国际机场
Shanghai Pudong International Airport,上海浦东国际机场
Shanghai Hongqiao International Airport,上海虹桥国际机场
Puyang,濮阳
Rizhao,日照
Chongqing,重庆市
Xi'an Xianyang International Airport,西安咸阳国际机场
Zhaodong,肇东
Zhangjiakou Shi,张家口市
Yichun Shi,伊春市
Yanji,延吉
Yanbian Chaoxianzu Zizhizhou,延边朝鲜族自治州
Xuanhua,宣化
Wangqing,汪清
Wulanchabu Shi,乌兰察布市
Tieli,铁力市
Taonan,光明
Dorbod,泰康
Suihua Shi,绥化
Suihua,绥化
Shunyi,顺义
Shuangyashan Shi,双鸭山
Shuangcheng,双城
Shanhaiguan,山海关
Shangzhi,尚志
Fendou,让胡路区
Qitaihe,七台河
Qiqihar Shi,齐齐哈尔市
Nenjiang,嫩江县
Nehe,讷河
Lianhe,南岔
Mudanjiang Shi,牡丹江
Longjiang,龙江镇
Longfeng,龙凤区
Lake Khanka,兴凯湖
Jixi Shi,鸡西市
Tongliao Shi,通辽
Lianshan,连山
Jilin Shi,吉林市
Jiaohe,蛟河
Jiamusi Shi,佳木斯市
Jalai Nur,Zhalai Nuo’er
Hinggan Meng,兴安盟
Heihe Shi,黑河
Harbin Shi,哈尔滨市
Hailun,海伦
Dunhua,敦化
Didao,滴道
Daxing’anling Diqu,大兴安岭地区
Chengde Prefecture,承德市
Chaoyang Shi,朝阳市
Chaoyang,朝阳市
Changchun Shi,长春市
Bayannur Shi,巴彦淖尔市
Baotou Shi,包头
Baicheng Shi,白城市
Anda,安达镇
Acheng,阿城市
Zunyi Shi,遵义
Zitong,潼南县
Zhuji,诸暨
Loushanguan,桐梓县
Tongling,五松
Tai Hu,太湖
Pu'er City,思茅
Simao,思茅
Shuizhai,水寨
Shiqiao,市桥
Shiqi,石岐街道
Xiuying,秀英
Xinji,辛集
Xinyi,新安
Sanshui,三水
Ximeicun,西美村
Xigang,习岗
Xichang,西昌
Xiangcheng,祥城
Xiangxiang,湘乡市
Wushan,巫峡
Wuwei Shi,武威市
Dongyang,东阳市
Wenshan Zhuangzu Miaozu Zizhizhou,文山
Tianfu,天福
Wansheng,万盛区
Huicheng,惠城
Dasha,大沙
Huanggang,Huang-kang-ch’eng
Daxing,大兴
Xingyi,兴义
Huaihua Prefecture,怀化
Huacheng,Ch’ang-lo
Donghe,Wang-ts’ang-pa
Honghe Hanizu Yizu Zizhizhou,红河哈尼族彝族自治州
Hechuan,合川
Hepo,河婆
Hechi Shi,河池
Hanzhong Shi,汉中市
Fu’an,城阳
Hanjia,彭水
Hanfeng,汉丰街道
Hainan Zangzu Zizhizhou,海南
Haibei Tibetan Autonomous Prefecture,海北藏族自治州
Guozhen,虢镇
Gunan,綦江县
Guixi,桂溪
Guilin Shi,桂林市
Guangxi Zhuang Autonomous Region,广西
Gejiu,个旧市
Gaozhou,高州
Wuzhishan,五指山市
Ningxia Hui Autonomous Region,宁夏
Nanyang Shi,南阳市
Nanping Shi,南平市
Nanbin,南宾
Mianyang Shi,绵阳
Macheng,麻城
Luoyang,Po-ch’eng-chen
Luancheng,栾城
Loudi,娄底市
Longquan,龙泉
Longnan Shi,陇南市
Liuzhou Shi,柳州
Zhonghe,秀山土家族苗族自治县
Zhenzhou,真州
Zhengding,正定
Zhaotong Shi,昭通市
Zhaoyuan,招远市
Zhangye Shi,张掖市
Yuyao,余姚
Yulin Shi,榆林市
Yulinshi,榆林市
Qianjiang,园林
Yongchuan,永川区
Yong’an,永安
Yingtan,鹰潭市
Yezhou,业州
Yatou,荣成市
Yan’an Shi,延安
Yan’an,延安
Ya'an,雅安
Xucheng,徐城街道
Ganzhou Shi,赣州市
Gannan Zangzu Zizhizhou,甘南藏族自治州
Gangu Chengguanzhen,甘古城关镇
Fuling,涪陵
Enshi Tujiazu Miaozu Zizhizhou,恩施土家族苗族自治州
Enshi,恩施
Encheng,思城
Xinyi,信宜
Donghai,东海
Dingzhou,定州
Dingxi Shi,定西市
Dingxi,定西
Dengzhou,登州
Fenghua,奉化
Danshui,淡水
Dali Baizu Zizhizhou,大理
Dali,大理市
Shaping,沙坪
Shaoyang County,邵阳
Shaoshan,韶山市
Shangrao Shi,上饶
Sanming Shi,三明市
Renqiu,任丘市
Qujing Shi,曲靖市
Qiongshan,琼山区
Yizhou,宜州
Qingyang Shi,庆阳市
Qingquan,清泉
Qiaotou,大通回族土族自治县
Qiannan Bouyeizu Miaozu Zizhizhou,黔南布依族苗族自治州
Qiandongnan Miao and Dong Autonomous Prefecture,黔东南苗族侗族自治州
Puyang Chengguanzhen,濮阳
Pulandian,普兰店
Pingshan,平山
Pingdu,平度
Chuxiong Yizu Zizhizhou,楚雄
Prefecture of Chenzhou,郴州市
Chenghua,澄海
Chaohu,巢湖市
Changyuan,荣昌县
Baise Shi,百色
Bishan,璧城
Bijie Diqu,毕节
Beibei,北碚
Baoding Shi,保定
Baiyin Prefecture,白银市
Baixi,柏溪
Bachuan,铜梁县
Linxia Chengguanzhen,临夏城关镇
Linxi,林西
Qingnian,青年
Lingao,临高
Lincang Shi,临沧
Xishan,醴陵市
Lijiang Shi,丽江市
Licheng,荔城
Lianzhou,连州镇
Hepu,合浦
Liangxiang,良乡
Liangshan Yizu Zizhizhou,凉山彝族自治州
Lecheng,Lo-ch’ang
Laohekou,老河口
Jizhou,冀州
Jiujiang Shi,九江
Qianzhou,乾州
Jijiang,几江街道
Jieshou,界首
Jieshi,碣石
Jiazi,甲子
Ningde,宁德市
Ordos Shi,鄂尔多斯
Ankang Shi,安康
Anhui Sheng,安徽省
Aba Zangzu Qiangzu Zizhizhou,阿坝藏族羌族自治州
Ili Kazak Zizhizhou,伊犁
Changji Huizu Zizhizhou,昌吉
Changji,延安北路
Bosten Hu,博斯腾湖
Bortala Mongol Zizhizhou,博尔塔拉
Aral,阿拉尔市
Xinyuan,新源县
Turpan Diqu,吐鲁番
Banan,龙洲湾
State of Arunāchal Pradesh,阿鲁纳恰尔邦
Dêqên Tibetan Autonomous Prefecture,迪慶藏族自治州
Rikaze,日喀则
Tengyue,腾越
Shannan Diqu,山南
Cho Oyu,卓奥友峰
Qamdo,昌都
Nujiang Lisuzu Zizhizhou,怒江
Namtso,纳木错
Nagqu,那曲
Qaraqash,喀拉喀什
Mengmao,勐卯
Menglang,勐朗
Mapam Yumco,玛旁雍错
Lhasa Shi,拉萨
Jiuzhai Huanglong Airport,九寨黃龍機場
Panzhihua,攀枝花
Dazu,大足石刻
Gangkhar Puensum,冈嘎本孙峰
Asia,亚洲
Songyuan Shi,松原市
E’zhou,鄂州市
Xinzhou Shi,忻州市
Guilin Liangjiang International Airport,桂林两江国际机场
Shenzhen Bao'an International Airport,深圳宝安国际机场
Lanzhou Zhongchuan Airport,兰州中川机场
Hangzhou Xiaoshan International Airport,杭州萧山国际机场
Guiyang Longdongbao International Airport,贵阳龙洞堡国际机场
Chengdu Shuangliu International Airport,成都双流国际机场
Hotan Airport,和田机场
Ürümqi Diwopu International Airport,烏魯木齊地窩堡國際機場
Changchun Longjia International Airport,长春龙嘉国际机场
Shenyang Taoxian International Airport,沈阳桃仙国际机场
Fengcheng,凤城
Qianjiang,黔江区
Xingning,兴城
Wenshan City,文山
Bole,博乐
Zhenlai,镇赉
Shuangliao,双辽
Zhaozhou,肇州
Zhaoyuan,肇源
Yushu,榆树
Youhao,友好区
Yingkou,营口市
Yilan,依兰
Wuchang,五常
Wangkui,望奎县
Tumen,图们
Tonghua Shi,通化
Tieling Shi,铁岭
Tailai,泰来县
Suiling,绥棱县
Suifenhe,绥芬河
Siping Shi,四平市
Shulan,舒兰
Shenyang Shi,沈阳市
Qitaihe Shi,七台河
Qinggang,青冈县
Nanpiao,南票
Antu,明月
Mingshui,明水镇
Liuhe,柳河县
Linkou,林口
Lingdong,岭东
Lanxi,兰西
Langtoucun,浪头村
Kaitong,开通
Jinzhou Shi,锦州市
Huludao Shi,葫芦岛
Baishan Shi,白山市
Hulan,呼兰
Huanan,桦南
Honggang,红岗
Hohhot Shi,呼和浩特市
Hengshan,恒山
Hegang Shi,鹤岗市
Hailin,海林市
Gannan,甘南县
Fuyu,富裕县
Fuxin Shi,阜新
Fushun Shi,抚顺市
Jixian,集贤
Fujin,富锦
Luobei,萝北
Dongfeng,Tung-p’ing-hsien
Datong Shi,大同
Daqing Shi,大庆市
Dandong Shi,丹东市
Chengzihe,城子河
Chaoyang,Ch’ao-yang-shen
Changtu,昌图
Changping,昌平
Boli,勃利县
Bin Xian,宾州
Benxi Shi,本溪市
Bayan,巴彦镇
Baoshan,宝山
Baoqing,宝清
Muling,穆棱
Baiquan,拜泉镇
Anshan Shi,鞍山市
Anguli Nur,安固里淖
Chifeng Yulong Airport,赤峰玉龙机场
Zibo Shi,淄博市
Zhuzhou Shi,株洲
Zhumadian Shi,驻马店市
Zhucheng,密州
Zhoukou Shi,周口市
Yinzhu,隐珠
Fuding,福鼎
Tongren Diqu,铜仁
Tongchuan,潼川
Tianshui Shi,天水市
Tangshan Shi,唐山市
Tangping,塘平
Tangjiazhuang,唐家庄
Binhe,滨河
Taizhou Shi,泰州市
Taizhou Shi,台州市
Taiyuan Shi,太原市
Tai’an Shi,泰安市
Suzhou Shi,宿州市
Suqian Shi,宿迁市
Suizhou Shi,随州市
Suixi,濉溪
Shangsi,思阳
Shizuishan Shi,石嘴山市
Shiyan Shi,十堰市
Shiwan,石湾
Shima,石码
Shijiazhuang Shi,石家庄市
Yanta,雁塔
Xuancheng Shi,宣城
Xixiang,西乡县
Xishuangbanna Daizu Zizhizhou,西双版纳傣族自治州
Xiongzhou,雄州
Xinyang Shi,信阳市
Xinxiang Shi,新乡
Xinshi,新市
Xining Shi,西宁市
Shangmei,上梅
Xingtai County,邢台
Xingguo,秦安县
Gongyi,紫荆路
Xiaogan,孝感
Xianyang Shi,咸阳市
Xianshuigu,咸水沽镇
Xi’an Shi,西安
Xiannü,江都市
Xianning Prefecture,咸宁市
Xianju,仙居
Wenxing,湘阴县
Xiangxi Tujiazu Miaozu Zizhizhou,湘西土家族苗族自治州
Xiangyang,襄樊
Wuzhou Shi,梧州
Wuzhen,乌镇
Wuhu Shi,芜湖市
Wuhan Shi,武汉
Wenzhou Shi,温州市
Wenling,温岭
Wenjiang,文江
Weinan Shi,渭南
Weihai Shi,威海市
Weifang Shi,潍坊市
Huangshan Shi,黄山市
Huizhou Shi,惠州市
Huicheng,歙县
Huguo,护国
Huangnan Zangzu Zizhizhou,黄南藏族自治州
Huanggang Shi,黄冈市
Dingcheng,定城
Huaiyuan Chengguanzhen,Hwaiyüan
Huaicheng,怀城镇
Heze Shi,菏泽市
Heyuan Shi,河源
Hengyang Shi,衡阳
Hengshui Shi,衡水市
Hejiang,合江
Hefei Shi,合肥市
Hede,射阳
Hanyin Chengguanzhen,汉阴城关镇
Hangzhou Shi,杭州市
Handan Shi,邯郸
Jiaojiang,椒江村
Haikou,海口
Haidong Diqu,海东地区
Guyuan Shi,固原市
Guiyang Shi,贵阳市
Guiping,桂平
Guangzhou Shi,广州市
Gaoyou,高邮市
Gaoping,高坪
Puyang Shi,濮阳市
Yutan,宁乡县
Ninghai,宁海街道
Ningde Shi,宁德市
Ningbo Shi,宁波市
Neijiang Shi,内江
Nanzhou,南洲
Nanxi,南溪
Nantong Shi,南通
Pucheng,南浦镇
Nanning Shi,南宁市
Nanjing Shi,南京
Nancun,南村
Nanchong Shi,南充市
Nanchang Shi,南昌
Miyang,Mi-lo-hsien-i-tsu-tzu-chih-ch’ü
Micheng,弥城
Mentougou,门头沟
Meizhou Shi,梅州市
Maoming Shi,茂名市
Majie,马街
Luzhou Shi,泸州市
Lushar,鲁沙尔
Lupanshui Shi,六盘水市
Luoyang Shi,洛阳市
Lüliang,吕梁市
Lucheng,庐江县
Lu’an Shi,六安市
Loudi Shi,娄底市
Longyan Shi,龙岩市
Longshui,龙水
Longgang,龙港街道
Licheng,凓城
Zhongxin,中心
Zhongshu,中枢
Zhongduo,钟多
Gusong,古宋
Zhicheng,雉城镇
Zhaobaoshan,招宝山
Zhengzhou Shi,郑州市
Zhaoqing Shi,肇庆市
Zhaogezhuang,赵各庄
Zhanjiang Shi,湛江
Zhangzhou Shi,漳州市
Zhangjiachuan,张家川回族自治县
Yuxi Shi,玉溪市
Yingchuan,颍川
Yuxia,余下
Yunjin,云锦
Yunfu Shi,云浮市
Yuncheng Shi,运城
Yueyang Shi,岳阳市
Huaiyang,槐阳
Yongqing,永清
Yongbei,永北
Yiyang Shi,益阳市
Wuzhong Shi,吴忠
Chengzhong,城中
Yichun Shi,宜春
Yichangshi,宜昌市
Yibin Shi,宜宾市
Yantai Shi,烟台市
Yanjia,晏家街道
Yangzhou Shi,扬州市
Yangzhou,洋洲
Yangliuqing,杨柳青
Yangjiang Shi,阳江
Yanghe,杨和
Yancheng Shi,盐城市
Xuzhou,徐州市
Xunchang,巡场
Fuzhou Shi,福州市
Fuzhou Shi,抚州市
Fuyang Shi,阜阳市
Qingyang,福山区
Fuji,福集
Fangshan,房山
Fangcheng Chengguanzhen,方城城关镇
Duobao,多宝
Ducheng,都城
Dongying Shi,东营
Xinle,新乐
Dian Chi,滇池
Dezhou Shi,德州市
Deqing,德清
Dengzhou,花洲
Degan,德感
Zhangjiajie Shi,张家界市
Daxing,大兴
Dazhou Shi,达州市
Daokou,道口
Gushu,姑熟
Tanchang Chengguanzhen,宕昌
Dalian Shi,大连市
Shaoxing Shi,绍兴
Shaowu,邵武
Shaoguan Shi,韶关市
Shangqiu Shi,商丘市
Shangluo Shi,商洛市
Sanmenxia Shi,三门峡市
Fuqing,福清
Quzhou Shi,衢州
Quanzhou Shi,泉州市
Wuxi,浯溪镇
Zhuangyuan,栖霞市
Qionghu,沅江市
Qinzhou Shi,钦州
Qinhuangdao Shi,秦皇岛市
Qingyuan Shi,清远
Qingdao Shi,青岛市
Qishan,祁山
Hongqiao,Hung-ch’iao-chen
Qianxinan Buyei and Miao Autonomous Prefecture,黔西南布依族苗族自治州
Yongning,蒲庙镇
Pu’an,普安
Gutao,平遥县
Pingnan,平南
Pingliang Shi,平凉市
Pingjin,屏锦
Pingdingshan Shi,平顶山
Panzhihua Shi,攀枝花市
Chuzhou Shi,滁州市
Chonglong,重龙
Chengdu Shi,成都市
Changzhi Shi,长治市
Changyi,奎聚
Changsha Shi,长沙
Changning,长宁
Changde Shi,常德市
Caohe,漕河
Cangzhou Shi,沧州市
Botou,泊头
Binzhou Shi,滨州市
Bengbu Shi,蚌埠市
Baoji Shi,宝鸡市
Baisha,白沙镇
Anyang Shi,安阳
Shenliu,深柳
Anshun Shi,安顺
Anqing Shi,安庆市
Mabai,马白
Lishui Shi,丽水市
Linyi Shi,临沂
Linfen Shi,临汾市
Lidu,李渡镇
Liaolan,蓼兰
Liaocheng Shi,聊城市
Lianyungang Shi,连云港市
Leshan Shi,乐山市
Lengshuitan,Leng-shui-t’ang
Lanzhou Shi,兰州市
Lianyuan,涟源市
Langfang Shi,廊坊市
Kunyang,P’ing-yang-hsien
Kunming Shi,昆明市
Kaifeng Shi,开封
Juye,巨野
Juegang,如东县
Jinzhong Shi,晋中市
Jinshi,津市
Jinjiang,金江
Jining Shi,济宁市
Jinhua Shi,金华
Jingzhou Shi,荆州
Jingmen Shi,荆门市
Jingdezhen Shi,景德镇市
Jincheng Shi,晋城
Jinchang Shi,金昌市
Jinan Shi,济南市
Jimo,即墨
Jieyang Shi,揭阳市
Jian’ou,芝城
Jiangyan,姜堰市
Jiangshan,姜山
Jiangmen Shi,江门市
Jiangkou,江口
Huzhou Shi,湖州
Huoqiu Chengguanzhen,霍邱城关镇
Anbu,庵埠
Karamay Shi,克拉玛依
Jelilyüzi,吉里于孜
Yili,伊犁哈萨克自治州
Emin,额敏镇
Aydingkol Hu,艾丁湖
Wusu,乌苏市
Urumqi Shi,乌鲁木齐市
Sayram Hu,赛里木湖
Sandaohezi,三道河子镇
Suzhou Shi,苏州
Mudu,木渎镇
Songling,松陵
Gasherbrum I,加舒尔布鲁木I峰
Gyaring Hu,扎陵湖
Elixku,艾里西湖
Donggi Cona,冬给措纳湖
Dehong Daizu Jingpozu Zizhizhou,德宏
Baoshan Shi,保山市
Ayakkum Hu,阿牙克库木湖
Aqqikkol Hu,阿其克库勒湖
Lhotse,洛子峰
Zhangfeng,章凤
Zibihu,玉湖
Yanjing,盐井
Tangra Yumco,当惹雍错
Siling Co,色林错
Ruoqiang,若羌镇
Qiemo,且末
Puma Yumco,珀莫错
Yingjiang,平原
Ngoring Hu,鄂陵湖
Bonan,老街
Guigang Shi,贵港
Chongzuo Shi,崇左
Laibin Shi,来宾
Fangchenggang Shi,防城港
Hezhou Shi,贺州
Yuncheng Guangong Airport,运城关公机场
Jining Qufu Airport,济宁曲阜机场
Ordos Ejin Horo Airport,鄂尔多斯伊金霍洛机场
Jinggangshan Airport,井冈山机场
Lincang Airport,临沧机场
Panzhihua Bao'anying Airport,攀枝花保安營機場
Mohe Gulian Airport,漠河古莲机场
Tongren Fenghuang Airport,铜仁凤凰机场
Wenshan Puzhehei Airport,文山普者黑機場
Longyan Guanzhishan Airport,龙岩冠豸山机场
Zhijiang Airport,芷江机场
Daqing Sartu Airport,大庆萨尔图机场
Huai'an Lianshui Airport,淮安涟水机场
Fuyang Xiguan Airport,阜阳西关机场
Tangshan Sannühe Airport,唐山三女河机场
Dayong Airport,張家界荷花機場
Hanzhong Airport,汉中西关机场
Karamay Airport,克拉玛依机场
Nantong Airport,南通兴东机场
Yulin Airport,榆林榆阳机场
Xiangfan Airport,襄阳刘集机场
Yancheng Nanyang Airport,盐城南洋机场
Wenzhou Yongqiang International Airport,温州永强国际机场
Qinhuangdao Shanhaiguan Airport,Qínhuángdǎo Shānhǎiguān Jīchǎng
Xilinhot Airport,锡林浩特机场
Liuzhou Bailian Airport,柳州白莲机场
Diqing Shangri-La Airport,迪庆香格里拉机场
Mangshi Airport,德宏芒市机场
Quzhou Airport,衢州机场
Weihai Airport,威海大水泊机场
Qamdo Bangda Airport,昌都邦达机场
Mianyang Nanjiao Airport,绵阳南郊机场
Nyingchi Mainling Airport,林芝米林机场
Dandong Langtou Airport,丹东浪头机场
Anyang Airport,安阳豫东北机场
Beihai Fucheng Airport,北海福成机场
Datong Beijiazao Airport,大同东王庄机场
Changzhou Benniu Airport,常州奔牛机场
Aksu Airport,阿克蘇機場
Kuqa Qiuci Airport,库车龟兹机场
Tacheng Airport,塔城机场
Tongchuan,铜川
Yichun Lindu Airport,伊春林都机场
Zhangjiakou Ningyuan Airport,张家口机场
Jinchang Jinchuan Airport,金昌金川机场
Anshun Huangguoshu Airport,安顺黄果树机场
Ngari Gunsa Airport,阿里昆莎机场
Bayannur Airport,巴彦淖尔机场
Kanas Airport,喀纳斯机场
Erenhot Saiwusu International Airport,二连浩特赛乌苏国际机场
Qianjiang Wulingshan Airport,黔江武陵山机场
Shigatse Peace Airport,日喀则和平机场
Yushu Batang,玉树巴塘机场
Bole Alashankou Airport,博乐阿拉山口机场
Garzê Kangding Airport,康定机场
Liping Airport,黎平机场
Zunyi Xinzhou Airport,遵义新舟机场
Yangzhou Taizhou Airport,扬州泰州机场
Yongzhou Lingling Airport,永州零陵机场
Huizhou Pingtan Airport,惠州平潭机场
Tonghua Sanyuanpu Airport,通化三源浦机场
Foshan Shadi Airport,佛山沙堤机场
Xi'an Xiguan Airport,西安西关机场
Quanzhou Jinjiang Airport,晋江机场
Xiangjiaba,向家坝
Chizhou Shi,池州
Shuozhou Shi,朔州
Deyang Shi,德阳市
Zhongwei Shi,中卫市
Guangyuan Shi,广元
Guang’an Shi,广安
Bazhong Shi,巴中市
Taizhou Luqiao Airport,台州路桥机场
Huangshan Tunxi International Airport,黄山
Bengbu Airport,Bèngbù Jīchǎng
Shanwei Shi,汕尾市
Tianjin Binhai International Airport,天津滨海国际机场
Changsha Huanghua International Airport,长沙黄花国际机场
Zhanjiang Airport,湛江機場
Sanya Phoenix International Airport,三亚凤凰国际机场
Xining Caojiabao Airport,西宁曹家堡机场
Ganzhou Huangjin Airport,赣州黄金机场
Nanjing Lukou International Airport,南京禄口国际机场
Chongqing Jiangbei International Airport,重庆江北国际机场
Kashgar Airport,喀什机场
Yining Airport,伊宁机场
Qiqihar Sanjiazi Airport,齐齐哈尔三家子机场
Dalian Zhoushuizi International Airport,大连周水子国际机场
