Portugal,葡萄牙
Universidade de Aveiro,阿威羅大學
Guadiana,瓜地亞納河
Cete,Cete
Macedo de Cavaleiros,馬塞杜-迪卡瓦萊魯什
Castro Verde,韋迪堡
Felgueiras,费尔盖拉什
Estação Ferroviária de Portimão,波爾蒂芒車站
rio Tejo,塔霍河
Mirandela,米蘭德拉
Torre de Moncorvo,托里迪蒙科爾武
Rio Tâmega,塔梅加河
Rio Paiva,派瓦河
Aljustrel,阿爾茹什特雷爾
Final da Taça dos Clubes Campeões Europeus de 1986–87,1987年欧洲冠军杯决赛
Vizela,維澤拉
Esposende,埃斯波森迪
Vila Verde,Vila Verde (Felgueiras)
Campeonato Português de Futebol - I Divisão 2010/2011,葡萄牙足球超级联赛2010–2011赛季
Gil Vicente Futebol Clube,吉爾維森特足球俱樂部
Sagres,萨格里什
Ferreira do Alentejo,費雷拉杜阿連特茹
Grande Prêmio de Portugal de 2008,2008年葡萄牙摩托車大獎賽
Exposição do Mundo Português,葡萄牙世界博览会
lista de chefes de governo de Portugal,葡萄牙总理列表
Areias,阿雷亚什
Maureles,Maureles
Lagares,Lagares
Vila Flor,费洛尔镇
Cuba,庫巴
Almodôvar,阿爾莫多瓦
Sanguedo,Sanguedo
Ponta do Sol,蓬塔杜索爾
Santo António de Vagos,Santo António de Vagos
Aeroporto Francisco Sá Carneiro,费尔南多·萨·卡内罗机场
Grande Prêmio de Portugal de MotoGP,葡萄牙摩托车大奖赛
Mirandela,米兰德拉
Antes,Antes
Sítios de arte rupestre do Vale do Coa,科阿谷和谢加贝尔德的史前岩石艺术地点群
Lumiar,卢米亚
Clube Desportivo dos Olivais e Moscavide,莫斯卡維德
Fafe,法菲
Vinhais,维尼艾什
Castanheira,Castanheira (Mogadouro)
Teatro Nacional D. Maria II,玛丽亚二世国家剧院
Palácio Nacional de Sintra,辛特拉宫
Oeiras,奥埃拉什
Fonte de Angeão,Fonte de Angeão
Moita,莫伊塔
Pias,Pias
Revinhade,Revinhade
Portimão,波爾蒂芒
Grupo Desportivo de Chaves,查維斯體育會
Imaculado Coração de Maria,玛丽亚圣心（丰沙尔）
Santo Tirso,圣蒂尔苏
Pinhel,皮涅爾
Brinches,Brinches
Anissó,阿尼索
Estádio dos Arcos,阿爾科斯體育場
Serpa,塞爾帕
Linha de Alta Velocidade Lisboa-Madrid,里斯本-马德里高速铁路
Ansiães,安西昂什
Ansião,安西昂
Seleção Portuguesa de Futsal,葡萄牙国家室内足球队
Golfo de Cádiz,加的斯湾
Soutelo,Soutelo (Mogadouro)
Rali Dakar de 2008,2008年達喀爾拉力賽
Trindade,Trindade (Vila Flor)
Salsas,萨尔萨斯
Lamego,拉梅古
Benavente,贝纳文蒂
Antas,安塔斯 (法马利康新镇)
Antena 1,第一頻道
Portugal no Campeonato do Mundo de Futebol de 2006,2006年世界杯足球赛葡萄牙队
Terroso,Terroso
Arouca,阿羅卡
Ribeira Grande,大里貝拉
Povoação,波瓦桑
Paredes de Viadores,Paredes de Viadores
Toutosa,Toutosa
português europeu,歐洲葡萄牙語
Sátão,薩唐
Rio Maior,里奧馬約爾
Peniche,佩尼謝
Candoso,坎多索
Montouto,Montouto
Pias,Pias
Sousela,Sousela
Torrão,托朗
Rosem,Rosem
Raimonda,Raimonda
Vilar de Lomba,维拉尔德隆巴
Montanha do Pico,皮库山
Mondim de Basto,蒙丁迪巴什圖
Al-Andalus,安达卢斯
Magrelos,Magrelos
Campeonato Mundial de Esgrima de 1947,1947年世界击剑锦标赛
Lousa,洛萨 (葡萄牙堂区)
Cabeceiras de Basto,卡貝塞拉什德巴什圖
Mértola,梅爾圖拉
Alfândega da Fé,阿爾凡德加達菲
Armamar,阿馬馬爾
Lagoa,拉戈阿
Nordeste,諾德什蒂
Supercopa da UEFA de 2003,2003年欧洲超级杯
Torno,Torno
Coligação Democrática Unitária,民主统一联盟
Lavra,拉夫拉
Paçó,Paçó
Vilar de Ossos,Vilar de Ossos
Castro de Avelãs,Castro de Avelãs
Lavandeira,Lavandeira (Carrazeda de Ansiães)
Pereiras-Gare,Pereiras-Gare
Guia,吉亞 (阿爾布費拉)
Tribunal Constitucional de Portugal,葡萄牙宪法法庭
Sport Lisboa e Benfica,里斯本與本菲卡體育俱樂部
Ilha do Corvo,科爾武島
Seleção Portuguesa de Basquetebol Masculino,葡萄牙國家男子籃球隊
Gião,Gião (Vila do Conde)
Descoberta do caminho marítimo para a Índia,印度之路
Portugal no Campeonato do Mundo de Futebol de 2010,2010年世界杯足球赛葡萄牙队
Loulé,洛萊
Movimento das Forças Armadas,武装部队运动
Santa Clara-a-Velha,旧圣克拉拉
Primeira Liga de 2012/2013,2012年至2013年葡萄牙足球超级联赛
Instituto Português do Mar e da Atmosfera,葡萄牙氣象局
Paços de Ferreira,帕科斯費雷拉
Anta,Anta
Monte,蒙蒂
Nevogilde,Nevogilde (Lousada)
Irmãos das Escolas Cristãs,喇沙會
Condeixa-a-Nova,新孔代沙
estrada europeia 805,欧洲E805公路
Judeus em Portugal,葡萄牙猶太人歷史
Genísio,Genísio
Península de Setúbal,塞圖巴爾半島
Meia Maratona de Lisboa,瓦倫西亞半馬賽
foral,法律汇编
Campeonato Português de Futebol - I Divisão 2008/2009,2008年至2009年葡萄牙足球超级联赛
Estação Ferroviária de Porto — São Bento,圣本笃车站
Banco Comercial Português,葡萄牙商业银行
Cavalões,卡瓦隆伊什
Viseu,維塞烏
Várzea,Várzea (Amarante)
Final da Liga Europa da UEFA de 2010-11,2011年歐洲聯賽決賽
Serra de Monchique,蒙希克山
Selvagem Grande,大萨维奇岛
Vila Franca do Campo,坎普自由鎮
Sobrado,Sobrado (Valongo)
Figueiras,菲盖拉什
São Salvador,São Salvador (Mirandela)
almadrava,金槍魚陷阱網
Caniçada,卡尼萨达
Santa Maria da Feira,圣玛丽亚达费拉
São João da Madeira,聖若昂-達馬德拉
Diocese de Coimbra,天主教科英布拉教區
Lustosa,Lustosa
Fornos,福尔努什
Imprensa Nacional-Casa da Moeda,葡萄牙造币厂
Mosteiro de Alcobaça,阿尔科巴萨修道院
Touguinha,Touguinha
Lezíria do Tejo,麗茲-杜太加斯
Partido Nacional Republicano,葡萄牙国家共和党
Perafita,佩拉菲塔
Santo Ildefonso,Santo Ildefonso
Calvos,卡尔沃斯
Salvaterra de Magos,薩爾瓦特拉迪馬古什
Cambeses,坎贝塞斯 (巴塞卢什)
Lombo,Lombo (Macedo de Cavaleiros)
Rádio Popular-Boavista,博阿维斯塔自行车队
Rádio Renascença,文艺复兴电台
Grande Porto,大波尔图
Mogadouro,Mogadouro (freguesia)
Suçães,Suçães
Calendário,卡伦达里奥 (法马利康新镇)
Campo,坎普
Pinheiro Novo,Pinheiro Novo
Edral,埃德拉尔
Marinha Portuguesa,葡萄牙海軍
Vale de Frades,瓦莱-迪弗拉迪什
Diocese de Caliábria,卡拉布里亞教區
Sande,Sande
Lordelo,São Salvador de Lordelo
Calvelhe,Calvelhe
Caires,凯雷斯
Caixa Geral de Depósitos,一般現金存款
São Luís,圣路易斯 (葡萄牙堂区)
Central Tejo,特茹发电中心
Final da Taça dos Clubes Campeões Europeus de 1967-68,1968年欧洲冠军杯决赛
Freixeda,Freixeda
Canidelo,Canidelo (Vila do Conde)
Cantelães,坎特朗伊什
Vulcão dos Capelinhos,卡佩利尼奥山
Carapeços,卡拉佩苏什
Gostei,Gostei
estrada europeia 806,欧洲E806公路
Força Aérea Portuguesa,葡萄牙空军
Sacavém,萨卡文
São Simão,São Simão (Nisa)
Rebordelo,Rebordelo (Vinhais)
Partido Social Democrata,社會民主黨
Futebol Clube do Porto,波尔图足球俱乐部
Portugal nos Jogos Olímpicos de Verão de 2008,2008年夏季奥林匹克运动会葡萄牙代表团
Portugal nos Jogos Olímpicos de Verão de 2012,2012年夏季奧林匹克運動會葡萄牙代表團
Linha da Azambuja,阿赞布雅线
Penela,佩內拉
Universidade Católica Portuguesa,葡萄牙天主教大学
Touguinhó,Touguinhó
Serzedo,Serzedo (Vila Nova de Gaia)
Batalha do Carvalho d'Este,布拉加戰役
Barrosas Santo Estêvão,Santo Estêvão de Barrosas
União Nacional,國民聯盟
Ribalonga,Ribalonga (Carrazeda de Ansiães)
educação em Portugal,葡萄牙教育
Monchique,蒙希克
Polícia Internacional e de Defesa do Estado,國家安全警備總署
Praça dos Restauradores,光复广场
Castedo,Castedo (Torre de Moncorvo)
O Jogo,比赛报
Casino do Estoril,埃什托里爾賭場
Castanheira do Vouga,Castanheira do Vouga
Caminho Português de Santiago,葡萄牙之路
Caminha,卡米尼亞
Campanhã,Campanhã
Carreira,Carreira (Santo Tirso)
Companhia de Carris de Ferro de Lisboa,里斯本電力鐵道
Gondar,贡达尔
Penafiel,佩納菲耶爾
Alfama,阿尔法玛
Carragosa,Carragosa
Carrazedo,卡拉泽杜 (阿马里什)
Sistema de Informações da República Portuguesa,葡萄牙共和國情報系統
Portel,波特爾
Ilha Graciosa,格拉西奧薩島
Paredes,São Miguel de Paredes
Costa da Caparica,科什塔达卡帕里卡
Rabal,拉巴尔
Reid's Palace,里德宫酒店
Sermonde,Sermonde
Gondomar,贡多马尔
Taça da Liga,葡萄牙聯賽盃
Pombal,蓬巴爾
Rebordelo,Rebordelo (Amarante)
Palácio Nacional de Mafra,马夫拉宫
Gouveia,戈維亞
Partido Renovador Democrático,葡萄牙民主复兴党
ovos moles de Aveiro,阿威罗软蛋
Sport Clube Freamunde,費蒙特體育會
Canhestros,卡内斯特鲁什
Carreira,卡雷拉 (法马利康新镇)
Campos,坎普斯 (米尼奥河畔维埃拉)
Estádio Municipal de Aveiro,阿威羅市政體育場
Candedo,Candedo (Vinhais)
Lousada,洛萨达
Trofa,特罗法
Nogueira,Nogueira
Alcochete,阿爾科謝蒂
Partido da Terra,地球黨
Mafra,马夫拉
Mangualde,曼瓜爾迪
Carvalhas,卡瓦利亚斯
Carvalhosa,Carvalhosa
Carvalho de Egas,卡瓦柳-迪埃加什
Carviçais,卡尔维赛什
Aljezur,阿爾熱祖爾
Alcanena,阿尔卡内纳
Carvalho de Rei,卡瓦柳-迪雷
Chiado,希亚多
Curral das Freiras,库拉尔－达斯弗雷拉斯
Rali Dakar de 2007,2007年達喀爾拉力賽
Campeonato Europeu de Futebol de 2004/Grupo A,2004年歐洲國家盃A組
Guidões,Guidões
Guifões,Guifões
Guilhabreu,Guilhabreu
Guimarei,吉马雷伊
Carvalhal,卡瓦利亚尔 (巴塞卢什)
Praça de D. Pedro IV,罗西乌广场
Igreja de São Francisco,圣方济各堂
Ponte de D. Maria Pia,瑪麗亞·皮亞橋
Contra armada inglesa,英格兰舰队
Cadaval,卡達瓦爾
Castro Marim,马林堡
Manteigas,曼泰加什
Parque Natural do Sudoeste Alentejano e Costa Vicentina,西南阿连特茹和文森汀海岸自然公园
Vila Chã,尚镇
Campo,坎波 (巴塞卢什)
Campo de Víboras,坎普-迪维博拉什
Campo do Gerês,坎普-杜熱雷什
Campos,坎普斯 (波瓦-迪拉尼奧蘇)
Trigaches,Trigaches
Duque do Porto,波多公爵
Zambujeira do Mar,Zambujeira do Mar
São Nicolau,São Nicolau (Marco de Canaveses)
Universidade de Évora,埃武拉大学
Cemitério dos Prazeres,普拉澤雷斯公墓
Partido Ecologista Os Verdes,生态主义党“绿党”
Tâmega,塔梅加次區域
Marvão,馬爾旺
Mêda,梅達
Elétricos de Sintra,辛特拉電車
Grijó de Parada,Grijó de Parada
Grijó,Grijó (Vila Nova de Gaia)
Porto de Leixões,莱索斯港
Castelo dos Mouros,摩尔人城堡 (辛特拉)
Castelões de Cepeda,卡斯特隆伊什-迪塞佩达
Castrelos,Castrelos
Celas,Celas
Celeirós,塞莱罗什 (布拉加)
Carção,Carção
Casa Pia Atlético Clube,AC卡薩比亞足球會
Valongo,瓦隆古
Nova Democracia,新民主
Sabugal,薩布加爾
Brunhais,Brunhais
Brunhoso,Brunhoso
Brunhozinho,Brunhozinho
Grândola,格蘭杜拉
Lagoa,拉戈阿
Lourinhã,洛里尼揚
Maçores,Maçores
Burga,布尔加
Galegos,加莱古什
Guilhufe,Guilhufe
Croca,克罗卡
Vila Baleira,巴莱拉城
Ponte de Sor,蓬蒂-迪索爾
Final da Copa da UEFA de 2004–05,2005年歐洲足協盃決賽
Estádio Cidade de Coimbra,科英布拉市政球場
Oliveira do Hospital,奧利韋拉杜奧什皮塔爾
Horta,奧爾塔
Sé Nova de Coimbra,科英布拉新主教座堂
Cesar,Cesar
Igreja de Santa Engrácia,国家先贤祠
Vilar Seco,维拉尔塞科 (维米奥索)
Clube de Futebol União de Coimbra,科英布拉聯足球會
Rio Ave Futebol Clube,里奧艾維足球俱樂部
Apúlia,阿普利亚
São Cosme,São Cosme
Barco,巴科 (吉马良斯)
Balugães,巴卢冈伊什
Gondalães,贡达朗伊什
Elétricos de Lisboa,里斯本路面電車
Moedas de euro portuguesas,葡萄牙的歐元硬幣
Tarouca,塔羅卡
Urrós,Urrós (Torre de Moncorvo)
Várzea,Várzea (Felgueiras)
Praça Afonso de Albuquerque,阿方索·德·阿尔布克尔克广场
Reguengos de Monsaraz,雷根古什迪蒙薩拉什
Seixal,塞沙爾
São Brás de Alportel,聖布拉什迪阿爾波特爾
Alenquer,阿倫克爾
Tábua,塔布阿
Faro,法鲁
A Portuguesa,葡萄牙人
Guerra Colonial Portuguesa,葡萄牙殖民地戰爭
Corujas,Corujas
Maia,马亚
Força de Gendarmaria Europeia,歐盟國家憲兵
Vila Alva,阿尔瓦镇
Glória,格洛里亚
Refontoura,Refontoura
Vila Boa,博阿镇 (米兰德拉)
Penamacor,佩納馬科爾
Valbom,Valbom
Almeida,阿爾梅達
Portugália Airlines,葡萄牙利亞航空
Santa Maria de Marvão,Santa Maria de Marvão
Santa Engrácia,聖恩格拉西亞教堂
Lufrei,Lufrei
Meinedo,Meinedo
Paço de Sousa,Paço de Sousa
Duas Igrejas,双教堂镇
Bruçó,Bruçó
Vila Nova da Barquinha,巴爾基尼亞新鎮
Aqueduto das Águas Livres,阿瓜里弗渡槽
Leixões Sport Club,歷索斯體育俱樂部
Câmara de Lobos,卡馬拉-德洛布什
White Airways,白色航空
XVIII Governo Constitucional de Portugal,第18届
Grande Prêmio de Portugal de 2009,2009年葡萄牙摩托車大獎賽
Chamoim,Chamoim
Grande Prêmio de Portugal de 2010,2010年葡萄牙摩托車大獎賽
Centro Cultural de Belém,貝倫文化中心
CDS - Partido Popular,民主和社会中心党-人民党
Louletano Desportos Clube,洛利塔诺足球俱乐部
II Divisão,葡萄牙足球乙级联赛
EuroAtlantic Airways,歐洲大西洋航空
Clube Desportivo de Mafra,马夫拉体育会
Cerejais,塞雷雅伊什
Cervães,塞旺伊什
Estádio Dr. Magalhães Pessoa,瑪格爾哈斯佩索亞體育場
Modelos,Modelos
Mouriz,Mouriz
Santa Cruz do Bispo,圣克鲁什-杜比斯普
São Tomé de Negrelos,São Tomé de Negrelos
Final da Taça dos Clubes Campeões Europeus de 1962-63,1963年欧洲冠军杯决赛
vinho verde,葡萄牙绿酒
Chavão,沙旺
Final da Taça dos Clubes Campeões Europeus de 1964–65,1965年欧洲冠军杯决赛
Palácio Nacional de Queluz,克卢什国家宫
Forças Armadas de Portugal,葡萄牙武装部队
Vila Nova de Cerveira,塞爾韋拉新鎮
Primeira República Portuguesa,葡萄牙第一共和國
Casével,卡塞韦尔
Caçarelhos,Caçarelhos
Cedofeita,Cedofeita
Estádio D. Afonso Henriques,阿方索·亨里克斯球場
Estádio do Bessa Século XXI,貝薩球場
Santiago do Cacém,聖地亞哥-杜卡森
Furnas,富尔纳斯
Praça do Comércio,商业广场
Vendas Novas,新文達什
Entroncamento,恩特龙卡门图
Estremoz,埃什特雷莫什
Nunciatura apostólica em Portugal,教廷驻葡萄牙大使馆
Portimonense Sporting Clube,波尔蒂芒人足球俱乐部
Sporting Clube Olhanense,欧汉尼斯
Cano,Cano (Sousel)
Linha Vermelha,里斯本地铁红线
Estação São Sebastião,聖塞巴斯蒂安站
Central Tejo (conjunto arquitetónico),特茹中心建築群
Horta da Vilariça,Horta da Vilariça
Seleção Portuguesa de Futebol sub-21,葡萄牙21歲以下國家足球隊
Santiago de Riba-Ul,Santiago de Riba-Ul
Paredes do Bairro,Paredes do Bairro
Mamarrosa,Mamarrosa
Bustos,布斯图什
Redondo,雷東多
Parâmio,帕拉苗
Cibões,锡邦伊什
Cicouro,Cicouro
Brufe,Brufe (Terras de Bouro)
Brufe,布鲁费 (法马利康新镇)
Elevador de Santa Justa,圣胡斯塔升降机
São Pedro de Penaferrim,聖彼得佩納費林
Praia da Marinha,海军海滩
XIX Governo Constitucional de Portugal,第19届
Aldeia dos Fernandes,费尔南德斯村
Queluz,克盧什
Cepelos,Cepelos (Vale de Cambra)
Vilar de Pinheiro,Vilar do Pinheiro
Alentejo Central,中阿連特茹
Lapa,拉帕
Odivelas,Odivelas
Regilde,Regilde
Grupo Desportivo Estoril Praia,埃斯托里爾足球俱樂部
Estoril Open de 2006,埃斯托利尔
Nevogilde,Nevogilde (Porto)
Meixomil,Meixomil
Universidade Autónoma de Lisboa,里斯本自治大學
Eja,埃雅
Guimarães,基馬拉斯
Irivo,伊里武
Oldrões,Oldrões
Bustelo,布斯特卢
Marecos,Marecos
Diocese de Viseu,天主教維塞烏教區
Santo Aleixo,Santo Aleixo
Pampilhosa da Serra,潘皮略薩迪塞拉
Bucos,布科斯
Loureiro,洛雷鲁
Oliveira de Azeméis,奥利韦拉-迪阿泽梅什
Eixo,埃舒
Alvarenga,阿尔瓦伦加
Portalegre,波塔萊格雷
Tomar,托馬爾
Ordem de Nossa Senhora da Conceição de Vila Viçosa,維索薩鎮聖母無原罪勳章
Picote,皮科特
Primeira Liga de 2007–08,2007年至2008年葡萄牙足球超级联赛
Campeonato Português de Futebol 2006/2007,2006年至2007年葡萄牙足球超級聯賽
Instituto Superior Técnico,里斯本高等科技研究所
Paredes,帕雷德斯
Idanha-a-Nova,新伊達尼亞
Vale de Telhas,瓦莱-迪特利亚什
Alpiarça,阿尔皮亚萨
Valongo,Valongo
Gavião,Gavião (freguesia)
Arcas,Arcas (Macedo de Cavaleiros)
Travanca,特拉万卡
Chorense,绍伦塞
Igreja de São Roque,圣洛克堂
Igreja de São Francisco,聖方濟天主堂
Codessos,Codessos
Coelhoso,Coelhoso
Sé Catedral de Silves,锡尔维什主教座堂
Paço Episcopal do Porto,波尔图主教宫
Jardim do Príncipe Real,王储花园
Ventozelo,Ventozelo
Silvalde,Silvalde
Outeiro,Outeiro
Azambuja,阿贊布雅
Vila Nova de Paiva,派瓦新鎮
Sesimbra,塞新布拉
Lousã,洛桑
Mira,米拉
Universidade Lusíada de Lisboa,卢斯埃达大学
Vila de Rei,雷鎮
Santa Cruz das Flores,圣克鲁什-达什弗洛里什
Sernancelhe,塞南塞利
Vila Velha de Ródão,羅當舊鎮
Ferreira do Zêzere,費雷拉杜澤濟里
Campo Maior,坎普馬約爾
Sardoal,薩多阿爾
Sertanense Futebol Clube,塞塔伦斯足球俱乐部
Sendim,Sendim (Felgueiras)
Arcos,阿克斯
Arcozelo,阿尔科泽卢 (巴塞卢什)
Arcozelo,Arcozelo (Vila Nova de Gaia)
economia de Portugal,葡萄牙經濟
Ardegão,Ardegão (Fafe)
Implantação da República Portuguesa,1910年10月5日革命
Record,纪录报
II Divisão de 2009–10,2009–10葡乙
Vilas Boas,Vilas Boas (Vila Flor)
Constância,康斯坦西亚
Vila do Porto,波爾圖鎮
Proença-a-Nova,新普羅恩薩
Bustelo,布斯特卢
Monsanto,蒙桑托
Panteão dos Braganças,布拉甘薩王朝王家先賢祠
Laundos,Laundos
São Jomil,São Jomil
Circuito Urbano da Boavista,博阿維斯塔賽道
Palácio de Seteais,瑟特阿斯宫
Aginter Press,雅貞塔通訊社
Teatro Nacional São João,聖若昂國家劇院
Sé do Funchal,丰沙尔大教堂
Supertaça Cândido de Oliveira,葡萄牙超级杯
Açoreira,Açoreira
Sporting Clube Campomaiorense,坎普马约尔人体育俱乐部
Rede Ferroviária de Alta Velocidade,葡萄牙高速鐵路
Ave,阿韦地方
Sanfins de Ferreira,Sanfins de Ferreira
InterRegional,区际列车
Lodões,Lodões
Madalena,馬達萊娜
Safara,萨法拉
Pampilhosa,Pampilhosa
Penacova,佩納科瓦
Gavião,加維昂
Sobral de Monte Agraço,索布拉爾德蒙特阿格拉蘇
Mourão,莫朗
Areias de Vilar,阿雷亚什-迪维拉尔
Ilhéu do Monchique,蒙奇克岛
Museu Nacional dos Coches,國家馬車博物館
Cristelo,克里斯特卢
Ordem do Mérito,功績勳章
Ordem de Avis,阿维斯勋章
Areias,Areias (Santo Tirso)
Castelo de Vide,維迪堡
Alcoutim,阿爾科廷
Coruche,科鲁希
Chamusca,沙穆什卡
Universidade de Lisboa,里斯本大学
Rio Mau,Rio Mau
Carreira,卡雷拉
Centro Desportivo de Fátima,法蒂玛体育中心
Aeródromo da Graciosa,格拉西奧薩機場
Cabo da Roca,罗卡角
Arco de Baúlhe,阿尔库-迪鲍利
Castelo de São Jorge,圣若热城堡
Santa Comba de Rossas,Santa Comba de Rossas
Arco da Rua Augusta,奥古斯塔街
Mesão Frio,梅桑弗里烏
Sabrosa,薩布羅薩
Vila Pouca de Aguiar,阿吉亞爾小鎮
Autódromo do Estoril,埃斯托里爾賽道
Alpendurada e Matos,阿尔蓬杜拉达和马图什
Setúbal,塞图巴尔
Pedorido,Pedorido
Caldelas,卡尔德拉斯
Muro,穆罗
Linha de Alta Velocidade Porto - Lisboa,里斯本-波尔图高速铁路
freguesia de Portugal,堂区
Hino dos Açores,亚速尔颂
Vila do Corvo,科爾武鎮
Corvite,科尔维特
Raiva,Raiva (Castelo de Paiva)
Tabuaço,塔布阿蘇
Mazouco,Mazouco
Companhia de Moçambique,莫桑比克公司
Circuito de Monsanto,蒙三托賽道
Novo Aeroporto de Lisboa,里斯本新机场
Sabóia,Sabóia
Portugueses,葡萄牙人
Patriarcado de Lisboa,天主教里斯本宗主教區
Mombeja,Mombeja
Colos,科洛斯
Ordem,Ordem (Lousada)
Cortiços,Cortiços
Linha do Minho,米尼奧線
Santulhão,Santulhão
Correio da Manhã,晨郵報
Douro Vinhateiro,杜罗葡萄酒产区
Cividade,锡维达德
Cristão-novo,新基督徒
Codeceda,科德塞达
Santa Cruz da Graciosa,圣克鲁什-达格拉西奥萨
São João da Pesqueira,聖若昂達佩什凱拉
Velas,韦拉什
Aeroporto da Madeira,馬德拉機場
desaparecimento de Madeleine McCann,馬德琳·麥凱恩失蹤事件
Estação Odivelas,奧迪韋拉什站
Luzianes-Gare,Luzianes-Gare
Alentejo Litoral,滨海阿连特茹地方
Figueira de Castelo Rodrigo,菲蓋拉迪卡斯特盧羅德里古
Real,Real (Castelo de Paiva)
Aeroporto de Beja,貝雅機場
