日本の元号,日本年號
伊豆・小笠原海溝,伊豆小笠原海溝
黒潮,黑潮
X-Seed・4000,X-Seed·4000塔
姫路駅,姬路車站
赤村,赤村
明治神宮,明治神宫
岩宿遺跡,岩宿遺跡
トヨタ自動車,丰田汽车
日清食品,日清食品
加賀市,加賀市
朝敵,朝敵
京都府,京都府
新津田沼駅,新津田沼站
イッツ・ア・スモールワールド,小小世界
山形テレビ,山形電視台
端島・(長崎県),端島
Iiyama,Iiyama
独立行政法人,獨立行政法人
魚沼田中駅,魚沼田中站
2004年アテネオリンピックの柔道競技,2004年夏季奥林匹克运动会柔道比赛
つばさ・(列車),翼號列車
Wiiリモコン,Wii遙控器
日置市,日置市
薩摩川内市,薩摩川內市
南海本線,南海本線
恵庭駅,惠庭站
新今宮駅,新今宮車站
東京スカイツリー,東京晴空塔
島松駅,島松站
吹田駅・(JR西日本),吹田站·(JR西日本)
恵み野駅,惠野站
親潮,親潮
桃山台駅,桃山台站
緑地公園駅,綠地公園站
阿久根市,阿久根市
出水市,出水市
いちき串木野市,市來串木野市
鹿児島県,鹿儿岛县
大阪府,大阪府
住之江公園駅,住之江公園車站
京阪交野線,交野線
玉川駅・(大阪府),玉川站·(大阪府)
新深江駅,新深江站
深江橋駅,深江橋車站
西梅田駅,西梅田站
長田駅・(大阪府),長田車站·(大阪府)
小路駅,小路站
松屋町駅,松屋町站
高井田駅・(大阪府東大阪市),高井田車站·(東大阪市)
ロアッソ熊本,熊本羅亞素
セガ,世嘉
北神急行電鉄,北神急行電鐵
青森駅,青森站
元町駅・(兵庫県),元町車站·(兵庫縣)
津軽線,津輕線
兵庫駅,兵库站
木古内駅,木古內車站
千里丘駅,千里丘站
岸辺駅,岸邊站
摂津富田駅,攝津富田站
成田国際空港,成田国际机场
宮古語,宮古語
福岡県,福冈县
ニヴフ語,尼夫赫語
袋田の滝,袋田瀑布
閩東語,閩東語
730・(交通),730·(交通)
四万十川,四萬十川
愛媛県,爱媛县
秋田県立大学,秋田縣立大學
沖縄北部方言,國頭語
栃木県第3区,栃木縣第3區
松竹,松竹
琉球諸語,琉球語
山形県,山形县
玉出駅,玉出站
阿左美駅,阿左美站
韮崎市,韮崎市
武家諸法度,武家諸法度
AC長野パルセイロ,AC長野拍檔
日本プロバスケットボールリーグ,BJ聯盟
宝永大噴火,宝永大喷发
吉祥寺,吉祥寺·(武藏野市)
ハンドボール日本男子代表,日本國家男子手球隊
サッポロビール,札幌啤酒
オリオン電機,好利旺电机
九度山駅,九度山站
信濃国,信濃國
福岡市地下鉄,福岡市地下鐵
電波産業会,電波產業會
ANAウイングス,全日空之翼航空
西神田,西神田
四ツ橋駅,四橋站
大阪府立大学,大阪府立大學
アスキー・(企業),ASCII·(公司)
久居市,久居市
アスキー・メディアワークス,ASCII·Media·Works
ASIMO,ASIMO
アニメシアターX,AT-X
南さつま市,南薩摩市
伊佐市,伊佐市
華厳滝,華嚴瀑布
秋田市,秋田市
鹿島アントラーズ,鹿島鹿角
札幌市,札幌市
自由党・(日本・1998-2003),自由黨·(日本1998年)
田縣神社,田縣神社
ニヴフ,尼夫赫人
神籬,神籬
第50師団・(日本軍),第50师团·(日本陆军)
FC琉球OKINAWA,琉球足球會
第91回全国高等学校野球選手権大会,第91回全國高等學校野球選手權大會
新生党,新生黨
平等院,平等院
新党日本,新黨日本
水戸線,水戶線
神津島,神津島
野田阪神駅,野田阪神站
岸里駅,岸里站
大名,大名·(称谓)
キヤノン,佳能
京阪中之島線,中之島線
北巽駅,北巽站
肥後橋駅,肥後橋站
南巽駅,南巽站
東陽町駅,東陽町站
北加賀屋駅,北加賀屋站
南砂町駅,南砂町站
桜川駅・(大阪府),櫻川站·(大阪府)
花園町駅,花園町站
葛西駅,葛西站
桜井市,櫻井市
木場駅,木場站
西葛西駅,西葛西站
A・BATHING・APE,A·Bathing·Ape
岩本町駅,岩本町站
新子安駅,新子安車站
曙橋駅,曙橋站
雑司が谷駅,雜司谷站
2004年日本グランプリ・(4輪),2004年日本大奖赛
浜町駅,濱町站·(東京都)
北参道駅,北參道站
千川駅,千川站
太陽党,太陽黨·(1996年)
大甕駅,大瓮站
常陸多賀駅,常陆多贺站
黒い霧事件・(政界),黑霧事件·(政界)
馬喰横山駅,馬喰橫山站
日立駅,日立站
西早稲田駅,西早稻田站
和光市駅,和光市站
寒川郡・(香川県),寒川郡·(香川縣)
岩井駅,岩井站
2005年日本グランプリ・(4輪),2005年日本大奖赛
富浦駅・(千葉県),富浦站·(千葉縣)
那古寺,那古寺
2006年日本グランプリ・(4輪),2006年日本大奖赛
2007年日本グランプリ・(4輪),2007年日本大奖赛
日本動画協会,日本動畫協會
那古船形駅,那古船形站
日本の原子爆弾開発,日本核研究
豊栄市,豐榮市
日本国憲法第9条,日本國憲法第九條
帝国ホテル,帝國飯店
赤間神宮,赤間神宮
吉備津神社,吉備津神社
久能山東照宮,久能山東照宮
内大臣府,內大臣府
クリプトン・フューチャー・メディア,克理普敦未來媒體
浜金谷駅,濱金谷站
葦プロダクション,葦Production
TSUBAME,TSUBAME
上総湊駅,上總湊站
保田駅・(千葉県),保田站·(千葉縣)
安房勝山駅,安房勝山站
ソニー・インタラクティブエンタテインメント,索尼互動娛樂
南九州市,南九州市
横浜市,横滨市
指宿市,指宿市
長野県,长野县
日産自動車,日產汽車
長崎市,长崎市
安房小湊駅,安房小湊站
愛知郡・(愛知県),愛知郡·(愛知縣)
竹下内閣・(改造),竹下內閣·(改組)
わかしお・(列車),若潮号列车
天承,天承
安房鴨川駅,安房鴨川站
御宿駅,御宿站
九州南西海域工作船事件,奄美大岛海战
浪花駅,浪花站
鵜原駅,鵜原站
上総興津駅,上總興津站
行川アイランド駅,行川島站
大原駅・(千葉県),大原站·(千葉縣)
ケンウッド,建伍
日本航空123便墜落事故,日本航空123號班機空難
有明駅・(東京都),有明站·(東京都)
大韓航空機撃墜事件,大韓航空007號班機空難
侍,侍
音止めの滝,音止瀑布
山口県,山口县
神奈川県,神奈川縣
阪神タイガース,阪神虎
鶴見駅,鶴見站
昭和自動車,昭和自動車
曽爾村,曾爾村
網走市,網走市
釧網本線,釧網本線
参議院,參議院·(日本)
赤坂タワーレジデンスTop・of・the・Hill,赤坂塔樓公寓Top·of·the·Hill
真言宗,真言宗
玖珂郡,玖珂郡
大阪市営地下鉄,大阪市營地下鐵
中国地方,中国地方
大内裏,平安宮
東伊豆町,東伊豆町
西ケ方駅,西方站·(高知縣)
西長堀駅,西長堀站
桑原城の戦い,桑原城之戰
田辺市,田邊市
部落問題,部落民
三菱地所,三菱地所
稲野駅,稻野車站
神奈川宿,神奈川宿
三鷹駅,三鷹站
廃刀令,廢刀令
アニメインターナショナルカンパニー,動畫國際公司
河西郡,河西郡
フォルシアクラリオン・エレクトロニクス,歌樂
アニメーション神戸,神戶動畫獎
枕崎市,枕崎市
竹島,獨島
白糸の滝・(静岡県),白絲瀑布·(靜岡縣)
日本教育史,日本教育史
相生橋,相生橋
山崎の戦い,山崎之戰
埼玉県,埼玉縣
要町駅,要町站
1998年日本グランプリ・(4輪),1998年日本大奖赛
2001年日本グランプリ・(4輪),2001年日本大獎賽
2002年日本グランプリ・(4輪),2002年日本大奖赛
八軒駅,八軒車站
新川駅・(北海道),新川車站·(北海道)
新琴似駅,新琴似車站
三重県,三重县
東神奈川駅,東神奈川車站
南三原駅,南三原站
千倉駅,千倉站
安房天津駅,安房天津站
九重駅,九重站
和田浦駅,和田浦站
勝浦駅,勝浦站
太海駅,太海車站
2003年日本グランプリ・(4輪),2003年日本大獎賽
鴨川シーワールド,鴨川海洋世界
江見駅,江見站
赤坂BLITZ,赤坂BLITZ
館山駅,館山站
丸紅,丸紅
赤坂プリンスホテル,赤坂王子大飯店
迎賓館赤坂離宮,迎宾馆赤坂离宫
駐日本国大韓民国大使館,韓國駐日本大使館
千歳駅・(千葉県),千歲站·(千葉縣)
クロガネ,黑铁
講談社漫画賞,講談社漫畫獎
.jp,.jp
富士山,富士山
熊谷市,熊谷市
零式艦上戦闘機,零式艦上戰鬥機
カーネル・サンダースの呪い,肯德基爺爺詛咒
ソニーグループ,索尼
一畑電車,一畑電車
森林公園駅・(北海道),森林公園車站·(北海道)
南行徳駅,南行德站
厚別駅,厚別車站
オホーツク海,鄂霍次克海
妙典駅,妙典站
ENEOSホールディングス,ENEOS控股
行徳駅,行德站
桜島,櫻島
西船橋駅,西船橋站
原木中山駅,原木中山站
大阪ドーム,大阪巨蛋
長野市,長野市
フィール・(アニメ制作会社),Feel.
佐貫町駅,佐貫町站
Manaca,Manaca
東京都区部,東京都區部
Au・(携帯電話),Au·(行動電話)
Minori,Minori
竹岡駅,竹岡站
大貫駅,大貫站
H.m.p,H.m.p
トライクレッシェンド,Tri-Crescendo
2011年日本グランプリ・(4輪),2011年日本大奖赛
Am/pm,Am/pm
Pixiv,Pixiv
エンターブレイン,Enterbrain
ユーフォーテーブル,Ufotable
1988年ソウルオリンピックの柔道競技,1988年夏季奥林匹克运动会柔道比赛
太東駅,太東站
青堀駅,青堀站
ロンドンブーツ1号2号,倫敦靴子1號2號
ネクソン,樂線
第25軍・(日本軍),第25軍·(日本陸軍)
開聞岳,開聞岳
岩木山,岩木山
平良市,平良市
波照間空港,波照間機場
岩手山,岩手山
ジャスコ,永旺超级市场
守礼門,守禮門
南京事件論争,对南京大屠杀的否认
鳥海山,鳥海山
吉田神社,吉田神社
愛宕神社,愛宕神社
羊蹄山,羊蹄山
安中市,安中市
湊川神社,湊川神社
広島城,廣島城
小浜市,小濱市
沖縄料理,琉球料理
合気道,合氣道
日本の国旗,日本国旗
魚沼丘陵駅,魚沼丘陵站
福岡ソフトバンクホークス,福岡軟銀鷹
儀明信号場,儀明信號場
福生市,福生市
ナムコ,南梦宫
茂原駅,茂原站
東久留米市,東久留米市
長者町駅,長者町站
花巻市,花卷市
レッド・エンタテインメント,Red·Entertainment
三門駅,三門站·(日本)
八積駅,八積站
玉前神社,玉前神社
東北地方,东北地方
中国攻め,中國征伐
太平洋ベルト,太平洋工業帶
青木書店,青木书店
三野郡,三野郡
宮崎県,宮崎縣
熊本県,熊本縣
第35師団・(日本軍),第35师团·(日本陆军)
守護代,守護代
安政の大獄,安政大獄
TOYO・TIRE,東洋輪胎
立正佼成会,立正佼成會
高松琴平電気鉄道,高松琴平電氣鐵道
大正区,大正區
国分寺市,國分寺市
西尾市,西尾市
稲城市,稻城市
海上保安庁,海上保安廳
出晴駅,出晴站
習志野市,習志野市
安倍川,安倍川
浜野駅,濱野車站
星野村,星野村
カトリック浦上教会,浦上教會
網走湖,網走湖
SBI新生銀行,SBI新生銀行
燕市,燕市
姉ケ崎駅,姊崎站
さざなみ・(列車),细波号列车
立場駅,立場車站
中川駅・(神奈川県),中川車站·(神奈川縣)
八幡宿駅,八幡宿站
大坂城,大阪城
下飯田駅,下飯田站
中田駅・(神奈川県),中田車站·(神奈川縣)
港南中央駅,港南中央車站
香春町,香春町
大化の改新,大化改新
桶川市,桶川市
保津峡駅,保津峽車站
大分交通,大分交通
日本の歴史,日本历史
浦安市,浦安市
安土桃山時代,安土桃山时代
白虎隊,白虎隊
西南戦争,西南戰爭
2002・FIFAワールドカップ・決勝,2002年國際足協世界盃決賽
北朝鮮による日本人拉致問題,朝鲜绑架日本人问题
伏見稲荷大社,伏見稻荷大社
トロッコ保津峡駅,小火車保津峽車站
新党さきがけ,先驅新黨
大池いこいの森駅,大池憩之森站
トロッコ亀岡駅,小火車龜岡車站
川越市,川越市
大山・(鳥取県),大山·(鳥取縣)
江戸開城,江戶開城
甲州勝沼の戦い,甲州勝沼之戰
北海道駒ヶ岳,北海道駒岳
上野戦争,上野戰爭
日本の経済,日本經濟
アイバニーズ,依賓尼茲結他
元泊村,元泊村
柏市,柏市
岐阜県,岐阜县
中国放送,中國放送
北陸放送,北陸放送
テレビ西日本,西日本電視台
下落合駅,下落合站
沖縄テレビ放送,沖繩電視台
中京テレビ放送,中京電視台
北陸朝日放送,北陸朝日放送
秋田放送,秋田放送
北海道文化放送,北海道文化放送
テレビ宮崎,宮崎電視台
新潟放送,新潟放送
全国独立放送協議会,全國獨立放送協議會
別府大学,別府大學
山形放送,山形放送
札幌テレビ放送,札幌電視台
ブライス・(人形),布萊絲
予讃線,予讚線
日本トランスオーシャン航空,日本越洋航空
妙高山,妙高山
第59軍・(日本軍),第59軍·(日本陸軍)
吾妻小富士,吾妻小富士
蓼科山,蓼科山
神田明神,神田明神
音羽町,音羽町
新茂原駅,新茂原站
東京ドームシティ,東京巨蛋城
永田駅・(千葉県),永田站·(千葉縣)
東浪見駅,東浪見站
石垣島,石垣島
本納駅,本納站
羅臼岳,羅臼岳
上総一ノ宮駅,上总一之宫站
国立印刷局,國立印刷局
菅島,菅島
丹波口駅,丹波口站
吐噶喇列島,吐噶喇群島
トロッコ嵯峨駅,小火車嵯峨車站
美佐島駅,美佐島站
直江津駅,直江津站
群馬県,群馬縣
赤倉信号場,赤倉信號場
斜里岳,斜里岳
磐梯山,磐梯山
春日大社,春日大社
兵庫県,兵库县
宮古島市,宮古島市
留萌市,留萌市
筥崎宮,筥崎宮
道・(行政区画),道·(行政区划)
魚釣島,釣魚臺
朝来市,朝來市
口永良部島,口永良部島
キリシタン,吉利支丹
阿佐谷,阿佐谷
アミューズ,Amuse
北日本放送,北日本放送
九州朝日放送,九州朝日放送
MOA美術館,MOA美術館
信越放送,信越放送
羽生駅,羽生站
静岡放送,靜岡放送
山口放送,山口放送
福井放送,福井放送
大分放送,大分放送
山梨放送,山梨放送
福岡放送,福岡放送
北海道放送,北海道放送
南海放送,南海放送
在日モンゴル人,蒙古裔日本人
青森放送,青森放送
NHKラジオ第1放送,NHK第一套广播
久喜駅,久喜站
石川県,石川縣
五井駅,五井站
巌根駅,巖根站
袖ケ浦駅,袖浦站
長浦駅・(千葉県),長浦站·(千葉縣)
宇都宮城の戦い,宇都宮城之戰
土佐清水市,土佐清水市
奈良県,奈良县
久留米市,久留米市
宇佐神宮,宇佐神宮
高良大社,高良大社
箱館戦争,箱館戰爭
阿蘇神社,阿蘇神社
豊田通商,豐田通商
漢字文化圏,漢字文化圈
旧開智学校,舊開智學校
米子市,米子市
松戸市,松戶市
赤報隊,赤報隊
住友グループ,住友集团
新潟テレビ21,新潟電視台21
住友商事,住友商事
新井薬師前駅,新井藥師前站
伊藤忠商事,伊藤忠商事
総合商社,綜合商社
和歌山県,和歌山县
セイコーグループ,精工
日本板硝子,日本板硝子
「神宿る島」宗像・沖ノ島と関連遺産群,「神宿之島」宗像·沖之島及相關遺產群
イトーカンパニー,伊藤公司
埼玉西武ライオンズ,埼玉西武獅
1958年アジア競技大会におけるサッカー競技,1958年亞洲運動會足球比賽
滋賀県,滋贺县
静岡県,靜岡縣
宇治市,宇治市
君津駅,君津站
アシックス,亞瑟士
萬福寺,萬福寺·(宇治市)
日本プロサッカーリーグ,日本職業足球聯賽
木更津駅,木更津站
広島駅,廣島站
日本航空高等学校,日本航空高等學校
国立遺伝学研究所,國立遺傳學研究所
大岡山駅,大岡山站
東北放送,東北放送
朝倉市,朝倉市
浅草,浅草
朝倉郡,朝倉郡
山陰中央テレビジョン放送,山陰中央電視台
東海テレビ放送,東海電視台
フジニュースネットワーク,富士新聞網
山陰放送,山陰放送
岡山放送,岡山放送
瀬戸内海放送,瀨戶內海放送
札幌市営地下鉄南北線,南北線·(札幌市營地下鐵)
磐城平藩,磐城平藩
RSK山陽放送,RSK山陽放送
日本海テレビジョン放送,日本海電視台
秩父鉄道,秩父鐵道
InterFM897,InterFM897
アール・エフ・ラジオ日本,日本广播电台
オールニッポン・ニュースネットワーク,全日本新聞網
西日本放送,西日本放送
八千代市,八千代市
流山市,流山市
富山県,富山縣
葛西臨海公園駅,葛西臨海公園站
東逗子駅,東逗子站
ヴィッセル神戸,神戶勝利船
衣笠駅,衣笠站
越中島駅,越中島站
横須賀駅,橫須賀站
潮見駅,潮見站
出雲国,出雲國
第1次山縣内閣,第一屆山縣內閣
宇治上神社,宇治上神社
坂東市,坂東市
Bunkamura,Bunkamura
アジアハイウェイ,亞洲公路網
永青文庫,永青文库
太宰府市,太宰府市
資生堂,資生堂
朝日賞,朝日獎
上野,上野
みどり市,綠市
松山城・(備中国),松山城·(備中國)
朝日村,朝日村
旭化成,旭化成
朝日新聞,朝日新聞
AGC,艾杰旭
アサヒビール,朝日啤酒
征夷大将軍,征夷大將軍
エポック社,Epoch
東温市,東溫市
プロレス,職業摔角
伊勢市,伊勢市
テレビ北海道,TV北海道
首都圏・(日本),首都圈·(日本)
佐世保市,佐世保市
昭和,昭和
甲斐市,甲斐市
河口湖,河口湖
佃駅,佃站
前田氏,前田氏
市貝町,市貝町
辻駅,辻站
富士市,富士市
生駒市,生駒市
浦賀水道,浦賀水道
岡谷駅,岡谷站
グッドデザイン賞,優良設計獎
御嶽・(沖縄),御嶽·(琉球)
扇町駅・(大阪府),扇町站·(大阪府)
ゼブラ・(文具メーカー),斑馬文具
大麻比古神社,大麻比古神社
NHK-FM放送,NHK调频广播
紀勢本線,紀勢本線
粟島浦村,粟島浦村
上越市,上越市
関東地方,關東地方
山梨県,山梨县
相模湖,相模湖
第45回衆議院議員総選挙,第45屆日本眾議院議員總選舉
伊東市,伊東市
都営地下鉄浅草線,淺草線
島根県,岛根县
日本列島の旧石器時代,日本舊石器時代
筑紫野市,筑紫野市
立川南駅,立川南站
古里駅・(東京都),古里站·(東京都)
新日本橋駅,新日本橋站
昭島駅,昭島站
馬喰町駅,馬喰町站
東青梅駅,東青梅站
西大井駅,西大井站
保土ケ谷駅,保土谷站
田浦駅,田浦站·(日本)
東戸塚駅,東戶塚站
新浦安駅,新浦安站
久里浜駅,久里濱站
野田市,野田市
弘明寺駅・(横浜市営地下鉄),弘明寺車站·(橫濱市營地下鐵)
沖縄市,沖繩市
右京区,右京區
小倉城,小倉城
徳島文理大学,德島文理大學
日光国立公園,日光國立公園
真言律宗,真言律宗
福岡大学,福岡大學
国府宮駅,國府宮站
三春藩,三春藩
川岸駅,川岸站
野村證券,野村證券
エフエム東京,FM東京
京都御苑,京都御苑
日本BS放送,日本BS放送
辰野駅,辰野站
近江国,近江國
