Paris,파리
saut en longueur masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 멀리뛰기
Grand Liban,대레바논
bataille de Verdun,베르됭 전투
athlétisme aux Jeux olympiques de 1900 – 800 mètres hommes,1900년 하계 올림픽 육상 남자 800m
athlétisme aux Jeux olympiques de 1900 – 1 500 mètres hommes,1900년 하계 올림픽 육상 남자 1500m
lancer du marteau masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 해머던지기
athlétisme aux Jeux olympiques de 1900 – 400 mètres hommes,1900년 하계 올림픽 육상 남자 400m
Athlétisme aux Jeux olympiques de 1900 – 200 mètres haies hommes,1900년 하계 올림픽 육상 남자 200m 허들
Colmar,콜마르
La Sortie de l'usine Lumière à Lyon,공장 노동자들의 퇴근
Parc Olympique lyonnais,파르크 올랭피크 리요네
séisme et tsunami de 2004 dans l'océan Indien,2004년 인도양 지진해일
guerre de Vendée,방데 반란
théâtre national populaire,프랑스 국립민중극장
Valence,발랑스
110 mètres haies aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 110m 허들
athlétisme aux Jeux olympiques de 1900 – 60 mètres hommes,1900년 하계 올림픽 육상 남자 60m
Coupe du monde de football 1938,1938년 FIFA 월드컵
Second Empire,프랑스 제2제국
Papeete,파페에테
camembert,카망베르
yiddish,이디시어
Premier Empire français,프랑스 제1제국
Air France,에어 프랑스
Arras,아라스
siège d'Alésia,알레시아 전투
basque,바스크어
alémanique,알레만어
traité de Versailles,베르사유 조약
Bourges,부르주
bataille de la Somme,솜 전투
Lagny-sur-Marne,라니쉬르마른
OpenSkies,오픈스카이스
arménien,아르메니아어
Dinard,디나르
.yt,.yt
Mamoudzou,마무추
station spatiale internationale,국제우주정거장
.pm,.pm
Conseil de l'Europe,유럽 평의회
Pau,포
Jeux olympiques d'hiver de 1968,1968년 동계 올림픽
Lanester,라네스테르
Saint-Martin,세인트마틴섬
Jeux olympiques d'hiver de 1992,1992년 동계 올림픽
Biarritz,비아리츠
Olympique de Marseille,올랭피크 드 마르세유
luxembourgeois,룩셈부르크어
Albi,알비
Organisation internationale de la francophonie,프랑코포니
Commune de Paris,파리 코뮌
Koumac,쿠멕
Jeux olympiques d'hiver de 1924,1924년 동계 올림픽
Saint-Barthélemy,생바르텔레미
Bourg-en-Bresse,부르캉브레스
Païta,파이타
La Foa,라 포아
Nouméa,누메아
Alpine,알피느
Vienne,비엔
Cryo Interactive,크리오 인터랙티브
Bugatti,부가티
Delage,들라주
École centrale de Lyon,에콜 센트랄 리옹
Jour du Souvenir,영령 기념일
Championnats du monde de tennis,세계 하드 코트 선수권 대회
tunnel sous la Manche,채널 터널
Football Bourg-en-Bresse Péronnas 01,부르캉브레스 01
Alpes occidentales,서알프스산맥
Châtelaillon-Plage,샤텔라용플라주
Pacte civil de solidarité,시민연대계약
bataille de Crécy,크레시 전투
Cointreau,쿠앵트로
Beynost,베노
Bretagne,브르타뉴
Ambutrix,앙부트리
relations entre la France et le Royaume-Uni,영국-프랑스 관계
région d'outre-mer,해외 레지옹
breton,브르타뉴어
Angoulême,앙굴렘
pot-au-feu,포토푀
Nantes,낭트
Lorient,로리앙
Vitry-sur-Seine,비트리쉬르센
université de Lyon,리옹 대학교
Saint-Brieuc,생브리외
Hazebrouck,아즈브루크
Ploudalmézeau,플루달메조
Abbeville,아브빌
macaron,마카롱
Boudoir,사보이아르디
Gers,제르주
Brest,브레스트
Torcy,토르시
La Joconde,모나리자
basilique du Sacré-Cœur de Montmartre,사크레쾨르 대성당
catacombes de Paris,파리 카타콤
Gard,가르주
Gironde,지롱드주
Pyrénées,피레네산맥
sarrasin de Tartarie,타타리메밀
champagne,샴페인
Villé,빌레
ministère des Armées,프랑스 국방부
montagne Pelée,몽펠레 산
pâte feuilletée,퍼프 페이스트리
Le Monde,르 몽드
JCDecaux,제이씨데코
La Liberté guidant le peuple,민중을 이끄는 자유의 여신
Indre,앵드르주
Loir-et-Cher,루아르에셰르주
Haute-Garonne,오트가론주
Hispano-Suiza,이스파노 수이사
Le Kremlin-Bicêtre,르크레믈랭비세트르
Isère,이제르주
Ille-et-Vilaine,일에빌렌주
Mulhouse,뮐루즈
Grandes Jorasses,그랑드조라스
Issy-les-Moulineaux,이시레몰리노
Lot,로트주
Indre-et-Loire,앵드르에루아르주
Hauts-de-Seine,오드센주
Bayonne,바욘
Grimbosq,그랭보
Landes,랑드주
Hérault,에로주
Haute-Loire,오트루아르주
Marne,마른주
Lot-et-Garonne,로트에가론주
barre des Écrins,바르데제크랭산
Lozère,로제르주
M. Gay Monde,미스터 게이 월드
Fort-de-France,포르드프랑스
île de Sable,사블섬
Veolia Transport,비올레아 교통
Mer Celtique,켈트해
Maine-et-Loire,멘에루아르주
Bastia,바스티아
Manche,망슈주
Loire,루아르주
Meuse,뫼즈주
Mayenne,마옌주
Haute-Marne,오트마른주
Morbihan,모르비앙주
Royan,루아양
Meurthe-et-Moselle,뫼르테모젤주
Maubeuge,모뵈주
Loiret,루아레주
îles du Vent,윈드워드 제도
Moselle,모젤주
Oise,우아즈주
Pas-de-Calais,파드칼레주
Nièvre,니에브르주
Rouen,루앙
Polynésie française,프랑스령 폴리네시아
Orne,오른주
rue de Rivoli,리볼리로
Boulogne-sur-Mer,불로뉴쉬르메르
conciergerie de Paris,콩시에르주리
Pyrénées-Atlantiques,피레네자틀랑티크주
Nord,노르주
France aux Jeux olympiques d'hiver de 1924,1924년 동계 올림픽 프랑스 선수단
canton de Plateau d'Hauteville,오트빌롱느 캉통
Allociné,알로시네
vasière,개펄
Les Quinze joies de mariage,결혼의 열다섯 가지 재미
Hautes-Pyrénées,오트피레네주
France aux Jeux olympiques d'été de 2012,2012년 하계 올림픽 프랑스 선수단
Tchétchènes,체첸인
Puy-de-Dôme,퓌드돔주
Pyrénées-Orientales,피레네오리앙탈 주
Mata Utu,마타우투
Union des démocrates et indépendants,민주당-무소속 연합
Saône-et-Loire,손에루아르주
Haut-Rhin,오랭주
Bas-Rhin,바랭주
La Rochelle,라로셸
relations entre la France et la Russie,러시아-프랑스 관계
France aux Jeux olympiques d'hiver de 1928,1928년 동계 올림픽 프랑스 선수단
Sainte-Croix-aux-Mines,생트크루아오민
France aux Jeux olympiques d'hiver de 1976,1976년 동계 올림픽 프랑스 선수단
Mise en demeure,정지명령
Deux-Sèvres,되세브르주
Haute-Savoie,오트사부아주
Savoie,사부아주
Chamonix-Mont-Blanc,샤모니
mer de Corail,산호해
Haute-Saône,오트손주
Seine-Saint-Denis,센생드니주
Seine-et-Marne,센에마른
saramaka,사마카어
Dreux,드뢰
Sarthe,사르트주
Seine-Maritime,센마리팀주
Nouvelle-Calédonie,누벨칼레도니
palais de justice de Paris,팔레 드 쥐스티스
Tarn,타른주
Territoire de Belfort,테리투아르드벨포르주
palais des papes,아비뇽 교황청
corse,코르시카어
Somme,솜주
Association mondiale anationale,세계무민족성협회
langue des signes française,프랑스 수화
Vendée,방데주
Vienne,비엔주
Val-d'Oise,발두아즈주
Tarn-et-Garonne,타른에가론주
Zazas,자자족
Var,바르주
École normale supérieure,에콜 노르말 쉬페리외르
Vaucluse,보클뤼즈주
vente de la chose d'autrui,선의의 취득자
Haute-Vienne,오트비엔주
tahitien,타히티어
Yvelines,이블린주
picard,피카르디어
péninsule Ibérique,이베리아반도
Yonne,욘주
Roubaix,루베
Nice,니스
Debout la France,약진하는 공화국
créole réunionnais,레위니옹 크리올
Gustavia,귀스타비아
Val-de-Marne,발드마른주
wallon,왈롱어
pyramide du Louvre,루브르 피라미드
Saint-Dié-des-Vosges,생디에데보주
Manche,영국 해협
Vaulx-en-Velin,보앙벨랭
Stade de France,스타드 드 프랑스
ligne 1,파리 메트로 1호선
Vénissieux,베니시외
championnat de France de football,리그 1
Luzarches,뤼자르슈
Tour de France,투르 드 프랑스
bichelamar,비슬라마
Saint-Pierre-et-Miquelon,생피에르 미클롱
Île-de-France,일드프랑스
Les Abymes,레자빔
gascon,가스코뉴어
auvergnat,오베르뉴어
Matra,마트라
ligure,리구리아어
Surgy,쉬르지
Wallis-et-Futuna,왈리스 푸투나
ndjuka,은쥬카어
carnaval de Nice,니스 축제
Turcs,터키인
Société nationale des chemins de fer français,SNCF
Picardie,피카르디
Le Canard enchaîné,르 카나르 앙셰네
Libération,리베라시옹
Corse,코르시카
Champagne-Ardenne,샹파뉴아르덴
Kaysersberg,케제르베르
région de France,프랑스의 레지옹
Polynésie,폴리네시아
Savoie,사부아
arrondissement de Beaune,본 아롱디스망
fagauvea,서우베아어
Centre-Val de Loire,상트르
Flandre française,플랑드르프랑세즈
mangarévien,망가레바어
Vallespir,발스피르
France aux Jeux olympiques d'été de 2008,2008년 하계 올림픽 프랑스 선수단
fort carré,포트 카레
occitan,오크어
royaume des Francs,프랑크 왕국
France aux Jeux olympiques de 1896,1896년 하계 올림픽 프랑스 선수단
Doubs,두강
méridien de Paris,파리 자오선
.fr,.fr
francoprovençal,프랑코프로방스어
Catalogne Nord,카탈루냐델노르트
Slovènes,슬로베니아인
Normandie,노르망디
Somme,솜강
fort Boyard,보야르 요새
Petites Antilles,소앤틸리스 제도
Escaut,스헬더강
Besançon,브장송
cascade de Vaipo,바이포 폭포
langue d'oïl,오일어
Mélanésie,멜라네시아
Provence-Alpes-Côte d'Azur,프로방스알프코트다쥐르
Vichy,비시
Appalaches,애팔래치아산맥
AS365 Dauphin,유로콥터 AS365 돌핀
Eurocopter AS350 Écureuil,유로콥터 AS350
AS565 Panther,유로콥터 AS565 팬더
AS355 Écureuil 2,유로콥터 AS355 에퀴아이 2
Gaule,갈리아
Ajaccio,아작시오
Fennec,유로콥터 페넥
Cannes,칸
Aloxe-Corton,알록스코르통
Beaune,본
aéroport Saint‑Jean–Gustave III,구스타프 III 공항
Angers,앙제
Les cent livres du siècle,르 몽드가 선정한 세기의 도서 100권
Grand collisionneur de hadrons,대형 강입자 충돌기
Savigny-lès-Beaune,사비니레본
Agence France-Presse,AFP
La Marseillaise,프랑스의 국가
Nancy,낭시
Caen,캉
Ribeauvillé,리보빌레
Melun,믈룅
Amiens,아미앵
bataille de Denain,드냉 전투
Organisation de coopération et de développement économiques,경제협력개발기구
golfe de Gascogne,비스케이 만
viaduc de Millau,미요 대교
flamand occidental,서플랑드르어
Provence,프로방스
Pays basque français,프랑스령 바스크
funiculaire de Montmartre,퓌니퀼레르 드 몽마르트르
Coupe du monde de football 1998,1998년 FIFA 월드컵
Clermont-Ferrand,클레르몽페랑
Reims,랭스
Aisne,엔강
route européenne,유럽 고속도로
Marne,마른강
Meuse,뫼즈강
Séfarade,스파라드 유대인
Festival de Cannes,칸 영화제
Tahiti,타히티섬
Agence spatiale européenne,유럽 우주국
Occitanie,오시타니아
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,생레미앙부즈몽생즈네에이송
Astérix,아스테릭스
Neustrie,네우스트리아
cathédrale Notre-Dame d'Amiens,아미앵 대성당
communauté de Taizé,떼제 공동체
Charte européenne des langues régionales ou minoritaires,유럽 지방 언어·소수 언어 헌장
Anjou,앙주
paix d'Amiens,아미앵 조약
Rouffach,루파크
Forcalquier,포르칼퀴에
Euskadi ta Askatasuna,바스크 조국과 자유
Nîmes,님
Saint-Étienne,생테티엔
Sarcelles,사르셀
famille Bonaparte,보나파르트 왕가
.gp,.gp
débarquement de Normandie,노르망디 상륙
CERN,유럽 입자 물리 연구소
mer Ligure,리구리아해
Munster,묑스테르
.gf,.gf
Franche-Comté,프랑슈콩테
droit numérique,디지털 권리
.pf,.pf
Parti nationaliste basque,바스크 국민당
Le Havre,르아브르
Puligny-Montrachet,퓔리니몽트라셰
Internationaux de France de tennis,프랑스 오픈
.mq,.mq
Commandement des actions spéciales - Terre,육군특전사령부
cubisme,입체파
bataille de Normandie,노르망디 상륙 작전
Jeux du Pacifique Sud de 1966,1966년 남태평양 게임
Moulin-Rouge,물랭 루주
Toulon,툴롱
natation aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 수영
Ardenne,아르덴
Villeneuve-d'Ascq,빌뇌브다스크
.wf,.wf
Cayenne,카옌
Dauphiné,도피네
Zealandia,질랜디아
Michelin,미쉐린
Saint-Nazaire,생나제르
Midi-Pyrénées,미디피레네
France aux Jeux olympiques d'hiver de 2010,2010년 동계 올림픽 프랑스 선수단
Vénus de Milo,밀로의 비너스
Basse-Terre,바스테르섬
Sarre,자르강
Australasie,오스트랄라시아
Le Penseur,생각하는 사람
Montbéliard,몽벨리아르
Athlétisme aux Jeux olympiques de 1900 – 2 500 mètres steeple hommes,1900년 하계 올림픽 육상 남자 2500m 장애물
400 mètres haies masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 400m 허들
Reporters sans frontières,국경 없는 기자회
Bobigny,보비니
Saint-Nicolas-lès-Cîteaux,생니콜라레시토
Boulieu-lès-Annonay,불리외레자노네
Saint-Marcel-lès-Annonay,생마르셀레자노네
TotalEnergies,토탈
front de l'Ouest,서부 전선
Limoges,리모주
Rochonvillers,로숑빌레
Toul,툴
Verdun,베르됭
Tournoi des Six Nations,식스 네이션스
Renazé,레나제
L'Oréal,로레알
Institut supérieur de l'aéronautique et de l'espace,프랑스국립고등항공우주학교
Institut national de la statistique et des études économiques,국립 통계 경제 연구소
Dives,디브강
Racing 92,라싱 메트로 92
archipel de la Société,소시에테 제도
forêts primaires de hêtres des Carpates et forêts anciennes de hêtres d’Allemagne,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
Eurostar,유로스타
bataille de Sedan,스당 전투
Makatea,마카테아섬
aéroport de Bâle-Mulhouse-Fribourg,유로 에어포트
Airbus Helicopters,에어버스 헬리콥터
Bazentin,바장탱
résistance intérieure française,레지스탕스
code Insee,INSEE 코드
Saint-Sulpice-de-Cognac,생쉴피스드코냐크
université de Strasbourg,스트라스부르 대학교
Dunkerque,됭케르크
Rhône,론주
aéroport Paris-Charles-de-Gaulle,파리 샤를 드골 공항
Sanofi,사노피
Français,프랑스인
Créteil,크레테유
Turckheim,투르켐
Tulle,튈
famille Rothschild,로트실트 가문
Albertville,알베르빌
Cour européenne des droits de l'homme,유럽인권재판소
Cherbourg-Octeville,셰르부르옥트빌
île Clipperton,클리퍼턴섬
Artois,아르투아
AXA,AXA
pas de Calais,도버 해협
1er arrondissement de Paris,파리 1구
Blois,블루아
Basse-Normandie,바스노르망디
Académie française,아카데미 프랑세즈
Allouis,알루이
.mf,.mf
Saint-Denis,생드니
îles Kerguelen,케르겔렌 제도
Haute-Normandie,오트노르망디
Bagneux,바뉴
Nord-Pas-de-Calais,노르파드칼레
art gothique,고딕 미술
.nc,.nc
1re armée,제1군
1re division blindée,제1기갑사단
72 noms de savants inscrits sur la tour Eiffel,에펠탑에 있는 72명의 이름 목록
.re,.re
ligne Maginot,마지노선
préfecture de police de Paris,파리 경찰청
Saint-Malo,생말로
Union latine,라틴 연합
ordre national de la Légion d'honneur,레지옹 도뇌르 훈장
10e arrondissement de Paris,파리 10구
prix du jury du Festival de Cannes,심사위원상
Charente,샤랑트강
Châlons-en-Champagne,샬롱앙샹파뉴
Saint-Denis,생드니
symbolisme,상징주의
Charleville-Mézières,샤를빌메지에르
Chambéry,샹베리
Aix-en-Provence,엑상프로방스
Pays basque,바스크
Lens,랑스
Valenciennes,발랑시엔
Giverny,지베르니
France 24,프랑스 24
armoiries de la France,프랑스의 국장
Peyraud,페로
Ballon d'or,발롱도르
équipe de France de football,프랑스 축구 국가대표팀
.tf,.tf
Saint-Désirat,생데지라
Nevers,느베르
Basse-Terre,바스테르
Bogy,보지
Levallois-Perret,르발루아페레
ordre cistercien,시토회
Laon,랑
Coupe du monde de rugby à XV 2007,2007년 럭비 월드컵
Soissons,수아송
route européenne 60,유럽 고속도로 60호선
Centre national d'études spatiales,프랑스 국립 우주 연구 센터
Saint-Martin,생마르탱
Arles,아를
RC Strasbourg Alsace,RC 스트라스부르
Eurocopter AS532 Cougar,유로콥터 AS532 쿠거
Neuilly-sur-Seine,뇌이쉬르센
11e arrondissement de Paris,파리 11구
basques,바스크인
prix Sakharov,사하로프상
autoroute A2,오토루트 2호선
ligne 2,파리 메트로 2호선
ligne 3,파리 메트로 3호선
Auxerre,오세르
Pénestin,페내스탱
Vernéville,베르네빌
lettons,라트비아인
Diamant,디아망 로켓
Nanterre,낭테르
Antibes,앙티브
Parti socialiste,사회당
concile de Clermont,클레르몽 교회회의
Annecy,안시
armistice du 22 juin 1940,제2차 콩피에뉴 휴전협정
ligne 4,파리 메트로 4호선
ligne 5,파리 메트로 5호선
métro de Paris,파리 메트로
gouvernement Jean-Marc Ayrault I,제1차 에로 내각
Noyon,누아용
Vignoble de Bordeaux,보르도 포도주
Senlis,상리스
Oignies,우아니
Athlétisme aux Jeux olympiques de 1900 – 4 000 mètres steeple hommes,1900년 하계 올림픽 육상 남자 4000m 장애물
Athlétisme aux Jeux olympiques de 1900 – 5 000 mètres par équipes hommes,1900년 하계 올림픽 육상 남자 5000m 단체전
Schneider Electric,슈나이더 일렉트릭
Penmarch,팽마르
Chantilly,샹티이
Belfort,벨포르
grotte de Lascaux,라스코 동굴
ligne 9,파리 메트로 9호선
ligne 10,파리 메트로 10호선
12e arrondissement de Paris,파리 12구
circuit Paul-Ricard,폴 리카르 서킷
FC Lorient,FC 로리앙
Les Restos du Cœur,마음의 식당
croisade des albigeois,알비 십자군
ligne 6,파리 메트로 6호선
ligne 7,파리 메트로 7호선
Amanvillers,아망빌레
ligne 8,파리 메트로 8호선
Évreux,에브뢰
forêt amazonienne,아마존 우림
haut allemand,고지 독일어
Allianz Riviera,알리안츠 리비에라
Girondins de Bordeaux,FC 지롱댕 드 보르도
Chambolle-Musigny,샹볼뮈지니
