上皇后美智子,美智子上皇后
松井一郎,松井一郎
星野みなみ,星野南
乾貴士,乾貴士
比嘉リカルド,比嘉列卡度
中村俊輔,中村俊輔
手塚治虫,手塚治虫
枢やな,樞梁
宮本武蔵,宮本武藏
俊寛,俊寬
麻生ちか子,麻生千賀子
櫻内幸雄,櫻內幸雄
福田貴代子,福田貴代子
藤原高子,藤原高子
安倍昭恵,安倍昭惠
児玉源太郎,兒玉源太郎
昭和天皇,昭和天皇
中嶋一貴,中嶋一貴
与謝蕪村,與謝蕪村
源義家,源義家
長瀬富郎,長瀨富郎
阿部サダヲ,阿部貞夫
寺内寿一,寺内寿一
川栄李奈,川榮李奈
白川方明,白川方明
入山杏奈,入山杏奈
土居美咲,土居美咲
中田英寿,中田英壽
米良美一,米良美一
山本左近,山本左近
伊藤大輔・(映画監督),伊藤大輔
片山右京,片山右京
明石元二郎,明石元二郎
鈴木利男,鈴木利男
中澤聡太,中澤聰太
伊藤康英,伊藤康英
阿部祐大朗,阿部祐大朗
平井将生,平井將生
吉沢明歩,吉澤明步
大浦あんな,大浦安娜
渡瀬晶,渡瀨晶
土肥原賢二,土肥原贤二
白石麻衣,白石麻衣
友崎亜希,友崎亞希
トニー大木,东尼大木
水木一郎,水木一郎
紫彩乃,紫彩乃
細野正文,細野正文
安田理大,安田理大
清河八郎,清河八郎
石井菊次郎,石井菊次郎
大江健三郎,大江健三郎
麻生祐未,麻生祐未
小泉純一郎,小泉纯一郎
丸山良明,丸山良明
福田健二,福田健二
萩村滋則,萩村滋則
高木虎之介,高木虎之介
井上隆智穂,井上隆智穗
前原誠司,前原誠司
坂口安吾,坂口安吾
鳩山由紀夫,鳩山由紀夫
徳川家康,德川家康
三船敏郎,三船敏郎
明仁,明仁
木村航,木村航
増田裕生,增田裕生
種田梨沙,種田梨沙
前川國男,前川国男
倉藤倖,倉藤倖
米本拓司,米本拓司
前田真宏・(アニメ監督),前田真宏
横路孝弘,橫路孝弘
山中伸弥,山中伸彌
武村正義,武村正義
安藝ノ海節男,安藝乃海節男
中嶋悟,中嶋悟
鈴木亜久里,鈴木亞久里
井出有治,井出有治
松原良香,松原良香
山本康裕,山本康裕
大迫勇也,大迫勇也
西村健太朗,西村健太朗
森脇良太,森脇良太
今宮健太,今宮健太
戸越まごめ,戶越馬込
近衛基実,近衛基實
伊達倫央,伊達倫央
影山雅永,影山雅永
相馬崇人,相马崇人
山崎亮平,山崎亮平
富田芳郎,富田芳郎
石原慎太郎,石原慎太郎
安野モヨコ,安野夢洋子
志村喬,志村喬
安倍晋三,安倍晋三
麻生太郎,麻生太郎
梶浦由記,梶浦由記
船越義珍,船越義珍
源実朝,源實朝
明治天皇,明治天皇
SABU・(映画監督),薩布
伊藤博文,伊藤博文
役小角,役小角
小野小町,小野小町
三村申吾,三村申吾
神武天皇,神武天皇
竹内択,竹内择
山村和也,山村和也
歌川広重,歌川廣重
川口能活,川口能活
森重文,森重文
安藤忠雄,安藤忠雄
曙太郎,曙太郎
山本権兵衛,山本權兵衛
川端康成,川端康成
柴田善臣,柴田善臣
三島由紀夫,三岛由纪夫
白隠慧鶴,白隱慧鶴
雅山哲士,雅山哲士
伊藤左千夫,伊藤左千夫
加藤喜代美,加藤喜代美
清原元輔,清原元輔
大久保長安,大久保長安
アルベルト・フジモリ,阿尔韦托·藤森
藤原不比等,藤原不比等
斉藤浩哉,齐藤浩哉
高畑勲,高畑勳
松本清張,松本清张
田口玄一,田口玄一
安東貞美,安東貞美
鳥山明,鳥山明
小林誠・(物理学者),小林诚·(物理学家)
槙原寛己,槙原寬己
本田圭佑,本田圭佑
吉澤章,吉泽章
本吉剛,本吉剛
後三条天皇,後三條天皇
相米慎二,相米慎二
鈴木大拙,鈴木大拙
西田幾多郎,西田幾多郎
GACKT,GACKT
葉月里緒奈,葉月里緒菜
内田真礼,內田真禮
Hide,Hide
珠妃,珠妃
篠山紀信,篠山紀信
松田浩,松田浩
山崎真・(サッカー選手),山崎真
京マチ子,京町子
吉田裕幸,吉田裕幸
アントニオ猪木,安東尼奧·豬木
芦原妃名子,芦原妃名子
仲哀天皇,仲哀天皇
益川敏英,益川敏英
野坂参三,野坂參三
佐々木勇人,佐佐木勇人
太田昭宏,太田昭宏
東口順昭,東口順昭
田坂祐介,田坂祐介
倉田秋,倉田秋
松林宗恵,松林宗惠
藤田征也,藤田征也
楽山孝志,乐山孝志
藤ヶ谷陽介,藤谷陽介
松代直樹,松代直樹
合田雅吏,合田雅吏
志位和夫,志位和夫
梨本宮守正王,梨本宮守正王
森山裕,森山裕
浜四津敏子,濱四津敏子
太田房江,太田房江
田中哲也・(サッカー選手),田中哲也
吉田安孝,吉田安孝
二宮浩,二宮浩
加藤善之,加藤善之
菅野将晃,菅野将晃
上野千鶴子,上野千鶴子
小椋真介,小椋真介
三上明紀,三上明紀
葛西紀明,葛西纪明
小川未明,小川未明
藤原竜也,藤原龍也
田畑端,田畑端
河野和久,河野和久
斉藤浩史,齊藤浩史
小椋哲也,小椋哲也
安原成泰,安原成泰
東川昌典,東川昌典
深作欣二,深作欣二
石ノ森章太郎,石之森章太郎
関孝和,关孝和
真田信綱,真田信綱
堀秀行,堀秀行
辰巳ヨシヒロ,辰巳嘉裕
横山光輝,橫山光輝
上杉憲実,上杉宪实
川瀬巴水,川瀨巴水
山本邦山,山本邦山
坂本龍一,坂本龍一
池田三男,池田三男
三宅一生,三宅一生
山口二矢,山口二矢
惣領冬実,惣領冬實
有吉佐和子,有吉佐和子
夏目漱石,夏目漱石
鈴木亜美,鈴木亞美
南沙也香,南沙也香
伊福部昭,伊福部昭
村上春樹,村上春樹
豊田佐吉,豐田佐吉
安藤利吉,安藤利吉
緒方貞子,绪方贞子
江本勝,江本勝
道端ジェシカ,道端潔西卡
斎藤一,齋藤一
園子温,園子溫
江崎玲於奈,江崎玲於奈
下村脩,下村脩
佐藤栄作,佐藤荣作
小平事件,小平義雄
上原エドウィン,上原埃德温
下平匠,下平匠
柿谷曜一朗,柿谷曜一朗
柏木陽介,柏木陽介
わたなべ志穂,渡邊志穗·(漫畫家)
福田聡志,福田聰志
二保旭,二保旭
梱枝りこ,梱枝Riko
江田五月,江田五月
渡辺謙,渡邊謙
岩田華怜,岩田華怜
田中慶秋,田中慶秋
田中直紀,田中直紀
安住淳,安住淳
浦沢直樹,浦澤直樹
木村憲治,木村宪治
松本潤,松本潤
赤西仁,赤西仁
真島ヒロ,真島浩
金澤弘和,金澤弘和
後円融天皇,後圓融天皇
木村資生,木村資生
藤原頼経,藤原賴經
宮城長順,宮城長順
吉川英治,吉川英治
魁皇博之,魁皇博之
崇光天皇,崇光天皇
光厳天皇,光嚴天皇
後西天皇,後西天皇
空海,空海
後陽成天皇,後陽成天皇
塩田剛三,鹽田剛三
中村忠・(空手家),中村忠
間宮芳生,間宮芳生
田中千絵,田中千绘
渡辺直美,渡邊直美
古川聡,古川聰
安達二十三,安達二十三
安達峰一郎,安達峰一郎
遠藤保仁,遠藤保仁
渡辺長武,渡边长武
青木繁,青木繁
藤島武二,藤島武二
江戸川乱歩,江戶川亂步
西澤明訓,西澤明訓
中原杏,中原杏
吉本隆明,吉本隆明
山口紗弥加,山口紗彌加
永山瑛太,永山瑛太
山川健次郎,山川健次郎
高橋洋子・(歌手),高橋洋子
植田謙吉,植田謙吉
武藤金義,武藤金义
相樂亨,相樂亨
金本知憲,金本知憲
高津臣吾,高津臣吾
力道山,力道山
後柏原天皇,後柏原天皇
文世光,文世光
斉藤仁,齐藤仁
中井猛之進,中井猛之进
岡村寧次,冈村宁次
櫻井よしこ,樱井良子
遠藤謹助,远藤谨助
謝花昇,謝花昇
愛新覚羅慧生,慧生·(愛新覺羅氏)
西村眞悟,西村真悟
高村正彦,高村正彥
東恩納寛量,東恩納寬量
野村克也,野村克也
河上彦斎,河上彥齋
辜顕栄,辜顯榮
河原温,河原温
徳仁,德仁
徳川家茂,德川家茂
福井謙一,福井谦一
聖武天皇,圣武天皇
後嵯峨天皇,後嵯峨天皇
允恭天皇,允恭天皇
後深草天皇,後深草天皇
清和天皇,清和天皇
崇峻天皇,崇峻天皇
宇多天皇,宇多天皇
仁明天皇,仁明天皇
林義秀,林义秀
梅津美治郎,梅津美治郎
奈良原繁,奈良原繁
山尾庸三,山尾庸三
佐伯博司,佐伯博司
水野良,水野良
渋沢栄一,澀澤榮一
真田広之,真田廣之
岩本徹三,岩本徹三
井伏鱒二,井伏鱒二
鍋島直彬,鍋島直彬
伊藤圭介・(理学博士),伊藤圭介
橋本以行,橋本以行
新見政一,新見政一
細野晴臣,細野晴臣
酒井隆,酒井隆
山辺英彦,山邊英彥
高木義明,高木義明
水上勉,水上勉
武者小路実篤,武者小路實篤
麻枝准,麻枝准
北畠親房,北畠親房
松田龍平,松田龍平
中川翔子,中川翔子
飯塚翔太,飯塚翔太
弥海砂,彌海砂
高橋留美子,高桥留美子
中谷宇吉郎,中谷宇吉郎
小島正幸,小島正幸
森脇浩司,森脇浩司
乙葉ななせ,葉月七瀨
木野まこと,木野真琴
熊谷紗希,熊谷紗希
大友愛,山本愛
継体天皇,继体天皇
陽成天皇,陽成天皇
用明天皇,用明天皇
後朱雀天皇,後朱雀天皇
鳥羽天皇,鳥羽天皇
崇徳天皇,崇德天皇
中島敦,中島敦
高木貞治,高木貞治
安倍頼時,安倍賴時
豊田章一郎,豐田章一郎
阿倍比羅夫,阿倍比羅夫
中川雅治,中川雅治
荒川修作,荒川修作
呉善花,吳善花
早川漣,早川漣
李清,李清·(韓國)
張本勲,張本勳
福島安正,福島安正
阿倍仲麻呂,阿倍仲麻呂
桃山虔一,桃山虔一
畑俊六,畑俊六
美樹本晴彦,美樹本晴彥
島袋寛子,島袋寬子
長谷川祥之,長谷川祥之
乾絵美,干绘美
エスクデロ競飛王,沙治奧·艾斯古迪路
内田嘉吉,內田嘉吉
野中広務,野中广务
八田與一,八田與一
東史郎,东史郎
町村信孝,町村信孝
伊沢多喜男,伊澤多喜男
木戸孝允,木戶孝允
谷寿夫,谷寿夫
小林躋造,小林躋造
陳舜臣,陈舜臣
貴ノ花利彰,貴之花利彰
金城龍彦,金城龍彥
山口多聞,山口多聞
小畑英良,小畑英良
チャールズ・ジェンキンス,查爾斯·羅伯特·詹金斯
花城長茂,花城長茂
藤堂平助,藤堂平助
今井敏明,今井敏明
橋下徹,橋下徹
坪内逍遥,坪內逍遙
本部朝勇,本部朝勇
西行,西行
平田宏美,平田宏美
石田晴香,石田晴香
菅野よう子,菅野洋子
井上和彦・(声優),井上和彥
雉子牟田明子,雉子牟田明子
杉山愛,杉山愛
飯塚雅弓,飯塚雅弓
後奈良天皇,後奈良天皇
髙橋大輔・(フィギュアスケート選手),高橋大輔
広田弘毅,廣田弘毅
石橋湛山,石橋湛山
谷山豊,谷山豐
濱口雄幸,濱口雄幸
渡辺俊介,渡邊俊介
李垠,李垠
小坂誠,小坂誠
里崎智也,里崎智也
古田敦也,古田敦也
成瀬善久,成瀨善久
藤田宗一・(投手),藤田宗一
門倉健,門倉健
別当薫,別當薰
落合博満,落合博滿
今江敏晃,今江敏晃
古賀政男,古賀政男
野村謙二郎,野村謙二郎
曾禰荒助,曾禰荒助
久保康友,久保康友
伊良部秀輝,伊良部秀輝
西村徳文,西村德文
阿南惟幾,阿南惟幾
小林宏之・(野球),小林宏之
内村鑑三,內村鑑三
木戸幸一,木戶幸一
西郷従道,西鄉從道
菊池容斎,菊池容齋
布袋寅泰,布袋寅泰
早乙女乱馬,早乙女亂馬
高杉晋作,高杉晉作
山本耀司,山本耀司
真崎甚三郎,真崎甚三郎
中村輝夫・(軍人),李光輝
大島正満,大島正滿
秩父宮雍仁親王,秩父宮雍仁親王
勝海舟,胜海舟
沢村栄治,澤村榮治
武蔵丸光洋,武藏丸光洋
鳥居龍蔵,鳥居龍藏
中村登,中村登
久米邦武,久米邦武
田邊賢輔,田邊賢輔
安倍吉俊,安倍吉俊
林海峰,林海峰·(围棋)
本庄繁,本庄繁
柴田勝家,柴田勝家
佐久間左馬太,佐久間左馬太
小林よしのり,小林善紀
和田薫・(作曲家),和田薰
田健治郎,田健治郎
井深大,井深大
井原西鶴,井原西鶴
後桜町天皇,後櫻町天皇
皇后雅子,雅子皇后
高橋愛,高橋愛
志村五郎,志村五郎
松岡洋右,松冈洋右
荒木貞夫,荒木貞夫
平城天皇,平城天皇
弘田澄男,弘田澄男
井上馨,井上馨
高橋慶彦,高橋慶彥
唐川侑己,唐川侑己
東條由布子,东条由布子
益田直也,益田直也
西岡剛・(内野手),西岡剛
成田文男,成田文男
福間納,福間納
薮田安彦,藪田安彥
清田育宏,清田育宏
船木和喜,船木和喜
荻野貴司,荻野貴司
森島寛晃,森島寬晃
服部年宏,服部年宏
前園真聖,前園真聖
小松清廉,小松帶刀
三沢光晴,三澤光晴
林遣都,林遣都
児玉誉士夫,兒玉譽士夫
山口壯,山口壮
板垣征四郎,板垣征四郎
柳川平助,柳川平助
三浦梧楼,三浦梧楼
桐野利秋,桐野利秋
陸奥宗光,陸奧宗光
西尾寿造,西尾寿造
美濃部達吉,美濃部達吉
岡部孝信,冈部孝信
古荘幹郎,古莊幹郎
菱刈隆,菱刈隆
藤本健二,藤本健二
堀井富太郎,堀井富太郎
飯田祥二郎,飯田祥二郎
浅井哲彦,淺井哲彥
星里もちる,星里望留
九条兼実,九条兼实
伊東祐亨,伊东祐亨
笹井醇一,笹井醇一
平重衡,平重衡
ジュディ・オング,翁倩玉
正力松太郎,正力松太郎
一青窈,一青窈
川上操六,川上操六
伊達公子,伊達公子
黒田清子,黑田清子
水樹奈々,水樹奈奈
武内直子,武内直子
荒川静香,荒川静香
林銑十郎,林銑十郎
千葉真一,千叶真一
あだち充,安达充
倖田來未,倖田來未
サブロー,大村三郎
秋山成勲,秋山成勳
野茂英雄,野茂英雄
吉井理人,吉井理人
寬仁親王,寬仁親王
小林亮寛,小林亮寬
山内一弘,山内一弘
竹内洋岳,竹内洋岳
倉持由香,倉持由香
工藤隆人,工藤隆人
堤義明,堤義明
村上隆,村上隆
赤城徳彦,赤城德彦
福浦和也,福浦和也
坂井三郎,坂井三郎
小川悦司・(漫画家),小川悦司
古賀峯一,古贺峰一
吉見義明,吉見義明
永倉新八,永倉新八
朝香宮鳩彦王,朝香宮鳩彥王
杉田庄一,杉田庄一
南部麒次郎,南部麒次郎
雷電爲右エ門,雷电为右卫门
副島種臣,副島種臣
嶋田繁太郎,嶋田繁太郎
早田文藏,早田文藏
田中新兵衛,田中新兵衛
千田愛紗,千田愛紗
鈴木宗作,铃木宗作
楠瀬幸彦,楠瀨幸彥
清水直行,清水直行
井口資仁,井口資仁
福島千里,福島千里
荒巻淳,荒卷淳
閑院宮載仁親王,闲院宫载仁亲王
小林雅英,小林雅英
今岡真訪,今岡誠
金子文子,金子文子
織田信成・(フィギュアスケート選手),織田信成·(花樣滑冰)
伊藤竜馬,伊藤龍馬
柿原徹也,柿原徹也
足利義稙,足利義稙
黄文雄・(評論家),黃文雄·(作家)
徳富蘇峰,德富苏峰
根上淳,根上淳
松田道之,松田道之
秋山真之,秋山真之
ディーン・フジオカ,藤岡靛
高島鞆之助,高島鞆之助
宗尊親王,宗尊親王
正宗,正宗·(日本刀匠)
秋田豊,秋田豐
ツルネン・マルテイ,弦念丸呈
三斤王,三斤王
中村勘三郎・(18代目),中村勘三郎·(第十八代)
石原道博,石原道博
TAKURO,TAKURO
TERU,TERU
カシワクラツトム,柏倉努
青山敏弘,青山敏弘
加隈亜衣,加隈亞衣
和田アキ子,和田現子
姜暢雄,姜暢雄
山内容堂,山內容堂
楢崎龍,楢崎龍
百田夏菜子,百田夏菜子
江藤淳,江藤淳
井上毅,井上毅
信西,信西
後藤象二郎,后藤象二郎
小桧山雅仁,小檜山雅仁
広瀬武夫,廣瀨武夫
大野乾,大野乾
宮崎滔天,宮崎滔天
及川古志郎,及川古志郎
田母神俊雄,田母神俊雄
しのり〜,Shinorii
くぼたまこと,久保田诚
大橋正博,大橋正博
明神智和,明神智和
李玖,李玖
大友塩市丸,大友鹽市丸
朴泳孝,朴泳孝
JIRO,JIRO
井上靖,井上靖
金子安次,金子安次
本野一郎,本野一郎
柴五郎,柴五郎
河辺正三,河边正三
中島今朝吾,中岛今朝吾
小松宮彰仁親王,小松宮彰仁親王
太田敏夫,太田敏夫
永澤菜教,永澤菜教
甘粕景持,甘粕長重
横井小楠,横井小楠
福盛和男,福盛和男
柴田勝豊,柴田勝豐
有沢まみず,有澤真水
檀れい,檀麗
小島弥太郎,小島彌太郎
澤村拓一,澤村拓一
坂口智隆,坂口智隆
三浦環,三浦环
東山奈央,東山奈央
松本治一郎,松本治一郎
小栗左多里,小栗左多里
有銘兼久,有銘兼久
細川亨,細川亨
草野大輔,草野大輔
石井紘基,石井紘基
吉岡隆徳,吉岡隆德
高橋浩祐,高桥浩佑
岸田護,岸田護
水沢史絵,水澤史繪
塙直之,塙直之
大竹寛,大竹寬
希良梨,希良梨
常盤御前,常盤御前
森杏奈,森杏奈
中村麻里子,中村麻里子
永尾まりや,永尾瑪利亞
仲俣汐里,仲俁汐里
佐藤実絵子,佐藤實繪子
島田晴香,島田晴香
手束真知子,手束真知子
梅田悠,梅田悠
竹内美宥,竹內美宥
興津和幸,興津和幸
山内鈴蘭,山內鈴蘭
松下唯,松下唯
若林倫香,若林倫香
梅本まどか,梅本圓
香淳皇后,香淳皇后
澤穂希,泽穗希
草間彌生,草間彌生
荒川弘,荒川弘
吉田沙保里,吉田沙保里
小沢治三郎,小澤治三郎
松井石根,松井石根
犬養毅,犬養毅
野村哲也,野村哲也
山内溥,山内溥
天野喜孝,天野喜孝
小野敏洋,小野敏洋
武田惣角,武田惣角
熊井啓,熊井啟
大前元紀,大前元紀
大和屋竺,大和屋竺
大島義昌,大島義昌
五藤存知,五藤存知
南次郎,南次郎
平忠度,平忠度
木村兵太郎,木村兵太郎
尾崎将司,尾崎將司
伊能嘉矩,伊能嘉矩
高橋伊望,高橋伊望
西郷頼母,西鄉賴母
鈴木敏夫,鈴木敏夫
井上成美,井上成美
窪之内英策,窪之內英策
ワールズ・エンド・ガールフレンド,World's·end·girlfriend
森赳,森赳
曽ヶ端準,曾端准
松方正義,松方正義
井浦新,井浦新
水野理紗,水野理紗
和田豊,和田豐
大久保忠世,大久保忠世
本多雄一,本多雄一
藤ヶ谷太輔,藤谷太輔
宮脇咲良,宮脇咲良
玉森裕太,玉森裕太
柏幸奈,柏幸奈
宇垣秀成,宇垣秀成
黒田清隆,黑田清隆
広瀬アリス,廣瀨愛麗絲
藤村大介・(野球),藤村大介
福本愛菜,福本愛菜
中島健人,中島健人
はるな愛,春菜愛
剛力彩芽,剛力彩芽
村山実,村山實
田中れいな,田中麗奈·(早安少女組)
大塚愛,大塚爱
佐々木禎子,佐佐木禎子
清少納言,清少納言
新郷重夫,新鄉重夫
大野耐一,大野耐一
平田典靖,平田典靖
橋本博且,橋本博且
弐瓶勉,貳瓶勉
亀梨和也,龜梨和也
山口勝平,山口勝平
あずまきよひこ,东清彦
小山田真,小山田真
ミヨシ・ウメキ,梅木三吉
菊地凛子,菊地凜子
持統天皇,持统天皇
初見良昭,初见良昭
永井雄一郎,永井雄一郎
大澤映二,大澤映二
金田宏,金田宏
水沢エレナ,水澤惠麗奈
AZUKI七,AZUKI七
佐倉綾音,佐仓绫音
希美まゆ,希美真由
水野信元,水野信元
松岡錠司,松冈锭司
石井琢朗,石井琢朗
三田紀房,三田紀房
中西香菜,中西香菜
有村架純,有村架純
三田麻央,三田麻央
風間俊介,風間俊介
阿波野秀幸,阿波野秀幸
鹿野優以,鹿野優以
佐藤隆太,佐藤隆太
松本若菜,松本若菜
永山絢斗,永山絢斗
石川数正,石川数正
水川潤,水川潤
光宗薫,光宗薰
甲斐谷忍,甲斐谷忍
黒田長礼,黑田長禮
御手洗冨士夫,御手洗富士夫
上田秋成,上田秋成
松方幸次郎,松方幸次郎
本因坊秀哉,本因坊秀哉
山田乙三,山田乙三
後藤文夫,後藤文夫
佐藤友亮,佐藤友亮
岡田啓介,岡田啟介
米内光政,米內光政
森田あゆみ,森田步美
種村有菜,種村有菜
文仁親王妃紀子,文仁親王妃紀子
Mana・(ミュージシャン),Mana
福澤諭吉,福泽谕吉
橘瑞超,橘瑞超
神功皇后,神功皇后
孝謙天皇,孝谦天皇
山崎直子・(宇宙飛行士),山崎直子
元明天皇,元明天皇
新垣里沙,新垣里沙
野口英世,野口英世
大久保利通,大久保利通
後冷泉天皇,後冷泉天皇
白瀬矗,白瀨矗
久明親王,久明親王
小松原道太郎,小松原道太郎
慈円,慈圓
平松邦夫,平松邦夫
後堀河天皇,后堀河天皇
古賀誠,古賀誠
六条天皇,六條天皇
森鷗外,森鷗外
新井敏弘,新井敏弘
手塚卓志,手塚卓志
文徳天皇,文德天皇
近藤浩治,近藤浩治
山崎拓,山崎拓
赤石光生,赤石光生
今村均,今村均
松村宗棍,武成達
西沢広義,西泽广义
鈴木貴男,铃木贵男
石原莞爾,石原莞尔
三浦建太郎,三浦建太郎
由比光衛,由比光衛
川崎希,川崎希
成田梨紗,成田梨紗
佐伯美香・(アイドル),佐伯美香·(艺人)
染谷将太,染谷将太
篠塚良雄,篠塚良雄
有栖川宮威仁親王,有栖川宮威仁親王
成瀬理沙,成瀨理沙
田中久重,田中久重
豊原功補,豐原功補
上坂すみれ,上坂堇
鈴木福,鈴木福
茶太,茶太
井伊直孝,井伊直孝
亀井絵里,龜井繪里
大谷育江,大谷育江
小澤マリア,小澤瑪麗亞
高木武雄,高木武雄
西尾維新,西尾維新
樹元オリエ,樹元織江
法然,法然
福山哲郎,福山哲郎
伊調馨,伊调馨
安藤美姫,安藤美姬
森喜朗,森喜朗
大津祐樹,大津祐樹
平塚らいてう,平塚雷鳥
高月彩良,高月彩良
峰幸代,峰幸代
武井保雄,武井保雄
武田観柳斎,武田觀柳齋
小林尊,小林尊
菊地秀行,菊地秀行
有賀幸作,有賀幸作
