Portugal,葡萄牙
Soutelo Mourisco,索特卢莫里什库
Vila Nova de Foz Côa,福什科阿新鎮
Brinches,布林谢什
Pinhel,皮涅爾
Santo Tirso,圣蒂尔苏
Vila Franca de Xira,希拉自由鎮
Loures,洛里什
Casa da Música,波多音樂廳
Seleção Portuguesa de Futebol Feminino,葡萄牙國家女子足球隊
Torres Vedras,托雷斯韋德拉什
Vila do Conde,孔迪镇
Maureles,毛雷利什
Lagares (Penafiel),拉加里什·(佩纳菲耶尔)
Rito moçárabe,摩爾阿拉伯禮
Areias (Barcelos),阿雷亚什·(巴塞卢什)
Nordeste (Açores),諾德什蒂·(亞速爾群島)
Lagoa (Açores),拉戈阿·(亞速爾群島)
Armamar,阿馬馬爾
Santa Maria da Feira,圣玛丽亚达费拉
Vales (Alfândega da Fé),瓦利什·(阿尔凡德加-达菲)
Talhas,塔利亚什
Lagoa (Macedo de Cavaleiros),拉戈阿·(马塞杜-迪卡瓦莱鲁什)
Murçós,穆尔索什
Sendim da Serra,森丁-达塞拉
Navalho,纳瓦柳
Silva (Miranda do Douro),锡尔瓦·(米兰达-杜多鲁)
Cuba (Portugal),庫巴·(葡萄牙)
Vila Flor,弗洛尔镇
Viseu,維塞烏
Cavalões,卡瓦隆伊什
Mértola,梅爾圖拉
Alfândega da Fé,阿爾凡德加達菲
Serpa,塞爾帕
Cabeceiras de Basto,卡貝塞拉什德巴什圖
Terroso,特罗苏
Anissó,阿尼索
Fafe,法菲
Vinhais (Portugal),维尼艾什
Antas (Vila Nova de Famalicão),安塔斯·(法马利康新镇)
Benavente,贝纳文蒂
Vila Verde (Felgueiras),韦尔迪镇·(费尔盖拉什)
Gil Vicente Futebol Clube,吉爾維森特足球俱樂部
Primeira Liga de 2010–11,葡萄牙足球超级联赛2010–2011赛季
Sagres (Vila do Bispo),萨格里什
Vila Chã de Braciosa,布拉西奥尚镇
Chacim,沙辛·(葡萄牙堂区)
Pombal (Carrazeda de Ansiães),蓬巴尔·(卡拉泽达-迪安西昂伊什)
Valverde (Alfândega da Fé),瓦尔韦尔迪·(阿尔凡德加-达菲)
Oeiras (Portugal),奥埃拉什
Santa Combinha,圣孔比尼亚
Vila Boa de Quires,基里什博阿镇
Constance,孔什坦西
Favões,法翁伊什
Vale de Prados,瓦莱-迪普拉杜什
Golfo de Cádis,加的斯湾
Lamego,拉梅古
Seleção Portuguesa de Futsal Masculino,葡萄牙国家五人制足球队
Castanheira (Mogadouro),卡什塔涅拉·(莫加多鲁)
Teatro Nacional D. Maria II,玛丽亚二世国家剧院
Portimão,波爾蒂芒
Grupo Desportivo de Chaves,查維斯體育會
Povoação (Açores),波瓦桑·(亞速爾群島)
Ribeira Grande (Açores),大里貝拉
Linha de Alta Velocidade Lisboa–Madrid,馬德里—埃斯特雷馬杜拉高速鐵路
Angueira,安盖拉
Soure (Portugal),索雷·(葡萄牙)
Cabrela,卡布雷拉
Caramos,卡拉穆什
Al-Andalus,安达卢斯
Ansiães,安西昂什
Ansião,安西昂
Anta (Espinho),安塔·(阿威罗区)
Salsas,萨尔萨斯
Trindade (Vila Flor),特林达迪·(费洛尔镇)
Sacavém,萨卡文
Português europeu,歐洲葡萄牙語
Sátão,薩唐
Coligação Democrática Unitária,统一民主联盟
Penela,佩內拉
Caravelas (Mirandela),卡拉韦拉什·(米兰德拉)
Cabanelas (Vila Verde),卡巴内拉什·(韦迪镇)
São Martinho do Peso,圣马蒂纽-杜佩苏
Poiares (Freixo de Espada à Cinta),波亚里什·(弗雷舒-德埃什帕达阿辛塔)
Rio de Galinhas,里奥-迪加利尼亚什
Lamalonga,拉马隆加
Soalhães,索阿良伊什
Cabeça Boa,卡贝萨博阿
Fornos (Marco de Canaveses),福尔努什·(马尔库-迪卡纳韦西什)
Montanha do Pico,皮库山
Sezulfe,塞祖尔菲
Travanca (Mogadouro),特拉万卡·(莫加多鲁)
Talhinhas,塔利尼亚什
Vale da Porca,瓦莱达波卡
Valverde (Mirandela),瓦尔韦尔迪·(米兰德拉)
Raimonda,赖蒙达
Vilar de Lomba,维拉尔德隆巴
Freixeda,弗雷谢达
Cabeçudos,卡贝苏杜什
Podence,波登西
Pinhal do Norte,北皮尼亚尔
Cabeça Gorda,卡贝萨戈尔达
Palaçoulo,帕拉索卢
Passos (Mirandela),帕苏什·(米兰德拉)
Izeda,伊泽达
Faílde,法伊尔迪
Luso,卢苏
Urrós (Mogadouro),乌罗什·(莫加多鲁)
Carrazedo (Bragança),卡拉泽杜·(布拉干萨)
França (Bragança),弗朗萨·(布拉干萨)
Sousa (Felgueiras),索萨·(费尔盖拉什)
Frazão,弗拉藏
Frechas,弗雷沙斯
Sport Lisboa e Benfica,里斯本與本菲卡體育
Portugal nos Jogos Olímpicos de Verão de 2008,2008年夏季奥林匹克运动会葡萄牙代表团
Portugal nos Jogos Olímpicos de Verão de 2012,2012年夏季奧林匹克運動會葡萄牙代表團
Irmãos das Escolas Cristãs,喇沙會
Condeixa-a-Nova,新孔代沙
Movimento das Forças Armadas,武装部队运动
Mondim de Basto,蒙丁迪巴什圖
Loulé,洛萊
Lavandeira (Carrazeda de Ansiães),拉万代拉·(卡拉泽达-迪安西昂伊什)
Castro de Avelãs,阿韦朗什堡
Pereiras-Gare,佩雷拉什-加里
Moita,莫伊塔
Fonte de Angeão,丰蒂-迪安热昂
Cabreiros (Braga),卡布雷鲁斯·(布拉加)
Urrô (Penafiel),乌罗·(佩纳菲耶尔)
MEO Arena,阿尔蒂斯竞技场
Palácio de São Bento,圣本笃宫
Lista de instituições de ensino superior de Portugal,葡萄牙大学列表
Sobretâmega,索布雷塔梅加
Padrão (descobrimentos),發現碑
Universidade dos Açores,亞速爾大學
Primeira Liga de 2008–09,2008年至2009年葡萄牙足球超级联赛
Futebol Clube do Porto,波尔图足球俱乐部
Final da Liga Europa da UEFA de 2010–11,2011年歐霸盃決賽
Estação Ferroviária de Porto - São Bento,圣本笃车站
Santo António de Vagos,圣安东尼奥-迪瓦古什
Soutelo (Mogadouro),索特卢·(莫加多鲁)
Seixezelo,塞谢泽卢
Eleições legislativas portuguesas de 2011,2011年葡萄牙立法選舉
Vila Boa do Bispo,比什普博阿镇
Campeonato Mundial de Esgrima de 1947,1947年世界击剑锦标赛
São Miguel de Lousada,圣米格尔-迪洛萨达
Magrelos,马格雷卢什
Fornos (Freixo de Espada à Cinta),福尔努什·(弗雷舒-德埃什帕达阿辛塔)
Penha Longa,佩尼亚隆加
Tabuado,塔布阿杜
Várzea da Ovelha e Aliviada,瓦尔泽亚-达奥韦利亚和阿利维亚达
Folhada,福利亚达
Fundão (Portugal),豐當·(葡萄牙)
Friande (Felgueiras),弗里安迪·(费尔盖拉什)
Fresulfe,弗雷苏尔菲
Freixo (Marco de Canaveses),弗雷舒·(马尔库-迪卡纳韦西什)
Vale de Frades,瓦莱-迪弗拉迪什
Final da Taça dos Clubes Campeões Europeus de 1967–68,1968年欧洲冠军杯决赛
Pias (Serpa),皮亚什
Força Aérea Portuguesa,葡萄牙空军
Revinhade,雷维尼亚迪
Cete,塞蒂
Paredes de Viadores,帕雷迪什-迪维亚多里什
Pias (Lousada),皮亚什·(洛萨达)
Sanguedo,桑格杜
Toutosa,托托萨
Almodôvar,阿爾莫多瓦
Felgueiras,费尔盖拉什
Várzea do Douro,瓦尔泽亚-杜多鲁
Sousela,索塞拉
Rosém,罗森·(葡萄牙堂区)
Torrão (Marco de Canaveses),托朗·(马尔库-迪卡纳韦西什)
Trigaches,特里加希什
Parque Nacional da Peneda-Gerês,佩內達-格雷斯國家公園
Convento do Carmo (Lisboa),卡尔莫修道院
Mosteiro de Alcobaça,阿尔科巴萨修道院
Portel (Portugal),波特爾·(葡萄牙)
Graciosa,格拉西奧薩島
Paredes (Penafiel),圣米格尔-迪帕雷迪什
Aljustrel,阿爾茹什特雷爾
Final da Taça dos Clubes Campeões Europeus de 1986–87,1987年欧洲冠军杯决赛
Peniche,佩尼謝
Rio Maior,里奧馬約爾
Candoso,坎多索
Montouto,蒙托图
Caires,凯雷斯
Fânzeres,凡泽里什
Instituto Camões,卡蒙斯學院
Palácio Nacional da Ajuda,阿茹达宫
Jardim da Praça do Império,帝国广场·(里斯本)
São Pedro do Sul (Portugal),南聖佩德羅·(葡萄牙)
Armada Inglesa,英国无敌舰队
Zambujeira do Mar,赞布热拉-杜马尔
Elétricos de Lisboa,里斯本電車
Moedas de euro portuguesas,葡萄牙的歐元硬幣
Carvalho de Rei,卡瓦柳-迪雷
Campeonato Europeu de Futebol de 2004/Grupo A,2004年歐洲國家盃A組
São Simão (Nisa),圣西芒·(尼萨)
Partido Social Democrata (Portugal),社會民主黨·(葡萄牙)
Rebordelo (Vinhais),雷博尔德卢·(维尼艾什)
Aeroporto Francisco Sá Carneiro,波尔图机场
Ponta do Sol (Madeira),蓬塔杜索爾·(馬德拉)
Nevogilde (Lousada),内沃吉尔迪·(洛萨达)
Monte (Murtosa),蒙蒂·(穆尔托萨)
Vilar de Ossos,维拉尔-迪奥苏什
Paçó,帕索·(葡萄牙)
Lavra,拉夫拉
Campo (Valongo),坎普·(瓦隆古)
Calendário (Vila Nova de Famalicão),卡伦达里奥·(法马利康新镇)
Pinheiro Novo,新皮涅鲁
Edral,埃德拉尔
Touguinha,托吉尼亚
Moimenta (Vinhais),莫伊门塔·(维尼艾什)
Mangualde,曼瓜爾迪
Rabal,拉巴尔·(葡萄牙堂区)
Palácio Nacional de Mafra,马夫拉宫
Gouveia (Portugal),戈維亞
Paços de Ferreira,帕科斯費雷拉
Supercopa da UEFA de 2003,2003年欧洲超级杯
Torno (Lousada),托尔努
Mirandela (freguesia),米兰德拉·(葡萄牙堂区)
Salvaterra de Magos,薩爾瓦特拉-迪馬古什
Calvos (Póvoa de Lanhoso),卡尔沃斯
Cambeses (Barcelos),坎贝塞斯·(巴塞卢什)
Calvelhe,卡尔韦利
Lordelo (Paredes),圣萨尔瓦多-迪洛尔德卢
Sande (Marco de Canaveses),桑迪·(马尔库-迪卡纳韦塞什)
Santo Ildefonso,圣伊尔德丰苏
São Cosme (Gondomar),圣科斯米
Nogueira (Bragança),诺盖拉·(布拉干萨)
Regilde,雷吉尔迪
Ribalonga (Carrazeda de Ansiães),里巴隆加·(卡拉泽达-迪安西昂伊什)
União Nacional,國民聯盟·(葡萄牙)
Alcochete,阿爾科謝蒂
Antes,安蒂什
Caminha,卡米尼亞·(維亞納堡區)
Corvo (Açores),科爾武島
Perafita,佩拉菲塔·(葡萄牙堂区)
Genísio,热尼西奥
Chiado,基亚多
Valongo,瓦隆古
Cantelães,坎特朗伊什
Candedo (Vinhais),坎德杜·(维尼艾什)
Canhestros,卡内斯特鲁什
Canidelo (Vila do Conde),卡尼德卢·(孔迪镇)
Estádio Municipal de Aveiro,阿威羅市政體育場
Carapeços,卡拉佩苏什
Santa Clara-a-Velha,旧圣克拉拉
Instituto Português do Mar e da Atmosfera,葡萄牙海洋與大氣研究所
Touguinhó,托吉尼奥
Santo Estêvão de Barrosas,圣埃斯特旺-迪巴罗萨什
Serzedo (Vila Nova de Gaia),塞尔泽杜·(加亚新城)
Gião (Vila do Conde),吉昂·(孔迪镇)
Batalha do Carvalho d'Este,布拉加之战
Sistema de Informações da República Portuguesa,葡萄牙共和國情報系統
Sermonde,塞尔蒙迪
São Salvador (Mirandela),圣萨尔瓦多·(米兰德拉)
Campos (Póvoa de Lanhoso),坎普斯·(波瓦-迪拉尼奧蘇)
Campos (Vieira do Minho),坎普斯·(米尼奥河畔维埃拉)
Faro,法鲁
Cano (Sousel),卡努·(索西尔)
A Portuguesa,葡萄牙人·(國歌)
Barco (Guimarães),巴科·(吉马良斯)
Balugães,巴卢冈伊什
Gondalães,贡达朗伊什
Sport Clube Freamunde,費蒙特體育會
Campanhã,坎帕尼扬
Seleção Portuguesa de Basquetebol Masculino,葡萄牙國家男子籃球隊
Guerra Colonial Portuguesa,葡萄牙殖民地戰爭
Campo do Gerês,坎普-杜熱雷什
Campo (Barcelos),坎普·(巴塞卢什)
Campo de Víboras,坎普-迪维博拉什
Partido Nacional Republicano (Portugal),葡萄牙国家共和党
Figueiras,菲盖拉什
Lousa (Torre de Moncorvo),洛萨·(葡萄牙堂区)
Vila Nova de Cerveira,塞爾韋拉新鎮
Corujas,科鲁雅什
Vilar do Pinheiro,维拉尔-杜皮涅鲁
Cepelos (Vale de Cambra),塞佩卢什·(瓦莱-迪坎布拉)
Lufrei,卢弗雷
Meinedo,梅内杜
Santa Maria de Marvão,圣玛丽亚-迪马尔旺
Caniçada,卡尼萨达
Sobrado (Valongo),索布拉杜·(瓦尔隆古)
Almeida,阿爾梅達·(葡萄牙)
Monchique,蒙希克
Portugália Airlines,葡萄牙利亞航空
Polícia Internacional e de Defesa do Estado,國家安全警備總署
Carragosa,卡拉戈萨
Carrazedo (Amares),卡拉泽杜·(阿马里什)
Carreira (Santo Tirso),卡雷拉·(圣蒂尔苏)
Gostei,戈什泰
Carvalhal (Barcelos),卡瓦利亚尔·(巴塞卢什)
Elevador de Santa Justa,圣朱斯塔升降机
Primeira República Portuguesa,葡萄牙第一共和國
Clube Desportivo de Mafra,馬夫拉體育會
White Airways,白色航空
EuroAtlantic Airways,歐洲大西洋航空
Portimonense Sporting Clube,樸迪莫倫斯體育會
Sporting Clube Olhanense,奥良人体育俱乐部
Tomar,托馬爾
Rio Ave Futebol Clube,里奧艾維足球俱樂部
Apúlia (Esposende),阿普利亚·(葡萄牙)
Carvalhosa,卡尔瓦略萨
Carvalho de Egas,卡瓦柳-迪埃加什
Câmara de Lobos,卡馬拉-德洛布什
Aqueduto das Águas Livres,阿瓜里弗渡槽
Leixões Sport Club,歷索斯體育俱樂部
Portalegre (Portugal),波塔萊格雷
Praça dos Restauradores,光复广场
Carviçais,卡尔维赛什
Carção,卡尔桑·(葡萄牙堂区)
Taça da Liga,葡萄牙聯賽盃
Suçães,苏桑伊什
Pombal (Portugal),蓬巴爾·(葡萄牙)
Diocese de Coimbra,天主教科英布拉教區
Carvalhas,卡瓦利亚斯
Cabo da Roca,罗卡角
Guimarães,基馬拉斯
Grijó de Parada,格里若-迪帕拉达
Grijó (Vila Nova de Gaia),格里若·(加亚新镇)
Estremoz,埃什特雷莫什
Lustosa,卢什托萨
Porto de Leixões,莱索斯港
Guifões,吉丰伊什
Guilhabreu,吉利亚布雷乌
Guimarei,吉马雷伊
Guidões,吉东伊什
São Nicolau (Marco de Canaveses),圣尼古劳·(马尔库-迪卡纳韦西什)
Universidade de Évora,埃武拉大学
Refontoura,雷丰托拉
Autódromo do Estoril,埃什托里尔赛道
Circuito da Boavista,博阿维什塔赛道
Outeiro (Bragança),奥泰鲁·(布拉干萨)
Açoreira,阿索雷拉
Valongo (freguesia),瓦隆古·(葡萄牙堂区)
Fornos (Santa Maria da Feira),福尔努什·(圣玛丽亚-达费拉)
Lombo (Macedo de Cavaleiros),隆布·(马塞杜-迪卡瓦莱鲁什)
Várzea (Amarante),瓦尔泽亚·(阿马兰蒂)
Paredes,帕雷德斯
Ventozelo,文托泽卢
Gavião (freguesia),加维昂·(波塔莱格雷)
Silvalde,锡尔瓦尔迪
Arcas (Macedo de Cavaleiros),阿尔卡什·(马塞杜-迪卡瓦莱鲁什)
Mogadouro (freguesia),莫加多鲁·(葡萄牙堂区)
Rede Ferroviária de Alta Velocidade,葡萄牙高速鐵路
Azambuja,阿贊布雅
Grupo Desportivo Estoril Praia,埃斯托里爾足球俱樂部
Sardoal,薩多阿爾
Castelo de São Jorge,圣若热城堡
Sendim (Felgueiras),森丁·(费尔盖拉什)
Universidade Católica Portuguesa,葡萄牙天主教大學
Carreira (Vila Nova de Famalicão),卡雷拉·(法马利康新镇)
São Luís (Odemira),圣路易斯·(葡萄牙堂区)
Central Tejo,特茹发电中心
Rebordelo (Amarante),雷博尔德卢·(阿马兰蒂)
Parque Natural do Sudoeste Alentejano e Costa Vicentina,西南阿连特茹和文森汀海岸自然公园
Igreja de São Francisco (Porto),圣方济各堂·(波尔图)
Vila Chã (Vila do Conde),尚镇·(孔迪镇)
Praça D. Pedro IV,罗西乌广场
Castanheira do Vouga,卡什塔涅拉-杜沃加
Ponte de D. Maria Pia,瑪麗亞·皮亞橋
Castedo (Torre de Moncorvo),卡什特杜·(托里-迪蒙科尔武)
Castelo dos Mouros (Sintra),摩尔人城堡·(辛特拉)
Castrelos,卡斯特雷卢什
Castelões de Cepeda,卡斯特隆伊什-迪塞佩达
Casével (Castro Verde),卡塞韦尔
Várzea (Felgueiras),瓦尔泽亚·(费尔盖拉什)
Praça Afonso de Albuquerque,阿方索·德·阿尔布克尔克广场
Urros,乌罗什·(托里-迪蒙科尔武)
Vila Boa (Mirandela),博阿镇·(米兰德拉)
Celeirós (Braga),塞莱罗什·(布拉加)
Cedofeita,塞多费塔
Caçarelhos,卡萨雷柳什
Celas (Vinhais),塞拉什
Mora (Portugal),莫拉·(埃武拉區)
Mosteiro da Batalha,巴塔利亚修道院
Estação Ferroviária de Coimbra,科英布拉車站
Santa Comba de Rossas,圣孔巴-迪罗萨什
Rio Mau (Penafiel),里奥毛·(佩纳菲耶尔)
Arco da Rua Augusta,奥古斯塔街·(里斯本)
Aguiar da Beira,阿吉亞爾達貝拉
Arco de Baúlhe,阿尔库-迪鲍利
Setúbal,塞图巴尔
Arcozelo (Vila Nova de Gaia),阿尔科泽卢
Ardegão (Fafe),阿尔德冈·(法菲)
Arcozelo (Barcelos),阿尔科泽卢·(巴塞卢什)
Arcos (Braga),阿克斯·(布拉加)
Partido Ecologista "Os Verdes",生态主义党“绿党”
Sé Nova de Coimbra,科英布拉新主教座堂
Cerejais,塞雷雅伊什
Cesar (Portugal),塞萨尔·(阿威罗区)
Central Tejo (conjunto arquitetónico),特茹中心建築群
CDS – Partido Popular,CDS—人民党
Diocese de Viseu,天主教維塞烏教區
Cervães,塞旺伊什
Modelos (Paços de Ferreira),莫德卢什
São Tomé de Negrelos,圣多美-迪内格雷卢什
Mouriz,莫里什
Santa Cruz do Bispo,圣克鲁什-杜比斯普
Milhundos,米利温杜什
Gastronomia de Portugal,葡萄牙菜
Primeira Liga,葡萄牙足球超级联赛
Fornos de Algodres,福爾努什迪阿爾戈德里什
Arentim,阿伦廷
Figueira de Castelo Rodrigo,菲蓋拉迪卡斯特盧羅德里古
Manteigas,曼泰加什
Alcanena,阿尔卡内纳
Aljezur,阿爾熱祖爾
Carreira (Barcelos),卡雷拉·(巴塞卢什)
Saboia (Odemira),萨博亚
Cristelo (Paredes),克里斯特卢·(帕雷迪什)
Lourinhã,洛里尼揚
Castro Marim,马林堡
Algarve Cup,阿爾加維盃
Grândola,格蘭杜拉
Chamoim,沙莫因
Aeroporto Cristiano Ronaldo,馬德拉基斯坦奴·朗拿度國際機場
Desaparecimento de Madeleine McCann,馬德琳·麥卡恩失蹤事件
Penafiel,佩納菲耶爾
Gondar (Amarante),贡达尔·(阿马兰蒂)
Gondomar,贡多马尔·(葡萄牙)
Alfama,阿尔法玛
Areias de Vilar,阿雷亚什-迪维拉尔
Areias (Santo Tirso),阿雷亚什·(圣蒂尔苏)
Ovos moles de Aveiro,阿威罗软蛋
Lagoa (Algarve),拉戈阿·(阿爾加維)
Estádio D. Afonso Henriques,阿方索·亨里克斯球場
Estádio Dr. Magalhães Pessoa,佩索阿體育場
Horta da Vilariça,奥尔塔-达维拉里萨
Lapa (Lisboa),拉帕
Seleção Portuguesa de Futebol Sub-21,葡萄牙21歲以下國家足球隊
Implantação da República Portuguesa,1910年10月5日革命
Évora,埃武拉
Odivelas (Ferreira do Alentejo),奥迪韦拉什
Panteão Nacional,国家先贤祠·(里斯本)
Estádio do Bessa Século XXI,贝萨球场
Vilar Seco (Vimioso),维拉尔塞科·(维米奥索)
Picote,皮科特
Batalha do Cabo de São Vicente (1780),聖文生角海戰·(1780年)
Portugueses,葡萄牙人
Praia da Marinha,海军海滩
Estádio Cidade de Coimbra,科英布拉市政球場
Vila Ruiva (Cuba),鲁伊瓦镇
Amedo,阿梅多
Lista de monarcas de Portugal,葡萄牙君主列表
"Dia de Portugal, de Camões e das Comunidades Portuguesas",葡萄牙日、賈梅士日暨葡僑日
Zedes,泽德斯
Fronteira (Portugal),弗龍泰拉·(葡萄牙)
Pinelo,皮内洛
Estádio Algarve,阿尔加夫球场
Paradela (Miranda do Douro),帕拉德拉·(米兰达-杜多鲁)
Argivai,阿尔吉瓦伊
Cabeça Santa,卡贝萨桑塔
Hispânia,西班牙·(罗马行省)
Azões,阿宗伊什
Rádio e Televisão de Portugal,葡萄牙廣播電視台
Região Vinhateira do Alto Douro,上杜羅葡萄酒產區
Sé de Faro,法魯主教座堂
Trofa,特罗法
Lousada,洛萨达
Mafra (Portugal),马夫拉
Alenquer (Portugal),阿倫克爾·(葡萄牙)
Tábua,塔布阿
São Brás de Alportel,聖布拉什迪阿爾波特爾
Final da Taça dos Clubes Campeões Europeus de 1962-63,1963年欧洲冠军杯决赛
Palácio Nacional de Queluz,克盧什宮
Final da Taça dos Clubes Campeões Europeus de 1964–65,1965年欧洲冠军杯决赛
Chavão,沙旺
Mamarrosa,马马罗萨
Santiago de Riba-Ul,圣地亚哥-迪里巴-乌尔
Bustos,布斯图什
Forças Armadas de Portugal,葡萄牙武装部队
Paredes do Bairro,帕雷迪什-杜拜鲁
Campeonato Português de Futebol 2006–2007,2006年至2007年葡萄牙足球超級聯賽
Nevogilde (Porto),内沃吉尔迪·(波尔图)
Meixomil,梅绍米尔
São Jomil,圣若米尔
Laundos,拉温杜什
Monsanto (Idanha-a-Nova),蒙桑托
Foz do Sousa,福斯杜索萨
Marco de Canaveses,馬爾科-德卡納維澤斯
Paradinha Nova,新帕拉迪尼亚
Vinho do Porto,波特酒
Sintra,辛特拉
Lista de cidades em Portugal,葡萄牙城鎮列表
Amadora,阿马多拉
Merino,美利奴羊
Argozelo,阿尔戈泽卢
Sé Catedral de Évora,埃武拉主教座堂
Alcobaça (Portugal),阿爾科巴薩
Bairro Alto,里斯本上城
Castelões (Penafiel),卡斯特隆伊什
Marvão,馬爾旺
Olival (Vila Nova de Gaia),奥利瓦尔·(加亚新城)
Mêda,梅達·(瓜達區)
Oceanário de Lisboa,里斯本海洋水族馆
Sabugueiro (Arraiolos),萨布盖鲁
Ilha do Faial,法亞爾島
Horta,奧爾塔·(亞速爾群島)
Ponte de Sor,蓬蒂-迪索爾
Oliveira do Hospital,奧利韋拉杜奧什皮塔爾
Loureiro (Oliveira de Azeméis),洛雷鲁
Chorense,绍伦塞
Alvarenga (Lousada),阿尔瓦伦加·(洛萨达)
Santo Aleixo (Monforte),圣阿莱舒
Eixo (Aveiro),埃舒·(阿威罗)
Travanca (Oliveira de Azeméis),特拉万卡·(葡萄牙)
Oliveira de Azeméis (freguesia),奥利韦拉-迪阿泽梅什·(葡萄牙堂区)
Economia de Portugal,葡萄牙經濟
Sismo de Lisboa de 1755,1755年里斯本大地震
Fátima,花地瑪
Vila Nova de Gaia,加亚新城
