Warsaw,ワルシャワ
Żory,ジョルィ
Zgierz,ズギェシ
Zakopane,ザコパネ
Żagań,ジャガン
Sanok,サノク
Rysy,リスィ山
Puławy,プワヴィ
Pruszków,プルシュクフ
Wieliczka,ヴィエリチカ
Giżycko,ギジツコ
Dąbrowa Tarnowska,ドンブロヴァ・タルノフスカ
Łuków,ウクフ
Końskowola,コィンスコヴォラ
Trojany,トロヤニ
Sochaczew,ソハチェフ
Skierniewice,スキェルニェヴィツェ
Ochota,オホタ
Bochotnica,ボホトニツァ
Bochnia,ボフニャ
Żoliborz,ジョリボルシェ
Europe,ヨーロッパ
John Paul II International Airport Kraków–Balice,バリツェ空港
Cieszyn,チェシン
Chełmno,ヘウムノ
Brzeg Dolny,ブジェク・ドルヌィ
Brzeg,ブジェク
Bolesławiec,ブンツラウ
Goleniów,ゴレニュフ
Koło,コウォ
Kłobuck,クウォブツク
Nysa,ニサ
Myszków,ムィシュクフ
Mikołów,ミコウフ
Starogard Gdański,スタロガルド・グダニスキ
Lubliniec,ルブリニェツ
Lębork,レンボルク
Kostrzyn nad Odrą,コストシン・ナド・オドロン
Piekary Śląskie,ピェカルィ・シロンスキェ
Ostróda,オストルダ
Wejherowo,ヴェイヘロヴォ
Wadowice,ヴァドヴィツェ
Ustka,ウストカ
Trzebiatów,トシェビャトゥフ
Tarnowskie Góry,タルノフスキェ・グルィ
Szamotuły,シャモトゥウィ
Żywiec,ジヴィエツ
Zgorzelec,ズゴジェレツ
Reszel,レシェル
Dziecinów,ヂェチヌフ
Chrząchów,フションフフ
Łapy,ワピ
Tomaszów Lubelski,トマシュフ・ルベルスキ
Szczawnica,シュチャヴニツァ
Nidzica,ニジツァ
Mszczonów,ムシチョヌフ
Mrągowo,ムロンゴヴォ
Babsk,バプスク
Przemyśl,プシェムィシル
Katowice,カトヴィツェ
Toruń,トルン
Powiat wodzisławski,ヴォジスワフ郡
Suwałki,スヴァウキ
Kielce,キェルツェ
Piekary Śląskie,ピェカルィ・シロンスキェ
Lublin,ルブリン
Sosnowiec,ソスノヴィエツ
Olsztyn,オルシュティン
Bieruń,ビェルニ
Biała,ビャワ・プルドニツカ
Chodzież,ホジェシュ
Boguszów-Gorce,ボグシュフ＝ゴルツェ
Hel,ヘル
Knurów,クヌルフ
Kępno,ケンプノ
Kalwaria Zebrzydowska,カルヴァリア・ゼブジトフスカ
Międzychód,ミェンヅィフト
Lędziny,レンジニ
Łęczyca,ウェンチツァ
Łazy,ワジ
Westerplatte,ヴェステルプラッテ
Wąbrzeźno,ヴォンブジェジノ
Trzebinia,トシェビニャ
Sulechów,スレフフ
Wojkowice,ヴォイコヴィツェ
Kraków,クラクフ
Poznań,ポズナン
Stadion Miejski,ヴロツワフ市立競技場
Rembertów,レンベルトゥフ
Żelazowa Wola,ジェラゾヴァ・ヴォラ
Majdanek concentration camp,マイダネク
Terespol,テレスポル
Olsztyn Airport,オルシュティン
Usedom Island,ウーゼドム島
Imielin,イミェリン
Jelcz,イェルチ社
Sławków,スワフクフ
Rzepin,ジェピン
Płaszów,クラクフ・プワシュフ強制収容所
Górnik Zabrze,グールニク・ザブジェ
