André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Alejandro González Iñárritu,アレハンドロ・ゴンサレス・イニャリトゥ
Ricardo Rodríguez de la Vega,リカルド・ロドリゲス
Moisés Solana Arciniega,モイセス・ソラーナ
Carlos Vela,カルロス・ベラ
Paul Kirchhoff,パウル・キルヒホフ
Mathias Goeritz,マティアス・ゲーリッツ
Paulina Rubio,パウリナ・ルビオ
Yolanda Ramírez,ヨラ・ラミレス
Felipe Calderón,フェリペ・カルデロン
Felipe Villanueva Gutiérrez,フェリペ・ビリャヌエバ
Silvestre Revueltas,シルベストレ・レブエルタス
Luis Hernández,ルイス・エルナンデス
Laura Sánchez Soto,ラウラ・サンチェス
Elizabeth Catlett,エリザベス・キャトレット
Mariano Arista,マリアノ・アリスタ
Saturnino Herrán,サトゥルニノ・エラン
Benito Juárez,ベニート・フアレス
Jorge Ibargüengoitia,ホルヘ・イバルグエンゴイティア
Emiliano Zapata,エミリアーノ・サパタ
Luis Nishizawa Flores,ルイス・ニシサワ
Francisco Zúñiga,フランシスコ・スニガ
Nery Castillo,ネリー・カスティージョ
Alan Stone,アラン・ストーン
Luis Donaldo Colosio,ルイス・ドナルド・コロシオ
Lupe Pintor,ルペ・ピントール
Sergio Pérez,セルジオ・ペレス
Raúl Rojas,ラウル・ロハス
Metro,ディアマンテ・アスル
Alfonso García Robles,アルフォンソ・ガルシア・ロブレス
Anthony Quinn,アンソニー・クイン
Patricia Espinosa Cantellano,パトリシア・エスピノサ
Octavio Ocampo,オクタビオ・オカンポ
Miguel de Icaza Amozorrutia,ミゲル・デ・イカザ
Aarón Galindo,アーロン・ガリンド
Cuauhtémoc Blanco,クアウテモク・ブランコ
Carlos Salcido,カルロス・サルシド
Álvaro Obregón,アルバロ・オブレゴン
Óscar de la Hoya,オスカー・デ・ラ・ホーヤ
Miguel de la Madrid Hurtado,ミゲル・デ・ラ・マドリード・ウルタード
Lázaro Cárdenas,ラサロ・カルデナス
Max Aub,マクス・アウブ
Olivia Harrison,オリヴィア・ハリスン
Carlton Cuse,カールトン・キューズ
Comandanta Ramona,ラモナ司令官
Sandra Cisneros,サンドラ・シスネロス
Lola Beltrán,ローラ・ベルトラン
Óscar Valdez,オスカー・バルデス
Edward James Olmos,エドワード・ジェームズ・オルモス
Enrique Peña Nieto,エンリケ・ペーニャ・ニエト
Francisco Javier Rodríguez Pineda,フランシスコ・ハビエル・ロドリゲス
Oscar Pérez Rojas,オスカル・ペレス・ロハス
Horacio López Salgado,オラシオ・ロペス・サルガド
Oswaldo Sánchez,オスワルド・サンチェス
Luis Herrera de la Fuente,ルイス・エレラ・デ・ラ・フエンテ
Paris Pişmiş,パリス・ピスミス
Ernesto Zedillo,エルネスト・セディージョ
Victoriano Huerta,ビクトリアーノ・ウエルタ
Vikki Carr,ヴィッキー・カー
Aarón Padilla Gutiérrez,アーロン・パディジャ
Filippa Giordano,フィリッパ・ジョルダーノ
Adam McKay,アダム・マッケイ
Pedro Ramírez Vázquez,ペドロ・ラミレス・バスケス
Vicente Fernández,ヴィセンテ・フェルナンデス
Salvador de Iturbide y Marzán,サルバドル・デ・イトゥルビデ・イ・マルサン
Alberto Del Rio,アルベルト・デル・リオ
María Santos Gorrostieta Salazar,マリア・ゴロスティエタ
Carlos Chávez,カルロス・チャベス
Luis de la Fuente y Hoyos,ルイス・デ・ラ・フエンテ・イ・オジョス
Carlos López Moctezuma,カルロス・ロペス・モクテズマ
Kitten Natividad,キトゥン・ナティビダッド
María del Pilar Roldán,ピラール・ロルダン
El Zorro,怪傑ゾロ
Sabina Berman,サビーナ・バーマン
Verónica Segura,ヴェロニカ・セグラ
María Sabina,マリア・サビーナ
Beatriz Paredes Rangel,ベアトリス・パレデス・ランヘル
Ignacio Comonfort,イグナシオ・コモンフォルト
Mariana Levy,マリアナ・レヴィ
Luis Alberto Urrea,ルイス・アルベルト・ウレア
Benito Archundia,ベニート・アルチュンディア
Maite Perroni,マイテ・ポローニ
Julieta Venegas,フリエッタ・ベネガス
César Millán,シーザー・ミラン
Eduardo Hernández Moncada,エドゥアルド・エルナンデス＝モンカーダ
Mónica Ocampo,モニカ・オカンポ
Gloria Marín,グロリア・マリン
Mariano Paredes y Arrillaga,マリアノ・パレーデス・アリリャガ
Carlos Gallardo,カルロス・ガラルドー
Belinda,ベリンダ
Consuelo Velázquez,コンスエロ・ベラスケス
Mario Van Peebles,マリオ・ヴァン・ピーブルズ
Sinha,アントニオ・ナエルソン
John Sutter,ジョン・サッター
Salma Hayek,サルマ・ハエック
Angélica María,アンジェリカ・マリアア
Jonny Magallón,ホセ・ジョニー・マガジョン
Alberto Medina,アルベルト・メディナ
Hubertus von Hohenlohe,フーベルトゥス・フォン・ホーエンローエ
Abelardo L. Rodríguez,アベラルド・ロドリゲス
Libertad Lamarque,リベルタ・ラマルケ
Ultiminio Ramos,シュガー・ラモス
Guillermo Ochoa,ギジェルモ・オチョア
Francisco Ignacio Madero González,フランシスコ・マデロ
Guillermo del Toro,ギレルモ・デル・トロ
Leonora Carrington,レオノーラ・カリントン
Laura Harring,ローラ・ハリング
Jacqueline Bracamontes,ジャクリーン・ブラカモンツ
Alex García,アレックス・ガルシア
Marco Antonio Rodríguez Moreno,マルコ・ロドリゲス
Jesús Eduardo Zavala,ヘスス・サバラ
Demián Bichir,デミアン・ビチル
Miguel Miramón,ミゲル・ミラモン
Claudio Suárez,クラウディオ・スアレス
Ana Gabriela Guevara,アナ・ゲバラ
Rolando Villazón,ローランド・ヴィラゾン
Carlos Zárate Serna,カルロス・サラテ
Adolfo de la Huerta,アドルフォ・デ・ラ・ウエルタ
Arturo Rosenblueth Stearns,アルトゥーロ・ローゼンブリュート
Dolores del Río,ドロレス・デル・リオ
Agustín I de México,アグスティン・デ・イトゥルビデ
Amado Carrillo Fuentes,アマド・カリージョ・フエンテス
Amado Nervo,アマド・ネルボ
Leticia Calderón,レティシア・カルデロン
Carmen Boullosa,カーメン・ボールロサ
Maribel Domínguez,マリベル・ドミンゲス
Carlos Prieto,カルロス・プリエト
Carlos Loret de Mola Mediz,カルロス・ロレト・デ・モラ・メディス
Mauricio Islas,マウリシオ・イスラス
Manuel Gómez Pedraza,マヌエル・ゴメス・ペドラサ
Rodolfo de Anda,ロドルフォ・デ・アンダ
Oribe Peralta,オリベ・ペラルタ
Ernesto Canto,エルネスト・カント
Lola Álvarez Bravo,ローラ・アルバレジ・ブラボー
Elpidia Carrillo,エルピディア・カリロ
Julia Pastrana,ジュリア・パストラーナ
Luis Bagarran,ルイス・バラガン
Joaquín Guzmán Loera,ホアキン・グスマン
Edgar Castillo,エドガル・カスティージョ
Cecilia Suárez,セシリア・スアレズ
Valentino Lanús,ヴァレンティノ・ラヌース
Bárbara Mori,バルバラ・モリ
Nailea Norvind,ナイルレイ・ノーヴァインド
Mario Lavista,マリオ・ラビスタ
Rubén Olivares,ルーベン・オリバレス
Juan Álvarez Hurtado,フアン・アルバレス
Juventino Rosas Cadenas,フベンティーノ・ローサス
Marco Fabián de la Mora,マルコ・ファビアン
Elsa Cárdenas,エルザ・カルデナス
Enrique Meza,エンリケ・メサ
Luis Miguel,ルイス・ミゲル
Yadhira Carrillo,ヤディラ・カリロ
Danna Paola,ダンナ・パオラ
Ulises Dávila,ウリセス・ダビラ
Sigifredo Mercado,ガブリエル・カバジェーロ
Paco Ignacio Taibo I,パコ・イグナシオ・タイボ一世
Kat Von D,キャット・ヴォン・D
Adriana Barraza,アドリアナ・バラッザ
Paola Espinoza,パオラ・エスピノサ
Sicodélico,シコデリコ・ジュニア
Christian Giménez,クリスティアン・ヒメネス
Susana González,スサナ・ゴンザレス
Guillermo González Camarena,ギジェルモ・ゴンサレス
Ricardo Flores Magón,リカルド・フロレス・マゴン
Francisco González Bocanegra,フランシスコ・ゴンサレス・ボカネグラ
Cecilia Santiago,セシリア・サンティアゴ
Brazo de Plata,ブラソ・デ・プラタ
Linda Christian,リンダ・クリスチャン
Jorga Torres de Marfil,ホルヘ・トーレス・ニーロ
María Elena Marqués,マリア・エレナ・マルケス
George Rosenkranz,ジョージ・ローゼンクランツ
Raúl Jiménez,ラウル・ヒメネス
Anagabriela Espinoza,アナガブリエラ・エスピノサ
José Vasconcelos,ホセ・バスコンセロス
Charles Trowbridge,チャールズ・トロウブリッジ
Ximena Sariñana,キシメナ・サリナーナ
Emilio Fernández,エミリオ・フェルナンデス
Miguel Agustín Pro,ミゲル・プロ
Víctor Manuel Vucetich,ビクトル・マヌエル・ブセティッチ
Paulina Gaitán,パウリナ・ガイタン
Lorena Rojas,ロレーナ・ロハス
Juan Velázquez Tlacotzin,フアン・ベラスケス・トラコツィン
Carlos González Ferrer,カルロス・ゴンザレス
Carlos María de Bustamante,カルロス・マリア・デ・ブスタメンテ
Jorge Gutiérrez,ホルヘ・グティエレス
Claudio Brook,クラウディオ・ブルック
Pascual Ortiz Rubio,パスカル・オルティス・ルビオ
Guty Espadas,グティ・エスパダス・ジュニア
Hector Lizarraga,ヘクター・リサラガ
Carmen Molina,カルメン・モリーナ
Chango Carmona,チャンゴ・カルモナ
Luis Téllez,ルイス・テレス
Rafael Ruelas,ラファエル・ルエラス
Carlos Castillo Peraza,カルロス・カスティージョ・ペラサ
Alejandro Junco de la Vega,アレハンドロ・フンコ・デ・ラ・ベガ
Lupe Madera,ルペ・マデラ
Irma Serrano,イルマ・セラーノ
Alfonso Reyes Ochoa,アルフォンソ・レイエス
Enriqueta Basilio,エンリケッタ・バシリオ
Lhasa de Sela,ラサ・デ・セラ
Brontis Jodorowsky,ブロンティス・ホドロフスキー
Bruno Bichir,ブルーノ・ビチル
Porfirio Muñoz Ledo,ポルフィリオ・ムニョス・レド
Antonio Aguilar,アントニオ・アギラー
Eruviel Ávila Villegas,エルビエル・アビラ・ビジェガス
Jorge Zepeda Patterson,ホルヘ・セペダ・パテルソン
José Luis Real,ホセ・ルイス・レアル
Daniel Guzmán Castañeda,ダニエル・ガスマン
Roberto Orci,ロベルト・オーチー
Fernando Valenzuela,フェルナンド・バレンズエラ
Guty Espadas,グティ・エスパダス
Ignacio López Rayón,イグナシオ・ロペス・ラヨン
Luis Sandi,ルイス・サンディ
Silver King,シルバー・キング
Perro Aguayo,ペロ・アグアヨ
Dos Caras,ドス・カラス
Eulalio Gutiérrez Ortiz,エウラリオ・グティエレス
Miguel Ángel González,ミゲル・アンヘル・ゴンザレス
Mimí Derba,ミミ・デルバ
Lázaro Cárdenas Batel,ラサロ・カルデナス・バテル
Pedro Damián,ペドロ・ダミアン
Rafael Inclán,ラファエル・インクラン
Jesús Silvestre,ヘスス・シルベストレ
Lupita Tovar,ルピータ・トバル
María Félix,マリア・フェリクス
Francisco R. Serrano,フランシスコ・R・セラーノ
Jorge González Torres,ホルヘ・ゴンサレス・トレス
Alfonso Zamora,アルフォンソ・サモラ
Luis Fernando Sánchez Arellano,ルイス・フェルナンド・サンチェス・アレジャノ
Julio César Chávez,フリオ・セサール・チャベス
Germán Villa,ヘルマン・ビジャ
María Izquierdo,マリア・イスキエルド
D'Angelo Jiménez,ディアンジェロ・ヒメネス
Cristóbal Cruz,クリストバル・クルス
César Bazán,セサール・バサン
Decoy Octopus,デコイ・オクトパス
Heavy Metal,ヘビー・メタル
Negro Casas,ネグロ・カサス
Dennys Reyes,デニス・レイエス
Luis Ayala,ルイス・アヤラ
Diego Cataño,ディエゴ・カターニョ
José de Urrea,ホセ・デ・ウレア
Ramiro Peña,ラミロ・ペーニャ
Carla Medina,カーラ・メディナ
Carlos Bolado,カルロス・ボラド
Jose Lothario,ホセ・ロザリオ
Winston Abreu,ウィンストン・アブレイユ
Carlos Savage,カルロス・サバヘ
Ana Claudia Talancón,アナ・クラウディア・タランコン
Raúl Lara,ラウル・ララ
Josefina Vázquez Mota,ジョセフィーナ・バスケス・モタ
Graciela Iturbide,グラシエラ・イトゥルビーデ
Alejandra Guzmán,アレハンドラ・グスマン
Christian Bach,クリスチャン・バッハ
Marisol Valles,マリソル・バジェス・ガルシア
Sandra Ávila Beltrán,サンドラ・アビラ・ベルトラン
Pedro Infante,ペドロ・インファンテ
Carlos Orrantia,カルロス・オランティア
Maribel Guardia,マリベル・フェルナンデス
Alfredo Angulo,アルフレド・アングロ
Víctor Díaz,ビクトル・ディアス
Édgar Gerardo Elizondo González,エドガー・ゴンザレス
Hugo Sánchez Márquez,ウーゴ・サンチェス
Digna Ochoa,ディグナ・オチョア
Federico Mena,フェデリコ・メーナ
Mariano Francisco Saynez Mendoza,マリアーノ・フランシスコ・サニーズ・メンドーサ
José Mariano Mociño,ホセ・モシーニョ
Guillermo Capetillo,ギレルモ・カペティージョ
Miguel Vázquez,ミゲル・バスケス
Jose Ramírez,ホセ・カルロス・ラミレス
Daniel Giménez Cacho,ダニエル・ヒメネス・カチョ
Adrián González,エイドリアン・ゴンザレス
José Luis Cuevas,ホセ・ルイス・クレバス
Ramón Morales,ラモン・モラレス
Mariana Chenillo,マリアナ・チェニッリョ
Paloma Jiménez,パロマ・ジメンネズ
Luis Gil,ルイス・ジル
Subcomandante Elisa,エリサ副司令官
Pablo Garrido Lugo,パブロ・ガリード
Pedro Flores,ペドロ・フローレス (ボクサー)
Juan Sandoval Íñiguez,ファン・サンドヴァル・イニゲス
Ernesto Corripio Ahumada,エルネスト・コリピオ・アウマーダ
Emile Kuri,エミール・クーリ
Benjamín Hill,ベンハミン・ヒル
Jesús Chávez,ヘスス・チャベス
Miguel Alcubierre,ミゲル・アルクビエレ
Diego de Buen,ディエゴ・デ・ブエン
Jacob D. Bekenstein,ヤコブ・ベッケンシュタイン
Clemente Sánchez,クレメンテ・サンチェス
Egidio Torre Cantú,エヒディオ・トーレ・カントゥ
El Chapo de Sinaloa,エル・チャポ・デ・シナロア
Silvia Derbez,シルビア・ダーベス
Tomás Boy,トマス・ボーイ
Subcomandante Marcos,マルコス副司令官
Manny Martínez,マニー・マルティネス
Danny Lopez,ダニー・ロペス
Ernesto de la Peña,エルネスト・デ・ラ・ペーニャ
Emilio García Riera,エミリオ・ガルシア・リエラ
Eduardo Noriega,エドゥアルド・ノリエガ
Eduardo Ugarte,エドゥアルド・ウガルテ
Luis Ernesto Derbez,ルイス・エルネスト・デルベス
Carlos Felipe Rodríguez,カルロス・フェリペ・ロドリゲス
Paquita la del Barrio,パキタ・ラ・デル・バリオ
Julio César Miranda,フリオ・セサール・ミランダ
Omar Niño Romero,オマール・ニーニョ・ロメロ
Adela Noriega,アデラ・ノリエガ
Adal Ramones,アダル・ラモネス
Enrique Guzmán,エンリケ・グスマン
Jaime Humberto Hermosillo,ハイメ・ウンベルト・エルモシヨ
Ferrusquilla,ホセ・アンヘル・エスピノーザ
Frankie Amaya,フランキー・アマヤ
Robinson Tejeda,ロビンソン・テヘダ
Horacio Gómez Bolaños,オラシオ・ゴメス・ボラーニョ
Daniel Ayala Pérez,ダニエル・アイヤラ・ペレス
Ocho-Venado,八の鹿
Teresa Ruiz,テレサ・ルイス
Martín Perfecto de Cos,マルティン・ペルフェクト・デ・コス
Abismo Negro,アビスモ・ネグロ
Abraham Cruzvillegas,アブラハム・クルズヴィエイガス
Aero Star,エアロスター
Efren Navarro,エフレン・ナバーロ
Margo,マーゴ
Miroslava Stern,ミロスラバ・ステルン
Enrique Gorostieta Velarde,エンリケ・ゴロスティエータ
Adrian Hong,エイドリアン・ホン
Dionicio Cerón,ディオニシオ・セロン
Pedro Weber,ペドロ・ウェーバー
David Martínez,デヴィッド・マルチネス
Fernando Sariñana,フェルナンド・サリナーナ
Fernando Salas,フェルナンド・サラス
Alaska,アラスカ
Adriana Louvier,エイドリアナ・ルビエ
Eugenio Caballero,エウヘニオ・カバジェロ
Spider-Man 2099,スパイダーマン2099
David Cabrera,ダビド・カブレラ
Alfredo Talavera,アルフレド・タラベラ
Aldo Ortiz,リッキー・サンタナ
Abraham González Casavantes,アブラーム・ゴンサーレス
mexicanos,メキシコ人
José Justo Corro,ホセ・フスト・コロ
Miguel Barragán,ミゲル・バラガン
Alfonso Herrera Rodriguez,アルフォンソ・ヘレラ
Juan Carlos Medina,フアン・カルロス・メディナ
Rosa María Ojeda,ロサ・マリア・オヘダ
Lucio Blanco,ルチオ・ブランコ
Rodolfo López,ルディ・ロペス
Ramón García Hirales,ラモン・ガルシア
Lucas Alamán,ルカス・アラマン
Fey,フェイ
Agustin Murillo,アガスティン・ムリーロ
Marisol Romero,マリソル・ロメロ
Delia Magaña,デリア・マガナ
Jacqueline Andere,ジャクリーヌ・アンデレ
Juan Carlos Sánchez,ファン・カルロス・サンチェス・ジュニア
Esmeralda Pimentel,エスメラルダ・ピメンテル
Gabriel Ruelas,ガブリエル・ルエラス
Moisés Fuentes,モイセス・フェンテス
Manolo Fábregas,マノロ・ファブレガス
Jorge Salinas,ホルヘ・サリナス
Freddy Sandoval,フレディ・サンドバル
Alberto Jiménez,アルベルト・ヒメネス
Giovani Casillas,ジョバニ・カシージャス
Verónica Castro,ベロニカ・カストロ
Alejandra Bogue,アレハンドラ・ボーグ
José Salomé Pina,ホセ・サロメ・ピナ
Francisco Vargas Peláez,フランシスコ・バルガス
Donaciano Vigil,ドナシアノ・ヴィジル
Gabriel Orozco,ガブリエル・オロスコ
Adriana Abascal,アドリアナ・アバスカル
Alex Treviño,アレックス・トレビーニョ
Miguel Ángel Ponce,ミゲル・アンヘル・ポンセ
Antonio de Nigris,アントニオ・デ・ニグリス
Saúl Álvarez,サウル・アルバレス
Gonzalo Martínez Ortega,ゴンサロ・マルティネス・オルテガ
Carlos A. Madrazo,カルロス・マドラソ
José Luis Calva Zepeda,ホセ・ルイス・カルバ
Sebastián Zurita,セバスティアン・ズリータ
Joaquín Pardavé,ホアキン・パルダベ
Yovani Gallardo,ヨバニ・ガヤルド
Rafael Amaya Parra,ラファエル・アマヤ・パッラ
Jaime Camil,ハイメ・カミーユ
Giovanni Segura,ジョバンニ・セグラ
Giselle Fernández,ジゼル・フェルナンデス
Gloria Anzaldúa,グロリア・アンザルデュア
José Mariano de Michelena,ホセ・マリアーノ・ミチェレナ
Ona Grauer,オナ・グローアー
Alejandro Rangel Hidalgo,アレハンドロ・ランヘル・イダルゴ
Andrés García,アンドレス・ガルシア
Andrés Henestrosa,アンドレス・エネストローサ
Alexander Kirkland,アレグザンダー・カークランド
Genaro Léon,ヘナロ・レオン
Genaro Hernández,ヘナロ・エルナンデス
Alex Sirvent,アレックス・サーベント
Carlos Monsiváis,カルロス・モンシバイス
Tomás Rojas,トマス・ロハス
Martha Higareda,マルタ・イガレータ
Andrés Quintana Roo,アンドレス・キンターナ・ロー
Francisco Robles Ortega,フランシスコ・ロブレス・オルテガ
Fernando Carrere,フェルナンド・キャリー
Carmen Becerra,カルメン・ベセラ
Marco Bueno,マルコ・ブエノ
Holman Williams,ホルマン・ウィリアムズ
Bernardo Reyes,ベルナルド・レジェス
Raúl García,ラウル・ガルシア
Humberto Soto,ウンベルト・ソト
Frédéric-Yves Jeannet,フレデリック＝・イヴス・イェネット
Demus 3:16,デムース
Atlantis,アトランティス
Shocker,ホセ・ルイス・ハイル・ソリア
Gabriel Retes,ガブリエル・レテス
Alfonso Dantés,アルフォンソ・ダンテス
Agustín Yáñez,アグスティン・ヤネス
Mariano Matamoros,マリアーノ・マタモロス
Angelina Beloff,アンヘリナ・ベロフ
José de Jesús Corona,ホセ・デ・ヘスス・コロナ
Carlos Reinoso,カルロス・レイノソ
Alejandra Lazcano,アレハンドラ・ラスカーノ
Carlos Abascal Carranza,カルロス・マリア・アバスカル・カランサ
Pita Amor,ピタ・アモール
Poncho de Nigris,アルフォンソ・デ・ニグリス
Julio Alemán,ジュリオ・アルマン
Eduardo Nájera,エドアルド・ナヘラ
Jonathan Espericueta,ジョナタン・エスペリクエタ
Jorge Vaca,ホルヘ・バカ
Jorge de la Rosa,ホルヘ・デ・ラ・ロサ
Inaki Basauri,イナキ・バサウリ
Jaime García,ハイメ・ガルシア (野球)
Averno,アベルノ
Dionicio Castellanos,ディオニシオ・カスティリアノス
Luis Ernesto Miramontes Cárdenas,ルイス・ミラモンテス
Jesús Sánchez,ヘスス・サンチェス
