김한솔 (김정남의 아들),金漢率
허종만,許宗萬
장금철,张锦哲
김용범 (공산주의자),金鎔範
김여정,金與正
래리 앨런 앱셔,賴瑞·艾布殊爾
박정애,朴正愛
정호균,郑浩钧
박정순 (정치인),朴正淳
리용철 (1928년),李勇哲
박재경,朴在京
최상건,崔相建
문명학,文明學
박정천,朴正天
장승길 (외교관),張承吉
강종관,姜鍾寬
최휘,崔輝
리룡남,李龙男
홍승무,洪承武
홍서헌,洪瑞憲
조춘룡,赵春龙
태형철,太亨彻
김철웅 (피아노 연주자),金哲雄
전길수,全吉壽
홍선옥,洪仙玉
전용남,全勇男
리상관,李相官
리형철,李衡哲
김용광 (정치인),金勇光
박태성 (정치인),朴泰成
김주식,金柱植
리상원,李尚源
김승두,金勝斗
김만수 (1956년),金萬秀
리학철,李學哲
차희림,車熙林
최춘국,崔春國
리일환,李日焕
리종국,李鐘國
김중협,金重协
류경수,柳京洙
김창선 (정치인),金昌善
김의순,金义淳
리철만,李哲萬
리종무,李從茂·(朝鮮勞動黨員)
마원춘,馬元春
리태철,李泰哲
안철혁,安哲赫
문인국,文人國
김명원 (축구 선수),金明元
박남철 (1985년),朴男哲
차정혁,車正赫
홍성남,洪成南
최홍희,崔泓熙
김두봉,金枓奉
리준일,李俊一
김영준 (축구인),金永峻
리명훈,李明勳
김정훈 (1956년생 축구인),金正勳
최광 (1918년),崔光·(朝鲜)
최용건,崔庸健
김금일,金琴一
김명길 (축구 선수),金明吉
김정철 (1981년),金正哲
류미영,柳美英
렴대옥,廉大玉
김덕훈,金德训
태영호,太永浩
김송이 (탁구 선수),金松怡
백남운,白南雲
박열,朴烈
김신조,金新朝
박성철 (축구 선수),朴成哲·(1987年)
정칠성,丁七星
리승엽,李承燁·(政治人物)
홍명희,洪命熹
원정화,元正花
허헌,許憲
전광익,全光益
주상성,朱霜成
김성애,金圣爱
김은국 (역도 선수),金银国
백학림,白鹤林·(朝鲜)
현영철,玄永哲
김계관,金桂冠
김옥,金玉·(金正日妻子)
강석주 (1939년),姜錫柱
엄윤철,严润哲
서만술,徐万述
박철민 (유도 선수),朴哲民·(柔道運動員)
김설송,金雪松
김정수 (사격 선수),金钟秀
박남기,朴南基
리을설,李乙雪
박길연,朴吉淵
리용무,李勇武·(1925年)
현철해,玄哲海
김정각,金正覺
찰스 로버트 젱킨스,查爾斯·羅伯特·詹金斯
노광철,努光铁
리명길,李明吉
김응빈,金應彬
김희영 (정치인),金希英
리무영,李武荣
리만건,李萬建
동정호 (정치인),董正浩
김철만,金铁万
최현 (1907년),崔贤
채희정,蔡喜正
한덕수 (1907년),韓德銖
김영철 (1946년),金英哲
오백룡,吴白龙
박광룡,朴光龍
김윤심,金润心
홍인범,洪仁範
리하일,李河日
황병서,黃炳誓
리종산,李中山
리용철 (정치인),李庸澈
백룡천,白龍天
맹종호,孟鍾鎬
박명철 (1941년),朴明哲
방학세,方學世
박태덕,朴泰德
박명순,朴明顺
리영길,李永吉
리제선,李濟善
박문규 (1906년),朴文奎
백계룡,白啟龍
리용호 (정치인),李容浩
안길,安吉·(朝鮮人)
장철 (1955년),張哲
이찬 (시인),李燦·(詩人)
허철만,许哲万
김윤미 (축구 선수),金潤美·(足球員)
한광성,韓光成
이경희 (체조인),李敬姬
김유성 (1995년),金有成
김국범,金国范
김수길 (정치인),金秀吉
최선희,崔善姬
임철웅,任哲雄
서홍찬,徐洪灿
김능오,金能五
리은철,李恩哲
우인희,禹仁姬
강국철 (1999년생 축구 선수),姜国哲·(1999年)
2017년 판문점 조선인민군 병사 귀순 총격 사건,吳青成
김혁철,金赫哲
리성희,李成姬
최금철,崔金哲
곽범기,郭範基
한필화,韓弼花
리분희,李粉姬
강량욱,康良煜
유순복,俞顺福
박철진 (축구 선수),朴哲鎮
김정숙 (1917년 12월),金正淑·(朝鮮)
박두익,朴斗翼
황장엽,黄长烨
최태복,崔泰福
허정숙,許貞淑
리광일,李光一
원옥임,元玉任
김평일,金平一
전병호 (정치인),全秉浩
최룡해,崔龙海
양형섭,杨亨燮
김영숙 (1947년),金英淑
허봉학,許鳳學
최철수,崔鐵洙
백세봉,白世凤
김용순 (1934년),金容淳
김일철 (1930년),金一哲
오극렬,吴克烈
배길수,裴吉洙
리설주,李雪主
현송월,玄松月
김원균,金元均
리경숙,李京淑
김영일 (1947년),金永日
림철민,林哲民
로두철,盧斗哲
리태남,李泰南
윤정린,尹正麟
리명수 (정치인),李明秀
리수용,李洙墉
김정균 (지휘자),金貞均
김정임 (정치인),金正任
림경만,林景萬
태종수,太钟洙
강능수,康能洙
리재일,李在一
김명국 (군인),金明国
김기룡 (1940년),金基龍
리영수 (정치인),李英洙
김경옥 (정치인),金京玉
오수용,吳秀容
정명학,鄭明學
박세영 (1902년),朴世永
이상조 (1915년),李相朝
정수일,鄭守一
최인덕,崔仁德
주도일,朱道日
문경덕,文京德
리효순,李孝淳
오일정,吴日晶
안재홍,安在鴻
장병규 (정치인),張炳奎
임춘추,林春秋
허문영 (지휘자),許文寧
변인선,边仁善
태병렬,太炳烈
방호산,方虎山
이태영,李兌榮
정준택,鄭準澤
안정수,安正洙
조영철 (정치인),趙永哲
이강국 (정치인),李康國
조소앙,赵素昂
안동춘,安東春
설정식,薛贞植
권영진 (조선민주주의인민공화국의 정치인),權永進
김용일 (축구 선수),金勇日
차효심,车孝心
박연미,朴研美
엄철성,嚴哲成
계성혁,桂成赫
심현진,沈賢鎮
오혁철,吳赫哲
서현욱,徐賢旭
리상철,李相哲
최원 (축구 선수),崔元
최기룡,崔基龍
차경일,車慶日
황순희,黃順姬
지재룡,池在龍
장정남,张正男
최춘식 (1954년),崔春植
차승수,車承秀
현상주,玄相主
황학원,黃學遠
김주애,金主爱
안대성,安大成
리창호 (축구 선수),李昌浩
서경진,徐景進
리형진,李亨進
박영식 (군인),朴永植
반디 (작가),潘迪
명차현,明車鉉
김철범,金哲範
박현일,朴賢日
지성호,池成浩
김형준 (1949년),金衡俊
리선권,李善權
안성일 (1992년),安成日
김용수 (조선민주주의인민공화국의 정치인),金勇帅
리영식,李英植
고인호,高人虎
박광호,朴光浩
정경택,郑京择
오강철,吴康哲
조용원 (정치인),赵甬元
김정관 (군인),金正寬
김재룡 (정치인),金才龙
김천균,金千均
강윤석,姜润石
김달현 (1941년),金達鉉
임화,林和·(作家)
배철,裴哲
송호성,宋虎聲
박상학,朴相學
주영하 (1908년),朱寧河
리권무,李權武
문경진,文慶鎮
김웅 (1912년),金雄·(1914年)
허성택,许成泽
전재선,全載善
전희정,全熙正
문응조,文應兆
김영일 (1955년),金英一
정영수 (정치인),鄭永秀
