George Washington,乔治·华盛顿
Nikola Tesla,尼古拉·特斯拉
Snoop Dogg,史努比狗狗
Bernie Madoff,伯納·馬多夫
Grey DeLisle,格蕾·德莱尔
Spencer Fullerton Baird,斯賓塞·富勒頓·貝爾德
Moby,莫比
James T. Kirk,詹姆斯·T·柯克
David Lynch,大卫·林奇
Bode Miller,伯德·米勒
Lance Armstrong,兰斯·阿姆斯特朗
Tupac Shakur,圖帕克·夏庫爾
Marissa Mayer,梅麗莎·梅爾
Noam Chomsky,诺姆·乔姆斯基
Leonard Nimoy,伦纳德·尼莫伊
Chet Baker,切特·贝克
Charles K. Kao,高錕
Rosalind Picard,罗莎琳·皮卡德
Humphrey Bogart,汉弗莱·博加特
Chuck Norris,查克·諾里斯
Johanna Braddy,喬安娜·布蘭迪
Buzz Aldrin,巴兹·奥尔德林
Edward Teller,愛德華·泰勒
Allen Ginsberg,艾伦·金斯堡
Jenn Suhr,詹尼弗·蘇爾
Bruce Willis,布鲁斯·威利斯
Brittney Reese,布莉妮·瑞絲
Tess Gerritsen,泰絲·格里森
Mark Twain,马克·吐温
Phoebe Cates,菲比·凯茨
Joe Biden,乔·拜登
Walter Dix,沃尔特·迪克斯
Liza Minnelli,麗莎·明內利
Bruce Lee,李小龙
Robert Mitchum,罗伯特·米彻姆
Ellen Swallow Richards,艾伦·丝瓦罗·理查兹
Igor Stravinsky,伊戈尔·斯特拉文斯基
LaShawn Merritt,拉肖恩·梅里特
Shawn Crawford,肖恩·克劳福德
Pharrell Williams,法瑞尔·威廉姆斯
Chris Evert,克里斯·埃弗特
Tom Hanks,汤姆·汉克斯
Hillary Clinton,希拉里·克林顿
Jeremy Wariner,杰里米·韋林納
David Neville (sprinter),戴维·内维尔·(田径运动员)
Fred Armisen,弗雷德·阿米森
Steve Martin,史提夫·馬丁
Mazie Hirono,廣野慶子
John McEnroe,約翰·麥肯羅
Seth Meyers,塞斯·梅耶斯
Bill Hader,比爾·哈德
Sharon Van Etten,莎朗·范·艾顿
Jason Sudeikis,傑森·蘇戴西斯
Tina Fey,蒂娜·菲
Arnold Schwarzenegger,阿诺·施瓦辛格
Sasha Grey,莎夏·葛蕾
John Coltrane,約翰·柯川
Jack Nicklaus,傑克·尼克勞斯
Dan Brown,丹·布朗
Arnold Palmer,阿诺德·帕尔默
Melvin Calvin,梅尔文·卡尔文
Glenda Schroeder,格倫達·施羅德
Jeannette Wing,周以真
Pete Sampras,皮特·森柏斯
Frances Yao,儲楓
Ed O'Neill,艾德·奥尼尔
Aloe Blacc,洛伊·布萊克
Amelia Earhart,阿梅莉亚·埃尔哈特
Quentin Tarantino,昆汀·塔伦蒂诺
Lyndon B. Johnson,林登·约翰逊
Donald Knuth,高德纳
Anousheh Ansari,阿努什·安萨里
Michael Jackson,迈克尔·杰克逊
Johnny Nash,约翰尼·纳什
Cass Elliot,卡丝·埃利奥特
Charles Simonyi,查尔斯·西蒙尼
Dana Scott,达纳·斯科特
Geronimo,傑羅尼莫
Daniel Morgan,丹尼爾·摩根
Phil Hill,菲利普·托尔·希尔
Andre Agassi,安德烈·阿加西
Alfred Hitchcock,亞弗列·希治閣
Gerald Ford,杰拉尔德·福特
Kaley Cuoco,凯莉·库柯
Edgar Allan Poe,爱伦·坡
Ira Remsen,伊拉·雷姆森
James B. Conant,詹姆斯·布莱恩特·科南特
Michael Chekhov,麥可·契訶夫
Richard Stallman,理查德·斯托曼
Dizzy Gillespie,迪齐·吉莱斯皮
Karen Wetterhahn,卡伦·韦特豪恩
Myrtle Bachelder,默特尔·克莱尔·巴舍尔德
Mária Telkes,玛丽亚·泰尔克斯
Richard Nixon,理查德·尼克松
Frances Allen,法兰·艾伦
Soong Mei-ling,宋美齡
Harvey Milk,哈維·米爾克
John von Neumann,约翰·冯·诺伊曼
"Albert II, Prince of Monaco",阿尔贝二世·(摩纳哥)
Grace Kelly,格蕾丝·凯利
John F. Kennedy,约翰·肯尼迪
Oscar Robertson,奥斯卡·罗伯逊
Nora Stanton Barney,诺拉·斯坦顿·巴尼
Leslie Nielsen,萊斯里·尼爾森
Andy Rubin,安迪·鲁宾
John M. Clayton,约翰·M·克莱顿
Ray William Johnson,雷·威廉·約翰遜
Randy Pausch,兰迪·波许
Ginni Rometty,罗睿兰
Colin Kaepernick,科林·卡佩尼克
Leon Cooper,利昂·库珀
Jacqueline Cochran,傑奎琳·考克倫
Duke Ellington,艾靈頓公爵
Tara Strong,塔拉·史壯
Paul Simon,保罗·西蒙
Dwight D. Eisenhower,德怀特·艾森豪威尔
Elie Wiesel,埃利·维瑟尔
Ira Sachs,艾拉·薩克斯
Joseph Stiglitz,约瑟夫·斯蒂格利茨
Catherine Opie,凱薩琳·歐佩
Debbie Wasserman Schultz,黛比·沃瑟曼·舒尔茨
Saul Bellow,索尔·贝洛
Hilda Solis,希尔达·索利斯
Ted Stevens,泰德·史蒂芬
Trent Lott,特倫特·洛特
Heidi Heitkamp,海迪·海特坎普
Selena Gomez,赛琳娜·戈麦斯
Frank Borman,弗兰克·博尔曼
Lindsey Vonn,林赛·沃恩
Rebecca Black,瑞贝卡·布莱克
Libby (Lost),伊丽莎白·「莉比」
Ana Lucia Cortez,安娜-露西亞·科特斯
CeeLo Green,希洛·格林
Woody Guthrie,伍迪·蓋瑟瑞
Juliet Burke,茱莉葉·柏克
Boone Carlyle,布恩·卡萊爾
Jack Shephard,傑克·謝潑德
Kate Austen,凱特·奧斯頓
James Watson,詹姆斯·杜威·沃森
Robin Williams,羅賓·威廉斯
John Locke (Lost),約翰·洛克·(迷失)
Michael Dawson (Lost),麥可·道森·(Lost檔案)
Béla Bartók,巴托克·贝拉
Art Garfunkel,亞特·葛芬柯
Pamela Anderson,帕米拉·安德森
Susan Rice,苏珊·赖斯
Ronald Reagan,罗纳德·里根
James Cooke Brown,詹姆士·庫克·布朗
Arnold Gesell,阿诺德·格塞尔
Henry Molaison,亨利·莫萊森
John Ford,约翰·福特
D. W. Griffith,D·W·格里菲斯
Steve Jablonsky,史蒂夫·贾布隆斯基
Sam Witwer,山繆·維特威
Gregory Smith (actor),格雷戈里·史密斯
Laurie Holden,蘿莉·荷登
Thomas Jane,托马斯·简
Ryan Whitney (actress),瑞恩·纽曼
Peter DeLuise,彼得·德路易斯
James "Sawyer" Ford,詹姆斯·「索耶」·福特
Walt Lloyd,沃特·勞伊德
Miles Straume,麥爾斯·斯特勞姆
Hugo "Hurley" Reyes,休戈·「赫利」·瑞斯
Shannon Rutherford,香農·盧瑟福
Martin Keamy,馬丁·克米
Sam Peckinpah,山姆·畢京柏
Frank Lapidus,法蘭克·萊帕達斯
James Dean,占士·甸
Ruth Brown,露丝·布朗
Shaun Toub,肖恩·托布
Lester Young,莱斯特·杨
Eleanor Roosevelt,埃莉诺·罗斯福
Wally Schirra,瓦尔特·施艾拉
Cannonball Adderley,加農炮艾德利
Julie Delpy,茱莉·蝶兒
Skrillex,Skrillex
Budd Boetticher,巴德·伯蒂彻
Rouben Mamoulian,鲁宾·马莫利安
Luise Rainer,露薏絲·蕾娜
Michael Curtiz,麥可·寇蒂斯
Karl Barry Sharpless,卡尔·巴里·沙普利斯
Robert Curl,罗伯特·柯尔
John Cassavetes,約翰·卡薩維茲
Cary Grant,加里·格兰特
Anthony Quinn,安東尼·奎恩
Gus Grissom,古斯·格里森
George Stevens,乔治·史蒂文斯
M. Night Shyamalan,奈特·沙马兰
Robert Taylor (American actor),罗伯特·泰勒·(1911年)
Zalman King,薩曼·金
Zalmay Khalilzad,扎勒米·哈利勒扎德
Lorenzo Lamas,羅倫佐·拉瑪斯
Jim Wynorski,吉姆·懷諾斯基
Stanford Moore,斯坦福·摩尔
William Standish Knowles,威廉·斯坦迪什·诺尔斯
Tjalling Koopmans,特亚林·科普曼斯
John Barry (composer),约翰·巴瑞
Samuel P. Huntington,塞繆爾·P·亨廷頓
William Wyler,威廉·惠勒
Frank Capra,法蘭克·卡普拉
William Lipscomb,威廉·利普斯科姆
Alan MacDiarmid,艾伦·麦克德尔米德
Edwin McMillan,埃德温·麦克米伦
Zak Penn,塞克·潘
Gene Robinson,基恩·羅賓遜
Kevin Willis,凯文·威利斯
Gunning Bedford Jr.,小冈宁·贝德福德
Mario Molina,马里奥·莫利纳
Gary Oldman,加里·奧德曼
Hawkeye (Clint Barton),鷹眼·(漫畫)
Franklin J. Schaffner,富蘭克林·沙夫納
Alan J. Pakula,艾倫·帕庫拉
George A. Romero,喬治·安德魯·羅梅羅
Sydney Pollack,薛尼·波勒
Mike Nichols,迈克·尼科尔斯
Miloš Forman,米洛斯·福曼
Vincente Minnelli,文森特·明内利
Billy Wilder,比利·懷德
Sidney Lumet,薛尼·盧梅
F. Sherwood Rowland,弗兰克·舍伍德·罗兰
Isabel Allende,伊莎貝·阿言德
Ernst Lubitsch,恩斯特·劉別謙
Taboo (rapper),Taboo·(歌手)
John Gavin,尊·格溫
Chester Bennington,查斯特·班寧頓
Henry Fonda,亨利·方达
Brad Delson,布莱德·达尔森
John Landis,約翰·蘭迪斯
Spike Lee,史派克·李
George Roy Hill,乔治·罗伊·希尔
Howard Hawks,霍華·霍克斯
Hermann Joseph Muller,赫尔曼·约瑟夫·马勒
John Huston,約翰·休斯頓
James Ivory,詹姆士·艾佛利
Mad Hatter (DC Comics),瘋帽客
Milo Ventimiglia,米洛·文提米利亞
Emma Stone,艾瑪·史東
Morris Kirksey,莫里斯·柯克西
Jim Lovell,吉姆·洛弗尔
Elmer Bernstein,埃尔默·伯恩斯坦
Zane Huett,扎內·霍埃特
Joe Hahn,喬瑟夫·韓
Mike Shinoda,麥克·篠田
William Friedkin,威廉·弗莱德金
Joseph L. Mankiewicz,约瑟夫·曼凯维奇
Carol Shaw,卡萝尔·肖
Ben Shenkman,本·申克曼
John Milius,约翰·米利厄斯
AJ Styles,A·J·史泰爾斯
Ed Sullivan,埃德·沙利文
Edward G. Robinson,爱德华·罗宾逊
DeHart Hubbard,德哈特·哈伯德
Edgar Rice Burroughs,埃德加·赖斯·巴勒斯
Subrahmanyan Chandrasekhar,苏布拉马尼扬·钱德拉塞卡
Wesley So,苏伟利
Indiana Jones (character),印第安纳·琼斯
John Tsang,曾俊華
William Anders,威廉·安德斯
James Rector,詹姆斯·雷克托
RZA,RZA
Robert Dahl,羅伯·道爾
Minnie Bruce Pratt,樸蜜妮
LL Cool J,LL·Cool·J
Bryce Bayer,布萊斯·拜爾
John Adams (composer),约翰·库利奇·亚当斯
Hermann Broch,赫尔曼·布洛赫
Ivan Illich,伊万·伊里奇·(奥地利哲学家)
Hans Kelsen,汉斯·凯尔森
Otto E. Neugebauer,奧托·紐格伯爾
Fritz Heider,弗里茨·海德
Charles Duke,查尔斯·杜克
Ida Lupino,艾达·卢皮诺
Albert Pujols,亞伯特·普荷斯
Jack Benny,杰克·本尼
Ruth Teitelbaum,露丝·泰特尔鲍姆
Bob Beamon,鲍勃·比蒙
Edwin Moses,埃德温·摩西
Parry O'Brien,帕里·奥布赖恩
Lizard (character),蜥蜴人
Maxine Hong Kingston,汤婷婷·(作家)
Pat Buchanan,帕特·布坎南
Ludwig von Mises,路德維希·馮·米塞斯
Veronica Lake,維若妮卡·蕾克
Fritz Lang,弗里茨·朗
Maya Angelou,马娅·安杰卢
Joey King,喬伊·金
Jim Grabb,吉姆·格拉布
Alana Beard,阿兰娜·比尔德
Lew Rockwell,盧埃林·羅克維爾
Jacob M. Appel,雅各布·阿佩尔
Charles Vidor,查尔斯·维多
Peter Drucker,彼得·德鲁克
Stacey King,斯泰西·金
Lena Horne,蓮納·荷恩
Cenk Uygur,堅克·維吾爾
Al Gore,阿尔·戈尔
Al Oerter,阿尔弗雷德·奥特
Jesse Owens,杰西·欧文斯
Ray Ewry,雷·尤里
Tommie Smith,汤米·史密斯·(1944年)
Richard Neutra,理查德·诺伊特拉
Walter Munk,沃爾特·芒克
James Gleick,詹姆斯·格雷克
Shawn Kemp,肖恩·坎普
Bruno Bettelheim,布鲁诺·贝特尔海姆
Clark Gregg,克拉克·格雷格
Danny Ferry,丹尼·费里
Dorothy Day,多萝西·戴
Muggsy Bogues,马格西·博格斯
J. K. Simmons,J·K·西蒙斯
Josh Duhamel,喬許·杜默
Michael Morhaime,迈克尔·莫怀米
Dylan McDermott,迪倫·麥狄蒙
Otto Preminger,奥托·普雷明格
Arthur Ashe,亚瑟·阿什
Tracy Austin,崔西·奧斯丁
Karl Landsteiner,卡尔·兰德施泰纳
Wilhelm Reich,威廉·赖希
Audrey Niffenegger,奧黛麗·尼芬格
Peter L. Berger,彼得·柏格·(美國社會學家)
Colin Powell,科林·鲍威尔
Jon Moxley,喬恩·莫克斯雷
Paul Bunyan,保羅·班揚
George Carlin,喬治·卡林
Steve Jobs,史蒂夫·乔布斯
Lady Gaga,Lady·Gaga
James Blake (tennis),詹姆斯·布雷克·(網球)
Brian Baker (tennis),布賴恩·貝克爾
Madison Brengle,麥迪遜·布倫格爾
Bob Bryan,鲍勃·布赖恩
Mike Bryan,迈克·布赖恩
Caprice Bourret,凯普瑞丝·布瑞特
Jon Bon Jovi,瓊·邦·喬飛
Gene Hackman,金·哈克曼
Kat Graham,卡特琳娜·格兰厄姆
Maureen Connolly,莫琳·康諾利
Joe Pesci,乔·佩西
Onondaga people,奧農達加人
Jim Courier,吉姆·考瑞尔
Jimmy Connors,占美·干納斯
Dwight F. Davis,德懷特·戴維斯
Kevin Curren,凯文·柯伦
Samantha Crawford,薩曼莎·克勞福德
Lauren Davis,勞倫·戴維斯
Taylor Dent,泰勒·丹特
Steve Denton,史蒂夫·登顿
Don Budge,唐·巴奇
Porter Robinson,波特·羅賓森
Scott Glenn,史考特·葛倫
Dana Perino,達娜·佩里諾
Johannes Urzidil,约翰内斯·乌兹迪尔
Grant Shaud,格蘭·修特
Johnny Weissmuller,约翰尼·维斯穆勒
Jack Antonoff,杰克·安东诺夫
Lilia Skala,莉莉娅·斯卡拉
Eric Butorac,艾瑞克·布托拉克
Michael Chang,張德培
Victor L. Berger,维克多·L·伯格尔
Matthew Fontaine Maury,馬修·方丹·莫里
Alexander Calder,亚历山大·考尔德
George C. Marshall,乔治·卡特莱特·马歇尔
Roy Lichtenstein,罗伊·利希滕斯坦
Nadine Strossen,納迪娜·斯特羅森
Tracy Caldwell Dyson,特雷西·考德威尔·戴森
Irina Falconi,伊琳娜·法爾科尼
Mary Joe Fernández,瑪麗·喬·費爾南德斯
Victoria Duval,維多利亞·杜瓦爾
Bob Falkenburg,鲍勃·福尔肯伯格
Jan-Michael Gambill,简-迈克尔·甘比尔
Mardy Fish,马尔迪·菲什
Vitas Gerulaitis,维塔斯·格鲁莱蒂斯
Nicole Gibbs,妮可·吉貝絲
Zina Garrison,齐娜·加里森
Herman Francis Mark,赫爾曼·弗朗西斯·馬克
John Friedmann,约翰·弗里德曼
Gustav Bergmann,古斯塔夫·伯格曼
Anni Albers,安妮·亚伯斯
Ken Liu,刘宇昆
Phil Niekro,菲爾·尼可羅
Ariana Grande,爱莉安娜·格兰德
Robert Brout,罗伯特·布劳特
Alessandra Ambrosio,亞歷桑德拉·安布羅休
Rod Blagojevich,罗德·布拉戈耶维奇
Josephine Cochrane,約瑟芬·科克倫
Jim DeMint,吉姆·德敏特
Lindsey Graham,林賽·格雷厄姆
Alexa Glatch,亞莉克莎·葛萊琪
Carly Gullickson,卡莉·格利克森
Pancho Gonzales,潘乔·冈萨雷斯
Kirsten Gillibrand,陸天娜
Robby Ginepri,羅比·吉內普里
Doris Hart,多麗絲·哈特
Liezel Huber,莉泽尔·许贝尔
Tommy Haas,托米·哈斯
Ryan Harrison,瑞恩·哈里森
Darlene Hard,达琳·哈德
Jamie Hampton,潔美·漢普頓
Scott O'Dell,司各特·奥台尔
John Isner,約翰·伊斯內爾
Jack Finney,傑克·芬利
David Zinman,大卫·津曼
Jerome Bruner,杰罗姆·布鲁纳
Kirstie Alley,柯丝蒂·阿利
George Papandreou,乔治·帕潘德里欧
Alexandra Nechita,亞莉山卓·妮齊塔
Othmar Ammann,奧斯馬·安曼
Amy Klobuchar,艾米·克罗布彻
Maria Cantwell,瑪麗亞·坎特威爾
John Kerry,约翰·克里
Olympia Snowe,奧林匹亞·史諾
Claire McCaskill,克蕾兒·麥卡斯基
Susan Collins,蘇珊·柯琳絲
Steve Johnson (tennis),斯蒂夫·約翰遜
Bill Johnston (tennis),比尔·约翰斯顿
Jeff Daniels,傑夫·丹尼爾
Josh Lucas,喬許·盧卡斯
Chord Overstreet,考德·歐威爾斯特利
Martin Nowak,马丁·A·诺瓦克
David Geffen,大衛·葛芬
Swedish Americans,瑞典裔美國人
Laura Bush,劳拉·威尔士·布什
Aida Turturro,艾達·特托羅
Josephine Baker,約瑟芬·貝克
Lisa Murkowski,麗莎·穆爾科斯基
Kelly Ayotte,凯利·阿约特
Rupert Murdoch,鲁珀特·默多克
J. P. Morgan,约翰·皮尔庞特·摩根
Julius Nieuwland,尤利乌斯·纽兰德
Gui-Qiang Chen,陈贵强
Reggie Geary,雷杰·吉尔里
Lex Luger,萊克斯·魯格
Fritz Zwicky,弗里茨·茨维基
Donald Trump,唐納·川普
Dakota Fanning,達科塔·芬妮
Tom Savini,汤姆·萨维尼
Bill Goldberg,比爾·戈柏
Theodor W. Adorno,狄奧多·阿多諾
Robert Kendrick,罗伯特·肯德里克
Vania King,金久慈
Billie Jean King,比利·简·金
Jack Kramer,杰克·克雷默
Sam Querrey,薩姆·奎里
Chuck McKinley,查克·麦金利
Bobby Riggs,博比·里格斯
Jesse Levine,杰西·萊文
Johan Kriek,约翰·克里克
Varvara Lepchenko,瓦尔瓦拉·列普琴科
Todd Martin,托德·馬丁
Bethanie Mattek-Sands,比丹妮·瑪迪克-辛特斯
Helen Wills,海倫·威爾斯·穆迪
Martina Navratilova,玛蒂娜·纳芙拉蒂洛娃
Nancy Richey,南希·里奇
Meghann Shaughnessy,梅根·蕭內西
Pam Shriver,帕姆·施赖弗
Nicolas Berggruen,尼古拉斯·伯格鲁恩
Victor Papanek,维克多·帕帕纳克
Brian Teacher,布赖恩·蒂彻
Roscoe Tanner,罗斯科·坦纳
Abraham Maslow,亚伯拉罕·马斯洛
Barnum Brown,巴納姆·布朗
Alexa PenaVega,阿丽夏·维加
Alex Borstein,艾利克斯·布斯汀
John Demjanjuk,約翰·德米揚魯克
Betty Hutton,贝蒂·赫顿
Charles Seife,查尔斯·塞费
Brad Renfro,布萊德·藍佛
David Coverdale,大卫·科弗代尔
Danny Nucci,丹尼·努奇
Kurt Debus,库尔特·海因里希·德布斯
Stefan Sagmeister,施德明
Eric Wolf,艾瑞克·沃爾夫
Leonard Bernstein,伦纳德·伯恩斯坦
Henry Wadsworth Longfellow,亨利·華茲華斯·朗費羅
Jim Gordon (character),詹姆斯·戈登·(漫画)
Ma Anand Sheela,玛·阿南德·席拉
William Sadler (actor),威廉·托马斯·桑德勒
Robert Capa,罗伯特·卡帕
Budge Patty,巴奇·帕蒂
Shenay Perry,謝尼·佩里
Taylor Lautner,泰勒·洛納
Alison Riske-Amritraj,艾莉森·里斯克-阿姆里特拉吉
Jeremy Renner,杰瑞米·雷纳
Vince Spadea,文斯·斯佩迪亞
Stan Smith,斯坦·史密斯
Jerry Brown,杰里·布朗
Otto Nathan,奥托·内森
Keri Hilson,凯莉·希尔森
