Kārlis Ulmanis,カールリス・ウルマニス
Ģirts Karlsons,ギルツ・カールソンス
Rolands Kalniņš,ローランズ・カルニンシュ
Jānis Ikaunieks (futbolists),ヤニス・イカウニェクス
Arturs Ozoliņš,アルトゥール・オゾリンス
Krists Neilands,クリスツ・ネイランズ
Ēriks Ešenvalds,エリクス・エセンヴァルズ
Lūcija Garūta,ルーツィヤ・ガルータ
Igors Korabļovs,イゴルス・コラブロフス
Pjotrs Avens,ピョートル・アーヴェン
Anžejs Pasečņiks,アンジェス・パセチニクス
Alise Dzeguze-Kļaviņa,アリス・セギウス
Arvīds Jansons,アルヴィド・ヤンソンス
Diāna Ņikitina,ディアナ・ニキチナ
Aleksandrs Jackēvičs,アレクサンドル・ヤチケビッチ
Kristers Aparjods,クリステルス・アパリオズ
Dāvids Beika,ダヴィド・ベイカ
Laimdota Straujuma,ライムドータ・ストラウユマ
Antons Jemeļins,アントンス・イェメリンス
Kristaps Porziņģis,クリスタプス・ポルジンギス
Rutanja Olda,ルターニャ・アルダ
Toms Skujiņš,トムス・スクインス
Arturs Krišjānis Kariņš,クリシュヤーニス・カリンシュ
Ingūna Butāne,イングナ・ブターネ
Aļona Ostapenko,エレナ・オスタペンコ
Kristaps Zommers,クリスタプス・ゾンメルス
Edgars Rinkēvičs,エドガルス・リンケービッチ
Arturs Maskats,アルトゥルス・マスカツ
Tobu,Tobu
Deniss Vasiļjevs,デニス・ヴァシリエフス
Anno,アンノ・(リーヴ人)
Verners Auls,ワーナーズ・アーズ
Angelina Kučvaļska,アンゲリーナ・クチヴァルスカ
Leonīds Vīgners,レオニードス・ヴィグネルス
Elīza Tīruma,エリーザ・ティルマ
Ārons Bogoļubovs,アーロン・ボゴリューボフ
Roberts Uldriķis,ロベルツ・ウルドリキス
Rodions Kurucs,ロディオンス・クルークス
Evika Siliņa,エビカ・シリニャ
Roberts Plūme (kamaniņu braucējs),ロベルツ・プルーメ
Mārtiņš Bots,マールティンシュ・ボツ
Raimonds Krollis,ライモンツ・クロリス
