George Washington,ジョージ・ワシントン
Andy Warhol,アンディ・ウォーホル
"Carroll A. Campbell, Jr.",キャロル・A・キャンベル・ジュニア
Andrew Cuomo,アンドリュー・クオモ
Enrico Fermi,エンリコ・フェルミ
Grey DeLisle,グレイ・デリスル
Christian Taylor,クリスチャン・テイラー
Black Francis,ブラック・フランシス
Margaret Hamilton,マーガレット・ハミルトン
Marissa Mayer,マリッサ・メイヤー
Brownie Mary,ブラウニー・メアリー
Lori McCreary,ロリー・マクレアリー
Allyson Felix,アリソン・フェリックス
Sanya Richards-Ross,サーニャ・リチャーズ＝ロス
Walter Dix,ウォルター・ディックス
Shawn Crawford,ショーン・クロフォード
Lisa Simpson,リサ・シンプソン
Nikola Tesla,ニコラ・テスラ
Chuck Berry,チャック・ベリー
Marcel Duchamp,マルセル・デュシャン
Jimi Hendrix,ジミ・ヘンドリックス
Molly Holzschlag,モリー・ホルツシュラグ
James Brown,ジェームス・ブラウン
Meredith L. Patterson,メレディス・L・パターソン
Stormy Peters,ストーミー・ピーターズ
Diane Pozefsky,ダイアン・ポゼフスキー
Elizabeth Rather,エリザベス・ラザー
Erik Kynard,エリック・カイナード
David Cicero,デイヴィッド・キケロ
Steven Spielberg,スティーヴン・スピルバーグ
David Lynch,デヴィッド・リンチ
Noam Chomsky,ノーム・チョムスキー
Eddie Cochran,エディ・コクラン
Madonna,マドンナ
Tivadar Soros,ティヴァダル・ソロス
Evi Nemeth,エヴィ・ネメス
George Pataki,ジョージ・パタキ
Buddy Holly,バディ・ホリー
Lindsay Davenport,リンゼイ・ダベンポート
Jennifer Capriati,ジェニファー・カプリアティ
David Paterson,デビッド・パターソン
Eliot Spitzer,エリオット・スピッツァー
Mary Jane Irwin,メアリー・ジェーン・アーウィン
Nikki Haley,ニッキー・ヘイリー
Ella Fitzgerald,エラ・フィッツジェラルド
Lynne Jolitz,リン・ジョリッツ
Tupac Shakur,トゥパック・シャクール
Jim Hodges,ジム・ホッジス
David Beasley,デイヴィッド・ビーズリー
Bernard Madoff,バーナード・L・マドフ
Moby,モービー
Dawn Harper-Nelson,ドーン・ハーパー
Kellie Wells,ケリー・ウェルズ
Reese Hoffa,リース・ホッファ
Lance Armstrong,ランス・アームストロング
President of the United States,アメリカ合衆国大統領
Bode Miller,ボディー・ミラー
Joe Biden,ジョー・バイデン
Jason Richardson,ジェイソン・リチャードソン
Félix Sánchez,フェリックス・サンチェス
50 Cent,50セント
LaShawn Merritt,ラショーン・メリット
Jeremy Wariner,ジェレミー・ウォリナー
Liza Minnelli,ライザ・ミネリ
Pete Sampras,ピート・サンプラス
Snoop Dogg,スヌープ・ドッグ
Glenda Schroeder,グレンダ・シュローダー
Chet Baker,チェット・ベイカー
Katherine St. John,キャサリン・セント・ジョン
David Oliver,デビッド・オリバー
Jack Nicklaus,ジャック・ニクラス
Arnold Palmer,アーノルド・パーマー
David Neville,デービッド・ネビル
David Payne,デビッド・ペイン
Chris Evert,クリス・エバート
Richard Nixon,リチャード・ニクソン
Ashton Eaton,アシュトン・イートン
Buzz Aldrin,エドウィン・オルドリン
John Boehner,ジョン・ベイナー
Katherine Johnson,キャサリン・ジョンソン
Brittney Reese,ブリトニー・リース
Janay DeLoach,ジャネイ・デローチ
Bruce Willis,ブルース・ウィリス
Barbara Simons,バーバラ・シモンズ
John Romita Jr.,ジョン・ロミータ・Jr
Johanna Braddy,ジョアンナ・ブラッディ
Lashinda Demus,ラシンダ・ディーマス
Chuck Norris,チャック・ノリス
Hillary Clinton,ヒラリー・クリントン
Dr. Dre,ドクター・ドレー
Herbert Matthews,ハーバート・マシューズ
Gerald Ford,ジェラルド・R・フォード
Stanley Kubrick,スタンリー・キューブリック
Pharrell Williams,ファレル・ウィリアムス
Trey Hardee,トレイ・ハーディ
Sarah Allen,サラ・アレン
Carl W. Ackerman,カール・W・アッカーマン
Ron Paul,ロン・ポール
Louis Armstrong,ルイ・アームストロング
Jason Sudeikis,ジェイソン・サダイキス
Tina Fey,ティナ・フェイ
Dwight D. Eisenhower,ドワイト・D・アイゼンハワー
Frances Allen,フランシス・E・アレン
Aloe Blacc,アロー・ブラック
Melvin Calvin,メルヴィン・カルヴィン
Arnold Schwarzenegger,アーノルド・シュワルツェネッガー
Daniela L. Rus,ダニエラ・ルス
Jean E. Sammet,ジーン・E・サメット
Phoebe Cates-Kline,フィービー・ケイツ
Terry Callier,テリー・キャリアー
Tracy Morgan,トレイシー・モーガン
Bill Raisch,ビル・ライシェ
Bill Hader,ビル・ヘイダー
Sharon Van Etten,シャロン・ヴァン・エッテン
Hanna R. Hall,ハンナ・ホール
Lyndon B. Johnson,リンドン・ジョンソン
Maxine Singer,マクシン・シンガー
Brigetta Barrett,ブリジッタ・バレット
Jennifer Suhr,ジェニファー・サー
Humphrey Bogart,ハンフリー・ボガート
John F. Kennedy,ジョン・F・ケネディ
James T. Kirk,ジェームズ・T・カーク
Igor Stravinsky,イーゴリ・ストラヴィンスキー
Fred Armisen,フレッド・アーミセン
Seth Meyers,セス・マイヤーズ
James Rhyne Killian,ジェームズ・ライネ・キリアン
Julius Adams Stratton,ジュリアス・アダムス・ストラットン
David Alward,デービッド・オルウォード
William Thomas Hamilton,ウィリアム・トーマス・ハミルトン
Angelo Taylor,アンジェロ・テイラー
Tess Gerritsen,テス・ジェリッツェン
Tom Hanks,トム・ハンクス
Cecilia R. Aragon,セシリア・R・アラゴン
Lucy Weston Pickett,ルーシー
Dana Scott,デイナ・スコット
Andrew Rubin,アンディ・ルービン
Curtis LeMay,カーチス・ルメイ
John Gillis,ジョン・R・ギリス
Fox Mulder,フォックス・モルダー
Mark Twain,マーク・トウェイン
Ellen Swallow Richards,エレン・スワロー・リチャーズ
Edward Teller,エドワード・テラー
Anita K. Jones,アニタ・K・ジョーンズ
Allen Ginsberg,アレン・ギンズバーグ
Kerron Clement,カーロン・クレメント
Bershawn Jackson,バーショーン・ジャクソン
Kanye West,カニエ・ウェスト
Geronimo,ジェロニモ
Lil Wayne,リル・ウェイン
Louis Plack Hammett,ルイス・ハメット
James Bryant Conant,ジェイムズ・コナント
Michael Chekhov,マイケル・チェーホフ
Dizzy Gillespie,ディジー・ガレスピー
Bruce Lee,ブルース・リー
Lindsey Vonn,リンゼイ・ボン
Éva Tardos,エーバ・タルドシュ
Louis C.K.,ルイスC.K.
Willoughby Newton,ウィロビー・ニュートン
Mack Wilberg,マック・ウィルバーグ
Laura Berg,ローラ・バーグ
Dan Brown,ダン・ブラウン
Mazie Hirono,メイジー・ヒロノ
Alfred Hitchcock,アルフレッド・ヒッチコック
Leonard Nimoy,レナード・ニモイ
Ronald Reagan,ロナルド・レーガン
John McEnroe,ジョン・マッケンロー
Steve Martin,スティーヴ・マーティン
Ira Remsen,アイラ・レムセン
Charles K. Kao,チャールズ・カオ
Jeannette Wing,ジャネット・ウィング
Margaret H. Wright,マーガレット・H・ライト
Saul Bellow,ソール・ベロー
Wally Schirra,ウォルター・シラー
Julie Delpy,ジュリー・デルピー
DeForest Kelley,デフォレスト・ケリー
Andre Agassi,アンドレ・アガシ
Benjamin Mako Hill,ベンジャミン・マコ・ヒル
Cass Elliot,キャス・エリオット
John Gregg,ジョン・グレッグ
Rufus R. Jones,ルーファス・ジョーンズ
Rob Levin,ロブ・レヴィン
Charles Simonyi,チャールズ・シモニー
Michael Jackson,マイケル・ジャクソン
Johnny Nash,ジョニー・ナッシュ
Tandy Warnow,タンディ・ワルノ
Kathleen C. Taylor,キャスリーン・C・テイラー
Mária Telkes,マリア・テルケス
Solomon Burke,ソロモン・バーク
Amelia Earhart,アメリア・イアハート
Gail Williams,ゲイル・ウィリアムズ
Emily Warren Roebling,エミリー・ウォーレン・ローブリング
Randy Pausch,ランディ・パウシュ
Ray William Johnson,レイ・ウィリアム・ジョンソン
William Terry,ウィリアム・テリー
James K. Gibson,ジェームズ・K・ギブソン
Robert Mitchum,ロバート・ミッチャム
Jacob Appelbaum,ジェイコブ・アッペルバウム
George Abbey,ジョージ・アッビー
Ginni Rometty,ジニー・ロメッティ
Dana Scully,ダナ・スカリー
Daniel Morgan,ダニエル・モーガン
Richard Stallman,リチャード・ストールマン
John Coltrane,ジョン・コルトレーン
Frances Yao,フランシス・ヤオ
Maria Zemankova,マリア・ツェマンコバ
Henry P. Alexander,ヘンリー・P・アレクサンダー
Sasha Grey,サーシャ・グレイ
Phil Hill,フィル・ヒル
Geoffrey Arend,ジェフリー・エアンド
Kaley Cuoco,ケイリー・クオコ
Debbie Wasserman Schultz,デビー・ワッサーマン・シュルツ
Ira Sachs,アイラ・サックス
Karen Wetterhahn,カレン・ヴェッターハーン
Ed O'Neill,エド・オニール
"Albert II, Prince of Monaco",アルベール2世
Kevin Rudolf,ケヴィン・ルドルフ
Ruth R. Benerito,ルース・ベネリト
Peter J. Denning,ピーター・J・デニング
Len Wein,レン・ウィーン
Patrick Conley,パトリック・コンリー
Alan MacDiarmid,アラン・マクダイアミッド
Cannonball Adderley,キャノンボール・アダレイ
Leslie Nielsen,レスリー・ニールセン
Edgar Allan Poe,エドガー・アラン・ポー
John Ford,ジョン・フォード
Lester Young,レスター・ヤング
James D. Watson,ジェームズ・ワトソン
Colin Kaepernick,コリン・キャパニック
Leon Cooper,レオン・クーパー
D. W. Griffith,D・W・グリフィス
Bill Graves,ビル・グレイヴズ
Stan Ridgway,スタン・リッジリー
Claudia Wells,クラウディア・ウェルズ
Béla Bartók,バルトーク・ベーラ
Gus Grissom,ガス・グリソム
Karl Barry Sharpless,バリー・シャープレス
Jeffrey Garcia,ジェフリー・ガルシア
Sandra Fluke,サンドラ・フルーク
Selena Gomez,セレーナ・ゴメス
Pamela Anderson,パメラ・アンダーソン
Leonard B. Jordan,レナード・B・ジョーダン
Robert Curl,ロバート・カール
Boone Carlyle,ブーン・カーライル
Jack Shephard,ジャック・シェパード
Juliet Burke,ジュリエット・バーク
Martha Bullock,マーサ・ブロック
Heidi Heitkamp,ハイディ・ハイトキャンプ
Ted Stevens,テッド・スティーヴンス
Richard Dysart,リチャード・ダイサート
F. Sherwood Rowland,フランク・シャーウッド・ローランド
Robin Williams,ロビン・ウィリアムズ
Herbert Blaché,ハーバート・ブラシェ
Isabel Allende,イサベル・アジェンデ
Mary Anderson,メアリー・アンダーソン
Gary Oldman,ゲイリー・オールドマン
Rouben Mamoulian,ルーベン・マムーリアン
Tod Browning,トッド・ブラウニング
Anthony Quinn,アンソニー・クイン
William Standish Knowles,ウィリアム・ノールズ
Stanford Moore,スタンフォード・ムーア
Jack Angel,ジャック・エンジェル
Quentin Tarantino,クエンティン・タランティーノ
Tara Strong,タラ・ストロング
Anousheh Ansari,アニューシャ・アンサリ
Kathleen Antonelli,キャスリーン・アントネッリ
Jacqueline Cochran,ジャクリーン・コクラン
Paul Simon,ポール・サイモン
James Dean,ジェームズ・ディーン
Grace Kelly,グレース・ケリー
Hugo "Hurley" Reyes,ヒューゴ・"ハーリー"・レイエス
Miles Straume,マイルズ・ストローメ
James "Sawyer" Ford,ジェームズ・フォード
Walt Lloyd,ウォルト・ロイド
Jim Lovell,ジム・ラヴェル
John von Neumann,ジョン・フォン・ノイマン
Eleanor Roosevelt,エレノア・ルーズベルト
King Vidor,キング・ヴィダー
Libby Smith,リビー
Ana Lucia Cortez,アナ・ルシア・コルテス
John W. Lawrence,ジョン・W・ローレンス
Soong May-ling,宋美齢
Harvey Milk,ハーヴェイ・ミルク
Trent Lott,トレント・ロット
Hilda Solis,ヒルダ・ソリス
Richard Steven Horvitz,リチャード・ホーヴィッツ
John Munro Longyear,ジョン・マンロー・ロングイェール
Mad Hatter,マッドハッター / ジャービス・テッチ
Michael Weston,マイケル・ウェストン
Susan Rice,スーザン・ライス
Kate Austen,キャサリン・アン・オースティン
John Locke,ジョン・ロック
Michael Dawson,マイケル・ドーソン
William Bartram,ウィリアム・バートラム
Cary Grant,ケーリー・グラント
Art Garfunkel,アート・ガーファンクル
Oscar Robertson,オスカー・ロバートソン
Donald Knuth,ドナルド・クヌース
John M. Clayton,ジョン・ミドルトン・クレイトン
Forrest J Ackerman,フォレスト・J・アッカーマン
Kayla Ewell,ケイラ・ユーウェル
Tjalling Koopmans,チャリング・クープマンス
CeeLo Green,シーロー・グリーン
Duke Ellington,デューク・エリントン
William Lipscomb,ウィリアム・リプスコム
Milo Ventimiglia,マイロ・ヴィンティミリア
Ed Sullivan,エド・サリヴァン
Shannon Rutherford,シャノン・ラザフォード
Frank Lapidus,フランク・ラピーダス
Martin Keamy,マーティン・キーミー
Christian Shephard,クリスチャン・シェパード
Thomas J. J. Altizer,トマス・アルタイザー
Zak Whitbread,ザク・ウィットブレッド
Stephen Trask,スティーヴン・トラスク
William Julius Wilson,ウィリアム・ジュリアス・ウィルソン
Woody Guthrie,ウディ・ガスリー
George A. Romero,ジョージ・A・ロメロ
John Cassavetes,ジョン・カサヴェテス
M. Night Shyamalan,M・ナイト・シャマラン
John Barry,ジョン・バリー
William Wyler,ウィリアム・ワイラー
Joseph E. Stiglitz,ジョセフ・E・スティグリッツ
Sarah Bagley,サラ・バグリー
Skrillex,スクリレックス
Frank Borman,フランク・ボーマン
Rhoda Griffis,ローダ・グリフィス
Thomas Jane,トーマス・ジェーン
Sam Peckinpah,サム・ペキンパー
Budd Boetticher,バッド・ベティカー
Elie Wiesel,エリ・ヴィーゼル
James Cooke Brown,ジェームズ・クック・ブラウン
Arnold Gesell,アーノルド・ゲゼル
Hermann Joseph Muller,ハーマン・J・マラー
Frank Capra,フランク・キャプラ
Shaun Toub,ショーン・トーブ
Ruth Brown,ルース・ブラウン
Michael Curtiz,マイケル・カーティス
Ben Shenkman,ベン・シェンクマン
John Milius,ジョン・ミリアス
George Stevens,ジョージ・スティーヴンス
Basil Poledouris,ベイジル・ポールドゥリス
Robert A. Dahl,ロバート・ダール
Robert Siodmak,ロバート・シオドマク
Edward G. Robinson,エドワード・G・ロビンソン
A.J. Styles,A・J・スタイルズ
Robert Cloughen,ロバート・クルーヘン
Zakk Wylde,ザック・ワイルド
Gunning Bedford Jr.,ガニング・ベッドフォード・ジュニア
John Hollenbeck,ジョン・ホレンベック
Zal Yanovsky,ザル・ヤノフスキー
Alan J. Pakula,アラン・J・パクラ
Sydney Pollack,シドニー・ポラック
Dale DeGroff,デール・デグロフ
Zales Ecton,ゼイルズ・エクトン
Robert Taylor,ロバート・テイラー
Sam Witwer,サム・ウィットワー
Steve Jablonsky,スティーブ・ジャブロンスキー
Gene Robinson,ジーン・ロビンソン
Kevin Willis,ケビン・ウィリス
Jesse Sorensen,ジェシー・ソーレンセン
Tony Oller,トニー・オーラー
Matthew Michael Carnahan,マシュー・マイケル・カーナハン
Gregory Smith,グレゴリー・スミス
Leon Henkin,レオン・ヘンキン
August Becker,アウグスト・ベッカー
Ernst von Glasersfeld,エルンスト・フォン・グレーザーズフェルド
Fritz Heider,フリッツ・ハイダー
Edwin McMillan,エドウィン・マクミラン
Elmer Bernstein,エルマー・バーンスタイン
Arthur P. Jacobs,アーサー・P・ジェイコブス
Ryan Newman,ライアン・ニューマン
Carmen Argenziano,カーメン・アルジェンツィアノ
Pete La Roca,ピート・ラロカ
James Doakes,ジェームズ・ドークス
Zak Penn,ザック・ペン
Mario Molina,マリオ・モリーナ
Rebecca Black,レベッカ・ブラック
Sidney Lumet,シドニー・ルメット
Spike Lee,スパイク・リー
Curtis Bernhardt,カーティス・バーンハート
Franklin J. Schaffner,フランクリン・J・シャフナー
Hermann Broch,ヘルマン・ブロッホ
Hans Kelsen,ハンス・ケルゼン
Ivan Illich,イヴァン・イリイチ
Henry Molaison,ヘンリー・モレゾン
Irene Lentz,アイリーン・レンツ
George W. Murray,ジョージ・ワシントン・マレー
Alfred Grünwald,アルフレート・グリューンヴァルト
Tanya Chisholm,ターニャ・チザム
Rudi Fehr,ルーディ・ファー
Michael Todd,マイケル・トッド
Nathan Barr,ネイサン・バー
Karl Landsteiner,カール・ラントシュタイナー
Samuel P. Huntington,サミュエル・P・ハンティントン
John Gavin,ジョン・ギャヴィン
John Eisele,ジョン・アイセル
Matt Barela,マット・バレラ
Sam Parnia,サム・パーニア
Stacey King,ステイシー・キング
Herbert Federer,ヘルベルト・フェデレール
Mark Wakefield,マーク・ウェイクフィールド
Rob Bourdon,ロブ・ボードン
Peter Drucker,ピーター・ドラッカー
Taboo,タブー
Milt Gabler,ミルト・ゲイブラー
Charles Duke,チャールズ・デューク
Lena Horne,レナ・ホーン
Wesley So,ウェズリー・ソー
Laurie Holden,ローリー・ホールデン
Peter DeLuise,ピーター・デルイーズ
Karl von Terzaghi,カール・テルツァーギ
Bruno Bettelheim,ブルーノ・ベッテルハイム
Zalman King,ザルマン・キング
Zalmay Khalilzad,ザルメイ・ハリルザド
Mary Teresa Norton,メアリー・テレサ・ノートン
Salka Viertel,ザルカ・ヴィアテル
Fannie Bloomfield Zeisler,ファニー・ブルームフィールド・ツァイスラー
Ernst Lubitsch,エルンスト・ルビッチ
John Landis,ジョン・ランディス
Gregory Itzin,グレゴリー・イッツェン
Luise Rainer,ルイーゼ・ライナー
Dina Merrill,ダイナ・メリル
Mike Nichols,マイク・ニコルズ
Joey King,ジョーイ・キング
Joaquin Wilde,マイケル・パリス
Bryce Bayer,ブライス＝バイヤー
John Adams,ジョン・クーリッジ・アダムズ
Vincente Minnelli,ヴィンセント・ミネリ
Billy Wilder,ビリー・ワイルダー
Ludwig von Mises,ルートヴィヒ・フォン・ミーゼス
Jim Wynorski,ジム・ウィノースキー
Lorenzo Lamas,ロレンツォ・ラマス
Joseph L. Mankiewicz,ジョーゼフ・L・マンキーウィッツ
Elias Boudinot,エリアス・ブーディノット
Peter L. Berger,ピーター・L・バーガー
Joseph Hahn,ジョー・ハーン
Veronica Lake,ヴェロニカ・レイク
Zane Grey,ゼイン・グレイ
Hawkeye,ホークアイ
Henry Fonda,ヘンリー・フォンダ
