Campinas,カンピーナス
identificador de filme no AdoroCinema,アドロシネマ 映画ID
TOPCMB ID,TOPCMB ID
Estádio Nilton Santos,エスタジオ・オリンピコ・ジョアン・アベランジェ
Clube de Regatas do Flamengo,CRフラメンゴ
Hino Nacional Brasileiro,ブラジルの国歌
Liga Mundial de Voleibol de 1993,1993年バレーボール・ワールドリーグ
Grande Prêmio do Brasil de 2001,2001年ブラジルグランプリ
Grande Prêmio do Brasil de 2002,2002年ブラジルグランプリ
Grande Prêmio do Brasil de 2003,2003年ブラジルグランプリ
Fortaleza Esporte Clube,フォルタレーザEC
fusos horários no Brasil,ブラジル時間
Leblon,レブロン
Sinop,シノプ (ブラジル)
Furacão Catarina,サイクロン・カタリーナ
Identificador de pessoa no Museu da Pessoa,人物博物館 人物ID
identificador de personalidade no AdoroCinema,アドロシネマ 人物ID
Grande Prêmio do Brasil de 2004,2004年ブラジルグランプリ
Grande Prémio do Brasil de 2005,2005年ブラジルグランプリ
Grande Prêmio do Brasil de 2006,2006年ブラジルグランプリ
Cruzeiro Esporte Clube,クルゼイロEC
Brasília,ブラジリア
Grande Prêmio do Brasil de 2010,2010年ブラジルグランプリ
Grande Prêmio do Brasil de 2011,2011年ブラジルグランプリ
Grande Prêmio do Brasil de 2012,2012年ブラジルグランプリ
Ribeirão Preto,リベイラン・プレト
Língua macuxi,マクシー語
Rio Purus,プルス川
ISO 3166-2:BR,ISO 3166-2:BR
Olinda,オリンダ
Irmãos das Escolas Cristãs,ラ・サール会
Aperam South America,アペラム・サウス・アメリカ
Gloster Meteor,グロスター ミーティア
língua pirarrã,ピラハン語
Línguas muras,ムーラ語
Oriental Brewery,OBビール
Cascavel,カスカーフェル
Distrito Federal,ブラジリア連邦直轄区
CNPJ,ブラジル国家法人登録簿
Grande Prémio do Brasil de 1993,1993年ブラジルグランプリ
Grande Prémio do Brasil de 1994,1994年ブラジルグランプリ
Grande Prémio do Brasil de 1995,1995年ブラジルグランプリ
Grande Prémio do Brasil de 1996,1996年ブラジルグランプリ
blecaute no Brasil e Paraguai em 2009,2009年ブラジル・パラグアイ大停電
Língua vêneta,ヴェネト語
Língua uaiuai,ワイワイ語
Festival do Rio,リオデジャネイロ国際映画祭
Sabesp,サンパウロ州基礎衛生公社
Parque Indígena do Xingu,シングー国立公園
Hixkaryana,ヒシュカリヤナ語
Língua galibi,カリブ語
Brasão de armas do Brasil,ブラジルの国章
Nova Iguaçu,ノヴァ・イグアス
Campeonato Brasileiro de Futebol,カンピオナート・ブラジレイロ・セリエA
Grande Prêmio do Brasil de 2007,2007年ブラジルグランプリ
Grande Prêmio do Brasil de 2008,2008年ブラジルグランプリ
Grande Prémio do Brasil de 2009,2009年ブラジルグランプリ
Sorocaba,ソロカーバ
Estádio do Maracanã,エスタジオ・ド・マラカナン
São José dos Campos,サン・ジョゼ・ドス・カンポス
MRS Logística S.A.,MRSロジスティカ
Lituanos,リトアニア人
Blumenau,ブルメナウ
Santo André,サントアンドレ
Brasil nos Jogos Olímpicos de Verão de 2004,2004年アテネオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Inverno de 2002,2002年ソルトレークシティオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1924,1924年パリオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Inverno de 1994,1994年リレハンメルオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Inverno de 1998,1998年長野オリンピックのブラジル選手団
equipe de vôlei masculino do SESI-SP,SESIサンパウロ
Brasil nos Jogos Olímpicos de Verão de 1936,1936年ベルリンオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Inverno de 2006,2006年トリノオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Inverno de 2010,2010年バンクーバーオリンピックのブラジル選手団
Liberdade,リベルダージ
nheengatu,ニェエンガトゥ語
Catalão,カタラン
Planalto das Guianas,ギアナ高地
Petrobras,ペトロブラス
Pão de Açúcar,ポン・ヂ・アスーカル
Rio Tocantins,トカンチンス川
Brasil nos Jogos Olímpicos de Verão de 2012,2012年ロンドンオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 2008,2008年北京オリンピックのブラジル選手団
Grande Prêmio do Brasil de 1997,1997年ブラジルグランプリ
Grande Prêmio do Brasil de 1998,1998年ブラジルグランプリ
Grande Prêmio do Brasil de 1999,1999年ブラジルグランプリ
Grande Prêmio do Brasil de 2000,2000年ブラジルグランプリ
Petrópolis,ペトロポリス
Rio São Francisco,サン・フランシスコ川
Pantanal,パンタナル
Operação Condor,コンドル作戦
Velódromo da Barra,ベロドロモ・ムニシパル・ド・リオ
Parque Aquático Maria Lenk,パルケ・アクアティコ・マリア・レンク
Rio Acre,アクレ川
Rio Iguaçu,イグアス川
1981 no Brasil,1981年のブラジル
2012 no Brasil,2012年のブラジル
1931 no Brasil,1931年のブラジル
Parque Ibirapuera,イビラプエラ公園
Metrô de Teresina,テレジナ地下鉄
Brasil nos Jogos Olímpicos de Verão de 1920,1920年アントワープオリンピックのブラジル選手団
Estádio do Café,エスタジオ・ドゥ・カフェ
Clube Náutico Capibaribe,クルーベ・ナウチコ・カピバリベ
Taça do Atlântico,アトランティック・カップ
Duque de Caxias,ドゥケ・デ・カシアス
Juiz de Fora,ジュイス・デ・フォーラ
Sport Club do Recife,スポルチ・レシフェ
Associação Atlética Ponte Preta,AAポンチ・プレッタ
Estádio Heriberto Hülse,エスタジオ・エリベルト・フーセ
Shaman,シャーマン
cruzeiro,クルゼイロ (通貨)
Maringá,マリンガ
Campeonato Mundial de Voleibol Feminino de 1994,1994年バレーボール女子世界選手権
Encantado,エンカンタド
São Luís,サン・ルイス
Carnaval do Rio de Janeiro,リオのカーニバル
rio Amazonas,アマゾン川
1985 no Brasil,1985年のブラジル
Campeonato do Mundo de Futebol FIFA de 2014,2014 FIFAワールドカップ
Rio Içá,プトゥマヨ川
Figueirense Futebol Clube,フィゲイレンセFC
Salvador,サルヴァドール
Polícia Civil do Brasil,市警
Chaco,グランチャコ
Cristo Redentor,コルコバードのキリスト像
Língua aquém,シャバンテ語
Pemon,ペモン
Anápolis,アナポリス
Botafogo de Futebol e Regatas,ボタフォゴFR
Sociedade Esportiva Palmeiras,SEパルメイラス
Fluminense Football Club,フルミネンセFC
Igreja de Nossa Senhora da Candelária,カンデラリア教会
Museu de Arte de São Paulo,サンパウロ美術館
Uberlândia,ウベルランジア
São José do Rio Preto,サン・ジョゼー・ド・リオ・プレト
Londrina,ロンドリーナ
Campina Grande,カンピナグランデ
Coronel Fabriciano,コロネル・ファブリシアーノ
Ouro Preto,オウロ・プレット
Diamantina,ディアマンティーナ
Ilha de Marajó,マラジョ島
Sport Club Internacional,SCインテルナシオナル
Canoas,カノアス
Cachoeira do Sul,カショエイラ・ド・スル
Copa das Confederações de 2013,FIFAコンフェデレーションズカップ2013
Grêmio Football Porto Alegrense,グレミオFBPA
Chacina da Candelária,カンデラリア教会虐殺事件
Santos,サントス
Santos Futebol Clube,サントスFC
Itumbiara,イツンビアラ
Centro Federal de Educação Tecnológica de Minas Gerais,ミナスジェライス州連邦技術教育センター
Ijuí,イジュイー
Minas Gerais,ミナス・ジェライス州
Arara,アララ
capoeira,カポエイラ
Torneio Roberto Gomes Pedrosa,トルネイロ・ホベルト・ゴメス・ペドローザ
Universidade Estadual de Feira de Santana,フェイラ・デ・サンタナ州立大学
Joinville,ジョインヴィレ
Bauru,バウル
Baía de Guanabara,グアナバラ湾
Campeonato Mundial de Voleibol Feminino de 1960,1960年バレーボール世界選手権
Língua caro,ラマラマ語
língua guarani,グアラニー語
Premiere,プレミア
Gama,ガマ (ブラジリア連邦直轄区)
Universidade Federal da Bahia,バイーア連邦大学
Seleção Brasileira de Futebol,サッカーブラジル代表
CT Yakult,ヤクルト野球アカデミー
bandeira do Brasil,ブラジルの国旗
Ponta Grossa,ポンタ・グロッサ
Sport Club Corinthians Paulista,SCコリンチャンス・パウリスタ
Sepultura,セパルトゥラ
Cone Sul,コーノ・スール
Cataratas do Iguaçu,イグアスの滝
qualificação europeia do campeonato do mundo da FIFA de 2014,2014 FIFAワールドカップ・ヨーロッパ予選
Confederação Brasileira de Futebol,ブラジルサッカー連盟
Mogi das Cruzes,モジ・ダス・クルーゼス
São Carlos,サン・カルロス
Atlético Clube Goianiense,アトレチコ・ゴイアニエンセ
1930 no Brasil,1930年のブラジル
2011 no Brasil,2011年のブラジル
Atol das Rocas,ロカス環礁
Águas Lindas de Goiás,アーグァス・リンダス・デ・ゴイアス
parque nacional do Brasil,ブラジルの国立公園
Vitória,ヴィトーリア
Taubaté,タウバテ
Paraíba,パライバ州
Feira de Santana,フェイラ・デ・サンタナ
São Paulo Futebol Clube,サンパウロFC
Autódromo de Jacarepaguá,ネルソン・ピケ・サーキット
Rio Branco,リオブランコ
São Gonçalo,サンゴンサロ
Pará,パラー州
Aracaju,アラカジュ
Amazonas,アマゾナス州
Força Aérea Brasileira,ブラジル空軍
Goiânia,ゴイアニア
Embratur,ブラジル観光公社
João Pessoa,ジョアン・ペッソーア
Rede Integrada de Transporte,RITシステム
Maceió,マセイオ
Campo Grande,カンポ・グランデ
Teresina,テレジーナ
Esporte Clube Bahia,ECバイーア
Arquipélago de São Pedro e São Paulo,サンペドロ・サンパウロ群島
Trindade e Martim Vaz,マルティン・ヴァス諸島
Edifício Copan,コパン・ビルディング
Copa Libertadores da América de Futebol Feminino de 2012,コパ・リベルタドーレス・フェメニーナ2012
Usina Hidrelétrica de Itaipu,イタイプダム
Manaus,マナウス
Copacabana,コパカバーナ
Estádio Eládio de Barros Carvalho,エスタジオ・エラジオ・ジ・バホス・カルヴァーリョ
chimarrão,マテ
Associação Portuguesa de Desportos,アソシアソン・ポルトゥゲーザ・ジ・デスポルトス
Rio Grande do Sul,リオグランデ・ド・スル州
Autódromo José Carlos Pace,インテルラゴス・サーキット
Edifício Itália,イタリアビル
Cuiabá,クイアバ
Bahia,バイーア州
São José do Povo,サン・ジョゼー・ド・ポーヴォ
Centrais Elétricas de Santa Catarina,サンタカタリーナ電力
transportes do Brasil,ブラジルの交通
Serra da Mantiqueira,マンチケーラ山脈
Águas de São Pedro,アグアス・デ・サン・ペドロ
Metrô do Cariri,カリリ地下鉄
Edifício Altino Arantes,アルティーノアランチスビル
Amapá,アマパー州
Catedral Metropolitana de Brasília,ブラジリア大聖堂
Foz do Iguaçu,フォス・ド・イグアス
Braúnas,ブラウーナス
stammtisch,タルトゥリア
Brasil no Campeonato Mundial de Esportes Aquáticos de 2011,2011年世界水泳選手権ブラジル選手団
Rio Tefé,テフェー川
Paulínia,パウリニア
Acre,アクレ州
Vereda,ヴェレダ
Ceará,セアラー州
Avenida Paulista,パウリスタ通り
Nacionalidade brasileira,ブラジル国籍法
Seleção Brasileira de Voleibol Feminino,バレーボールブラジル女子代表
Seleção Brasileira de Voleibol Masculino,バレーボールブラジル男子代表
.br,.br
Guarani Futebol Clube,グアラニFC
Metrô do Rio de Janeiro,リオデジャネイロ地下鉄
Rock in Rio,ロック・イン・リオ
Porto Alegre,ポルト・アレグレ
Ação Integralista Brasileira,ブラジル統合主義運動
Braskem,ブラスケム
1922 no Brasil,1922年のブラジル
Brasil Kirin,スキンカリオール
Instituto Brasileiro de Geografia e Estatística,ブラジル地理統計院
Hino da Independência do Brasil,独立賛歌
Oiapoque,オイアポケ
Mil Milhas Brasileiras,ミルミルハスブラジレイラス
Grupo Corpo,グルーポ・コルポ
SuperVia,SuperVia
Olímpia,オリンピア (サンパウロ州)
Ordem Nacional do Cruzeiro do Sul,南十字星勲章
Igreja São Francisco de Assis,サン・フランシスコ礼拝堂
Red Bull Futebol e Entretenimento Ltda.,レッドブル・ブラジル
Alagoas,アラゴアス州
Parque Nacional da Serra da Capivara,セラ・ダ・カピバラ国立公園
Guarapari,グァラパリ
Pernambuco,ペルナンブーコ州
Copa FGF,コパFGF
Campeonato Brasileiro de Futebol de 1993,1993 カンピオナート・ブラジレイロ・セリエA
Auriflama,アウリフラマ
Clube Atlético Mineiro,アトレチコ・ミネイロ
Contagem,コンタジェン
Guarujá,グアルジャ
Tombense Futebol Clube,トンベンセFC
Circuito do Anhembi,サンパウロ市街地コース
Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピック
Estádio Municipal João Lamego Netto,エスタジオ・ムニシパル・ジョアン・ラメゴ・ネットー
Unidade de Polícia Pacificadora,特殊警察宣撫班
Ponte Newton Navarro,ニュートン・ナヴァロ橋
Escolápios,エスコラピオス修道会
Eliminatórias da Copa do Mundo FIFA de 2014 - Oceania,2014 FIFAワールドカップ・オセアニア予選
Terra,テラ・ネットワークス
Adidas Brazuca,ブラズーカ
Arena Pantanal,アレーナ・パンタナール
Confederação Nacional da Indústria,全国工業連合
Associação Esportiva Jataiense,AEジャタイエンセ
Entrerriense Futebol Clube,エントレリエンセFC
Instituto Nacional de Matemática Pura e Aplicada,純粋応用数学研究所
São Joaquim,サン・ジョアキン
Guaratinguetá,グアラティンゲタ
Arena Amazônia,アレーナ・アマゾニア
Erechim,エレシン
Jaboatão dos Guararapes,ジャボアタン・ドス・グアララペス
Região Nordeste do Brasil,北東部
Camaçari,カマサリ
Associação Desportiva Atlética do Paraná,アソシアソン・デスポルチーヴァ・アトレチカ・ド・パラナ
Santa Cruz,サンタ・クルス (リオデジャネイロ州)
Peruíbe,ぺルイベ
Fórmula 3 Sul-americana,南米F3
Embraer ERJ,エンブラエル ERJ 145
Corumbá,コルンバ
Mato Grosso,マットグロッソ州
Estádio Alfredo Schürig,エスタジオ・アルフレード・シュリグ
Companhia Paranaense de Energia,パラナ電力
Universidade Tecnológica Federal do Paraná,パラナ連邦工業大学
Pontifícia Universidade Católica do Paraná,パラナカトリカ大学
Copersucar,コパスカー
Trem do Corcovado,コルコバド鉄道
Estádio Governador Magalhães Pinto,エスタジオ・ゴベルナドール・マガリャンイス・ピント
Esporte Clube Juventude,ECジュベントゥージ
São Francisco de Sales,サン・フランシスコ・デ・サレス
Rio de Janeiro,リオデジャネイロ州
Porto de Suape,スアぺ港
Santana do Livramento,サンタナ・ド・リヴラメント
São João Nepomuceno,サンジョアン・ネポムセーノ
Aeroporto Internacional de Porto Velho,ポルトベリョ
política do Brasil,ブラジルの政治
Ministério da Defesa (Brasil),国防省
Ministério da Cultura (Brasil),文化省
Casa de Detenção de São Paulo,カランジル刑務所
A1 Team Brasil,A1チーム ブラジル
Universidade Federal Fluminense,フルミネンセ連邦大学
Campeonato Paranaense de Futebol,カンピオナート・パラナエンセ
Britânia Sport Club,ブリタニアSC
Porto de Tubarão,トゥバラン港
Santa Catarina,サンタカタリーナ州
Boa Esporte Clube,ボアEC
Rio Guaporé,グアポレ川
Duque Bacelar,ドゥーケ・バセラル
Sobradinho,ソブラジーニョ
Região Metropolitana de Vitória,グレーター・ヴィトーリア
Rio Branco,ブランコ川
Piauí,ピアウイ州
Goiás,ゴイアス州
Lauro de Freitas,ラウロ・ジ・フレイタス
Caratinga,カラティンガ
Belo Horizonte,ベロオリゾンテ
Coari,コアリ
Vogue,ヴォーグ
Espírito Santo,エスピリトサント州
Universíada de Verão de 1963,1963年夏季ユニバーシアード
Seleção Brasileira de Basquetebol Masculino,バスケットボールブラジル代表
Maranhão,マラニョン州
Mirante do Vale,ルックアウトバレー
Monte Alegre de Goiás,モンテ・アレグレ・デ・ゴイアス
Congonhas,コンゴーニャス
Lauro Müller,ラウロミューレル
Aeroporto Internacional de Brasília,プレジデント・ジュセリノ・クビシェッキ国際空港
Estádio Raimundo Sampaio,エスタジオ・ライムンド・サンパイオ
Carolina,カロリナ (マラニョン州)
Paralelo 4 N,北緯4度線
Taurus,トーラス (銃器メーカー)
ABSA Cargo Airline,ABSAカーゴ
cinema do Brasil,ブラジルの映画
Jocum,ユース・ウィズ・ア・ミッション
Roraima,ロライマ州
Farol da Barra,バーハ灯台
Ordem dos Frades Menores,小さき兄弟会
Desportivo Brasil,デスポルティーボ・ブラジル
Seleção Brasileira,ブラジル代表
Taça Brasil de Futsal,タッサ・ブラジル・ヂ・フットサル
Parque Nacional dos Lençóis Maranhenses,レンソイス・マラニャンセス国立公園
Mirassol,ミラソウ
Guanabara,グアナバラ州
Polícia Rodoviária Federal,連邦高速道路警察
Polícia Ferroviária Federal,連邦鉄道警察
Velocette,ベロセット
Audax Rio de Janeiro Esporte Clube,アウダックス・リオデジャネイロEC
Sistema de ligas de futebol do Brasil,カンピオナート・ブラジレイロ
Bienal Internacional de Arte de São Paulo,サンパウロ・ビエンナーレ
1958 no Brasil,1958年のブラジル
Resende,レゼンデ (リオデジャネイロ州)
Esporte Clube Vitória,ECヴィトーリア
Jundiaí,ジュンジアイ
Cerrado,カンポ・セラード
Volta Redonda,ヴォルタ・レドンダ
Rio Grande do Norte,リオグランデ・ド・ノルテ州
Rodovia Pan-Americana,パンアメリカンハイウェイ
São Vicente,サン・ヴィセンテ
Embu das Artes,エンブ・ダス・アルテス
Capons,アカワイオ人
Centro de Lançamento de Alcântara,アルカンタラ射場
futebol do Brasil,ブラジルのサッカー
Sambódromo da Marquês de Sapucaí,サンボードロモ・ダ・マルケス・ジ・サプカイ
Ilha do Bananal,バナナル島
Região do Grande ABC,ABC地域
Ilha de Santa Catarina,サンタ・カタリーナ島 (ブラジル)
Estádio Octávio Mangabeira,エスタジオ・オクターヴィオ・マンガベイラ
Copa do Mundo FIFA de Futebol de Areia de 2006,2006 FIFAビーチサッカーワールドカップ
Jogos Pan-Americanos de 1963,1963年パンアメリカン競技大会
Ministério do Turismo (Brasil),観光省
Ministério das Relações Exteriores,対外関係省
Jacareí,ジャカレイー
Lins,リンス
Marinha do Brasil,ブラジル海軍
Democratas,民主党 (ブラジル)
Paralelo 2 N,北緯2度線
Paralelo 3 N,北緯3度線
Paralelo 1 N,北緯1度線
Ivaiporã,イヴァイポラン
Sobradinho Esporte Clube,ソブラジーニョEC
Montes Claros,モンテス・クラロス
Copa Rio,コパ・リオ
Diadema,ディアデマ
Talian,タリアン方言
Os Sertões,奥地の反乱
Rio Quente,リオ・ケンテ
Taça das Nações,リトル・ワールドカップ
Canudos,カヌードス
Saquarema,サクアレマ
discurso direto,直接話法
Morros,モーロス
Rondônia,ロンドニア州
Partido Verde,緑の党
Rocinha,ホッシーニャ
Ferrovia Centro-Atlântica,セントロ・アトランティカ鉄道
Islã no Brasil,ブラジルのイスラム教
Manga,マンガ (ミナスジェライス州)
Ilha de Paquetá,パケター島
Ibirité,イビリテ
Brumadinho,ブルマジーニョ
Álvares Machado,アルバレス・マッシャード
Divinópolis,ディビノポリス
lusofonia,ルゾフォニア
Diamantino,ディアマンティノ
Eldorado,エルドラード
ALCO PA-2,アルコPA
Agência Nacional de Vigilância Sanitária,国家衛生監督庁
Torneio de São Paulo de Tênis,サンパウロ
Aquaria,アクアリア
Associação Atlética das Palmeiras,AAパルメイラス
Associação Atlética Internacional (Limeira),AAインテルナシオナル (リメイラ)
ABC Futebol Clube,ABC FC
Artur Nogueira,アルトゥール・ノゲイラ
Copa Sul-Minas,コパ・スル＝ミナス
Republicanos,ブラジル共和党
Universidade Federal do Paraná,パラナ連邦大学
Teixeira de Freitas,テイシェイラ・デ・フレイタス
Batalhão de Operações Policiais Especiais,特殊警察作戦大隊
Itapecerica da Serra,イタペセリカ・ダ・セーラ
Colombo,コロンボ
Ubá,ウバ (ブラジル)
São João da Barra,サン・ジョアン・ダ・バラ
São João da Boa Vista,サンジョアン・ダ・ボアヴィスタ
cruzado,クルザード
Maré,マレ
Campeonato Roraimense de Futebol,カンピオナート・ロライメンセ
Dark Metro,ダークメトロ
Capitólio,カピトリオ
Esporte Clube Pinheiros,ECピニェイロス (サンパウロ州)
Estádio Serra Dourada,スタジオ・セーハ・ドウラーダ
São Pedro,サン・ペードロ (サンパウロ州)
Esporte Clube Tigres do Brasil,ECチグレス・ド・ブラジル
Estádio do Pacaembu,エスタジオ・ド・パカエンブー
Torre de TV de Brasília,ブラジリアテレビ塔
Estádio Roberto Santos,エスタジオ・ゴヴェルナドール・ロベルト・サントス
Estrada de Ferro Noroeste do Brasil,ノロエステ鉄道
Mundurucus,ムンドゥルク族
Estação Central do Brasil,セントラル・ド・ブラジル駅
Esporte Clube Pinheiros (Paraná),ECピニェイロス (パラナ州)
Ponte Juscelino Kubitschek,ジュセリーノ・クビチェック橋
Itaituba,イタイトゥバ
Arena do Grêmio,Arena do Grêmio
Aracati,アラカティ
Assis Brasil,アシス・ブラジル
Maracanãzinho,マラカナンジーニョ
Abadia de Goiás,アバジア・ジ・ゴイアス
Dourados,ドウラドス
Clube Atlético Juventus,CAジュベントス
Boomerang,ブーメラン
Lagoa dos Patos,パトス湖
Partido dos Trabalhadores,労働者党
Metrô de Salvador,サルヴァドール・メトロ
Orquestra Filarmônica de Duisburg,デュースブルク・フィルハーモニー管弦楽団
Novo Hamburgo,ノヴォ・アンブルゴ
Pontifícia Universidade Católica de Minas Gerais,教皇庁立ミナス・ジェライスカトリック大学
Campeonato Brasileiro de Futebol de 2001,2001 カンピオナート・ブラジレイロ・セリエA
Ribeirão Pires,リベイラオン・ピレス
Ponta Porã,ポンタ・ポラン
hunsriqueano riograndense,フンスリュック方言
Aeroporto Internacional de Salvador,ディユタード・ルイス・エドワルド・マガリャエス国際空港
Voo Aerolíneas Argentinas 322,アルゼンチン航空322便墜落事故
Aeroporto de Ilhéus - Jorge Amado,イリェウス
Rio Claro,リオ・クラロ (サンパウロ州)
Instituto Tecnológico de Aeronáutica,航空技術大学
Santos Futebol Clube,サントスFC (女子)
Associação Desportiva São Caetano,ADサンカエターノ
Bragança,ブラガンサ
Ipatinga,イパチンガ
MWM International,MWMモーターズ
Jardim,ジャルディン
Silva Jardim,シウヴァ・ジャルジン
Centro Sportivo Alagoano,セントロ・スポルチーヴォ・アラゴアーノ
Parque Olímpico Cidade do Rock,ロック・シティ
Aeroporto de Joinville,ジョインビレ
LATAM Airlines Group,LATAM航空グループ
Movimento Democrático Brasileiro,ブラジル民主運動党
Santo Antônio da Platina,サント・アントーニオ・ダ・プラチーナ
Santana do Paraíso,サンタナ・ド・パライーゾ
Itaquaquecetuba,イタクワクエゼツーバ
Santo Amaro da Imperatriz,サント・アマロ・ダ・インペラトリス
Franco da Rocha,フランコ・ダ・ロシャ
Aeroporto Internacional de Manaus,エドワルド・ゴメス国際空港
Guarapuava,グアラプアバ
Pomerode,ポメロデ
Parintins,パリンティンス
Paraty,パラチー
Serra,セラ
Cosmópolis,コスモポリス
Araçoiaba da Serra,アラソヤバ・ダ・セーハ
Esporte Clube Santo André,ECサント・アンドレ
Miss Brasil,ミス・ブラジル
Rio Quaraí,クアライ川
Rio Apa,アパ川
Brusque,ブルスケ
Piracicaba,ピラシカバ
Arandu,アランドゥ
Santa Isabel do Rio Negro,サンタ・イザベウ・ド・リオ・ネーグロ
Mostardas,モスタルダス
Abrolhos,アブロリョス諸島
Mauá,マウアー
Enel Distribuição São Paulo,Enel São Paulo
Eletrobras,ブラジル電力
Elevador Lacerda,ラセルダ エレベーター
Universidade de Brasília,ブラジリア大学
Sertão,セルトン
Rio Iriri,イリリ川
Taça Brasil de Futebol,タッサ・ブラジル
Serra Parima,パリマ山地
Aeroporto Internacional de Macapá,マカパ
Placar,プラカール
Estádio Major Antônio Couto Pereira,エスタジオ・マジョール・アントニオ・コウト・ペレイラ
Serra do Navio,セーハ・ド・ナヴィオ
