Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Deodoro da Fonseca,デオドロ・ダ・フォンセカ
Juan Silveira dos Santos,フアン・シルヴェイラ・ドス・サントス
Thiago Alcântara,ティアゴ・アルカンタラ・ド・ナシメント
Jussiê,ジュシエ・フェレイラ・ヴィエイラ
Renato Dirnei Florêncio,レナト・ジルネイ・フロレンシオ・サントス
Dante Bonfim Costa Santos,ダンテ・ボンフィム・コスタ・サントス
Mano Menezes,マノ・メネーゼス
Mariano (futebolista),マリアーノ・フェレイラ・フィーリョ
Cléo (futebolista),クレヴェルソン・ガブリエウ・コルドヴァ
Oscar dos Santos Emboaba Júnior,オスカル・ドス・サントス・エンボアバ・ジュニオール
Ilan Araújo Dall'Igna,イラン・アラウージョ・ダッリーニャ
Felipe Massa,フェリペ・マッサ
Bruno Barreto,ブルーノ・バレット
Bruno Senna,ブルーノ・セナ
Karin Rodrigues (voleibolista),カリン・ロドリゲス
Nílton Santos,ニウトン・サントス
Júlio César Soares Espíndola,ジュリオ・セザル・ソアレス・エスピンドラ
Brandão (futebolista),エヴァエヴェルソン・レモス・ダ・シウヴァ
Anderson Andrade,アンデルソン・アンドラージ・アントゥネス
Nilmar,ニウマール・オノラート・ダ・シウバ
Carlos Alberto Santos (futebolista),カルロス・アルベルト・ソーザ・ドス・サントス
Jorge Amado,ジョルジェ・アマード
Josué de Castro,ジョズエ・デ・カストロ
Nathalia Dill,ナタリア・ディル
João Goulart,ジョアン・グラール
Luiz Inácio Lula da Silva,ルイス・イナシオ・ルーラ・ダ・シルヴァ
Dida (futebolista),ネウソン・デ・ジェズス・シウヴァ
Jorge de Amorim Campos,ジョルジ・デ・アモリン・カンポス
Edmilson Alves,エジミウソン・アウヴェス
Emerson Thome,エメルソン・アウグスト・トーメ
Fumagalli,ジョゼ・フェルナンド・フマガリ
Uéslei,ウェズレイ・ハイムンド・ペレイラ・ダ・シルヴァ
Lopes Tigrão,ウェリントン・ノゲイラ・ロペス
Ânderson Lima,アンデルソン・リマ・ベイガ
Jairzinho,ジャイルジーニョ
Jean Carlo Witte,ジャーン・カルロ・ウィッテ
Alcindo Sartori,アルシンド・サルトーリ
Diego de Souza Gama Silva,ディエゴ・デ・ソウザ・ガマ・シルバ
José Carlos Ferreira Filho,ジョゼ・カルロス・フェレイラ・フィーリョ
Rafael Pereira da Silva (1990),ラファエル・ペレイラ・ダ・シウバ
Achim Steiner,アヒム・シュタイナー
Josué Anunciado de Oliveira,ジョズエ・アヌンシアト・デ・オリヴェイラ
Aílton Gonçalves da Silva,アイウトン・ゴンサウヴェス・ダ・シウヴァ
Grafite (futebolista),エジナウド・バチスタ・リバノ
Gustavo Kuerten,グスタボ・クエルテン
Gilberto Silva,ジウベルト・シウバ
Marcio Richardes de Andrade,マルシオ・リシャルデス・デ・アンドラーデ
Geílson,ジェイウソン・デ・カルバーリョ・ソアレス
Sandro Cardoso dos Santos,サンドロ・カルドソ・ドス・サントス
Chumbinho (futebolista),マリナウド・シセロ・ダ・シルバ
Thiago Silva (futebolista),チアゴ・エミリアーノ・ダ・シウバ
Isabeli Fontana,イザベリ・フォンタナ
Juscelino Kubitschek,ジュセリーノ・クビチェック
Rodolfo Amoedo,ロドルフォ・アモエド
Benny Feilhaber,ベニー・ファイルハーバー
Maria Leopoldina da Áustria,マリア・レオポルディナ・デ・アウストリア
Lucimar da Silva Ferreira,ルシマール・ダ・シウヴァ・フェレイラ
Pedro II do Brasil,ペドロ2世・(ブラジル皇帝)
Roger Silva,ホジェル・ロドリゲス・ダ・シルバ
Paulinho McLaren,パウロ・セザール・ヴィエイラ・ローザ
Guga (futebolista),アレシャンドレ・ダ・シルバ
Getúlio Vargas,ジェトゥリオ・ドルネレス・ヴァルガス
Hernane Brocador,エルナーネ・ヴィダウ・ジ・ソウザ
Júlio César Pinheiro,ジュリオ・セザール・ピニェイロ・ガルシア
Elano,エラーノ・ラルフ・ブルメル
Fernando Rech,フェルナンド・ルイス・レッキ
Marcelo Vieira da Silva Júnior,マルセロ・ヴィエイラ・ダ・シウヴァ・ジュニオル
Ronaldinho Gaúcho,ロナウジーニョ
Tite (treinador de futebol),アデノール・レオナルド・バッチ
Marcos Aoás Corrêa,マルコス・アオアス・コレア
Adriano Correia,アドリアーノ・コレイア・クラロ
Diego Ribas,ジエゴ・リバス・ダ・クーニャ
Nelson Piquet,ネルソン・ピケ
Roberto Pupo Moreno,ロベルト・モレノ
Carlos Alberto Parreira,カルロス・アルベルト・パレイラ
Rubens Barrichello,ルーベンス・バリチェロ
Luciano Burti,ルチアーノ・ブルティ
Ricardo Rosset,リカルド・ロセット
Felipão (treinador de futebol),ルイス・フェリペ・スコラーリ
Zózimo (futebolista),ゾジモ
Adriano Imperador,アドリアーノ・レイテ・リベイロ
Eder Citadin Martins,エデル・チタディン・マルティンス
Dilma Rousseff,ジルマ・ルセフ
Gil (futebolista),カルロス・ジウベルト・ナシメント・シウヴァ
Paulo Assunção,パウロ・アスンソン・ダ・シウバ
Emílio Goeldi,エミール・ゲルディ
Igor de Camargo,イゴール・デ・カマルゴ
Carmen Miranda,カルメン・ミランダ
Jorge Ben Jor,ジョルジ・ベンジョール
Paulo Freire,パウロ・フレイレ
Bruno Mendes,ブルーノ・ペレイラ・メンデス
Sammir,ジョルジ・サミール・クルス・カンポス
Ânderson Luís da Silva,アンデルソン・ルイス・ダ・シウバ
Thiago Motta,ティアゴ・モッタ
Zé Elias,ジョゼ・エリアス・モエディム・ジュニオール
Fabio Pereira da Silva,ファビオ・ペレイラ・ダ・シウヴァ
Liedson,リエジソン・ダ・シウヴァ・ムニス
João Gilberto,ジョアン・ジルベルト
João Figueiredo,ジョアン・フィゲイレド
Maxwell Scherrer Cabelino Andrade,マクスウェル・シェレル・カベリーノ・アンドラーデ
Denílson Pereira Neves,デニウソン・ペレイラ・ネヴェス
Dunga,ドゥンガ
Vilém Flusser,ヴィレム・フルッサー
Edno,エジノ・ホベルト・クーニャ
Ronald Golias,ロナルド・ゴリアテ
Giovane Élber,ジオバネ・エウベル・ジ・ソウザ
João Barbosa Rodrigues,ジョアン・バルボーザ・ロドリゲス
Antônio Benedito da Silva,アントニオ・ベネディット・ダ・シルバ
Will Robson Emilio de Andrade,ウィル・ロブソン・エミリオ・アンドラデ
Leonardo Nascimento de Araújo,レオナルド・ナシメント・ジ・アラウージョ
Jorginho Putinatti,ジョルジ・アントニオ・プチナッチ
Rogerinho (futebolista),ホジェリオ・ミランダ・シウヴァ
Almir de Souza Fraga,アウミール・デ・ソウザ・フラガ
Rodrigo Souto,ロドリゴ・リベイロ・ソウト
Tarso Marques,タルソ・マルケス
Maurício Gugelmin,マウリシオ・グージェルミン
Ricardo Cavalcante Mendes,ヒカルド・カヴァウカンチ・メンデス
Chico Serra,チコ・セラ
José Carlos Pace,ホセ・カルロス・パーチェ
Zetti,アルメリーノ・ドニゼッティ・クワリアト
Evair,エバイール・アパレシード・パウリーノ
Raul Boesel,ラウル・ボーセル
Ingo Hoffmann,インゴ・ホフマン
Ricardo Zonta,リカルド・ゾンタ
Alex Rodrigo Dias da Costa,アレックス・ロドリゴ・ディアス・ダ・コスタ
Emerson Ferreira da Rosa,エメルソン・フェレイラ・ダ・ローザ
Tartá,ヴィニシウス・シルバ・ソアレス
Fábio Aurélio,ファビオ・アウレリオ・ホドリゲス
Vítor Júnior,ヴィトール・シルバ・アシス・デ・オリベイラ・ジュニオール
Glauber Rocha,グラウベル・ローシャ
Marisa Monte,マリーザ・モンチ
Robert Falkenburg,ボブ・ファルケンバーグ
Dante Amaral,ダンテ・アマラウ
Breno Vinícius Rodrigues Borges,ブレノ・ロドリゲス・ボルジェス
Daniel Alves,ダニエウ・アウヴェス
Antônio Pizzonia,アントニオ・ピッツォニア
Paulo Silas,パウロ・シーラス・ド・プラド・ペレイラ
Lucas Piazón,ルーカス・ドミンゲス・ピアソン
Djalminha,ジャウマ・フェイトサ・ジアス
Aldrovani,アウドロヴァーニ・メノン
Capitão (futebolista),オレウデ・ホセ・リベイロ
Francisco Ernandi Lima da Silva,フランシスコ・エルナンディ・リマ・ダ・シルバ
Zico,ジーコ
Eduardo Francisco da Silva Neto,エドゥアルド・フランシスコ・ダ・シウヴァ・ネト
Wolnei Caio,ウォルネイ・カイオ
André Cruz,アンドレ・アウヴェス・ダ・クルス
Dedimar,デジマール・ソウザ・リマ
Carlos Adriano de Jesus Soares,カルロス・アドリアーノ・デ・ジョス・ソアレス
David Luiz,ダヴィド・ルイス・モレイラ・マリーニョ
Luís Fabiano,ルイス・ファビアーノ・クレメンチ
Eric Fernando Botteghin,エリック・フェルナンド・ボテギン
Marcos Senna,マルコス・アントニオ・セナ・ダ・シウヴァ
Robert da Silva Almeida,ホベルッチ・ダ・シウバ・アウメイダ
Adriano Gerlin da Silva,アドリアーノ・ジェルリン・ダ・シルバ
Hugo Henrique Assis do Nascimento,ウーゴ・エンリケ・アシス・ド・ナシメント
Marcos Rocha (futebolista),マルコス・ルイス・ローシャ・アキノ
Fabrício de Souza,ファブリシオ・デ・ソウザ
Elkeson,エウケソン・ジ・オリヴェイラ・カルドーゾ
Túlio Guerreiro,トゥーリオ・ルストーザ・セイシャス・ピネイロス
Alice Braga,アリシー・ブラガ
Morena Baccarin,モリーナ・バッカリン
Fellype Gabriel,フェリペ・ガブリエル・デ・メロ・エ・シウバ
Márcio Rafael Ferreira de Souza,マルシオ・ラファエウ・フェレイラ・デ・ソウザ
Doni Marangon,ドニエベル・アレシャンデル・マランゴン
Gilson do Amaral,ジウソン・ド・アマラウ
Baré (futebolista),ジャデル・ヴォルネイ・スピンドラー
Rodrigo Lacerda Ramos,ロドリゴ・ラセルダ・ラモス
Ivete Sangalo,イヴェッチ・サンガロ
Sarah Menezes,サラ・メネゼス
Clarice Lispector,クラリッセ・リスペクトール
Lucas Di Grassi,ルーカス・ディ・グラッシ
Nelson Piquet Jr.,ネルソン・ピケJr.
Carlos Alberto Dias,カルロス・アルベルト・コスタ・ジアス
Jadílson,ジョゼ・ジャディウソン・ドス・サントス
Sérgio Manoel Júnior,セルジオ・マノエル
Euller,エウレル・エリアス・デ・カルバーリョ
Roger Machado,ホージェル・マシャド・マルケス
Roberto Rivellino,ロベルト・リベリーノ
Lucas Leiva,ルーカス・ペッツィーニ・レイヴァ
Fernando Henrique Cardoso,フェルナンド・エンリケ・カルドーゾ
Jordana Brewster,ジョーダナ・ブリュースター
Éverton Nogueira,エバートン・ノゲイラ
Elivélton,エリベウトン・アルヴェス・ルフィーノ
Edu Marangon,カルロス・エドゥアルド・マランゴン
Emerson Fittipaldi,エマーソン・フィッティパルディ
Enrique Bernoldi,エンリケ・ベルノルディ
Cristiano da Matta,クリスチアーノ・ダ・マッタ
Alex Dias Ribeiro,アレックス・ディアス・リベイロ
Christian Fittipaldi,クリスチャン・フィッティパルディ
Oséas,オゼアス・レイス・ドス・サントス
Pedro Paulo Diniz,ペドロ・ディニス
Wilson Fittipaldi Júnior,ウィルソン・フィッティパルディ
Henrique Pacheco Lima,エンリケ・パシェコ・デ・リマ
Fábio Alves Félix,ファビオ・アウヴェス・フェリックス
Alessandro Cambalhota,アレサンドロ・アンドラーデ・ジ・オリヴェイラ
Maria Amélia de Bragança,マリア・アメリア・デ・ブラガンサ
Marcel Augusto Ortolan,マルセウ・アウグスト・オルトラン
Kelly (futebolista),クレズリー・エバンドロ・ギマラエンス
Cláudio Caçapa,クラウディオ・カサッパ
Ana Carolina Reston,アナ・カロリナ・レストン
Fabiana Murer,ファビアナ・ムレル
Maurren Maggi,マウレン・マギ
Maria II de Portugal,マリア2世・(ポルトガル女王)
Gilberto Gil,ジルベルト・ジル
Maria Esther Bueno,マリア・ブエノ
Izabel Goulart,イザベル・グラール
Cicinho,シシーニョ
Zé Roberto (futebolista),ジョゼ・ロベルト・ダ・シウヴァ・ジュニオル
Cacau (futebolista),カカウ
Robinho,ロビーニョ
Leandro Barbosa,リアンドロ・バルボサ
Maicon Douglas Sisenando,マイコン・ダグラス・シセナンド
Rhayner,ハイネル・サントス・ナシメント
Dedê,レオナルド・デ・デウス・サントス
Sandro Ranieri Guimarães Cordeiro,サンドロ・ラニエリ・ギマランイス・コルデイロ
Artur Moraes,アルトゥール・モラエス
Alan Carvalho,アラン・ドグラス・ボルジェス・デ・カルヴァーリョ
Bismarck Barreto Faria,ビスマルク・バレット・ファリア
Gomes (futebolista),エウレリョ・ダ・シウヴァ・ゴメス
Romário,ロマーリオ
Marques (futebolista),マルケス・バチスタ・デ・アブレウ
Cafu,カフー
Belletti,ジュリアーノ・ベレッチ
Caroline Trentini,キャロライン・トレンティーニ
Eduardo da Silva,エドゥアルド・ダ・シルヴァ
Adolfo Lutz,アドルフォ・ルッツ
Edi Andradina,エジ・カルロス・ディアス・マルサウ
Bertrand de Orléans e Bragança,ベルトランド・デ・オルレアンス・イ・ブラガンサ
Sandy,サンディ・(歌手)
Tom Jobim,アントニオ・カルロス・ジョビン
Maiara Walsh,マイアラ・ウォルシュ
Adhemar Ferreira da Silva,アデマール・ダ・シルバ
Marta (futebolista),マルタ・ビエイラ・ダ・シルバ
Abilio Diniz,アビーリオ・ディニス
Roberto Dinamite,ロベルト・ディナミッチ
Alex Sandro,アレックス・サンドロ・ロボ・シウバ
Chico Mendes,シコ・メンデス
Vitorino Hilton,ヴィトリーノ・イウトン・ダ・シウヴァ
Escadinha (voleibolista),セルジオ・ドゥトラ・サントス
Marina Silva,マリナ・シルバ
Zumbi dos Palmares,ズンビ・ドス・パルマーレス
Astrud Gilberto,アストラッド・ジルベルト
Sônia Braga,ソニア・ブラガ
Ana Beatriz Barros,アナ・ベアトリス・バロス
Gal Costa,ガル・コスタ
Maria Bethânia,マリア・ベターニア
Fernando Collor,フェルナンド・コロール・デ・メロ
Emerson Sheik,マルシオ・パッソス・ジ・アルブケルケ
José João Altafini,ジョゼ・アルタフィーニ
Fritz Müller,フリッツ・ミューラー
Amauri Carvalho de Oliveira,アマウリ・カルヴァーリョ・デ・オリヴェイラ
Neto Murara,ノルベルト・ムラーラ・ネト
Leandro Euzébio,レアンドロ・ダ・フォンセカ・エウゼビオ
Garrincha,ガリンシャ
Fábio de Jesus,ファビオ・デ・ジェズス
Sérgio Luís Donizetti,セルジオ・ルイス・ドニゼッティ
Márcio Rodrigues,マルシオ・ロドリゲス
João Batista da Silva,ジョアン・バチスタ・ダ・シウバ
Zé Sérgio,ジョゼ・セルジオ・プレスティ
Eduardo Costa (futebolista),エドゥアルド・ナシメント・コスタ
Alfie Enoch,アルフレッド・イーノック
Jennifer O'Neill,ジェニファー・オニール
Jaqueline Carvalho,ジャケリネ・カルバリョ
Joubert Araújo Martins,ジョベルト・アラウジョ・マルチンス
Royce Gracie,ホイス・グレイシー
Caiuby,カイウビー・フランシスコ・ダ・シウヴァ
Alex Raphael Meschini,アレックス・ラファエウ・メスキーニ
Jajá Coelho,ジャクソン・アヴェリーノ・コエーリョ
Jorge Ferreira da Silva,ジョルジ・フェレイラ・ダ・シウバ
Jefferson Andrade Siqueira,ジェフェルソン・アンドラーデ・シケイラ
Sebastião Lazaroni,セバスティアン・ラザロニ
Wanderson do Carmo,ヴァンデルソン・ド・カルモ
José Sarney,ジョゼ・サルネイ
Murilo Endres,ムーリオ・エンドレス
Rodrigo Tabata,ホドリゴ・バルボーザ・タバタ
Kléber de Carvalho Correia,クレーベル・デ・カルヴァーリョ・コレイア
João Leite (político),ジョアン・レイチ・ダ・シウヴァ・ネト
Evaristo de Macedo,エヴァリスト・デ・マセド
Francisca de Bragança,フランソワーズ・ド・ブラガンス
Raquel Zimmermann,ラケル・ジマーマン
Joel Santana,ジョエル・サンタナ
Paulo Cézar Lima,パウロ・セーザル・リマ
Toninho Cerezo,トニーニョ・セレーゾ
Robson Caetano,ロブソン・ダ・シルバ
Toninho Cecílio,アントニオ・ジョルジ・セシリオ・ソブリホ
Eduardo Marques (futebolista),エドワルド・マルケス・デ・ジェズス・パッソス
Pintado (futebolista),ルイス・カルロス・デ・オリベイラ・プレト
Álvaro Luiz Maior de Aquino,アウヴァーロ・ルイス・マイオル・ジ・アキノ
Geovanni,ジェオヴァンニ・デイベウソン・マウリシオ・ゴメス
Leopoldina de Bragança,レオポルディナ・フォン・ブラジリエン
Ânderson Miguel da Silva,アンデルソン・ミゲル・ダ・シウバ
Ânderson Polga,アンデルソン・コレア・ポウガ
Toquinho,トッキーニョ
Danilo Gabriel de Andrade,ダニーロ・ガブリエル・デ・アンドラーデ
Doriva,ドリバル・ギドニ・ジュニオール
Ronny (futebolista),ロニー・エベルソン・フルタード・デ・アラウージョ
Guilherme Milhomem Gusmão,ギリェルメ・ミリョメム・グスマン
Ismael Nery,イスマエル・ネリ
Sérgio Buarque de Holanda,セルジオ・ブアルキ・ヂ・オランダ
Anselmo Ramon,アンセウモ・ハモン・アルヴェス・エルクラノ
Jean Elias,ジャン・エリアス・ペイシュート
Eliane Elias,イリアーヌ・イリアス
Gylmar dos Santos Neves,ジウマール・ドス・サントス・ネヴェス
Sheilla Castro,シェイラ・カストロ
Thaísa Daher,タイーザ・メネセス
Bellini (futebolista),イウデラウド・ルイス・ベリーニ
Januária de Bragança,ジャヌアリア・マリア・デ・ブラガンサ
Fabiana Alvim,ファビアナ・オリベイラ
Ailton Almeida,アイウトン・ジョゼ・アウメイダ
Wallace Souza,ウォレス・ソウザ
Edu Dracena,エドゥアルド・ルイス・アボニジオ・デ・ソウザ
Maicon Pereira Roque,マイコン・ペレイラ・ロケ
Felipe Kitadai,フェリペ・キタダイ
Dani Lins,ダニエル・リンス
Marcelinho Paraíba,マルセロ・ドス・サントス
Hermeto Pascoal,エルメート・パスコアール
Roniéliton Pereira Santos,ロニエルトン・ペレイラ・サントス
Chico Xavier,シコ・シャヴィエル
Margarida (árbitro),ジョルジ・ジョゼ・エミリアーノ・ドス・サントス
Maicon Thiago Pereira de Souza,マイコン・チアゴ・ペレイラ・ジ・ソウザ
Alan Bahia,アラン・ペレイラ・コスタ
Bruna Tenório,ブルーナ・テノリオ
Gustavo Nery,グスタヴォ・ネリー・ヂ・サ・ダ・シウヴァ
Leandro Cunha,レアンドロ・クーニャ
Edenílson,エジニウソン・アンドラージ・ドス・サントス
Roberto Mangabeira Unger,ロベルト・マンガベイラ・アンガー
Almeida Júnior,アルメイダ・ジュニオール
Anselmo Duarte,アンセルモ・ドゥアルテ
Arthur Moreira Lima,アルトゥール・モレイラ・リマ
Thiago Ribeiro,チアゴ・リベイロ・カルドーソ
Willian Bigode,ウィリアン・ゴメス・ジ・シケイラ
Bruno Coutinho,ブルーノ・コウチーニョ・マルティンス
Carlos Gomes,アントーニョ・カルロス・ゴメス
Ronald Biggs,ロナルド・ビッグズ
Paula Pequeno,パウラ・ペケーノ
Fabiana Claudino,ファビアナ・クラウジノ
Ruth Cardoso,ルース・カルドーゾ
Huenes Marcelo Lemos,ヘネス・マルセロ・レモス
Bruno Lins,ブルーノ・デ・バロス
Paulo Isidoro de Jesus,パウロ・イジドーロ・デ・ジェズス
Raul de Souza,ラウル・ジ・スーザ
Bosco (futebolista),ジョアン・ボスコ・ジ・フレイタス・シャヴェス
Érika Coimbra,エリカ・コインブラ
Apodi (futebolista),ルイス・ジャリソン・ジ・ソウザ・アウベス
Rômulo Borges Monteiro,ロムロ・ボルジェス・モンテイロ
Raudinei Anversa Freire,ハウジネイ・アニヴェルサ・フレイレ
Moacir Rodrigues dos Santos,モアシール・ロドリゲス・サントス
Arthur Napoleão,アルトゥール・ナポレアン・ドス・サントス
Cristiane Justino,クリスチャン・サイボーグ
Caíco,アイルトン・グラシリアーノ・ドス・サントス
Pedro Geromel,ペドロ・トノン・ジェロメウ
Michelle Alves,ミシェル・アルヴス
Capone (futebolista),カルロス・アルベルト・デ・オリベイラ
Victor Leandro Bagy,ヴィクトル・レアンドロ・バジ
Carlos Lyra,カルロス・リラ
Thiago Alves (voleibolista),チアーゴ・アウヴェス
Luíza Sá,ルイザ・サア
Wallace de Souza,バラセ・デ・ソウザ
Wellington Rocha dos Santos,ウェリントン・ロシャ・ドス・サントス
Junior Dutra,セルジオ・ドゥトラ・ジュニオール
Anderson Gonzaga,アンデルソン・アパレシード・ゴンサガ
Rodrigo Pimpão,ホドリゴ・ピンパォン・ヴァイアーナ
Lovefoxxx,ラヴフォックス
Fernanda Garay,フェルナンダ・ロドリゲス
Tancredo Neves,タンクレード・ネーヴェス
Maria Rita,マリア・ヒタ
Larissa França,ラリッサ・フランカ
Éder Aleixo,エデル・アレイショ・デ・アシス
Éder Jofre,エデル・ジョフレ
Fabrício Werdum,ファブリシオ・ヴェウドゥム
Anthony Steffen,アンソニー・ステファン
Eumir Deodato,デオダート
Camille Cabral,カミーユ・カブラル
Maya Gabeira,マヤ・ガベイラ
Kelvin Mateus de Oliveira,ケルヴィン・マテウス・デ・オリヴェイラ
João Paulo de Oliveira,ジョアオ・パオロ・デ・オリベイラ
Roger Bernardo,ロジェール・デ・オリヴェイラ・ベルナルド
André Rienzo,アンドレ・リエンゾ
Isadora Williams,イサドラ・ウィリアムズ
Leandro Guilheiro,レアンドロ・ギルヘイロ
Fernanda Ferreira,フェルナンダ・フェレイラ
Tandara Caixeta,タンダラ・カイシェタ
Adenízia da Silva,アデニジア・シルバ
Édson Luciano,エジソン・リベイロ
Natália Pereira,ナタリア・ペレイラ
Émerson Luiz Firmino,エメルソン・ルイス・フィルミーノ
Emerson Leão,エメルソン・レオン
Fábio Camilo de Brito,ファビオ・カミーリョ・デ・ブリト
Renato Pé Murcho,カルロス・レナト・フレデリコ
Hugo Hoyama,小山ウーゴ
Licínio Rangel,リシニオ・ランゲル
Donato Gama da Silva,ドナト・ガマ・ダ・シウバ
Muriqui (futebolista),ルイス・ギリェルメ・ダ・コンセイソン・シウヴァ
Alexander Kellner,アレクサンダー・ケルナー
Ryan Gracie,ハイアン・グレイシー
Sidmar Antonio Martins,シジマール・アントニオ・マルチンス
Arlindo Cruz,アルリンド・クルス
Dodô (futebolista),リカルド・ルーカス
César Lattes,セザーレ・ラッテス
Jorge Wagner,ジョルジ・ワグネル
William Júnior Salles de Lima Souza,ヴィリアム・ジュニオール・サレス・ジ・リマ・ソウザ
Kiko Loureiro,キコ・ルーレイロ
Rodrigo Defendi,ロドリゴ・デフェンジ
Maria Olívia da Silva,マリア・オリヴィア・ダ・シウヴァ
Lucas Michel Mendes,ルーカス・ミシェウ・メンデス
Marcelo Rosa,マルセロ・ローザ・ダ・シルヴァ
Edinho Baiano,エジソン・マノエル・ド・ナシメント
Claudinei da Silva,クラウディネイ・ダ・シルバ
Rafael Suzuki,ラファエル・スズキ
Carlos Andrade Souza,カルロス・アンドラージ・ソウザ
Bruno Soares,ブルーノ・ソアレス
Marjorie Estiano,マルジョリエ・エスチアーノ
Érico Veríssimo,エリコ・ヴェリッシモ
Ana Tiemi,アナ・チエミ・タカギ
Júlio César da Silva (futebolista),ジュリオ・セザール・ダ・シウバ
Roberto Firmino,ロベルト・フィルミーノ・バルボーサ・デ・オリヴェイラ
Gérson (futebolista),ジェルソン・デ・オリヴェイラ・ヌーネス
Pixinguinha,ピシンギーニャ
Milton Vieira (lutador),ミルトン・ヴィエイラ
Paulo André,パウロ・アンドレ・クレン・ベニーニ
Edgar Bruno da Silva,エジガル・ブルーノ・ダ・シウヴァ
Thiago Carleto,チアゴ・カルレット・アウヴェス
Lino (futebolista),ドルヴァリーノ・アウヴェス・マシエウ
Diego Renan,ジエゴ・ヘナン・ジ・リマ・フェレイラ
Antônio Meneses,アントニオ・メネセス
Thiago Silva (lutador),チアゴ・シウバ・(格闘家)
João Carlos Pinto Chaves,ジョアン・カルロス・ピント・チャヴェス
Honório Hermeto Carneiro Leão,オノリオ・エルメト・カルネイロ・レオン・(パラナ侯爵)
Zé Carioca,ホセ・キャリオカ
Ítalo-brasileiro,イタリア系ブラジル人
Tiago Della Vega,チアゴ・デラ・ヴェガ
Alexandre Goulart,アレシャンドレ・ルイス・グラール
Luiz Phellype,ルイス・フェリッピ・ルシアーノ・シウヴァ
Iracema Trevisan,イラチェマ・トレヴィサン
