Polska,ポーランド
Trzciano (województwo pomorskie),トシチャノ
Smok wawelski,ヴァヴェルの竜
Linia kolejowa Szczecin – Berlin,ベルリン-シュチェチン線
Polski Autokefaliczny Kościół Prawosławny,ポーランド正教会
Gdańsk Główny,グダニスク中央駅
Górnik Zabrze,グールニク・ザブジェ
Radziwiłłowie herbu Trąby,ラジヴィウ家
Augustów,アウグストゥフ
Lotnisko Chopina w Warszawie,ワルシャワ・ショパン空港
Berlin-Warszawa-Express,ベルリン-ワルシャワエクスプレス
Katastrofa lotu Lufthansa 2904,ルフトハンザドイツ航空2904便事故
Politechnika Gdańska,グダニスク工科大学
Polska w Konkursie Piosenki Eurowizji,ポーランドのユーロビジョン・ソング・コンテスト
Polonia Warszawa (piłka nożna),ポロニャ・ワルシャワ
Wieliczka,ヴィエリチカ
Powiat nowomiejski,ノヴェ＝ミャスト郡
Uniwersytet Łódzki,ウッチ大学
RWE (koncern),RWE
Tczew,トチェフ
Metal Mind Productions,メタル・マインド・プロダクションズ
Bracia szkolni,ラ・サール会
Marynarka Wojenna,ポーランド海軍
Leżajsk,レジャイスク
Polska na Zimowych Igrzyskach Olimpijskich 2010,2010年バンクーバーオリンピックのポーランド選手団
Hymn Polski,ドンブロフスキのマズルカ
Łobez (gmina),ウォベス・(グミナ)
Rusini karpaccy,ルシン人
Polska na Letnich Igrzyskach Olimpijskich 2008,2008年北京オリンピックのポーランド選手団
Pijarzy,エスコラピオス修道会
Porty lotnicze w Polsce,ポーランドの空港の一覧
Mniejszość Niemiecka (komitet wyborczy),ドイツ少数民族
Uniwersytet Śląski w Katowicach,シレジア大学
Ślązacy,シレジア人
Zagłębie Sosnowiec (piłka nożna),ザグウェンビェ・ソスノヴィエツ
Zagłębie Lubin (piłka nożna),ザグウェンビェ・ルビン
Polityka (tygodnik),ポリティカ・(ポーランドの雑誌)
Polska na Zimowych Igrzyskach Olimpijskich 2006,2006年トリノオリンピックのポーランド選手団
Polska na Letnich Igrzyskach Olimpijskich 2012,2012年ロンドンオリンピックのポーランド選手団
Polska na Zimowych Igrzyskach Olimpijskich 1972,1972年札幌オリンピックのポーランド選手団
Knurów,クヌルフ
Eurokorpus,欧州合同軍
Lędziny,レンジニ
Lębork,レンボルク
Nizina Środkowoeuropejska,北ヨーロッパ平野
Uniwersytet Warszawski,ワルシャワ大学
Zakopane,ザコパネ
Górale,グラル人
Linia kolejowa Liberec – Rybniště / Seifhennersdorf,リベレツ・-・リブニシチェ/ザイフヘンナースドルフ線
Ruś Czerwona,紅ルーシ
Zgromadzenie Narodowe (Polska),国会・(ポーランド)
Starogard Gdański,スタロガルド・グダニスキ
Pafawag 5B/6B,ポーランド国鉄EN57形電車
Mistrzostwa Europy U-19 w Piłce Nożnej 2006,UEFA・U-19欧州選手権2006
Polska na Letnich Igrzyskach Olimpijskich 1928,1928年アムステルダムオリンピックのポーランド選手団
Zamość,ザモシチ
Malbork,マルボルク
Strzelce Opolskie,ストシェルツェ・オポルスキエ
Polska na Letnich Igrzyskach Olimpijskich 1936,1936年ベルリンオリンピックのポーランド選手団
Siły Zbrojne Rzeczypospolitej Polskiej,ポーランド軍
Księstwo legnickie,レグニツァ公国
Muzeum Sztuki i Techniki Japońskiej „Manggha”,日本美術技術博物館“マンガ”館
Kaszubi,カシューブ人
Raków Częstochowa,ラクフ・チェンストホヴァ
Westerplatte,ヴェステルプラッテ
Polski Fiat,ポルスキ・フィアット
Zgorzelec,ズゴジェレツ
Jelenia Góra,イェレニャ・グラ
Jasna Góra,ヤスナ・グラ修道院
Politechnika Wrocławska,ヴロツワフ工科大学
Wolin (wyspa),ヴォリン島
Adwentystyczna Organizacja Pomocy i Rozwoju,ADRA
Ruch Chorzów,ルフ・ホジューフ
Polska Zjednoczona Partia Robotnicza,ポーランド統一労働者党
Sarbinowo (gmina Dębno),サルビノヴォ・(ムィシリブシュ郡)
Województwo,県・(ポーランド)
PZL-130 Orlik,PZL-130・(航空機)
Order Odrodzenia Polski,ポーランド復興勲章
Sztab Generalny Wojska Polskiego,ポーランド軍参謀本部
Powszechna Kasa Oszczędności Bank Polski,PKOバンク・ポルスキ
Armia Ludowa,人民軍・(ポーランド)
Port lotniczy Kraków-Balice,バリツェ空港
Obóz zagłady w Treblince,トレブリンカ強制収容所
Obóz zagłady w Sobiborze,ソビボル強制収容所
Sobibór,ソビブル
Armia Krajowa,国内軍・(ポーランド)
Sudety,ズデーテン山地
Polski Związek Piłki Nożnej,ポーランドサッカー協会
Getto krakowskie,クラクフ・ゲットー
Eurolot,ユーロLOT
Stębark,ステンバルク
Umschlagplatz w Warszawie,集荷場・(ワルシャワ・ゲットー)
Bitwa pod Tannenbergiem,タンネンベルクの戦い・(1914年)
Getto warszawskie,ワルシャワ・ゲットー
Parowozownia Piła,ピールスカ・オクロングラク機関庫協会
Dialekt śląski języka niemieckiego,低シレジア語
Muzeum Narodowe w Warszawie,ワルシャワ国立美術館
Kolej Dolnośląsko-Marchijska,ニーダーシュレージッシュ-メルキッシュ線
Uniwersytet Wrocławski,ヴロツワフ大学
Dzień Kolejarza,鉄道の日
Stolperstein,ストルパーシュタイン
Om101,王立ヴュルテンベルク邦有鉄道C型蒸気機関車
E28 (trasa europejska),E28号線
Województwo leszczyńskie,レシュノ県
Bug,ブク川
Pradawne i pierwotne lasy bukowe Karpat i innych regionów Europy,カルパティア山脈とヨーロッパ各地の古代及び原生ブナ林
Hala Stulecia we Wrocławiu,百周年記念ホール・(ヴロツワフ)
Tour de Pologne,ツール・ド・ポローニュ
Kętrzyn,ケントシン
Prawo i Sprawiedliwość,法と正義
Platforma Obywatelska,市民プラットフォーム
Wilczy Szaniec,ヴォルフスシャンツェ
Ustka,ウストカ
Cieszyn,チェシン
Korytarz polski,ポーランド回廊
Park Mużakowski,ムスカウ公園
Kostrzyn nad Odrą,コストシン・ナド・オドロン
Bazylika archikatedralna św. Stanisława i św. Wacława w Krakowie,ヴァヴェル大聖堂
Ursynów (stacja metra),ウルシヌフ駅
E75 (trasa europejska),E75号線
Metro w Warszawie,ワルシャワ地下鉄
Puławy,プワヴィ
Piotrków Trybunalski,ピョートルクフ・トルィブナルスキ
Bełchatów,ベウハトゥフ
Warmia,ヴァルミア
Żagań,ジャガン
Jaworzno,ヤヴォジュノ
Siemianowice Śląskie,シェミャノヴィツェ・シロンスキェ
Piekary Śląskie,ピェカルィ・シロンスキェ
Brzesko,ブジェスコ
Radomsko,ラドムスコ
Wąbrzeźno,ヴォンブジェジノ
Kłobuck,クウォブツク
Lublin (KL),マイダネク
Dąbrowa Tarnowska,ドンブロヴァ・タルノフスカ
Bieruń,ビェルニ
Obóz zagłady w Bełżcu,ベウジェツ強制収容所
Obóz zagłady w Chełmnie nad Nerem,ヘウムノ強制収容所
E30 (trasa europejska),E30号線
Groß-Rosen,グロース・ローゼン強制収容所
Pajęczno,パイェンチュノ
Kopiec Kościuszki w Krakowie,コシチュシコ山
Stutthof (KL),シュトゥットホーフ強制収容所
Zatoka Pomorska,ポメラニア湾
Pomorze Nadwiślańskie,ポメレリア
Braniewo,ブラニェヴォ
Plaszow,クラクフ・プワシュフ強制収容所
Mysłowice,ムィスウォヴィツェ
Granica na Odrze i Nysie Łużyckiej,オーデル・ナイセ線
Czeladź (miasto),チェラチ
Śląsk Wrocław (piłka nożna),シロンスク・ヴロツワフ
Goleniów,ゴレニュフ
Tarnowskie Góry,タルノフスキェ・グルィ
Kościoły Pokoju,ヤヴォルとシフィドニツァの平和教会群
V3,V3・15センチ高圧ポンプ砲
ŁKS Łódź (piłka nożna),ŁKSウッチ
Puchar Świata w Piłce Siatkowej Mężczyzn 1965,1965年ワールドカップバレーボール男子大会
Rusyfikacja,ロシア化
Chełmno,ヘウムノ
Wybory prezydenckie w Polsce w 2010 roku,2010年ポーランド大統領選挙
I liga polska w piłce nożnej,Iリガ
Morskie Oko,モルスキェ・オコ
Powiat rybnicki,リブニク郡
Reprezentacja Polski w piłce nożnej mężczyzn,サッカーポーランド代表
Konfederacja warszawska (1573),ワルシャワ連盟協約
Łazy,ワジ・(ザヴィエルチェ郡)
Łapy,ワピ
Łazienki Królewskie w Warszawie,ワジェンキ公園
Linia kolejowa nr 9,9号線・(ポーランド)
Uniwersytet im. Adama Mickiewicza w Poznaniu,アダム・ミツキェヴィチ大学
Stadion Śląski,シレジア競技場
Bobrowniki (powiat będziński),ボブロヴニキ
ORP Błyskawica,ブリスカヴィカ・(駆逐艦)
Szlak Orlich Gniazd,鷲の巣古城街道
Polska Akademia Nauk,ポーランド科学アカデミー
Stomil Olsztyn (piłka nożna),ストミール・オルシュティン
Polsko-niemiecki traktat graniczny,ドイツ・ポーランド国境条約
Pałac Kultury i Nauki,文化科学宮殿
Narodowy Bank Polski,ポーランド国立銀行
Wybory prezydenckie w Polsce w 1995 roku,1995年ポーランド大統領選挙
Powiat raciborski,ラチブシュ郡
Żywiec,ジヴィエツ
Tramwaje w Warszawie,ワルシャワ市電
Godło Polski,ポーランドの国章
Zawisza Bydgoszcz (piłka nożna),ザヴィシャ・ブィドゴシュチュ
Teatr Wielki w Warszawie,ワルシャワ大劇場
Województwo zamojskie,ザモシチ県
Ok1,プロイセン邦有鉄道P8型蒸気機関車
Krwawa niedziela (Bydgoszcz),ビドゴシチ住民殺害事件
Inowrocław,イノヴロツワフ
Stadion Narodowy im. Kazimierza Górskiego w Warszawie,ワルシャワ国立競技場
Gryfici,ポメラニア家
Cieszyn (stacja kolejowa),チェシン駅
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2013,2013年バレーボール男子欧州選手権
Stadion w Gdańsku,PGEアリーナ・グダニスク
Litwini,リトアニア人
Imielin,イミェリン
Mikołów,ミコウフ
Linia kolejowa Liberec – Zittau,リベレツ・-・ツィッタウ線
Linia kolejowa nr 282,ミウコヴィツェ・-・ヤシェン線
Linia kolejowa Čadca – Skalité Serafínov,チャッツァ・-・ズヴァルドニ線
Linia kolejowa nr 3,3号線・(ポーランド)
Linia kolejowa Węgliniec – Roßlau,ヴェングリニェツ・-・ロースラウ線
Stadion Poznań,ポズナン市立競技場
Stadion Miejski we Wrocławiu,ヴロツワフ市立競技場
Konfederacja polsko-czechosłowacka,ポーランド・チェコスロバキア連合
Filharmonia Bałtycka,ポーランド・バルト・フィルハーモニック
Dzień Nauczyciela,教師の日
Jagiellonia Białystok,ヤギエロニア・ビャウィストク
Wisła Kraków (piłka nożna),ヴィスワ・クラクフ
Dyskobolia Grodzisk Wielkopolski,ディスコボリア・グロヂスク・ヴィエルコポルスキ
Mrągowo,ムロンゴヴォ
Góra (miasto),グラ・(ポーランド)
Bonifratrzy,聖ヨハネ病院修道会
Powiat pszczyński,プシュチナ郡
Uniwersytet Jagielloński,ヤギェウォ大学
Puszcza Białowieska,ビャウォヴィエジャの森
Mistrzostwa Europy w Koszykówce Kobiet 2011,2011年バスケットボール女子欧州選手権
Sandomierz,サンドミエシュ
Legia Warszawa (piłka nożna),レギア・ワルシャワ
Tatry,タトラ山脈
Nysa,ニサ・(ポーランド)
Bochnia,ボフニャ
Bitwa Warszawska,ワルシャワの戦い・(1920年)
Muzeum Narodowe w Krakowie,クラクフ国立美術館
Polska na Letnich Igrzyskach Olimpijskich 1976,1976年モントリオールオリンピックのポーランド選手団
Polska w Konkursie Piosenki Eurowizji dla Dzieci,ポーランドのジュニア・ユーロビジョン・ソング・コンテスト
Państwowe Muzeum Auschwitz-Birkenau w Oświęcimiu,アウシュヴィッツ・ビルケナウ博物館
MDM-1 Fox,MDM-1・(航空機)
Kunowice,クーネルスドルフ
Transport kolejowy w Polsce,ポーランドの鉄道
Arka Gdynia (piłka nożna),アルカ・グディニャ
Premierzy Polski,ポーランドの首相一覧
Piast Gliwice,GKSピアスト・グリヴィツェ
Łobez,ウォベス
Polska na letnich igrzyskach olimpijskich,オリンピックのポーランド選手団
Noteć,ノテチ川
Polska na Zimowych Igrzyskach Olimpijskich 1960,1960年スコーバレーオリンピックのポーランド選手団
Góra Kalwaria,グラ・カルヴァリア
Tour de Pologne 2010,ツール・ド・ポローニュ2010
Getto lubelskie,ルブリン・ゲットー
E67 (trasa europejska),E67号線
GKS Bełchatów,GKSベウハトゥフ
Reprezentacja Polski w piłce ręcznej mężczyzn,ハンドボールポーランド代表
Kuchnia polska,ポーランド料理
Podbeskidzie Bielsko-Biała,TSポドベスキジェ・ビェルスコ＝ビャワ
Reprezentacja Polski w koszykówce mężczyzn,バスケットボールポーランド代表
Tatarzy w Polsce,リプカ・タタール人
Pogoń Szczecin,MKSポゴニ・シュチェチン
Puchar Polski w piłce nożnej mężczyzn,ポーランド・カップ
Zamek Królewski w Warszawie,ワルシャワ王宮
Rysy,リスィ山
Wejherowo,ヴェイヘロヴォ
Wybory prezydenckie w Polsce w 1990 roku,1990年ポーランド大統領選挙
J%26S Cup,ワルシャワ・オープン
PZL W-3 Sokół,W-3・(航空機)
Solaris Bus %26 Coach,ソラリス・(バス)
Giżycko,ギジツコ
Sławków (województwo śląskie),スワフクフ
Liga Światowa w Piłce Siatkowej 2001,2001年バレーボール・ワールドリーグ
Bar mleczny,バル・ムレチュニィ
Łańcuch alpejsko-himalajski,アルプス・ヒマラヤ造山帯
Prudnik,プルドニク
Alstom Traxx,TRAXX
Bezpartyjny Blok Wspierania Reform,改革支持無党派ブロック
Drewniane kościoły południowej Małopolski,マウォポルスカ南部の木造聖堂群
Hel (miasto),ヘル・(ポーランド)
Legia Warszawa (koszykówka),レギア・ワルシャワ・(バスケットボール)
Wybory parlamentarne w Polsce w 1993 roku,1993年ポーランド議会選挙
Podział administracyjny Polski,ポーランドの地方行政区画
Bełżec,ベウジェツ
Muzeum Geologiczne Państwowego Instytutu Geologicznego–Państwowego Instytutu Badawczego,ポーランド地質調査所地質博物館
Podpłomyk,ポドプウォムィク
Biblioteka Narodowa (Warszawa),ポーランド国立図書館
Kłodawa,クウォダヴァ
Biało-Czerwone Iskry,ビアロ＝チェルボネ・イスクリー
Miedź Legnica (piłka nożna),ミエジュ・レグニツァ
Padniewko,パドニェフコ
Powiat nowotarski,ノヴィ・タルク郡
Polonia Bytom (piłka nożna),ポロニア・ビトム
System oświaty w Polsce,ポーランドの教育
Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,ショパン国際ピアノコンクール
Sojusz Lewicy Demokratycznej,民主左翼連合・(ポーランド)
Trzebinia,トシェビニャ
Małopolski Klub Siatkówki Muszyna,ムシニアンカ・ムシナ
Aula Leopoldina,アウラ・レオポルディナ
Liga Polskich Rodzin,ポーランド家族同盟
Rzepin,ジェピン
Polska Partia Przyjaciół Piwa,ビール愛好者党・(ポーランド)
Czartoryscy herbu własnego,チャルトリスキ家
Warszawa Centralna,ワルシャワ中央駅
Ministerstwo Skarbu Państwa,国有財産省・(ポーランド)
Stalag Luft III,スタラグ・ルフト・III
Sąd Ostateczny (obraz Hansa Memlinga),最後の審判・(メムリンク)
Gietrzwałd,ギエトシュヴァウト
Europejskie Siły Żandarmerii,欧州国家憲兵隊
Operacja Tannenberg,タンネンベルク作戦
Instytut Pamięci Narodowej,国家記銘院
Pogrom w Jedwabnem,イェドヴァブネ事件
Warszawska Kolej Dojazdowa,ワルシャワ通勤鉄道
Powiat wodzisławski,ヴォジスワフ郡
Brzezinka (powiat oświęcimski),ブジェジンカ
Ostróda,オストルダ
Powiat węgorzewski,ヴェンゴジェヴォ郡
Państwowe Zakłady Lotnicze,PZL・(航空機メーカー)
Ołtarz Wita Stwosza w Krakowie,ファイト・シュトースの祭壇画
Karaimi,クリミア・カライム人
Stan wojenny w Polsce (1981–1983),ポーランドの戒厳令
Polska szkoła filmowa,ポーランド派
Fabryka Samochodów Ciężarowych „Star”,FSC・スター
Pruszków,プルシュクフ
Osinów Dolny,オシヌフ・ドルニ
Europa Środkowo-Wschodnia,中東欧
Powiat gołdapski,ゴウダプ郡
Port Lotniczy Gdańsk im. Lecha Wałęsy,グダニスク・レフ・ヴァウェンサ空港
Tramwaje w Szczecinie,シュチェチン市電
Tomaszów Lubelski,トマシュフ・ルベルスキ
E65 (trasa europejska),E65号線
Gospodarka Polski,ポーランドの経済
ORP Orzeł (1938),オジェウ・(潜水艦・初代)
Powiat gorlicki,ゴルリツェ郡
Powiat będziński,ベンジン郡
Orlen,オーレン
E77 (trasa europejska),E77号線
Tour de Pologne 2011,ツール・ド・ポローニュ2011
Korona Kielce,コロナ・キェルツェ
Tramwaje w Częstochowie,チェンストホヴァ市電
Zakon Braci Mniejszych,小さき兄弟会
Powiat brzeski (województwo małopolskie),ブジェスコ郡
PTPS Piła,PTPSピワ
Myszków,ムィシュクフ
Wybory prezydenckie w Polsce w 2000 roku,2000年ポーランド大統領選挙
Leichte Panzermine,L.P.Z.地雷
Intermarché–Wanty–Gobert Matériaux,CCCチーム
Siły Powietrzne,ポーランド空軍
Lechia Gdańsk (piłka nożna),レヒア・グダニスク
Powiat łukowski,ウクフ郡
Katowice (stacja kolejowa),カトヴィツェ駅
Bydgoszcz Główna,ブィドゴシュチュ中央駅
Wołczyn,ヴォウチン
Zamek Książ,クションシュ城
Linia kolejowa nr 133,ドンブロヴァ・グルニチャ・-・クラクフ線
Opole Główne,オポーレ中央駅
GKS Katowice (piłka nożna),GKSカトヴィツェ
Autostrady i drogi ekspresowe w Polsce,アウトストラーダ・(ポーランド)
Powiat kłobucki,クウォブツク郡
Okrągły Stół (Polska),円卓会議・(ポーランド)
Mikołajki,ミコワイキ
Powiat częstochowski,チェンストホーヴァ郡
Powiat tarnogórski,タルノフスキェ・グルィ郡
Powiat lubliniecki,ルブリニェツ郡
Powiat bieruńsko-lędziński,ビェルニ＝レンジニ郡
Województwo ciechanowskie,チェハヌフ県
Powiat lidzbarski,リズバルク郡
Stadion Wojska Polskiego w Warszawie,スタディオン・ヴォイスカ・ポルスキエゴ
Powiat bocheński,ボフニャ郡
Województwo ostrołęckie,オストロウェンカ県
Województwo piotrkowskie,ピョートルクフ県
Partia Demokratyczna – demokraci.pl,民主党・(ポーランド)
Województwo konińskie,コニン県
Województwo elbląskie,エルブロンク県
Tramwaje w Łodzi,ウッチ市電
Port lotniczy Rzeszów-Jasionka,ジェシュフ＝ヤションカ空港
Tramwaje w Bydgoszczy,ブィドゴシュチュ市電
Orkiestra Filharmonii Narodowej,ワルシャワ国立フィルハーモニー管弦楽団
Wojkowice,ヴォイコヴィツェ
Politechnika Krakowska im. Tadeusza Kościuszki,クラクフ工業大学
Koalicja Obywatelska,市民連立
Krzemionki,クシェミオンキ
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Gdańsku,聖マリア教会・(グダニスク)
Port lotniczy Katowice-Pyrzowice,カトヴィツェ空港
Tour de Pologne 2008,ツール・ド・ポローニュ2008
Powiat braniewski,ブラニェヴォ郡
Powiat krakowski,クラクフ郡
Oliwa (Gdańsk),オリバ・(ポーランド)
Marszałek Polski,ポーランド元帥
