Angela Merkel,アンゲラ・メルケル
Reinhold Schünzel,ラインホルト・シュンツェル
Benedikt XVI.,ベネディクト16世・(ローマ教皇)
Carl Orff,カール・オルフ
Werner Herzog,ヴェルナー・ヘルツォーク
Horst Köhler,ホルスト・ケーラー
Johannes Rau,ヨハネス・ラウ
Roman Herzog,ローマン・ヘルツォーク
Stefan Bötticher,シュテファン・ベティヒャー
Manfred Wolf (Skispringer),マンフレート・ウォルフ
Franz Xaver Schwarz (Politiker),フランツ・クサーヴァー・シュヴァルツ
Marcel Reich-Ranicki,マルツェル・ライヒ＝ラニツキ
Konrad Bloch,コンラート・ブロッホ
Günter Netzer,ギュンター・ネッツァー
Bastian Schweinsteiger,バスティアン・シュヴァインシュタイガー
Uli Hoeneß,ウリ・ヘーネス
Bernd Schuster,ベルント・シュスター
Richard von Weizsäcker,リヒャルト・フォン・ヴァイツゼッカー
Walter Scheel,ヴァルター・シェール
Karl Carstens,カール・カルステンス
Reinhard Baumeister,ラインハルト・バウマイスター
Björn Lindemann,ビョルン・リンデマン
Birol Ünel,ビロル・ユーネル
Lothar Matthäus,ローター・マテウス
Hermann Haken (Physiker),ヘルマン・ハーケン
Ludwig III. (Bayern),ルートヴィヒ3世・(バイエルン王)
Paul Breitner,パウル・ブライトナー
Rudi Völler,ルディ・フェラー
Oliver Riedel,オリバー・リーデル
Hermann Hesse,ヘルマン・ヘッセ
Egon Krenz,エゴン・クレンツ
Manfred Gerlach,マンフレート・ゲルラッハ
Heinrich Lübke,ハインリヒ・リュプケ
Gustav Heinemann,グスタフ・ハイネマン
Theodor Heuss,テオドール・ホイス
Herta Müller,ヘルタ・ミュラー
Friedrich Ebert,フリードリヒ・エーベルト
Erich Honecker,エーリッヒ・ホーネッカー
Walter Eucken,ヴァルター・オイケン
Sidney Sam,シドニー・サム
Uwe Seeler,ウーヴェ・ゼーラー
Koray Günter,コライ・ギュンター
Jochen Rindt,ヨッヘン・リント
Oliver Kirch,オリヴァー・キルヒ
Paul von Hindenburg,パウル・フォン・ヒンデンブルク
Edmund Stoiber,エドムント・シュトイバー
Ottmar Hitzfeld,オットマー・ヒッツフェルト
Erich Maria Remarque,エーリヒ・マリア・レマルク
Pierre Littbarski,ピエール・リトバルスキー
Uwe Rahn,ウーベ・ラーン
Frank Ordenewitz,フランク・オルデネビッツ
Anne-Sophie Mutter,アンネ＝ゾフィー・ムター
Hans Magnus Enzensberger,ハンス・マグヌス・エンツェンスベルガー
Claus Luthe,クラウス・ルーテ
Stefan Effenberg,シュテファン・エッフェンベルク
Feodor Lynen,フェオドル・リュネン
Ernst Otto Fischer,エルンスト・オットー・フィッシャー
Mario Gómez,マリオ・ゴメス
Franz Beckenbauer,フランツ・ベッケンバウアー
Georg Hackl,ゲオルク・ハックル
Sandra Bullock,サンドラ・ブロック
Franz Josef Strauß,フランツ・ヨーゼフ・シュトラウス
Horst Seehofer,ホルスト・ゼーホーファー
Otfried Preußler,オトフリート・プロイスラー
Nico (Sängerin),ニコ
Andreas Ottl,アンドレアス・オットル
Heinrich Rubens,ハインリヒ・ルーベンス
Ronald Pofalla,ローラント・ポファッラ
Albrecht III. (Bayern),アルブレヒト3世・(バイエルン公)
Raphael Schäfer,ラファエル・シェーファー
Michael Glos,ミヒャエル・グロース
Sofian Chahed,ソフィアン・シャヘド
Tilo Gutzeit,ツィロ・グーツァイト
Hermann Staudinger,ヘルマン・シュタウディンガー
Alfred Schwarzmann,アルフレート・シュヴァルツマン
Tim Hoogland,ティム・ホーグラント
Katrin Göring-Eckardt,カトリン・ゲーリング＝エッカルト
Lothar Collatz,ローター・コラッツ
Joachim Löw,ヨアヒム・レーヴ
Ludwig Mies van der Rohe,ルートヴィヒ・ミース・ファン・デル・ローエ
Bernard Katz,ベルンハルト・カッツ
Laura Ludwig,ラウラ・ルートヴィヒ
Sebastian Vettel,セバスチャン・ベッテル
Martin Schmitt,マルティン・シュミット
Wolfgang Overath,ヴォルフガング・オヴェラート
Günther Beckstein,ギュンター・ベックシュタイン
Erik Zabel,エリック・ツァベル
Georg (Braunschweig-Calenberg),ゲオルク・(ブラウンシュヴァイク＝カレンベルク公)
Timo Gebhart,ティモ・ゲプハルト
Albert Schweitzer,アルベルト・シュヴァイツァー
Adrian Sutil,エイドリアン・スーティル
Joachim I. (Brandenburg),ヨアヒム1世・(ブランデンブルク選帝侯)
Alfred Meyer (Gauleiter),アルフレート・マイヤー
Harald Schmid (Leichtathlet),ハラルト・シュミット
Elisabeth Charlotte von der Pfalz (1597–1660),エリーザベト・シャルロッテ・フォン・デア・プファルツ・(1597-1660)
Heinrich Böll,ハインリヒ・ベル
Günter Grass,ギュンター・グラス
Heino,ハイノ
Stefan Raab,シュテファン・ラープ
Eugen Polanski,オイゲン・ポランスキ
Adolf Butenandt,アドルフ・ブーテナント
Wolfgang Reinhold,ヴォルフガング・ラインホルト
Christian Weber (NS-Funktionär),クリスティアン・ヴェーバー
Walter Burkert,ヴァルター・ブルケルト
Ludwig Kaas,ルートヴィヒ・カース
Carl Gustav Hempel,カール・グスタフ・ヘンペル
Curt Backeberg,クルト・バッケベルク
Martin Noth,マルティン・ノート
Karl Bodenschatz,カール＝ハインリヒ・ボーデンシャッツ
Maria Emanuel Markgraf von Meißen,マリア・エマヌエル・フォン・ザクセン
Adil Chihi,アディル・シヒ
Karl-Hans Riehm,カール＝ハンス・リーム
Ulrich von Wilamowitz-Moellendorff,ウルリヒ・フォン・ヴィラモーヴィッツ＝メレンドルフ
Henry Koster,ヘンリー・コスター・(映画監督)
Lena Meyer-Landrut,レナ・マイヤー＝ラントルート
Thomas Müller,トーマス・ミュラー
Peer Steinbrück,ペール・シュタインブリュック
Adalbert von Preußen (1884–1948),アーダルベルト・フォン・プロイセン・(1884-1948)
Bernd Eichinger,ベルント・アイヒンガー
Robert Siodmak,ロバート・シオドマク
Werner Jaeger,ヴェルナー・イェーガー
Nicolas Höfler,ニコラス・ヘフラー
Meinhard III.,マインハルト3世・(チロル伯)
Heinrich Ehrler,ハインリヒ・エールラー
Lothar Zagrosek,ローター・ツァグロセク
Gerhard Stöck,ゲルハルト・シュテック
Karl Blossfeldt,カール・ブロスフェルト
Reiner Knizia,ライナー・クニツィア
Valerius Cordus,ヴァレリウス・コルドゥス
Bernhard Weiß (Jurist),ベルンハルト・ヴァイス
Hilde Schrader,ヒルデ・シュレーダー
Christina Obergföll,クリスティーナ・オーバークフォル
Philipp Lahm,フィリップ・ラーム
Linda Stahl,リンダ・シュタール
Gerd Müller,ゲルト・ミュラー
Leonid Kreutzer,レオニード・クロイツァー
Hans-Adolf Prützmann,ハンス・アドルフ・プリュッツマン
Günther Herbig,ギュンター・ヘルビヒ
Martin Hengel,マルティン・ヘンゲル
Paul Spiegel,パウル・シュピーゲル
Ludwig Georg Simpert,ルートヴィヒ・ゲオルク・(バーデン＝バーデン辺境伯)
Christoph Blumhardt,クリストフ・フリードリッヒ・ブルームハルト
Peter Frenkel,ペーター・フレンケル
Hubert Hahne,ヒューベルト・ハーネ
Karl Hein,カール・ハイン
Ernst Mayr,エルンスト・マイヤー
Betty Heidler,ベティ・ハイドラー
Karl Heinrich Barth,カール・ハインリヒ・バルト
Rita Wilden,リタ・ウィルデン
Karl II. August,カール3世アウグスト・クリスティアン・(プファルツ＝ツヴァイブリュッケン公)
Markus Söder,マルクス・ゼーダー
Bernd Schneider (Rennfahrer),ベルント・シュナイダー・(レーサー)
Carl von Linde,カール・フォン・リンデ
Dorothea von Brandenburg-Kulmbach,ドロテア・フォン・ブランデンブルク・(1430-1495)
Agnes-Maria von Andechs-Meranien,アニェス・ド・メラニー
Andrea Maria Schenkel,アンドレア・M・シェンケル
Heinz Keßler,ハインツ・ケスラー
Philipp (Pfalz),フィリップ・(プファルツ選帝侯)
Georg Ludwig von Schleswig-Holstein-Gottorf,ゲオルク・ルートヴィヒ・フォン・シュレースヴィヒ＝ホルシュタイン＝ゴットルプ
Rosa Luxemburg,ローザ・ルクセンブルク
Agnes Pockels,アグネス・ポッケルス
Margot Frank,マルゴット・フランク
Edith Frank-Holländer,エーディト・フランク
Günther Lützow,ギュンター・リュッツオウ
Christian Vietoris,クリスチャン・ベアトリス
Otto Frank,オットー・フランク
Ernst Lubitsch,エルンスト・ルビッチ
Klaus Wowereit,クラウス・ヴォーヴェライト
Konrad von Thüringen,コンラート・フォン・テューリンゲン
Ralf Bartels,ラルフ・バーテルス
Kurt Welter,クルト・ヴェルター
Hellmuth Walter,ヘルムート・ヴァルター
Nikolaus von Oldenburg,ニコラウス・フォン・オルデンブルク
Sabine Busch,ザビーネ・ブッシュ
Manfred Eicher,マンフレート・アイヒャー
Rüdiger Safranski,リュトガー・ザフランスキー
Tommy Haas,トミー・ハース
Kurt Knispel,クルト・クニスペル
Gustav Radbruch,グスタフ・ラートブルフ
Hannelore Kraft,ハンネローレ・クラフト
Nadine Kleinert,ナディネ・クライナート
Gertrud von Helfta,ヘルフタのゲルトルード
Otto von Northeim,オットー・フォン・ノルトハイム
Herbert Eulenberg,ヘルベルト・オイレンベルク
Täve Schur,グスタフ＝アドルフ・シューア
Hans Böhm (Pauker von Niklashausen),ハンス・ベーム
August II. (Braunschweig-Wolfenbüttel),アウグスト2世・(ブラウンシュヴァイク＝ヴォルフェンビュッテル公)
Paul Rudolph (Physiker),パウル・ルドルフ
Max Lorenz (Sänger),マックス・ロレンツ
Christoph II. (Baden-Rodemachern),クリストフ2世・(バーデン＝ローデマヒェルン辺境伯)
Günther Maleuda,ギュンター・マロイダ
Gerhard Klopfer,ゲルハルト・クロップファー
Wolfgang Scheidel,ヴォルフガング・シャイデル
Wolfgang Danne,ヴォルフガング・ダンネ
Maro Engel,マロ・エンゲル
Werner Hamacher,ヴェルナー・ハーマッハー
Gudrun Wagner,グードルン・ワーグナー
Johann Wilhelm (Sachsen-Jena),ヨハン・ヴィルヘルム・(ザクセン＝イェーナ公)
Karl Wilhelm Friedrich (Brandenburg-Ansbach),カール・ヴィルヘルム・フリードリヒ・(ブランデンブルク＝アンスバッハ辺境伯)
Hanns Zischler,ハンス・ツィッシュラー
Hermann Joseph Klein,ヘルマン・クライン
Heinz Lammerding,ハインツ・ラマーディング
Basilius Besler,バシリウス・ベスラー
Tatjana Patitz,タチアナ・パティッツ
Anton Ulrich (Sachsen-Meiningen),アントン・ウルリヒ・(ザクセン＝マイニンゲン公)
Ellen von Unwerth,エレン・フォン・アンワース
Gisela Birkemeyer,ギゼラ・ビルケマイヤー
Sophie Luise zu Mecklenburg-Schwerin,ゾフィー・ルイーゼ・ツー・メクレンブルク＝シュヴェリーン
Margot Glockshuber,マーゴット・グロクシュバー
Urban Hettich,ウルバン・ヘティヒ
Bartholomäus Ringwaldt,バルトロメウス・リングヴァルト
Friedrich III. (Sachsen-Gotha-Altenburg),フリードリヒ3世・(ザクセン＝ゴータ＝アルテンブルク公)
Maximilian Maria von Thurn und Taxis,マクシミリアン・マリア・フォン・トゥルン・ウント・タクシス
Michael Schumacher,ミハエル・シューマッハ
Katja Seizinger,カーチャ・ザイツィンガー
Kurt Weill,クルト・ヴァイル
Danny Latza,ダニー・ラッツァ
Albert Renger-Patzsch,アルベルト・レンガー＝パッチュ
Ernst Barkmann,エルンスト・バルクマン
Otto Heckmann,オットー・ヘックマン
Helmut Gröttrup,ヘルムート・グレトルップ
Justus Möser,ユストゥス・メーザー
Ernst von Salomon,エルンスト・フォン・ザロモン
Wolfgang Haken,ヴォルフガング・ハーケン
Michael Karoli,ミヒャエル・カローリ
Hannah Herzsprung,ハンナー・ヘルツシュプルング
Ralf Isau,ラルフ・イーザウ
Sami Khedira,サミ・ケディラ
Stephan I. (Bayern),シュテファン1世・(バイエルン公)
Christian III. (Pfalz-Zweibrücken),クリスティアン3世・(プファルツ＝ツヴァイブリュッケン公)
Gershon Kingsley,ガーション・キングスレイ
Wilhelm Worringer,ウィルヘルム・ヴォリンガー
Hans von Obstfelder,ハンス・フォン・オープストフェルダー
Ludwig IX. (Bayern),ルートヴィヒ9世・(バイエルン公)
Johann Ernst III. (Sachsen-Weimar),ヨハン・エルンスト3世・(ザクセン＝ヴァイマル公)
Erwin Schrödinger,エルヴィン・シュレーディンガー
Gerhard Fieseler,ゲルハルト・フィーゼラー
Markus Rühl,マーカス・ルール
Uwe Ampler,ウーヴェ・アンプラー
Wolfgang Hohlbein,ヴォルフガング・ホールバイン
Jaki Liebezeit,ヤキ・リーベツァイト
Wilhelm Marschall,ヴィルヘルム・マルシャル
Jakob Sporrenberg,ヤーコプ・シュポレンベルク
Heinrich IV. (Mecklenburg),ハインリヒ4世・(メクレンブルク公)
Helma Sanders-Brahms,ヘルマ・サンダース＝ブラームス
Justus von Dohnányi,ユストゥス・フォン・ドホナーニ
Johann Andreas Stein,ヨハン・アンドレアス・シュタイン
Kurt Bodewig,クルト・ボーデヴィヒ
Friedrich zu Schaumburg-Lippe,フリードリヒ・ツー・シャウムブルク＝リッペ
Karl Joël,カール・ジョエル
Engelbert Humperdinck,エンゲルベルト・フンパーディンク
Max Bauer (Offizier),マックス・バウアー
Hans Bethge (Dichter),ハンス・ベートゲ
Leni Riefenstahl,レニ・リーフェンシュタール
Alexandra Maria Lara,アレクサンドラ・マリア・ララ
Franka Potente,フランカ・ポテンテ
Karoline von Günderrode,カロリーネ・フォン・ギュンダーローデ
Werner Haase (Mediziner),ヴェルナー・ハーゼ
Gertrud von Sachsen (1115–1143),ゲルトルート・フォン・ザクセン
DJ Hell,DJ・Hell
Bernhard Minetti,ベルンハルト・ミネッティ
Wim Wenders,ヴィム・ヴェンダース
Max Ophüls,マックス・オフュルス
Friedrich Wilhelm Murnau,F・W・ムルナウ
William Dieterle,ウィリアム・ディターレ
Beate Klarsfeld,ベアテ・クラルスフェルト
Martina Gedeck,マルティナ・ゲデック
Kurt Beck,クルト・ベック
Johnny Cecotto jr.,ジョニー・チェコットJr.
Gisela von Schwaben,ギーゼラ・フォン・シュヴァーベン
Sophie Dorothea Marie von Preußen,ゾフィー・ドロテア・フォン・プロイセン
Philippine Charlotte von Preußen,フィリッピーネ・シャルロッテ・フォン・プロイセン
Jürgen Vogel,ユルゲン・フォーゲル
Ulf Schirmer,ウルフ・シルマー
Anton Diffring,アントン・ディフリング
Jürgen Trittin,ユルゲン・トリッティン
Michael Ballack,ミヒャエル・バラック
Steffi Graf,シュテフィ・グラフ
Margarethe von Trotta,マルガレーテ・フォン・トロッタ
Klaus Kinski,クラウス・キンスキー
Gerda Christian,ゲルダ・クリスティアン
Bernd Förster,ベルント・フェルスター
Hans-Josef Kapellmann,ユップ・カペルマン
Alfred Eisenstaedt,アルフレッド・アイゼンスタット
Theo Waigel,テオドール・ヴァイゲル
Änis Ben-Hatira,アニス・ベン＝ハティラ
Gregor Gysi,グレゴール・ギジ
Alfred Hugenberg,アルフレート・フーゲンベルク
Gudrun Ensslin,グドルン・エンスリン
Paul-Henri Campbell,ポール＝ヘンリ・キャンベル
Joachim Brendel,ヨアヒム・ブレンデル
Wilhelm Ostwald,ヴィルヘルム・オストヴァルト
Joachim Sauer,ヨアヒム・ザウアー
Otto Meissner,オットー・マイスナー
Karl Decker (Offizier),カール・デッカー
Gesine Lötzsch,ゲジーネ・レッチュ
Corinna Harfouch,コリンナ・ハルフォーフ
Horst Köppel,ホルスト・ケッペル
Philipp Lenard,フィリップ・レーナルト
Max von Laue,マックス・フォン・ラウエ
Reinhard Selten,ラインハルト・ゼルテン
Wilhelm Wien,ヴィルヘルム・ヴィーン
Werner Naumann,ヴェルナー・ナウマン
Thomas Dörflein,トーマス・デルフライン
Hansi Müller,ハンジ・ミュラー
Karlheinz Förster,カールハインツ・フェルスター
David McAllister,デイヴィッド・マカリスター
Theodor Wisch,テオドール・ヴィッシュ
Ludwig Claisen,ルートヴィヒ・クライゼン
Wilhelm (Sachsen-Weimar),ヴィルヘルム・(ザクセン＝ヴァイマル公)
Anna Christine Luise von Pfalz-Sulzbach,アンナ・クリスティーネ・ルイーゼ・フォン・プファルツ＝ズルツバッハ
Lisa Kreuzer,リサ・クロイツァー
Frank Peter Zimmermann,フランク・ペーター・ツィンマーマン
Patrick Funk,パトリック・フンク
Christian II. (Pfalz-Zweibrücken-Birkenfeld),クリスティアン2世・(プファルツ＝ツヴァイブリュッケン＝ビルケンフェルト公)
Otto Stern (Physiker),オットー・シュテルン
Richard Strauss,リヒャルト・シュトラウス
Cem Özdemir,ジェム・オズデミル
Nelly Sachs,ネリー・ザックス
Jürgen Klinsmann,ユルゲン・クリンスマン
Ottheinrich,オットー・ハインリヒ・(プファルツ選帝侯)
Marco Werner,マルコ・ヴェルナー
Hans von Salmuth,ハンス・フォン・ザルムート
Karl Ernst (SA-Mitglied),カール・エルンスト
Anna Henriette von Pfalz-Simmern,アンヌ・ド・バヴィエール
"Friedrich August (Oldenburg, Großherzog)",フリードリヒ・アウグスト・(オルデンブルク大公)
Ludwig Biermann,ルードヴィッヒ・ビーアマン
Karl Elmendorff,カール・エルメンドルフ
Inge Borkh,インゲ・ボルク
Markus Weinzierl,マルクス・ヴァインツィール
Dietrich von Hildebrand,ディートリッヒ・フォン・ヒルデブラント
Robert Schuman,ロベール・シューマン
Wolfgang Schäuble,ヴォルフガング・ショイブレ
Karl Genzken,カール・ゲンツケン
Rudolf Klein-Rogge,ルドルフ・クライン＝ロッゲ
Ehrenfried Boege,エーレンフリート・ベーゲ
Hans von Greiffenberg,ハンス・フォン・グライフェンベルク
Joseph Effner,ヨーゼフ・エフナー
Sexy Cora,セクシー・コーラ
Bruno Frank,ブルーノ・フランク
Maria Goeppert-Mayer,マリア・ゲッパート＝メイヤー
Manfred von Brauchitsch,マンフレート・フォン・ブラウヒッチュ
Helmut Lipfert (Pilot),ヘルムート・リップフェルト
Johannes Stark,ヨハネス・シュタルク
Horst Feistel,ホルスト・ファイステル
Oskar von Hindenburg,オスカー・フォン・ヒンデンブルク
Hansjörg Jäkle,ハンスイェルク・イエックレ
Franz Xaver Gabelsberger,フランツ・クサーヴァー・ガベルスベルガー
Richard Musgrave,リチャード・マスグレイブ
Hilde Sperling,ヒルデ・スパーリング
Gustav Witt,カール・グスタフ・ヴィット
Friedrich III. (Pfalz),フリードリヒ3世・(プファルツ選帝侯)
Sigmund Rascher,ジクムント・ラッシャー
Sabine Leutheusser-Schnarrenberger,ザビーネ・ロイトホイサー＝シュナレンベルガー
Andreas Tölzer,アンドレアス・テルツァー
"Eberhard I. (Württemberg, Herzog)",エーバーハルト1世・(ヴュルテンベルク公)
Erik Hansen (General),エリック＝オスカー・ハンセン
Johann von Ewald,ヨハン・フォン・エーヴァルト
Wolfgang Krull,ヴォルフガング・クルル
Wilhelm I. (Hessen-Rotenburg),ヴィルヘルム1世・(ヘッセン＝ローテンブルク方伯)
Werner Wolf Glaser,ヴェルナー・ヴォルフ・グラーザー
Walther Dahl,ヴァルター・ダール
Louis de Wohl,ルイ・ド・ウォール
Heinz Rögner,ハインツ・レーグナー
Anton Staus,アントン・シュタウス
Maximilian Wilhelm von Braunschweig und Lüneburg,マクシミリアン・ヴィルヘルム・フォン・ハノーファー
Herbert List,ハーバート・リスト
Umbo,ウンボ
Kathy Radzuweit,カティ・ラツバイト
Jens Lehmann,イェンス・レーマン
Oswald Spengler,オスヴァルト・シュペングラー
Peter Struck,ペーター・シュトルック
Rudi Altig,ルディ・アルティヒ
Diane Kruger,ダイアン・クルーガー
Peter Grünberg,ペーター・グリューンベルク
Cilly Aussem,シリー・アウセム
Hans Eichel,ハンス・アイヒェル
Eike Immel,アイケ・インメル
Erich Ollenhauer,エーリッヒ・オレンハウアー
Friedrich zu Wied,フリードリヒ・ツー・ヴィート
Heinrich (VI.) der Jüngere von Braunschweig,ハインリヒ6世・(ライン宮中伯)
Alfred Lion,アルフレッド・ライオン
Heinrich (V.) der Ältere von Braunschweig,ハインリヒ5世・(ライン宮中伯)
Johann Friedrich Doles,ヨハン・フリードリヒ・ドーレス
Georg Christof Florian Greve,ゲオルク・C・F・グレーフェ
Sebastian Sylvester,セバスチャン・シルベスター
Lorenz Christoph Mizler,ローレンツ・クリストフ・ミツラー
Johann III. (Sachsen-Weimar),ヨハン2世・(ザクセン＝ヴァイマル公)
Yuri Manin,ユーリ・マニン
Egon Bahr,エゴン・バール
Adam Lonitzer,アダム・ロニチェル
Erich Kähler,エーリッヒ・ケーラー
Ludwig Bieberbach,ルートヴィヒ・ビーベルバッハ
Paul Peter Ewald,パウル・ペーター・エバルト
Jürgen Moser (Mathematiker),ユルゲン・モーザー
Albrecht Kossel,アルブレヒト・コッセル
Anna von Kleve,アン・オブ・クレーヴズ
Wilhelm Canaris,ヴィルヘルム・カナリス
Gerhard Stoltenberg,ゲルハルト・シュトルテンベルク
Heinrich XVI.,ハインリヒ16世・(バイエルン公)
Dimitri Peters,ディミトリ・ペータース
Gregor Braun,グレゴール・ブラウン
Magdalena Sibylla von Hessen-Darmstadt,マグダレーナ・ジビュラ・フォン・ヘッセン＝ダルムシュタット
Volker Strassen,フォルカー・シュトラッセン
Theodor Curtius (Chemiker),テオドール・クルチウス
Friedrich VII. Magnus (Baden-Durlach),フリードリヒ7世マグヌス・(バーデン＝ドゥルラハ辺境伯)
Maximilian von Hessen-Kassel,マクシミリアン・フォン・ヘッセン＝カッセル
Otto Meyerhof,オットー・マイヤーホフ
Hans-Ulrich Rudel,ハンス＝ウルリッヒ・ルーデル
Arthur Crispien,アルトゥール・クリスピン
Heinrich Schëuch,ハインリッヒ・シューク
Erich II. (Braunschweig-Calenberg-Göttingen),エーリヒ2世・(ブラウンシュヴァイク＝カレンベルク＝ゲッティンゲン公)
Heinrich I. (Braunschweig-Grubenhagen),ハインリヒ1世・(ブラウンシュヴァイク＝グルーベンハーゲン公)
Otto V. (Braunschweig-Lüneburg),オットー5世・(ブラウンシュヴァイク＝リューネブルク公)
Heinrich XLV. (Reuß jüngere Linie),ハインリヒ45世・ロイス・ツー・シュライツ
Otto III. (Braunschweig-Lüneburg),オットー3世・(ブラウンシュヴァイク＝リューネブルク公)
Franz (Braunschweig-Lüneburg),フランツ・(ブラウンシュヴァイク＝リューネブルク公)
Erich von Manstein,エーリッヒ・フォン・マンシュタイン
Kurt von Schleicher,クルト・フォン・シュライヒャー
Walther Wever (General),ヴァルター・ヴェーファー
Ewald von Kleist (Generalfeldmarschall),エヴァルト・フォン・クライスト・(軍人)
Walther von Brauchitsch,ヴァルター・フォン・ブラウヒッチュ
Georg Leber,ゲオルク・レーバー
Johann Kasimir (Pfalz-Zweibrücken-Kleeburg),ヨハン・カジミール・(プファルツ＝クレーブルク公)
Franz von Soxhlet,フランツ・フォン・ソックスレー
Johann Ludwig Graf Schwerin von Krosigk,ルートヴィヒ・シュヴェリン・フォン・クロージク
Werner Ostendorff,ヴェルナー・オステンドルフ
Andreas Peter von Bernstorff,アンドレアス・ペーター・フォン・ベルンシュトルフ
Georg Friedrich (Baden-Durlach),ゲオルク・フリードリヒ・(バーデン＝ドゥルラハ辺境伯)
Stefan Mücke,シュテファン・ミュッケ
Sascha Maassen,サッシャ・マーセン
Martin Winterkorn,マルティン・ヴィンターコルン
Gustav Neidlinger,グスタフ・ナイトリンガー
Georg Andreas Böckler,ゲオルク・ベックラー
Helmut Bradl,ヘルムート・ブラドル
Herbert Windt,ヘルベルト・ヴィント
Eberhard Köllner,エベルハルト・ケルナー
Timo Hildebrand,ティモ・ヒルデブラント
Michael Fassbender,マイケル・ファスベンダー
Thomas Hitzlsperger,トーマス・ヒッツルスペルガー
Ernst Busch (Offizier),エルンスト・ブッシュ・(軍人)
Hermann Muthesius,ヘルマン・ムテジウス
Friedrich Christian von Sachsen (1893–1968),フリードリヒ・クリスティアン・フォン・ザクセン
Ludwig Ferdinand von Bayern,ルートヴィヒ・フェルディナント・フォン・バイエルン
Christian August von Schleswig-Holstein-Gottorf,クリスティアン・アウグスト・フォン・シュレースヴィヒ＝ホルシュタイン＝ゴットルプ
Erich von Falkenhayn,エーリッヒ・フォン・ファルケンハイン
Erich Raeder,エーリヒ・レーダー
Cacau,カカウ
Hermann Hoth,ヘルマン・ホト
Robert Stieglitz,ロベルト・ステイグリッツ
Lilian Harvey,リリアン・ハーヴェイ
Karl Münchinger,カール・ミュンヒンガー
Timothy Chandler,ティモシー・チャンドラー
Heinrich Thyssen,ハインリヒ・ティッセン
Michael Stürmer,ミヒャエル・シュテュルマー
Hanna Reitsch,ハンナ・ライチュ
Hermann Müller (Reichskanzler),ヘルマン・ミュラー
Auguste Maria Luise von Bayern,アウグステ・フォン・バイエルン・(1875-1964)
Kelly Trump,ケリー・トランプ
Helmuth von Pannwitz,ヘルムート・フォン・パンヴィッツ
Max Abraham,マックス・アブラハム
Franz Josias (Sachsen-Coburg-Saalfeld),フランツ・ヨシアス・(ザクセン＝コーブルク＝ザールフェルト公)
Ernst Tugendhat,エルンスト・トゥーゲントハット
Kurt von der Chevallerie,クルト・フォン・デア・シュヴァルリー
Friedrich Wilhelm III. (Sachsen-Altenburg),フリードリヒ・ヴィルヘルム3世・(ザクセン＝アルテンブルク公)
Björn Engholm,ビョルン・エングホルム
