Diego Velázquez,ディエゴ・ベラスケス
Antonio Maceda,アントニオ・マセーダ
Arturo Pérez-Reverte,アルトゥーロ・ペレス＝レベルテ
Javier Solana,ハビエル・ソラナ
Lluís Companys,リュイス・クンパニィス
Simón Bolívar,シモン・ボリバル
Mario Vargas Llosa,マリオ・バルガス・リョサ
Artur Mas,アルトゥール・マス
Pánfilo de Narváez,パンフィロ・デ・ナルバエス
Javier Busto,ハビエル・ブストー
Fernando Álvarez de Toledo y Pimentel,フェルナンド・アルバレス・デ・トレド
María de las Mercedes de Borbón y Habsburgo-Lorena,マリア・デ・ラス・メルセデス・デ・ボルボーン・イ・アブスブルゴ＝ロレナ
Néstor Almendros,ネストール・アルメンドロス
Leonor de Austria,レオノール・デ・アウストリア
Plácido Domingo,プラシド・ドミンゴ
Ana de Austria (reina de España),アナ・デ・アウストリア
Sofía de Grecia,ソフィア・(スペイン王妃)
Manuel Almunia,マヌエル・アルムニア
Mariano Rajoy,マリアーノ・ラホイ・ブレイ
Fernando Torres,フェルナンド・トーレス
Raúl González Blanco,ラウル・ゴンサレス
Enrique Simonet,エンリケ・シモネ
José Martí,ホセ・マルティ
Carlos Sastre,カルロス・サストレ
María de Austria y Portugal,マリア・デ・アブスブルゴ
Rafael Nadal,ラファエル・ナダル
Marc Márquez,マルク・マルケス
Soraya Sáenz de Santamaría,ソラヤ・サエンス・デ・サンタマリーア
Isco,フランシスコ・ロマン・アラルコン
Emilio Butragueño,エミリオ・ブトラゲーニョ
Ana Botella,アナ・ボテージャ
Pedro de la Rosa,ペドロ・デ・ラ・ロサ
Juan Ramón Jiménez,フアン・ラモン・ヒメネス
Manuel Valls Galfetti,マニュエル・ヴァルス
Óscar Pereiro,オスカル・ペレイロ
Miguel Induráin,ミゲル・インドゥライン
Vicente Aleixandre,ビセンテ・アレイクサンドレ
Isabel Clara Eugenia de Austria,イサベル・クララ・エウヘニア
Javier Bardem,ハビエル・バルデム
María Ana de Austria (emperatriz del Sacro Imperio Romano Germánico),マリア・アンナ・フォン・シュパーニエン
Apoño,アントニオ・ガルデアーノ・ベニテス
Margarita Teresa de Austria,マルガリータ・テレサ・デ・エスパーニャ
David Villa,ダビド・ビジャ
Jacinto Benavente,ハシント・ベナベンテ
Margarita de Austria (1480-1530),マルグリット・ドートリッシュ
Eugenia de Montijo,ウジェニー・ド・モンティジョ
Juan de Austria,ドン・フアン・デ・アウストリア
Alberto Contador,アルベルト・コンタドール
Antoni Tàpies,アントニ・タピエス
Miguel Delibes,ミゲル・デリーベス
Jean Reno,ジャン・レノ
Andrés Iniesta,アンドレス・イニエスタ
Iker Casillas,イケル・カシージャス
Eduardo Chillida,エドゥアルド・チリーダ
Camilo José Cela,カミーロ・ホセ・セラ
Fernando Alonso,フェルナンド・アロンソ
Felipe González,フェリペ・ゴンサレス
Jorge Semprún,ホルヘ・センプルン
José Luis Rodríguez Zapatero,ホセ・ルイス・ロドリゲス・サパテロ
Margarita de Austria-Estiria,マルガレーテ・フォン・エスターライヒ・(スペイン王妃)
Federico García Lorca,フェデリコ・ガルシーア・ロルカ
Antonio Banderas,アントニオ・バンデラス
José Comas y Solá,ホセ・コマス・ソラ
Josep Puig i Cadafalch,ジュゼップ・プッチ・イ・カダファルク
Carlos de Austria (príncipe de Asturias),カルロス・(アストゥリアス公)
Augusto Roa Bastos,アウグスト・ロア＝バストス
José Raúl Capablanca,ホセ・ラウル・カパブランカ
Ignacio de Loyola,イグナチオ・デ・ロヨラ
Àlex Brendemühl,アレックス・ブレンデミュール
Salvador Bacarisse,サルバドール・バカリッセ
Ángela Molina,アンヘラ・モリーナ
Fernando Rey,フェルナンド・レイ
Fede Vico,フェデ・ビコ
Alonso Berruguete,アロンソ・ベルゲーテ
Alberto Bayo,アルベルト・バーヨ
Carles Puyol,カルレス・プジョル
Juan Carlos Onetti,フアン・カルロス・オネッティ
Francisco Pizarro,フランシスコ・ピサロ
Thiago Alcántara,ティアゴ・アルカンタラ・ド・ナシメント
Jonathan dos Santos,ジョナタン・ドス・サントス
Pierre-Emerick Aubameyang,ピエール＝エメリク・オーバメヤン
Julen Lopetegui,フレン・ロペテギ
Oriol Junqueras,ウリオル・ジュンケラス
Óscar Freire,オスカル・フレイレ
Carme Chacón,カルマ・チャコン
Javier Castillejo,ハビエル・カスティリェホ
Francisco Escudero García de Goizueta,フランシスコ・エスクデロ
Catalina de Aragón,キャサリン・オブ・アラゴン
David Silva,ダビド・シルバ
Pueblo español,スペイン人
Gerard Piqué,ジェラール・ピケ
Alfonso XIII de España,アルフォンソ13世・(スペイン王)
José Manuel Pinto,ホセ・マヌエル・ピント
Enrique Iglesias,エンリケ・イグレシアス
Álex Corretja,アレックス・コレチャ
Dani Güiza,ダニエル・ゴンサレス・グイサ
Cesc Fàbregas,セスク・ファブレガス
Fernando Morientes,フェルナンド・モリエンテス
Igor Astarloa,イゴル・アスタルロア
David Cal,ダビド・カル
Pedro (futbolista),ペドロ・ロドリゲス・レデスマ
Lope de Vega,ロペ・デ・ベガ
Hernando Franco,エルナンド・フランコ
Pepe Reina,ホセ・マヌエル・レイナ
Xavi Hernández,シャビ・エルナンデス
Vasco Núñez de Balboa,バスコ・ヌーニェス・デ・バルボア
Andrés Guardado,アンドレス・グアルダード
Santiago Ramón y Cajal,サンティアゴ・ラモン・イ・カハール
Catalina de Erauso,カタリナ・デ・エラウソ
Sebastián Vizcaíno,セバスティアン・ビスカイノ
Víctor Valdés,ビクトル・バルデス
Ignacio Camacho (futbolista español),イグナシオ・カマーチョ
Antonio María Claret,アントニオ・マリア・クラレ
Luis del Sol,ルイス・デル・ソル
Isabel de Valois (reina de España),エリザベート・ド・ヴァロワ
Antonio Barceló,アントニオ・バルセロ
Félix Ayo,フェリックス・アーヨ
Carlos Aranda,カルロス・アランダ
Javi Paredes,ハビエル・パレデス
Alberto Bueno,アルベルト・ブエノ
Álvaro González Soberón,アルバロ・ゴンサレス・ソベロン
Carlos Marchena,カルロス・マルチェナ
Fernando VII de España,フェルナンド7世・(スペイン王)
Pep Guardiola,ジョゼップ・グアルディオラ
Rafa Benítez,ラファエル・ベニテス
Pedro Mosquera,ペドロ・モスケラ
Mariano García Remón,マリアノ・ガルシア・レモン
Francisco Javier de Elío,フランシスコ・ハビエル・デ・エリオ
Raúl Vicente Amarilla,ラウル・アマリージャ
Álvaro Morata,アルバロ・モラタ
Sergio González Soriano,セルヒオ・ゴンサレス
David de Gea,ダビド・デ・ヘア
Javi Navarro,ハビ・ナバーロ
Luis León Sánchez,ルイス・レオン・サンチェス
Alfredo Di Stéfano,アルフレッド・ディ・ステファノ
Vicente Guaita,ビセンテ・グアイタ
Juan Bernat,フアン・ベルナト
Dani Parejo,ダニエル・パレホ
Sergio Canales,セルヒオ・カナレス
Isabel Fernandina de Borbón,イサベル・フェルナンダ・デ・ボルボン
Luis Buñuel,ルイス・ブニュエル
Sergio Busquets,セルヒオ・ブスケツ・ブルゴス
Javi Varas,ハビエル・バラス・エレラ
Fausto Delhuyar,ファウスト・デ・エルヤル
Álvaro Domínguez,アルバロ・ドミンゲス
Bojan Krkić,ボージャン・クルキッチ
Joseba Beloki,ホセバ・ベロキ
Niño Josele,ニーニョ・ホセレ
Luis Pérez-Sala,ルイス・ペレス＝サラ
Anselmo Lorenzo,アンセルモ・ロレンソ
Javier Ángel Balboa,ハビエル・バルボア
José Luis Pérez Caminero,ホセ・ルイス・カミネロ
César Arzo,セサル・アルソ
Teresa de Jesús,アビラのテレサ
Ángel Guimerá,アンジャル・ギマラー
Daniel Sánchez Ayala,ダニエル・アジャラ
Rodolfo Bodipo,ロドルフォ・ボディポ
César Rodríguez,セサル・ロドリゲス・アルバレス
Manuel Pablo,マヌエル・パブロ
Luis Miguel Arconada,ルイス・アルコナーダ
Xisco Jiménez,フランシスコ・ヒメネス・テハーダ
Javier Portillo,ハビエル・ポルティージョ
Markel Susaeta,マルケル・スサエタ
Joan Llaneras,ホアン・リャネラス
Carlos IV de España,カルロス4世・(スペイン王)
Isabel II de España,イサベル2世・(スペイン女王)
Miguel de Unamuno,ミゲル・デ・ウナムーノ
Juan Carlos I de España,フアン・カルロス1世・(スペイン王)
Antoni Gaudí,アントニ・ガウディ
Cristian Tello,クリスティアン・テージョ
Isaac Cuenca,イサック・クエンカ
Santiago Calatrava,サンティアゴ・カラトラバ
Lupe Fuentes,ルーペ・フエンテス
Juan Mata,フアン・マタ
Jesús Navas,ヘスス・ナバス
Lucio Muñoz,ルシオ・ムニョス
José Callejón,ホセ・マリア・カジェホン・ブエーノ
Santi Cazorla,サンティ・カソルラ
Xavi Tondo,シャビエル・トンド
Mikel Arteta,ミケル・アルテタ
Aritz Aduriz,アリツ・アドゥリス
Alejandro Pozuelo,アレハンドロ・ポスエロ
Rubén Plaza,ルベン・プラサ
Iago Aspas,イアゴ・アスパス
Camilo Cienfuegos,カミロ・シエンフェゴス
Juan de Grijalva,フアン・デ・グリハルバ
Piti,フランシスコ・メディーナ・ルナ
Álex Fernández Iglesias,アレハンドロ・フェルナンデス・イグレシアス
Martín Fiz,マルティン・フィス
Michu,ミゲル・ペレス・クエスタ
Julen Guerrero,フレン・ゲレーロ
Felipe Pedrell,フェリペ・ペドレル
Elena de Borbón,エレナ・デ・ボルボン・イ・デ・グレシア
Salva Sevilla,サルバ・セビージャ
Pedro Almodóvar,ペドロ・アルモドバル
Felipe Caicedo,フェリペ・カイセド
Manolo Preciado,マヌエル・プレシアード
Isaac Albéniz,イサーク・アルベニス
Miguel Servet,ミシェル・セルヴェ
Juan Ponce de León,フアン・ポンセ・デ・レオン
Felipe Reyes,フェリペ・レジェス
Quique Sánchez Flores,キケ・サンチェス・フローレス
Roberto Acuña,ロベルト・アクーニャ
Carlos II de Parma,カルロ2世・(パルマ公)
Javier Saviola,ハビエル・サビオラ
Emiliano Insúa,エミリアーノ・インスア
Joaquín Sorolla,ホアキン・ソローリャ
Juan José Ibarretxe,フアン・ホセ・イバレチェ
Manolo Jiménez Jiménez,マヌエル・ヒメネス
Isabel de Borbón-Parma,マリア・イザベラ・フォン・ブルボン＝パルマ
Alejandro González Iñárritu,アレハンドロ・ゴンサレス・イニャリトゥ
Curro Torres,クーロ・トーレス
Juana de Austria,フアナ・デ・アウストリア
María Amalia de Sajonia,マリア・アマリア・フォン・ザクセン
Ferran Adrià,フェラン・アドリア
Benito Floro,ベニート・フローロ
Juan Carlos Ferrero,フアン・カルロス・フェレーロ
Juana I de Castilla,フアナ・(カスティーリャ女王)
Pedro Calderón de la Barca,ペドロ・カルデロン・デ・ラ・バルカ
Valero Rivera Folch,バレロ・リベラ・フォルチ
Gonzalo Castro (futbolista alemán),ゴンサロ・カストロ
Francisco Franco,フランシスコ・フランコ
Edu Oriol,エドゥアルド・オリオール
José María Movilla,ホセ・マリア・モビージャ
Mikel Balenziaga,ミケル・バレンシアガ
José Mari Martín-Bejarano,ホセ・マリア・マルティン＝ベハラーノ・セラーノ
Jordi Alba,ジョルディ・アルバ
Juan Antonio Samaranch,フアン・アントニオ・サマランチ
Arantxa Sánchez Vicario,アランチャ・サンチェス・ビカリオ
Juan Antonio Pizzi,フアン・アントニオ・ピッツィ
Santiago Segura,サンティアゴ・セグラ
Luis Salom,ルイス・サロム
Víctor Sada,ビクトル・サダ
Louis Blanc,ルイ・ブラン
Pablo Sarabia,パブロ・サラビア
Luis Milla,ルイス・ミジャ
Alfonso de Portago,アルフォンソ・デ・ポルターゴ
Dani Alves,ダニエウ・アウヴェス
Jaime Alguersuari,ハイメ・アルグエルスアリ
Adrián Campos,エイドリアン・カンポス
Jorge Edwards,ホルヘ・エドワーズ
Magaly Carvajal,マガリ・カルバハル
Emilio de Villota,エミリオ・デ・ヴィロタ
Marc Gené,マルク・ジェネ
Fernando Llorente,フェルナンド・ジョレンテ
Josemaría Escrivá de Balaguer,ホセマリア・エスクリバー
Juan Goytisolo,フアン・ゴイティソーロ
Jesús Franco,ジェス・フランコ
Adelardo Rodríguez,アデラルド・ロドリゲス
Manolo Escobar,マノロ・エスコバル
Joan Capdevila Méndez,ジョアン・カプデビラ
Claudio Castelucho,クラウディオ・カステルッチョ
Juan de la Cierva,フアン・デ・ラ・シエルバ
Ibai Gómez,イバイ・ゴメス
Guti (futbolista),グティ
Alberto de la Bella,アルベルト・デ・ラ・ベジャ
Manolo Jiménez Abalo,マヌエル・ヒメネス・アバロ
Juan Vizcaíno,フアン・ビスカイーノ
Ximo Navarro Jiménez,シモ・ナバーロ
Pau Gasol,パウ・ガソル
Miguel Primo de Rivera,ミゲル・プリモ・デ・リベラ
Andrés Segovia,アンドレス・セゴビア
Raymond Domenech,レイモン・ドメネク
Amancio Ortega,アマンシオ・オルテガ
Antonio de Cabezón,アントニオ・デ・カベソン
Alfredo Kraus,アルフレード・クラウス
Jaume Collet-Serra,ジャウム・コレット＝セラ
Mikel Astarloza,ミケル・アスタルロサ
Roberto Martínez Montoliu,ロベルト・マルティネス
José Ángel Crespo,ホセ・アンヘル・クレスポ
Francisco de Asís de Borbón,フランシスコ・デ・アシース・デ・ボルボーン
Paco Soler,パコ・ソレール
Fran (futbolista nacido en 1969),フランシスコ・ハビエル・ゴンサレス・ペレス
Domènec Balmanya,ドメネク・バルマーニャ
Juan de Flandes,フアン・デ・フランデス
Fernando San Emeterio,フェルナンド・サン・エメテリオ
Rafael Muñoz Pérez,ラファエル・ムニョス
Raúl Fernández-Cavada,ラウール・フェルナンデス
Esteban Suárez,エステバン・スアレス
José García Nieto,ホセ・ガルシア・ニエト
Aleix Vidal,アレイクス・ビダル
Gabri García,ガブリエル・ガルシア・デ・ラ・トーレ
Mikel Alonso,ミケル・アロンソ
Luis Váez de Torres,ルイス・バーエス・デ・トーレス
Iñaki Urdangarin,イニャキ・ウルダンガリン
Miguel Bosé,ミゲル・ボセ
Francisco Hernández de Córdoba (explorador de Yucatán),フランシスコ・エルナンデス・デ・コルドバ・(ユカタン半島の発見者)
Carlos Aguilera Martín,カルロス・アギレラ・マルティン
Jaime Alguersuari Tortajada,ハイメ・アルグエルスアリSr.
Mario Gaspar,マリオ・ガスパール
Jonathan Pereira,ホナタン・ペレイラ
Rubén Rochina,ルベン・ロチーナ
Juan Sánchez Cotán,フアン・サンチェス・コターン
Casemiro,カルロス・エンリケ・ジョゼ・フランシスコ・ヴェナンシオ・カジミーロ
Bata (futbolista),アグスティン・サウト・アラーナ
Benito Pérez Galdós,ベニート・ペレス・ガルドス
Nino (futbolista),フアン・フランシスコ・マルティネス・モデスト
Marqués de la Ensenada,セノン・デ・ソモデビーリャ・(初代エンセナーダ侯爵)
David Ferrer,ダビド・フェレール
Pedro Cea,ペドロ・セア
María Estela Martínez de Perón,イサベル・ペロン
Fernando VI de España,フェルナンド6世・(スペイン王)
Manuel de Falla,マヌエル・デ・ファリャ
Carlos Moyá,カルロス・モヤ
Benicio del Toro,ベニチオ・デル・トロ
Marcos Senna,マルコス・アントニオ・セナ・ダ・シウヴァ
Carlos Jiménez Sánchez,カルロス・ヒメネス
Fernando Verdasco,フェルナンド・ベルダスコ
Bartolomé Esteban Murillo,バルトロメ・エステバン・ムリーリョ
Felipe VI de España,フェリペ6世・(スペイン王)
Alejandro Maclean,アレハンドロ・マクレアン
Aleix Espargaró,アレイシ・エスパルガロ
Gerard Deulofeu,ジェラール・デウロフェウ
Juan Ruiz de Alarcón,フアン・ルイス・デ・アラルコン
Max Aub,マクス・アウブ
Álex Debón,アレックス・デボン
Paula Ortiz,パウラ・オルティス
Chico Flores,ホセ・マヌエル・フローレス・モレノ
Juanma Gárate,フアン・マヌエル・ガラテ
Josemi González,ホセ・ミゲル・ゴンサレス・レイ
Fran Vázquez,フラン・バスケス
Jon Andoni Goikoetxea,ヨン・アンドニ・ゴイコエチェア
Cani (futbolista),ルベン・グラシア・カルマチェ
Luis Ocaña,ルイス・オカーニャ
Jesé Rodríguez,ヘセ・ロドリゲス
Juankar,フアン・カルロス・ペレス・ロペス
Jesús Julián Lucendo,ヘスス・フリアン・ルセンド
Sergio Sánchez Sánchez,セルヒオ・サンチェス・サンチェス
Vicente Cervantes,ビセンテ・セルバンテス
Eduardo Rosales,エドゥアルド・ロサレス
Jorge de Oteiza,ホルヘ・オテイサ
Francisco Palau y Quer,フランシスコ・パラウ
Alejandro Grimaldo,アレハンドロ・グリマルド
Carles Rexach,カルロス・レシャック
Francisco de Quevedo,フランシスコ・デ・ケベード
Xabi Prieto,シャビエル・プリエト・アルガラテ
Andoni Goikoetxea,アンドニ・ゴイコエチェア・オラスコアガ
Carlos Gurpegi,カルロス・グルペギ
Joaquín Caparrós,ホアキン・カパロス
Carlos de Borbón y Austria-Este,カルロス・マリア・デ・ボルボーン・(マドリード公)
Gabi Fernández,ガブリエル・フェルナンデス・アレナス
Alberto Lopo,アルベルト・ロポ
Francisco Camarasa,パコ・カマラサ
Gregorio Manzano,グレゴリオ・マンサーノ
David García Dapena,ダビ・ガルシア・ダペナ
Jorge Otero,ホルヘ・オテロ
Joan Ángel Román,ジョアン・アンヘル・ロマン
Victoria Abril,ビクトリア・アブリル
Manuel Azaña,マヌエル・アサーニャ
Gustavo Adolfo Bécquer,グスタボ・アドルフォ・ベッケル
Sabino Berthelot,サバン・ベルトロ
Alfonso de Borbón y Battenberg,アルフォンソ・デ・ボルボーン・イ・バッテンベルグ
Julián Berrendero,フリアン・ベレンデロ
Carlos de Borbón-Dos Sicilias (1870-1949),カルロ・タンクレーディ・ディ・ボルボーネ＝ドゥエ・シチリエ
Santi Santamaria,サンティ・サンタマリア
Dalmacio Langarica,ダルマシオ・ランガリカ
Letizia Ortiz,レティシア・(スペイン王妃)
Juan Sebastián Elcano,フアン・セバスティアン・エルカーノ
Ferrán Corominas,フェラン・コロミナス
Rafa Valls,ラファエル・バルス
Víctor Manuel Fernández,ビクトル・マヌエル・フェルナンデス・グティエレス
Javier Maroto,ハビエル・マロート
Álvaro Antón,アルバロ・アントン・カマレロ
Melli (futbolista),フアン・アルベルト・アンドレウ
Manu Sarabia,マヌエル・サラビア
Luis Tosar,ルイス・トサール
Luis Carlos Cuartero,ルイス・カルロス・クアルテーロ
Mario Martínez Rubio,マリオ・マルティネス
Carlos Machado Sobrados,カルロス・マチャード
Dani García Lara,ダニ・ガルシア
Francesc Arnau,フランセスク・アルナウ
Pablo Sarasate,パブロ・デ・サラサーテ
Pelegrín Clavé,ペレグリ・クラーベ
Rafael del Riego,ラファエル・デル・リエゴ
Daniel Urrabieta Vierge,ダニエル・ヴィエルジュ
Amets Txurruka,アメツ・チュルカ
Juan de Valdés Leal,フアン・デ・バルデス・レアル
Egoi Martínez,エゴイ・マルティネス
Iñaki Lafuente,イニャキ・ラフエンテ
Joan Olivé,ホアン・オリベ
Javier Ruiz Bonilla,ハビ・ルイス
Miguel Muñoz,ミゲル・ムニョス
Raül López,ラウル・ロペス
Gonzalo Colsa,ゴンサーロ・コルサ
Miguel Llobet,ミゲル・リョベート
Alfonso Alonso,アルフォンソ・アロンソ
Maverick Viñales,マーベリック・ビニャーレス
Josep Maria Jujol,ジュゼップ・マリア・ジュジョール
Juan Manuel Asensi,フアン・マヌエル・アセンシ
Manuel Amorós,マニュエル・アモロス
Sergio Llull,セルヒオ・リュル
Javi Martínez,ハビ・マルティネス
Pablo Prigioni,パブロ・プリジオーニ
Manu del Moral,マヌエル・デル・モラル
Ernesto Valverde,エルネスト・バルベルデ
Ismael Urzaiz,イスマエル・ウルサイス
Ambrosio Spínola,アンブロジオ・スピノラ
Baltasar Gracián,バルタサル・グラシアン
Cristóbal de Morales,クリストバル・デ・モラーレス
José Villegas Cordero,ホセ・ビジェガス・コルデロ
Ismael Falcón,イスマエル・ゴメス・ファルコン
Javier Fernández Fernández,ハビエル・フェルナンデス・フェルナンデス
Chus Pereda,チュス・ペレダ
Rubén Castro,ルベン・カストロ
Pascual Cervera y Topete,パスクワル・セルベラ
Tito Rabat,エステベ・ラバト
Fernando Hierro,フェルナンド・イエロ
José Manuel Martín,ホセ・マヌエル・マルティン
José Luis Cardoso,ホセ・ルイス・カルドソ
Bartolomé de las Casas,バルトロメ・デ・ラス・カサス
Manolete,マノレテ
Pedro Luis Farnesio,ピエール・ルイージ・ファルネーゼ
Valdo,バルミロ・ロペス・ロチャ
Moisés Hurtado,モイセス・ウルタード
Miguel Ángel Moyá,ミゲル・アンヘル・モジャ
Asier Riesgo,アシエル・リエスゴ
Rubén González Rocha,ルベン・ゴンサレス・ロチャ
Igor Antón,イゴル・アントン
Eduardo Noriega,エドゥアルド・ノリエガ
Ramón Eguiazábal,ラモン・エギアサバル
Miguel Poblet,ミゲル・ポブレット
Raúl de Tomás,ラウール・デ・トマス
Jesús Loroño,ヘスス・ロロニョ
Rafael Arnaiz Barón,ラファエル・アルナイス・バロン
Xabier Azkargorta,ハビエル・アスカルゴルタ
Mikel Landa,ミケル・ランダ
Patxi Gabica,フランシスコ・ガビカ
José de Espronceda,ホセ・デ・エスプロンセダ
Francisco de Zurbarán,フランシスコ・デ・スルバラン
Oier Olazábal,オイエル・オラサバル・パレデス
Marc Coma,マルク・コマ
James Rodríguez,ハメス・ロドリゲス
Miquel Robusté,ミゲル・ロブステ
Andrés Fernández Moreno,アンドレス・フェルナンデス・モレノ
Sergio Sánchez Ortega,セルヒオ・サンチェス・オルテガ
Andrés Isasi,アンドレス・イサシ
Andrés Manuel del Río,アンドレス・マヌエル・デル・リオ
Hortensio Félix Paravicino,修道士オルテンシオ・フェリス・パラビシーノの肖像
Javier Fernández López,ハビエル・フェルナンデス
Nani Roma,ナニ・ロマ
Juan Ignacio Cirac Sasturain,イグナシオ・シラク
Juanmi Jiménez,フアン・ミゲル・ヒメネス・ロペス
Julio Caro Baroja,フリオ・カロ・バローハ
Gaspar de Zúñiga Acevedo y Velasco,ガスパール・デ・スニガ・イ・アセベード
Pau Casals,パブロ・カザルス
Xabi Alonso,シャビ・アロンソ
Eusebio Sacristán,エウセビオ・サクリスタン・メナ
Víctor Ruiz Torre,ビクトル・ルイス
Santiago Rusiñol,サンティアゴ・ルシニョール
José Manuel Jurado,ホセ・マヌエル・フラド
Julio Medem,フリオ・メデム
Paquillo Fernández,フランシスコ・ハビエル・フェルナンデス
George Martin (actor),ジョージ・マーティン・(スペインの俳優)
Buenaventura Durruti,ブエナヴェントゥラ・ドゥルティ
Francisco Pavón,フランシスコ・パボン
José María del Nido,ホセ・マリア・デル・ニド
Rubén Miño,ルベン・ミーニョ
Berni Rodríguez,ベルニ・ロドリゲス
Álvaro Negredo,アルバロ・ネグレド
Juanfran Torres,フアン・フランシスコ・トーレス
Luis Molowny,ルイス・モロウニー
José Villalonga,ホセ・ビジャロンガ
Raúl Baena,ラウル・バエナ
Antonio Puerta,アントニオ・プエルタ
Diego de Almagro,ディエゴ・デ・アルマグロ
Jaime de Borbón y Borbón-Parma,ハイメ・デ・ボルボン・(マドリード公)
Pahiño,パイーニョ
Emilio Botín,エミリオ・ボティン
Vicente Espinel,ビセンテ・エスピネル
Lorenzo Suárez de Mendoza,ロレンソ・スアレス・デ・メンドーサ
Carlos Sainz,カルロス・サインツ
Andrés Palop,アンドレス・パロップ
Bárbara Lennie,バルバラ・レニー
Juan Pablo Pujol,ジョアン・パウ・プジョル
Jordi Gené,ジョルディ・ジェネ
Luis I de España,ルイス1世・(スペイン王)
Ricky Rubio,リッキー・ルビオ
Marc López,マルク・ロペス
Ander Iturraspe,アンデル・イトゥラスペ
Oriol Servià,オリオール・セルビア
Alfonso de Galarreta,アルフォンソ・デ・ガラレタ
Pedro de San José de Betancur,ペトロ・ド・ベタンクール
Miguel Ángel Corona,ミゲル・アンヘル・ガルシア・ペレス＝ロルダン
Bruno Soriano,ブルーノ・ソリアーノ
Mario Suárez,マリオ・スアレス
Juan Antonio Bayona,フアン・アントニオ・バヨナ
Enrique Porta,エンリケ・ポルタ
Agustín Rodríguez Santiago,アグスティン・ロドリゲス
Valentí Massana,バレンティ・マッサナ
Dani Moreno,ダニエル・モレノ
Nacho Duato,ナチョ・ドゥアト
Ismael Ruiz Salmón,イスマエル・ルイス
Javier Villa,ハビエル・ビジャ
