정주시,定州市
조선인민군 항공 및 반항공군,朝鮮人民軍空軍
동아시아,東アジア
순천시,順川市
영광군,栄光郡
구월산,九月山
선덕비행장,宣徳飛行場
운산군,雲山郡
보천보전자악단,普天堡電子楽団
양각도축구경기장,羊角島競技場
인민대학습당,人民大学習堂
중구역,中区域
양각도국제호텔,羊角島国際ホテル
북위 38도선,北緯38度線
황금벌역,黄金原駅
봉화역,烽火駅
건설역,建設駅
보통문,普通門
붉은별역,赤い星駅
전승역,戦勝駅
아무르판,アムールプレート
안국사,安国寺 (平城市)
한반도 통일,朝鮮統一問題
동해북부선,東海北部線
공화국의 영원한 주석,共和国の永遠なる主席
장자강,将子江
승리자동차종합기업소,勝利自動車工場
압록강체육단,鴨緑江体育団
통천군,通川郡
6·15 남북 공동선언,6.15南北共同宣言
갈마비행장,元山空港
광복절,光復節
조선민주주의인민공화국의 철도,朝鮮民主主義人民共和国の鉄道
은산군,殷山郡
맹산군,孟山郡
청남군,淸南郡
덕성군,徳城郡
조선민주주의인민공화국의 인권,北朝鮮人権問題
평양외국어대학,平壌外国語大学
평양의학대학,平壌医科大学
김일성군사종합대학,金日成軍事総合大学
김책공업종합대학,金策工業総合大学
김일성종합대학,金日成総合大学
법동군,法洞郡
천내군,川内郡
세포군,洗浦郡
판교군,板橋郡
고산군,高山郡
창도군,昌道郡
금수산태양궁전,錦繍山太陽宮殿
독원영주원,徳源自治修道院
대일 전승 기념일,対日戦勝記念日
조선로동당,朝鮮労働党
광복역,光復駅
락원역,楽園駅
영광역,栄光駅
삼지연공항,三池淵空軍基地
청진 정치범수용소,淸津
개성역,開城駅
무산군,茂山郡
국제친선전람관,国際親善展覧館
칠보산,七宝山
대동문,大同門
옥류관,玉流館
평천구역,平川区域
아리랑,アリラン
조선민주주의인민공화국의 역사,朝鮮民主主義人民共和国の歴史
로동신문,労働新聞
은정구역,恩情区域
중강군,中江郡
구성시,亀城市
한강,漢江
평양민속공원,平壌民俗公園
현정릉,恭愍王陵
희천시,熙川市
고난의 행군,苦難の行軍
북관대첩비,北関大捷碑
자성군,慈城郡
대성구역,大城区域
력포구역,力浦区域
개선역,凱旋駅
승리역,勝利駅
조선중앙동물원,朝鮮中央動物園
황금평,黄金坪
홍원군,洪原郡
장강군,長江郡
전천군,前川郡
조선민주주의인민공화국 사회주의헌법,朝鮮民主主義人民共和国社会主義憲法
고성군,高城郡
평강군,平康郡
금강군,金剛郡
례성강,礼成江
조선민주주의인민공화국 철도성,朝鮮民主主義人民共和国鉄道省
위성관제통합지휘소,衛星管制総合指揮所
천리마동상,千里馬銅像
2012년 조선민주주의인민공화국 홍수,2012年の北朝鮮における洪水
관북 지방,関北地方 (朝鮮)
청년호텔,青年ホテル
대성산혁명렬사릉,大城山革命烈士陵
회령시,会寧市
통일역,統一駅
평화자동차,平和自動車
2009년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験 (2009年)
안변군,安辺郡
원산역,元山駅
김화군,金化郡
남북정상회담,南北首脳会談
.kp,.kp
공동경비구역,共同警備区域
한자 문화권,漢字文化圏
김일성 장군의 노래,金日成将軍の歌
평양신문,平壌新聞
한탄강,漢灘江
안변역,安辺駅
금성 전투,金城の戦い
청천강 해전,清川江の戦い
릉라도,綾羅島
전우역,戦友駅
혁신역,革新駅
삼흥역,三興駅
건국역,建国駅
모란봉,牡丹峰
부흥역,富興駅
읍,邑
한반도,朝鮮半島
조선민주주의인민공화국 여자 축구 국가대표팀,サッカー朝鮮民主主義人民共和国女子代表
보현사,普賢寺
판문점,板門店
개성공업지구,開城工業地区
금강산관광지,金剛山観光地区
기관차체육단,機関車体育団
조선민주주의인민공화국의 국장,朝鮮民主主義人民共和国の国章
백두산,白頭山
동한만,東朝鮮湾
두만강,豆満江
양각도,羊角島
장충성당,長忠大聖堂
강계시,江界市
아시안 하이웨이 6호선,アジアハイウェイ6号線
아시안 하이웨이 1호선,アジアハイウェイ1号線
천주교 평양교구,天主教平壌教区
녕원군,寧遠郡
증산군,甑山郡
개천시,价川市
혜산시,恵山市
함북선,咸北線
평의선,平義線
회령 정치범수용소,会寧強制収容所
고원군,高原郡
온천군,温泉郡
신천군,信川郡
조선의 소리 방송,朝鮮の声放送
평양시체육단,平壌市体育団
보통강구역,普通江区域
원산농업대학,元山農業大学
러시아-조선민주주의인민공화국 국경,露朝国境
1984년 동계 올림픽 조선민주주의인민공화국 선수단,1984年サラエボオリンピックの北朝鮮選手団
한국 요리,朝鮮料理
평부선,平釜線
옹진군,甕津郡
돌아오지 않는 다리,帰らざる橋
평양 궤도전차,平壌市電
2035년 9월 2일 일식,2035年9月2日の日食
요덕역,耀徳駅
동경 130도,東経130度線
서해리선,西海里線
룡성선,龍城線
남흥선,南興線
덕성선,徳城線
2019년 1월 6일 일식,2019年1月6日の日食
조선사회민주당,朝鮮社会民主党
천도교청우당,天道教青友党
조국통일민주주의전선,祖国統一民主主義戦線
우시군,雩時郡
장진군,長津郡
김정일의 죽음과 국장,金正日の死
대홍단군,大紅湍郡
개마고원,蓋馬高原
평남선,平南線
국기훈장,国旗勲章
조선민주주의인민공화국 무역성,対外経済省
홍의선,洪儀線
해방탑,解放塔
올림픽 조선민주주의인민공화국 선수단,オリンピックの北朝鮮選手団
평화를 위한 평양 국제 체육 및 문화축전,平和のための平壌国際体育・文化祝典
조선4.26만화영화촬영소,SEKスタジオ
동아시아 공동체,東アジア共同体
조선인민군 전략군,朝鮮人民軍戦略軍
조중 국경,中朝国境
강원도,江原道 (北)
조선민주주의인민공화국의 행정 구역,朝鮮民主主義人民共和国の地方行政区画
할하,ハルハ
멸악산,滅悪山
신미도,身弥島
신흥역,新興駅
쌍영총,双楹塚
안협군,安峡郡
약수리 고분,薬水里古墳
약수역 (세포),薬水駅
어룡역 (구장),魚龍駅 (平安北道)
연백군,延白郡
영양역,迎陽駅
예성강철교,礼成江鉄橋
오현역,梧玄駅
온성역,穏城駅
온수평역,温水坪駅
왕재산,旺載山
운흥리역,雲興里駅
웅기만,雄基湾
유현덕산,柳峴徳山
은빛역,銀ビッ駅
은파역,銀波駅
인민경제대학,人民経済大学
인민무력부 정찰총국,朝鮮人民軍総参謀部偵察局
인민정권 창건일,人民政権創建日
광명역,光明駅
만수대텔레비죤,万寿台テレビ
룡남산텔레비죤,竜南山テレビ
통일의 메아리 방송,統一のこだま放送
아시안 하이웨이,アジアハイウェイ
강서구역,江西区域
대한해협,対馬海峡
한국만,西朝鮮湾
장방역,長芳駅
장진호,長津湖
전조선 제정당사회단체 대표자 연석회의,全朝鮮諸政党社会団体代表者連席会議
조국통일범민족연합,祖国統一汎民族連合
조국통일상,祖国統一賞
조선녀성,朝鮮女性
조선민주주의인민공화국의 공훈배우,朝鮮民主主義人民共和国功勲俳優
조선민주주의인민공화국의 교통표지,朝鮮民主主義人民共和国の道路標識
조선민주주의인민공화국의 인민배우,朝鮮民主主義人民共和国人民俳優
조선민주주의인민공화국의 인민예술가,朝鮮民主主義人民共和国人民芸術家
창흥역,昌興駅
천리장성,千里長城
철령,鉄嶺
청단역,青丹駅
통일전선부,朝鮮労働党統一戦線部
창평 수용소 유혈 봉기,穏城強制収容所
평양역,平壌駅
삼석구역,三石区域
의주군,義州郡
강원선,江原線
량강도,両江道
남포시,南浦特別市
금강산,金剛山
임진강,臨津江
경원군,慶源郡
경성군,鏡城郡
운흥군,雲興郡
송화군,松禾郡
만포선,満浦線
함주군,咸州郡
평양국제비행장,平壌国際空港
묘향산,妙香山
랑림산맥,狼林山脈
청류교,清流橋
한국어의 남북 간 차이,朝鮮語の南北差
1992년 동계 올림픽 조선민주주의인민공화국 선수단,1992年アルベールビルオリンピックの北朝鮮選手団
조선민주주의인민공화국 올림픽 위원회,朝鮮民主主義人民共和国オリンピック委員会
운곡지구,雲谷地区
함흥시,咸興市
북부내륙선,北部内陸線
청년이천선,青年伊川線
조선민주주의인민공화국의 교육,朝鮮民主主義人民共和国の教育
간리역,間里駅
서포역,西浦駅
국가보위성,朝鮮民主主義人民共和国国家保衛省
조선민주주의인민공화국의 통신,朝鮮民主主義人民共和国の電気通信
조선민주주의인민공화국 원,朝鮮民主主義人民共和国ウォン
삼지연시,三池淵市
철원군,鉄原郡 (北)
회양군,淮陽郡
꽃제비,コッチェビ
관서 지방,関西地方 (朝鮮)
성불사,成仏寺 (黄海道)
신계사,神渓寺
조선민주주의인민공화국의 사형제,北朝鮮における死刑
1988년 동계 올림픽 조선민주주의인민공화국 선수단,1988年カルガリーオリンピックの北朝鮮選手団
만수대창작사,万寿台創作社
고려링크,Koryolink
평양국제영화회관,平壌国際映画会館
평양신의주고속도로,平壌新義州高速道路
학송역,鶴松駅
한국 천주교 주교회의,韓国天主教主教会議
함흥역,咸興駅
함흥조차장역,咸興操車場
혁명적 수령관,革命的首領観
혜산청년역,恵山青年駅
홍현역,紅峴駅
황해선,黄海線
회령청년역,会寧青年駅
흥남역,興南駅 (咸鏡南道)
신의주공항,新義州空港
모란봉구역,牡丹峰区域
선교구역,船橋区域
룡성구역,龍城区域
만경대구역,万景台区域
초산군,楚山郡
랑림군,狼林郡
조선우주공간기술위원회,朝鮮宇宙空間技術委員会
평산군,平山郡
청진공항,清津空港
남양로동자구,南陽労働者区
고려호텔,平壌高麗ホテル
조선민주주의인민공화국의 공휴일,朝鮮民主主義人民共和国の祝日
신도군,薪島郡
해주공항,海州空港
김일성광장,金日成広場
한국 표준시,韓国標準時
함경북도,咸鏡北道
함경남도,咸鏡南道
기쁨조,喜び組
장진강,長津江
만경대학생소년궁전,万景台学生少年宮殿
조선민주주의인민공화국 축구 협회,朝鮮民主主義人民共和国サッカー協会
수안군,遂安郡
만경대,万景台
조선민주주의인민공화국의 검열,北朝鮮における検閲
선봉구역,先鋒区域
조선민주주의인민공화국의 정치,朝鮮民主主義人民共和国の政治
개성시,開城特別市
청진시,清津市
황해북도,黄海北道
청암리 토성,清岩里土城
삼거역,三巨駅
상평역,上坪駅 (咸鏡南道)
상통역,上通駅
아시안 하이웨이 32호선,アジアハイウェイ32号線
정백사원,貞柏寺院
북한의 개인숭배,北朝鮮の個人崇拝
운봉역,雲峰駅
상풍강역,上豊江駅
구중역,旧中駅
세천선,細川線
두만강선,豆満江線
중봉역,仲峰駅
세천역 (회령),細川駅
적지역,赤池駅
신양역,新陽駅
독소역,篤所駅
남촌역,南村駅
흥암역,興岩駅
연상역,延上駅
신장역,新章駅
상경평역,上境坪駅
하경평역,下境坪駅
유평동역,楡坪洞駅
하황토역,下黄土駅
천수역,天水駅
상단역,上坍駅
연수역 (연사),延水駅
연사역,延社駅
소도역,小桃駅
신양역 (연사),新陽駅
라적역,羅跡駅
남동역,南洞駅
북한강,北漢江
기정동,機井洞
문천시,文川市
평양 국제영화축전,非同盟および発展途上国の平壌映画祭
동아시아 경기 대회,東アジア競技大会
조선민주주의인민공화국의 문화,北朝鮮の文化
독일-조선민주주의인민공화국 관계,ドイツ-北朝鮮関係
황강댐,黄江ダム
부전호국립공원,赴戦湖国立公園
압록강선,鴨緑江線
남동선,南洞線
태성역,台城駅
룡강역,龍岡駅 (平安南道)
갈천역,葛川駅
강선역,降仙駅
로상역,路上駅
평남온천역,平南温泉駅
귀성역,貴城駅
덕동역,徳洞駅
동광량역,東広梁駅
서광량역,西広梁駅
남포역,南浦駅
온정역,温井駅
평남대안역,平南大安駅
보산역 (남포),保山駅
청남선,清南線
득장지구,得将地区
북위 39도,北緯39度線
김일성경기장,金日成競技場
평양TV타워,平壌テレビ塔
조선민주주의인민공화국 중앙은행,朝鮮民主主義人民共和国中央銀行
평양 지하철도,平壌地下鉄
숙천군,粛川郡
조국통일3대헌장기념탑,祖国統一三大憲章記念塔
원산시,元山市
아리랑,アリラン
말레이시아-조선민주주의인민공화국 관계,マレーシアと北朝鮮の関係
허천군,虚川郡
중화군,中和郡
조선민주주의인민공화국의 국보,朝鮮民主主義人民共和国の国宝
상원군,祥原郡
안악군,安岳郡
백암군,白岩郡
1972년 동계 올림픽 조선민주주의인민공화국 선수단,1972年札幌オリンピックの北朝鮮選手団
신의주시,新義州市
조선인민군 해군,朝鮮人民軍海軍
제12기 최고인민회의 대의원 선거,第十二期最高人民会議代議員選挙
북한의 종교,朝鮮民主主義人民共和国の宗教
북한의 지리,北朝鮮の地理
신평역,新坪駅 (咸鏡南道)
신덕역,新徳駅
신증산역,新甑山駅
신장역,新長駅
구운봉역,旧雲峰駅
구시물동역,クシ水堰駅
구진역,旧津駅
망일리역,望日里駅
동정역,東井駅
동덕역,東徳駅
동양역,東陽駅
송당역,松堂駅
상음청년역,桑陰青年駅
리파역,梨坡駅
수촌역,水村駅
수차역,水遮駅
답동역,畓洞駅
사포역,沙浦駅 (咸鏡南道)
천곡역,泉谷駅
사수역,泗水駅 (咸鏡南道)
동정호역,洞庭湖駅
심계역,深桂駅
렴성역,濂城駅
봉수역,烽燧駅
백암산역,白岩山駅
운흥역,雲興駅
조선로동당 중앙위원회,朝鮮労働党中央委員会
무수단리,舞水端里
2010년 동계 올림픽 조선민주주의인민공화국 선수단,2010年バンクーバーオリンピックの北朝鮮選手団
2012년 하계 올림픽 조선민주주의인민공화국 선수단,2012年ロンドンオリンピックの北朝鮮選手団
2006년 동계 올림픽 조선민주주의인민공화국 선수단,2006年トリノオリンピックの北朝鮮選手団
1996년 하계 올림픽 조선민주주의인민공화국 선수단,1996年アトランタオリンピックの北朝鮮選手団
풍서군,豊西郡
은률군,殷栗郡
서흥군,瑞興郡
대동군,大同郡
한반도 더비,サッカーの南北戦
리순신장군훈장,李舜臣勲章
조선민주주의인민공화국 내각,朝鮮民主主義人民共和国内閣
당창건사적관,党創建史跡館
상감령,上甘嶺 (江原道)
김일성훈장,金日成勲章
만수대,万寿台
충성의 다리,忠誠の橋
김원균명칭 음악종합대학,金元均名称平壌音楽大学
옥류교,玉流橋
릉라교,綾羅橋
송도원선,松涛園線
량강호텔,両江ホテル
제13기 최고인민회의 대의원 선거,2014年朝鮮民主主義人民共和国最高人民会議選挙
갈마역,葛麻駅
운봉선,雲峰線
시정선,柴井線
리원선,利原線
인도네시아-조선민주주의인민공화국 관계,インドネシアと北朝鮮の関係
정도선,鼎島線
덕도,徳島
평안남도,平安南道
당창건기념탑,党創立記念塔
청년영웅도로,青年英雄道路
외국문출판사,外国文総合出版社
대외문화련락위원회,朝鮮対外文化連絡協会
주체사상,主体思想
보천선,普天線
미국-조선민주주의인민공화국 관계,米朝関係
평양성 (고구려),平壌城
혜산비행장 / 惠山飛行場,恵山空軍基地
대한민국-조선민주주의인민공화국 국경,南北国境線
하기천역,下岐川駅
하송흥역,下松興駅
돈산역,トン山駅
동암역,東巌駅
동해역,東海駅
중호역,中湖駅
시중호역,侍中湖駅
전동역,典洞駅
농산역,農山駅
리원철산역,利原鉄山駅
천불산역,千仏山駅
남애역,南涯駅
고토역,古土駅
길봉역,吉峰駅
성천역,城川駅
보장역,堡庄駅
대신역,大新駅 (咸鏡南道)
대흥역,大興駅
천성역,天聖駅
부민역,富民駅
부성역,富盛駅
산위평역,山衛坪駅
거룡역,巨龍駅
광천역,広泉駅
자서역,自西駅
흥남본정역,興南本町駅
무학역,舞鶴駅 (咸鏡南道)
두포역,豆浦駅
하덕역,荷徳駅
련흥역,蓮興駅
서시역,ソシ駅
두언역,豆彦駅
풍상역,豊上駅
부전령역,赴戦嶺駅
부전역,赴戦駅
매봉역,メボン駅
도안역,道安駅 (咸鏡南道)
차호역,遮湖駅
금봉강역,金峯江駅
금골역,クムゴル駅
장진역,長津駅
장흥역,長興駅
장풍역,長豊駅
장항역,獐項駅
운중역,雲中駅
관평역,館坪駅
조선민주주의인민공화국의 섬 목록,朝鮮民主主義人民共和国の島の一覧
평안북도,平安北道
사회주의애국청년동맹,金日成社会主義青年同盟
이천군,伊川郡
김형직군,金亨稷郡
평양교예극장,平壌サーカス劇場
조선민주주의인민공화국의 인터넷,朝鮮民主主義人民共和国のインターネット
만수대대기념비,万寿台大記念碑
조선혁명박물관,朝鮮革命博物館
감호역,鑑湖駅
조선인민군 육군,朝鮮人民軍陸軍
강안선,江岸線
심화조 사건,深化組事件
백두산 밀영,白頭山密営
방화역,傍花駅
조선민주주의인민공화국 외무성,外務省
조선민주주의인민공화국의 도,朝鮮民主主義人民共和国の道
개성역사유적지구,開城の歴史的建造物群と遺跡群
개천탄광선,价川炭鉱線
관리소,管理所
안주시,安州市
서성구역,西城区域
김형권군,金亨権郡
길주군,吉州郡
호위사령부,護衛司令部
노동당 유일사상 10대 원칙,党の唯一思想体系確立の10大原則
서산호텔,西山ホテル
금야역,金野駅
형제산구역,兄弟山区域
대동강구역,大同江区域
락랑구역,楽浪区域
평라선,平羅線
북위 41도,北緯41度線
북위 42도,北緯42度線
평양 트롤리버스,平壌のトロリーバス
룡연군,龍淵郡
라진구역,羅津区域
공화국영웅,朝鮮民主主義人民共和国共和国英雄
신천박물관,信川博物館
조선민주주의인민공화국 평화박물관,朝鮮民主主義人民共和国平和博物館
자유독립훈장,自由独立勲章
ISO 3166-2:KP,ISO 3166-2:KP
조선민주주의인민공화국의 대외 관계,朝鮮民主主義人民共和国の国際関係
북위 40도,北緯40度線
동경 125도,東経125度線
보통강,普通江
우의탑,友誼塔
조선그리스도교연맹,朝鮮基督教連盟
조선민주주의인민공화국 아이스하키 국가대표팀,アイスホッケー北朝鮮代表
2007년 북한 홍수,2007年の北朝鮮における洪水
장진군공항,長津空港
조선민주주의인민공화국의 고속도로,朝鮮民主主義人民共和国の高速道路
사동구역,寺洞区域
순안구역,順安区域
강남군,江南郡
희천공업대학,熙川工業大学
양각교,羊角橋
심포리역,深浦里駅
대오천역,大五川駅
검산리역,剣山里駅
보안역,甫安駅
2016년 조선민주주의인민공화국 핵 실험,2016年1月の北朝鮮の核実験
2016년 조선민주주의인민공화국,2016年の朝鮮民主主義人民共和国
체육 텔레비죤,体育テレビ
리명수청년역,鯉明水青年駅
명고역,鳴皐駅
황초령역,黄草嶺駅
룡성역,龍城駅 (咸鏡南道)
룡수역,龍水駅
라산역,羅山駅 (咸鏡南道)
군,郡
군면리 대폐합,郡面里大廃合
대동문영화관,大同門映画館
조선우표박물관,朝鮮郵票博物館
륙태동역,六坮洞駅
평양시간,平壌時間
원평역,院坪駅
룡현역,龍峴駅
관해역,観海駅
신아산역,新阿山駅
신원역,新院駅
무구역,無仇駅
리만역,梨満駅
리원역,利原駅
신주막역,新酒幕駅
사구역,沙口駅
리평역,梨坪駅
사도역,蛇島駅
신참역,新站駅
신창역,新倉駅
농촌역,農村駅
신천역,信川駅
신천온천역,信川温泉駅
신청역,新清駅
신포역,新浦駅
구룡평역,九龍坪駅
마전역,麻田駅
늪평역,ヌプ坪駅
사오역,沙烏駅
만덕역,満徳駅
구읍역,旧邑駅
만풍역,万豊駅
구장청년역,球場青年駅
구정역,九井駅
십리평역,十里坪駅
구탄역,九灘駅
운곡역,雲谷駅
구현역,鳩峴駅
운리역,雲里駅
운성역,雲城駅 (黄海南道)
운송역,雲松駅
630호대 증기 기관차,朝鮮鉄道630形蒸気機関車
660호대 증기 기관차,朝鮮鉄道660形蒸気機関車
쌍룡역,双龍駅
운포역,雲浦駅
단천청년역,端川青年駅
쌍부역,双富駅
국경역,国境駅
산성역,山城駅 (平安北道)
산수역,山水駅
산양대역,山羊台駅
웅라역,雄羅駅
웅상역,雄尚駅
삼기역,三岐駅
삼등역,三登駅
원산금강산고속도로,元山-金剛山高速道路
명호역,明湖駅
삼수청년역,三水青年駅
원창역,院倉駅
평양 개선문,凱旋門
릉라도5월1일경기장,綾羅島メーデー・スタジアム
현흥역,玄興駅
문암역,文岩駅
남북공동연락사무소,南北共同連絡事務所
화계역,花渓駅
공인역,公仁駅
련진역,連津駅
령남역,嶺南駅
령하역,嶺下駅
로동역,芦洞駅
신련포역,新蓮浦駅
신룡역,新龍駅 (平安北道)
로탄역,蘆灘駅
신북청역,新北青駅
비단섬,緋緞島
관곡역,寛谷駅
신상역,新上駅
룡당리역,龍堂里駅
룡대역,龍台駅
신생역,新生駅 (江原道)
룡동역,龍洞駅
룡원리역,龍源里駅
룡출역,龍出駅
허천선,虚川線
안주탄광선,安州炭鉱線
정방리역,正方里駅
긴등역,キンドゥン駅
어랑군,漁郎郡
금호군,琴湖郡
보천군,普天郡
동대원구역,東大院区域
1992년 하계 올림픽 조선민주주의인민공화국 선수단,1992年バルセロナオリンピックの北朝鮮選手団
인도-북한 관계,インドと北朝鮮の関係
북위 43도,北緯43度線
이란-조선민주주의인민공화국 관계,イランと北朝鮮の関係
청년팔원선,青年八院線
송림선,松林線
삼지연청년역,三池淵青年駅
삼천역,三泉駅
삼해역,三海駅
삼향역,三郷駅
삼호역,三湖駅
상농역,上農駅
상대역,上台駅
월봉역,月峰駅
상도내역,上島内駅
굴송역,屈松駅
창두역,昌斗駅
상룡전역,上龍田駅
월탄역,月灘駅
상리역,上里駅
대응역,大鷹駅
삼지연못가역,三池淵モッカ駅
창촌역,倉村駅
창평역,蒼坪駅
자산역,慈山駅
자성역,慈城駅
상신원역,上新院駅
상일역,上一駅
무산철산역,茂山鉄山駅
위연역,渭淵駅
대택역,大沢駅
국제김일성상,国際金日成賞
리명수폭포,鯉明水瀑布
스페인-조선민주주의인민공화국 관계,北朝鮮とスペインの関係
조선민주주의인민공화국의 읍,朝鮮民主主義人民共和国の邑
사회역,四会駅 (羅先特別市)
최고인민회의 대의원,最高人民会議代議員
조선로동당 제7차 대회,朝鮮労働党第7次大会
한반도 중부 낙엽수림,朝鮮中央落葉樹林
만주 혼합림,満州混合樹林
장백산맥 혼합림,長白山脈混合樹林
부풍역,富豊駅
대관리역,大館里駅
신온역,新温駅
봉천역,鳳泉駅
자작역,自作駅
조선사회주의여성동맹,朝鮮社会主義女性同盟
미림비행장,美林空軍基地
칠골교회,七谷教会
제10기 최고인민회의 대의원 선거,第十期最高人民会議代議員選挙
제11기 최고인민회의 대의원 선거,第十一期最高人民会議代議員選挙
