Campinas,カンピーナス
Liga Mundial de Voleibol de 1993,1993年バレーボール・ワールドリーグ
Rio Paraguai,パラグアイ川
Niterói,ニテロイ
Palmas,パルマス
Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピック
Rio de Janeiro,リオデジャネイロ
Grande Prêmio do Brasil de 1980,1980年ブラジルグランプリ
Grande Prêmio do Brasil de 1975,1975年ブラジルグランプリ
Língua iídiche,イディッシュ語
Grande Prêmio do Brasil de 1981,1981年ブラジルグランプリ
Grande Prêmio do Brasil de 1982,1982年ブラジルグランプリ
Grande Prêmio do Brasil de 1983,1983年ブラジルグランプリ
Gloster Meteor,グロスター・ミーティア
Grande Prêmio do Brasil de 1984,1984年ブラジルグランプリ
Brasil nos Jogos Olímpicos de Verão de 2008,2008年北京オリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 2012,2012年ロンドンオリンピックのブラジル選手団
Rio São Francisco,サン・フランシスコ川
Brasil nos Jogos Olímpicos de Verão de 2004,2004年アテネオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1920,1920年アントワープオリンピックのブラジル選手団
Boa Vista (Roraima),ボア・ヴィスタ・(ロライマ州)
Aeroporto Internacional de Curitiba,アフォンソ・ペーナ国際空港
Macapá,マカパ
Oriental Brewery,OBビール
Campeonato Brasileiro de Futebol,カンピオナート・ブラジレイロ・セリエA
Sabesp,サンパウロ州基礎衛生公社
Ilha da Queimada Grande,ケイマーダ・グランデ島
Grande Prêmio do Brasil de 1989,1989年ブラジルグランプリ
Grande Prêmio do Brasil de 1992,1992年ブラジルグランプリ
Grande Prêmio do Brasil de 1991,1991年ブラジルグランプリ
Grande Prêmio do Brasil de 1990,1990年ブラジルグランプリ
Grande Prêmio do Brasil de 1993,1993年ブラジルグランプリ
Pampa,パンパ
São Bernardo do Campo,サンベルナルド・ド・カンポ
Grande Prêmio do Brasil de 1986,1986年ブラジルグランプリ
Grande Prêmio do Brasil de 1985,1985年ブラジルグランプリ
Grande Prêmio do Brasil de 1987,1987年ブラジルグランプリ
Grande Prêmio do Brasil de 1988,1988年ブラジルグランプリ
Guarulhos,グアルーリョス
Petrobras,ペトロブラス
Chaco,グランチャコ
Maringá,マリンガ
Grande Prêmio do Brasil de 1997,1997年ブラジルグランプリ
Grande Prêmio do Brasil de 1995,1995年ブラジルグランプリ
Grande Prêmio do Brasil de 1994,1994年ブラジルグランプリ
Grande Prêmio do Brasil de 2004,2004年ブラジルグランプリ
Grande Prêmio do Brasil de 2003,2003年ブラジルグランプリ
Grande Prêmio do Brasil de 2005,2005年ブラジルグランプリ
Grande Prêmio do Brasil de 2007,2007年ブラジルグランプリ
Grande Prêmio do Brasil de 2006,2006年ブラジルグランプリ
Grande Prêmio do Brasil de 2008,2008年ブラジルグランプリ
Grande Prêmio do Brasil de 2009,2009年ブラジルグランプリ
Brasil nos Jogos Olímpicos de Verão de 1924,1924年パリオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1936,1936年ベルリンオリンピックのブラジル選手団
Shaman (banda),シャーマン・(ブラジルのバンド)
Cruzeiro Esporte Clube,クルゼイロEC
Fusos horários no Brasil,ブラジル時間
Blumenau,ブルメナウ
Lituanos,リトアニア人
Grande Prêmio do Brasil de 1998,1998年ブラジルグランプリ
Grande Prêmio do Brasil de 1999,1999年ブラジルグランプリ
Grande Prêmio do Brasil de 2001,2001年ブラジルグランプリ
Grande Prêmio do Brasil de 2002,2002年ブラジルグランプリ
Grande Prêmio do Brasil de 2000,2000年ブラジルグランプリ
Estádio Jornalista Mário Filho,エスタジオ・ド・マラカナン
Parque Ibirapuera,イビラプエラ公園
Monumento Natural dos Morros do Pão de Açúcar e da Urca,ポン・ヂ・アスーカル
Estádio Olímpico Nilton Santos,エスタジオ・オリンピコ・ジョアン・アベランジェ
Rio Uruguai,ウルグアイ川
Língua galibi,カリブ語
Língua hixcariana,ヒシュカリヤナ語
Clube de Regatas do Flamengo,CRフラメンゴ
Universidade Federal da Bahia,バイーア連邦大学
Petrópolis,ペトロポリス
Centro Federal de Educação Tecnológica de Minas Gerais,ミナスジェライス州連邦技術教育センター
Paraná,パラナ州
Grande Prêmio do Brasil de 2010,2010年ブラジルグランプリ
Armas Nacionais do Brasil,ブラジルの国章
Joinville,ジョインヴィレ
Associação Atlética Ponte Preta,AAポンチ・プレッタ
Grêmio Foot-Ball Porto Alegrense,グレミオFBPA
Copa das Confederações FIFA de 2013,FIFAコンフェデレーションズカップ2013
Anápolis,アナポリス・(ブラジル)
Baía de Guanabara,グアナバラ湾
Pantanal,パンタナル
Operação Condor,コンドル作戦
Grande Prêmio do Brasil de 2012,2012年ブラジルグランプリ
Grande Prêmio do Brasil de 2011,2011年ブラジルグランプリ
Rio Tocantins,トカンチンス川
Universidade Estadual de Feira de Santana,フェイラ・デ・サンタナ州立大学
Ribeirão Preto,リベイラン・プレト
Fortaleza Esporte Clube,フォルタレーザEC
Sorocaba,ソロカーバ
Nova Iguaçu,ノヴァ・イグアス
Ouro Preto,オウロ・プレット
Rio Içá,プトゥマヨ川
Sport Club do Recife,スポルチ・レシフェ
Figueirense Futebol Clube,フィゲイレンセFC
Clube Náutico Capibaribe,クルーベ・ナウチコ・カピバリベ
Ciclone Catarina,ハリケーン・カタリーナ
Copa do Mundo FIFA de 2014,2014・FIFAワールドカップ
Rio Iguaçu,イグアス川
Santo André (São Paulo),サントアンドレ
São José dos Campos,サン・ジョゼ・ドス・カンポス
Liberdade (distrito de São Paulo),リベルダーデ
São José do Rio Preto,サン・ジョゼー・ド・リオ・プレト
Campina Grande,カンピナグランデ
Londrina,ロンドリーナ
Taubaté,タウバテ
Apagão no Brasil e Paraguai em 2009,2009年ブラジル・パラグアイ大停電
Botafogo de Futebol e Regatas,ボタフォゴFR
Juiz de Fora,ジュイス・デ・フォーラ
Duque de Caxias (Rio de Janeiro),ドゥケ・デ・カシアス
São Luís (Maranhão),サン・ルイス・(マラニョン州)
Ilha de Marajó,マラジョ島
Aracaju,アラカジュ
Itumbiara,イツンビアラ
Campeonato Mundial de Voleibol Feminino de 1960,1960年バレーボール世界選手権
Campeonato Mundial de Voleibol Feminino de 1994,1994年バレーボール女子世界選手権
Copa Libertadores da América de Futebol Feminino de 2012,コパ・リベルタドーレス・フェメニーナ2012
Linha do equador,赤道
Capoeira,カポエイラ
Teresina,テレジーナ
Cachoeira do Sul,カショエイラ・ド・スル
Mogi das Cruzes,モジ・ダス・クルーゼス
Uberlândia,ウベルランジア
Canoas,カノアス
Feira de Santana,フェイラ・デ・サンタナ
Cone Sul,コーノ・スール
Atol das Rocas,ロカス環礁
Sepultura (banda),セパルトゥラ
Bauru,バウル
Arquipélago de São Pedro e São Paulo,サンペドロ・サンパウロ群島
Trindade e Martim Vaz,マルティン・ヴァス諸島
Lista de parques nacionais do Brasil,ブラジルの国立公園
João Pessoa,ジョアンペソア
Cristo Redentor,コルコバードのキリスト像
Vitória (Espírito Santo),ヴィトーリア・(ブラジル)
Chimarrão,マテ茶
Associação Portuguesa de Desportos,アソシアソン・ポルトゥゲーザ・ジ・デスポルトス
Usina Hidrelétrica de Itaipu,イタイプダム
Atlético Clube Goianiense,アトレチコ・ゴイアニエンセ
Esporte Clube Bahia,ECバイーア
Serra da Mantiqueira,マンチケーラ山脈
Catedral Metropolitana de Brasília,ブラジリア大聖堂
Copacabana,コパカバーナ・(リオデジャネイロ市)
Foz do Iguaçu,フォス・ド・イグアス
Olinda,オリンダ・(ブラジル)
Coronel Fabriciano,コロネル・ファブリシアーノ
Sport Club Internacional,SCインテルナシオナル
Santos Futebol Clube,サントスFC
Rio Purus,プルス川
ISO 3166-2:BR,ISO・3166-2:BR
Maceió,マセイオ
Campo Grande (Mato Grosso do Sul),カンポ・グランデ・(マットグロッソ・ド・スル州)
Eliminatórias da Copa do Mundo FIFA de 2014 - Europa,2014・FIFAワールドカップ・ヨーロッパ予選
Confederação Brasileira de Futebol,ブラジルサッカー連盟
Edifício Altino Arantes,アルティーノアランチスビル
Edifício Copan,コパン・ビルディング
Língua vêneta,ヴェネト語
Língua pirarrã,ピダハン語
Santos,サントス
Chacina da Candelária,カンデラリア教会虐殺事件
Sociedade Esportiva Palmeiras,SEパルメイラス
Fluminense Football Club,フルミネンセFC
Águas de São Pedro,アグアス・デ・サン・ペドロ
Bandeira do Brasil,ブラジルの国旗
CT Yakult,ヤクルト野球アカデミー
Eliminatórias da Copa do Mundo FIFA de 2014 - Oceania,2014・FIFAワールドカップ・オセアニア予選
Clube Atlético Mineiro,アトレチコ・ミネイロ
Corumbá,コルンバ・(ブラジル)
Contagem,コンタジェン
Guarujá,グアルジャ
Jaboatão dos Guararapes,ジャボアタン・ドス・グアララペス
São Gonçalo (Rio de Janeiro),サンゴンサロ・(リオデジャネイロ州)
Centrais Elétricas de Santa Catarina,サンタカタリーナ電力
Igreja de São Francisco de Assis (Belo Horizonte),サン・フランシスコ礼拝堂
Red Bull Bragantino II,レッドブル・ブラジル
Igreja de Nossa Senhora da Candelária,カンデラリア教会
Catalão (Goiás),カタラン・(ブラジル)
Edifício Itália,イタリアビル
Cuiabá,クイアバ
Museu de Arte de São Paulo,サンパウロ美術館
Língua nheengatu,ニェエンガトゥ語
Diamantina,ディアマンティーナ
Guarapari,グァラパリ
Parque Nacional Serra da Capivara,セラ・ダ・カピバラ国立公園
Força Aérea Brasileira,ブラジル空軍
Autódromo de Interlagos,インテルラゴス・サーキット
Autódromo de Jacarepaguá,ネルソン・ピケ・サーキット
Rio Branco,リオブランコ・(アクレ州)
Seleção Brasileira de Futebol,サッカーブラジル代表
Língua guarani,グアラニー語
Carnaval do Rio de Janeiro,リオのカーニバル
Ordem Nacional do Cruzeiro do Sul,南十字星国家勲章
Rodovia Pan-Americana,パンアメリカンハイウェイ
Escolápios,エスコラピオス修道会
Esporte Clube Vitória,ECヴィトーリア
Campeonato Brasileiro de Futebol de 1993,1993・カンピオナート・ブラジレイロ・セリエA
Arena da Amazônia,アレーナ・アマゾニア
Arena Pantanal,アレーナ・パンタナール
Seleção Brasileira de Voleibol Feminino,バレーボールブラジル女子代表
Seleção Brasileira de Voleibol Masculino,バレーボールブラジル男子代表
Braskem,ブラスケム
Goiânia,ゴイアニア
Cerrado,カンポ・セラード
Congonhas,コンゴーニャス
Jundiaí,ジュンジアイ
Sambódromo da Marquês de Sapucaí,サンボードロモ・ダ・マルケス・ジ・サプカイ
Ilha do Bananal,バナナル島
Casa de Detenção de São Paulo,カランジル刑務所
Batalhão de Operações Policiais Especiais (PMERJ),特殊警察作戦大隊・(ブラジル)
SuperVia,SuperVia
Adidas Brazuca,ブラズーカ
Sport Club Corinthians Paulista,SCコリンチャンス・パウリスタ
Brasil Kirin,スキンカリオール
Lauro de Freitas,ラウロ・ジ・フレイタス
Oiapoque,オイアポケ
Aeroporto Internacional de Brasília,プレジデント・ジュセリノ・クビシェッキ国際空港
Estádio Governador Magalhães Pinto,エスタジオ・ゴベルナドール・マガリャンイス・ピント
Companhia Paranaense de Energia,パラナ電力
Esporte Clube Juventude,ECジュベントゥージ
Associação Atlética Internacional (Limeira),AAインテルナシオナル・(リメイラ)
ABC Futebol Clube,ABC・FC
Cataratas do Iguaçu,イグアスの滝
ALCO PA-2,アルコPA
Associação Desportiva São Caetano,ADサンカエターノ
Ordem dos Frades Menores,小さき兄弟会
Boa Esporte Clube,ボアEC
Campeonato Paranaense de Futebol,カンピオナート・パラナエンセ
Trem do Corcovado,コルコバード鉄道
Guarani Futebol Clube,グアラニFC
Copersucar,コパスカー
Rio Guaporé,グアポレ川
Sant'Ana do Livramento,サンタナ・ド・リヴラメント
Sobradinho Esporte Clube,ソブラジーニョEC
Bienal Internacional de Arte de São Paulo,サンパウロ・ビエンナーレ
Campeonato Roraimense de Futebol,カンピオナート・ロライメンセ
Serra (Espírito Santo),セラ・(ブラジル)
Cruzado (moeda brasileira),クルザード・(ブラジルの通貨)
Voo Aerolíneas Argentinas 322,アルゼンチン航空322便墜落事故
Aeroporto Internacional de Salvador,ディユタード・ルイス・エドワルド・マガリャエス国際空港
Colombo (Paraná),コロンボ・(パラナ州)
Camaçari,カマサリ
Região Nordeste do Brasil,北東部地域・(ブラジル)
Centro Espacial de Alcântara,アルカンタラ射場
Futebol do Brasil,ブラジルのサッカー
Copa Sul-Minas,コパ・スル＝ミナス
Pontifícia Universidade Católica de Minas Gerais,教皇庁立ミナス・ジェライスカトリック大学
Campeonato Brasileiro de Futebol de 2001,2001・カンピオナート・ブラジレイロ・セリエA
Salvador,サルヴァドール
Arara (Paraíba),アララ・(パライバ州)
Vogue (cigarro),ヴォーグ・(たばこ)
Parque Nacional dos Lençóis Maranhenses,レンソイス・マラニャンセス国立公園
Paraty,パラチー
Metrô do Rio de Janeiro,リオデジャネイロ地下鉄
Rock in Rio,ロック・イン・リオ
Seleção Brasileira de Basquetebol Masculino,バスケットボールブラジル代表
Metrô de Salvador,メトロ・デ・サルヴァドール
Circuito do Anhembi,サンパウロ市街地コース
Tombense Futebol Clube,トンベンセFC
Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピック
Audax Rio de Janeiro Esporte Clube,アウダックス・リオデジャネイロEC
Sistema de ligas de futebol do Brasil,カンピオナート・ブラジレイロ
Velocette,ベロセット
Universíada de Verão de 1963,1963年夏季ユニバーシアード
Ministério da Defesa (Brasil),国防省・(ブラジル)
Ministério da Cultura (Brasil),文化省・(ブラジル)
Paraíba,パライバ州
Ipatinga,イパチンガ
São Paulo Futebol Clube,サンパウロFC
Palmas (Paraná),パルマス・(パラナ州)
Estádio Municipal Paulo Machado de Carvalho,エスタジオ・ド・パカエンブー
Paralelo 3 N,北緯3度線
Taurus Armas,トーラス・アームズ
Paralelo 1 N,北緯1度線
Paralelo 2 N,北緯2度線
Paralelo 4 N,北緯4度線
Aeroporto Internacional de Manaus,エドワルド・ゴメス国際空港
Novo Hamburgo,ノヴォ・アンブルゴ
Centro Sportivo Alagoano,セントロ・スポルチーヴォ・アラゴアーノ
Minas Gerais,ミナスジェライス州
Seleção Brasileira,ブラジル代表
Desportivo Brasil,デスポルチーヴォ・ブラジル
Jovens com uma Missão,ユース・ウィズ・ア・ミッション
Cinema do Brasil,ブラジルの映画
Copa do Mundo FIFA de Futebol de Areia de 2006,2006・FIFAビーチサッカーワールドカップ
Ministério do Turismo (Brasil),観光省・(ブラジル)
Pará,パラー州
Piracicaba,ピラシカーバ
Brusque,ブルスキ
Arena do Grêmio,アレーナ・ド・グレミオ
Partido dos Trabalhadores,労働者党・(ブラジル)
Lagoa dos Patos,パトス湖
Clube Atlético Juventus,CAジュベントス
Liga Mundial de Voleibol de 2008,2008年バレーボール・ワールドリーグ
Santarém (Pará),サンタレン・(ブラジル)
Paralelo 5 N,北緯5度線
Campeonato Sul-Americano de Voleibol Masculino de 1958,1958年バレーボール男子南米選手権
Operário Futebol Clube,オペラリオFC・(マットグロッソ・ド・スル州)
Chuí,シュイ
Cotia,コチア
Ceará,セアラー州
Rio Grande do Sul,リオグランデ・ド・スル州
.br,.br
Amazonas,アマゾナス州
Parque Nacional do Jaú,ジャウー国立公園
Islamismo no Brasil,ブラジルのイスラム教
Universidade Federal do Paraná,パラナ連邦大学
Amapá,アマパー州
Academia Brasileira de Letras,ブラジル文学アカデミー
América Futebol Clube (Belo Horizonte),アメリカFC・(ミナスジェライス州)
Estádio Nacional de Brasília Mané Garrincha,エスタジオ・ナシオナル・デ・ブラジリア
Vila Velha,ヴィラ・ヴェーリャ
Rio Iriri,イリリ川
Lusofonia,ルゾフォニア
Taça Brasil de Futebol,タッサ・ブラジル
Campeonato Goiano de Futebol,カンピオナート・ゴイアーノ
Campeonato Brasileiro de Futebol - Série D,カンピオナート・ブラジレイロ・セリエD
Miss Universo 2011,ミス・ユニバース2011
Campeonato Mundial de Judô de 2007,2007年世界柔道選手権大会
Campeonato Mundial de Voleibol Masculino de 1990,1990年バレーボール男子世界選手権
Porto Alegre,ポルト・アレグレ
Bahia,バイーア州
Ypiranga Futebol Clube (Erechim),イピランガFC・(リオグランデ・ド・スル州)
Hipódromo da Gávea,ガベア競馬場
Rio Quaraí,クアライ川
Esporte Clube Santo André,ECサント・アンドレ
Esporte Clube Pinheiros (Paraná),ECピニェイロス・(パラナ州)
Krisiun,クリジウン
Manaus,マナウス
Paulínia,パウリニア
Campeonato Mundial de Basquetebol Masculino de 1954,1954年バスケットボール世界選手権
Sociedade Esportiva do Gama,SEガマ
Maracanãzinho,ジナシオ・ド・マラカナンジーニョ
Rio Preto Esporte Clube,リオ・プレトEC
Associação Atlética Caldense,AAカウデンセ
Jutaí,ジュタイー
Avaí Futebol Clube,アヴァイFC
Ilhéus,イリェウス
M20 Armored Utility Car,M20装甲車
Corrente do Brasil,ブラジル海流
Acre,アクレ州
Villa Nova Atlético Clube,ヴィラ・ノヴァAC
São Leopoldo,サン・レオポルド
Acidente ferroviário de Aracaju,アラカジュ鉄道事故
Imigração no Brasil,ブラジル移民
Rio Javari,ジャバリ川
Brasil na Copa do Mundo FIFA de 2002,2002・FIFAワールドカップブラジル代表
Campeonato Tocantinense de Futebol,カンピオナート・トカンチネンセ
Copa do Mundo FIFA de Futebol de Areia de 2007,2007・FIFAビーチサッカーワールドカップ
Eliminatórias da Copa do Mundo FIFA de 2014 - América do Sul,2014・FIFAワールドカップ・南米予選
Vale-tudo,バーリトゥード
Estação Central do Brasil,セントラル・ド・ブラジル駅
Alagoas,アラゴアス州
Pernambuco,ペルナンブーコ州
LATAM Airlines Brasil,LATAM・ブラジル
Aeroporto Internacional de Campinas,ヴィラコッポス国際空港
Minas Tênis Clube (voleibol feminino),ジェルダウ・ミナス
Voo Varig 254,ヴァリグ・ブラジル航空254便墜落事故
Embraer Legacy 500,エンブラエル・レガシー・500
Itapetininga,イタペティニンガ
Metrô do Distrito Federal (Brasil),メトロ・デ・ブラジリア
Votorantim,ヴォトランチン
Praia Clube,プライア・クルーベ
Acidente de Alcântara,ブラジルロケット爆発事故
Trinta e Três Orientais,33人の東方人
LATAM Airlines Group,LATAM航空グループ
Movimento Democrático Brasileiro (1980),ブラジル民主運動党
Santa Catarina,サンタカタリーナ州
Avenida Paulista,パウリスタ通り
Eletrobras,ブラジル電力
Os Mutantes,ムタンチス
Enel Distribuição São Paulo,AES・エレトロパウロ
Estádio Major Antônio Couto Pereira,エスタジオ・マジョール・アントニオ・コウト・ペレイラ
Partido da Social Democracia Brasileira,ブラジル社会民主党
Goiás,ゴイアス州
Meridiano 66 W,西経66度線
Gol Linhas Aéreas Inteligentes,ゴル航空
Campeonato Brasileiro de Basquete Masculino,カンペオナート・ブラジレイロ・バスケット
Favelas no Brasil,ファヴェーラ
Aeroporto Internacional de São Paulo-Guarulhos,グアルーリョス国際空港
Rio de Janeiro (estado),リオデジャネイロ州
Campeonato Sul-Americano de Futebol Feminino de 1991,1991・スダメリカーノ・フェメニーノ
Campeonato Sul-Americano de Voleibol Feminino de 1983,1983年バレーボール女子南米選手権
Billboard Brasil,ビゥボアルヂ・ブラジル
Campeonato Paulista de Futebol,カンピオナート・パウリスタ
Arena das Dunas,アレーナ・ダス・ドゥーナス
Mirante do Vale,ルックアウトバレー
Roraima,ロライマ州
Maranhão,マラニョン州
Associação Desportiva Jaraguá,ADジャラグア
Paralelo 20 S,南緯20度線
Congresso Nacional do Brasil,国民会議・(ブラジル)
Piauí,ピアウイ州
Aeroporto Internacional do Recife-Guararapes,レシフェ/グアララペス・ジルベルト・フレイレ国際空港
Mossoró,モソロー
CNH Global,CNHグローバル
Arena de Pernambuco,アレナ・ペルナンブーコ
Voo Gol 1907,ゴル航空1907便墜落事故
Neo Química Arena,アレーナ・デ・サンパウロ
Belo Horizonte,ベロオリゾンテ
Brasilsat A1,ブラジルサットA1
Companhia Siderúrgica Nacional,ナシオナル製鉄
Campeonato Mundial de Basquetebol Feminino de 1957,1957年女子バスケットボール世界選手権
Ponte Rio-Niterói,リオ・ニテロイ橋
Eliminatórias da Copa do Mundo FIFA de 1950,1950・FIFAワールドカップ・予選
Eliminatórias da Copa do Mundo FIFA de 2014 - África,2014・FIFAワールドカップ・アフリカ予選
Agrale,アグラレ
Rio Grande do Norte,リオグランデ・ド・ノルテ州
Rondônia,ロンドニア州
Itu,イトゥー・(ブラジル)
Estádio Governador Plácido Castelo,エスタジオ・ゴヴェルナドール・プラーシド・カステロ
Incêndio no Edifício Joelma,ジョエルマビル火災
Lins,リンス・(ブラジル)
Marinha do Brasil,ブラジル海軍
Povos indígenas do Brasil,ブラジルの先住民
Progressistas,進歩党・(ブラジル)
VASP,VASP航空
Mato Grosso,マットグロッソ州
Espírito Santo (estado),エスピリトサント州
Comando Militar da Amazônia,アマゾン軍
Treze Futebol Clube,トレーゼFC
Fundação Nacional dos Povos Indígenas,国立先住民保護財団
Campeonato Mineiro de Futebol,カンピオナート・ミネイロ
Goiás (município),ゴイアス・(ゴイアス州)
Rio Acima,リオアシマ
Língua tariana,タリアナ語
Estrada de Ferro Campos do Jordão,カンポス・ド・ジョルドン鉄道
Estádio Municipal Parque do Sabiá,エスタジオ・ムニシパウ・パルケ・ド・サビア
Estádio Palestra Italia,エスタジオ・パレストラ・イタリア
Oeste Futebol Clube,オエステFC
Timóteo,ティモテオ
Transbrasil,トランス・ブラジル航空
Sistema Brasileiro de Televisão,SBT
Paralelo 13 S,南緯13度線
Paralelo 30 S,南緯30度線
Paralelo 8 S,南緯8度線
Paralelo 19 S,南緯19度線
Paralelo 10 S,南緯10度線
Brumadinho,ブルマジーニョ
Aeroporto Internacional do Rio de Janeiro-Galeão,アントニオ・カルロス・ジョビン国際空港
Iracemápolis,イラセマポリス
Cabo Frio,カブ・フリウ
Campeonato Brasileiro de Futebol de 1981,1981・カンピオナート・ブラジレイロ・セリエA
Liga Nacional de Futsal,リーガ・ナシオナル・ヂ・フットサル
Associação Desportiva Confiança,ADコンフィアンサ
Suzano,スザノ
Marília,マリーリア
Belford Roxo,ベルフォード・ロッショ
Betim,ベチン
Relações entre Brasil e Japão,日伯関係
Pico da Neblina,ネブリナ山
Campeonato Mundial de Basquetebol Feminino de 1971,1971年女子バスケットボール世界選手権
Grande Prêmio do Brasil de Motovelocidade,ブラジルグランプリ・(ロードレース)
ALCO RS-1,アルコRS-1形ディーゼル機関車
Central Nuclear Almirante Álvaro Alberto,アルミランテ・アルバロ・アルベルト原子力発電所
São João del-Rei,サン・ジョアン・デル・レイ
Paralelo 16 S,南緯16度線
Paralelo 22 S,南緯22度線
Paralelo 14 S,南緯14度線
Paralelo 31 S,南緯31度線
Paralelo 11 S,南緯11度線
Paralelo 25 S,南緯25度線
Paralelo 27 S,南緯27度線
America Football Club (Rio de Janeiro),アメリカFC・(リオデジャネイロ州)
Igreja Ortodoxa Polonesa,ポーランド正教会
Aparecida de Goiânia,アパレシダ・デ・ゴイアニア
Itabuna,イタブーナ
Governador Valadares,ゴベルナドール・バラダレス
Barueri,バルエリ
Ipanema,イパネマ
Paralelo 28 S,南緯28度線
Paralelo 29 S,南緯29度線
Paralelo 9 S,南緯9度線
Paralelo 6 S,南緯6度線
Paralelo 15 S,南緯15度線
Paralelo 26 S,南緯26度線
Paralelo 24 S,南緯24度線
Parque Nacional do Iguaçu,イグアス国立公園・(ブラジル)
Paralelo 17 S,南緯17度線
Paralelo 12 S,南緯12度線
Paralelo 18 S,南緯18度線
Bob's,Bob's
Paralelo 1 S,南緯1度線
Paralelo 5 S,南緯5度線
Paralelo 32 S,南緯32度線
Paralelo 33 S,南緯33度線
Paralelo 21 S,南緯21度線
Paralelo 3 S,南緯3度線
Paralelo 7 S,南緯7度線
Rio Juruena,ジュルエナ川
Campeonato Paraense de Futebol,カンピオナート・パラエンセ
Tefé,テフェー
Embraer C-390 Millennium,エンブラエル・C-390
Maculelê,マクレレ
Elsevier,エルゼビア
Brasil nos Jogos Olímpicos de Verão de 1980,1980年モスクワオリンピックのブラジル選手団
Campeonato Mundial de Handebol Feminino de 2011,2011年世界女子ハンドボール選手権
Fibria,フィブリア
Literatura de cordel,コルデル文学
Itaú Unibanco,イタウ・ウニバンコ
Paulista Futebol Clube,パウリスタFC
Metrô de Porto Alegre,メトロ・デ・ポルトアレグレ
Região Metropolitana de São Paulo,大サンパウロ都市圏
Partido Democrático Trabalhista,民主労働党・(ブラジル)
Social Futebol Clube,ソシアウFC
Região Centro-Oeste do Brasil,中西部地域・(ブラジル)
Aeroporto Internacional de Foz do Iguaçu,フォス・ド・イグアス国際空港
Vivo,ヴィーヴォ・(ブラジルの企業)
Aeroporto Internacional de Porto Alegre,サルガド・フィーリョ国際空港
Coritiba Foot Ball Club,コリチーバFC
Região Norte do Brasil,北部地域・(ブラジル)
Parque Nacional da Chapada dos Veadeiros,ヴェアデイロス平原国立公園
São José Esporte Clube,サン・ジョゼEC
Instituto Inhotim,イニョチン
Mata Atlântica,大西洋岸森林
Português brasileiro,ブラジルポルトガル語
Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento,環境と開発に関する国際連合会議
Criciúma,クリシューマ
Eldorado Business Tower,エルドラドビジネスタワー
Cachoeiro de Itapemirim,カショエイロ・ジ・イタペミリン
América Futebol Clube (Rio Grande do Norte),アメリカFC・(リオグランデ・ド・ノルテ州)
Metrô de São Paulo,サンパウロ地下鉄
América Latina Logística S/A,アメリカ・ラティーナ・ロジスティカ
Ananindeua,アナニンデウア
Unidades federativas do Brasil,ブラジルの地方行政区分
Rio Tapajós,タパジョース川
Parque Nacional das Emas,エマス国立公園
