México,墨西哥
Tinum,蒂努姆市镇
Torreón,托雷翁
Segundo Imperio Mexicano,墨西哥第二帝國
Central Nuclear,綠湖核電站
Confederación de Trabajadores de México,墨西哥劳工联合会
Tigres de Quintana Roo,金塔納羅奧老虎
México en la Copa Mundial de Fútbol de 2006,2006年世界杯足球赛墨西哥队
Observatorio,天文台站
Culiacán,库利亚坎
Uxmal,乌斯马尔
Cancún,坎昆
Incidente de Tampico,坦皮科事件
Escudo Nacional de México,墨西哥国徽
Pachuca de Soto,帕丘卡
San Francisco de Campeche,坎佩切
Toluca de Lerdo,托卢卡
Nezahualcóyotl,内萨瓦尔科约特尔城
Anexo:Gran Premio de México de 1990,1990年墨西哥大獎賽
Anexo:Gran Premio de México de 1991,1991年墨西哥大獎賽
Anexo:Gran Premio de México de 1992,1992年墨西哥大獎賽
Miss Universo 1978,1978年度環球小姐比賽
Placa Norteamericana,北美洲板塊
Miss Universo 1972,1972年度環球小姐比賽
Miss Universo 1971,1971年度環球小姐比賽
Miss Universo 1970,1970年度環球小姐比賽
Miss Universo 1977,1977年度環球小姐比賽
Cucapá,科科帕族
Policía Federal,墨西哥聯邦警察
Anexo:Boxeo en los Juegos Olímpicos de México 1968,1968年夏季奧林匹克運動會拳擊比賽
Istmo de Tehuantepec,特万特佩克地峡
Mayakoba Golf Classic,OHL經典賽
selección de fútbol sub-20 de México,墨西哥20歲以下國家足球隊
Mérida,梅里達
Gran Premio de México,墨西哥大獎賽
Presa Álvaro Obregón,奧維亞奇克湖
Diócesis de Tabasco,天主教塔瓦斯科教區
Plan DN-III-E,DN-III-E計劃
Anexo:Saltos en los Juegos Olímpicos de México 1968,1968年夏季奧林匹克運動會跳水比賽
Revolución Mexicana,墨西哥革命
Naucalpan de Juárez,瑙卡尔潘
Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会
Xalapa-Enríquez,哈拉帕
Ecatepec de Morelos,埃卡特佩克莫雷洛斯
La Paz,拉巴斯
Guadalajara,瓜达拉哈拉
Mesoamérica,中部美洲
Apaxco,阿帕斯科
Universidad Nacional Autónoma de México,墨西哥国立自治大学
Jalisco,哈利斯科州
yidis,意第緒語
Anexo:Gran Premio de México de 1968,1968年墨西哥大獎賽
zapoteca,萨波特克语
Anexo:Gran Premio de México de 1986,1986年墨西哥大獎賽
Anexo:Gran Premio de México de 1967,1967年墨西哥大獎賽
Anexo:Gran Premio de México de 1970,1970年墨西哥大奖赛
Anexo:Gran Premio de México de 1969,1969年墨西哥大獎賽
Sinaloa,锡那罗亚州
Larráinzar,拉兰萨尔
Veracruz,韦拉克鲁斯
Hospicio Cabañas,卡瓦尼亚斯救济所
Nuevo León,新萊昂州
Tlaquepaque,特拉克帕克
Río Bravo,格蘭德河
Lago de Texcoco,特斯科科湖
Tercera División de México,墨西哥丙级足球联赛
Ciudad Acuña,阿庫尼亞
selección de fútbol de México,墨西哥國家足球隊
Diócesis de Mazatlán,天主教馬薩特蘭教區
Universidad de Guadalajara,瓜達拉哈拉大學
Fosa Mesoamericana,中美洲海溝
Teotihuacan,特奧蒂瓦坎
Zapopan,萨波潘
náhuatl,納瓦特爾語
Tláhuac,特拉瓦克
Tlalpan,特拉尔潘
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",伊比利亚-美洲国家组织
maya,猶加敦馬雅語
Dzibilchaltún,吉比尔查尔通
Grijalva,格里哈爾瓦河
Carichí,卡里奇
Diócesis de Nezahualcóyotl,天主教內薩瓦爾科約特爾教區
chocolate caliente,热巧克力
Colima,科利馬州
Paricutín,帕里库廷火山
Uruapan,烏魯阿潘
Ahuízotl (criatura),阿維索特爾
Nayarit,納亞里特州
Aerounion,联盟货运航空
Partido Verde Ecologista de México,绿色生态党
Secretaría de Turismo de México,墨西哥旅游秘书处
Quiahuiztlán,基亚维斯特兰
selección de fútbol sub-17 de México,墨西哥U17
Autopista del Sol,墨西哥聯邦高速公路95D
Tamaulipas,塔毛利帕斯州
Puebla,普埃布拉州
Querétaro,克雷塔羅州
Los Zetas,洛斯哲塔斯
Álamos,阿拉莫斯
Michoacán,米却肯州
Tabasco,塔巴斯科州
Pirámide del Sol,太陽金字塔
Pirámide de la Luna,月亮金字塔
Universidad Autónoma de Nuevo Sur,新莱昂自治大学
Santiago de Querétaro,克雷塔罗
San José Chinantequilla,圣何塞奇南特基利亚
Monte Albán,阿尔班山遗址
Autódromo Hermanos Rodríguez,羅德里格斯兄弟賽道
Citlaltépetl,奧里薩巴山
Chetumal,切图马尔
Club de Fútbol América,阿美利加足球俱樂部
Diócesis de Tehuantepec,天主教特萬特佩克教區
Senado de México,共和国参议院
Nevado de Colima,科利馬雪山
Observatorio Astrofísico Nacional de Tonantzintla,托蘭特辛特拉天文台
Durango,杜蘭戈州
Agua Prieta,阿瓜普里伊塔
Batalla de Camarón,卡梅倫戰役
Chipilo de Francisco Javier Mina,奇皮洛
Miss Universo 1989,1989年度環球小姐比賽
Medalla Belisario Domínguez,貝利撒留·多明格斯榮譽勳章
husos horarios de México,墨西哥时区
Tampico,坦皮科
península de California,下加利福尼亞半島
Isla de Jaina,哈伊纳岛
Meridiano 90 oeste,西经90度线
Pasaporte mexicano,墨西哥護照
Heroica Ciudad de Cananea,卡納內阿
mam,瑪姆語
Acapulco de Juárez,阿卡普尔科
Municipio de Tequixquiac,特基斯基阿克
véneto,威尼斯語
Volaris,Volaris航空
Santuario de ballenas de El Vizcaíno,埃爾比斯卡伊諾
Tiquicheo de Nicolás Romero,提魁奇奥
Zacatecas,薩卡特卡斯州
Palenque,帕伦克
Ciudad Juárez,華雷斯城
matrimonio entre personas del mismo sexo en el Distrito Federal de México,墨西哥城同性婚姻
matrimonio entre personas del mismo sexo en Quintana Roo,金塔納羅奧州同性婚姻
Altamira,阿爾塔米拉 (塔毛利帕斯州)
Bahía de Sebastián Vizcaíno,塞瓦斯蒂安·比斯卡伊諾灣
Alvarado,阿尔瓦拉多
Orden Mexicana del Águila Azteca,阿兹特克之鹰勋章
Apatzingán de la Constitución,阿帕欽甘
Anexo:Ciudades más pobladas de México,墨西哥城市列表
Sierra Madre de Chiapas,恰帕斯州馬德雷山脈
criollo afroseminola,非洲塞米诺尔克尔奥尔语
apache occidental,西阿帕切語
Aguascalientes,阿瓜斯卡連特斯州
Coatzacoalcos,夸察夸爾科斯
Monterrey,蒙特雷
Benemérita Universidad Autónoma de Puebla,普埃布拉自治大学
El Siglo de Torreón,托雷翁世纪报
Secretaría de Relaciones Exteriores de México,墨西哥外交部
quekchí,凯克其语
México en la Copa Mundial de Fútbol de 1930,1930年世界杯足球赛墨西哥队
América Móvil,美洲電信
Universidad de Sonora,索诺拉大学
Coquimatlán,高奇墨蘭
Universidad La Salle,拉薩爾大學
Coalición Por el Bien de Todos,共利联盟
Zona Rosa de la Ciudad de México,粉红区
país neutral,中立
Guerra contra el narcotráfico en México,墨西哥毒品戰爭
Frontera entre Estados Unidos y México,墨西哥－美國邊界
Quintana Roo,金塔納羅奧州
tarahumaras,塔拉烏馬拉人
Acaponeta,阿卡波内塔
Miss Universo 1993,1993年度環球小姐比賽
Tulum,图卢姆
Eje Neovolcánico,跨墨西哥火山帶
Estado de Oaxaca,瓦哈卡州
Yaquis de Ciudad Obregón,奧布雷岡亞基人
Cemex,西麦斯
Cempoala,澤姆波阿拉
Centro Nacional de las Artes,国家艺术中心
Centro de Investigación y Seguridad Nacional,國家安全調查中心
Liga ARCO Mexicana del Pacífico,墨西哥太平洋聯盟
Primer Imperio Mexicano,墨西哥第一帝國
José María Morelos,何塞·瑪麗亞·莫雷洛斯，金塔納羅奧
José María Morelos,何塞·瑪麗亞·莫雷洛斯市
Toniná,托尼那
Carrera Panamericana,泛美赛
Carretera Federal 1,墨西哥1号高速公路
Casa Luis Barragán,路易斯·巴拉甘故居和工作室
Victoria de Durango,杜兰戈
Campeche,坎佩切州
Lago de Cuitzeo,奎采奥湖
Popocatépetl,波波卡特佩特火山
Secretaría de la Defensa Nacional de México,國防秘書處
Estadio Olímpico Andrés Quintana Roo,安德烈斯·昆塔纳·鲁奥運動場
Arquidiócesis de Yucatán,天主教尤卡坦總教區
Hidalgo,伊達爾戈州
Las Estrellas,明星頻道
Idioma quiché,基切語
Auditorio Nacional,國立禮堂
Lenguas chinantecas,奇南特克諸語言
mazahua,馬薩瓦語
otomí,奥托米语
Estado de México,墨西哥州
Campo Marte,墨西哥國防部總部
Complejo Cantarell,坎塔雷尔油田
Isla Espíritu Santo,埃斯皮里圖桑托島
Mr Gay World,世界同志先生
Tlaxcala,特拉斯卡拉州
Ojinaga,奥希纳加
Desierto de Yuma,尤马沙漠
XVI Conferencia sobre Cambio Climático,2010年聯合國氣候變化大會
Río Conchos,孔喬斯河
Gran desierto de Altar,阿爾塔沙漠
Trópico de Cáncer,北回归线
purépecha,普雷佩查语
tsotsil,索西语
Ligas Menores de Béisbol,美國職棒小聯盟
Amecameca,阿梅卡梅卡
Mazatlán,馬薩特蘭
Idioma amuzgo,阿穆斯戈语
chontal de Tabasco,钱塔尔玛雅语
Diócesis de Chilpancingo-Chilapa,天主教奇尔潘辛戈-奇拉帕教区
A1 Team México,A1墨西哥车队
Maguarichi,马瓜里奇
Catedral de Puebla,普埃布拉大教堂
Sierra de la Peñascosa,龍騎兵山脈
chol,喬爾語
chuj,祖赫語
ixil,伊克西尔语
Muna,穆纳
Tres Zapotes,特雷斯-萨波特斯
Pulque,龙舌兰酒
Calakmul,卡拉克穆尔
chicha,奇恰酒
Desierto de Colorado,科罗拉多沙漠
Carretera Panamericana,泛美公路
Guachochi,瓜乔奇
Vicente Guerrero,比森特-格雷罗
Río Fuerte,富埃爾特河
Partido del Siglo,意大利对德国
Río Bolaños,博拉尼奧斯河
seri,塞里語
Cofre de Perote,科夫雷德佩羅特峰
Prelatura de Huautla,天主教瓦烏特拉自治監督區
Nueva Vizcaya,新維斯蓋亞
Tijuana,蒂華納
Chicanná,奇坎纳
Castillo de Chapultepecec,查普尔特佩克城堡
Diócesis de Cancún-Chetumal,天主教坎昆-切圖馬爾自治監督區
Isla San Benedicto,聖貝內迪克托島
Ciudad Guzmán,古斯曼城
Aeropuerto Internacional Licenciado Gustavo Díaz Ordaz,古斯塔沃·迪亞斯·奧爾達斯軍官國際機場
Guanajuato,瓜納華托州
Sierra de los Tuxtlas,圖斯特拉斯山脈
Arquidiócesis de Tijuana,天主教蒂华纳总教区
Conflicto magisterial de Oaxaca,2006年瓦哈卡州抗议
Científicos,科学家集团
Cineteca Nacional,墨西哥电影图书馆
Ciudad Ayala,阿亞拉城市
Escuela de Escultura y Pintura Frida Kahlo,芙烈達·卡蘿紀念館
Chunchucmil,春楚克米尔
distribución geográfica del idioma español,西班牙語地理分佈
entidad territorial administrativa de México,墨西哥行政区划
Estadio Cuauhtémoc,庫奧赫特莫克球場
Villa Matamoros,马里亚诺-马塔莫罗斯
Municipio de Cuauhtémoc,夸乌特莫克自治区
Catedral Metropolitana de Xalapa,哈拉帕主教座堂
Ciudad Insurgentes,茵蘇爾根特斯
Ciudad Altamirano,阿尔塔米拉诺城
Kanasín,卡纳辛市镇
Isla Cedros,塞德羅斯島
Ciudad Ixtepec,伊斯德柏克
Parque nacional Lagunas de Montebello,蒙特貝洛潟湖國家公園
Baja California Sur,南下加利福尼亞州
San Juan Bautista Tuxtepec,聖胡安包蒂斯塔圖斯特佩克
Ciudad López Mateos,洛佩斯·馬特奧斯城
área de protección de flora y fauna Nevado de Toluca,托盧卡火山國家公園
Sonora,索諾拉州
Club deportivo Guadalajara,瓜达拉哈拉竞技俱乐部
Anexo:Medallero de los Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会奖牌榜
Umán,乌曼市镇
Ticul,蒂庫爾
Happy Science,幸福科學
Batalla de Puebla,普埃布拉戰役
Maguarichi,马瓜里奇自治区
Buenaventura,布埃纳文图拉自治区
Valladolid,巴亚多利德市镇
San Lorenzo,聖巴巴拉
Chapultepec,查普堤佩克
El Bajío,巴希奥
Coyame,科亚梅
Coronango,科羅南戈
Santa Eulalia,圣欧拉利娅
Marquelia,馬克利亞
Julimes,胡利梅斯自治区
.mx,.mx
Diablos Rojos del México,墨西哥紅魔鬼
Fuerzas Armadas de México,墨西哥軍隊
Pericos de Puebla,普矣布拉鸚鵡
Club Celaya,塞拉亞足球俱樂部
mayas,玛雅人
Mayapán,玛雅潘
Tollan-Xicocotitlan,图拉
911,9-1-1
Colima,科利马
tequila,龍舌蘭酒
Municipio de Tlapacoyan,特拉帕科扬
Municipio de Janos,哈诺斯自治区
Final de la Copa Mundial de Fútbol de 1970,1970年世界盃足球賽決賽
Congregación de los Legionarios de Cristo,基督軍團修會
Chapala,查帕拉
Copa Mundial de Fútbol Juvenil de 1983,1983年國際足協世界青年錦標賽
sistema de ligas de fútbol de México,墨西哥足球联赛系统
Sevilla,塞维利亚站
Balderas,巴尔德拉斯站
Merced,美熹德站
San Lázaro,圣·拉匝禄站
Gómez Farías,戈麦斯·法里亚斯站
Zaragoza,萨拉戈萨站
Pino Suárez,皮诺·苏亚雷斯站
Moctezuma,蒙特苏馬站
Texcaltitlán,特斯卡尔蒂特兰
Puebla de Zaragoza,普埃布拉
Partido del Trabajo,劳动党
Orquesta Filarmónica de la UNAM,墨西哥国立自治大学爱乐乐团
Campeonato Mundial de Ajedrez 2007,2007年国际象棋世界冠军对抗赛
Grupo Modelo,莫德洛集團
Ticul,蒂庫爾
Uruachi,乌鲁阿奇
Moris,莫里斯自治区
Partido Liberal,自由党
Anillo Periférico,外環路 (墨西哥城)
Tenosique de Pino Suárez,特诺西奎
Tixkokob,蒂斯科科夫市镇
Premio Nacional de Ciencias y Artes,国家艺术与科学奖
Vuelo 302 de Aerounion,联盟货运航空302号班机空难
Calkiní,卡尔基尼
Brote de cólera en Haití,2010年代海地霍乱疫情
Prelatura de El Salto,天主教埃爾薩爾托自治監督區
Prelatura de Mixes,天主教米赫斯自治監督區
Arquidiócesis de Xalapa,天主教哈拉帕總教區
Vicariato Apostólico de San Jose en Mindoro,天主教民都洛圣若瑟代牧区
Municipio de Cosoleacaque,科索萊阿卡克
San Luis Fútbol Club,圣路易斯足球俱乐部
Club Tijuana,蒂華納足球會
Zaachila,扎奇拉
Pinturas rupestres de la sierra de San Francisco,圣弗兰西斯科山脉岩画
Torre Reforma,改革塔
San Cristóbal de las Casas,圣克里斯托瓦尔-德拉斯卡萨斯
Museo Nacional de Antropología,國立人類學博物館
Mixiuhca,米苏卡站
Palacio de Minería,矿业宫
Buenavista,布埃纳维斯塔站
Ciudad Azteca,阿兹特克城站
Huamantla,乌阿曼特拉
Challenger de León,墨西哥城挑戰賽
Sian Ka'an,錫安卡恩
Azteca uno,阿兹台克乌诺
Paralelo 31 norte,北緯31度線
Zoológico de Chapultepec,查普尔特佩克动物园
Jamaica,牙买加站
Municipio de Zumpango,孫潘戈
Concordia,康科迪亚
Cosalá,科萨拉
Pumas Morelos,莫雷洛斯美洲獅
Paralelo 32 norte,北緯32度線
Macuspana,马库斯帕纳自治市
Balancán,巴兰坎市镇
Isla Clarión,克拉里翁岛
Museo Nacional de Arte,墨西哥国家美术馆
Política estadounidense respecto al aborto en la ciudad de México,墨西哥城政策
Palacio de Bellas Artes,艺术宫
Torneo Clausura 2009,墨西哥超级联赛
Romaní vlax,夫拉克斯羅姆語
Estadio Tres de Marzo,三月三日運動場
geografía de México,墨西哥地理
Técpan de Galeana,特克潘德加利納市
González,貢薩萊斯
Interjet,墨西哥因特航空
Campeonato Mundial de Judo de 1969,1969年世界柔道锦标赛
La Cruz,拉克鲁斯
Relaciones exteriores de México,墨西哥外交
Neza FC,内薩公牛队
Terremoto de México de 1957,1957年格雷羅州地震
Primera República Federal,墨西哥合眾國
Comic Relief,喜劇救濟
Comisión Federal de Electricidad,墨西哥聯邦電力監察委員會
Accidente del Learjet en Ciudad de México de 2008,2008年墨西哥城墜機事件
Río Rico,Rio Rico市
World Trade Center Ciudad de México,墨西哥城世界贸易中心
Viesca,别斯卡
Hopelchén,奧佩爾琴
Los Parachicos,帕拉奇克舞
Parque nacional Cabo Pulmo,普爾莫角國家公園
Parque nacional Iztaccíhuatl-Popocatépetl,伊斯塔西瓦特爾-波波卡特佩特國家公園
Parque nacional Cumbres de Majalca,馬哈爾卡山國家公園
Acatic,阿卡蒂克
Anexo:Gran Premio de México de 1962,1962年墨西哥大獎賽
Asedio de Veracruz,維拉克魯茲包圍戰
Rayos de Hermosillo,埃莫西約閃電
Ciudad Deportiva de La Magdalena Mixiuhca,馬格達萊納·米蘇卡體育城
La Raza,種族站
Río Balsas,巴爾薩斯河
Pueblo huasteco,瓦斯蒂克族
Maxcanú,马克斯卡努
Bonampak,波南帕克
Cordillera americana,科迪勒拉山系
Nacional Monte de Piedad,国家典当行
Topolobampo,托波洛萬波
Santa María Huatulco,瓦圖爾科
Secretaría de Salud de México,墨西哥衛生部秘書處
Guasave,瓜薩維
Liga Comunista 23 de Septiembre,9月23日共产主义联盟
Río Álamo,阿拉莫河
ranchos de California,大牧场（墨西哥）
Universidad Autónoma de Yucatán,尤卡坦自治大学
Izúcar de Matamoros,伊苏卡尔-德马塔莫罗斯
Cobá,科巴
Sistema Arrecifal Mesoamericano,中美洲大堡礁系统
demarcación territorial de la Ciudad de México,墨西哥城辖区
Laguna de los Cerros,拉古纳-德洛斯塞罗斯
Municipio de Llera,耶拉
Templo de Kukulcán,卡斯蒂略金字塔
Sierra Madre Occidental,西馬德雷山脈
Secretaría de Cultura,墨西哥文化部
Kahlúa,卡魯哇
Parque nacional Benito Juárez,貝尼托胡亞雷斯國家公園
Batalla del Molino del Rey,莫利諾德雷戰役
Atotonilco el Alto,上阿托托尼尔科
Meridiano 95 oeste,西经95度线
Laguna Salada,拉古納薩拉達湖
Estadio Corona,科罗纳体育场
Ixtapan de la Sal,伊斯塔潘德拉萨尔
Río Nuevo,紐河
Ciudad Constitución,憲法城
Estadio Nemesio Díez,內梅西奧·迪亞斯球場
Río Papaloapan,帕帕洛阿潘河
Municipio de Ahome,阿奥梅
Celaya,塞拉亞
Cantares de Dzitbalché,吉特巴尔切之歌
Querétaro Fútbol Club,克雷塔羅足球會
Iguala de la Independencia,伊瓜拉德拉獨立鎮
Arquidiócesis de México,天主教墨西哥城總教區
Tapachula,泰珀速立
Universiada de Verano 1979,1979年夏季世界大學生運動會
Ajijic,阿吉吉克
Torre Insignia,托雷徽記
Partido Laborista Mexicano,墨西哥工党
San Buenaventura,圣布埃纳文图拉
Diócesis de Tarahumara,天主教塔拉烏馬拉教區
Garibaldi-Lagunilla,加里波第站
línea 8 del Metro de la Ciudad de México,墨西哥城地鐵8號線
Jesús María (Aguascalientes),耶穌與聖母城
Usumacinta,乌苏马辛塔河
Monasterios en las faldas del Popocatépetl,波波卡特佩特爾山坡上的修道院
Isla Tiburón,蒂布龍島
Islas San Benito,圣贝尼托群岛
Zapotiltic,萨波蒂尔蒂克
Texcoco de Mora,特斯科科
Museo de la Secretaría de Hacienda y Crédito Público,墨西哥财政部博物馆
San Pedro Pochutla,聖佩德羅波楚特拉
Temixco,特米斯科
Selva Lacandona,拉坎登丛林
Museo Soumaya,索馬亞博物館
La Reserva de las Biosfera Chamela-Cuixmala,查梅拉•库伊克斯马拉生物圈保护区
Terremoto de Colima de 2003,2003年科利馬地震
Moris,莫里斯
Rincón de Romos,林孔德罗莫斯
Tejuino,鐵斯基諾酒
Aeropuerto Internacional de Los Cabos,洛斯卡波斯国际机场
Museo de Arte Popular,民间艺术博物馆
Aridoamérica,阿里多美洲
Aeropuerto Internacional de Puebla,普埃布拉州国际机场
Colonia Roma,科洛尼亚罗马
Arquidiócesis de San Luis Potosí,天主教聖路易斯波托西總教區
Kanasín,卡纳辛
Partido Liberal Mexicano,墨西哥自由黨
Cueva de los cristales,奈卡水晶洞
Decena Trágica,十日悲剧
Tututepec,图图特佩克
MasAir Cargo México,馬斯航空
Grito de Dolores,多洛雷斯呼声
Isla San Pedro Mártir,聖佩德羅馬蒂爾島
Isla Santa Cruz,聖迭戈島
Ocean Star Cruises,海洋之星郵輪
Club Universidad Nacional,国立自治大学俱乐部
Isla Natividad,納蒂維達島
Gustavo A. Madero,古斯塔沃·A·馬德羅鎮
"Anexo:Entidades federativas de México por superficie, población y densidad",墨西哥各州面積列表
Arquidiócesis de Durango,天主教杜蘭戈總教區
Cuerpo de Fuerzas Especiales de México,墨西哥空降特種部隊
crisis económica en México de 1994,龙舌兰酒效应
selección femenina de fútbol de México,墨西哥国家女子足球队
Copa México,墨西哥杯
Ixtapaluca,伊斯塔帕盧卡
matanza de Tóxcatl,大神庙大屠杀
Acta de Independencia del Imperio Mexicano,墨西哥帝國獨立宣言
Acueducto del Padre Tembleque,腾布里克神父水道桥水利设施
Partido de Centro Democrático,墨西哥民主中心党
Riviera Maya,瑪雅里維耶拉
Navolato,纳沃拉托
Tratado de Guadalupe Hidalgo,瓜达卢佩-伊达尔戈条约
Valle de Ignacio Allende,巴耶-德伊格纳西奥-阿连德
Santa Isabel,圣伊莎贝尔自治区
Red de Transporte de Pasajeros,客运网络
Santo Domingo Tehuantepec,特万特佩克
Partido Comunista Mexicano,墨西哥共产党
Partido Popular Socialista de México,墨西哥社会主义人民党
Coras de Tepic,科拉納亞里特
Tribunal Electoral del Poder Judicial de la Federación (México),国家选举法庭
Aeropuerto Nacional de Lázaro Cárdenas,拉薩羅卡德納斯
Isla Uaymil,韦米尔
Umán,乌曼
Metepec,梅特佩克
Laguna de Tequesquitengo,特克斯基滕戈湖
línea 4 del Metro de la Ciudad de México,墨西哥城地鐵4號線
demografía de México,墨西哥人口
Partido de los Pobres,穷人党
Juegos Panamericanos de 2011,2011年泛美運動會
Torneo masculino de fútbol en los Juegos Panamericanos de 2011,2011年泛美运动会男子足球比赛
Señorío de Tlaxcala,特拉斯卡拉聯邦
Arizpe,阿里茲佩
Xochipala,萊需帕拉
Zona del Silencio,馬皮米無線電寂靜地帶
Club León,萊昂足球會
Isla Santa Margarita,聖瑪格麗塔島
Torneo Apertura 2006 (México),該年墨西哥春季甲組足球聯賽
Torneo Apertura 2008,2008年至2009年墨西哥足球甲级联赛
transporte de México,墨西哥交通
Chiapa de Corzo,恰帕德科尔索
Pinotepa Nacional,皮諾特帕－納雄耐爾
Nueva Alianza,新联盟党
Selección de béisbol de México,墨西哥棒球代表隊
línea 5 del Metro de la Ciudad de México,墨西哥城地鐵5號線
línea 2 del Metro de la Ciudad de México,墨西哥城地鐵2號線
política de México,墨西哥政治
Laguna Ojo de Liebre,奥霍德涅布雷
Perote,佩罗特
Batalla de Cuautla,攻占
Anexo:México en 2009,2009年墨西哥
Abasolo,阿瓦索洛 (科阿韦拉州)
Barra de Navidad,聖誕沙洲
Federación Mexicana de Fútbol,墨西哥足球协会
Vuelo 2605 de Western Airlines,西方航空2605號班機空難
Aeropuerto Nacional El Lencero,哈拉帕
Aeropuerto Internacional de Puerto Escondido,埃斯孔迪多港
Aeropuerto Nacional Capitán Rogelio Castillo,Rogelio Castillo將軍國立機場
Estudios Churubusco,阿茲工作室
