Hebe Camargo,이비 카마르구
Dante Bonfim Costa Santos,단치
Mano Menezes,마누 메네지스
Kevin Kurányi,케빈 쿠라니
Cléverson Gabriel Córdova,클레우
Thiago Alcântara,티아고 알칸타라
Renato Dirnei Florêncio,헤나투 지르네이 플로렌시우 산투스
Felipe Massa,펠리피 마사
Jairzinho,자이르지뉴
Oscar dos Santos Emboaba Júnior,오스카르 두스 산투스 임보아바 주니오르
José Carlos Ferreira Filho,조제 카를루스 페헤이라 필류
Getúlio Vargas,제툴리우 바르가스
Ramon Menezes,하몽 메니지스 우브네르
Bernardo Fernandes da Silva,베르나르도 페르난드스 다 시우바
Maria Leopoldina de Áustria,오스트리아의 마리아 레오폴지나
Benny Feilhaber,베니 페일하버
Nílton Santos,니우통 산투스
Thiago Silva,티아구 시우바
Ânderson Luís da Silva,루이장
Juscelino Kubitschek,주셀리누 쿠비체크
Marcos Aoás Corrêa,마르쿠스 아오아스 코헤아
Grafite,그라피치
Aílton Gonçalves da Silva,아이우통 곤사우베스 다 시우바
Emerson Ferreira da Rosa,에메르송
Raphael Botti,하파에우 조제 보티
Ronaldinho Gaúcho,호나우지뉴
Paulo Freire,파울루 프레이리
Rafael Pereira da Silva,하파에우 페헤이라 다 시우바
Gilberto Silva,지우베르투 시우바
David Luiz,다비드 루이스
Luiz Inácio Lula da Silva,루이스 이나시우 룰라 다 시우바
Igor de Camargo,이고르 지 카마르구
João Figueiredo,조앙 바프티스타 지 올리베이라 피게이레두
Jorge de Amorim Campos,조르지뉴
Liédson,리에드송
Isabeli Fontana,이자벨리 폰타나
Júlia Lemmertz,줄리아 레멘츠
Gustavo Kuerten,구스타부 키르텡
Carlos Alberto Parreira,카를루스 아우베르투 파헤이라
Adriano Leite Ribeiro,아드리아누 레이치 히베이루
Josué Anunciado de Oliveira,조주에
Nelson de Jesus Silva,지다
Éverton Lopes,에베르통 로페스
Nathalia Dill,나탈리아 딜
Rubens Barrichello,루벤스 바리첼로
Maxwell Scherrer Cabelino Andrade,마스웨우
Denílson Pereira Neves,데니우송 페헤이라 네베스
Almir de Souza Fraga,아우미르 지 소우자 프라가
Eduardo Francisco da Silva Neto,에두아르두 프란시스쿠 지 시우바 네투
Adriano Correia Claro,아드리아누 코헤이아
Diego Ribas da Cunha,지에구 히바스 다 쿠냐
Jorge Samir Cruz Campos,사미르
Éder Citadin Martins,에데르
Giovane Élber,지오바니 에우베르
Ricardo Mello,히카르두 멜루
Tite,치치
Thiago Motta,티아구 모타
João Gilberto,주앙 지우베르투
Luiz Felipe Scolari,루이스 펠리피 스콜라리
Teliana Pereira,텔리아나 페레이라
João Goulart,조앙 골라르트
Evair Aparecido Paulino,이바이르 아파레시두 파울리누
Vilém Flusser,빌렘 플루세르
Dunga,둥가
Sandro Cardoso dos Santos,산드루 카르도주 두스 산투스
Jorge Ben Jor,조르지 벵 조르
Carmen Miranda,카르멩 미란다
André Cruz,안드레 크루스
Clementina de Jesus,클레멘치나 지제주스
Ronald Golias,로널드 골리앗
Breno Vinícius Rodrigues Borges,브레누 보르지스
Dilma Rousseff,지우마 호세프
André Francisco Moritz,안드레 모리츠
Cristina do Rego,크리스치나 두 헤구
Edu Marangon,에두 마랑공
Marcelo Vieira da Silva Júnior,마르셀루 비에이라
José Elias Moedim Júnior,제 일리아스
Fábio Pereira da Silva,파비우 페헤이라 다 시우바
Antônio Benedito da Silva,안토니오 베네디토 다 실바
Lucas Piazón,루카스 피아손
Jorge Antônio Putinatti,조르지뉴 푸틴나티
Sérgio Manoel Júnior,세르지우 마노에우
Carlos Alberto Costa Dias,카를로스 알베르토 지아스
Adriana Calcanhotto,아드리아나 카우카뇨투
Tartá,타르타
Leonardo Nascimento de Araújo,레오나르두 아라우주
Luís Fabiano,루이스 파비아누
Vera Fischer,베라 피셔
Alex Rodrigo Dias da Costa,알렉스 호드리구 지아스 다 쿠스타
Fábio Aurélio,파비우 아우렐리우
Marcio Rafael Ferreira de Souza,하피냐
Aron Simis,아롱 시미스
Marcos Senna,마르코스 세나
Nathalia Timberg,나탈리아 팀버그
Carlos Gilberto Nascimento Silva,지우
Artur Antunes Coimbra,코임브라 지코
Djalminha,자우밍야
Euller,이울레르
Alessandro Cambalhota,알레산드로 안드라데 지 올리베이라
Gilberto Gil,지우베르투 지우
Maria II de Portugal,마리아 2세
Zeca Pagodinho,제카 파고딩요
Glauber Rocha,글라우베르 호샤
Cacau,카카우
Roger Machado Marques,호제르 마샤두 마르케스
Francisco Ernandi Lima da Silva,미한디냐
Éverton Nogueira,이베르통 노게이라
Daniel Alves,다니 아우베스
Marcel Augusto Ortolan,마르세우 아우구스투 오르톨랑
Jordana Brewster,조더나 브루스터
Alice Braga,앨리스 브라가
Roberto Rivellino,호베르투 히벨리누
Luís Vinícius de Menezes,루이스 비니시우
Marcos Rocha,마르쿠스 호샤
Ai Kesen,아이커썬
Marisa Monte,마리자 몬치
Elivélton,일리베우통 아우베스 후피누
Dante Amaral,단치 아마라우
Silas,파울루 실라스
Sandy,산지 레아 리마
Maicon Douglas Sisenando,마이콩 도글라스 시제난두
Sandro Ranieri Guimarães Cordeiro,산드루 라니에리
Rhayner,하이네르 산투스 나시멘투
Gal Costa,가우 코스타
Fernando Collor de Mello,페르난두 콜로르 지 멜루
Robinho,호비뉴
Fernando Henrique Cardoso,페르난두 엔히키 카르도주
José Roberto da Silva Júnior,제 호베르투
Antonio de Aguiar Patriota,안토니우 파트리오타
Leandro Barbosa,레안드루 바르보사
Marques Batista de Abreu,마르케스 바티스타 지 아브레우
Leonardo de Deus Santos,레오나르두 지 지우스 산투스
Morena Baccarin,모레나 바카린
Izabel Goulart,이자베우 골라르트
Cicinho,시시뉴
Alan Douglas Borges de Carvalho,알란 카르발류
Eduardo da Silva,에두아르두 다 시우바
Rincón,힝콩
Bismarck Barreto Faria,비스마르크 바레투 파리아
Artur Guilherme Moraes Gusmão,아르투르 모라이스
Cafu,카푸
Maurren Maggi,마우렌 마지
Marta Vieira da Silva,마르타 비에이라 다 시우바
Ivete Sangalo,이베치 상갈루
Lucas Pezzini Leiva,루카스 레이바
Chico Mendes,치쿠 멩지스
Amauri Carvalho de Oliveira,아마우리 카르발류 지 올리베이라
Norberto Murara Neto,노르베르투 무라라 네투
Robert da Silva Almeida,호베르트 다 시우바 아우메이다
Oséas,오세아스
Ana Paula Arósio,아나 파울라 아로지우
Alex Sandro,알레스 산드루
Heurelho da Silva Gomes,에우렐류 고메스
Romário,호마리우
Astrud Gilberto,아스트루드 지우베르투
Thomas Behrend,토마스 베렌트
José João Altafini,조제 알타피니
Antônio Carlos Jobim,안토니우 카를루스 조빙
Adhemar Ferreira da Silva,아데마르 페헤이라 다 시우바
Doni Marangon,도니에베르 알렉산드르 마랑공
Sônia Braga,소냐 브라가
Ana Beatriz Barros,아나 베아트리스 바후스
Emerson Sheik,이메르송 세이크
Márcio Rodrigues,마르시우 로드리게스
Lucas Severino,루카스 세베리누
Marquinhos Cambalhota,마르쿠스 고메스 지 아라우주
Fabricio Melo,팹 멜로
Caroline Trentini,카롤리니 트렌치니
Belletti,줄리아누 벨레치
Sérgio Dutra Santos,세르지우 산투스
Luiz Gonzaga,루이스 곤자가
Garrincha,가린샤
Sérgio Luís Donizetti,주앙 파울루
Jennifer O'Neill,제니퍼 오닐
Perla Haney-Jardine,펄라 헤이니자딘
Joubert Araújo Martins,조베르트 아라우주 마르칭스
Sarah Menezes,사라 메네제스
Maria Bethânia,마리아 베타니아
Oswaldo Cruz,오즈와우두 크루스
Carlos Renato Frederico,카를루스 헤나투 프레데리쿠
Orani João Tempesta,오라니 주앙 템페스타
Celso Amorim,세우수 아모링
Hugo Hoyama,우구 호야마
Zé Sérgio,제 세르지우
Francisco Lachowski,프란시스쿠 라쇼우스키
Cristiane Rozeira de Souza Silva,크리스치아니 호제이라
Raquel Zimmermann,하케우 지메르망
Alfie Enoch,앨프리드 이넉
Floriano Peixoto,플로리아누 페이쇼투
Sebastião Lazaroni,세바스치앙 라자로니
Toninho Cerezo,토니뉴 세레주
Iara Lee,이아라 리
Jajá Coelho,자자
José Sarney,조제 사르네이
Rodrigo Tabata,호드리구 타바타
Juary,주아리
Maiara Walsh,마이아라 월시
Marina Silva,마리나 시우바
Toquinho,토키뉴
Zé Carioca,호세 카리오카
Ânderson Polga,안데르송 포우가
Maria Olívia da Silva,마리아 올리비아 다 시우바
Ânderson Miguel da Silva,안데르송 미게우 다 시우바
Lateef Crowder,라티프 크로더
Celso Lafer,세우수 라페르
Emerson da Conceição,이메르송 다 콘세이상
Danilo Gabriel de Andrade,다닐루 가브리엘 지 앤드라지
Lisa Ono,오노 리사
Rômulo Borges Monteiro,호물루 보르지스 몬테이루
Léo Itaperuna,레우 이타페루나
Bruna Tenório,브루나 테노리우
Tuta,투타 (축구 선수)
Felipe Aliste Lopes,펠리피 알리스치 로페스
Bruno Gagliasso,브루노
Edu Dracena,에두 드라세나
Maicon Pereira Roque,마이콩 페헤이라 호케
Renan Marques,헤낭 아우구스치뉴 마르케스
Cláudio Roditi,클라우지우 호지치
Clodovis Boff,클로도비스 보프
Eliane Elias,일리아니 일리아스
Hermeto Pascoal,에르메투 파스코아우
Victor Leandro Bagy,빅투르 레안드루 바기
Schwenck,클레베르 슈벵크 티에니
Roniéliton Pereira Santos,호니엘리통 두스 산투스
Fabrício Werdum,파브리시우 베르둥
Rogério Ceni,호제리우 세니
Willian Gomes de Siqueira,윌리앙 고메스 지 시케이라
Thiago Ribeiro,티아구 히베이루
Moacir Rodrigues dos Santos,모아시르 로드리게스 산투스
Bebel Gilberto,베베우 지우베르투
Guilherme Guido,길례르미 기두
Arthur Zanetti,아르투르 자네치
Alceu Valença,아우세우 발렌사
Guy Ecker,가이 에커
Ana Hickmann,아나 이크망
Gylmar dos Santos Neves,기우마르 두스 산투스 네베스
Camille Cabral,카미유 카브랄
Eumir Deodato,이우미르 데오다투
Thiago Quirino da Silva,티아구 키리누
Ana Carolina,아나 카롤리나
Cristiane Santos,크리스치아니 산투스
Milene Domingues,밀레니 도밍게스
Cássia Eller,카시아 일레르
Larissa França,라리사 프란사
Clarissa Cristina dos Santos,클라리사 두스산투스
Fernando Lucas Martins,페르난두 루카스 마르칭스
Pedro Tonon Geromel,페드루 제루멜
Manuel Nunes,네쿠
João Ubaldo Ribeiro,주앙 우바우두 히베이루
Sérgio Echigo,세르지우 에치구
Cláudio Hummes,클라우지우 우메스
Guilherme Paraense,길례르미 파라엔시
Antônio Cândido de Mello e Souza,안토니우 칸지두
Sandro Hiroshi,산드루 히로시
Autran Dourado,아우트랑 도라두
Fernanda Garay,페르난다 가라이
Arthur Moreira Lima,아르투르 모레이라 리마
Geraldo Dutra Pereira,제라우두
Oswaldo de Oliveira,오즈와우두 지 올리베이라
João Cabral de Melo Neto,주앙 카브라우 지 멜루 네투
Xuxa,슈샤
Golbery do Couto e Silva,고우베리 두 코투 이시우바
Willamis de Souza Silva,소자
Margareth Menezes,마르가레트 메네지스
Letícia Sabatella,레치시아 사바텔라
Glaube Feitosa,글라우베 페이토자
Tandara Caixeta,탄다라 카이셰타
Édson Luciano,에드송 히베이루
Edmundo Sussumu Fujita,에지문도 수쑤무 후지타
Emerson Leão,에메르송 레앙
Tancredo Neves,탕크레두 네베스
Lina Bo Bardi,리나 보 바르디
Vik Muniz,빅 뮤니즈
Daniel Filho,다니에우 필류
Ziad Fazah,지아드 파자
Marjorie Estiano,마르조리 이스치아누
Fernando Quadros Gouvêa,페르난두 Q. 고베아
Lucélia Santos,루셀리아 산투스
José Padilha,조제 파질랴
Waldo Machado,와우두 마샤두
Kiko Loureiro,키코 루레이로
Lucas Michel Mendes,루카스 멘데스
Edgar Bruno Silva,이드가르 브루누 다 시우바
Rachel de Queiroz,하셰우 지 케이루스
Ricardo Lucas,히카르두 루카스 도두
Mancha Solar,선스팟
Mascarenhas de Morais,주앙 바프치스타 마스카레냐스 지 모라이스
Bruno Soares,브루누 소아리스
Letícia Birkheuer,레치시아 비르코이에르
Érika Cristina de Souza,에리카 지소자
Giselle Itié,지젤 이티에
Emicida,이미시다
Giovanna Antonelli,지오바나 안토넬리
João Carlos Pinto Chaves,주앙 카를루스 핀투 샤베스
Thiago Silva,치아구 시우바
Antônio Augusto Cançado Trindade,안토니우 아우구스투 칸사두 트린다지
Roberto Firmino Barbosa de Oliveira,호베르투 피르미누
Júlio César da Silva,줄리우 세자르
Antônio da Silva,안토니우 다 시우바
Antônio de Castro Mayer,안토니오 드 카스트로 마이어
Marcelo Gleiser,마르셀루 글레이제르
Jardel Nivaldo Vieira,자르데우 니바우두 비에이라
Fábio dos Santos,판반산투스
Marcelo Zarvos,마르셀루 자르부스
Mário Fernandes,마리우 피게이라 페르난지스
Felipe Dias da Silva dal Belo,펠리피 다우 벨루
Cláudio Taffarel,클라우지우 타파레우
Edmílson,에드미우송 고메스
César Cielo,세자르 시엘루 필류
Vágner Love,바그네르 로베
Plínio Salgado,플리누 사우가두
Mariana Ximenes,마리아나 시메니스
Carlos Alberto Torres,카를루스 아우베르투 토히스
Humberto Castelo Branco,움베르투 지 알렝카르 카스텔루 브랑쿠
Rodrigo Santoro,호드리구 산토루
Eurico Gaspar Dutra,이우리쿠 가스파르 두트라
José Ricardo dos Santos Oliveira,조제 히카르두 두스 산투스 올리베이라
Emílio Garrastazu Médici,에밀리우 가라스타주 메디시
Taison,타이송
Carlos Alberto Carvalho dos Anjos Junior,카를루스 아우베르투 카르발류 두스 안주스 주니오르
Lucas Saatkamp,루카스 사트캄프
Dudu,에두아르도 페레이라 로드리게스
Pedro Henrique de Orléans e Bragança,페드루 엔히키 지 오를레앙스-브라간사
Florinda Bolkan,플로린다 보우캉
Amoroso,마르시우 아모호주
Cristiano Marques Gomes,크리스티아누 마르케스 고메스
Djalma Santos,자우마 산투스
Bruno Mossa de Rezende,브루누 헤젠지
Ernesto Geisel,에르네스투 게이세우
Regina Duarte,헤지나 두아르치
Casemiro,카제미루
Márcio Wenceslau,마르시우 웬세즐라우
Aldair Santos do Nascimento,아우다이르
Roger Guerreiro,호제르 게레이루
Ricardo Rogério de Brito,히카르두 호제리우 지 브리투
Rafael Cabral,하파에우 카브라우
Paulo Sérgio Oliveira da Silva,파울루 세르지우 올리베이라 다 시우바
Marco Antônio Paes dos Santos,마르쿠 안토니우 파이스 두스 산투스
Bruno Fratus,브루누 프라투스
Kayke Moreno de Andrade Rodrigues,카이키 호드리게스
Caetano Veloso,카에타누 벨로주
Rodrigo Taddei,호드리구 타데이
Jânio Quadros,자니오 꽈드로스
Matheus Nachtergaele,마테우스 나츠테르가엘
Rômulo Souza Orestes Caldeira,호물루 소우자 오레스테스 칼데라
Willian José,윌리앙 주제 다 시우바
Max Cavalera,맥스 카발레라
André Santos,안드레 산투스
Vital Brazil,비타우 브라지우
Francinilson Santos Meirelles,프랜시닐손 산토스 미렐레스
Eduardo da Silva Nascimento Neto,에두아르두 다 시우바 나시멘투 네투
Guilherme do Prado,길레르미 도 프라도
Nelsinho Baptista,네우시뉴 바프티스타
Adi,아디우송 두스 산투스
Eninho,이니우 올리베이라 주니오르
Luís Carlos Fernandes,루이스 카를루스 페르난지스
Rômulo Marques Macedo,호물루 마르케스 마세두
Émerson Carvalho da Silva,에메르송 카르발류 다 시우바
David Bohm,데이비드 봄
Paulo Amaral,파울루 아마라우
Ronaldo Guiaro,호나우두 기아루
Kléberson,조세 클레베르송
Tita,치타
Marcus Túlio Tanaka,다나카 마르쿠스 툴리오
Michel Bastos,미셰우 바스투스
Thiago Fragoso,치아구 프라고주
Carlos Oliveira,카를로스 올리베이라
Machado de Assis,마샤두 지 아시스
Leovegildo Lins da Gama Júnior,레오베지우두 링스 다 가마 주니오르
Edvaldo Izídio Neto,에드발두 지지디우 네투
Wellington Silva,웰링통 시우바
Mário Zagallo,마리우 자갈루
Denílson de Oliveira,데니우송 지 올리베이라 아라우호
Bruno Cortês,브루노 코르테스
Jucilei,주실레이
Leônidas da Silva,레오니다스 다 시우바
Ruy Guerra,루이 구에라
Walter Casagrande,월터 카사그랜드
Jorge Luiz Alves Justino,조르지 루이스 아우베스 주스치누
Guilherme Clezar,길례르미 클레자르
Laurindo Almeida,로린도 알메이다
Frederico Chaves Guedes,프레데리쿠 샤베스 게지스
Giuseppe Ungaretti,주세페 운가레티
Fábio Henrique Tavares,파비뉴
Carlos Germano,카를루스 제르마누
Allan Marques Loureiro,알랑 마르케스 로레이루
Raí,하이
Diego Alves,디에구 아우베스 카헤이라
Marcos Paulo Alves,마르쿠스 파울루 아우베스
Gilberto da Silva Melo,지우베르투 다 시우바 멜루
Tostão,토스탕
José Sette Câmara Filho,조제 세치 카마라 필류
Eva Wilma,에바 비우마
Artur da Costa e Silva,아르투르 다 코스타 이 시우바
Paulo Roberto Falcão,파울루 호베르투 파우캉
Sérgio Cláudio dos Santos,세르지우 클라우지우 두스 산투스
Henrique Mecking,헨리크 메킹
Antonio Eduardo dos Santos,에두 망가
Jair Eduardo Brito da Silva,자이르 에두아르두 브리투 다 시우바
Stênio Garcia,스테니오 가르시아
Lea T,레아 T
Hernanes,에르나네스
Didi,발지르 페헤이라
Rogério Sampaio,호제리우 삼파이우
Felipe Augusto de Almeida Monteiro,펠리피 몬테이루
Roberto Ierusalimschy,호베르투 이에루잘림스시
Philippe Coutinho,필리피 쿠티뉴
Sylvinho,시우비뉴
Maíra Vieira,마이라 비에이라
Maicosuel Reginaldo de Matos,마이코주에우
Samuel Firmino de Jesus,사무엘
George Kobayashi,코바야시 조지
Rubens Fernando Moedim,후벤스 페르난두 무에딤
Rafinha Bastos,하피냐 바스투스
Kelly Key,켈리 케이
Guilherme Toldo,기예르메 툴두
Lucas Rodrigues Moura da Silva,루카스 모우라
Pagu,파구
João Alves de Assis Silva,주앙 아우베스 지 아시스 시우바
Keirrison,케이히송
Lucas Araújo,루카스 아라우주
Mineiro,미네이루
Eduardo Saverin,에드와도 새버린
Luiz Carlos Vasconcelos,루이즈 카를로스 바스콘셀로스
Deco,데쿠
Vanderlei Luxemburgo,반데를레이 루셈부르구
Paulo Henrique Ganso,파울루 엔히키 간수
Andrés D'Alessandro,안드레스 달레산드로
Henrique Adriano Buss,엔리케 아드리아누 부스
Carlos Simon,카를루스 이우제니우 시몽
Roque Júnior,호케 주니오르
Danilo Silva,다닐루 아파레시두 다 시우바
Evandro Goebel,에반드루 괴벨
Athos Schwantes,아투스 슈완치스
Wellington Luís de Sousa,웰링통
Edu Gaspar,에두 가스파르
Ricardo Oliveira,히카르두 올리베이라
Alberto Santos Dumont,알베르토 산토스뒤몽
Naldo,나우두
José Linhares,조제 리냐리스
Paulo Sérgio Silvestre Nascimento,파울루 세르지우 시우베스트레 두 나시멘투
José Mauro de Vasconcelos,조제 마우루 지 바스콘셀루스
Rafael Silva,하파에우 시우바
Andre Matos,앙드레 마토스
Priscilla Meirelles de Almeida,프리실라 메이렐리스
Diego Maurício,지에구 마우리시우
Nenê,네네 (1981년)
Robyn Regehr,로빈 레기어
Leonel Brizola,레오네우 브리졸라
Mário Jardel Almeida Ribeiro,마리우 자르데우
Antônio Silva,안토니우 시우바
Fábio Deivson Lopes Maciel,파비우 데이비송 로페스 마시에우
João Miranda de Souza Filho,미란다
Juninho Paulista,주니뉴 파울리스타
Aluísio Chaves Ribeiro Moraes Júnior,주니오르 모라이스
Marcolino Gomes Candau,마르콜리노 칸다우
Marcelo Costa de Andrade,마르셀루 코스타 지 안드라지
César Sampaio,세자르 삼파이우
Sérgio Mendes,세르지우 멘지스
Felipe Mattioni Rohde,펠리페 마티오니
Robson Conceição,호브송 콘세이상
Nereu Ramos,네레우 하무스
Arnaldo Cezar Coelho,아르나우두 세자르 코엘류
Jonas Gonçalves Oliveira,조나스 곤사우베스 올리베이라
Rickson Gracie,힉슨 그레이시
Thomas Cochrane,제10대 던도날드 백작 토마스 코크레인
Luiz Gustavo Dias,루이스 구스타부
Léo Baptistão,레오 밥티스탕
Eduardo Kac,에두아르도 칵
Ademir Menezes,아데미르 마르케스 지 메네지스
Sérgio Vieira de Mello,세르지우 비에이라 지 멜루
Chico Buarque,치코 부아르케
Vinicius de Moraes,비니시우스 지 모라이스
Marcos Antônio Nascimento Santos,마르쿠스 안토니우 나시멘투 산투스
Fabiano Santacroce,파비아노 산타크로체
João Braz de Aviz,주앙 브라스 지아비스
Eduardo Antunes Coimbra,에두아르두 안투니스 코임브라
Leonardo Bittencourt,레오나르도 비텡코우르트
Maurício Camargo Lima,마우리시우 리마
Rivaldo Barbosa de Souza,히바우두 바르보자 지 소자
Waldemar Aureliano de Oliveira Filho,마지뉴 올리베이라
Paulo Rink,파울루 힝크
Marcos Roberto Silveira Reis,마르쿠스 호베르투 시우베이라 헤이스
Careca,카레카
Martial Gueroult,마르샬 게루
Moacir Barbosa Nascimento,모아시르 바르보자 나시멘투
Derlei,데를레이
Fernando Meirelles,페르난두 메이렐리스
Jung Mo Sung,정모성
Luiz Carlos Bombonato Goulart,루이스 봄보나투 골라르트
Wanderson de Paula Sabino,완데르송 지 파울라 사비누
Odilo Scherer,오질루 셰레르
Fernanda Montenegro,페르난다 몬테네그루
Ricardo Semler,리카도 세믈러
Renzo Agresta,힌주 아그히스타
Carlos Marighella,카를루스 마리겔라
França,프란사
Bruno César,브루노 세자르
Mauro Silva,마우루 시우바
Filipe Luís Kasmirski,필리페 루이스 카즈미르스키
José Alencar,조제 알렝카르
Giuliano Victor de Paula,줄리아누 지 파울라
Paulo Autuori,파울루 아우투오리
Morris Albert,모히스 알베르트
Bruno Cabrerizo,브루누 카브레리주
Antônio Carlos Konder Reis,안토니우 카를루스 콘데르 헤이스
Thiago Lacerda,치아구 라세르다
Regiane Alves,헤지아네 아우베스
Anderson Silva,안데르송 시우바
Tiago Splitter,티아고 스플리터
Sebastião Salgado,세바스티오 살가도(Sebastião Salgado)
Luan Santana,루안 산타나
Gilberto Macedo da Macena or Gilberto Macena,지우베르투 마세나
Nilton Pereira Mendes,니우통 페헤이라 멘디스
José Oscar Bernardi,조제 오스카르 베르나르지
Neto Baiano,에우바우두 조제 지 아기아르 네투
Flávio Conceição,플라비우 콘세이상
Lenine,레니니
Artur Ávila,아르투르 아빌라
Telê Santana,텔레 산타나
Ary Barroso,아리 바호주
Alessandro dos Santos,산토스 알레산드로
Adaílton Martins Bolzan,아다이우통 마르칭스 보우장
Mike Deodato Jr.,마이크 데오다투
Raul Togni Neto,하울 네투
Mehmet Aurélio,메흐멧 아우렐리우
Anderson Varejão,안데르손 바레장
Hélton da Silva Arruda,에우통 다 시우바 아루다
Wellington Nem,웰링통 넹
Nenê Hilário,네네
Renato Augusto,헤나투 아우구스투
Thiago Rangel Cionek,치아구 시오네크
Carlos Ghosn,카를로스 곤
Thiago Neves,치아구 네베스
Toninho Guerreiro,토니뉴 게헤이루
Arthur Friedenreich,아르투르 프리덴라이히
Marcos Aurélio de Oliveira Lima,마르쿠스 아우렐리우 지 올리베이라 리마
Davi José Silva do Nascimento,다비 조제 시우바 두 나시멘투
Fernanda Machado,페르난다 마샤두
Aracy Balabanian,아라시 발라바냔
Vanderlei Cordeiro de Lima,반데를레이 코르데이루 지 리마
Marcelo Huertas,마르셀리뉴 우에르타스
Zé Mario,제 마리우
Ciro Henrique Alves Ferreira e Silva,시루 엔히키 아우베스 페헤이라 이 시우바
Jádson,자드송
Maria Ribeiro,마리아 히베이루
Cássia Kis,카시아 키스
Vampeta,밤페타
Gerson Guimarães Junior,제르송 기마랑이스 페헤이라 주니오르
Afonso Pedro de Alcântara de Bragança,브라질 황태자 아폰수 페드루
Lyoto Machida,료투 마시다
Douglas Pereira dos Santos,도글라스 페레이라 두스 산투스
Sávio Bortolini Pimentel,사비우
Hugo Leonardo Silva Serejo,레우 시우바
Fábio Júnior Pereira,파비우 주니오르
Ferreira Gullar,페헤이라 굴라르
Pablo Campos,파블루 캄푸스
Camila Brait,카밀라 브라이트
Larissa Ramos,라리사 하무스
Cláudia Abreu,클라우지아 아브레우
Gonzalo Sorondo,곤살로 소론도
Rafael Alencar,하파에우 알렝카르
Alecsandro,알렉산드루
Danilo Larangeira,다닐루 라란제이라
Walter Afanasieff,월터 아파나시에프
Marcelo Antônio Guedes Filho,마르셀로 안토니오 궤데스 필로
Josef de Souza Dias,조세프 지 소우자
Luís Oliveira,루이스 올리베이라
Caio Blat,카이우 블라트
Alcindo Martha de Freitas,알신도
Adriano Afonso Thiel Munoz,아드리아누 무노스
Larissa Costa,라리사 코스타
Cristiano Pereira de Souza,크리스티아누 페헤이라 지 소자
Fábio Rochemback,파비우 호솀바크
Rodrigo Moreno Machado,로드리고 모레노 마차도
Olavo de Carvalho,올라부 지 카르발류
Marcos Palmeira,마르쿠스 파우메이라
Dorival Caymmi,도리바우 카이미
Fernanda Tavares,페르난다 타바리스
Negueba,네게바
Matuzalém,마투잘렝
