조선민주주의인민공화국,朝鲜民主主义人民共和国
삼흥역,三兴站
전우역,战友站
혁신역,革新站
승리역,勝利站·(平壤市)
공민왕릉,恭愍王陵
조선중앙동물원,朝鮮中央動物園
기관차체육단,火车头体育队
한자 문화권,漢字文化圈
건설역,建設站·(平壤市)
봉화역 (평양),烽火站
통일역,統一站
김일성 장군의 노래,金日成將軍之歌
황금벌역,黄金谷站
붉은별역,红星站·(朝鲜)
평양신문,平壤新聞
보통문,普通門
두만강,图们江
김일성광장,金日成廣場
한강,漢江·(韓國)
한국 표준시,韩国标准时
숙천군,肅川郡
조국통일3대헌장기념탑,統一門
창도군,昌道郡
평양 지하철도,平壤地鐵
고산군,高山郡
천도교청우당,天道教青友党
조국통일민주주의전선,祖國統一民主主義戰線
조선로동당,朝鲜劳动党
조선사회민주당,朝鲜社会民主党
평강군,平康郡
례성강,禮成江
금강군,金剛郡
함주군,咸州郡
허천군,虛川郡
고성군 (조선민주주의인민공화국),高城郡·(朝鲜)
통천군,通川郡·(朝鮮)
아시안 하이웨이,亞洲公路網
국기훈장,国旗勋章
올림픽 조선민주주의인민공화국 선수단,奧林匹克運動會朝鮮代表團
조선민주주의인민공화국 대외경제성,对外经济省
해방탑,解放塔
보현사 (묘향산),普贤寺·(朝鲜)
룡성선,龍城線
조선민주주의인민공화국 여자 축구 국가대표팀,朝鮮國家女子足球隊
신미도,身弥岛
서해리선,西海里線
할하부,喀尔喀蒙古族
천내군,川內郡
세포군,洗浦郡
법동군,法洞郡
장진군,長津郡
남북정상회담,朝韩首脑会晤
판교군,板橋郡
우시군,雩時郡
조선민주주의인민공화국 원,朝鮮圓
서포역,西浦站·(平壤市)
간리역,间里站
조선민주주의인민공화국 철도성,朝鲜民主主义人民共和国铁道省
청년호텔,青年飯店
천리마동상,千里馬銅像
국가보위성,国家保卫省
조선민주주의인민공화국의 통신,朝鲜通信
2035년 9월 2일 일식,2035年9月2日日食
대성산혁명렬사릉,大城山革命烈士陵
요덕역,耀德站
평양 궤도전차,平壤有軌電車
동경 130도,东经130度线
고려링크,高麗電信
조선4·26아동영화촬영소,SEK工作室
동아시아 공동체,東亞共同體
조선인민군 전략군,朝鲜人民军战略军
조중 국경,中国—朝鲜边界
청진 정치범수용소,清津集中營
광복역,光復站·(平壤市)
북부내륙선,北部內陸線
무산군,茂山郡
영광역 (평양),荣光站·(平壤市)
삼지연비행장,三池淵機場
개성역,开城站
청년이천선,青年伊川線
락원역 (평양),乐园站
조선민주주의인민공화국의 교육,朝鮮民主主義人民共和國教育
대한해협,朝鲜海峡
동조선만,东朝鲜湾
서조선만,西朝鲜湾
룡연군,龍淵郡
상원군,祥原郡
광명역 (평양),光明站·(平壤市)
중화군,中和郡
안악군,安岳郡
백암군,白岩郡
통일의 메아리 방송,统一的回声广播电台
만수대텔레비죤,万寿台电视台
룡남산텔레비죤,龍南山電視台
조선민주주의인민공화국의 국보,朝鲜民主主义人民共和国国宝
2009년 조선민주주의인민공화국 핵 실험,2009年朝鲜核试验
원산역,元山站·(江原道)
안변군,安邊郡
평부선,平釜線
옹진군 (황해남도),甕津郡·(黃海南道)
김화군,金化郡
평화자동차,平和自動車
돌아오지 않는 다리,不归桥
혜산시,惠山市
강계시,江界市
회양군,淮陽郡·(朝鮮)
철원군 (북),铁原郡·(朝鲜)
조선민주주의인민공화국의 국장,朝鲜民主主义人民共和国国徽
백두산,长白山
개성시,開城市
황해북도,黄海北道
청진시,清津市
대홍단군,大紅湍郡
온천군,溫泉郡·(南浦市)
개마고원,蓋馬高原
김정일의 죽음과 국장,金正日之死
고원군,高原郡
함북선,咸北線
평의선,平義線
평남선,平南線
회령 정치범수용소,會寧集中營
남흥선,南興線
조선민주주의인민공화국의 사형제,朝鮮死刑制度
만수대창작사,萬壽臺創作社
2019년 1월 6일 일식,2019年1月6日日食
성불사 (황해도),成佛寺
덕성선,德城線
신계사,神溪寺
모란봉,牡丹峰
경원군 (함경북도),慶源郡
경성군,鏡城郡
운흥군,雲興郡
송화군,松禾郡
신천군,信川郡
만포선,滿浦線
부흥역,复兴站·(平壤市)
함흥시,咸興市
평안북도,平安北道
6·15 남북 공동선언,南北共同宣言
양각도,羊角島
광복절,光复节·(朝鲜半岛)
조선민주주의인민공화국의 철도,朝鲜民主主义人民共和国铁路运输
장충성당,將忠天主教堂
갈마비행장,元山機場
한국어의 남북 간 차이,朝鮮語南北差異
조선민주주의인민공화국 축구 협회,朝鲜民主主义人民共和国足球协会
기쁨조,歡樂組
장진강,长津江
만경대학생소년궁전,萬景台學生少年宮
수안군,遂安郡·(黃海北道)
북위 39도,北緯39度線
평양텔레비죤탑,平壤电视塔
득장로동자구,得將地區
조선민주주의인민공화국 올림픽 위원회,朝鮮民主主義人民共和國奧林匹克委員會
김일성경기장,金日成競技場
만경대 (평양),萬景臺
조선민주주의인민공화국 중앙은행,朝鮮民主主義人民共和國中央銀行
조선민주주의인민공화국의 검열,朝鲜审查制度
선봉구역,先鋒區域
함경북도,咸镜北道
함경남도,咸镜南道
원산시,元山市
량강도,两江道
꽃제비,小燕子·(朝鮮)
평양 순안 국제공항,平壤国际机场
평안남도,平安南道
남포시,南浦市
안변역,安边站
공동경비구역,共同警备区域
청천강 전투,清川江戰役
묘향산,妙香山
금성 전투,金城戰役
릉라도,綾羅島
한탄강,漢灘江
랑림산맥,狼林山脉
아시안 하이웨이 1호선,亞洲公路1號線
아시안 하이웨이 6호선,亞洲公路6號線
기정동,机井洞
북한강,北漢江
천주교 평양교구,天主教平壤教区
문천시,文川市
ISO 3166-2:KP,ISO·3166-2:KP
조선민주주의인민공화국의 대외 관계,朝鮮民主主義人民共和國外交
조선민주주의인민공화국의 정치,朝鮮民主主義人民共和國政治
조국통일상,祖国统一奖
조선녀성,朝鮮女性
북위 40도,北纬40度线
평양 국제영화축전,平壤国际电影节
조선민주주의인민공화국의 문화,朝鮮民主主義人民共和國文化
동경 125도,东经125度线
동아시아 경기 대회,東亞運動會
인민정권 창건일,人民政權創建日
장방역,长芳站
온수평역,温水坪站
온성역,穩城站
인민경제대학,人民經濟大學
약수리 고분,藥水里壁畫古墓
장진호 (호수),長津湖
약수역 (세포),药水站·(江原道)
조선인민군 총참모부 정찰총국,朝鲜人民军总参谋部侦察总局
은빛역,银光站·(黄海南道)
영양역,迎阳站
은파역,银波站
북위 41도,北緯41度線
오현역,梧玄站
안협군,安峡郡
옥류교,玉流橋
만수대,萬壽臺
김원균명칭 음악종합대학,平壤金元均音樂大學
릉라교,綾羅橋
신의주시,新義州市
주체사상,主体思想
형제산구역,兄弟山区域
판문점,板門店
개성공업지구,開城工業地區
금강산국제관광특구,金刚山国际观光特区
금강산,金剛山
북위 42도,北纬42度线
조선로동당 중앙위원회,朝鲜劳动党中央委员会
임진강,臨津江
조선민주주의인민공화국의 인터넷,朝鲜互联网
무수단리,東海衛星發射場
제12기 최고인민회의 대의원 선거,2009年朝鮮民主主義人民共和國最高人民會議選舉
조선혁명박물관,朝鮮革命博物館
조선인민군 해군,朝鮮人民軍海軍
조선인민군 륙군,朝鮮人民軍陸軍
감호역,鉴湖站
만수대대기념비,萬壽臺大紀念碑
북한의 개인숭배,朝鮮民主主義人民共和國的個人崇拜
운봉선,雲峯線
고토역,古土站
정백사원,平壤貞柏寺院
갈마역 (원산),葛麻站
제13기 최고인민회의 대의원 선거,2014年朝鮮民主主義人民共和國最高人民會議選舉
상풍강역,上丰江站
송도원선,松濤園線
동양역,東陽站·(咸鏡南道)
구중역,旧中站
시정선,柴井线
오시천역,五是川站
남애역,南涯站
리원선,利原线
청단역,青丹站
조선민주주의인민공화국의 종교,朝鲜宗教
조선인민군군악단,朝鮮人民軍軍樂團
함흥역,咸兴站
창흥역,昌兴站
조선민주주의인민공화국의 인민배우,人民演员
함흥조차장역,咸兴操车场
토해선,土海線
혜산청년역,惠山青年站
아시안 하이웨이 32호선,亚洲公路32号线
평양신의주고속도로,平壤新義州高速公路
홍현역,红岘站
황해선,黃海線
흥남역,兴南站·(咸镜南道)
회령청년역,會寧青年站
조선로동당 통일전선부,朝鲜劳动党统一战线部
학송역,鶴松站
보통강,普通江
당창건사적관,党创建事迹馆
조선민주주의인민공화국 내각,朝鲜民主主义人民共和国内阁
조선민주주의인민공화국의 고속도로,朝鮮高速公路
우의탑,友誼塔
조선그리스도교련맹,朝鮮基督教聯盟
김일성훈장,金日成勋章
남북전 (축구),南北韓足球打吡
미래과학자거리 은하 타워,未來科學家大街銀河塔
2016년 함경북도 홍수,2016年朝鲜洪灾
2016년 9월 조선민주주의인민공화국 핵 실험,2016年9月朝鲜核试验
조선민주주의인민공화국 국무위원회,朝鲜民主主义人民共和国国务委员会
신양역 (신양),新阳站·(平安南道)
방화역 (고원),傍花站·(咸鏡南道)
소도역,小桃站
천수역,天水站·(两江道)
공화국영웅,共和国英雄·(朝鲜)
라진구역,罗津区域
심화조 사건,深化組事件
두만강선,豆滿江線
연사역,延社站
강안선,江岸線
신천박물관,信川博物館
신양역 (연사),新阳站·(咸镜北道)
백두산 밀영,白頭山密營
조선민주주의인민공화국 외무성,朝鮮民主主義人民共和國外務省
조선우표박물관,朝鮮郵票博物館
평양시간,平壤時間
개천탄광선,价川煤矿线
조선대성은행,大成银行
아리랑 (스마트폰),阿里郎·(智能手機)
제3군단 (조선민주주의인민공화국),朝鲜人民军第3军
개성역사유적지구,開城歷史建築與遺蹟
말레이시아-조선민주주의인민공화국 관계,朝鮮—馬來西亞關係
조선중앙방송위원회,朝鲜中央广播电视委员会
대동문영화관,大同門映畫館
길주군,吉州郡
대동강구역,大同江区域
평라선,平羅線
보천군,普天郡
락랑구역,樂浪區域
금호지구,琴湖地區
어랑군,漁郎郡
김형권군,金亨權郡
풍서군,豐西郡
서성구역,西城区域
동대원구역,东大院区域
안주시,安州市
사동구역,寺洞区域
희천공업대학,熙川工業大學
서흥군,瑞興郡
은률군,殷栗郡
대동군,大同郡
강남군,江南郡
순안구역,顺安区域
김형직군,金亨稷郡
사회주의애국청년동맹,社会主义爱国青年同盟
이천군,伊川郡
평양 개선문,凯旋门·(平壤市)
릉라도5월1일경기장,綾羅島5月1日競技場
당창건기념탑,党创建纪念塔
조국해방전쟁승리기념탑,祖國解放戰爭勝利紀念塔
청년영웅도로,青年英雄公路
조선민주주의인민공화국의 지리,朝鮮民主主義人民共和國地理
대동신용은행,大同信用银行
남동선,南洞線
조선민주주의인민공화국 문화성,文化省
조선로동당 중앙위원회 정치국 상무위원회,朝鲜劳动党中央委员会政治局常务委员会
압록강선,鴨綠江線
조선민주주의인민공화국 국가계획위원회,朝鲜民主主义人民共和国国家计划委员会
조선민주주의인민공화국 과학원,朝鲜民主主义人民共和国科学院
강선역,降仙站
정도선,鼎島線
남포역 (남포),南浦站·(南浦市)
태풍 노을,颱風紅霞
운흥역,雲興站
조선민주주의인민공화국 건설건재공업성,建設建材工業省
조선외국문도서출판사,朝鲜外文出版社
인도네시아-조선민주주의인민공화국 관계,印度尼西亚—朝鲜关系
허천선,虛川線
긴등역,長登站
영생탑,永生塔
안주탄광선,安州煤礦線
정방리역,正方里站
자유독립훈장,自由独立勋章
삼지연,三池淵
조선로동당 창건일,朝鲜劳动党创建日
인도-북한 관계,朝鲜—印度关系
조선민주주의인민공화국의 인구,朝鮮民主主義人民共和國人口
청년팔원선,青年八院线
한국 군사 정전에 관한 협정,朝鲜停战协定
송림선,松林線
북위 43도,北緯43度線
보천선,普天線
이란-조선민주주의인민공화국 관계,伊朗—朝鲜关系
미국-조선민주주의인민공화국 관계,朝鮮—美國關係
남북공동연락사무소 사무처,南北共同聯絡事務所
관음사 (개성),觀音寺·(開城市)
화계역 (금강산선),花溪站·(江原道)
평양성 (고구려),长安城·(高句丽)
조선민주주의인민공화국의 정치범수용소,朝鮮民主主義人民共和國集中營
당의 유일적령도체계확립의 10대 원칙,確立黨的唯一思想體系十大原則
서산호텔,西山飯店
조선민주주의인민공화국 중앙재판소,朝鮮民主主義人民共和國中央裁判所
호위사령부,護衛司令部
조선직업총동맹,朝鮮職業總同盟
현흥역,玄兴站
금야역,金野站·(咸镜南道)
문암역 (고성),文岩站·(江原道)
광법사,廣法寺
신북청역,新北青站
신상역,新上站
신원역 (신원),新院站·(黄海南道)
련진역,連津站
과학기술전당,科學技術殿堂
령하역,岭下站
비단섬,緋緞島
관해역,观海站
룡출역,龍出站
룡대역,龙台站
괘궁정,掛弓亭
신련포역,新莲浦站
룡동역,龙洞站·(咸镜北道)
조선로동당 제7차 대회,朝鲜劳动党第七次代表大会
미래과학자거리,未來科學家大街
령남역,岭南站·(两江道)
룡현역,龙岘站·(咸镜北道)
로동역,芦洞站
로탄역,蘆灘站
검산리역,劍山里站
자양역 (황해남도),紫阳站·(黄海南道)
2016년 1월 조선민주주의인민공화국 핵 실험,2016年1月朝鮮核試驗
대오천역,大五川站
보안역,甫安站
심포리역 (운흥),深浦里站·(兩江道)
라산역,罗山站·(咸镜南道)
안학궁,安鶴宮
주체연호,主體曆
인풍루,仁風樓
북조선로동당,北朝鲜劳动党
통군정,統軍亭
옹진반도,甕津半島
박천 전투,博川戰鬥
수양산 (황해도),首陽山·(朝鮮)
일본-조선민주주의인민공화국 관계,日本—朝鲜关系
숭인전,崇仁殿
조선사회주의녀성동맹,朝鮮社會主義女性同盟
제10기 최고인민회의 대의원 선거,1998年朝鮮民主主義人民共和國最高人民會議選舉
제11기 최고인민회의 대의원 선거,2003年朝鮮民主主義人民共和國最高人民會議選舉
조선농업근로자동맹,朝鮮農業勞動者同盟
칠골교회,七谷教堂
조선민주주의인민공화국 U-17 축구 국가대표팀,朝鮮17歲以下國家足球隊
미림비행장,美林機場
조선민주주의인민공화국에 대한 제재,对朝鲜的制裁
부용당,芙蓉堂
애국렬사릉,愛國烈士陵
신천역 (신천),信川站
룡남산체육단,龍南山體育團
마전역 (함흥),麻田站·(咸镜南道)
사구역,沙口站·(咸镜北道)
운포역,云浦站
운곡역,云谷站
신창역 (은산),新仓站
신포역 (신포),新浦站·(咸镜南道)
구장청년역,球场青年站
리원역,利原站
리평역,梨坪站
사도역,蛇岛站
대성산 (평양),大城山
늪평역,沼坪站
쌍룡역 (김책),双龙站·(咸镜北道)
조선적십자회,朝鲜民主主义人民共和国红十字会
러시아-조선민주주의인민공화국 관계,朝鲜—俄罗斯关系
산양대역,山羊台站
상룡전역,上龍田站
천을역,天乙站
굴송역,屈松站
명호역,明湖站
월탄역,月灘站
무창역,茂昌站
새동역,鸟洞站
자성역,慈城站·(慈江道)
생기령역,生气岭站
생장역,生长站
귀인역,貴仁站
원평역,院坪站
삼지연못가역,三池淵池街站
삼호역,三湖站·(咸镜南道)
삼향역,三鄉站·(咸鏡北道)
원산금강산고속도로,元山金剛山高速公路
국경역 (온성),国境站
단천청년역,端川青年站
삼해역,三海站
대택역,大泽站·(两江道)
문봉역,文峰站·(朝鲜)
천태역,天台站·(黄海南道)
자산역,慈山站
장림역 (성천),长林站·(平安南道)
삼수청년역,三水青年站
삼지연청년역,三池淵青年站
상대역,上台站
위연청년역,渭淵青年站
인민체육인,人民体育人
금산역,金山站·(黄海南道)
물골역,水溝站·(羅先市)
극동역,极洞站
장마당 (조선민주주의인민공화국),朝鮮民主主義人民共和國黑市
금바위역,金岩石站
전사의 영예 훈장,战士荣誉勋章
소래교회,苏莱教会
국제김일성상,国际金日成奖
설마리 전투,雪马里战斗
조선민주주의인민공화국 U-23 축구 국가대표팀,朝鮮23歲以下國家足球隊
붉은 군대 사령부의 원,苏联红军票·(朝鲜)
사이버 공격,网络攻击
조선민주주의인민공화국의 성소수자 권리,朝鮮LGBT權益
조선민주주의인민공화국 무력 최고사령관,朝鲜民主主义人民共和国武装力量最高司令官
김일성가,金日成家族
개선청년공원,凱旋青年公園
황룡산성,皇龍山城
은하수관현악단,銀河水管弦樂團
평양산원,平壤產科醫院
수남구역,水南区域
라남구역,羅南區域
포항구역,浦港區域
신암구역,新岩區域
업억역,业亿站
세선역,世仙站
함주역,咸州站
보천청년역,普天青年站
세포리역,细浦里站
여해진역,汝海津站
성후역,城后站
세검정 (만포),洗劍亭·(滿浦市)
어대진역,渔大津站
전평역,錢坪站
축전역,杻田站·(咸镜南道)
갈산역 (청단),葛山站·(黄海南道)
합수역,合水站
보통강역,普通江站
기암역,奇岩站·(咸镜南道)
양곡역,旸谷站·(两江道)
금송역,金松站
조선민주주의인민공화국의 선전,朝鲜政治宣传
선봉역,先鋒站·(羅先市)
미둔역,弥屯站
재덕역,載德站
장평역,长坪站
양시선,楊市線
선군절,先军节
육진 방언,六镇方言
은덕역,恩德站
서함흥역,西咸興站
멸악산맥,滅惡山脈
순천역 (평안남도),顺川站
기탄역,岐滩站
민탕역,珉湯站
약산동대,藥山東臺
금성청년출판사,金星青年出版社
두루섬,豆老島
장진선,長津線
정주청년역,定州青年站
인민문화궁전,人民文化宮
찬동자 파크,贊同者球場
칠성문,七星門
정방산성,正方山城
조선중앙력사박물관,朝鲜中央历史博物馆
장연선,長淵線
청진청년역,清津青年站
청계역,清溪站
청천강역,清川江站
청강역,清江站
평양대극장,平壤大劇場
침촌역,沈村站
개심사 (명천군),開心寺·(七寶山)
녕변군,寧邊郡
유점사,榆岾寺
영명사 (평양),永明寺·(平壤市)
신압록강대교,中朝鸭绿江界河公路大桥
만경대혁명학원,萬景臺革命學院
부벽루,浮碧樓
표훈사,表訓寺
도문국경대교,图们国境大桥
금수산 (평양),錦繡山
두만강대교,圖們江大橋
기자릉,箕子陵
관서팔경,關西八景·(朝鮮)
개성-문산 전투,開城-汶山戰役
장혜국제대교,長惠國際大橋
풍어역,丰渔站
증산역 (리원),曾山站
죽전역 (김형직),竹田站·(两江道)
풍양역 (김정숙),丰阳站
풍천역,楓川站
풍계역,丰溪站
주서역,州西站
일신역 (단천),日新站·(咸镜南道)
지수역,智水站
중도역,中島站·(咸鏡北道)
왕장역,旺场站
중이역,中二站
부평역 (정평),富坪站·(平羅線)
조선로동당 대표자회,朝鲜劳动党全国代表大会
후창역,厚仓站
라흥역,罗兴站
라죽역,羅竹站
포평청년역,葡坪青年站
랭정역,冷井站·(黄海南道)
남중역,南中站
남양역,南陽站·(咸鏡北道)
희천발전소,熙川水电站
락원역 (락원),乐园站·(咸镜南道)
남석역,南夕站
중화역 (중화),中和站·(黄海北道)
량강신상역,兩江新上站
옹진역,瓮津站
내동역 (양덕),内洞站
후주청년역,厚州青年站
인민상,共和国人民奖
인흥역,仁兴站
남문역,南门站·(朝鲜)
현무문,玄武門·(平壤市)
인산역,仁山站·(两江道)
인평역,仁平站
락산역,洛山站
승원역,胜院站
평양희천고속도로,平壤熙川高速公路
제12사단 (조선민주주의인민공화국),朝鲜人民军第12师
제766독립보병연대,朝鲜人民军第766独立步兵团
2013년 조선민주주의인민공화국 핵 실험,2013年朝鲜核试验
조선민주주의인민공화국의 언론,朝鲜民主主义人民共和国媒体
천리장성,千里长城
제105기갑사단 (조선민주주의인민공화국),朝鲜人民军第105装甲师
