九龍塘,가우룽통
武汉市,우한시
重庆市,충칭시
宁明县,닝밍현
龙州县,룽저우현
大名县,다밍현
茂名市,마오밍시
西朝鲜湾,서조선만
中國國際航空航天博覽會,주하이 에어쇼
梅州市,메이저우시
天津市,톈진시
遵义市,쭌이시
长安汽车,창안 자동차
蓬安县,펑안현
锦州市,진저우시 (랴오닝성)
佳木斯市,자무쓰시
人民币,런민비
.cn,.cn
自贡市,쯔궁시
天宁区,톈닝구
中国国际航空,중국국제항공
東清鐵路,동청 철도
轰-6,H-6 (항공기)
中华人民共和国行政区划,중화인민공화국의 행정 구역
柳州市,류저우시
东莞市,둥관시
香港行政區劃,홍콩의 구
澳門行政區劃,마카오의 행정 구역
中華人民共和國最高領導人,중화인민공화국의 최고지도자
中国共产党中央委员会,중국공산당 중앙위원회
中山市,중산시
潮州市,차오저우시
汕尾市,산웨이시
河源市,허위안시
清远市,칭위안시
阳江市,양장시
中华人民共和国国务院,중화인민공화국 국무원
天等县,톈덩현
云浮市,윈푸시
长城,만리장성
长江三峡水利枢纽工程,싼샤 댐
太仓市,타이창시
周庄镇·(昆山市),저우장 진
中华人民共和国未识别民族,중국의 미식별 민족
壮语,좡어
安徽省,안후이성
大新县,다신현
双清区,솽칭구
三沙市,싼사시
2008年夏季奧林匹克運動會馬術比賽,2008년 하계 올림픽 승마
湟中区,황중구
赤水市,츠수이시
天空城市,스카이 시티
重庆轨道交通1号线,충칭 궤도교통 1호선
宁南县,닝난현
平昌县,핑창현
且末县,체모현
赫章县,허장현 (비제시)
大悟县,다우현
衡山,형산
潍城区,웨이청구 (웨이팡시)
温泉县,원취안현
塔城地区,타청 지구
普通高等学校招生全国统一考试,보통 고등학교 초생 전국 통일고시
2008年8月1日日食,2008년 8월 1일 일식
锡伯语,시버어
湘语,샹어
维吾尔语,위구르어
三明市,싼밍시
百度,바이두
福州市,푸저우시
贺兰山,허란산맥
云阳县,윈양현
港鐵,홍콩 지하철
批林批孔运动,비림비공운동
中環,중완
中华文化,중국의 문화
盘山县,판산현
定州市,딩저우시
大鹏新区,다펑 신구
龙华区·(深圳市),룽화구 (선전시)
下陆区,샤루구
中国啤酒,중국의 맥주
中芯国际,SMIC
北京地铁5号线,베이징 지하철 5호선
沈阳地铁,선양 지하철
塔城市,타청시
新巴尔虎右旗,신바얼후 우기
永定区·(张家界市),융딩구 (장자제시)
明溪县,밍시현
泗阳县,쓰양현
望都县,왕두현
山阴县,산인현
啟德機場,카이탁 공항
布依族,부이족
西夏区,시샤구
邗江区,한장구 (양저우시)
米易县,미이현
铁西区·(四平市),톄시구 (쓰핑시)
小青岛·(青岛),샤오칭다오
皇姑区,황구구
长江三峡,장강삼협
苏公塔,소공탑
羅湖站·(香港),로우역
西宁市,시닝시
黄石市,황스시
十堰市,스옌시
上環站,성완역
金鐘站,감중역
香港特別行政區政府,홍콩 특별행정구 정부
尖沙咀,짐사저이
中環站,중완역
布达拉宫,포탈라궁
浑源县,훈위안현
南平市,난핑시
莆田市,푸톈시
泉州市,취안저우시
尚义县,샹이현
亞洲公路3號線,아시안 하이웨이 3호선
永州市,융저우시
龙门石窟,룽먼 석굴
厦门市,샤먼시
白族,바이족
西沙群岛,파라셀 제도
威县,웨이현 (싱타이시)
台湾海峡通道,타이완 해협 해저터널 프로젝트
四川盆地,쓰촨 분지
岳塘区,웨탕구
老边区,라오볜구
2008年夏季奧林匹克運動會男子400米混合泳比賽,2008년 하계 올림픽 수영 남자 400m 개인혼영
律商联讯,렉시스
中华人民共和国主席,중화인민공화국의 주석
2011年亞洲籃球錦標賽,2011년 FIBA 아시아 선수권 대회
临夏市,린샤시
石武客运专线,스우 고속철도
盐津县,옌진현 (자오퉁시)
景县,징현 (헝수이시)
阿尼玛卿山,아니마칭산
千山区,첸산구
浑南区,훈난구
拜泉县,바이취안현
高陵区,가오링구
牟平区,무핑구
南昌县,난창현
普濟禪院,관음당
灣仔,완자이
梅列区,메이례구
西乡县,시샹현
贺龙体育文化中心,허룽 스포츠 센터 스타디움
纳木错,남초호
澳門,마카오
南京大学,난징 대학
三亚凤凰国际机场,싼야 펑황 국제공항
翼城县,이청현
城北区·(西宁市),청베이구
北京地铁2号线,베이징 지하철 2호선
赤城县,츠청현
九流十家,구류십가
那坡县,나포현
中华人民共和国司法体制,중화인민공화국의 사법 제도
冷水滩区,렁수이탄구
莘庄站,신좡역 (지하철)
云南大学,윈난 대학
伊州区,이저우구 (하미시)
金台区,진타이구
湖南大学,후난 대학
大足石刻,다쭈 석각
高密市,가오미시
海门区,하이먼구
南丹县,난단현
天峨县,톈어현
凤山县,펑산현
潜江市,첸장시
曲松县,취쑹현
联想集团,레노버
沙田區,사틴구
漳州市,장저우시
龙岩市,룽옌시
坪山区,핑산구 (선전시)
宁德市,닝더시
中国音乐,중국 음악
桥东区·(张家口市),차오둥구 (장자커우시)
9GAG,9GAG
曙光汽车集团,SG 오토모티브
山亭区,산팅구
泉山区,취안산구
杨浦区,양푸구
托克托县,퉈커퉈현
虹口区,훙커우구
东江,동강 (중국)
濠江区,하오장구
北京站,베이징역
澳門市,마카오시
上海广播电视台,상하이 미디어 그룹
闵行区,민항구
高县,가오현
天燈,풍등
环渤海经济圈,환보하이 경제권
滙業銀行,방코델타아시아
东突厥斯坦,동튀르키스탄
深圳市,선전시
广东省,광둥성
宜昌市,이창시
荆州市,징저우시
广西壮族自治区,광시 좡족 자치구
荆门市,징먼시
襄阳市,샹양시
鄂州市,어저우시
中国工程院,중국공정원
平江县,핑장현
银州区,인저우구 (톄링시)
2008年夏季奧林匹克運動會男子50米自由泳比賽,2008년 하계 올림픽 수영 남자 50m 자유형
台江县,타이장현
克拉玛依市,카라마이시
利通区,리퉁구
法库县,파쿠현
宜都市,이두시
孝感市,샤오간시
荔浦市,리푸시
渤海海峡,보하이 해협
深水埗區,삼서이보구
解放区·(焦作市),제팡구
邵东市,사오둥시
黄冈市,황강시
咸宁市,셴닝시
随州市,쑤이저우시
仙桃市,셴타오시
恩施土家族苗族自治州,언스 투자족 먀오족 자치주
新疆北部,중가리아
宁河区,닝허구
天门市,톈먼시
榆社县,위서현 (진중시)
吐鲁番盆地,투루판 분지
太行山,타이항산맥
黄浦区,황푸구 (상하이시)
仁布县,런부현
云霄县,윈샤오현
长宁区,창닝구
广州地铁,광저우 지하철
静安区,징안구
普陀区·(上海市),푸퉈구 (상하이시)
中华人民共和国最高人民法院,중화인민공화국 최고인민법원
翠峦区,추이롼구
吴川市,우촨시
泗洪县,쓰훙현
察哈尔右翼后旗,차하얼 우익후기
雍和宫,옹화궁
渭源县,웨이위안현 (딩시시)
中国酒泉卫星发射中心,주취안 위성발사센터
尖沙咀鐘樓,짐사저이 종루
傣族,다이족
门巴族,몬파인
济水,지수이
鯉魚門,레이위문
武陵山脉,우링산맥
太原市,타이위안시
东兰县,둥란현
大同市,다퉁시
弋江区,이장구
阳山县,양산현
新兴县,신싱현
海宁市,하이닝시
金山区·(上海市),진산구 (상하이시)
太康县,타이캉현
嘉定区,자딩구
宝山区·(上海市),바오산구 (상하이시)
中山北路站·(上海市),중산베이루역
光明区,광밍구
松江区,쑹장구
和龙市,허룽시
古寧頭戰役,구닝터우 전투
汪清县,왕칭현
青浦区,칭푸구 (상하이시)
乐清市,웨칭시
杭州湾,항저우만
鼎泰豐,딘타이펑
遗华日侨,중국 잔류 일본인
203高地,203고지
深圳地铁1号线,선전 지하철 1호선
木樨地站,무시디역
天安门西站,톈안먼 서역
同仁堂,동인당
中国人民抗日战争纪念馆,중국인민항일전쟁기념관
長江集團中心,쳉 콩 센터
恆安站,항온역
五棵松站,우커쑹역
友邦金融中心,AIA 센트럴
虎牢关,호뢰관
玉泉路站,위취안루역
港島香格里拉大酒店,아일랜드 샹그릴라 호텔
西单站,시단역
人民大会堂,인민대회당
阳泉市,양취안시
长治市,창즈시
晋城市,진청시
朔州市,숴저우시
广丰区,광펑구
盟·(行政區劃),맹 (행정 구역)
晋中市,진중시
胶州市,자오저우시
龙潭区·(吉林市),룽탄구 (지린시)
上海城隍廟,상하이 성황묘
阳谷县,양구현
乌鲁木齐地铁,우루무치 지하철
云溪区,윈시구
奈曼旗,나이만 기
中國國際貨運航空,중국국제항공 카고
新华区·(石家庄市),신화구 (스자좡시)
奉贤区,펑셴구
凤凰县,펑황현
凉山彝族自治州,량산 이족 자치주
莱州市,라이저우시
长白朝鲜族自治县,창바이 조선족 자치현
好太王碑,광개토대왕릉비
瓯海区,어우하이구
鹿城区,루청구
大丰区,다펑구
平阳县,핑양현
龙湾区,룽완구
文成县,원청현
泰顺县,타이순현
社会主义国家,사회주의 국가
八宝山站,바바오산역
南礼士路站,난리스루역
中国地震局,중국지진국
深圳宝安国际机场,선전 바오안 국제공항
喀尔喀蒙古族,할하부
悦达起亚,둥펑 위에다 기아
运城市,윈청시
忻州市,신저우시
临汾市,린펀시
吕梁市,뤼량시
大连市,다롄시
中国东方航空,중국동방항공
四川航空,쓰촨 항공
中国南方航空,중국남방항공
大兴安岭,다싱안링산맥
海南航空,하이난 항공
黄土高原,황투고원
首都航空,베이징 캐피탈 항공
华南MALL,신화난 MALL
郁南县,위난현
虞城县,위청현
新平彝族傣族自治县,신핑 이족 다이족 자치현
阿图什市,아투스시
苍南县,창난현
西塔教会,서탑교회
永嘉县,융자현
中國朝鮮語,중국조선어
平義線,평의선
洞头区,둥터우구
2008年夏季奧林匹克運動會跆拳道比賽—男子58公斤級,2008년 하계 올림픽 태권도 남자 58kg급
台灣海峽飛彈危機,제3차 대만 해협 위기
中国—朝鲜关系,조선민주주의인민공화국-중화인민공화국 관계
慈溪市,츠시시
關帝廟,관제묘
平湖市,핑후시
中国大陆电影,중국 영화
八角游乐园站,바자오유러위안역
鴉洲,아자우섬
本溪市,번시시
抚顺市,푸순시
鞍山市,안산시 (랴오닝성)
丹东市,단둥시
营口市,잉커우시
阿坝县,아바현
中华东正教会,중국 정교회
北京地铁4号线,베이징 지하철 4호선
大庆市,다칭시
清东陵,청동릉
Apm·(香港),Apm (홍콩)
东乌珠穆沁旗,둥우주무친 기
南开区,난카이구
河东区·(天津市),허둥구 (톈진시)
河西区,허시구
和平区·(天津市),허핑구 (톈진시)
臺灣文化,대만의 문화
东丽区,둥리구
河北区,허베이구
西青区,시칭구
红桥区,훙차오구
士大夫,사대부
王府井站,왕푸징역
永安里站,융안리역
佤族,와족
美捷香港商用飛機,메트로제트 (홍콩)
东单站,둥단역
建国门站,젠궈먼역
国贸站·(北京市),궈마오역 (베이징)
广兰路站,광란루역
金科路站,진커루역
大连站,다롄역
潘广路站,판광루역
辽阳市,랴오양시
盘锦市,판진시
铁岭市,톄링시
朝阳市,차오양시
角门东站,자오먼 동역
姜堰区,장옌구
葫芦岛市,후루다오시
中国—日本关系,중일 관계
黎族,리족
跑馬地,해피밸리 (홍콩)
九龍巴士,주룽 버스
雲岡石窟,윈강 석굴
青岛啤酒,칭다오 맥주
津南区,진난구
中西區·(香港),중사이구
宝坻区,바오디구
北辰区,베이천구
滨海新区,빈하이 신구
水丰水库,수풍댐
武清区,우칭구
间岛,간도
長江企業控股,청쿵그룹
罗湖站·(深圳地铁),뤄후역 (선전시)
共青城市,궁칭청시
中国国家奥林匹克足球队,중국 U-23 축구 국가대표팀
欧亚大草原,유라시아 스텝
浙江职业足球俱乐部,저장 FC
故宫,자금성
金茂大厦,진마오 타워
2008年夏季奧林匹克運動會射擊比賽,2008년 하계 올림픽 사격
環球貿易廣場,국제상업센터
鴨脷洲,압레이차우
中朝友谊桥,조중우의교
2008年夏季奧林匹克運動會排球比賽,2008년 하계 올림픽 배구
實利銀行,실리은행
國內城,국내성
韓僑,재외한인
大陳島撤退,다천섬 철수
渤海国上京龙泉府遗址,상경 용천부
2008年夏季奧林匹克運動會賽艇比賽,2008년 하계 올림픽 조정
白云区·(广州市),바이윈구 (광저우시)
上海环球金融中心,상하이 세계금융센터
满洲,만주
敦化市,둔화시
中国—韩国关系,대한민국-중화인민공화국 관계
台灣天主教,대만의 로마 가톨릭교회
薑汁撞奶,겅잡종나이
临海市,린하이시
沪宁城际铁路,후닝 고속철도
選舉委員會·(香港),선거위원회 (홍콩)
中環碼頭,센트럴 부두
2008年夏季奧林匹克運動會擊劍比賽,2008년 하계 올림픽 펜싱
東方教會,동방교회
和田地区,호탄 지구
哈密市,하미시
三亚市,싼야시
国家航天局,중국 국가항천국
天安门,천안문
滇池,뎬츠호
鄄城县,쥐안청현
黄陂区,황피구
安阳市,안양시 (허난성)
迪士尼綫,디즈니선
港島綫,공도선
黔西南布依族苗族自治州,첸시난 부이족 먀오족 자치주
敦煌市,둔황시
罗布泊,로프노르
東鐵綫,둥팃선
東涌綫,둥충선
西鐵綫,사이팃선
图木舒克市,투무수커시
將軍澳綫,정관오선
十里堡站,스리푸역
青岛大学,칭다오 대학
偽滿皇宮博物院,만주국 황궁
洱海,얼하이호
金台路站,진타이루역
安凯汽车,안카이 자동차
吉林市,지린시
四平市,쓰핑시
长春市,창춘시
通化市,퉁화시
辽源市,랴오위안시
托木尔峰,포베다산
天池·(长白山),천지
渝中区,위중구
龙井市,룽징시
启东市,치둥시
图们市,투먼시
浑江区,훈장구
辽东半岛,랴오둥반도
杭州湾跨海大桥,항저우만 대교
瑞安市,뤼안시
奉化区,펑화구
延吉市,옌지시
即墨区,지모구
南岸区,난안구
沙坪坝区,사핑바구
长寿区,창서우구
北碚区,베이베이구
大渡口区,다두커우구
固玛镇,피샨
乌鲁木齐七五事件,2009년 7월 우루무치 소요 사태
松原市·(吉林省),쑹위안시
2011年世界游泳錦標賽,2011년 세계 수영 선수권 대회
白山市·(中國),바이산시
神舟六号,선저우 6호
菏泽市,허쩌시
虹桥2号航站楼站,훙차오 공항 2터미널 역
尖沙咀站,짐사저이역
紅磡站,훙함역
九龍塘站·(香港),가우룽통역
万宁市,완닝시
济源市,지위안시
察布查尔锡伯自治县,찹찰 시버 자치현
虹桥火车站站,훙차오역 (지하철)
南川区,난촨구
大足区,다쭈구
綦江区,치장구
合川区,허촨구
杭福深客運專線,항푸선 고속철도
沪汉蓉快速客运通道,후한룽 고속철도
中国科学院紫金山天文台,쯔진산 천문대
沪昆客运专线,후쿤 고속철도
永川区,융촨구
温州世界贸易中心,원저우 세계무역센터
黔江区,첸장구
上海城市规划展示馆,상하이 도시계획전시관
万州区,완저우구
中國人民解放軍駐香港部隊大廈,인민해방군 주홍콩부대빌딩
泸西县,루시현 (훙허)
昌吉回族自治州,창지 후이족 자치주
奎屯市,쿠이툰시
挹娄,읍루
龙门镇·(杭州市),용문
中央人民政府駐香港特別行政區聯絡辦公室,중앙인민정부 주홍콩연락판공실
峨嵋山暗色岩,어메이산 트랩
奧林匹克運動會中國代表團,올림픽 중화인민공화국 선수단
广宁县,광닝현
额济纳旗,어지나 기
香港大球場,홍콩 스타디움
中國—印度關係,중국–인도 관계
昌吉市,창지시
澳門美高梅,MGM 마카오
美孚站,메이푸역
襄垣县,샹위안현
落馬洲,록마차우
大學站·(香港),대학역 (홍콩)
白城市,바이청시
新浪微博,시나 웨이보
汤原县,탕위안현
武夷山市,우이산시
中华人民共和国科技,중국의 과학기술
黄浦江,황푸강
六四事件,1989년 천안문 사건
乌鲁木齐县,우루무치현
撒拉族,사라족
东海大桥,둥하이 대교
金川县,진촨현
曹妃甸区,차오페이뎬구
延边朝鲜族自治州,옌볜 조선족 자치주
莱州湾,라이저우만
普陀山,푸퉈산
哈拉哈河,할하강
貝爾湖,부이르호
镜泊湖,징푸호
大连湾,다롄만
北庭大都护府,북정도호부
郑州站,정저우역
中國棒球協會,중국야구협회
桃花島,타오화섬
大理白族自治州,다리 바이족 자치주
曲阳县,취양현
文昌市,원창시
京哈客运专线,징하 고속철도
文山壮族苗族自治州,원산 좡족 먀오족 자치주
红河哈尼族彝族自治州,훙허 하니족 이족 자치주
德宏傣族景颇族自治州,더훙 다이족 징포족 자치주
滁州市,추저우시
通江县,퉁장현
果洛藏族自治州,궈뤄 티베트족 자치주
屏山县,핑산현 (이빈시)
海林市,하이린시
桑珠孜区,쌍주쯔구
岳阳楼区,웨양러우구
扬州八怪,양주팔괴
石阡县,스첸현
伊春市,이춘시 (헤이룽장성)
双鸭山市,솽야산시
五台山,우타이산
中国网球公开赛,차이나 오픈 (테니스)
怀柔区,화이러우구
鹤岗市,허강시
七台河市,치타이허시
长白山,백두산
华山,화산 (중국)
巴沟站,바거우역
前门站,첸먼역
东直门站,둥즈먼역
北京地铁10号线,베이징 지하철 10호선
伊犁哈萨克自治州,이리 카자흐 자치주
劲松站·(北京市),진쑹역
3号航站楼站,3터미널역
森林公园南门站,삼림공원 남문역
西直门站,시즈먼역
澳門回歸,마카오 반환
徐浦大桥,쉬푸 대교
北京地铁首都机场线,베이징 지하철 수도공항선
北京地铁8号线,베이징 지하철 8호선
三元桥站,싼위안차오역
北京地铁13号线,베이징 지하철 13호선
甘州回鶻,감주 위구르
宁波轨道交通,닝보 지하철
风暴一号运载火箭,펑바오 1호
楚雄彝族自治州,추슝 이족 자치주
芜湖市,우후시
蚌埠市,벙부시
2009年世界女子手球錦標賽,2009년 세계 여자 핸드볼 선수권 대회
中環廣場·(香港),센트럴 플라자 (홍콩)
曲阜孔庙,공묘
古冶区,구예구
上海航空,상하이 항공
中国银联,유니온페이
北土城站,베이투청역
汉传佛教,중국의 불교
天通苑北站,톈퉁위안 북역
渭河,웨이허
绥化市,쑤이화시
黑河市,헤이허시
希夏邦马峰,시샤팡마산
清明節,청명절 (중국)
新港鄉,신강향
延边大学,옌볜 대학
福建土楼,푸젠 토루
沙河市,사허시
鄂城区,어청구
色拉寺,세라 사원
西固区,시구구
浦东新区,푸둥 신구
天坛,천단
外滩,와이탄
渭南市,웨이난시
阜阳市,푸양시 (안후이성)
安庆市,안칭시
六安市,루안시
亳州市,보저우시
宿州市,쑤저우시 (안후이성)
池州市,츠저우시
2008年夏季奧林匹克運動會男子200米自由泳比賽,2008년 하계 올림픽 수영 남자 200m 자유형
琼海市,충하이시
2008年夏季奧林匹克運動會男子200米蝶泳比賽,2008년 하계 올림픽 수영 남자 200m 접영
2008年夏季奧林匹克運動會男子10公里馬拉松游泳比賽,2008년 하계 올림픽 수영 남자 10km 마라톤
2008年夏季奧林匹克運動會男子200米混合泳比賽,2008년 하계 올림픽 수영 남자 200m 개인혼영
沈阳故宫,선양 고궁
淮南市,화이난시
马鞍山市,마안산시
曲麻莱县,취마라이현
方城县,팡청현
阿荣旗,아룽 기
漢字文化圈,한자 문화권
正教會普世宗主教聖統香港及東南亞都主教教區,홍콩-동남아시아 정교회 수도 대교구
龙岗区,룽강구 (선전시)
清苑区,칭위안구 (바오딩시)
黔南布依族苗族自治州,첸난 부이족 먀오족 자치주
临夏回族自治州,린샤 후이족 자치주
任泽区,런쩌구
阿尔山市,아얼산시
鄂尔多斯蒙古语,오르도스어
淮北市,화이베이시
釣魚臺,우오쓰리섬
铜陵市,퉁링시
元朗,윈롱
阿尔卑斯带,알프스-히말라야 조산대
上海申花足球俱乐部,상하이 선화
中国共产党中央委员会总书记,중국공산당 중앙위원회 총서기
上海火车站站,상하이역 (지하철)
亚太空间合作组织,아시아 태평양 우주 협력 기구
上海南站站,상하이 남역 (지하철)
秦皇岛奥林匹克体育中心,친황다오 올림픽 스포츠 센터 스타디움
土族,투족
2008年夏季奧林匹克運動會自行車比賽—男子團體爭先賽,2008년 하계 올림픽 사이클 남자 단체 스프린트
鹿泉区,루취안구
2008年夏季奧林匹克運動會男子4×100米自由泳接力比賽,2008년 하계 올림픽 수영 남자 400m 계영
2008年夏季奧林匹克運動會男子4×200米自由泳接力比賽,2008년 하계 올림픽 수영 남자 800m 계영
2008年夏季奧林匹克運動會射擊比賽—男子25米快射手槍,2008년 하계 올림픽 사격 남자 25m 속사권총
2008年夏季奧林匹克運動會自行車比賽—男子爭先賽,2008년 하계 올림픽 사이클 남자 스프린트
凤凰卫视,봉황TV
一国两制,일국양제
2号航站楼站,2터미널역
金坛区,진탄구
开原市,카이위안시 (톄링시)
藁城区,가오청구
双城区,솽청구
乌兰浩特市,우란하오터시
盐田区,옌톈구
二连浩特市,얼롄하오터시
罗湖区,뤄후구
石河子市,스허쯔시
崇文门站,충원먼역
中车长春轨道客车,창춘 궤도객차
五指山市,우즈산시
郑州地铁,정저우 지하철
洮南市,타오난시
2008年夏季奧林匹克運動會男子100米蛙泳比賽,2008년 하계 올림픽 수영 남자 100m 평영
深圳地铁4号线,선전 지하철 4호선
循化撒拉族自治县,쉰화 사라족 자치현
台灣海峽,대만 해협
萍乡市,핑샹시 (장시성)
宣城市,쉬안청시
新余市,신위시
赣州市,간저우시
鹰潭市,잉탄시
東區·(香港),둥구 (홍콩)
华州区,화저우구
亞洲電視,아시아 텔레비전
2008年夏季奧林匹克運動會男子公路自行車個人計時賽,2008년 하계 올림픽 사이클 남자 도로독주
麻栗坡县,마리포현
新抚区,신푸구 (푸순시)
現代標準漢語,표준 중국어
2008年夏季奥林匹克运动会田径比赛—男子200米,2008년 하계 올림픽 육상 남자 200m
2008年夏季奧林匹克運動會田徑女子100米比賽,2008년 하계 올림픽 육상 여자 100m
吉安市,지안시 (장시성)
宜春市,이춘시 (장시성)
抚州市,푸저우시 (장시성)
武广客运专线,우광 고속철도
