Warsaw,華沙
Głubczyce,格武布奇采
Głowno,格沃夫諾
Frombork,弗龙堡
Dzierzgoń,傑日貢
Działoszyn,賈沃申
Duszniki-Zdrój,杜什尼基-茲德魯伊
Dolsk,多爾斯克
Dobiegniew,多别格涅夫
Koniecpol,科涅茨波尔
Koluszki,科卢什基
Knurów,克努魯夫
Kęty,肯蒂
Kępno,肯普諾
Karpacz,卡爾帕奇
Karlino,卡爾利諾
Kamień Pomorski,波莫瑞地區卡緬
Kamienna Góra,卡缅纳古拉
Kalwaria Zebrzydowska,卡爾瓦里亞-澤布日多夫斯卡
Jedlina-Zdrój,耶德利納-茲德魯伊
Jaworzyna Śląska,希隆斯克地區亞沃日納
Jawor,亚沃尔
Jastrowie,亞斯特羅維
Jastarnia,亞斯塔爾尼亞
Olesno,奧萊斯諾
Ogrodzieniec,奧格羅傑涅茨
Oborniki Śląskie,希隆斯克地區奧博爾尼基
Oborniki,奧博爾尼基
Nowy Tomyśl,新托梅希爾
Nowy Staw,新斯塔夫
Nowy Dwór Gdański,格但斯克新莊園
Nowogard,諾沃加德
Nowe Skalmierzyce,新斯卡爾梅日采
Nowe,諾韋
Niemodlin,涅莫德林
Niemcza,涅姆恰
Namysłów,納梅斯武夫
Myślibórz,梅希利布日
Myślenice,梅希萊尼采
Mosina,莫西納
Morąg,莫龍格
Mirsk,米爾斯克
Mirosławiec,米羅斯瓦維茨
Mieroszów,梅羅舒夫
Międzylesie,緬濟萊謝
Międzychód,緬濟胡德
Międzybórz,緬濟布日
Miastko,米亞斯特科
Małomice,馬沃米采
Stęszew,斯滕謝夫
Stawiszyn,斯塔維申
Środa Wielkopolska,大波蘭地區希羅達
Środa Śląska,希隆斯克地區希羅達
Słupca,斯武普察
Skwierzyna,斯克維日納
Skórcz,斯庫爾奇
Skoczów,斯科丘夫
Skarszewy,斯卡爾謝維
Sierpc,謝爾普茨
Sępólno Krajeńskie,森普爾諾-克拉延斯凱
Ścinawa,希齊納瓦
Rypin,雷平
Rydułtowy,雷杜烏托維
Rumia,魯米亞
Rogoźno,羅戈伊諾
Lubsko,盧布斯科
Lubawka,盧巴夫卡
Lubań,盧班
Libiąż,利比翁日
Leśna,萊希納
Łęknica,文克尼察
Lędziny,倫濟內
Łęczyca,文奇察
Łeba,韋巴
Łazy,瓦濟
Łaziska Górne,上瓦濟斯卡
Lądek-Zdrój,隆代克-茲德魯伊
Kudowa-Zdrój,庫多瓦-茲德魯伊
Krzywiń,克日溫
Krzeszowice,克熱紹維采
Krzanowice,克扎諾維采
Krynica Morska,克里尼查謨爾斯卡
Krosno Odrzańskie,奧得河畔克羅斯諾
Krapkowice,克拉普科維采
Kowalewo Pomorskie,波莫瑞地區科瓦萊沃
Kowal,科瓦爾
Resko,雷斯科
Reda,雷達
Rawicz,拉維奇
Radzionków,拉濟翁科夫
Radków,拉德庫夫
Rabka-Zdrój,拉布卡-茲德魯伊
Pyzdry,佩茲德雷
Pyskowice,佩斯科維采
Pyrzyce,佩日采
Pszów,普舒夫
Przemków,普熱姆庫夫
Pruszcz Gdański,格但斯克普魯什奇
Prusice,普魯西采
Prudnik,普魯德尼克
Prószków,普魯什庫夫
Prochowice,普羅霍維采
Poręba,波倫巴
Połczyn-Zdrój,波烏琴-茲德魯伊
Polanica-Zdrój,波蘭尼卡-茲德魯伊
Pniewy,普涅維
Płoty,普沃蒂
Pleszew,普萊謝夫
Pasłęk,帕斯文克
Ozorków,奧佐爾庫夫
Ozimek,奧濟梅克
Ostrzeszów,奧斯切舒夫
Wieleń,维伦
Wiązów,維翁祖夫
Westerplatte,西盤半島
Węgorzyno,文戈日諾
Wąsosz,翁索什
Wąbrzeźno,翁布熱伊諾
Ustroń,烏斯特龍
Uniejów,烏涅尤夫
Ujście,烏伊希切
Ujazd,烏亞茲德
Twardogóra,特瓦爾多古拉
Tuchola,圖霍拉
Trzebnica,切布尼察
Trzebinia,切比尼亞
Trzciel,奇切爾
Trzcianka,奇強卡
Toszek,托謝克
Sztum,什圖姆
Szprotawa,什普羅塔瓦
Szczekociny,什切科齊內
Syców,瑟楚夫
Świeradów-Zdrój,希維拉杜夫-茲德魯伊
Świebodzice,希維博濟采
Borne Sulinowo,博爾內蘇利諾沃
Sulechów,苏莱胡夫
Strzelce Opolskie,斯切爾采奧波萊斯基
Strzelce Krajeńskie,斯切爾采-克拉延斯凱
Stronie Śląskie,斯托尼拉斯奇
Żnin,日寧
Żmigród,日米格魯德
Złoty Stok,茲沃蒂斯托克
Złocieniec,茲沃切涅茨
Ziębice,津比采
Zdzieszowice,茲傑紹維采
Zduńska Wola,茲敦斯卡沃拉
Zawidów,扎維杜夫
Zawadzkie,扎瓦茲凱
Żarów,扎魯夫
Wschowa,弗斯霍瓦
Wronki,弗龍基
Wolsztyn,沃尔什滕
Wołów,沃武夫
Wolin,沃林
Wolin,沃林島
Wojkowice,沃伊科維采
Włoszczowa,弗沃什喬瓦
Władysławowo,弗瓦迪斯瓦沃沃
Wilamowice,維拉莫維采
Kraków,克拉科夫
Poznań,波茲南
Stadion Miejski,弗罗茨瓦夫市立球场
Krkonoše,克尔科诺谢山
Kock,科茨克
Kańczuga,坎丘加
Kałuszyn,卡武申
Józefów,約瑟夫烏
Jeziorany,耶焦拉內
Jedlicze,耶德利切
Iwonicz-Zdrój,伊沃尼奇-茲德魯伊
Iłża,伊烏扎
Sieniawa,谢尼亚瓦
Serock,塞羅茨克
Sępopol,森波波爾
Sędziszów Małopolski,小波蘭地區森濟舒夫
Sędziszów,森濟舒夫
Ryn,雷恩
Ryki,雷基
Rudnik nad Sanem,桑河畔鲁德尼克
Rembertów,倫貝托夫區
Rejowiec Fabryczny,雷約維茨法布里奇內
Radzymin,拉濟明
Przysucha,普日蘇哈
Pruchnik,普魯赫尼克
Proszowice,普羅紹維采
Pilzno,皮爾茲諾
Pilawa,皮拉瓦
Pieniny,皮耶尼內山脈
Zawichost,扎維霍斯特
Zakroczym,扎克羅奇姆
Zagórz,扎古日
Wyszogród,維紹格魯德
Wojnicz,沃伊尼奇
Wąchock,翁霍茨克
Górowo Iławeckie,古羅沃伊瓦韋茨凱
Głogów Małopolski,小波蘭地區格沃古夫
Glinojeck,格利諾耶茨克
Frampol,弗蘭波爾
Działoszyce,賈沃希采
Dynów,迪努夫
Dukla,杜克拉
Drzewica,德熱維察
Dobczyce,多布奇采
Daleszyce,達萊希采
Czarna Białostocka,黑比亞沃斯托茨卡
Ćmielów,奇梅盧夫
Ciężkowice,錢日科維采
Chorzele,霍熱萊
Choroszcz,霍羅什奇
Małogoszcz,馬沃戈什奇
Majdanek concentration camp,迈丹尼克集中营
Łochów,沃胡夫
Lipsko,利普斯科
Lipsk,利普斯克
Lesko,莱斯科
Łaskarzew,瓦斯卡熱夫
Kunów,庫努夫
Krynki,克倫基
Krasnobród,克拉斯諾布魯德
Tyszowce,蒂紹夫采
Tyczyn,蒂琴
Terespol,泰雷斯波爾
Tarnogród,塔爾諾格魯德
Tarczyn,塔爾琴
Szczuczyn,什丘琴
Szczucin,什丘欽
Szczebrzeszyn,什切布熱申
Suchowola,蘇霍沃拉
Suchedniów,蘇海德紐夫
Strzyżów,斯奇茹夫
Skaryszew,斯卡雷謝夫
Skalbmierz,斯卡爾布梅日
Pieniężno,佩尼恩日諾
Pasym,帕瑟姆
Ożarów,奧扎魯夫
Orzysz,奧日什
Orneta,奥尔内塔
Olsztynek,奧爾什蒂內克
Nowe Miasto nad Pilicą,皮利察河畔新城
Nowa Sarzyna,新薩日納
Niepołomice,涅波沃米采
Nałęczów,納文丘夫
Myszyniec,梅希涅茨
Mszana Dolna,下姆沙納
Mordy,莫爾迪
Mogielnica,莫蓋爾尼察
Michałowo,米哈沃沃
Chęciny,亨齊內
Bychawa,貝哈瓦
Brzostek,布若斯泰克
Bodzentyn,博曾滕
Bisztynek,比什蒂內克
Białobrzegi,比亞沃布熱吉
Biała Piska,比亞瓦皮斯卡
Bełżyce,貝烏日采
Barczewo,巴爾切沃
Zwoleń,茲沃倫
Zwierzyniec,茲維日涅茨
Beelitz,贝利茨
Usedom Island,乌瑟多姆岛
Bobolice,博博利采
Bieżuń,別容
Biały Bór,比亞維布爾
Barwice,巴爾維采
Baborów,巴博魯夫
Człopa,奇沃帕
Czerwieńsk,切爾維延斯克
Czerniejewo,切爾涅耶沃
Czempiń,琴平
Czarne,恰尔内
Cybinka,齊賓卡
Chojna,霍伊納
Chodecz,霍代奇
Chociwel,霍齊韋爾
Chełmek,海烏梅克
Cedynia,采迪尼亞
Bytom Odrzański,奧得河畔比托姆
Byczyna,貝奇納
Buk,布克
Bojanowo,博亞諾沃
Ińsko,因斯科
Imielin,伊梅林
Gryfów Śląski,希隆斯克地區格雷富夫
Grodków,格羅德庫夫
Gozdnica,戈茲德尼察
Gościno,戈希齊諾
Gorzów Śląski,希隆斯克地區戈茹夫
Golina,戈利納
Golczewo,戈爾切夫
Gołańcz,戈萬奇
Gogolin,戈戈林
Gniewkowo,格涅夫科沃
Głogówek,格沃古韋克
Gąbin,貢賓
Dziwnów,濟夫努夫
Drobin,得羅賓
Drawno,德拉夫諾
Dobrzyń nad Wisłą,維斯瓦河畔多布任
Dobrzany,多布扎內
Dobrodzień,多布羅津
Dobra,多布拉
Dobra,多布拉
Kórnik,庫爾尼克
Korfantów,科爾凡圖夫
Kolonowskie,科洛諾夫斯凱
Kobylin,科貝林
Kłodawa,克沃達瓦
Kleczew,克萊切夫
Kłecko,克韋茨科
Kisielice,基謝利采
Kietrz,凱奇
Kępice,肯皮采
Kcynia,克齊尼亞
Kąty Wrocławskie,弗羅茨瓦夫的孔蒂
Kargowa,卡爾戈瓦
Kamieńsk,卡緬斯克
Kalety,卡萊蒂
Jutrosin,尤特羅辛
Janowiec Wielkopolski,大波蘭地區亞諾維茨
Jabłonowo Pomorskie,波莫瑞地區亞布沃諾沃
Osieczna,奧謝奇納
Opalenica,奧帕萊尼察
Odolanów,奧多拉努夫
Obrzycko,奧布日茨科
Nowogrodziec,諾沃格羅傑茨
Nowe Warpno,新瓦爾普諾
Nieszawa,涅沙瓦
Murowana Goślina,穆羅瓦納-戈希利納
Mrocza,姆羅恰
Moryń,莫倫
Mogilno,莫吉爾諾
Młynary,姆維納雷
Miłosław,米沃斯瓦夫
Miłomłyn,米沃姆溫
Mikstat,米克斯塔特
Mieszkowice,梅什科維采
Miejska Górka,梅伊斯卡古爾卡
Międzyzdroje,緬濟茲德羅耶
Maszewo,馬謝沃
Margonin,馬爾戈寧
Sobótka,索布特卡
Śmigiel,希米蓋爾
Ślesin,希萊辛
Sławków,斯瓦夫庫夫
Sława,斯瓦瓦
Skoki,斯科基
Skępe,斯肯佩
Skała,斯卡瓦
Siewierz,謝維日
Sieraków,謝拉庫夫
Sianów,夏努夫
Rzepin,熱平
Rydzyna,雷濟納
Rychwał,雷赫瓦烏
Lubniewice,盧布涅維采
Lubawa,盧巴瓦
Łobżenica,沃布熱尼察
Lipiany,利皮亞內
Lidzbark,利茲巴克
Łasin,瓦辛
Łabiszyn,瓦比申
Krzepice,克熱皮采
Kruszwica,克魯什維察
Krośniewice,克羅希涅維采
Krobia,克羅比亞
Krajenka,克拉延卡
Kożuchów,科茹胡夫
Koziegłowy,科傑格沃維
Kostrzyn,科斯琴
Recz,雷奇
Raszków,拉什庫夫
Rakoniewice,拉科涅維采
Radziejów,拉傑尤夫
Przedecz,普熱代奇
Praszka,普拉什卡
Prabuty,普拉布蒂
Poniec,波涅茨
Polanów,波拉努夫
Pogorzela,波戈熱拉
Pobiedziska,波別濟斯卡
Płaszów,克拉科夫-普拉佐集中营
Piotrków Kujawski,庫亞維地區彼得庫夫
Piława Górna,上皮瓦瓦
Pieszyce,佩希采
Pieńsk,片斯克
Piechowice,佩霍維采
Pełczyce,佩烏奇采
Pakość,帕科希奇
Pajęczno,帕延奇諾
Paczków,帕奇庫夫
Otmuchów,奧特穆胡夫
Ostroróg,奧斯特羅魯格
Wieruszów,維魯舒夫
Wielichowo,維利霍沃
Więcbork,溫茨堡
Węgliniec,文格利涅茨
Tychowo,蒂霍沃
Tuszyn,圖申
Tuczno,圖奇諾
Trzemeszno,切梅什諾
Torzym,托日姆
Tolkmicko,托爾克米茨科
Szlichtyngowa,什利赫滕戈瓦
Szczyrk,什切爾克
Szadek,沙代克
Sucha Beskidzka,貝斯基德地區蘇哈
Strzelno,斯切爾諾
Stryków,斯特雷庫夫
Żychlin,日赫林
Żuromin,茹羅明
Złoczew,茲沃切夫
Żerków,熱爾庫夫
Zelów,澤盧夫
Zduny,茲杜內
Zbąszynek,兹邦希内克
Zbąszyń,茲邦申
Żarki,札基
Zalewo,扎萊沃
Zagórów,扎古魯夫
Wysoka,維索卡
Wyrzysk,維日斯克
Wołczyn,沃烏琴
Wolbrom,沃爾布羅姆
Wojcieszów,沃伊切舒夫
Witnica,維特尼察
Witkowo,維特科沃
Górnik Zabrze,戈爾尼克扎布熱
Halinów,哈利努夫
Grzechotki,格热霍特基
Raciąż,拉瓊日
Przecław,普熱茨瓦夫
