George Washington,乔治·华盛顿
Jacob Appelbaum,雅各·阿貝爾鮑姆
Laura Berg,劳拉·伯格
Peter J. Denning,彼得·丹宁
Dwight D. Eisenhower,德怀特·艾森豪威尔
Hillary Clinton,希拉里·克林顿
Brigetta Barrett,布丽吉塔·巴雷特
Jennifer Suhr,詹尼弗·蘇爾
Curtis LeMay,柯蒂斯·李梅
Tracy Morgan,特雷西·摩根
Lindsey Vonn,林赛·沃恩
Melvin Calvin,梅尔文·卡尔文
Louis Plack Hammett,路易斯·普拉克·哈米特
James Bryant Conant,詹姆斯·布莱恩特·科南特
Aloe Blacc,阿洛伊·布萊克
Liza Minnelli,麗莎·明尼利
Dizzy Gillespie,迪齐·吉莱斯皮
Ronald Reagan,罗纳德·里根
Michael Chekhov,米高·卓可夫
Ira Remsen,雷姆森
Herbert Matthews,赫伯特·马修斯
Ron Paul,榮·保羅
James T. Kirk,詹姆斯·T·柯克
Leslie Nielsen,萊斯里·尼爾森
Tom Hanks,汤姆·汉克斯
Bruce Lee,李小龍
Selena Gomez,赛琳娜·戈麦斯
Dan Brown,丹·布朗
Arnold Schwarzenegger,阿诺·施瓦辛格
Alfred Hitchcock,阿尔弗雷德·希区柯克
Loretta Preska,洛雷塔·普莱斯卡
Cass Elliot,卡丝·埃利奥特
Sasha Grey,莎夏·葛蕾
Colin Kaepernick,科林·卡佩尼克
Johnny Nash,约翰尼·纳什
Michael Jackson,迈克尔·杰克逊
Emily Warren Roebling,艾米丽·沃伦·罗布林
Leon Cooper,利昂·库珀
Solomon Burke,所羅門·柏克
Leonard Nimoy,伦纳德·尼莫伊
Fox Mulder,福克斯·穆德
William Thomas Hamilton,威廉·托马斯·汉密尔顿
Angelo Taylor,安傑洛·泰勒
Charles Simonyi,查尔斯·西蒙尼
Dana Scott,达纳·斯科特
Andrew Rubin,安迪·鲁宾
Tess Gerritsen,泰絲·格里森
Carolyn Talcott,Carolyn Talcott
Éva Tardos,陶尔多什·埃娃
Louis C.K.,路易·C·K
Ginni Rometty,吉妮·罗梅蒂
Kanye West,肯伊·威斯特
Chuck Norris,查克·羅禮士
Ellen Swallow Richards,艾倫·愛華露·理查茲
John Romita Jr.,小約翰·羅密塔
Johanna Braddy,喬安娜·布蘭迪
Daniel Morgan,丹尼爾·摩根
Igor Stravinsky,伊戈尔·费奥多罗维奇·斯特拉文斯基
Catherine Opie,凱薩琳·歐佩
John William Tebbel,約翰·威廉·特布爾
James Rhyne Killian,占士·賴恩基利安
Julius Adams Stratton,朱利叶斯·亚当斯·斯特拉顿
Annette Salmeen,安妮特·沙尔文
Humphrey Bogart,亨弗萊·鮑嘉
John Coltrane,約翰·柯川
Charles W. Freeman,傅立民
Bruce Willis,布鲁斯·威利斯
Dana Scully,丹娜·斯嘉麗
Béla Bartók,巴托克·贝拉
Charles K. Kao,高錕
Saul Bellow,索尔·贝娄
DeForest Kelley,德佛瑞斯特·凱利
Mark Twain,马克·吐温
Trent Lott,特倫特·洛特
Hilda Solis,希尔达·索利斯
Susan Rice,苏珊·赖斯
Phil Hill,菲利普·托尔·希尔
Geoffrey Arend,傑佛里·亞倫
Jeannette Wing,周以真
Robin Williams,羅賓·威廉斯
Geronimo,傑羅尼莫
Mazie Hirono,廣野慶子
Ed O'Neill,艾德·奥尼尔
Edgar Allan Poe,爱伦·坡
Kaley Cuoco,凯莉·库柯
William Terry,威廉·特里
James K. Gibson,詹姆斯·K·吉布森
Patrick Conley,帕特里克•康利
Pamela Anderson,帕梅拉·安德森
Robert Mitchum,罗伯特·米彻姆
Heidi Heitkamp,海迪·海特坎普
Ted Stevens,泰德·史蒂芬
Willoughby Newton,威洛比·牛頓
Lil Wayne,小韋恩
Todd Russell Platts,托德·羅素普·拉茨
Jack Angel,杰克·安杰尔
Frances Yao,储枫
Kerron Clement,克伦·克莱门特
Bershawn Jackson,伯肖恩·杰克逊
Henry P. Alexander,亨利·P·亚历山大
Quentin Tarantino,昆廷·塔伦蒂诺
James Dean,占士·甸
Andre Agassi,安德烈·阿加西
Randy Pausch,兰迪·波许
Ray William Johnson,雷·威廉·約翰遜
James D. Watson,詹姆斯·杜威·沃森
John Gregg,約翰·格雷格
Amelia Earhart,阿梅莉亚·埃尔哈特
Eleanor Roosevelt,埃莉诺·罗斯福
John McEnroe,約翰·麥肯羅
Steve Martin,史提夫·馬丁
D. W. Griffith,大衛·格里菲斯
Mária Telkes,玛丽亚·泰尔克斯
Ira Sachs,艾拉·薩克斯
Cary Grant,加里·格兰特
Myrtle Bachelder,默特尔·克莱尔·巴舍尔德
Richard Stallman,理查德·斯托曼
Debbie Wasserman Schultz,黛比·舒爾茲
Richard Dysart,理查·戴薩特
Cannonball Adderley,加農炮艾德利
Elaine Weyuker,艾琳·韋約克
Isabel Allende,伊莎贝尔·阿连德
Richard Steven Horvitz,理查德·史蒂文·霍维茨
Tara Strong,塔拉·斯特朗
Gary Oldman,加里·奥德曼
Dwight Buycks,德懷特·拜克斯
Karen Wetterhahn,卡伦·韦特豪恩
Michael Weston,迈克尔·温斯顿
Claudia Wells,克劳迪娅·威尔斯
Harvey Milk,哈維·米爾克
Soong May-ling,宋美齡
Ana Lucia Cortez,安娜-露西亞·科特斯
Anthony Quinn,安东尼·奎恩
John Munro Longyear,約翰·朗伊爾
Mad Hatter,瘋帽匠
King Vidor,金·維多
Libby Smith,伊丽莎白·「莉比」
Len Wein,莱恩·韦恩
John Ford,約翰·福特
A.J. Styles,A·J·史泰爾斯
Hugo "Hurley" Reyes,休戈·「赫利」·瑞斯
Miles Straume,麥爾斯·斯特勞姆
James "Sawyer" Ford,詹姆斯·「索耶」·福特
Walt Lloyd,沃特·勞伊德
Edward G. Robinson,爱德华·罗宾逊
Kathleen Antonelli,凯瑟琳·安东内利
Robert Curl,罗伯特·柯尔
Julie Delpy,茱莉·蝶兒
Anousheh Ansari,阿努什·安萨里
John von Neumann,约翰·冯·诺伊曼
Wally Schirra,瓦尔特·施艾拉
Grace Kelly,格蕾丝·凯利
Ed Sullivan,埃德·沙利文
Milo Ventimiglia,米洛·文提米利亞
Tod Browning,托德·布朗寧
Leonard B. Jordan,伦纳德·B·乔丹
Lester Young,莱斯特·杨
Mary Anderson,玛丽·安德森
Rouben Mamoulian,魯賓·馬莫利安
Joseph E. Stiglitz,约瑟夫·斯蒂格利茨
Jeffrey Garcia,傑佛瑞·賈西亞
Duke Ellington,艾靈頓公爵
Kevin Rudolf,凱文·魯道夫
"Albert II, Prince of Monaco",阿尔贝二世
Art Garfunkel,亚特·加芬克尔
Shannon Rutherford,香農·盧瑟福
Frank Lapidus,法蘭克·萊帕達斯
Martin Keamy,馬丁·克米
Basil Poledouris,巴素·保利杜維斯
Robert A. Dahl,羅伯·道爾
Tony Oller,托尼·奥勒
Hermann Joseph Muller,赫尔曼·约瑟夫·马勒
Carmen Argenziano,卡蒙·亞金札諾
Kate Austen,凱特·奧斯頓
John Locke,約翰·洛克
Michael Dawson,麥可·道森
Boone Carlyle,布恩·卡萊爾
Jack Shephard,傑克·謝潑德
Juliet Burke,茱莉葉·柏克
Donald Knuth,高德纳
Rebecca Black,瑞贝卡·布莱克
Nora Stanton Blatch Barney,诺拉·斯坦顿·巴尼
Oscar Robertson,奥斯卡·罗伯逊
Sam Peckinpah,山姆·畢京柏
Budd Boetticher,巴德·伯蒂彻
Ben Shenkman,本·申克曼
John Milius,约翰·米利厄斯
Elie Wiesel,埃利·维瑟尔
Karl Barry Sharpless,卡尔·巴里·沙普利斯
M. Night Shyamalan,奈特·沙马兰
John Cassavetes,約翰·卡薩維茲
Gus Grissom,维吉尔·格里森
Alan MacDiarmid,艾伦·麦克德尔米德
Curtis Bernhardt,柯蒂斯·伯恩哈特
Franklin J. Schaffner,法蘭克林·沙夫納
Paul Simon,保罗·西蒙
Jacqueline Cochran,傑奎琳·考克倫
Rosearik Rikki Simons,罗斯里克·里吉·西蒙斯
George Stevens,喬治·史蒂文斯
William Lipscomb,威廉·利普斯科姆
James Cooke Brown,詹姆士·庫克·布朗
Arnold Gesell,阿诺德·格塞尔
John Adams,约翰·库利奇·亚当斯
Frank Capra,法蘭克·卡普拉
John Barry,约翰·巴瑞
Michael Curtiz,麥可·寇蒂斯
Robert Siodmak,羅勃·席歐麥
Bryce Bayer,布萊斯·拜爾
Sam Witwer,薩謬埃爾·威特沃
Steve Jablonsky,史蒂夫·贾布隆斯基
Woody Guthrie,伍迪·蓋瑟瑞
Zalmay Khalilzad,扎勒米·哈利勒扎德
F. Sherwood Rowland,弗兰克·舍伍德·罗兰
William Bartram,威廉·巴特拉姆
Zalman King,薩曼·金
Karl Landsteiner,卡尔·兰德施泰纳
John M. Clayton,约翰·M·克莱顿
Forrest J Ackerman,福裡斯特·阿克曼
Frank Borman,弗兰克·博尔曼
Henry Molaison,亨利·莫萊森
Michael Todd,迈克尔·托德
Rhoda Griffis,朗達·格里夫斯
Thomas Jane,托马斯·简
William Julius Wilson,威廉姆·朱利叶斯·威尔逊
Peter Drucker,彼得·德鲁克
Kayla Ewell,凱拉·伊威爾
Zakk Wylde,扎克·懷德
Gunning Bedford Jr.,小冈宁·贝德福德
CeeLo Green,希洛·格林
Shaun Toub,肖恩·托布
Matthew Michael Carnahan,马修·迈克尔·卡纳汉
Gregory Smith,格雷戈里·史密斯
Ivan Illich,伊凡·伊利奇
Ruth Brown,露絲·布朗
Robert Taylor,罗伯特·泰勒
Billy Wilder,比利·懷德
Mike Nichols,邁克·尼科爾斯
Vincente Minnelli,文森特·明内利
Karl von Terzaghi,K. 泰尔扎吉
Bruno Bettelheim,布鲁诺·贝特尔海姆
Hans Kelsen,汉斯·凯尔森
Hermann Broch,赫尔曼·布洛赫
Wilhelm Reich,威廉·赖希
Ludwig von Mises,路德維希·馮·米塞斯
Veronica Lake,维罗妮卡·莱克
Miloš Forman,米洛斯·福曼
Jim Lovell,吉姆·洛弗尔
Stephen Trask,史蒂芬·特拉斯克
Josef Hoffmann,約瑟夫·霍夫曼
Richard Neutra,理查·努特拉
William Wyler,威廉·惠勒
Edwin McMillan,埃德温·麦克米伦
Gene Robinson,基恩·羅賓遜
Kevin Willis,凯文·威利斯
Sidney Lumet,薛尼·盧梅
Stanford Moore,斯坦福·摩尔
William Standish Knowles,威廉·斯坦迪什·诺尔斯
Elmer Bernstein,埃尔默·伯恩斯坦
John Hollenbeck,约翰·霍伦贝克
Zal Yanovsky,扎爾·亞諾夫斯基
George A. Romero,喬治·安德魯·羅梅羅
Sydney Pollack,西德尼·艾爾文·波拉克
John Landis,約翰·藍迪斯
Alan J. Pakula,艾倫·帕庫拉
Ernst Lubitsch,恩斯特·劉別謙
Samuel P. Huntington,塞繆爾·P·亨廷頓
Arthur P. Jacobs,亞瑟·P·雅各
Ryan Newman,萊恩·惠特妮·紐曼
Gregory Itzin,格雷戈里·艾辛
Luise Rainer,露薏絲·蕾娜
Tjalling Koopmans,特亚林·科普曼斯
Peter DeLuise,彼得·德路易斯
John Huston,约翰·休斯顿
Laurie Holden,蘿莉·荷登
Henry Lehrman,亨利·勒曼
George Roy Hill,乔治·罗伊·希尔
Maria Altmann,瑪麗亞·阿特曼
Gerda Lerner,格爾達·勒納
Spike Lee,史派克·李
James Ivory,詹姆斯·艾佛利
Carol Shaw,卡蘿·蕭爾
Taboo,Taboo
Subrahmanyan Chandrasekhar,蘇布拉馬尼揚·錢德拉塞卡
Dina Merrill,狄娜·麥爾
Rudi Fehr,鲁迪·费尔
Milt Gabler,密爾·蓋博勒
Celia Lovsky,西莉亞·洛夫斯基
Peter L. Berger,彼得·柏格
Michael Dante DiMartino,迈克尔·但丁·迪马蒂诺
Maximilian Berlitz,马克西米利安·贝立兹
Irene Lentz,艾琳
Otto E. Neugebauer,奧托·紐格伯爾
Karl Herzfeld,卡尔·赫茨菲尔德
Franz Planer,弗朗茨·普拉纳
Franz Josef Kallmann,弗朗茨·约瑟夫·卡尔曼
Bibi Besch,比比·贝施
Ingo Preminger,英戈·普雷明格
John Gavin,約翰·加文
William Friedkin,威廉·弗莱德金
Howard Hawks,霍華·霍克斯
Skrillex,史奇雷克斯
Joseph L. Mankiewicz,约瑟夫·曼凯维奇
Bryan Konietzko,布莱恩·科尼祖克
Jim Wynorski,吉姆·懷諾斯基
Lorenzo Lamas,羅倫佐·拉瑪斯
Lena Horne,蓮納·荷恩
Rob Bourdon,罗伯·巴登
Mario Molina,马里奥·莫利纳
Charles Duke,查尔斯·杜克
Zak Penn,塞克·潘
Emma Stone,艾瑪·史東
Henry Fonda,亨利·方达
Hawkeye,鷹眼
Elias Boudinot,伊賴亞斯·保迪諾
Elias Boudinot,埃利亚斯·布迪诺
Brad Delson,布莱德·达尔森
Stacey King,斯塔塞·金
Morris Kirksey,莫里斯·柯克西
DeHart Hubbard,德哈特·哈伯德
Leon Henkin,萊昂·亨金
Joseph Hahn,喬瑟夫·漢恩
Nathan Barr,內森·包爾
Zane Grey,赞恩·格雷
Zane Huett,扎內·霍埃特
Mike Shinoda,麥克·篠田
James Rector,詹姆斯·雷克托
Minnie Bruce Pratt,樸蜜妮
LL Cool J,LL Cool J
Dale Dye,戴爾·戴伊
Gottfried Reinhardt,戈特弗里德·賴因哈特
Wesley So,苏伟利
Peter J. Katzenstein,彼得·卡岑斯坦
Joseph Urban,约瑟夫·厄本
Heidemarie Stefanyshyn-Piper,海德玛丽·斯特凡尼斯海宁-皮珀
Ernest Dichter,欧内斯特·迪希特
Josh Duhamel,喬許·杜默
Indiana Jones,印第安纳·琼斯
Frances Spence,弗朗西丝·斯彭斯
Alfred Schild,阿爾弗雷德·施爾德
Chester Bennington,查斯特·班寧頓
Ruth Teitelbaum,露丝·泰特尔鲍姆
Bob Beamon,鲍勃·比蒙
Lew Rockwell,盧埃林·羅克維爾
Carl Johnson,卡尔·约翰逊
Alana Beard,阿兰娜·比尔德
Edgar Rice Burroughs,埃德加·赖斯·巴勒斯
Mahani Teave,马哈尼·蒂芙
John Tsang,曾俊華
Jim Grabb,吉姆·格拉柏
Maya Angelou,马娅·安杰卢
Jacob M. Appel,雅各布·阿佩尔
Charles Vidor,查里士·維多
Robert L. Bernstein,罗伯特·L·伯恩斯坦
Ray Ewry,雷·尤里
Fritz Heider,弗里茨·海德
Tommie Smith,汤米·史密斯
Ernst von Glasersfeld,恩斯特·凡·葛拉瑟菲爾德
Ida Lupino,艾达·卢皮诺
Edwin Moses,埃得溫·摩西
Bob Mathias,鮑勃·馬蒂亞斯
Joey King,喬伊·金
Fritz Lang,弗里茨·朗
Nova,新星
James Euringer,吉米·優林
John Friedmann,约翰·弗里德曼
Vernon Ingram,弗儂·恩格林
Mike Grell,邁克·格雷爾
Friedrich Torberg,弗里德里希·托貝格
Lizard,蜥蜴人
Leo Alexander,李奧·亞歷山大
Bill Anders,威廉·安德斯
Maxine Hong Kingston,汤婷婷
Pat Buchanan,帕特·布坎南
