Latvija,라트비아
Rīgas Valsts 1. ģimnāzija,리가 국립 제1 김나지움
Latvieši,라트비아인
FK Jelgava,FS 옐가바
Daugavpils rajons,다우가프필스구
Vidzeme,비제메
Jelgavas rajons,옐가바구
FK Ventspils,FK 벤츠필스
Lībiešu valoda,리보니아어
Skonto FC,스콘토 FC
Ludzas rajons,루자구
Dzintara ceļš,호박의 길
Talsi,탈시
Starptautiskā lidosta "Liepāja",리에파야 국제공항
Vaiņodes novads,바이뇨데시
Rīgas "Dinamo",디나모 리가
Ogre,오그레
FB Gulbene,FB 굴베네
Salaspils,살라스필스
Preiļu rajons,프레일리구
Bauskas rajons,바우스카구
Cēsu rajons,체시스구
Gulbenes rajons,굴베네구
Valkas rajons,발카구
Dobeles rajons,도벨레구
Latgaliešu valoda,라트갈레어
Sēļu valoda,셀로니아어
Baltijas valstis,발트 3국
Lielvārdes novads,리엘바르데시
Dzelzceļa līnija Rīga—Lugaži,리가-루가지선
Dzelzceļa līnija Glūda—Reņģe,글루다-렌제선
.lv,.lv
Krāslavas rajons,크라슬라바구
Madonas rajons,마도나구
Latvija olimpiskajās spēlēs,올림픽 라트비아 선수단
Saldus,살두스
Ludza,루자 (라트비아)
Krievi,러시아인
Baltijas valstu okupācija,소비에트 연방의 발트 3국 점령
Alūksne,알룩스네
Madona,마도나
Dziesmotā revolūcija,노래 혁명
Gulbene,굴베네
Grobiņa,그로비냐
Latvijas administratīvais iedalījums,라트비아의 행정 구역
Lielvārde,리엘바르데
Pērkonkrusts,천둥십자당
Rēzeknes rajons,레제크네구
Preiļi,프레일리
Latvijas eiro monētas,라트비아의 유로 주화
Ventspils rajons,벤츠필스구
Daugavpils,다우가프필스
AirBaltic,에어발틱
FK Liepājas Metalurgs,FK 리에파야스 메탈루르크스
Latvijas futbola Virslīga,비르스리가
Balvu rajons,발비구
Alūksnes rajons,알룩스네구
Pļaviņu novads,플랴비냐스시
Naukšēnu novads,나욱셰니시
Kokneses novads,코크네세시
Aknīstes novads,아크니스테시
Brocēnu novads,브로체니시
Ventspils,벤츠필스
Dievturība,디에브투리바
Starptautiskais E ceļu tīkls,유럽 고속도로
Ask.fm,Ask.fm
Rīgas pils,리가성
Latvijas dzelzceļš,라트비아 철도
Valka,발카
Baldone,발도네
Mikrotīkls,미크로틱
Dzelzceļa līnija Torņakalns—Tukums II,토르냐칼른스-투쿰스 II선
Cēsis,체시스
Valmiera,발미에라
FC Daugava,FC 다우가바
Pārkrievošana,러시아화
Brīvības piemineklis,자유 기념비
Latvijas Republikas Ministru prezidents,라트비아의 총리
Baltijas tīģeri,발트의 호랑이
SK Blāzma,SK 블라즈마
Rīgas apriņķis,리가스 아프린치스
Latvija 1924. gada ziemas olimpiskajās spēlēs,1924년 동계 올림픽 라트비아 선수단
Latvija 2010. gada ziemas olimpiskajās spēlēs,2010년 동계 올림픽 라트비아 선수단
Latvija 1928. gada ziemas olimpiskajās spēlēs,1928년 동계 올림픽 라트비아 선수단
Lats,라트비아 라츠
Baltijas Kauss futbolā,발틱컵
Latvija 2006. gada ziemas olimpiskajās spēlēs,2006년 동계 올림픽 라트비아 선수단
Daugavpils novads,다우가프필스시
Latvijas diplomātisko misiju uzskaitījums,라트비아의 재외공관 목록
Latvija 1996. gada vasaras olimpiskajās spēlēs,1996년 하계 올림픽 라트비아 선수단
"Dievs, svētī Latviju",라트비아의 국가
Kuldīga,쿨디가
Vienotība,단결 (라트비아)
RFS,FK RFS
Liepājas partija,리에파야당
Latvijas Pareizticīgā Baznīca,라트비아 정교회
Dienas Lapa,디에나스 라파
Latgaļi,라트갈레인
Latvijas sieviešu futbola izlase,라트비아 여자 축구 국가대표팀
Abrenes apriņķis,압레네 지역
Visu Latvijai,모두를 위한 라트비아!
Vācbaltieši,발트 독일인
Latvijas Olimpiskā komiteja,라트비아 올림픽 위원회
Latviešu virtuve,라트비아 요리
Rīgas vagonbūves rūpnīca,리가 차량 제작 공장
Limbaži,림바지
Liepāja,리에파야
Zaļo un Zemnieku savienība,녹색농민연합
Somi,핀인
Rīgas līcis,리가만
Līgatnes novads,리가트네시
Vārkavas novads,바르카바시
Katolicisms Latvijā,라트비아의 로마 가톨릭교회
Vispārējie latviešu Dziesmu un Deju svētki,라트비아의 노래와 춤의 축전
Latvijas Nacionālā bibliotēka,라트비아 국립도서관
Rudzu maize,호밀빵
Latvijas Zaļā partija,라트비아 녹색당
Mūsa,무샤강
Aldaris (uzņēmums),알다리스
Latvijas—Krievijas miera līgums,라트비아-소련 리가 평화 조약
Rīgas HES,리가 수력 발전소
FK Auda,FK 아우다
Latvijas Zemnieku savienība,라트비아 농민연합
Tēvzemei un Brīvībai/LNNK,조국과 자유를 위해/LNNK
Latvijas Krievu savienība,라트비아 러시아계 연합
Latvijas hokeja izlase,라트비아 아이스하키 국가대표팀
Ventspils novads,벤츠필스시
Latvijas Nacionālais mākslas muzejs,라트비아 국립미술관
Mēmele,네무넬리스강
Latvijas Republikas proklamēšanas diena,라트비아 공화국 선포일
Sports Latvijā,라트비아의 스포츠
Latvija 2014. gada ziemas olimpiskajās spēlēs,2014년 동계 올림픽 라트비아 선수단
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",국민연합 (라트비아)
FK Metta,FK 메타
Nasdaq Riga,나스닥 리가
Latvijas Tautas fronte,라트비아 인민전선
Baltijas valstu augstākās ēkas,발트 3국의 마천루 목록
Jāņi,야니 (라트비아의 축제)
Viļakas novads,빌랴카시
Valkas novads,발카시
Auces novads,아우체시
Pāvilostas novads,파빌로스타시
Romualds Ražuks,로무알츠 라죽스
Eiropas autoceļš E262,유럽 고속도로 262호선
Rugāju novads,루가이시
Amatas novads,아마타시
Latvijas saimniecība,라트비아의 경제
Vecpiebalgas novads,베츠피에발가시
Latvijas politisko partiju uzskaitījums,라트비아의 정당
Miķeļi,미켈리 (라트비아의 기념일)
Aglonas novads,아글로나시
Atmoda Latvijai,진심으로 라트비아를 위하여
Ilūkstes novads,일룩스테시
Kandavas novads,칸다바시
Baldones novads,발도네시
Durbes novads,두르베시
Ciblas novads,치블라시
Nīcas novads,니차시
Rupjmaize,루피마이제
Lielveikala "Maxima" sagrūšana Rīgā,리가 슈퍼마켓 지붕 붕괴 사고
Ērgļu novads,에르글리시
Babītes novads,바비테시
Latvijas krievi,러시아계 라트비아인
Viļānu novads,빌랴니시
Beverīnas novads,베베리나시
FK Liepāja,FK 리에파야
Burtnieku novads,부르트니에키시
Engures novads,엥구레시
Viesītes novads,비에시테시
FK Spartaks Jūrmala,FK 스파르탁스 유르말라
Jaunpils novads,야운필스시
Ķeguma novads,체굼스시
Lubānas novads,루바나시
Riebiņu novads,리에비니시
Rundāles novads,룬달레시
Raunas novads,라우나시
Rucavas novads,루차바시
PeR,PeR
Latvijai un Ventspilij,라트비아와 벤츠필스를 위하여
Salaspils novads,살라스필스시
Neretas novads,네레타시
Saskaņa,사회민주당 "조화"
Mazsalacas novads,마스살라차시
Salacgrīvas novads,살라츠그리바시
Inčukalna novads,인추칼른스시
Tērvetes novads,테르베테시
Iecavas novads,이에차바시
Ikšķiles novads,익슈칠레시
Krustpils novads,크루스트필스시
Līvānu novads,리바니시
Dundagas novads,둔다가시
Latvijas Reģionu apvienība,라트비아 지역 연합
Rūjienas novads,루이에나시
Vecumnieku novads,베춤니에키시
Stopiņu novads,스토피니시
Priekuļu novads,프리에쿨리시
Strenču novads,스트렌치시
Skrundas novads,스크룬다시
Priekules novads,프리에쿨레시
Kocēnu novads,코체니시
Ozolnieku novads,오졸니에키시
Pārgaujas novads,파르가우야시
Jāņu siers,야니 치즈
Apes novads,아페시
Latvijas demogrāfija,라트비아의 인구
Jaunpiebalgas novads,야운피에발가시
Cesvaines novads,체스바이네시
Grobiņas novads,그로비냐시
Rojas novads,로야시
Krimuldas novads,크리물다시
Kārsavas novads,카르사바시
Latvija 1924. gada vasaras olimpiskajās spēlēs,1924년 하계 올림픽 라트비아 선수단
Aizputes novads,아이스푸테시
Dagdas novads,다그다시
Salas novads,살라시 (라트비아)
Latvija 2000. gada vasaras olimpiskajās spēlēs,2000년 하계 올림픽 라트비아 선수단
Krievvalodīgie,러시아어권
Riga FC,리가 FC
Olaines novads,올라이네시
Jaunjelgavas novads,야우넬가바시
Eiropas autoceļš E264,유럽 고속도로 264호선
Alojas novads,알로야시
Zilupes novads,질루페시
Alūksnes novads,알룩스네시
Par cilvēcīgu Latviju,인간적인 라트비아를 위하여
Latvija 2018. gada ziemas olimpiskajās spēlēs,2018년 동계 올림픽 라트비아 선수단
Ogres novads,오그레시
Madonas novads,마도나시
Ludzas novads,루자시
Limbažu novads,림바지시
Krāslavas novads,크라슬라바시
Kuldīgas novads,쿨디가시
Preiļu novads,프레일리시
Rēzeknes novads,레제크네시
Siguldas novads,시굴다시
Smiltenes novads,스밀테네시
Talsu novads,탈시시
Tukuma novads,투쿰스시
Balvu novads,발비시
Bauskas novads,바우스카시
Aizkraukles novads,아이스크라우클레시
Ķekavas novads,체카바시
Ādažu novads,아다지시
Saulkrastu novads,사울크라스티시
Saldus novads,살두스시
Dobeles novads,도벨레시
Cēsu novads,체시스시
COVID-19 pandēmija,코로나19 범유행
Jēkabpils novads,예캅필스시
Jelgavas novads,옐가바시
COVID-19 pandēmija Latvijā,라트비아의 코로나19 범유행
