Alexandra Stan,알렉산드라 스탄
Andrei Mureșanu,안드레이 무레샤누
Anamaria Vartolomei,아나마리아 바르톨로메이
Ion Crăciunescu,이온 크러치우네스쿠
Vladimir Cosma,블라디미르 코스마
Denis Alibec,데니스 알리베크
Vasile Pușcașu,바실레 푸슈카슈
Ion Negoițescu,이온 네고이체스쿠
Emil Imre,에밀 임레
Cosmin Moți,코스민 모치
Mihail Andricu,미하일 안드리쿠
Colea Răutu,콜레아 러우투
Andrei Pleșu,안드레이 플레슈
Claudiu Keșerü,클라우디우 케셰뤼
Marius Mitu,마리우스 미투
Dragoș Bucur,드라고스 부쿠르
Mihail Sadoveanu,미하일 사도베아누
Mihai Tararache,미하이 타라라케
Ionel Dănciulescu,이오넬 던치울레스쿠
Grigore Gafencu,그리고레 가펜쿠
Panait Cerna,파나이트 체르나
Alice Voinescu,알리체 보이네스쿠
Serge Moscovici,세르주 모스코비치
Doina Ruști,도이나 루슈티
Anghel Iordănescu,안겔 이오르더네스쿠
DJ Sava,DJ 사바
Tamara Costache,타마라 코스타체
Radu Mihăileanu,라두 미허일레아누
Eva Mozes Kor,에바 모제스 코르
Mădălina Manole,마델 리나 마놀
Dana Nălbaru,다나 나타바루
Sergiu Buș,세르지우 부슈
Sever Burada,세베르 부라다
Alexandru Mățel,알렉산드루 마첼
Ana de Bourbon-Parma,안 드 부르봉파르므
Serghei Țvetcov,세르게이 츠베트코프
Béla Károlyi,벨러 카로이
Dan Negru,댄 네그루
Victor Rebengiuc,빅토르 레벤지우크
Gheorghe Plagino,게오르게 플라기노
Ion Vinea,이온 비네아
Cristina Flutur,크리스티나 플루투르
Constantin Virgil Gheorghiu,콘스탄틴 비르질 게오르규
Adela Popescu,아델라 포펙 스쿠
Cristi Puiu,크리스티 푸이우
Cristian Dulca,크리스티안 둘카
Ilarion Ciobanu,일라리온 치오바누
Damian Drăghici,다미안 드러기치
Sergiu Comissiona,세르지우 코미시오나
Dan Petrescu,단 페트레스쿠
Cătălin Botezatu,카탈로니아 어 보테 주투
Cătălin Hîldan,커털린 흘단
Ovidiu Hoban,오비디우 호반
Dumitru Pârvulescu,두미트루 프르불레스쿠
Kehinde Fatai,케힌데 파타이
Diana Bulimar,디아나 불리마르
Tamás Vesmás,타마스 베스마스
Marcel Iureș,마르첼 이우레슈
Monica Bîrlădeanu,모니카 브를러데아누
Constantin Ion Parhon,콘스탄틴 이온 파론
Gheorghe Tattarescu,게오르게 타타레스쿠
Mihail Dragomirescu,미하일 드라고미레스쿠
Loredana Dinu,로레다나 디누
Dorel Vișan,도렐 비산
Mircea Diaconu,미르 시아 디아 코우
Ramona Bădescu,라모나 버데스쿠
Mihaela Buzărnescu,미하엘라 부저르네스쿠
Sergiu Nicolaescu,세르지우 니콜라에스쿠
Ciprian Tătărușanu,치프리안 터터루샤누
Alin Stoica,알린 스토이카
Nicolae Dărăscu,니콜라에 더러스쿠
Corneliu Ion,코르넬리우 이온
Grigore C. Moisil,그리고레 모이실
Diana Dondoe,디아나 돈도에
Ion Călugăru,이온 컬루거루
Dumitru Fărcaș,두미트루 퍼르카슈
Adrian Mihalcea,아드리안 미할체아
Vasile Pogor,바실레 포고르
Ștefan Petrescu,슈테판 페트레스쿠
Gheorghe Vitanidis,게오르게 비타니디스
Ludovic Orban,루도비크 오르반
Bogdan Stancu,보그단 스탄쿠
Margareta a României,마르가레타 데 로므니아
Tibor Selymes,티보르 셀리메스
Ecaterina Teodoroiu,에카테리나 테오도로이우
Diet Sayler,디트 자일러
Ion Besoiu,이온 베소이우
Tiberiu Popoviciu,티베리우 포포비치우
Jean Claude Adrimer Bozga,장클로드 보즈가
Dimitrie D. Pompeiu,디미트리에 폼페이우
Klaus Iohannis,클라우스 이오한니스
Marius Moga,마리우스 모가
Alina Eremia,알리나 에레미아
Mihail Jora,미하일 조라
Constantin Gâlcă,콘스탄틴 글커
Alin Moldoveanu,알린 몰도베아누
Preda Mihăilescu,프레다 미허일레스쿠
Daniel Pancu,다니엘 판쿠
Ion C. Inculeț,이온 인쿨레츠
George Ștefănescu,제오르제 슈테퍼네스쿠
Dimitrie Cuclin,디미트리에 쿠클린
Paul Constantinescu,파울 콘스탄티네스쿠
Marius Popa,마리우스 포파
Eduard Stăncioiu,에두아르드 스턴치오이우
Mihai Covaliu,미하이 코발리우
Cătălin Țăranu,카타린 타라누
Nicolae Cajal,cajal
Sebastian Papaiani,세바스티안 파파이아니
Albert-László Barabási,알버트 라즐로 바라바시
Mădălina Ghenea,머덜리나 디아나 게네아
Constantin Nica,콘스탄틴 니카
Mihaela Rădulescu,미하 엘라 룰 레스 쿠
Lucian Bute,루시언 부테
Alexandru Șerbănescu,알렉산드루 셰르버네스쿠
Anca Radici,안카 라디치
Iosif Tâlvan,이오시프 틀반
Gabriela Niculescu,가브리엘라 니쿨레스쿠
Cristian Tănase,크리스티안 터나세
Gabriel Cotabiță,가브리엘 코타 비타
Geo Da Silva,지오 다 실바
Andrei Ropcea,랜디
Iulian Arhire,율리안 아르히레
Andra,안드라
Antoine Goléa,앙트와느 골레아
Constantin Silvestri,콘스탄틴 실베스트리
Mosko Alkalai,모스코 알카라이
Vlad Ivanov,블라드 이바노브
Alexandru Philippide,알렉산드루 필리피데
Nicolae Titulescu,니콜라에 티툴레스쿠
Aurelia Brădeanu,아우렐리아 브러데아누
Aurel Stroe,아우렐 스트로에
Elena Meissner,엘레나 메이스네르
Nicolae Martinescu,니콜라에 마르티네스쿠
Cristian Pop,크리스티안 팝
Grigore Cugler,그리고레 쿠글레르
George Călinescu,게오르게 컬리네스쿠
Constantin Barbu,콘스탄틴 바르부
Liviu Dragnea,리비우 드라그네아
Lucian Grigorescu,루치안 그리고레스쿠
Leo Grozavu,레온틴 그로자부
Elisabeta Bostan,엘리자베스 보스 탄
Horia Brenciu,호 리아 브렌 시우
Hilda Jerea,힐다 제레아
Gabriel Liiceanu,가브리엘 리차누
Steliano Filip,스텔리아노 필리프
Cătălin Moroșanu,커털린 모로샤누
Ádám Bodor,보도르 아담
Roxana Luca,록사나 루카
Rareș Dumitrescu,라레슈 두미트레스쿠
Dragoș Băjenaru,드라고슈 바제나루
Marian Petrescu,마리안 페트레스쿠
Adrian Popa,아드리안 포파
Matila Ghyka,마틸라 기카
Alexandru Ciucurencu,알렉산드루 치우쿠렌쿠
Horia-Roman Patapievici,호리아로만 파타피에비치
Marius Cristian Negrea,마리우스 네그레아
Ionuț Luțu,이온 루추
Mihai Morar,미하이 모라르
Mihai Balan,미하이 발란
Oana Gregory,오아나 그레고리
Andrei Folbert,안드레이 폴베르트
Irina Loghin,이리나 로긴
Mina Minovici,미나 미노비치
Andreea Marin,안드레아 마린
Andreea Esca,안드레아 에스카
Mircea Nedelciu,미르차 네델치우
Amos Guttman,아모스 구트만
Ada Condeescu,아다 콘데스쿠
Adrian Păduraru,애드리안 파라 두루
Dan Condurache,댄 콘두라체
Ioan D. Chirescu,이오안 두미트루 키레스쿠
Octav Onicescu,옥타브 오니체스쿠
Serafina Moritz,세라피나 모리츠
Vasilica-Viorica Dăncilă,비오리카 던칠러
Alexandra Bădoi,알렉산드라 바도이
Nicoleta Luciu,니콜 레타 루치 우
Diana Lupescu,다이아나 루페 스쿠
Alexandru Bocăneț,알렉산드 루 보카 네트
Pacha Man,파차 맨
Perpessicius,페르페시치우스
Alexandra Ungureanu,알렉산드라 우 구레 아누
Alexandru Repan,알렉산드루 레판
Pavel Bartoș,파벨 바르 토스
Gheorghe Ucenescu,게오르게 우체네스쿠
Gheorghe Țițeica,게오르게 치체이카
Dorin Rotariu,도린 로타리우
Ion Jinga,이온 진가
Anca Țurcașiu,앙카 투르 카시 우
Smiley,스마일리
Andreea Raicu,안드레아 라이 쿠
Gheorghe Cucu,게오르게 쿠쿠
Ecaterina Oproiu,에카테리나 오프로이우
Angela Similea,안젤라 시밀레아
Răzvan Vasilescu,러즈반 바실레스쿠
Augustin Bena,아우구스틴 베나
Aurelia Fătu-Răduțu,아우렐리아 퍼투러두추
Lazăr Dragoș,라저르 드라고슈
Tora Vasilescu,토라 바실 레스 쿠
Florica Bagdasar,플로리카 바그다사르
Laurențiu Profeta,라우렌치우 프로페타
Lora,로라
Geo Saizescu,제오 사이제스쿠
Caius Iacob,카이우스 이아코브
Ion Nonna Otescu,이온 노나 오테스쿠
Vasile Caciureac,바실레 카치우레아크
Laura-Ioana Paar,라우라 이오아나 파르
Manuela Hărăbor,마뉴 엘라 하르 바하
Gabriel Spahiu,가브리엘 스파히우
Magda Catone,마그다 카토네
Coca Andronescu,코카 안드로네스쿠
Nicolae Dinculeanu,니콜라에 딘쿨레아누
Mihai Petre,미하 페트르
Corina Dănilă,코리나 다닐라
Oana Sârbu,오아나 사부
Oana Zăvoranu,오아나 자 봐라 누
Mihai Gruia Sandu,산두 미하이 그루 시아
Mihai Tudose,미하이 투도세
Octavian Cotescu,옥타비안 코테스쿠
Ovidiu Niculescu,오비 디우 니쿨 레스 쿠
Horea Paștina,호레아 파슈티나
Maria Ploae,마리아 플 레이어
Șerban Pavlu,세르반 파블루
Gabriela Firea,가브리엘라 피레아
Ștefan Minovici,슈테판 미노비치
Mirela Zeța,미렐 라 제에 사
Nae Caranfil,나오 카란필
Puiu Călinescu,푸이우 컬리네스쿠
Dorian Popa,도리아 포파
Cristian Manea,크리스티안 마네아
Florin Tănase,플로린 터나세
Ianis Hagi,이아니스 하지
Nicolae Minovici,니콜라에 미노비치
Ioana Loredana Roșca,이오아나 로레다나 로슈카
Dana Rogoz,다나로 고즈
Sesto Pals,세스토 팔스
Sonia Ursu-Kim,김소니아
Maria Pătrașcu,마리아 퍼트라슈쿠
Valentin Teodosiu,발렌틴 테오도시우
Iulian Teodosiu,이울리안 테오도시우
Doina Bumbea,도이나 붐베아
Florin Andone,플로린 안도네
Kázím Abdulakim,카짐 압둘라킴
Maia Sandu,마이아 산두
Florin Zamfirescu,플로린 잠피레스쿠
Marius Florea Vizante,마리우스 플로레아 비잔테
Tatiana Iekel,타티아나 이에켈
Teo Trandafir,테오 트란 다피르
Mihai Drăguș,미하이 드라구스
Ștefania Mărăcineanu,Ștefania 마라시네아누
Teodor Corban,테오도르 코반
Victor Slav,빅터 슬라브
Eugen Teodorovici,에우젠 테오도로비치
Aurelia Cristea,아우렐리아 크리스테아
Alexandru Papadopol,알렉산드루 파파도폴
Tudor Caranfil,튜더 카란 필
Matei Balș,마테이 발스
Traian T. Coșovei,트라이안 T. 코쇼베이
Dumitru Bagdasar,두미트루 바그다사르
Olguța Berbec,올거타 양자리
Sorin Grindeanu,소린 그린데아누
Dimitrie Știubei,디미트리에 슈티우베이
Sergiu Luca,세르쥬 루카
Daniel Buzdugan,다니엘 부두던
Valeria Seciu,발레리아 시큐 우
Valentin Popescu,발렌틴 포 펙스 쿠
Oana Nechiti,오아 네 네히티
Sorin Cîmpeanu,소린 심페아누
Simona Pop,시모나 포프
Sergiu Hanca,세르지우 한카
Cristian Ganea,크리스티안 가네아
Emilia Comișel,에밀리아 코미셸
Petre Roșca,페트레 로쉬카
Ana Ularu,안나 울라루
Marcel Ciolacu,마르첼 치올라쿠
Constantin Diplan,콘스탄틴 디플란
Marcel Lăzăreanu,마르첼 라자네아누
Alina Chivulescu,알리나 치 블레 스쿠
Ionuț Silaghi de Oaș,이오누츠 실라기
Cătălin Carp,커털린 카르프
Ludmila Balan,루트밀라 바실리예프 벌란
Andreea Diaconu,안드레아 디아코누
Robert Glință,로베르트 글린처
Olimpia Melinte,올림피아 멜린테
Sore Mihalache,소 아 미할 라슈
Henry Herscovici,헨리 헤르스코비치
Carmen Galin,카르멘 갈린
Oana Cuzino,오아나 쿠조 노
Victor Vlad Cornea,빅토르 블라드 코르네아
Florin Bătrânu,플로린 버트르누
Lisa Ferraday,리사 퍼라데이
Radu Vâlcan,라두 발칸
Nicolae Ottescu,니콜라에 오테스쿠
Ștefan I. Gheorghiță,슈테판 I. 게오르기처
Nicoleta Dascălu,니콜레타 다스컬루
Marius Marin,마리우스 마린
Nicolae Ciucă,니콜라에 치우커
Anton Tauf,안톤 타우프
Lya Hubic,리아 후비크
Daniel Popa,다니엘 포파
Anton Tauf,안톤 타우프
Camelia Dăscălescu,카멜리아 더스컬레스쿠
Diana Cavallioti,다이아나 카발리오티
Ecaterina Fotino-Negru,에카테리나 포티노네그루
Florian Lungu,플로리안 룬구
Florin Cîțu,플로린 시투
Radu Theodorescu,라두 테오도레스쿠
Feli Donose,펠리 도노세
Ioana Flora,이오아나 플로라
Florian Munteanu,플로리안 문테아누
Andreea Roșca,안드레아 로슈카
Miriam Bulgaru,미리암 불가루
Irina Rimes,리메스 이리나
Ingrid Bisu,인그리드 비수
Alec Secăreanu,알레크 세커레아누
Vlad Dascălu,블라드 다스컬루
Gabriela Talabă,가브리엘라 탈라버
Tania Popa,타니아 포파
Claudiu Micovschi,클라우디우 미코브스키
Ion Chicu,이온 키쿠
Marco Dulca,마르코 둘카
Karim Adeyemi,카림 아데예미
Aurelia Marinescu,아우렐리아 마리네스쿠
Suzana Bantaș,수자나 반타시
Marin Petre Constantin,마린 페트레 콘스탄틴
Corneliu Ulici,코르 넬리 울리시
Sorin Brotnei,소린 브로 네이
Adina Pintilie,아디나 핀틸리에
Maria Fotino,마리아 포티노
Ramona Barta,라모나 바르 타
Nora Steriadi,노라 스테리아디
Sabrina Ionescu,사브리나 이오네스쿠
Radu Drăgușin,라두 드러구신
Sergiu Costache,세르지우 코스타체
Irina Fetecău,이리나 페테커우
Cezara Curmei,Cezara Curmei
Eduard Crăciun,Eduard Crăciun
Ioana Mihăilă,이오아나 미허일러
Alcina Dimitrescu,알시나 디미트레스쿠
Karl Heisenberg,칼 하이젠베르크
The Duke,공작
David Popovici,다비드 포포비치
Emaa,에마
Andrei Ursu,WRS
Theodor Andrei,테오도르 안드레이
Adina Mihaele Diaconu,아디나 디아코누
