Alexandra Stan,알렉산드라 스탄
Walter Zenga,발테르 젱가
Mihai Ghimpu,미하이 김푸
Cosmin Contra,코스민 콘트라
Petre Becheru,페트레 베체루
Gheorghe Gheorghiu-Dej,게오르게 게오르기우데지
Hermann Oberth,헤르만 오베르트
Nadia Gray,나디아 그레이
Stefan Hell,슈테판 헬
Diana Mocanu,디아나 모카누
Cristian Chivu,크리스티안 키부
Călin Popescu-Tăriceanu,컬린 포페스쿠터리체아누
Maricica Puică,마리시카 푸이커
Mihaela Peneș,미하엘라 페네슈
Camelia Potec,카멜리아 포테크
Petru Lucinschi,페트루 루친스키
Ion Gheorghe Maurer,이온 게오르게 마우레르
Florin Răducioiu,플로린 러두치오이우
Adrian Ilie,아드리안 일리에
Victor Pițurcă,빅토르 피추르커
Răzvan Cociș,러즈반 코치슈
Lucian Blaga,루치안 블라가
Dorin Goian,도린 고이안
Marius Niculae,마리우스 니쿨라에
Cristian Dănălache,크리스티안 더널라케
Marius Urzică,마리우스 우르지커
Mihai Pintilii,미하이 핀틸리
Ilie Năstase,일리에 너스타세
Viorica Viscopoleanu,비오리카 비스코폴레아누
Cristian Săpunaru,크리스티안 서푸나루
Nicolae Dobrin,니콜라에 도브린
Radu Jude,라두 주데
Ștefan Kovács,슈테판 코바치
Nicu Vlad,니쿠 블라드
Eduard Pană,에두아르드 파너 (1944년)
Florin Gardoș,플로린 가르도슈
Florin Zalomir,플로린 잘로미르
Tiberiu Dolniceanu,티베리우 돌니체아누
Ion Draica,이온 드라이카
Nicolae Dică,니콜라에 디커
Ștefan Rusu,슈테판 루수
Alexandru Chipciu,알렉산드루 킵치우
Maria Drăguș,마리아빅토리아 드라구스
Dorinel Munteanu,도리넬 문테아누
Mircea Geoană,미르체아 제오아너
Gheorghe Berceanu,게오르게 베르체아누
Alfred Eisenbeisser,알프레드 에젠베이저
Eric Bicfalvi,에리크 비크팔비
Valerică Găman,발레리커 거만
George Piștereanu,제오르제 피슈테레아누
Adrian Popa,아드리안 포파
Costel Pantilimon,코스텔 판틸리몬
Armand Călinescu,아르만드 컬리네스쿠
Crin Antonescu,크린 안토네스쿠
Dorin Mateuț,도린 마테우츠
Paul Codrea,파울 코드레아
Dacian Cioloș,다치안 치올로슈
Fița Lovin,피타 로빈
Horia Sima,호리아 시마
Patriarhul Daniel,루마니아 총대주교 다니엘
Simona Păucă,시모나 퍼우커
Mihai I al României,미하이 1세
Vasile Andrei,바실레 안드레이
Raul Rusescu,라울 루세스쿠
Radu Dărăban,라두 더러반
Simona Gherman,시모나 게르만
Elina Löwensohn,엘리나 뢰벤존
Alexandru Sirițeanu,알렉산드루 시리체아누
Ionuț Luțu,이온 루추
Adrian Stoian,아드리안 스토이안
Mirel Rădoi,미렐 러도이
Bănel Nicoliță,버넬 니콜리처
David Wechsler,데이비드 웩슬러
Andrei Prepeliță,안드레이 프레펠리처
Sebastian Stan,세바스티안 스탄
Gabriel Torje,가브리엘 토르제
Dragoș Grigore,드라고슈 그리고레
Ion Coteanu,이온 코테아누
Florentin Petre,플로렌틴 페트레
Gheorghe Mureșan,게오르게 무레샨
Ilie Dumitrescu,일리에 두미트레스쿠
Nicolao Dumitru,니콜라오 두미트루
Liviu Rebreanu,리비우 레브레아누
Otilia Bădescu,오틸리아 바데스쿠
Bianca Pascu,비안카 파스쿠
Nicușor Stanciu,니콜라에 스탄치우
Răzvan Lucescu,러즈반 루체스쿠
Aurelian Chițu,아우렐리안 키추
Silviu Lung Jr.,실비우 룬그 주니어
Gabriel Popescu,가브리엘 포페스쿠
Ana Caterina Morariu,아나 카테리나 모라리우
Cosmin Olăroiu,코스민 올러로이우
Radu Lupu,라두 루푸
Rodion Cămătaru,로디온 커머타루
Teoctist Arăpașu,루마니아 총대주교 테옥티스트
Vlad Chiricheș,블라드 키리케슈
Gheorghe Tătărescu,게오르게 터터레스쿠
Andrei Mureșanu,안드레이 무레샤누
Daniel Ghiță,다니엘 기타
Ianis Zicu,이아니스 지쿠
Anamaria Vartolomei,아나마리아 바르톨로메이
Lucian Sânmărtean,루치안 슨머르테안
Alexandru Maxim,알렉산드루 막심
Sorin Babii,소린 바비
Denis Alibec,데니스 알리베크
Ciprian Vasilache,치프리안 바실라케
Anca Măroiu,안카 머로이우
Vladimir Cosma,블라디미르 코스마
Vasile Pușcașu,바실레 푸슈카슈
Dragoș Bucur,드라고슈 부쿠르
Ion Crăciunescu,이온 크러치우네스쿠
Nicolae Kovács,니콜라에 코바치
Cosmin Moți,코스민 모치
Grigore Gafencu,그리고레 가펜쿠
Cosmina Stratan,코스미나 스트라탄
Claudiu Keșerü,클라우디우 케셰뤼
Alexandru Mățel,알렉산드루 머첼
Constantin Virgil Gheorghiu,콘스탄틴 비르질 게오르기우
Ecaterina Teodoroiu,에카테리나 테오도로이우
Anghel Iordănescu,안겔 이오르더네스쿠
Tamara Costache,타마라 코스타체
Loredana Dinu,로레다나 디누
Dorel Vișan,도렐 비산
Eva Mozes Kor,에바 모제스 코르
Sergiu Buș,세르지우 부슈
Victor Rebengiuc,빅토르 레벤지우크
Dumitru Fărcaș,두미트루 퍼르카슈
Constantin Ion Parhon,콘스탄틴 이온 파론
Ciprian Tătărușanu,치프리안 터터루샤누
Mircea Diaconu,미르시 디아코누
"Ana, Principesă de Bourbon-Parma",안 드 부르봉파르므
Gheorghe Plagino,게오르게 플라기노
Cristi Puiu,크리스티 푸이우
Cristian Dulca,크리스티안 둘카
Dumitru Pârvulescu,두미트루 프르불레스쿠
Ovidiu Hoban,오비디우 호반
Cristina Flutur,크리스티나 플루투르
Dan Petrescu,단 페트레스쿠
Jean Claude Adrimer Bozga,장클로드 보즈가
Marcel Iureș,마르첼 이우레슈
Gheorghe Tattarescu,게오르게 타타레스쿠
Sergiu Nicolaescu,세르지우 니콜라에스쿠
Alexandru Șerbănescu,알렉산드루 셰르버네스쿠
Ștefan Petrescu,슈테판 페트레스쿠
Adrian Mihalcea,아드리안 미할체아
Corneliu Ion,코르넬리우 이온
"Margareta, Principesă a României",마르가레타 아 로므니에이
Ludovic Orban,루도비크 오르반
Constantin Gâlcă,콘스탄틴 글커
Preda Mihăilescu,프레다 미허일레스쿠
Tibor Selymes,티보르 셀리메스
Bogdan Stancu,보그단 스탄쿠
Klaus Iohannis,클라우스 요하니스
Alina Eremia,알리나 에레미아
Ion C. Inculeț,이온 인쿨레츠
Alin Moldoveanu,알린 몰도베아누
Eduard Stăncioiu,에두아르드 스턴치오이우
Marius Popa (fotbalist),마리우스 포파
Mădălina Ghenea,머덜리나 디아나 게네아
Constantin Nica,콘스탄틴 니카
Mihai Covaliu,미하이 코발리우
Albert-László Barabási,버러바시 얼베르트 라슬로
Andra,안드라 (가수)
Moscu Alkalai,모스코 알카라이
Constantin Silvestri,콘스탄틴 실베스트리
Iulian Arhire,율리안 아르히레
Cristian Tănase,크리스티안 터나세
Constantin Barbu,콘스탄틴 바르부
Vlad Ivanov,블라드 이바노브
Oana Gregory,오아나 그레고리
Rareș Dumitrescu,라레슈 두미트레스쿠
Steliano Filip,스텔리아노 필립
Dan Condurache,댄 콘두라체
Liviu Dragnea,리비우 드라그네아
Nicolae Martinescu,니콜라에 마르티네스쿠
Cătălin Moroșanu,커털린 모로샤누
Viorica Dăncilă,비오리카 던칠러
Gheorghe Ucenescu,게오르게 우체네스쿠
Ada Condeescu,아다 콘데스쿠
Mihai Balan,미하이 발란
Ecaterina Oproiu,에카테리나 오프로이우
Răzvan Vasilescu,러즈반 바실레스쿠
Gabriel Spahiu,가브리엘 스파히우
Șerban Pavlu,세르반 파블루
Cristian Manea,크리스티안 마네아
Nae Caranfil,나에 카란필
Mihai Tudose,미하이 투도세
Ianis Hagi,이아니스 하지
Florin Zamfirescu,플로린 잠피레스쿠
Ana Ularu,아나 울라루
Iulian Teodosiu,이울리안 테오도시우
Doina Bumbea,도이나 붐베인
Ludmila Balan,루트밀라 바실리예프 벌란
Alexandru Papadopol,알렉산드루 파파도폴
Sonia Ursu-Kim,김소니아
Florin Tănase,플로린 터나세
Maia Sandu,마이아 산두
Teodor Corban,테오도르 코르반
Simona Pop,시모나 포프
Kázím Abdulakim,카짐 압둘라킴
Florin Andone,플로린 안도네
Andreea Diaconu,안드레아 디아코누
Valentin Teodosiu,발렌틴 테오도시우
Lisa Ferraday,리사 퍼라데이
Cristian Ganea,크리스티안 가네아
Sergiu Hanca,세르지우 한카
Sorin Cîmpeanu,소린 심페아누
Cătălin Carp,커털린 카르프
Olimpia Melinte,올림피아 멜린테
Marcel Ciolacu,마르첼 치올라쿠
Sorin Grindeanu,소린 그린데아누
Ioana Flora,이오아나 플로라
Daniel Popa,다니엘 포파
Florian Munteanu,플로리안 문테아누
Florin Cîțu,플로린 크추
Marius Marin,마리우스 마린
Nicolae Ciucă,니콜라에 치우커
Ingrid Bisu,인그리드 비수
Alec Secăreanu,알레크 세커레아누
Ion Chicu,이온 키쿠
Karim Adeyemi,카림 아데예미
Vlad Dascălu,블라드 다스컬루
Adina Pintilie,아디나 핀틸리에
Sabrina Ionescu,사브리나 이오네스쿠
Radu Drăgușin,라두 드러구신
Adina Diaconu,아디나 디아코누
David Popovici,다비드 포포비치
