España,스페인
Almería,알메리아
Botafumeiro,보타푸메이로
Castillo de Javier,하비에르성
Guerra civil española,스페인 내전
derechos digitales,디지털 권리
Occitania,오시타니아
Copa del Rey de Fútbol 1925,코파 델 레이 1925
Catoria,카토이라
Unión Ibérica,이베리아 연합
Almaluez,알말루에스
transporte en España,스페인의 교통
Segunda División de España 1942/43,세군다 디비시온 1942-43
Segunda División de España 1934/35,세군다 디비시온 1934-35
Ebro,에브로강
Llivia,이비아
Estadio Nuevo Arcángel,에스타디오 누에보 아르캉헬
Segunda División de España 1989/90,세군다 디비시온 1989-90
Segunda División de España 1964/65,세군다 디비시온 1964-65
Acuerdo Tripartito de Madrid,마드리드 협정
Copa del Generalísimo de fútbol 1950,코파 델 헤네랄리시모 1949-50
Club Deportivo Málaga,CD 말라가
Lugo,루고
Confederación Nacional del Trabajo,전국노동자연맹
Copa de la Paz 2012,2012년 피스컵
Al-Ándalus,알안달루스
Estación de Pueblo Nuevo,푸에블로 누에보 역
Autovía del Mediterráneo,오토피스타 델 메디테라네오 (스페인)
Universidad de Valencia,발렌시아 대학교
provincia de Lérida,예이다주
Marcha Real,스페인의 국가
Plataforma ¡Democracia Real YA!,¡Democracia Real YA!
Batalla de Cádiz,카디스 전투
Estadio Benito Villamarín,에스타디오 베니토 비야마린
Museo de Bellas Artes de Bilbao,빌바오 미술관
Campeonato Mundial de Atletismo de 1999,1999년 세계 육상 선수권 대회
vascos,바스크인
San Vicente de Torelló,산비센스데토레요
Estación de Lavapiés,라바피에스역
Vic,비크
búlgaros,불가리아인
Barberá del Vallés,바르베라델발례스
ruta europea E07,유럽 고속도로 07호선
Fútbol Club Cartagena,FC 카르타헤나
Supercopa de España de Fútbol 1997,수페르코파 데 에스파냐 1997
Sora,소라
Parlamento de Cataluña,카탈루냐 의회
Anexo:Temporada 2009-10 del Fútbol Club Barcelona,FC 바르셀로나 2009-10 시즌
Anexo:Temporada 2010-11 del Fútbol Club Barcelona,FC 바르셀로나 2010-11 시즌
Cueva de Altamira,알타미라 동굴
Autovía Ponferrada-Orense,폰페라다-오렌세 고속도로 (스페인)
San Cugat del Vallés,산쿠가트델발례스
Batalla de Villaviciosa,비야비시오사 전투
alcázar,알카사르
Mango,망고
Garachico,가라치코
Mañón,마뇬
Primera División de España 1955/56,라리가 1955-56
Sardañola del Vallés,세르다뇰라델발례스
Santutxu Fútbol Club,산투추 FC
Alcántara,알칸타라
Alcázar de Segovia,알카사르
Tarrasa,테라사
Primera División de España 1963/64,라리가 1963-64
árabe,아랍어
occitano,오크어
Copa del Rey de fútbol 2011-12,코파 델 레이 2011-12
Día de la Constitución Española,스페인 제헌절
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",이베로아메리카 국가 기구
Estadio de Chamartín,에스타디오 데 차마르틴
Vitoria,비토리아
RWE,RWE
Partido Socialista Obrero Español,스페인 사회노동당
Primera División de España 1982/83,라리가 1982-83
España en los Juegos Olímpicos de Pekín 2008,2008년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Vancouver 2010,2010년 동계 올림픽 스페인 선수단
Mérida,메리다
República Catalana,카탈루냐 공화국
Guadalquivir,과달키비르강
Tajo,타구스강
Oviedo,오비에도
río Guadiana,과디아나강
Santa Cruz de Tenerife,산타크루스데테네리페
Copa del Rey de fútbol 1997-98,코파 델 레이 1997-98
Estación de Vista Alegre,비스타 알레그레 역
Museo del Fútbol Club Barcelona,FC 바르셀로나 박물관
Ciudad Real Madrid,시우다드 레알 마드리드
Haro,아로
Tren cremallera de Montserrat,몬세라트 등산 철도
Puerta del Sol,푸에르타 델 솔
Air Nostrum,에어 노스트룸
Santiago de Compostela,산티아고데콤포스텔라
España en los Juegos Olímpicos de París 1900,1900년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Sapporo 1972,1972년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Salt Lake City 2002,2002년 동계 올림픽 스페인 선수단
Teruel,테루엘
Duero,도루강
España en los Juegos Olímpicos de Nagano 1998,1998년 동계 올림픽 스페인 선수단
Invencible Inglesa,잉글랜드 무적함대
España en los Juegos Olímpicos de Innsbruck 1964,1964년 동계 올림픽 스페인 선수단
Bolsa de Madrid,마드리드 증권거래소
Aeropuerto de Murcia-San Javier,무르시아-산하비에르 공항
río Miño,미뉴강
Grado,그라도
Capilla Real de Granada,그라나다 왕실 예배당
Logroño,로그로뇨
río Eo,에오강
Casa de Campo,카사 데 캄포 역
España en los Juegos Olímpicos de Sarajevo 1984,1984년 동계 올림픽 스페인 선수단
Estelada,에스텔라다
España en los Juegos Olímpicos de Calgary 1988,1988년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Lillehammer 1994,1994년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Atlanta 1996,1996년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Albertville 1992,1992년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Ámsterdam 1928,1928년 하계 올림픽 스페인 선수단
Avilés,아빌레스
Alta Velocidad Española,AVE
Renacimiento español,스페인 르네상스
Primera División de España 1952/53,라리가 1952-53
Zara,자라 (브랜드)
España en los Juegos Olímpicos de Londres 2012,2012년 하계 올림픽 스페인 선수단
Ciudad Real,시우다드레알
Cuenca,쿠엥카
Mirinda,미린다
Código postal español,스페인의 우편번호
Zarauz,사라우츠
Pirámides de Güímar,귀마르의 피라미드
Columnas de Hércules,헤라클레스의 기둥
Alcañiz,알카니스
Final de la Copa del Rey de fútbol 2011-2012,2012 코파 델 레이 결승전
Esquerra Republicana de Catalunya,카탈루냐 공화좌파당
Primera batalla de Algeciras,첫 번째 알헤시라스 전투
Santa Cruz de La Palma,산타크루스데라팔마
España en los Juegos Olímpicos de Innsbruck 1976,1976년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Grenoble 1968,1968년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Lake Placid 1980,1980년 동계 올림픽 스페인 선수단
bandera de Cataluña,세녜라
Estadio José Zorrilla,에스타디오 호세 소리야
Vuelo 5022 de Spanair,스팬에어 5022편 착륙 사고
Albacete,알바세테
Lérida,예이다
Mollet del Vallés,몰례트델발례스
Montmeló,몬트멜로
Corporación Mondragon,몬드라곤 협동조합
Conferencia Internacional de Algeciras,알헤시라스 회담
Antequera,안테케라
Anexo:Futbolistas del Real Madrid Club de Fútbol,레알 마드리드 CF의 선수
Protectorado español de Marruecos,스페인령 모로코
Tarragona,타라고나
Antena 3,안테나 3
Camp Nou,캄 노우
España en los Juegos Olímpicos de Los Ángeles 1984,1984년 하계 올림픽 스페인 선수단
Hayedos primarios de los Cárpatos y otras regiones de Europa,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
Día Once de Septiembre,카탈루냐 국경일
Serie 103 de Renfe,렌페 103급
Altea,알테아
Telefónica,텔레포니카
Festival Internacional de Cine de San Sebastián,산세바스티안 국제 영화제
gastronomía de España,스페인 요리
españoles,스페인인
provincia de España,스페인의 도
Museo del Prado,프라도 미술관
Castellón de la Plana,카스테욘데라플라나
Palos de la Frontera,팔로스데라프론테라
Astorga,아스토르가
Alvia,비비아
Ambite,암비테
El Corte Inglés,엘 코르테 잉글레스
Albacete Balompié,알바세테 발롬피에
Estación de Hospital de Fuenlabrada,오스피탈 데 푸엔라브라다 역
Albaicín,알바이신
VirusTotal,VirusTotal
Granollers,그라노예르스
La Roca del Vallés,라로카델바예스
Estadio Santiago Bernabéu,에스타디오 산티아고 베르나베우
Primera División de España 2005/06,프리메라리가 2005-06
Torrente,토렌트
Cartagena,카르타헤나
Instituto Cervantes,세르반테스 문화원
Numancia,누만티아
Nuevo Estadio de Los Cármenes,누에보 에스타디오 데 로스 카르메네스
Cádiz Club de Fútbol,카디스 CF
Badalona,바달로나
Museo Nacional Centro de Arte Reina Sofía,국립 소피아 왕비 예술센터
Casa Batlló,카사 바트요
Hospitalet de Llobregat,루스피탈레트데류브레가트
Carballo,카르바요
escudo de España,스페인의 국장
Los del Río,로스 델 리오
Izquierda Unida,좌파연합
Aeropuerto Adolfo Suárez Madrid-Barajas,마드리드 바라하스 국제공항
Parque nacional y natural de Doñana,도냐나 국립공원
San Adrián de Besós,산트 아드리아 데 베소스
Coslada,코슬라다
RCDE Stadium,에스타디 코르네야-엘 프라트
Orden del Toisón de Oro,황금양모 기사단
Ibiza,이비사
Sport,스포르트
Virreinato de Nueva España,누에바에스파냐
Gobierno de Canarias,Gobierno de Canarias
España en los Juegos Olímpicos de Amberes 1920,1920년 하계 올림픽 스페인 선수단
batalla de Trafalgar,트라팔가르 해전
Algete,알헤테
Anexo:Temporada 2008-09 del Fútbol Club Barcelona,FC 바르셀로나 2008-09 시즌
Gran Premio de España de 2008,2008년 포뮬러 원 스페인 그랑프리
Primera División de España 1989/90,라리가 1989-90
religión en España,스페인의 종교
Sitges,시체스
Vélez-Blanco,벨레즈-블랑코
Villanueva y Geltrú,빌라노바이라헬트루
Santa Coloma de Gramanet,산타콜로마데그라메네트
Circuito de Cataluña,바르셀로나 카탈루냐 서킷
Autovía Valladolid-León,바야돌리드-레온 고속도로 (스페인)
Primera División de España 2006/07,프리메라리가 2006-07
Naturgy,네이처지
Palacio Real de Madrid,마드리드 왕궁
Primera División de España 1931/32,라리가 1931-32
España en los Juegos Olímpicos de Múnich 1972,1972년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Londres 1948,1948년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Seúl 1988,1988년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Sídney 2000,2000년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Melbourne 1956,1956년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Helsinki 1952,1952년 하계 올림픽 스페인 선수단
El Prat de Llobregat,엘프라트데류브레가트
Cornellá de Llobregat,코르넬랴데료브레가트
San Sebastián de los Reyes,산세바스티안데로스레예스
Gran Premio de Europa de 2010,2010년 포뮬러 원 유럽 그랑프리
Gran Premio de Europa de 2009,2009년 포뮬러 원 유럽 그랑프리
Medinaceli,메디나셀리
Anexo:Tiro con arco en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 양궁
La Roda,라로다
Gran Premio de España de 2009,2009년 포뮬러 원 스페인 그랑프리
Partido Comunista de España,스페인 공산당
Castelldefels,카스텔데펠스
Caltojar,칼토하르
Gavá,가바
Estación de Villa de Vallecas,비야 데 바예카스 역
España en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 스페인 선수단
Aeropuerto de Almería,알메리아 공항
Gran Premio de España de 2010,2010년 포뮬러 원 스페인 그랑프리
Gran Premio de España de 2012,2012년 스페인 그랑프리
Gran Premio de España de 1974,1974년 스페인 그랑프리
Estación de Manuel de Falla,마누엘 데 파야 역
Primera División de España 1939/40,라리가 1939-40
Alegranza,알레그란사섬
Segunda República Española,스페인 제2공화국
Gran Premio de Europa de 2012,2012년 유럽 그랑프리
Museo Nacional Thyssen-Bornemisza,티센보르네미차 미술관
Viladecans,빌라데칸스
España en los Juegos Olímpicos de Montreal 1976,1976년 하계 올림픽 스페인 선수단
Aliud,알리우드
Copa del Rey,코파 델 레이
Marbella,마르베야
Copa de la Paz,피스컵
Paralelo 38 norte,북위 38도선
Algeciras,알헤시라스
El Clásico,엘 클라시코
Ferrol,페롤
Burgo de Osma-Ciudad de Osma,부르고데오스마 시우다드데오스마
Castilla,카스티야
Baeza,바에사
Benidorm,베니도름
Segovia,세고비아
Primera División de España 1992/93,라리가 1992-93
Recopa de Europa 1988-89,1988-89년 유러피언컵위너스컵
Estación de Príncipe de Vergara,프린시페 데 베르가라 역
Aranjuez,아랑후에스
Baraona,바라오나
Cáceres,카세레스
Repsol,렙솔
lista de monarcas de España,스페인의 군주
Gran Premio de Europa de 2008,2008년 포뮬러 원 유럽 그랑프리
Eurocopa 1964,1964년 유럽 네이션스컵
Badajoz,바다호스
Olivenza,올리벤사
Cádiz,카디스
España en los Juegos Olímpicos de Tokio 1964,1964년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de México 1968,1968년 하계 올림픽 스페인 선수단
Zamora,사모라
Gran Canaria,그란카나리아섬
Copa del Generalísimo de fútbol 1958-59,코파 델 헤네랄리시모 1958-59
Jaén,하엔
Cultural y Deportiva Leonesa,쿨투랄 레오네사
León,레온
Reus,레우스
España en los Juegos Olímpicos de Los Ángeles 1932,1932년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Roma 1960,1960년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Moscú 1980,1980년 하계 올림픽 스페인 선수단
Ávila,아빌라
Arcos de la Frontera,아르코스데라프론테라
Alcobendas,알코벤다스
Baracaldo,바라칼도
Tranvía de Tenerife,테네리페 트램
lituanos,리투아니아인
Lanzarote,란사로테섬
Hispania,히스파니아
Museo Guggenheim Bilbao,빌바오 구겐하임 미술관
Candelaria,칸델라리아
Salamanca,살라망카
Reino de Castilla,카스티야 왕국
Benalmádena,베날마데나
Dos Hermanas,도스에르마나스
Mamá,마망
levantamiento del 2 de Mayo,도스 데 마요 봉기
Rota,로타
Benicasim,베니카심
Estadio de San Mamés,산 마메스
Partido Popular,국민당
Talavera de la Reina,탈라베라데라레이나
Móstoles,모스톨레스
Iberia,이베리아 항공
Campeonato Mundial de Natación de 2003,2003년 세계 수영 선수권 대회
Metro de Madrid,마드리드 지하철
Arnedo,아르네도
Pozuelo de Alarcón,포수엘로데알라르콘
Terremoto de Lorca de 2011,2011년 로르카 지진
Ayerbe,아예르베
turismo en España,스페인의 관광
Montmaneu,만트마네우
gastronomía de Andalucía,안달루시아 요리
dialecto andaluz,안달루시아 방언
Torrejón de Ardoz,토레혼데아르도스
Andorra,안도라
Mondragón,아라사테
Estación de Usera,우세라역
Guernica y Luno,게르니카
plaza de soberanía,플라사스 데 소베라니아
Jerez,셰리
Guecho,게초
Torremolinos,토레몰리노스
Arenas Club de Getxo,아레나스 클루브 데 게초
Campos de Sport de El Sardinero,캄포스 데 스포르트 데 엘 사르디네로
Fuerteventura,푸에르테벤투라섬
Fuenterrabía,온다리비아
Almuñécar,알무녜카르
Primera División de España 1968/69,라리가 1968-69
Segunda División de España 1979/80,세군다 디비시온 1979-80
SEAT S.A.,세아트
peseta,스페인 페세타
Copa de la Liga de España,코파 데 라 리가
Alburquerque,알부르케르케
Asociación de Amistad con Corea,조선친선협회
Eurocopa Sub-21 de 1996,1996년 UEFA U-21 축구 선수권 대회
Mijas,미하스
Campeonato Mundial de Natación de 1986,1986년 세계 수영 선수권 대회
Peñón de Vélez de la Gomera,페뇽데벨레스데라고메라 섬
Estepona,에스테포나
Calatayud,칼라타유드
Irún,이룬
Anexo:Medallero de los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 메달 집계
Reino de Aragón,아라곤 왕국
Primera División de España 1956/57,라리가 1956-57
Osuna,오수나
Autovía del Guadiana,오토비아 델 과디아나 (스페인)
Campo de Mestalla,에스타디오 데 메스타야
Tour de Francia 2001,2001 투르 드 프랑스
El Puerto de Santa María,엘푸에르토데산타마리아
Alcalá de los Gazules,알칼라데로스가술레스
estadio Alfredo Di Stéfano,에스타디오 알프레도 디 스테파노
Tolosa,톨로사
Universiada de Verano 1999,1999년 하계 유니버시아드
mar de Alborán,알보란해
Primera División de España 1998/99,프리메라리가 1998-99
Segunda División de España 1945/46,세군다 디비시온 1945-46
Aranda de Duero,아란다데두에로
El Ejido,엘에히도
La Razón,라 라손
Manresa,만레사
San Bernardino de Siena predicando ante Alfonso V de Aragón,아라곤의 알폰소 5세 앞에서 설교하는 시에나의 산 베르나르디노
Romesco,로메스코
La Palma,라팔마섬
mar Balear,발레아레스해
Cabo Trafalgar,트라팔가르곶
Éibar,에이바르
Oñate,오냐티
Santo Domingo de la Calzada,산토도밍고데라칼사다
Falange Española de las JONS,팔랑헤당
geografía de España,스페인의 지리
Juegos Mediterráneos de 2018,2018년 지중해 게임
Spanair,스팬에어
matrimonio entre personas del mismo sexo en España,스페인의 동성결혼
Puebla de Segur,라포블라데세구르
selección de fútbol de Cataluña,카탈루냐 축구 국가대표팀
Lepe,레페
Roquetas de Mar,로케타스데마르
Reales Alcázares,알카사르
Estadio Vicente Calderón,에스타디오 비센테 칼데론
Denia,데니아
Vueling Airlines,부엘링 항공
Cuatro Torres Business Area,콰트로 토레스 비즈니스 에어리어
Lucena,루세나
Villena,비예나
Segunda División de España 1999/2000,세군다 디비시온 1999-2000
gastronomía de Asturias,아스투리아스 요리
Vicálvaro,비칼바로
Casa Milá,카사 밀라
Cordillera Cantábrica,칸타브리아산맥
Serie 104 de Renfe,렌페 104급
Vilaseca,빌라세카
Licor 43,리코르 43
Lonja de la Seda,라 론하 데 라 세다
Arrecife,어레시페
Primera División de España 2011/12,프리메라리가 2011-12
Real Federación Española de Fútbol,스페인 왕립 축구 협회
Mulhacén,물라센산
Valdastillas,발다스티야스
gambas al ajillo,감바스 알 아히요
Catedral de Santa Cruz de Cádiz,카디스 대성당
Catedral de Santiago de Compostela,산티아고데콤포스텔라 대성당
Estación de Artilleros,아르티예로스역
franquismo,프랑코 정권
cetrería,매사냥
Autovía del Suroccidente asturiano,오토비아 델 수로시엔테 아스투리아노 (스페인)
moriscos,모리스코
fartón,파르톤
Legión Española,스페인 외인부대
Autopista AP-61,AP-61 고속도로 (스페인)
Primera División de España 2009/10,프리메라리가 2009-10
Las Meninas,시녀들
Estación de Juan de la Cierva,후안 데 라 시에르바 역
Teatro Real,왕립극장
Madinat Al-Zahra,마디낫 알 자흐라
Motril,모트릴
río Tinto,리오 틴토강
Metrovalencia,메트로발렌시아
Batasuna,바타수나
Selección de baloncesto de España,스페인 농구 국가대표팀
Inmigración en España,스페인으로의 이민
Las Rozas de Madrid,라스로사스데마드리드
Aeropuerto de Melilla,멜리야 공항
Costa del Sol,코스타델솔
Atentados del 11 de marzo de 2004,2004년 마드리드 동시다발 테러 사건
Estadio de La Romareda,에스타디오 데 라 로마레다
Torre PwC,토레 PwC
Segunda División de España 2004/05,세군다 디비시온 2004-05
La 2,La 2
estación de Parque Lisboa,파르케 리스보아 역
georgianos,조지아인
golpe de Estado en España de 1981,2·23 쿠데타
Monte Perdido,몬테페르디도
Tarifa,타리파
Zoológico de Barcelona,바르셀로나 동물원
Sanlúcar de Barrameda,산루카르데바라메다
Alcázar de los Reyes Cristianos,코르도바 알카사르
Premios Goya,고야상
distribución geográfica del idioma español,스페인어 사용자
línea 6 del Metro de Madrid,마드리드 지하철 6호선
Park Güell,구엘 공원
oveja merina,메리노
Primera División de España 1997/98,프리메라리가 1997-98
pelota vasca,펠로타
Segunda División de España 2002/03,세군다 디비시온 2002-03
Serie 114 de Renfe,렌페 114급
Accidente de Los Rodeos,테네리페 참사
La Vanguardia,라 반구아르디아
Batalla de Munda,문다 전투
Primera División de España 1930/31,라리가 1930-31
Deportivo Alavés,데포르티보 알라베스
Gran Premio de Europa de 2011,2011년 포뮬러 원 유럽 그랑프리
Copa Intercontinental 2000,2000년 인터콘티넨털컵
Estación de Tetuán,테투안역
Sociedad Deportiva Amorebieta,SD 아모레비에타
Copa de Ferias 1958-60,1958-60년 인터시티스 페어스컵
Cortes Generales,스페인 의회
Tratado de los Pirineos,피레네 조약
Segunda División de España 1972/73,세군다 디비시온 1972-73
Primera División de España 2010/11,프리메라리가 2010-11
Tribunal Supremo,스페인 대법원
Tibidabo,티비다보
Torrevieja,토레비에하
Universidad de Barcelona,바르셀로나 대학교
Puertollano,푸에르토야노
batalla de Las Navas de Tolosa,라스 나바스 데 톨로사 전투
río Jalón,할론강
Club Deportivo Logroñés,CD 로그로녜스
Universidad Complutense de Madrid,마드리드 콤플루텐세 대학교
Primera División de España 1943/44,라리가 1943-44
Paterna,파테르나
Primera División de España 1944/45,라리가 1944-45
Club Deportivo Tenerife,CD 테네리페
Costa Brava,브라바 해안
Itálica,이탈리카
Segunda División de España 1976/77,세군다 디비시온 1976-77
Bandera de Canarias,카나리아 제도의 기
Copa de Ferias 1955-58,1955-58년 인터시티스 페어스컵
Países Catalanes,카탈루냐어권
guerra de Devolución,상속 전쟁
Estación de Chamartín,차마르틴역
estación de Atocha,아토차 역
Club Polideportivo Ejido,폴리데포르티보 에히도
Estadio de O'Donnell,캄포 데 오도넬
Primera División de España 1975/76,라리가 1975-76
Segunda División de España 1935/36,세군다 디비시온 1935-36
Aeropuerto de Palma de Mallorca,팔마데마요르카 공항
Estadio de Abanca Riazor,에스타디오 데 리아소르
Primera División de España 1950/51,라리가 1950-51
Huerva,우에르바강
Gállego,갈례고강
Segunda batalla de Cape Finisterre,제2차 피니스테레곶 해전
catedral de Sevilla,세비야 대성당
Ikurriña,이쿠리냐
Metro de Barcelona,바르셀로나 지하철
Segunda División de España 1955/56,세군다 디비시온 1955-56
Panoramio,파노라미오
Universidad Politécnica de Madrid,마드리드 공과대학교
Torre Cepsa,토레 세프사
Fuencarral-El Pardo,푸엥카랄엘파르도
Estación de Alvarado,알바라도역
Trienio Liberal,스페인 반란
Segunda División de España 1997/98,세군다 디비시온 1997-98
Fútbol Club Barcelona,FC 바르셀로나 페메니
