Alexandra Stan,亞歷山德拉·斯坦
Gheorghe Dinică,格奧爾基·迪尼察
Adrian Bumbescu,阿德里安·布姆贝斯库
Adrian Cioroianu,阿德里安·齐奥罗亚努
Emeric Dembroschi,埃梅里克·坚布罗夫斯基
Carol Lambrino,卡罗尔·拉姆布林诺
Iancu Flondor,曹·弗隆多
Bogdan Stelea,博格丹·斯特莱亚
Sándor Kányádi,桑德·卡尼亞迪
Ilie Năstase,伊利耶·納斯塔塞
Adrian Cristea,阿德里安·克里斯蒂亞
Hermann Oberth,赫尔曼·奥伯特
Ion Pop,伊昂·波普
Mihai Pintilii,米哈伊·平蒂利
Dorin Goian,多林·戈伊安
Marius Niculae,马利乌斯·尼库莱
Doina Stăiculescu,多依娜·斯特伊库列斯库
Maria Olaru,玛丽亚·奥拉鲁
Cristian Dănălache,克里斯蒂安·达纳拉赫
Dorel Simion,多雷尔·西米翁
Dorel Stoica,多雷尔·斯托伊卡
Mihaela Stănuleț,米哈埃拉·斯特努莱茨
Zoltan Kelemen,佐尔坦·克列门
Adalbert Deșu,阿达尔贝特·德舒
Laura Cutina,劳拉·库蒂纳
Adrian Popescu,阿德里安·波佩斯庫
Nadia Gray,娜迪亞·格雷
Gregor von Rezzori,格雷戈尔·冯·雷佐里
Raluca Strămăturaru,拉卢卡·斯特勒默图拉鲁
Oana Pantelimon,瓦娜·穆舒诺伊-潘泰利蒙
Ionuț Neagu,约努茨·内亚古
Lavinia Agache,拉维尼娅·阿加凯
Cristina Grigoraș,克里斯蒂娜·格里戈拉什
Charles Bruck,查爾斯·布魯克
Alina Eremia,阿丽娜·埃雷米亚
Nichita Stănescu,尼基塔·斯特内斯库
Alfred Mendelsohn,阿尔弗雷德·门德尔松
Nicolae Linca,尼古拉·林卡
Dănuț Lupu,德努茨·卢普
Gheorghe Rășinaru,格奥尔基·勒希纳鲁
Manea Mănescu,马尼亚·曼内斯库
Alexandru Șerbănescu,亚历山德鲁·塞伯内斯库
Ovidiu Stîngă,奥维迪乌·斯廷加
Lucian Blaga,露西安·布拉加
Răzvan Cociș,拉兹萬·克西斯
Victor Pițurcă,普度卡
Mihaela Steff,米哈埃拉·什泰夫
Gheorghe Gheorghiu-Dej,格奥尔基·乔治乌-德治
Ștefan Barbu,斯特凡·巴尔布
Ștefan Dobay,多貝
Dumitru Moraru,杜米特鲁·莫拉鲁
Petre Dumitru,彼得·杜米特鲁
Alexandru Cuedan,亚历山德鲁·库埃丹
Eduard Caudella,爱德华·考德拉
Ștefan Negrișan,斯特凡·内格里尚
Sonia Iovan-Inovan,索尼娅·约万
Uta Poreceanu-Schlandt,乌塔·波雷恰努
Andrei Blaier,安德烈·布萊爾
Iulian Raicea,尤利安·拉伊恰
Marius Moga,马吕斯·莫加
Vasile Deheleanu,瓦西里·德海莱亚努
Oleg Moldovan,奥列格·莫尔多万
Petru Păduraru,彼得·珀杜拉魯
Mihai Ghimpu,米哈伊·金普
Cornelia Sideri,科尔内利娅·西代里
Walter Zenga,沃尔特·曾加
Ștefan Iovan,什特凡·伊奥万
Virgil Ierunca,维吉尔·叶伦卡
Corneliu Porumboiu,柯內流·波蘭波宇
Basarab Panduru,巴萨拉布·潘杜鲁
Ion Gigurtu,扬·吉格图
Lazăr Comănescu,拉扎尔·科玛内斯库
Ștefan Preda,斯特凡·普雷达
Dumitru Antonescu,杜米特鲁·安东内斯库
Andrei Ropcea,安德烈罗普恰
Gheorghe Berceanu,格奥尔基·贝尔恰努
Vlad Plahotniuc,弗拉基米爾·普拉霍尼克
Petru Soltan,彼得魯·索爾坦
Nicu Vlad,尼库·弗拉德
Sorina Plăcintă,索麗娜-露米妮塔·普勒欽特
Ștefan Kovács,斯特凡·科瓦奇
Nicolae Dică,尼古拉·迪克
Edward Luttwak,爱德华·勒特韦克
Lili Poór,莉莉·普尔
Alexandru Neagu,亚历山德鲁·内亚古
Hunor Kelemen,克莱门特·胡诺
Nicolae Labiș,尼古拉·拉比
Ion Țiriac,伊翁·提里亞克
Mircea Ionescu-Quintus,米爾恰·約內斯庫-昆圖斯
Cosmin Contra,科斯明·孔特拉
Mihai I al României,米哈伊一世
Leonard Doroftei,莱昂纳德·多罗夫泰伊
Ovidiu Ionescu,奧維杜·約內斯庫
Ilie Subășeanu,伊利耶·苏伯谢亚努
Rona Hartner,蘿娜·哈爾特尼
Elena Lupescu,玛格达·卢佩斯库
Anca Petrescu,安卡·佩特雷斯庫
Ioan Mihail Racoviță,伊昂·米哈伊爾·拉科維策
Maria Popistașu,玛丽亚·波皮斯塔舒
Saul Steinberg,索尔·斯坦伯格
László Szabédi,萨贝迪·拉斯洛
Mihai Roman,米哈伊·羅曼
Dacian Cioloș,達奇安·喬洛什
Gheorghe Apostol,格奥尔基·阿波斯托尔
Gheorghe Mironescu,格奥尔格·米罗内斯库
Ileana Lazariuc,伊利亚娜·拉扎里
George Florescu,科利斯古
Veronica Cochela-Cogeanu,韦罗妮卡·科凯拉
Dorinel Munteanu,蒙迪安奴
Rodica Arba,罗迪卡·阿尔巴
Daniel Dumitrescu,达尼埃尔·杜米特雷斯库
Victor Crivoi,維克托·克里沃伊
Silvia Stroescu,西尔维娅·斯特罗埃斯库
Liviu Ciobotariu,利维·乔博塔留
Vasile Stângă,瓦西里·斯滕格
Mădălina Ghenea,馬達麗娜·珍娜
Dumitru Armășel,杜米特鲁·阿尔默谢尔
Cristian Pulhac,普爾哈奇
Elemér Kocsis,科奇什·埃莱梅尔
Cătălin Țăranu,卡塔林·塔那努
Vlad Miriță,伍拉德
Ion Draica,扬·德拉伊卡
Mircea Dobrescu,米尔恰·多布雷斯库
Nadia Russo,娜迪亚·鲁索
Leonte Răutu,列昂廷·拉乌图
Ioana Olteanu,伊万娜·奥尔泰亚努
Ștefan Rusu,斯特凡·鲁苏
George Lusztig,喬治·盧斯蒂格
Radu Niculescu,拉杜·尼古列斯库
Sanda Toma,珊达·托马 (赛艇运动员)
Anna Széles,安娜·瑟莱斯
Ciprian Deac,奇普里安·代亞克
Gigel Bucur,格奧爾基·布庫爾
Marius Constantin,马吕斯·康斯坦丁
Alexe Dumitru,阿列克谢·杜米特鲁
Corneliu Robe,科尔内留·罗贝
Crin Antonescu,克林·安东内斯库
András Hatházi,安德拉斯·哈塔兹
Vasile Andrei,瓦西里·安德烈
Srgian Luchin,斯德揚·盧欽
Victor Eftimiu,V. 埃富蒂米乌
Daniel Ciugureanu,达尼埃尔·丘古雷亚努
Anna Lesko,安娜·莱斯克
Petre P. Carp,彼得·卡普
Boris Ștefanov,鲍里斯·斯特凡诺夫
Paul Codrea,保羅·科弗代爾
Dorin Mateuț,多林·馬特烏特
Cristian Balaj,帕維爾·克里斯蒂安·巴拉哈
Mircea Geoană,米尔恰·杰瓦讷
Tudor Arghezi,都鐸·阿格兹
Iulian Tameș,塔梅斯
Silviu Lung,希尔乌·隆格
Romulus Gabor,罗穆卢斯·加博尔
Vitali Holostenco,维塔利·霍洛斯坦科
Victor Dolipschi,维克托·多利普斯基
Mihai Adam,米哈伊·亞當
Alexandru Adrian Popovici,亞歷山德魯·阿德里安·波波維奇
Elena Albu,埃伦娜·阿尔布
Adrian Bejan,阿德里安·比贊
Antoine Goléa,安托万·戈莱亚
Costel Pantilimon,哥斯度·彭迪利蒙
Armand Călinescu,阿尔曼德·卡莱恩斯丘
Melita Rühn,梅丽塔·吕恩
Mircea Cărtărescu,米尔恰·卡塔雷斯库
Patriarhul Daniel,罗马尼亚元老丹尼尔
Florența Crăciunescu,弗洛伦察·克勒丘内斯库
Monica Anghel,莫妮卡·安吉尔
Raul Rusescu,勞爾·魯塞斯庫
Petre Dicu,彼得·迪库
Emanoil Petruț,伊曼尼尔·彼得鲁特
Marcel Coraș,科拉斯
Robert Vișoiu,罗伯特·维绍尤
Adrian Sitaru,阿德雷安·西塔魯
Alex Iordăchescu,亚历克斯·伊尔塔斯库
Miodrag Belodedici,米奧德拉格·貝洛德迪奇
Nicu Constantin,尼库·康斯坦丁
Sanda Ladoși,散达
Alla Baianova,阿拉·巴亚诺瓦
Horia Sima,霍利亚·希马
Viorica Dumitru,维奥丽卡·杜米特鲁
Nicolae Militaru,尼古拉·米利塔鲁
Emil Racoviță,埃米尔·拉科维策
Anca Radici,安卡·拉迪奇
Roxana Mărăcineanu,罗克萨娜·默勒奇内亚努
Ioan Robu,若望·羅布
János Thorma,托爾馬·亞諾什
Ion Lăpușneanu,扬·勒普什内亚努
Mihai Chițac,米哈伊·赤塔克
Ioan Ovidiu Sabău,伊安·萨巴乌
Decebal Traian Remeș,德切巴爾·特拉揚·雷梅斯
Maria Golopența,玛丽亚·亚历山德鲁
Florin Prunea,弗洛林·普鲁内亚
Alexandru Bourceanu,亞歷山德魯·鮑爾切魯
Dan Burincă,达恩·布林克
Dragoș Grigore,德拉戈什·格里戈雷
Dan Irimiciuc,达恩·伊里米丘克
Paul Pepene,保罗·佩佩内
Simona Păucă,西蒙娜·珀乌克
Emilia Eberle,埃米莉亚·埃贝莱
Roland Gunnesch,罗兰·古奈什
Julius Popper,朱利奥·波普尔
Alexandra Marinescu,亚历山德拉·马里内斯库
Mircea Irimescu,米尔恰·伊里梅斯库
Nicolae Neagoe,尼古拉·内亚戈耶
Emil Jula,艾米爾·尤拉
Elina Löwensohn,依琳娜·卢雯宋
David Wechsler,大卫·韦克斯勒
Florența Mihai,佛羅倫塔‧米哈伊
Cilibi Moise,切萊比·莫伊斯
Vladimir Tismăneanu,弗拉基米爾·斯特納內亞努
Erik Lincar,艾瑞克‧林卡
Eugen Țurcanu,尤根·楚尔卡努
Ionela Loaieș,约内拉·洛阿耶什
Gina Gogean,吉娜·高吉安
Emil Săndoi,埃米尔·森多伊
Gheorghe Grozav,格奥尔格·格罗萨夫
Adelina Cojocariu,阿德利娜·博古什
Nicolae Grigorescu,尼古拉·格里格雷斯庫
Angela Alupei,安杰拉·阿卢佩伊
Mirela Țugurlan,米蕾拉·楚古尔兰
Claudia Presăcan,克劳迪娅·普雷瑟坎
Andrei Prepeliță,安德烈·佩佩利塔
Andrei Socaci,安德烈·索卡奇
Silviu Lung Jr.,小西尔维乌·伦格
Iuliu Hațieganu,约略·哈齐耶加努
Alexandru Chipciu,亞歷山德魯·奇普修
George Sabin Cutaș,萨宾·库塔什
Mosko Alkalai,莫斯科·阿尔卡莱
Marius Pena,馬里斯·彭拿
Eric Bicfalvi,埃里克·比化維
Nicholas Georgescu-Roegen,尼可拉斯·喬治斯古羅簡
Cristeana Cojocaru,克里斯蒂亚娜·科若卡鲁
Valeria Bufanu,瓦莱里娅·布法努
Ion Panțuru,扬·潘楚鲁
Ion Monea,扬·莫内亚
Maria Ciobanu,玛丽亚·西奥班
Eremia Grigorescu,埃雷米亞·格利戈雷斯庫
Teohari Georgescu,特奥哈里·乔治斯库
Nicolao Dumitru,尼克勞·杜米特魯
Gheorghe Ursu,格奧爾基·烏爾蘇
Marin Radu II,马林·拉杜
Cornel Penu,科尔内尔·佩努
Camelia Macoviciuc,卡梅利娅·马科维丘克
Bianca Ghelber,比安卡·盖尔贝尔
Fița Lovin,菲察·洛温
Elizabeta Samara,伊莎貝塔·薩瑪拉
Andreea Ehritt-Vanc,安德利亚·艾利特-范克
Mărioara Popescu,马里瓦拉·波佩斯库
Bănel Nicoliță,巴內爾·尼科利塔
Corneliu Baba,科尔内留·巴巴
Dan Pița,丹·皮察
Ștefan Augustin Doinaș,S.A. 杜伊纳西
Dumitru Prunariu,杜米特鲁·普拉纳里奥
Liliana Gafencu,利利亚娜·加芬库
Horia Tecău,霍里亞·特卡烏
Mirel Rădoi,米雷爾·拉多伊
Daniela Dodean,丹尼爾拉·多迪安
Elvira Popescu,埃爾維拉·波佩斯庫
Sebastian Stan,賽巴斯汀·斯坦
Marius Bilașco,马里乌斯·比拉什科
Gheorghe Ciolac,格奥尔基·乔拉克
Ilie Dumitrescu,伊利耶·杜米特雷斯库
Lucian Marinescu,卢奇安·马里内斯库
Valerică Găman,瓦勒日卡·加文
Marius Constant,马里于斯·康斯唐
Ion Hobana,揚·霍巴納
Gabriel Torje,加布里埃爾·托爾熱
Adrian Avrămia,阿德里安·阿夫拉米亚
Radu Ștefan Mazăre,拉杜·马萨雷
Randolph Lewis Braham,倫道夫·L·布拉漢姆
Ioan Culcer,伊昂·庫爾切
János Fazekas,亚诺什·法泽卡什
Mircea Mureșan,米尔恰·穆雷桑
Lucian Pintilie,路西安·品特萊
Daniela Sofronie,尼科莱塔·达妮埃拉·绍夫罗涅
Alexandra Eremia,亚历山德拉·埃雷米娅
Marin Preda,马林·普雷达
Marin Ceaușescu,馬林·齐奥塞斯库
Vanda Hădărean,万达·赫德雷安
Oana Ban,凡·歐亞娜
Marius Oprea,马里乌斯·奥普雷亚
Ghiță Licu,吉策·利库
Ion I.C. Brătianu,扬·约内尔·布勒蒂亚努
Liviu Rebreanu,利維烏·雷布列亞努
Gavril Balint,加比·巴林特
Diana Dumitrescu,黛安娜·杜米特雷斯库
Florentin Petre,弗洛倫汀·佩特雷
Florin Șerban,佛羅林·瑟班
Cătălin Fercu,卡他林·費庫
Cezar Popescu,塞薩爾·波佩斯庫
Henri Rang,亨利·兰格
Toma Caragiu,托马·卡拉玖
Mihai Stoichiță,米哈伊·斯托伊基采
Cristian Pop,克里斯坦·波普
Nicolae Ungureanu,尼科莱·温古雷亚努
Stere Adamache,斯泰雷·阿达马凯
Mihai Mocanu,米哈伊·莫卡努
Ioan Dragalina,揚·德拉加利納
Vasile Milea,瓦西里·米列亚
Cosmin Hănceanu,科斯明·汉西阿姆
Rodica Dunca,罗迪卡·敦卡
Mihai Frățilă,彌額爾·弗勒齊勒
Alina Pușcău,阿琳娜·帕丝考
Iosif Rotariu,伊奥西夫·罗塔里乌
Eusebiu Iancu Diaconu,欧塞比乌·迪亚科努
Radu Voina,拉杜·沃伊纳
Anișoara Minea-Sorohan,阿尼什瓦拉·米内亚
Gheorghe Mureșan,乔治·穆雷桑
Elisabeta Polihroniade,伊莉莎白·波莉羅妮雅德
Horațiu Mălăele,霍拉蒂乌·马拉埃雷
Iuliu Maniu,尤柳·马纽
Costi Ioniță,科斯蒂·约奥尼亚
"Radu, Principe al României",罗马尼亚的拉杜亲王
Marin Karmitz,馬亨·卡米茲
Ioana Badea,伊万娜·巴代亚
Gheorghe Gruia,格奥尔基·格鲁亚
Leonard Orban,莱昂纳德·奥尔班
Elena Udrea,埃伦娜·乌德里亚
Nae Ionescu,纳耶·约内斯库
Leon Rotman,列昂·罗特曼
Vasile Chiroiu,瓦西里·基罗尤
Jean Constantin,让·康斯坦丁
Ion Gheorghe Duca,扬·G·杜卡
Rică Răducanu,勒杜卡努·尼古拉
Mihai Ivăncescu,米哈伊·伊文切斯库
Nicolae Vermont,尼古拉·佛蒙特
Radu Beligan,拉杜·貝里根
Nicolae Stanciu,尼古拉·斯坦丘
Ion Mihai Pacepa,扬·米哈伊·帕切帕
Otilia Bădescu,奥蒂莉亚·巴蒂斯库
Dorotheea Petre,多萝西亚·彼得雷
Andreea Răducan,安德烈娅·勒杜坎
Dragomir Cioroslan,德拉戈米尔·乔罗斯兰
Dumitru Mazilu,杜米特鲁·马奇卢
Georgeta Gabor,杰奥尔杰塔·加博尔
Teodora Ungureanu,特奥多拉·温古雷亚努
Dumitrița Turner,杜米特里察·图尔纳
Ion Cernea,扬·切尔内亚
Dragoș Neagu,德拉戈什·内亚古
Albert Saritov,阿尔贝特·萨里托夫
Adriana Bazon-Chelariu,阿德里安娜·巴宗
Elena Caragiani-Stoienescu,埃列娜·卡拉贾尼-斯托埃内斯库
Elisabeta Bostan,伊丽莎白·博斯坦
Mirela Pașca,米蕾拉·帕什卡
Virgil Calotescu,V. 卡洛泰斯库
Flavius Domide,弗拉维乌斯·多米德
Florea Dumitrache,弗洛雷亚·杜米特拉凯
Cristea Avram,克里斯·阿夫拉姆
Maria Neculiță,玛丽亚·内库利策
Cristina Bontaș,克里斯蒂娜·邦塔什
Alexandru Drăghici,亚历山德鲁·德勒奇吉
Florin Gardoș,弗洛林·加多斯
