João Carlos dos Santos,若昂·卡洛斯·多斯桑托斯
Ronald Golias,罗纳德·戈里亚斯
Gylmar dos Santos Neves,基爾馬·杜斯山度士·尼維斯
Breno Vinícius Rodrigues Borges,布雷诺·博格斯
Sheilla Castro,谢拉·卡斯特罗
Jade Barbosa,杰德·巴尔博扎
Bebel Gilberto,貝波·吉兒柏托
Thaísa Daher,泰莎·梅內塞斯
Marcelinho Paraíba,马塞利尼奥
Bellini (futebolista),希特拉度·比連尼
Ronald Biggs,朗尼·畢格斯
Leandro Euzébio,李安度·達·方辛卡·尤西比奧
Garrincha,加林查
Leopoldina de Bragança,利奧波丁娜·(巴西)
Ana Hickmann,安娜·希克曼
Caso Jean Charles de Menezes,琼·查尔斯·德梅内塞斯
Elaine Moura,埃兰妮·埃什斯特拉·莫拉
Arthur Zanetti,阿图尔·扎内蒂
Huenes Marcelo Lemos,曉尼斯·馬些路·利莫斯
Giovane Alves da Silva,基奧雲尼·施華
Tite (treinador de futebol),蒂特
Ronaldinho Gaúcho,罗纳尔迪尼奥
Marcos Aoás Corrêa,馬昆奴斯·哥利亞
João Goulart,若昂·古拉特
Luiz Inácio Lula da Silva,路易斯·伊纳西奥·卢拉·达席尔瓦
Romário,罗马里奥
Cafu,卡福
Bismarck Barreto Faria,比斯馬克·巴列圖·法利亞
Zé Sérgio,澤·塞爾吉奧
Alfie Enoch,阿爾弗雷德·伊諾奇
Bruno Mineiro,布鲁诺·米内罗
Eduardo da Silva,伊度亞度·達施華
Alan Carvalho,阿兰·卡瓦略
Danilo Gabriel de Andrade,丹尼路·加比度·達·安達迪
Wallace Souza,華萊士·蘇薩
Goleiro Bruno,布魯諾·費南德斯·德·索薩
Dino da Costa,迪诺·达科斯塔
Rodrigues Neto,祖些·洛迪古斯·尼圖
Kelvin Mateus de Oliveira,凱爾文·馬特烏斯·德·奧利韋拉
Zico,济科
Djalminha,贾米尼亚
Lina Bo Bardi,莉娜·博·巴尔迪
Anselmo Tadeu,安塞尔莫
Roberto Mangabeira Unger,罗伯托·曼格贝拉·昂格尔
Ricardo Mello,里卡多·梅洛
Giovane Élber,吉奥瓦尼·埃尔伯
Cláudio Hummes,克勞狄·胡默斯
Francisco Ernandi Lima da Silva,弗朗西斯科·埃尔南迪·利马·达席尔瓦
Michelle Alves,米歇尔·阿尔维斯
Carlos Luz,卡洛斯·科英布拉·达卢斯
Leonardo Nascimento de Araújo,莱昂纳多·阿劳若
Jorginho Putinatti,若爾吉尼奧·普提那堤
Márcio de Sousa Melo,馬斯奧·美羅
Roniéliton Pereira Santos,羅尼·(巴西足球運動員)
Fabiana Claudino,法比安娜·科勞迪諾
Bruna Tenório,布鲁娜·特诺里奥
Alexandre Gemignani,亚历山大·热米尼亚尼
Victor Leandro Bagy,维克托·莱昂德罗·巴吉
Osvaldo Aranha,奥斯瓦尔多·阿拉尼亚
Moacir Rodrigues dos Santos,莫阿基·罗德里格斯·桑托斯
Edu Marangon,埃杜·馬蘭貢
Elivélton,埃利维顿·阿尔维斯·鲁菲诺
Luís Vinício,路易斯·维尼西奥
Robert Falkenburg,鲍勃·福尔肯伯格
Tancredo Neves,坦克雷多·內維斯
Natália Pereira,娜塔莉亞·佩雷拉
Tandara Caixeta,坦達拉·凱謝塔
Maya Gabeira,玛雅·加贝拉
Edenílson,埃德尼爾森·安德拉德·多斯桑托斯
Renato Pé Murcho,卡洛斯·雷纳托·弗雷德里科
Carlos Santos de Jesus,卡洛斯·桑托斯·德·赫苏斯
Cacau (futebolista),卡考
Zé Roberto (futebolista),泽·罗伯托
Leandro Barbosa,莱昂德罗·巴博萨
Robinho,羅賓奴
Emerson Leão,埃默松·莱昂
Xuxa,舒莎
Rogério Dutra Silva,罗热里奥·杜特拉·达席尔瓦
Celso Amorim,塞尔索·阿莫里姆
Ramón Rodrigo de Freitas,雷文·洛迪高·費爾迪斯
José Viegas Filho,若泽·小维埃加斯
Muriqui (futebolista),穆里奇
Lucas Michel Mendes,盧卡斯·曼德斯
Roberto Firmino,罗伯托·菲尔米诺
Sandro Ranieri Guimarães Cordeiro,辛度·雲尼亞里
José Song Sui-Wan,宋瑞雲
Gérson (futebolista),热尔松·(1941年)
Antonio Possamai,安东尼奥·波萨马伊
Antônio Flávio,安东尼奥·弗拉维奥
Francisco Carlos Martins Vidal,希康
Bruninho (voleibolista),布魯諾·雷森德
João Carlos Pinto Chaves,若奥·卡洛斯·平托·查韦斯
Moisés Moura,莫伊塞斯
Augusto Rademaker,奧古斯托·拉德馬克
Aurélio de Lira Tavares,奧雷利奧·德·里拉
Vinícius de Oliveira,文尼休斯·迪欧利斐拉
Zé Carioca,喬奧·卡里奧卡
Waldemar Santana,沃爾德瑪·桑塔那
Eduardo Delani,爱德华多·德拉尼
Éder Luciano,艾達·盧斯安奴
Ígor Castro,伊哥·荷西·馬利高·迪·卡斯度
Rafael Cabral,拉斐尔·卡布拉尔·巴博萨
Paulo André,保罗·安德烈·克伦·贝尼尼
Amauri Carvalho de Oliveira,阿馬利
Neto Murara,诺伯托·穆拉拉·内托
Dodô (futebolista),里卡多·盧卡斯
Bruno Soares,布魯諾·蘇雷斯
Maria Olívia da Silva,瑪麗亞·奧利維亞·達席爾瓦
Sheyla Hershey,謝拉·阿爾梅達·赫爾希
Rodrigo Defendi,罗德里格·德芬迪
Nicholas Santos,尼古拉斯·桑托斯
Felipe Conceição,费利佩·孔塞桑
Emerson Sheik,马尔西奥·埃莫森
Carlos Lessa,卡洛斯·莱萨
José João Altafini,若泽·阿尔塔菲尼
Tomás Behrend,托馬斯·贝哈连德
Caio Canedo Correa,卡约·卡内多·科雷亚
Maria Gomes Valentim,瑪利亞·高梅斯·瓦琳廷
Casemiro (futebolista),卡斯米路
Marjorie Estiano,馬喬里·德奧利維拉
Dênis Marques,丹尼士·馬基斯
Eduardo Neto,伊度亞度·尼圖
Imre Simon,伊姆雷·西蒙
Carlos Brito (empresário),薄睿拓
João Lins Vieira Cansanção de Sinimbu,锡宁布子爵若昂·林斯·坎桑桑
Guilherme Clezar,古伊列梅·克里札
Eninho,埃尼尼奥
Marcos Paulo Alves,馬高斯·保羅
Andre Matos,安德烈·馬特斯
Sérgio Echigo,塞吉歐·越後
Fofão (voleibolista),弗法奥
Ziad Fazah,齐亚德·法扎赫
Daniel Paiola,丹尼尔·帕约拉
José Maria da Silva Paranhos,何塞·帕拉纽什
Dino Sani,甸奴·辛尼
Argel Fuchs,阿吉爾·法克斯
Araújo (futebolista),克利美臣·阿拿祖
Ernesto Geisel,埃內斯托·蓋澤爾
Humberto Castelo Branco,温贝托·德·阿连卡尔·卡斯特洛·布兰科
Fábio Henrique Tavares,法賓奴
Jucilei,尤西雷
Rodrigo Santoro,罗德里格·桑托罗
Oscar Schmidt,奥斯卡·施密特
Scheidt (futebolista),拉斐尔·夏伊德
Augusto Tasso Fragoso,奥古斯托·塔索·弗拉戈索
César Cielo,塞萨尔·西埃洛
Carlos Alberto Torres,卡洛斯·阿尔贝托·托雷斯
Rodrigo Alvim,羅德里戈·阿爾維姆
Paulo Evaristo Arns,保禄·立德·阿恩斯
Castilho (futebolista),卡路斯·荷西·卡斯迪路
Tico (futebolista),阿歷斯·奧利華拉
Elinton Andrade,埃林顿·安德拉德
Deco,迪高
Pedro Aleixo,佩德羅·阿雷克索
Raoni Metuktire,郝倪
Plínio Salgado,普林尼奥·萨尔加多
Wilson Rodrigues Fonseca,威尔森·罗德里格斯·丰塞卡
Roger Guerreiro,羅傑爾·蓋雷羅
Aldair (futebolista),阿尔代尔
Mancini (futebolista),文仙尼·(巴西足球運動員)
Edmílson,埃德米尔森
Eurico Gaspar Dutra,尤里科·加斯帕尔·杜特拉
Rodrigo Taddei,羅德里戈·塔代伊
Gilberto Freyre,吉尔贝托·弗雷雷
Lúcio Costa,盧西奧·科斯塔
Vágner Love,瓦格纳·勒夫
Cláudio Taffarel,克劳迪奥·塔法雷尔
José Maria Alkmin,若澤·馬利亞·奥克明
Fabão,法巴奧
Neto (futebolista),内图
Cristiano Marques Gomes,克里斯蒂亚诺·马克斯·戈麦斯
Emílio Garrastazu Médici,埃米利奧·加拉斯塔蘇·梅迪西
Djalma Santos,贾尔马·桑托斯
Bruno Fratus,布魯諾·富拉圖斯
Alberto Dines,阿爾貝托·迪內斯
Leonardo Bittencourt (futebolista),萊昂納多·比滕考特
Fábio Santos Romeu,法比奧·桑托斯
Luís Carlos Winck,路易斯·卡洛斯·温克
Zuzu Angel,茱茱·安琪尔
Muricy Ramalho,墨里西·拉马略
Diego Hypólito,迭戈·伊波利托
Marquinhos Cambalhota,馬昆賀斯
Lisa Ono,小野丽莎
Lucas Severino,盧卡斯·史華連奴
Waldemar Aureliano de Oliveira Filho,馬辛尼奧·奧利維拉
Rogério Ceni,羅渣里奧·切尼
Fernando Lucas Martins,费尔南多·卢卡斯·马丁斯
Ivan Lins,伊凡·林斯
Fabiano Santacroce,法比亚诺·桑塔克罗切
Luís Augusto de Saxe-Coburgo-Gota,路德維希·奧古斯特·(薩克森-科堡-哥達)
Paulo Rink,保罗·林克·(足球运动员)
Douglas da Silva,杜格拉斯·達·施華
João Braz de Aviz,若望·布拉兹·德·阿维斯
Slobodan Soro,斯洛博丹·索罗
Edmundo Sussumu Fujita,藤田進·(巴西外交官)
Kléberson,若泽·克莱伯森
David Bohm,戴维·玻姆
Artur Bernardes,阿图尔·贝纳德斯
Epitácio Pessoa,埃皮塔西奧·佩索阿
Machado de Assis,马查多·德·阿西斯
Eduardo Coutinho,爱德华多·科蒂尼奥
Émerson Carvalho da Silva,埃默森·卡瓦略·达席尔瓦
Caetano Veloso,卡耶塔諾·費洛索
Jânio Quadros,雅尼奧·夸德羅斯
Café Filho,小若昂·卡费
Amoroso,阿莫罗索
Diego Cavalieri,迭戈·卡瓦列里
André Santos,安達·山度士
Prudente de Morais,普鲁登特·德·莫拉伊斯
Michel Bastos,米高·巴斯圖斯
Marcus Túlio Tanaka,田中鬥莉王
Gilberto Ribeiro Gonçalves,吉尔伯托·里贝罗·贡萨尔维斯
João de Deus Mena Barreto,梅納·巴雷托
Wanderson de Paula Sabino,雲達臣·迪·保拉·沙賓奴
Odilo Scherer,奥迪罗·伯多禄·舍雷尔
Ademir Roque Kaefer,阿德米尔
Kita (futebolista),基塔·(足球运动员)
Afonso Pena,阿方索·佩纳
Washington Luís,华盛顿·路易斯·佩雷拉·德索萨
Paulo Nagamura,保羅·永村
Eugênio Sales,恩仁·薩勒斯
José Padilha,何塞·帕蒂尔哈
Rafael Marques Mariano,拉菲爾·馬基斯·馬利安奴
Luana Vicente,卢瓦娜·维森特
Lohaynny Vicente,洛海尼·维森特
Renato Silva (futebolista),雷纳托·席尔瓦
Roberto Ierusalimschy,罗伯托·耶鲁萨林斯希
Felipe (futebolista),菲利佩·(1989年)
Carlos Alberto Carvalho dos Anjos Junior,祖尼路
Edu Manga,埃杜·曼加
Tostão,托斯唐
Vavá,瓦瓦·(足球运动员)
"Júnior (futebolista, 1954)",儒尼奥尔
Neto Baiano,鲁华度·祖西·达·艾古亚·尼图
França (futebolista),法蘭卡
Giuliano,久利亚诺
Mestre Bimba,曼努埃爾·多斯黑斯·馬夏多
Zagallo,马里奥·扎加洛
Luís Alves de Lima e Silva,路易斯·阿尔维斯·利马·席尔瓦
Lucas Saatkamp,盧卡斯·斯特坎普
Tita (futebolista),米爾頓·奎羅斯·達·派尚
Rafaela Silva,拉斐拉·席尔瓦
Wagner Lopes,呂比須
José Wilker,若澤·威爾克
Paulo Henrique Carneiro Filho,保罗·恩里克·卡尔内鲁·费里奥
Leônidas da Silva,李安尼達斯·達施華
Denílson de Oliveira,丹尼臣·迪奧利華拉·阿羅祖
Artur Avila,阿图尔·阿维拉
Erison Carlos dos Santos Silva,艾利臣·卡路士·度斯·山度士·施華
Francisco Mignone,弗朗西斯科·米戈农
Marcelo Huertas,马塞洛·韦尔塔斯
Ricardo Santos,里卡多·桑托斯
Giuseppe Ungaretti,朱塞培·翁加雷蒂
Philippe Coutinho,菲利普·库蒂尼奥
José Oscar Bernardi,奥斯卡·(1954年)
Beatriz Haddad Maia,比阿特丽斯·哈达德·玛雅
Sérgio Cláudio dos Santos,塞尔吉尼奥
Sylvinho,西尔维尼奥·(1974年)
Domingos da Guia,多明戈斯·达吉亚
Pedro Henrique de Orléans e Bragança,佩德羅·恩里克·(奧爾良-布拉干薩)
Sidnei (futebolista),西内·雷谢尔
Weldon Santos de Andrade,威尔顿·桑托斯·德·安德拉德
Marc van Roosmalen,馬克·范羅斯瑪倫
Robson Conceição,罗布松·孔塞桑
Thomaz Bellucci,托馬斯·貝魯奇
Costa e Silva,阿图尔·达科斯塔·伊·席尔瓦
Alessandro Nunes Nascimento,阿歷山度·紐尼斯
Thiego,威廉·泰亞高·迪·捷西斯
Pedro de Alcântara Gastão de Orléans e Bragança,佩德羅·加斯東·(奧爾良-布拉干薩)
Rogério Sampaio,罗热里奥·桑帕约
Morris Albert,莫里斯·阿爾伯特
Fernanda Venturini,費爾南達·文圖里尼
Affonso Évora,阿丰索·埃沃拉
Daishiro Yoshimura,吉村大志郎
Paulo Roberto Falcão,保罗·罗伯托·法尔考
Carlos Rafael do Amaral,卡路士·拉菲爾·杜·阿曼龍
Marcos Aurélio de Oliveira Lima,馬高斯·歐拿里奧·達·奧利華拉·利馬
Eduardo Saverin,愛德華多·薩維林
Didi (futebolista),迪迪
Frederico Chaves Guedes,佛雷德里科·查韦斯·格德斯
Mineiro (futebolista),卡路士·盧斯安奴·達施華
Alberto Marson,阿尔贝托·马尔松
Marcelo Saragosa,馬些路·沙拉高沙
Marco Maciel,马尔科·马西埃尔
Isaías de Noronha,伊薩伊亞斯·德·諾羅尼亞
Dinho (futebolista),蒂尼奥
Lucas Moura,卢卡斯·罗德里格斯·莫拉·达席尔瓦
Diego Alves,迭戈·阿尔维斯
Raí,拉易·奧利維拉
Paulo Mendes da Rocha,保罗·门德斯·达·罗查
Hermes da Fonseca,埃梅斯·達·豐塞卡
Marcelo Antônio Guedes Filho,馬些路·安東尼奧·古迪斯·菲諾
Camargo Guarnieri,莫扎特·卡马戈·瓜尔涅里
Fábio Júnior Pereira,法比奧·祖利亞
Rodrigo Pessoa,罗德里戈·佩索阿
Mário Fernandes,馬里奧·費南迪斯
Luiz Nascimento,路爾斯·卡路士·納斯文杜·祖利亞
Douglas Pereira dos Santos,道格拉斯·多斯·桑托斯
Alan Kardec (futebolista),阿兰·卡尔德克
Luciano Emílio,盧斯亞諾·艾美路
Vampeta,雲比達
Fabiana da Silva,法比安娜·席尔瓦
Naldo (futebolista),拿杜
Santos Dumont,亞伯托·桑托斯·杜蒙
Henrique Adriano Buss,軒歷基·布斯
Hernanes,埃尔纳内斯
Zé Love,泽·埃杜阿尔多
Alex Mineiro,阿歷斯·明尼路
Diego Souza,迭戈·索萨
Guilherme Toldo,古希美·托度
Paulo Henrique Ganso,保罗·恩里克·甘索
Andrés D'Alessandro,安德列斯·达历山德罗
Kerlon de Souza,卡朗
Donizete Pantera,多尼泽特·潘得拉
Karim Aïnouz,凱里·阿努茲
Robyn Regehr,罗宾·雷格尔
Cláudia Abreu,克勞蒂婭·阿布雷烏
Luís Carlos Prestes,路易斯·卡洛斯·普列斯特斯
Jô (futebolista),若奥·阿尔维斯·德·阿西斯·席尔瓦
Nilo Peçanha,尼洛·佩萨尼亚
Vanderlei Luxemburgo,万德雷·卢森博格
Rodrigues Alves,弗朗西斯科·德·保拉·罗德里格斯·阿尔维斯
Gilmar Rinaldi,吉马尔·里纳尔迪
Oreco,奧利高
Ricardo Sugano,魁圣一郎
Rafael Bábby,拉菲尔·阿劳约
Mitsuyo Maeda,前田光世
Edu Gaspar,爱德华多·塞萨尔·加斯帕尔
Venceslau Brás,文塞斯勞·布拉斯
Carlos Simon,卡洛斯·欧赫尼奥·西蒙
Ricardo Oliveira,里卡多·奥利维拉
Roque Júnior,小罗克
Luiz Gastão de Orléans e Bragança,路易斯·加斯東·(奧爾良-布拉干薩)
Marcos Antônio Malachias Júnior,马奎尼奥斯
César Sampaio,塞萨尔·桑帕伊奥
José Linhares,若泽·里尼亚雷斯
Pedro Afonso de Bragança,巴西皇太子佩德罗·阿方索
Ketleyn Quadros,凯特琳·夸德罗斯
Rodrigo Izecson dos Santos Leite,迪加奧
Nenê (futebolista),尼利·(足球員)
Juninho Paulista,儒尼尼奥·保利斯塔
Nereu Ramos,内雷乌·拉莫斯
João Miranda de Souza Filho,小若奥·米兰达·德索萨
Allan Marques Loureiro,阿兰·马克斯·洛雷罗
Willian José,威廉·何塞
Candido Portinari,坎迪多·波尔蒂纳里
Felipe França,费利佩·席尔瓦
Kieza,杰萨
Paula B. Pereira,保拉·比阿特丽斯·佩雷拉
Rodrigo Possebon,罗德里格·波塞邦
Adaílton (futebolista),阿代尔顿·(1983年)
Felipe Nasr,費利佩·納斯爾
