GND-Kennung,GND ID
Deutsche Teilnehmer der Olympischen Sommerspiele 1904,1904년 하계 올림픽 독일 선수단
Deutsche Teilnehmer der Olympischen Sommerspiele 1900,1900년 하계 올림픽 독일 선수단
Opel,오펠
Darmstadt,다름슈타트
Ruhrbesetzung,루르 점령
Weiden in der Oberpfalz,바이덴인더오베르팔츠
Zaza,자자족
deutsche Fußballnationalmannschaft,독일 축구 국가대표팀
Inn,인강
Das Lied der Deutschen,독일의 국가
Kongokonferenz,베를린 회의
Niedersorbisch,저지 소르브어
Oranienburg,오라니엔부르크
Deutsche Teilnehmer der Olympischen Sommerspiele 1908,1908년 하계 올림픽 독일 선수단
Weißenfels,바이센펠스
Altbier,알트비어
Deutsch-israelische Beziehungen,독일-이스라엘 관계
Würzburg,뷔르츠부르크
Liste der Fußball-Pflichtspiele zwischen dem Hamburger SV und Werder Bremen,노르트 더비
Quedlinburg,크베들린부르크
Deutsche,독일인
Freiberg,프라이베르크
Helgoland,헬골란트섬
Nord-Ostsee-Kanal,킬 운하
Weißwasser/O.L.,바이스바서
Ulmer Münster,울름 대성당
Ingolstadt,잉골슈타트
Barclaycard,바클레이카드
Deutsche Teilnehmer der Olympischen Sommerspiele 1912,1912년 하계 올림픽 독일 선수단
Bautzen,바우첸
Ulm,울름
Regensburg,레겐스부르크
Gifhorn,기프호른
Wolfsburg,볼프스부르크
Coburg,코부르크
Memmingen,메밍겐
Wunstorf,분스도르프
Recklinghausen,레클링하우젠
Pforzheim,포르츠하임
Göttingen,괴팅겐
Fürth,퓌르트
Ansbach,안스바흐
Offenbach am Main,오펜바흐
Deutsche Teilnehmer der Olympischen Winterspiele 1932,1932년 동계 올림픽 독일 선수단
Bundesrat,독일 연방상원
Ostdeutsche Eisenbahn,오스트도이치 철도
Friedland,프리들란트
Flughafen Frankfurt Main,프랑크푸르트 공항
Pirmasens,피르마젠스
Deutsche Teilnehmer der Olympischen Sommerspiele 1928,1928년 하계 올림픽 독일 선수단
Bottrop,보트로프
S-Bahn Stuttgart,슈투트가르트 S반
Siegburg,지크부르크
Remscheid,렘샤이트
Völklingen,푈클링겐
Koblenz,코블렌츠
Jena,예나
Süddeutschland,독일 남부
Norddeutschland,북독일
Neumarkt in der Oberpfalz,노이마르크트인더오버팔츠
Reutlingen,로이틀링겐
Trier,트리어
Erlangen,에를랑겐
Hückelhoven,휘켈호벤
Mettmann,메트만
Moers,뫼르스
Siegen,지겐
Sylt,질트섬
Bergisch Gladbach,베르기슈글라트바흐
Schorndorf,쇼른도르프
Fehmarn,페마른섬
Hildesheim,힐데스하임
Suhl,줄
Hofheim am Taunus,호프하임암타우누스
Salzgitter,잘츠기터
Eider,아이더강
Saarlouis,자를루이
Schwetzingen,슈베칭겐
Cottbus,콧부스
Deutsche Teilnehmer der Olympischen Sommerspiele 1996,1996년 하계 올림픽 독일 선수단
Usedom,우제돔섬
Warnow,바르노프강
Ettlingen,에틀링겐
Insel Hiddensee,히덴제섬
Siemens,지멘스 AG
Deutsche Teilnehmer der Olympischen Sommerspiele 2000,2000년 하계 올림픽 독일 선수단
Rügen,뤼겐섬
Neu-Isenburg,노이이젠부르크
Spreewald,슈프레발트
Mühlhausen/Thüringen,뮐하우젠
Bayerisches Musiker-Lexikon Online,Bayerisches Musiker-Lexikon Online
Einbeck,아인베크
Deutsche Kommunistische Partei,독일 공산당
Rhön,뢴산맥
Bundesstraße 51,연방도 제51호선
Emsdetten,엠스데텐
deutsche Küche,독일 요리
Kaiserslautern,카이저슬라우테른
Langen,랑겐
Zugspitze,추크슈피체산
Merseburg,메르제부르크
Staatswappen der Deutschen Demokratischen Republik,동독의 국장
Deutscher Orden,튜턴 기사단
Gütersloh,귀터슬로
DFB-Pokal,DFB-포칼
Vorpommern,포어포메른
Zwickau,츠비카우
Bundesstraße 56,연방도 제56호선
Bundesstraße 57,연방도 제57호선
Bundesstraße 58,연방도 제58호선
Bundesstraße 59,연방도 제59호선
Franken,프랑켄
Witten,비텐
Bundesstraße 52,연방도 제52호선
Bundesstraße 53,연방도 제53호선
Bundesstraße 54,연방도 제54호선
Bundesstraße 55,연방도 제55호선
Lüdinghausen,뤼딩하우젠
Hanau,하나우
Börse Frankfurt,프랑크푸르트 증권거래소
Europa-Universität Viadrina,비아드리나 유럽 대학교
Signal Iduna Park,지그날 이두나 파크
Volksparkstadion,폴크스파르크슈타디온
Flensburg,플렌스부르크
Ratingen,라팅엔
Sinsheim,진스하임
Dessau-Roßlau,데사우-로슬라우
Bernburg (Saale),베른부르크
Gera,게라
Veltins-Arena,펠틴스 아레나
Tscherkessen,아디게인
Esslingen am Neckar,에슬링겐암네카어
FC Bayern München,FC 바이에른 뮌헨
Tübingen,튀빙겐
Bad Saarow,바트자로
Lünen,뤼넨
Gießen,기센
Max-Planck-Institut für Astrophysik,막스 플랑크 천체물리학 연구소
ZDF,ZDF
Minden,민덴
1. FC Nürnberg,1. FC 뉘른베르크
Olympiastadion Berlin,베를린 올림픽 스타디움
Slowenen,슬로베니아인
Neumünster,노이뮌스터
Leer,레어
Worms,보름스
Mister Gay World,미스터 게이 월드
Wilhelmshaven,빌헬름스하펜
ARD,ARD
Sanssouci,상수시 궁전
Das Erste,Das Erste
FC Augsburg,FC 아우크스부르크
Lüdenscheid,뤼덴샤이트
Altenburg,알텐부르크
Konstanz,콘스탄츠
Wernigerode,베르니게로데
Letten,라트비아인
Erding,에르딩
Die Linke,좌파당
Marburg,마르부르크
Kehl,켈
Ruprecht-Karls-Universität Heidelberg,하이델베르크 루프레히트 카를 대학교
Berliner Fernsehturm,베를린 TV 타워
Naumburg (Saale),나움부르크
Tuttlingen,투틀링겐
Adidas,아디다스
Rheine,라이네
Schönebeck,쇠네베크
Zweibrücken,츠바이브뤼켄
Christlich Demokratische Union,독일 기독교민주연합
Christlich-Soziale Union in Bayern,바이에른 기독교사회연합
Limburg an der Lahn,림부르크안데어란
Troisdorf,트로이스도르프
Gladbeck,글라트베크
Bündnis 90/Die Grünen,동맹 90/녹색당
Sozialdemokratische Partei Deutschlands,독일 사회민주당
Lüneburg,뤼네부르크
Winsen/Luhe,빈젠
Bayreuth,바이로이트
Arnsberg,아른스베르크
Wartburg,바르트부르크성
Goslar,고슬라어
Delmenhorst,델멘호르스트
Goethe-Universität Frankfurt am Main,프랑크푸르트암마인 요한 볼프강 괴테 대학교
Wegeleben,베겔레벤
Schlesien,실롱스크
Bocholt,보홀트
Detmold,데트몰트
Frankfurter Schule,프랑크푸르트 학파
Internationale Filmfestspiele Berlin 2006,제56회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 2001,제51회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 2004,제54회 베를린 국제 영화제
Aspach,아스파흐
Brandenburg an der Havel,브란덴부르크안데어하펠
Lidl,리들
Museumsinsel,박물관섬
Internationale Filmfestspiele Berlin 2005,제55회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 2000,제50회 베를린 국제 영화제
Bayer AG,바이엘
Benrather Linie,벤라트선
Bamberg,밤베르크
Commerzbank Tower,코메 르 타워
Fortuna Düsseldorf,포르투나 뒤셀도르프
Dietzenbach,디첸바흐
Internationale Filmfestspiele Berlin 2007,제57회 베를린 국제 영화제
Humboldt-Universität zu Berlin,베를린 훔볼트 대학교
Celle,첼레
Jülich,율리히
RheinEnergieStadion,라인에네르기슈타디온
Ruhrgebiet,루르
Plauen,플라우엔
Reichstagsgebäude,국회의사당
Aschaffenburg,아샤펜부르크
Ballenstedt,발렌슈테트
Sudeten,수데티산맥
Unna,우나
Hamburger Hafen,함부르크 항
Fulda,풀다
Weimar,바이마르
Aalen,알렌
Neubrandenburg,노이브란덴부르크
Rheinische Friedrich-Wilhelms-Universität Bonn,본 라인 프리드리히 빌헬름 대학교
Lippstadt,립슈타트
Potsdamer Platz,포츠다머 플라츠
Rheinland,라인란트
Europäische Südsternwarte,유럽 남방 천문대
Wermsdorf,베름스도르프
Deutsche Mark,독일 마르크
Landshut,란츠후트
Nürburgring,뉘르부르크링
Berliner Philharmoniker,베를린 필하모니 관현악단
Buddy Bär,아름다운 버디베어
Reeperbahn,레퍼반
Eifel,아이펠 화산
Max-Morlock-Stadion,프랑켄슈타디온
Heinz-von-Heiden-Arena,AWD 아레나
Hockenheimring Baden-Württemberg,호켄하임링
Kempten,켐프텐
Deutsches Institut für Normung,독일 공업 규격 위원회
Leichtathletik-Weltmeisterschaften 2009,2009년 세계 육상 선수권 대회
Rheinberg,라인베르크
Neuruppin,노이루핀
Neue Wache,노이에 바헤
MHPArena,MHP아레나
Grevenbroich,그레벤브로이흐
Salzach,잘차흐강
2. Fußball-Bundesliga,2. 푸스발-분데스리가
Eisenhüttenstadt,아이젠휘텐슈타트
KZ Buchenwald,부헨발트 강제 수용소
Die Brücke,브뤼케
Alexanderplatz,알렉산더 광장
Heckler & Koch,헤클러&코흐
Georg-August-Universität Göttingen,괴팅겐 게오르크 아우구스트 대학교
Rosenheim,로젠하임
Sieg,지크강
Rheinfelden (Baden),라인펠덴
Freie Universität Berlin,베를린 자유 대학교
Sindelfingen,진델핑겐
Frankfurt (Oder),프랑크푸르트
Internationale Filmfestspiele Berlin 2002,제52회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 2008,제58회 베를린 국제 영화제
Schwäbisch Gmünd,슈바비슈그뮌트
Wesel,베젤
Stavenhagen,슈타벤하겐
Partei des Demokratischen Sozialismus,민주사회당
Völkischer Beobachter,푈키셔 베오바흐터
Langenfeld,랑엔펠트
Offenburg,오펜부르크
Stolberg,슈톨베르크
Herrenberg,헤렌베르크
Werder Bremen,SV 베르더 브레멘
Hameln,하멜른
Main-Donau-Kanal,마인-다뉴브 운하
Hamburger SV,함부르크 SV
hochdeutsche Mundarten,고지 독일어
Universität Potsdam,포츠담 대학교
Technische Universität Berlin,베를린 공과대학교
Stralsund,슈트랄준트
Bundesstraße 61,연방도 제61호선
Bundesstraße 62,연방도 제62호선
Fußball-Oberliga,오버리가
Friedrichshafen,프리드리히스하펜
Bundesstraße 67,연방도 제67호선
Bundesstraße 68,연방도 제68호선
Bundesstraße 69,연방도 제69호선
Bundesstraße 70,연방도 제70호선
Fußball-Bundesliga,푸스발-분데스리가
Meerbusch,메어부슈
Greifswald,그라이프스발트
Brandenburger Tor,브란덴부르크 문
Forchheim,포르히하임
Eschweiler,에슈바일러
Burg Eltz,엘츠성
Bundesstraße 98,연방도 제98호선
Bundesstraße 99,연방도 제99호선
Bundesstraße 100,연방도 제100호선
Bundesstraße 101,연방도 제101호선
Edelweißpiraten,에델바이스 해적단
Weiße Rose,백장미단
Bundesstraße 89,연방도 제89호선
Bundesstraße 90,연방도 제90호선
Bundesstraße 91,연방도 제91호선
Bundesstraße 92,연방도 제92호선
Bad Salzuflen,바트잘추플렌
Görlitz,괴를리츠
Bundesstraße 81,연방도 제81호선
Bundesstraße 82,연방도 제82호선
Bundesstraße 83,연방도 제83호선
Bundesstraße 84,연방도 제84호선
Bundesstraße 63,연방도 제63호선
Bundesstraße 64,연방도 제64호선
Bundesstraße 65,연방도 제65호선
Bundesstraße 66,연방도 제66호선
Bundesstraße 85,연방도 제85호선
Bundesstraße 86,연방도 제86호선
Bundesstraße 87,연방도 제87호선
Bundesstraße 88,연방도 제88호선
Achim,아힘
Pfullendorf,풀렌도르프
Barbarossahöhle,바르바로사 동굴
Kap Arkona,케이프 아르코나
Bundesstraße 71,연방도 제71호선
Bundesstraße 72,연방도 제72호선
Bundesstraße 73,연방도 제73호선
Bundesstraße 74,연방도 제74호선
Bundesstraße 80,연방도 제80호선
Bundesstraße 75,연방도 제75호선
Bundesstraße 76,연방도 제76호선
Bundesstraße 77,연방도 제77호선
Bundesstraße 79,연방도 제79호선
Kettwig,케트비히
Bundesstraße 97,연방도 제97호선
Bundesstraße 167,연방도 제167호선
Bundesstraße 168,연방도 제168호선
Bundesstraße 169,연방도 제169호선
Bundesstraße 170,연방도 제170호선
Bundesstraße 93,연방도 제93호선
Bundesstraße 94,연방도 제94호선
Bundesstraße 95,연방도 제95호선
Bundesstraße 96,연방도 제96호선
Schloss Neuschwanstein,노이슈반슈타인성
Bundesstraße 113,연방도 제113호선
Bundesstraße 110,연방도 제110호선
Bundesstraße 111,연방도 제111호선
Bundesstraße 112,연방도 제112호선
Bundesstraße 115,연방도 제115호선
Chiemsee,킴호
SpVgg Greuther Fürth,SpVgg 그로이터 퓌르트
Baden-Baden,바덴바덴
Neu-Ulm,노이울름
Sigmaringen,지크마링겐
Alemannia Aachen,알레마니아 아헨
Schweinfurt,슈바인푸르트
Bodensee,보덴호
Waffen-SS,무장친위대
Bundesstraße 184,연방도 제184호선
Hermaringen,헤르마링겐
Bundesstraße 180,연방도 제180호선
Bundesstraße 181,연방도 제181호선
Bundesstraße 182,연방도 제182호선
Bundesstraße 183,연방도 제183호선
Bundesstraße 197,연방도 제197호선
Bundesstraße 193,연방도 제193호선
Bundesstraße 194,연방도 제194호선
Bundesstraße 195,연방도 제195호선
Bundesstraße 196,연방도 제196호선
Bundesstraße 106,연방도 제106호선
Bundesstraße 107,연방도 제107호선
Bundesstraße 108,연방도 제108호선
Bundesstraße 109,연방도 제109호선
Bundesstraße 185,연방도 제185호선
Bundesstraße 186,연방도 제186호선
Bundesstraße 187,연방도 제187호선
Bundesstraße 188,연방도 제188호선
Bundesstraße 122,연방도 제122호선
Bundesstraße 156,연방도 제156호선
Bundesstraße 158,연방도 제158호선
Bundesstraße 166,연방도 제166호선
Bundesstraße 198,연방도 제198호선
Bundesstraße 199,연방도 제199호선
Bundesstraße 200,연방도 제200호선
Winterbach,빈터바흐
Loreley,로렐라이
Führerbunker,총통엄폐호
Bundesstraße 102,연방도 제102호선
Bundesstraße 103,연방도 제103호선
Bundesstraße 104,연방도 제104호선
Bundesstraße 105,연방도 제105호선
Rothenburg ob der Tauber,로텐부르크오프데어타우버
Bundesstraße 175,연방도 제175호선
Bundesstraße 176,연방도 제176호선
Bundesstraße 178,연방도 제178호선
Bundesstraße 179,연방도 제179호선
Bundesautobahn 573,아우토반 573호선
Rottweil,로트바일
Neustadt an der Weinstraße,노이슈타트안데어바인슈트라세
Deutsche Welle,도이체 벨레
Bad Homburg vor der Höhe,바트홈부르크포어데어회에
Bundesautobahn 555,아우토반 555호선
Bundesautobahn 103,아우토반 103호선
Bundesstraße 171,연방도 제171호선
Bundesstraße 172,연방도 제172호선
Bundesstraße 173,연방도 제173호선
Bundesstraße 174,연방도 제174호선
Grünenthal,그뤼넨탈
Wetzlar,베츨라어
Albert-Ludwigs-Universität Freiburg,프라이부르크 알베르트 루트비히 대학교
Emden,엠덴
Kölner Dom,쾰른 대성당
Bundesautobahn 995,아우토반 995호선
Bundesstraße 189,연방도 제189호선
Bundesstraße 190,연방도 제190호선
Bundesstraße 191,연방도 제191호선
Bundesstraße 192,연방도 제192호선
Donauwörth,도나우뵈르트
Bayerischer Wald,바이에른의 숲
Eberhard Karls Universität Tübingen,튀빙겐 에버하르트 카를 대학교
Lippe,리페강
Kaiser-Wilhelm-Gedächtniskirche,카이저 빌헬름 기념 교회
Cuxhaven,쿡스하펜
Loveparade,러브 퍼레이드
Konzil von Konstanz,콘스탄츠 공의회
Eintracht Braunschweig,아인트라흐트 브라운슈바이크
3. Fußball-Liga,3. 리가
Passau,파사우
Lindau,린다우
Feste Fehmarnbeltquerung,페마른벨트 터널
Saar,자르강
Fritz-Walter-Stadion,프리츠 발터 슈타디온
Deutsche Fußballnationalmannschaft der Frauen,독일 여자 축구 국가대표팀
Thüringer Wald,튀링겐 숲
Schlacht bei Jena und Auerstedt,예나-아우어슈테트 전투
Messerschmitt AG,메서슈미트
Schwarzwald,슈바르츠발트
Erzgebirge,오레 산맥
Breinigerberg,브라이니거베르크
Herborn,헤르보른
Berliner Dom,베를린 돔
Wedel,베델
Alte Pinakothek,알테 피나코테크
Westwall,지크프리트선
Friedrich-Schiller-Universität Jena,예나 프리드리히 실러 대학교
Deutscher Fußball-Bund,독일 축구 연맹
Borussia-Park,보루시아 파크
Geographie Deutschlands,독일의 지리
Rundfunk Berlin-Brandenburg,베를린-브란덴부르크 방송
MSV Duisburg,MSV 뒤스부르크
Nord Stream 1,노르트스트림
Schlacht um Berlin,베를린 공방전
VfB Stuttgart,VfB 슈투트가르트
Münchner Abkommen,뮌헨 협정
Prähistorische Pfahlbauten um die Alpen,알프스 주변의 선사시대 말뚝 주거지
Kölsch,쾰른어
Kölsch,쾰슈
Zweite Schlacht bei Höchstädt,블레넘 전투
Deutscher Bundestag,독일 연방의회
Zoologischer Garten Berlin,베를린 동물원
Euro,유로
Weserstadion,베저슈타디온
Hiddenhausen,히덴하우젠
Goldener Bär,황금곰상
Jüten,주트족
Eurovision Song Contest 1957,유로비전 송 콘테스트 1957
Berliner Siegessäule,베를린 전승기념탑
Universität Leipzig,라이프치히 대학교
Eishockey-Weltmeisterschaft der Herren 2010,2010년 IIHF 챔피언십
Polydor Records,폴리도르 레코드
Britische Besatzungszone,영국 점령 지역
Französische Besatzungszone,프랑스의 독일 점령지
Schokoladenmuseum Köln,임호프 초콜릿 박물관
Rot-Weiss Essen,로트바이스 에센
Ernst Heinkel Flugzeugwerke,하인켈
Universität der Künste Berlin,베를린 예술대학교
Ludwig-Maximilians-Universität München,뮌헨 루트비히 막시밀리안 대학교
deutsch-russische Beziehungen,독일-러시아 관계
Amerikanische Besatzungszone,미국의 독일 점령지
Universität zu Köln,쾰른 대학교
Technische Hochschule Köln,쾰른 공과대학교
Schloss Charlottenburg,샤를로텐부르크성
Germanwings,저먼윙스
Bundesstraße 201,연방도 제201호선
Bundesstraße 202,연방도 제202호선
Bundesstraße 203,연방도 제203호선
Eger,오흐르제강
Heddesheim,헤데스하임
Luftwaffe,독일 공군
Marine,독일 연방군 해군
Berliner Mauer,베를린 장벽
Bundesstraße 204,연방도 제204호선
Bundesstraße 205,연방도 제205호선
Bundesstraße 206,연방도 제206호선
Bundesstraße 207,연방도 제207호선
Bundespolizei,연방경찰
Bundesgrenzschutz,연방국경경비대
Bundeskriminalamt,연방형사국
Streitkräftebasis,전력기반군
Zentraler Sanitätsdienst der Bundeswehr,구호업무군
Kanzler,독일의 총리
Auswärtiges Amt,외무청
FC Carl Zeiss Jena,FC 카를 차이스 예나
Rotes Rathaus,붉은 시청
Leichtathletik-Weltmeisterschaften 1993,1993년 세계 육상 선수권 대회
Volkswagen Arena,폴크스바겐 아레나
FIFA-Konföderationen-Pokal 2005,2005년 FIFA 컨페더레이션스컵
Merkur Spielarena,에스프리 아레나
DAX,DAX
Bundeswehr,독일 연방군
Philipps-Universität Marburg,마르부르크 필리프 대학교
Brilon,브릴론
Lausitzer Neiße,나이세강
Emmerich am Rhein,에미리히암라인
Deutsche Wiedervereinigung,독일의 재통일
Groß-Berlin,대베를린
Landkreis Bautzen,바우첸
Bundesstraße 208,연방도 제208호선
Bundesstraße 209,연방도 제209호선
