Ocna Sibiului,オクナ・シビウルイ
România la Jocurile Olimpice de vară din 1960,1960年ローマオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1936,1936年ベルリンオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1924,1924年パリオリンピックのルーマニア選手団
Cluj Arena,クルジュ・アレナ
Constanța,コンスタンツァ県
România la Jocurile Olimpice de vară din 1992,1992年バルセロナオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1952,1952年ヘルシンキオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1956,1956年メルボルンオリンピックのルーマニア選手団
Oțelu Roșu,オチェル・ロシュ
Ursus Breweries,ウルスス
Gorj,ゴルジュ県
Harghita,ハルギタ県
Neamț,ネアムツ県
identificatorul persoanei la Cinemagia,CineMagia人物ID
Călinești-Oaș,カリネシュティ＝オアシュ
Bocșa,ボクシャ
Tratatul de la București,ブカレスト条約
Sălaj,サラージュ県
geografia României,ルーマニアの地理
România la Jocurile Olimpice de iarnă din 1936,1936年ガルミッシュ・パルテンキルヘンオリンピックのルーマニア選手団
România la Jocurile Olimpice de iarnă din 1928,1928年サンモリッツオリンピックのルーマニア選手団
România la Jocurile Olimpice de iarnă din 1976,1976年インスブルックオリンピックのルーマニア選手団
România la Jocurile Olimpice de iarnă din 1948,1948年サンモリッツオリンピックのルーマニア選手団
România la Jocurile Olimpice de iarnă din 1972,1972年札幌オリンピックのルーマニア選手団
Sibiu,シビウ
Dolj,ドルジュ県
limba croată,クロアチア語
România la Jocurile Olimpice de vară din 1968,1968年メキシコシティーオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1972,1972年ミュンヘンオリンピックのルーマニア選手団
Brașov,ブラショヴ
Reșița,レシツァ
drumul european E60,E60号線
Ilfov,イルフォヴ県
Hunedoara,フネドアラ県
Craiova,クラヨーヴァ
Mehedinți,メヘディンチ県
Focșani,フォクシャニ
Vaslui,ヴァスルイ
Tulcea,トゥルチャ県
Constanța,コンスタンツァ
Catedrala Sfântul Mihail din Alba Iulia,聖ミハイ聖堂 (アルバ・ユリア)
Cibin,シビン川
limba maghiară,ハンガリー語
România la Jocurile Olimpice de vară din 1964,1964年東京オリンピックのルーマニア選手団
Nogai,ノガイ族
Râmnicu Vâlcea,ルムニク・ヴルチャ
ASA Târgu Mureș,ASAトゥルグ・ムレシュ (2013)
TAROM,タロム航空
Isaccea,イサクチャ
Universitatea Națională de Artă Teatrală și Cinematografică „Ion Luca Caragiale” din București,ブカレスト国立イオン・ルーカ・カラジアーレ映画舞台芸術大学
BRD Năstase Țiriac Trophy,BRDナスターゼ・ティリアク・トロフィー
limba idiș,イディッシュ語
Zărnești,ザルネシュティ
Banat,バナト
limba slovacă,スロバキア語
Giurgiu,ジュルジュ
FC Rapid București,ラピド・ブカレスト
limba ucraineană,ウクライナ語
limba bulgară,ブルガリア語
România la Jocurile Olimpice de vară din 1976,1976年モントリオールオリンピックのルーマニア選手団
Marea Câmpie Ungară,ハンガリー大平原
turci,トルコ人
Parcul Național Cheile Nerei - Beușnița,ネラ峡谷・ベウシュニツァ国立公園
România,サッカールーマニア代表
limba greacă,ギリシア語
Drobeta-Turnu Severin,ドロベタ＝トゥルヌ・セヴェリン
Slănic-Moldova,スラニク・モルドバ
Băneasa,バネアサ
Vaslui,ヴァスルイ県
Alegeri în România,ルーマニアの選挙
Cetatea Dăbâca,ダバカ要塞
Barcău,バルカウ川
Miercurea Ciuc,ミエルクレア＝チュク
Roman,ロマン (ルーマニア)
Alba Iulia,アルバ・ユリア
Țara Românească,ワラキア
Ubisoft România,ユービーアイソフト (ローマニア)
Bucovina,ブコビナ
Cluj-Napoca,クルジュ＝ナポカ
limba română,ルーマニア語
Valea lui Mihai,エールミハーイファルヴァ
Stepa euroasiatică,ユーラシア・ステップ
Siguranța Statului,シグランツァ
Timișoara,ティミショアラ
Aromâni,アルーマニア人
Buzău,ブザウ
Parcul Național Semenic - Cheile Carașului,セメニック＝カラシュ峡谷国立公園
Sighișoara,シギショアラ
Aeroportul Internațional „Henri Coandă” București,アンリ・コアンダ国際空港
Stema României,ルーマニアの国章
Teleorman,テレオルマン県
Galați,ガラツィ
Arad,アラド
Biserici fortificate din Transilvania,トランシルヴァニア地方の要塞聖堂のある村落群
Giurgiu,ジュルジュ県
Partidul Național Țărănesc Creștin Democrat,キリスト教民主国民農民党
Ialomița,ヤロミツァ県
Salcea,サルチャ
Bechet,ベケト
Oradea,オラデア
limba arabă,アラビア語
Găești,ガエシュティ
Rețeaua de drumuri europene,欧州自動車道路
Sibiu Cycling Tour,シビウ・サイクリングツアー
România la Jocurile Olimpice de vară din 1980,1980年モスクワオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1988,1988年ソウルオリンピックのルーマニア選手団
Limba meglenoromână,メグレノ・ルーマニア語
Ploiești,プロイェシュティ
Muzeul Național de Istorie al României,ルーマニア国立歴史博物館
România la Jocurile Olimpice de vară din 1984,1984年ロサンゼルスオリンピックのルーマニア選手団
leu românesc,ルーマニア・レウ
Tulcea,トゥルチャ
Revoluția Română din 1989,ルーマニア革命
Dinamo 1948 București,FCディナモ・ブカレスト
Lugoj,ルゴジ
Bihor,ビホル県
Târgu Jiu,トゥルグ・ジウ
Sfântu Gheorghe,スフントゥ・ゲオルゲ
limba romani,ロマ語
FCSB,FCSB
Podul Prieteniei Giurgiu-Ruse,ドナウ橋
Zimnicea,ジムニチャ
Argeș,アルジェシュ県
Castelul Corvinilor,フニャド城
Olt,オルト川
Bacău,バカウ県
Partidul Comunist Român,ルーマニア共産党
Brașov,ブラショフ県
Siret,シレト川
Oltenia,オルテニア
Bistrița-Năsăud,ビストリツァ＝ナサウド県
Arad,アラド県
sârbi,セルビア人
Botoșani,ボトシャニ県
Botoșani,ボトシャニ
Cluj,クルジュ県
Moldova,モルダヴィア
Borșa,ボルシャ
Orăștie,オラシュティエ
Tur,トゥール川
Slatina,スラティナ
Dobrogea,ドブロジャ
Parcul Național Retezat,レテザト国立公園
CFR Cluj,CFRクルジュ
Deva,デヴァ
Muntenia,ムンテニア
Mureș,ムレシュ川
Turda,トゥルダ
Alexandria,アレクサンドリア
Satu Mare,サトゥ・マーレ
Buzău,ブザウ県
Timiș,ティミシュ川
maghiari,マジャル人
Dâmbovița,ドゥンボヴィツァ川
Argeș,アルジェシュ川
Porțile de Fier,鉄門
drumul european E58,E58号線
Suceava,スチャヴァ県
Bușteni,ブシュテニ
bulgari,ブルガリア人
Timiș,ティミシュ県
Delta Dunării,ドナウ・デルタ
"Deșteaptă-te, române!",目覚めよ、ルーマニア人!
Găgăuzi,ガガウズ人
Râul Prut,プルト川
Biserica Ortodoxă Română,ルーマニア正教会
Liga Națională,リーガ・ナツィオナラ
Dara,ダラ
"Alegeri prezidențiale în România, 2009",2009年ルーマニア大統領選挙
Piatra-Olt,ピアトラ＝オルト
Tisa,ティサ川
Sibiu,シビウ県
Râpa,ルパ
Bucătăria românească,ルーマニア料理
Hunedoara,フネドアラ
Turceni,トゥルチェニ
Târgu Mureș,トゥルグ・ムレシュ
Sinaia,シナヤ
Cimitirul Bellu,ベル
Călărași,カララシ
Canalul Dunăre-Marea Neagră,ドナウ・黒海運河
Balș,バルシュ
Iași,ヤシ県
Sovata,ソヴァタ
Holcim,ホルシムグループ
Slobozia,スロボジア
Vrancea,ヴランチャ県
Uniunea Scriitorilor din România,ルーマニア作家連合
Dej,デジ
Cenei,チェネイ
Fetești,フェテシュティ
Gurba,グルバ
Uniunea Democrată Maghiară din România,ハンガリー人民主同盟
Câmpia Panonică,パンノニア平原
Baia Mare,バヤ・マレ
București,ブカレスト
Țara Bârsei,プルツェンラント
Murfatlar,ムルファトラル
Oțelul Galați,FCオツェルル・ガラツィ
Crișana,クリシャナ
Someș,ソメシュ川
Carpații Meridionali,トランシルヴァニアアルプス山脈
Ovidiu,オビディウ
Sântana,スンタナ
Electroputere VFU Pașcani,エレクトロプテアVFU
FC Brașov,FCブラショヴ
stepa pontico-caspică,ポントス・ステップ
Cupa Națiunilor World Rugby,IRBネイションズカップ
istoria României,ルーマニアの歴史
Buftea,ブフテア
Amara,アマラ (ルーマニア)
Ardud,アルドゥド
Șomcuta Mare,ショムクタ・マーレ
Eurocorp,欧州合同軍
Irina,イリナ
ARO,ARO
Automobile Dacia,ダチア
Limba rusină,ルシン語
Livada,リヴァダ
Vișeu de Sus,ヴィショウ・デ・スース
Ordinul Coroana României,王冠勲章 (ルーマニア)
FC Politehnica Timișoara,FCポリテフニカ・ティミショアラ
economia României,ルーマニアの経済
Ateneul Român,ルーマニアのアテナエウム
Caracal,カラカル
limba slavonă,教会スラヴ語
Ponoarele,ポノアレレ
Tramvaiul din Sibiu,シビウ市電
Rona,ロナ
Roșiorii de Vede,ロシオリイ・デ・ヴェデ
Ostra,オストラ
Săliște,サリシュテ
Caransebeș,カランセベシュ
Transilvania,トランシルヴァニア
Mănăstirea Sucevița,スチェヴィツァ修道院
Filpișu Mare,フィルピシュ・マーレ
Băicoi,バイコイ
Săcel,サチェル
Limba venetă,ヴェネト語
limba tătară crimeeană,クリミア・タタール語
TVR Info,TVR Info
Făget,ファジェット
Cristuru Secuiesc,クリストゥル・セクイエスク
Munții Apuseni,アプセニ山脈
Podul lui Traian,トラヤヌス橋
Muzeul Brukenthal,ブルケンタール国立博物館
.ro,.ro
Măcin,マチン
Revolta de la Brașov,ブラショヴ反乱
Deta,デタ
AFC Rocar București,AFCロカル・ブカレスト
AXN Spin,AXNスピン
Horea,ホリア
Universitatea de Medicină și Farmacie „Victor Babeș” din Timișoara,ビクター・バベシュ医科薬科大学
AXN,AXN
CS Mioveni,CSミオヴェニ
Universitatea din București,ブカレスト大学
Euroregiunea DKMT,ドナウ＝ケレシュ＝ムレシュ＝ティサ
Bega,ベジェイ川
Partidul Democrat Liberal,民主自由党
Industria Aeronautică Română,ルーマニア航空工業
FC Victoria Brănești,FCヴィクトリア・ブラネシュティ
Bitdefender,BitDefender
Râmnicu Sărat,ルムニク・サラト
Ciolpani,チョルパニ
Fălticeni,ファルティチェニ
Unirea Republicii Moldova cu România,ルーマニア・モルドバ統一運動
ISO 3166-2:RO,ISO 3166-2:RO
Biserica Română Unită cu Roma,ルーマニア東方カトリック教会
Muzeul Țăranului Român,ルーマニア農民博物館
Valea Vișeului,ヴァレア・ヴィシェウルイ
Hârlău,フルラウ
Camera Deputaților din România,代議院
FC Unirea Urziceni,FCウニレア・ウルジチェニ
Otopeni,オトペニ
Blaj,ブラジ
Bonțida,ボンツィダ
România la Jocurile Olimpice de iarnă din 1956,1956年コルティナダンペッツォオリンピックのルーマニア選手団
Mamaia,ママイア
Ceangăi,チャーンゴー人
Petroșnița,ペトロシュニツァ
Sulina,スリナ
Negru Vodă,ネグル・ヴォダ
Dărmănești,ダルマネシュティ
FC Olimpia Satu Mare,FCオリンピア・サトゥ・マーレ
Buhuși,ブフシ
Dorohoi,ドロホイ
Sighetu Marmației,シゲトゥ・マルマツィエイ
Biblioteca Națională a României,ルーマニア国立図書館
România la Jocurile Paralimpice,パラリンピックのルーマニア選手団
Poliția Română,ルーマニア国家警察
Bârlad,バルラード
Bulevardul Unirii,統一大通り
Federația Română de Fotbal,ルーマニアサッカー連盟
Adjud,アドジュード
Stolpersteine,つまずきの石
Operațiunea Iași-Chișinău,ヤッシー＝キシニョフ攻勢
Agnita,アグニタ
Adamclisi,アダムクリシ
Citibank România,シティバンク、エヌ・エイ
Gaz Metan Mediaș,CSガズ・メタン・メディアシュ
Căpâlna,チチョーカーポルナ村
Arcul de Triumf din București,凱旋門
România la Jocurile Olimpice de iarnă din 1988,1988年カルガリーオリンピックのルーマニア選手団
Dacia Unirea Brăila,CFブライラ
FCM Bacău,FCMバカウ
Apold,アポルト川
Târgu Secuiesc,トゥルグ・セクイエスク
Acasă TV,Acasă TV
Tramvaiul din Cluj-Napoca,クルジュ＝ナポカ市電
România la Jocurile Olimpice,オリンピックのルーマニア選手団
Ciacova,キアコヴァ
Bucharest Ring,ブカレスト・リンク
Iam,ヤム (カラシュ＝セヴェリン)
Târgu Frumos,トゥルグ・フルモス
Câmpina,クンピナ
Metroul din București,ブカレスト地下鉄
Odorheiu Secuiesc,オドルヘユ・セクイエスク
Voluntari,ヴォルンタリ
Orman,オルマン
Mediaș,メディアシュ
Arena Națională,スタディオヌル・ナツィオナル
drumul european E576,E576号線
Călușarii,カルシャリ
Universitatea Tehnică Cluj-Napoca,クルージュ・ナポカ工科大学
Fortărețe dacice din Munții Orăștiei,オラシュチエ山脈のダキア人の要塞群
Lipova,リポヴァ
Băilești,バイレシュティ
Supercupa României,スーペルクパ・ロムニエイ
Rovinari,ロヴィナリ
Echipa națională de handbal feminin a României,ハンドボールルーマニア女子代表
Masivul Ceahlău,チェアラウ山塊
Aeroportul „Transilvania” Târgu Mureș,トゥルグ・ムレシュ
Sarasău,サラサウ
Curtea de Argeș,クルテア・デ・アルジェシュ
Calafat,カラファート
Comănești,コマネシュティ
Târgu Neamț,トゥルグ・ネアムツ
Câmpulung Moldovenesc,クンプルング・モルドヴェネスク
Beiuș,ベユシュ
România la Concursul Muzical Eurovision Junior,ルーマニアのジュニア・ユーロビジョン・ソング・コンテスト
Filiași,フィリアシ
Limbile în România,ルーマニアの言語
Munții Țibleș,ツィブレシュ山地
Pata,パタ
Uzinele Faur,FAUR（旧・8月23日工場）
SSC Farul Constanța,FCファルル・コンスタンツァ
Dieceza de Oradea Mare,オラデア・マレ司教区
Masivul Ciomad,シオマド
Gloria Bistrița,ACFグロリア・ビストリツァ
Seria 230.000,プロイセン邦有鉄道P8型蒸気機関車
Horă,ホラ_(民俗舞踊)
Săcueni,サクエニ
Palatul Cotroceni,大統領府
Mica Antantă,小協商
Mioveni,ミオヴェニ
Mănăstirea Horezu,ホレズ修道院
Luduș,ルドゥシュ
Chiajna,キアジナ
Partium,パルティウム
"Fabrica de mașini, vagoane și Turnătoria de fier a societății pe acțiuni Johann Weitzer din Arad",アストラ・バゴアネ・アラド
Aerostar,アエロスター
Țara Moților,ツァラ・モツィロール
Mănăstirea Voroneț,ヴォロネツ修道院
Buziaș,ブジアシュ
Sebeș,セベシュ
comună,ルーマニアのコミューネ
FC Olt Scornicești,FCオルト・スコルニチェシュティ
Horea,ホレア
Strehaia,ストレハイア
Bisericile pictate din nordul Moldovei,モルダヴィア北部の壁画教会群
"Alegeri locale în România, 2008",2008年ルーマニア地方選挙
Năsăud,ナサウド
Carpații Apuseni,西カルパティア山脈
Păltiniș,パルティニシュ
Tismana,ティスマナ
Câmpia Bărăganului,バラガン平野
Carpații Orientali,東カルパティア山脈
Liga a II-a,リーガ2
Pro TV,Pro TV
Aeroportul Internațional „Mihail Kogălniceanu” Constanța,コンスタンツァ
Castelul Bran,ブラン城
Serviciul de Informații Externe,ルーマニア外務省対外情報部
Cernavodă,チェルナヴォダ
Câmpulung,クンプルング
Antena 1,Antena 1
Borzești,ボルゼシュティ
Iernut,イェルヌート
Air Bucharest,エア・ブカレスト
Aiud,アユド
Petrila,ペトリラ
Huși,フシ
Baia,バイア
Berbești,ベルベシュティ
Țara Oașului,オアシュ地方
Săpânța,サプンツァ
Ianca,ヤンカ
Mizil,ミジル
Iza,イザ川
Oltena,クラヨーヴァ自動車
Jibou,ジボウ
Munții Rodnei,ロドナ山地
Parcul Național Munții Rodnei,ロドナ山地国立公園
Gurbediu,グルベディウ
Stadionul Steaua,ゲンチャ スタジアム
Biserica Neagră,黒教会
Oltenița,オルテニツァ
Charlottenburg,シャルロッテンブルク
Baia,バイア
Campionatul Mondial de Handbal Feminin din 1962,1962年世界女子ハンドボール選手権
"Catedrala Ortodoxă a Vadului, Feleacului și Clujului",生神女就寝大聖堂
Filpișu Mic,フィルピシュ・ミク
Panic,パニック
Film Now,Film Now
DIGI Life,Digi Life
Academia Română,ルーマニア学士院
Partidul Conservator,保守党
Târgu Cărbunești,トゥルグ・カルブネシュティ
Cehu Silvaniei,チェフ・シルヴァニェイ
Digi Sport,Digi Sport
România la Jocurile Olimpice de iarnă din 1952,1952年オスロオリンピックのルーマニア選手団
Biertan,ビエルタン
Lisa,リサ
Bata,バタ
Biblioteca Batthyaneum,バッチャーネウム図書館
Noua Dreaptă,新しい権利
Toplița,トプリツァ
Bara,バラ (ティミシュ県)
Râșnov,ルシュノヴ
Pașcani,パシュカニ
Moldova Veche,モルドバ・ヴェッキ
Mangalia,マンガリア
Moinești,モイネシュティ
Dalnic,ダルニク
Vulcan,ヴルカン
Sânmiclăuș,スンミクラウシュ
gara București Nord,ブカレスト北駅
Șieu,シェウ
FC Vaslui,FCヴァスルイ
UTA Arad,FC UTAアラド
Calea ferată Salva–Vișeu de Jos,サルヴァ＝ヴィシェウ・デ・ジョス鉄道
Câmpia Turzii,クンピア・トゥルジー
"Bârzava, Timiș",バルザバ川
Biserica Evanghelică-Luterană din România,ルーマニア福音ルター派教会
Peștera Movile,モビラ洞窟
Turnișor,トゥルニショル
Ghimbav,ギンバヴ
monument istoric,歴史的建造物
Tapia,タピア
Lacul Bâlea,ブレア湖
Căile Ferate Române,ルーマニア鉄道
calea ferată Arad–Alba Iulia,アラド - アルバ・ユリア線
Breaza,ブラーザ
CSU Voința Sibiu,CSUヴォインツァ・シビウ
romii din România,ロマ人
România la Jocurile Olimpice de iarnă din 1964,1964年インスブルックオリンピックのルーマニア選手団
Tălmaciu,タルマチウ
"Alegeri prezidențiale în România, 1996",1996年ルーマニア大統領選挙
Baia Sprie,バヤ・スプリエ
Rădăuți,ラダウツィ
Ordinul Franciscan,小さき兄弟会
Sândominic,チークセントドモコシュ
Ceahlăul Piatra Neamț,FCチェアラゥル・ピアトラ・ネアムツ
Câlnic,クルニク
Ordinul național „Pentru Merit”,功労勲章 (ルーマニア)
drumul european E70,E70号線
Castelul Peleș,ペレシュ城
Mara,マラ川
Universitatea din Craiova,クラヨーヴァ大学
Gherla,ゲルラ
Unirea Alba Iulia,FCウニレア・アルバ・ユリア
Forțele Aeriene Române,ルーマニア空軍
Medgidia,メドジディア
Făgăraș,ファガラシュ
Palatul baroc din Timișoara,文化宮殿
Ieud,イェウド
Sarmizegetusa Regia,サルミゼゲトゥサ
Aninoasa,アニノアサ
Liceul Unitarian „János Zsigmond” din Cluj-Napoca,ヤーノシュ・ジグモンド・ウニターリウス大学
Urziceni,ウルジチェニ
Tramvaiul din Timișoara,ティミショアラ市電
Tăuții-Măgherăuș,タウツィイ＝マゲラウシュ
români,ルーマニア人
Cheresig,ケレシグ
Partidul Verde,緑の党
Viscri,ヴィスクリ
TVR 1,TVR1
Transfăgărășan,トランスファガラシャン
Tratatul de la București,ブカレスト条約 (1913年)
Bala,バラ
"Bistrița, Someș",ビストリッツ川
Beclean,ベクレアン
Forumul Democrat al Germanilor din România,在ルーマニア・ドイツ人民主フォーラム
Partidul Național Liberal,国民自由党
FC Politehnica Iași,FCポリテフニカ・ヤシ
drumul european E85,E85号線
Beba Veche,Beba Veche村
Predeal,プレデアル
Agigea,アジジャ
Powerwolf,パワーウルフ
Săvădisla,サバディスラ
Cupa Ligii,クパ・リギー
Săcel,サチュル
Blue Air,ブルーエア
Cupa Balcanică,バルカン・カップ (クラブチーム)
Banatul Timișoara,LPSバナトゥル・ティミショアラ
Arhidieceza de Alba Iulia,アルバ・ユリア大司教区
Bârlad,ブルラド川
maghiarii din România,ハンガリー人
Munții Parâng,パルング山群
Petroșani,ペトロシャニ
FC Gloria Buzău,FCグロリア・ブザウ
Augustin,アウグスティン
Munții Gutâi,グトゥイ山地
Oncești,オンチェシュティ
cutremurul din 1977,ルーマニア地震
Aninoasa,アニノアサ
Vârful Moldoveanu,モルドベアヌ山
Rășinari,ラシナリ
Moreni,モレニ
CS Forex Brașov,FCフォレックス・ブラジョヴ
Foresta Fălticeni,フォレスタ・ファルティチェニ
Echipa națională de handbal masculin a României,ハンドボールルーマニア代表
Portul Constanța,コンスタンツァ港
Germanii din România,ドイツ系ルーマニア人
Bătălia din Crimeea,クリミア戦役
Mândruloc,ムンドルロック
Universitatea de Științe Agricole și Medicină Veterinară Cluj-Napoca,クルージュ＝ナポカ農業科学獣医学大学
Vatra Dornei,ヴァトラ・ドルネイ
Orșova,オルショヴァ
Partidul Social Democrat,社会民主党
Universitatea Babeș-Bolyai,コロジュヴァール大学
Moldova,モルドバ川
Girișu Negru,ジリシュ・ネグル
Aeroportul Internațional Sibiu,シビウ国際空港
Onești,オネシュティ
Marghita,マルギタ
CS Otopeni,CSオトペニ
Jiu,ジウ川
Saschiz,サスキズ
Astra Giurgiu,FCアストラ・プロイェシュティ
Transelectrica,トランスエレクトリカ
FC Universitatea Cluj,FCウニヴェルシタテア・クルジュ
Cenad,ケナド
Călugăreni,ミクハーザ
România la Jocurile Olimpice de iarnă din 1992,1992年アルベールビルオリンピックのルーマニア選手団
Trotuș,ウグラ川
Azuga,アズガ
România la Jocurile Olimpice de iarnă din 1932,1932年レークプラシッドオリンピックのルーマニア選手団
Club Atletic Oradea,CAオラデア
Porolissum,ポロリッスム
Aninoasa,アニノアサ
Târnava Mică,トゥルナヴァ・ミカ川
FCV Farul Constanța,FCヴィトルル・コンスタンツァ
Tecuci,テクチ
Ordinul național „Steaua României”,ルーマニア星勲章
Tramvaiul din Galați,ガラツィ市電
Mineu,字メニェー
Horia,ホリア
Sărățel,サラツェル
Nojag,ノジャグ
Șumuleu Ciuc,チークショムヨー
FC Unirea Dej,FCウニレア・デジ
Echipa națională de rugby a României,ラグビールーマニア代表
Ocna Șugatag,オクナ・シュガタグ
Stadionul Municipal,スタディオヌル・ムニシパル (ヴァスルイ)
Parcul Cișmigiu,チシュミジウ公園
Anina,アニーナ
Aninoasa,アニノアサ
România la Concursul Muzical Eurovision,ルーマニアのユーロビジョン・ソング・コンテスト
Uniunea Compozitorilor și Muzicologilor din România,ルーマニア作曲家音楽学者連合
Cimitirul Vesel din Săpânța,陽気な墓
Banca Națională a României,ルーマニア国立銀行
"Alegeri prezidențiale în România, 1992",1992年ルーマニア大統領選挙
gara Timișoara Nord,ティミショアラ北駅
Biserici de lemn din Maramureș,マラムレシュの木造聖堂群
Moldova Nouă,モルドバ・ノワ
drumul european E584,E584号線
Săcele,サチェレ
Partidul German din România,ドイツ人党
Partidul România Mare,大ルーマニア党
Huțuli,フツル人
Belfir,ベルフィル
Depresiunea Giurgeu,ジュルジェウ山系
Universitatea de Arhitectură și Urbanism Ion Mincu,イオン・ミンク建築・都市計画大学
Parlamentul Republicii Moldova,モルドバ共和国議会
Drăgășani,ドラガシャニ
Salonta,サロンタ
Codlea,コドレア
Gheorgheni,ゲオルゲニ
Carei,カレイ
drumul european E81,E81号線
Regio Călători,レジオトランス
Horia,ホリア
Baia,バイア
Lupeni,ルペニ
Târnăveni,トゥルナヴェニ
Peștera Urșilor,熊の洞窟
Corabia,コラビア
drumul european E574,E574号線
drumul european E578,E578号線
Turnu Măgurele,トゥルヌ・マグレレ
Breaza,ブレアザ
Campionatul European de Handbal Feminin din 2000,2000年欧州女子ハンドボール選手権
Academia de Muzică Gheorghe Dima,ゲオルゲ・ディマ音楽アカデミー
Lindenfeld,リンデンフェルド
Podișul Transilvaniei,トランシルヴァニア高原
Forța de Jandarmerie Europeană,欧州国家憲兵隊
Regiunea Autonomă Maghiară,ハンガリー人自治区
Cimitirul Hajongard din Cluj,ハズソンガルド墓地
Partidul Unității Națiunii Române,ルーマニア民族統一党
Ineu,イネウ
Horia,ホリア
Mărășești,マラシェシュティ
Universitatea de Vest din Timișoara,ティミショアラ大学
Dico și Tigănaș,ディコ・シ・ツィガナシュ
Fotbalistul român al anului,ルーマニア年間最優秀選手賞
Poiana Brașov,ポイアナ・ブラショフ
Pasul Prislop,プリスロップ峠
FC Internațional Curtea de Argeș,FCインテルナツィオナル・クルテア・デ・アルジェシュ
Covasna,コヴァスナ
Sânnicolau Mare,スンニコラウ・マーレ
Mănăstirea Humor,フモール修道院
România la Jocurile Olimpice de iarnă din 1998,1998年長野オリンピックのルーマニア選手団
Minimax,ミニマックス
Cetatea Timișoara,ティミショアラ要塞
Rozavlea,ロザヴリャ
Cisnădie,チスナディエ
Hațeg,ハツェグ
Certeju de Sus,セルテュジュ・デ・サス
România la Jocurile Paralimpice de vară din 2012,2012年ロンドンパラリンピックのルーマニア選手団
Simeria,シメリア
Reghin,レギン
România Mare,大ルーマニア
Armata Română,ルーマニア軍
președinte al României,ルーマニアの大統領
România la Jocurile Olimpice de vară din 2004,2004年アテネオリンピックのルーマニア選手団
drumul european E79,E79号線
Frumosu,フルモス
Bursa de Valori București,ブカレスト証券取引所
Liga a V-a,リーガ5
Năvodari,ナボダリ
Vulcan,ヴルカン
FCU Craiova,ウニヴェルシタテア・クライオヴァ
Vladimirescu,ヴラディミレスク
Bumbești-Jiu,ブンベシュティ＝ジウ
Aeroportul Internațional Cluj,クルジュ＝ナポカ国際空港
Muzeul Național al Satului „Dimitrie Gusti”,ルーマニア国立農村博物館
AFC Progresul București,FCプログレスル・ブカレスト
Făurei,ファウレイ
Carpatair,カーペットエア
Ciceu,チチェウ
România la Jocurile Olimpice de iarnă din 1980,1980年レークプラシッドオリンピックのルーマニア選手団
Vinga,ヴィンガ
Pandurii Târgu Jiu,CSパンドゥリイ・トゥルグ・ジウ
Eforie,エフォリエ
Cetatea Poenari,ポエナリ城
Valea Viilor,ヴァレア・ヴィイロル
Dârjiu,ドゥルジウ
Universiada de vară din 1981,1981年夏季ユニバーシアード
Mărțișor,マルテニツァ
Liceul teoretic „Márton Áron”,マールトン・アーロン高等学校
Centura alpidă,アルプス・ヒマラヤ造山帯
Munții Făgăraș,ファガラシュ山地
