Aachener Dom,아헨 대성당
Magdeburg,마그데부르크
Grimma,그리마 (작센주)
Essen,에센
Olympische Sommerspiele 2012/Teilnehmer (Deutschland),2012년 하계 올림픽 독일 선수단
Norddeutscher Rundfunk,북부독일방송
Bundespräsident (Deutschland),독일의 대통령
ARD,ARD
Groß-Berlin,대베를린
Brilon,브릴론
Loreley,로렐라이
Ostalpen,동알프스산맥
Bundesautobahn 15,아우토반 15호선
Bundesautobahn 29,아우토반 29호선
Bundesautobahn 5,아우토반 5호선
Landkreis Ahrweiler,아르바일러군
Aspach (bei Backnang),아스파흐
1. FSV Mainz 05,1. FSV 마인츠 05
Schlesien,실레시아
U-Bahn Berlin,베를린 U반
Platz der Republik (Berlin),공화국 광장 (베를린)
Schloss Nymphenburg,님펜부르크궁
Fußball-Weltmeisterschaft der Frauen 2011,2011년 FIFA 여자 월드컵
Holstein,홀슈타인
Cebit,세빗
Steinway %26 Sons,스타인웨이
Playmobil,플레이모빌
Leica Camera,라이카 (사진기)
Schloss Hohenschwangau,호엔슈방가우성
Stettiner Haff,슈체친 석호
Alte Nationalgalerie,베를린 구 국립미술관
Metropolregion Rhein-Ruhr,라인-루르
Waldeck,발데크피르몬트 후국
Universität Münster,뮌스터 대학교
Q Cells,한화솔라원
Hertha BSC,헤르타 BSC
Paulaner Brauerei,파울라너
Ladenburg,라덴부르크
U-Bahn-Linie U2 (Berlin),베를린 지하철 2호선
Flughafen München,뮌헨 공항
Petting (Gemeinde),페팅 (바이에른주)
Deutsche Euromünzen,독일의 유로 주화
Dunlop (Unternehmen),던롭 타이어
Palast der Republik,공화국궁
Olympische Sommerspiele 1904/Teilnehmer (Deutsches Reich),1904년 하계 올림픽 독일 선수단
Volksparkstadion,폴크스파르크슈타디온
Börse Frankfurt,프랑크푸르트 증권거래소
Ernst Heinkel Flugzeugwerke,하인켈
Eurowings,유로윙스
Olympische Sommerspiele 1972/Handball,1972년 하계 올림픽 핸드볼
Axel Springer SE,악셀 스프링거 AG
Crytek,크라이텍
Wuppertaler Schwebebahn,부퍼탈 슈베베반
1. FC Saarbrücken,1. FC 자르브뤼켄
Holstein Kiel,홀슈타인 킬
Olympische Sommerspiele 1936/Basketball,1936년 하계 올림픽 농구
Heinkel He 162,하인켈 He 162
RTL Television,RTL 텔레비전
Deutscher Zollverein,독일 관세동맹
Messerschmitt AG,메서슈미트
Nürburgring,뉘르부르크링
Berliner Fernsehturm,베를린 텔레비전탑
Deutsche Kommunistische Partei,독일 공산당 (1968년)
Bückeburg,뷔케부르크
Merck KGaA,머크 그룹
Dornier Do 17,도르니에 Do 17
Gewandhausorchester,라이프치히 게반트하우스 관현악단
Pangermanismus,범독일주의
Himmelsscheibe von Nebra,네브라 하늘원반
Neues Museum (Berlin),베를린 신 박물관
Brita (Unternehmen),브리타 (기업)
Max-Planck-Gesellschaft,막스 플랑크 협회
Technische Universität München,뮌헨 공과대학교
V. SS-Freiwilligen-Gebirgskorps,제5SS산악군단
Zeughaus (Berlin),초이그하우스
Kabardiner,카바르다인
Bundesnachrichtendienst,연방정보원 (독일)
Amoklauf von Winnenden und Wendlingen,비넨덴 학교 총기 난사 사건
Schlacht bei Breitenfeld (1631),브라이텐펠트 전투 (1631년)
Robert Bosch GmbH,보쉬 (기업)
Bundeskanzleramt (Berlin),연방 총리실 (베를린)
Liste der politischen Parteien in Deutschland,독일의 정당 목록
Staatsbibliothek Bamberg,밤베르크 주립도서관
Tanztheater Wuppertal Pina Bausch,부퍼탈 시립무용단
KiKA,KiKA
Gameforge,게임포지 AG
Bundesregierung (Deutschland),독일 연방내각
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,라이프치히 음악연극대학교
Deutscher Dom,독일 돔
Deutscher Sparkassen- und Giroverband,독일 저축은행협회
Fußball-Bundesliga 2004/05,분데스리가 2004-05
Max-Planck-Medaille,막스 플랑크 메달
Regierungsbezirk Braunschweig,브라운슈바이크현
Abtei Neresheim,네레스하임 수도원
Großer Preis von Deutschland 2011,2011년 독일 그랑프리
Heubach,호이바흐
Schlacht bei Großgörschen,뤼첸 전투 (1813년)
Bahnhof Konstanz,콘스탄츠역
Halloren Schokoladenfabrik,할로렌 초콜릿 공장
Kickers Emden,키커스 엠덴
Pommersche Bucht,포메라니아만
Straßenbahn Frankfurt am Main,프랑크푸르트암마인 노면전차
Telefunken,텔레풍켄
Fußball-Weltmeisterschaft 1974/Qualifikation,1974년 FIFA 월드컵 예선
Fußball-Weltmeisterschaft 2006/Gruppe D,2006년 FIFA 월드컵 D조
HUS-Epidemie 2011,2011년 독일 슈퍼박테리아 확산
Fußball-Bundesliga 1999/2000,분데스리가 1999-2000
Achern,아헤른
DQS,DQS
Mauermuseum,체크포인트 찰리 박물관
Straßenbahn Düsseldorf,뒤셀도르프 노면전차
Universität Augsburg,아우크스부르크 대학교
Reichswehrministerium,국가방위부
Freiburg/Elbe,프라이부르크/엘베
Herzberg am Harz,헤르츠베르크 암 하르츠
Konz,콘츠
Industrielle Revolution in Deutschland,독일의 산업혁명
Mözen,모젠
Münchner Stadtderby,뮌헨 더비
Weil der Stadt,바일데어슈타트
Karlstadt,카를슈타트암마인
Filmfest München,뮌헨 국제영화제
Adtranz,ADtranz
Berlin-Britz,브리츠
Internationale Vegetarier-Union,국제 채식인 연맹
Kabinett Wirth II,제2기 비르트 내각
Karl-Liebknecht-Haus,카를 리프크네히트 하우스
Hochschule für Künste Bremen,브레멘 예술대학교
Eckernförde,에케른푀르데
Erbach (Donau),에르바흐 (도나우)
Britische Botschaft in Berlin,주독일 영국 대사관
Liste deutscher Gerichte,독일의 사법부
Rathenow,라테노
Herzberg (Elster),헤르츠베르크
SV Darmstadt 98,SV 다름슈타트 98
SAP,SAP SE
Fechtweltmeisterschaften 2005,2005년 세계 펜싱 선수권 대회
Hennigsdorf,헤니히스도르프
IFA (Messe),베를린 국제가전박람회
Staedtler,스테들러
U-Bahnhof Bismarckstraße,비스마르크슈트라세역
Berliner Morgenpost,베를리너 모르겐포스트
Fußball-Bundesliga 1980/81,분데스리가 1980-81
Fußball-Bundesliga 1983/84,분데스리가 1983-84
Fußball-Bundesliga 1987/88,분데스리가 1987-88
Bundestagswahl 2013,2013년 독일 연방의회 선거
U 1 (Kriegsmarine),U-1 (1935년)
Hochschule für Fernsehen und Film München,뮌헨 영화학교
Melitta (Unternehmen),밀리타
Westdeutsche Allgemeine Zeitung,베스트도이체 알게마이네 차이퉁
Bund der Vertriebenen,실향민동맹
Europastraße 48,유럽 고속도로 48호선
Fußball-Bundesliga 1974/75,분데스리가 1974-75
Gesetz zur Einführung des Rechts auf Eheschließung für Personen gleichen Geschlechts,독일의 동성결혼
Rendsburg,렌츠부르크 (독일)
Sachsenross,작센로스
U-Bahnhof Paulsternstraße,파울슈테른슈트라세역
Seeheim-Jugenheim,제하임유겐하임
Schmitten im Taunus,슈미텐 (독일)
Fußball-Europameisterschaft der Frauen 2001,UEFA 여자 유로 2001
SPV (Unternehmen),SPV (기업)
Europastraße 533,유럽 고속도로 533호선
Berliner Hochschule für Technik,베를린 보이트 기술대학교
RB Leipzig,RB 라이프치히
Rollei,롤라이
SWR Sinfonieorchester Baden-Baden und Freiburg,바덴바덴과 프라이부르크 남서독일 방송 교향악단
BMW Museum,BMW 박물관
Universität Bayreuth,바이로이트 대학교
Deutscher Filmpreis,독일 영화상
KSV Hessen Kassel,KSV 헤센 카셀
Bundestagswahl 1949,1949년 독일 연방의회 선거
Europastraße 50,유럽 고속도로 50호선
Olympische Sommerspiele 1972/Kanu,1972년 하계 올림픽 카누
Reichstagswahl März 1933,1933년 3월 독일 국가의회 선거
Technische Universität Kaiserslautern,카이저슬라우테른 공과대학교
Bundestagswahl 1953,1953년 독일 연방의회 선거
Erfurter Dom,에르푸르트 대성당
Focus,포쿠스
Hotel Adlon,호텔 아들론
Bundestagswahl 1972,1972년 독일 연방의회 선거
Schlacht bei Hohenlinden,호엔린덴 전투
CDU/CSU,우니온
Fürstbischöfliches Schloss Münster,뮌스터 주교후궁
Fußball-Bundesliga 1972/73,분데스리가 1972-73
Fußball-Bundesliga 1978/79,분데스리가 1978-79
Fußball-Bundesliga 1984/85,분데스리가 1984-85
Flughafen Karlsruhe/Baden-Baden,바덴 공항
Vechelde,페헬데
Nuklearer Holocaust,핵무기 홀로코스트
Flughafen Bremen,브레멘 공항
Baltische Landeswehr,발트 향토방위군
Muspilli,무스필리
Schlacht bei Roßbach,로스바흐 전투
U-Bahnhof Mierendorffplatz,미렌도르프플라츠역
Braun (Elektrogeräte),브라운 (기업)
Bremen Hauptbahnhof,브레멘 중앙역
Meißner (Gemeinde),마이스너 (헤센주)
Bad Salzdetfurth,바트잘츠데트푸르트
Lich,리히
Heereswaffenamt,육군무기청
Hamburg International,함부르크 국제항공
Hermannsdenkmal,헤르만 기념상
Kölner Mani-Kodex,쾰른 마니 코덱스
Mathematisches Forschungsinstitut Oberwolfach,오버볼파흐 수학 연구소
Reichspräsidentenwahl 1932,1932년 독일 대통령 선거
Langenfeld (Eifel),랑엔펠트 (라인란트팔츠주)
Franziskaner (OFM),작은형제회
U-20-Fußball-Weltmeisterschaft der Frauen 2010,2010년 FIFA U-20 여자 월드컵
Küstenwache des Bundes,연방해안경비대
Industrial Workers of the World,세계산업노동자연맹
Hinterkaifeck,힌터카이페크 살인사건
Kröpcke,크룁케
Call a Bike,콜 어 바이크
Happy Science,행복의 과학
Chemnitzer Linux-Tage,켐니츠 리눅스 데이즈
DB Station%26Service,DB Station%26Service
Sonnenfinsternis vom 11. August 1999,1999년 8월 11일 일식
Rimowa,리모와
Jenische Sprache,예니셰어
DFB-Supercup 1996,DFB-슈퍼컵 1996
Plan International,플랜 인터내셔널
Luftwaffenamt,공군청 (독일)
Landtagswahl in Niedersachsen 1986,1986년 니더작센 주의회 선거
Reichsinstitut für Geschichte des neuen Deutschlands,신독일 역사 국가연구소
Köthen (Anhalt),쾨텐
DFL-Supercup 2012,DFL-슈퍼컵 2012
Neoplan Centroliner,네오플란 센트로라이너
Streitbare Demokratie,방어적 민주주의
Großer Preis von Deutschland 2013,2013년 독일 그랑프리
DFB-Supercup 1992,DFB-슈퍼컵 1992
DFB-Supercup 1993,DFB-슈퍼컵 1993
Münchner Opernfestspiele,뮌헨 오페라 페스티벌
Hochwasser in Mitteleuropa 2013,2013년 유럽 홍수
ABC-Abwehrkommando der Bundeswehr,연방방위군화생방방호사령부
Bundestagswahl 2017,2017년 독일 연방의회 선거
BMW S 1000 R,BMW S1000R
Mercedes-Benz M 176/M 177/M 178,메르세데스-벤츠 M176/M177/M178 엔진
Seebataillon,해상대대 (독일 연방방위군)
Wasserschutzpolizei,수상보호경찰
Mercedes-Benz OM 656,메르세데스-벤츠 OM656 엔진
Bob-Weltmeisterschaft 2017,2017년 IBSF 세계 선수권 대회
Dingo Pictures,딩고 픽처스
G20-Gipfel in Hamburg 2017,2017년 함부르크 G20 정상회의
Olympische Sommerspiele 1972/Judo,1972년 하계 올림픽 유도
Anschlag auf den Mannschaftsbus von Borussia Dortmund,보루시아 도르트문트 버스 폭탄 테러
Olympische Sommerspiele 2020/Teilnehmer (Deutschland),2020년 하계 올림픽 독일 선수단
COVID-19-Pandemie in Europa,유럽의 코로나19 범유행
Sachsen,작센주
Darmstadt,다름슈타트
Karlsruhe,카를스루에
Detmold,데트몰트
Regierungsbezirk Gießen,기센현
Goslar,고슬라어
Ludwigshafen am Rhein,루트비히스하펜
Mönchengladbach,묀헨글라트바흐
Reutlingen,로이틀링겐
Rheine,라이네
Bayreuth,바이로이트
Fußball-Oberliga,오버리가
Ulmer Münster,울름 대성당
Bundesautobahn 573,아우토반 573호선
Zweibrücken,츠바이브뤼켄
Großer Preis von Deutschland,독일 그랑프리
Deutsche Fußballnationalmannschaft,독일 축구 국가대표팀
Frankfurt am Main,프랑크푸르트암마인
Peene,페네강
Christlich Demokratische Union Deutschlands,독일 기독교민주연합
Wetzlar,베츨라어
Bad Aibling,바트아이블링
Ravensburg,라벤스부르크
Rastatt,라슈타트
Bad Kreuznach,바트크로이츠나흐
Flughafen Berlin-Tempelhof,베를린 템펠호프 공항
Altenburg,알텐부르크
Freie Demokratische Partei,"자유민주당 (독일, 1948년)"
Berlin,베를린
Berlin Hauptbahnhof,베를린 중앙역
Bezirk Altona,알토나구
Oder,오데르강
Mosel,모젤강
VfB Stuttgart,VfB 슈투트가르트
Naumburg (Saale),나움부르크
Regierungsbezirk,독일의 현
Junkers Ju 52/3m,융커스 Ju 52
Junkers Ju 87,융커스 Ju 87
Donau,다뉴브강
Ruhr,루르강
Glyptothek (München),글립토테크
Grimms Märchen,그림 동화
Flughafen Hamburg,함부르크 공항
Hanomag,하노마크
Tschetschenen,체첸인
Montblanc (Unternehmen),몽블랑 (기업)
Pariser Platz,파리저 광장
Nassau (Lahn),나사우
Bremerhaven,브레머하펜
Oldenburg (Oldb),올덴부르크
Erlangen,에를랑겐
Stolberg (Rheinland),슈톨베르크 (노르트라인베스트팔렌주)
Brandenburg an der Havel,브란덴부르크안데어하펠
Stralsund,슈트랄준트
Emden,엠덴
Landkreis Spree-Neiße,슈프레나이세군
Speyer,슈파이어
Wismar,비스마르
Amberg,암베르크
